

//
// Armor techs
// 
ARMOR_0_NAME     | Titanyum Zırh
COMPUTER_0_ITEM    |  
COMPUTER_0_BRIEF   | Saldırı Seviyesi I
COMPUTER_0_DETAIL  |

COMPUTER_1_NAME    | Harp Bilgisayarı Sürüm I
COMPUTER_1_ITEM    | Sürüm I
COMPUTER_1_BRIEF   | Saldırı Seviyesi I
COMPUTER_1_DETAIL  | Silah isabetini 1. Seviyeye çıkarır.

COMPUTER_2_NAME    | Harp Bilgisayarı Sürüm II
COMPUTER_2_ITEM    | Sürüm II
COMPUTER_2_BRIEF   | Saldırı Seviyesi II
COMPUTER_2_DETAIL  | Silah isabetini 2. Seviyeye çıkarır.

COMPUTER_3_NAME    | Harp Bilgisayarı Sürüm III
COMPUTER_3_ITEM    | Sürüm III
COMPUTER_3_BRIEF   | Saldırı Seviyesi III
COMPUTER_3_DETAIL  | Silah isabetini 3. Seviyeye çıkarır.

COMPUTER_4_NAME    | Harp Bilgisayarı Sürüm IV
COMPUTER_4_ITEM    | Sürüm IV
COMPUTER_4_BRIEF   | Saldırı Seviyesi IV
COMPUTER_4_DETAIL  | Silah isabetini 4. Seviyeye çıkarır.

COMPUTER_5_NAME    | Harp Bilgisayarı Sürüm V
COMPUTER_5_ITEM    | Sürüm V
COMPUTER_5_BRIEF   | Saldırı Seviyesi V
COMPUTER_5_DETAIL  | Silah isabetini 5. Seviyeye çıkarır.

COMPUTER_6_NAME    | Harp Bilgisayarı Sürüm VI
COMPUTER_6_ITEM    | Sürüm VI
COMPUTER_6_BRIEF   | Saldırı Seviyesi VI
COMPUTER_6_DETAIL  | Silah isabetini 6. Seviyeye çıkarır.

COMPUTER_7_NAME    | Harp Bilgisayarı Sürüm VII
COMPUTER_7_ITEM    | Sürüm VII
COMPUTER_7_BRIEF   | Saldırı Seviyesi VII
COMPUTER_7_DETAIL  | Silah isabetini 7. Seviyeye çıkarır.

COMPUTER_8_NAME    | Harp Bilgisayarı Sürüm VIII
COMPUTER_8_ITEM    | Sürüm VIII
COMPUTER_8_BRIEF   | Saldırı Seviyesi VIII
COMPUTER_8_DETAIL  | Silah isabetini 8. Seviyeye çıkarır.

COMPUTER_9_NAME    | Harp Bilgisayarı Sürüm IX
COMPUTER_9_ITEM    | Sürüm IX
COMPUTER_9_BRIEF   | Saldırı Seviyesi IX
COMPUTER_9_DETAIL  | Silah isabetini 9. Seviyeye çıkarır.

COMPUTER_10_NAME   | Harp Bilgisayarı Sürüm X
COMPUTER_10_ITEM   | Sürüm X
COMPUTER_10_BRIEF  | Saldırı Seviyesi X
COMPUTER_10_DETAIL | Silah isabetini 10. Seviyeye çıkarır

COMPUTER_11_NAME   | Harp Bilgisayarı Sürüm XI
COMPUTER_11_ITEM   | Sürüm XI
COMPUTER_11_BRIEF  | Saldırı Seviyesi XI
COMPUTER_11_DETAIL | Silah isabetini 11. Seviyeye çıkarır


//
// Battle Suit techs for ground combat
// 
// this is for default, no-bonus armor that player starts with
BATTLESUIT_0_NAME    | Zırh
BATTLESUIT_0_DETAIL  |

BATTLESUIT_1_NAME    | Harp Tulumu
BATTLESUIT_1_DETAIL  | Korumasının yanında gücü de artıran bir zırh. Bütün savaş zarlarına 10 ekler.

BATTLESUIT_2_NAME    | Zırhlı Dışiskelet
BATTLESUIT_2_DETAIL  | Sadece gücü ve korunmayı artırmakla kalmayıp, aynı zamanda sınırlı miktarda uçuş da sağlayan gelişmiş mobil zırhlar. Bütün savaş zarlarına 20 ekler.

BATTLESUIT_3_NAME    | Güçlendirilmiş Zırh
BATTLESUIT_3_DETAIL  | Yüksek manevra kabiliyeti, anti-yerçekimi uçuşu ve ağır zırh kaplamasına sahip, kara birimleri için mevcut en gelişmiş zırh. Bütün savaş zarlarına 30 ekler.


//
// Energy Focus techs for beam weapons
// 
BEAMFOCUS_0_NAME    | Yüksek Enerji Odağı
BEAMFOCUS_0_BRIEF   | Enerji silahı menziline +3 ekler.
BEAMFOCUS_0_DETAIL  | Bütün enerji silahlarının atış menziline üç ekler.

BEAMFOCUS_1_NAME    | Kâhin Arayüzü
BEAMFOCUS_1_BRIEF   | Işın silahlarını odakla, düşman zırhlarını yarıla
BEAMFOCUS_1_DETAIL  | Bütün ışın silahı saldırısını eşzamanlı tek bir atışa yoğunlaştırarak, düşmanın zırh gücünü yarılar.


//
// Biological antidote techs 
// 
BIOANTIDOTE_0_NAME    | Biyo Toksin Panzehiri
BIOANTIDOTE_0_DETAIL  | Biyolojik silahların yol açtığı zaiyatı saldırı başına 1M düşürür.

BIOANTIDOTE_1_NAME    | Umumi Panzehir
BIOANTIDOTE_1_DETAIL  | Biyolojik silahların yol açtığı zaiyatı saldırı başına 2M düşürür.


//
// Biological weapon techs 
// 
BIOWEAPON_0_NAME     | Ölüm Sporları
BIOWEAPON_0_BRIEF    | Biyolojik Silah
BIOWEAPON_0_DETAIL   | Maksimum gezegen nüfuslarını her saldırıda 1M düşüren korkunç biyolojik silahlar.

BIOWEAPON_1_NAME     | Kıyamet Virüsü
BIOWEAPON_1_BRIEF    | Biyolojik Silah
BIOWEAPON_1_DETAIL   | Maksimum gezegen nüfuslarını her saldırıda 2M düşüren dehşetli biyolojik silahlar.

BIOWEAPON_2_NAME     | Biyo Terminatör
BIOWEAPON_2_BRIEF    | Biyolojik Silah
BIOWEAPON_2_DETAIL   | Maksimum gezegen nüfuslarını her saldırıda 3M düşüren tüyler ürpetici biyolojik silahlar.

//
// Black Hole Generator tech
//
BLACKHOLE_0_NAME     | Kara Delik Üreticisi
BLACKHOLE_0_DETAIL   | Normal uzayı büküp, düşman gemilerinin veya füze üslerinin, her kalkan sınıfı için yüzde 2 daha az olmak üzere yüzde 25 ila 100'ünü yok eden bir alt-uzay sahası yaratır.


//
// Bomb weapon tech
//
BOMB_0_NAME     | Nükleer Bomba
BOMB_0_BRIEF    | Sadece Yer Saldırıları
BOMB_0_DETAIL   | Patlamasıyla sadece yer hedeflerine 3-12 hasar veren bombalar.

BOMB_1_NAME     | Füzyon Bombası
BOMB_1_BRIEF    | Sadece Yer Saldırıları
BOMB_1_DETAIL   | Patlamasıyla sadece yer hedeflerine 5-20 hasar veren bombalar.

BOMB_2_NAME     | Anti-Madde Bombası
BOMB_2_BRIEF    | Sadece Yer Saldırıları
BOMB_2_DETAIL   | Patlamasıyla sadece gezegen hedeflerine 10-40 hasar veren bombalar.

BOMB_3_NAME     | Omega-V Bombası
BOMB_3_BRIEF    | Sadece Yer Saldırıları
BOMB_3_DETAIL   | Patlamasıyla sadece yer hedeflerine 20-50 hasar veren bombalar.

BOMB_4_NAME     | Nötronyum Bombası
BOMB_4_BRIEF    | Sadece Yer Saldırıları
BOMB_4_DETAIL   | Patlamasıyla sadece yer hedeflerine 40-70 hasar veren bombalar.


//
// Cloaking tech
//
CLOAK_0_NAME     | Gizleme Ekipmanı
CLOAK_0_BRIEF    | Gemiyi hemen hemen görünmez kılar
CLOAK_0_DETAIL   | Gemiyi saldırana kadar hemen hemen görünmez kılar ve savunmasını +5 artırır. Gemiler saldırmak için görünür olmalıdırlar ve saldırmadıkları turlardan sonra otomatik olarak yeniden gizlenirler.


//
// Cloning tech
//
CLONE_0_NAME     | Klonlama
CLONE_0_DETAIL   | 1M başına 10BC'ye, biyomühendislikle oluşturulmuş kolonistlerin yetiştirilmesine izin verir.

CLONE_1_NAME     | Gelişmiş Klonlama
CLONE_1_DETAIL   | 1M başına 5BC'ye, biyomühendislikle oluşturulmuş kolonistlerin yetiştirilmesine izin verir.


//
// Combat Transporter tech
//
COMBATTRANSPORT_0_NAME     | Muharebe Taşıyıcıları
COMBATTRANSPORT_0_DETAIL   | Bununla donanmış taşıyıcılar yüzde elli ihtimalle düşman gemileri ve füze savunma üsleri onlara saldıramadan önce düşman satıhlarının üstüne ışınlanma şansına sahiptir.


//
// Control Environment tech
//
CONTROLENV_0_NAME    | Normal Ortam Kontrolü
CONTROLENV_0_ITEM    | Standard Koloni Üssü
CONTROLENV_0_BRIEF   | Normal Gezegen İnişlerine İzin Verir
CONTROLENV_0_DETAIL  | Standart gezegenlerin kolonizasyonuna izin verir.

CONTROLENV_1_NAME    | Kıraç Ortam Kontrolü
CONTROLENV_1_ITEM    | Kıraç Koloni Üssü
CONTROLENV_1_BRIEF   | Kıraç Gezegen İnişlerine İzin Verir
CONTROLENV_1_DETAIL  | Kıraç ve daha az zorlu gezegenlerin kolonizasyonuna izin verir.

CONTROLENV_2_NAME    | Tundra Ortam Kontrolü
CONTROLENV_2_ITEM    | Tundra Koloni Üssü
CONTROLENV_2_BRIEF   | Tundra Gezegen İnişlerine İzin Verir
CONTROLENV_2_DETAIL  | Tundra ve daha az zorlu gezegenlerin kolonizasyonuna izin verir.

CONTROLENV_3_NAME    | Yaşamsız Ortam Kontrolü
CONTROLENV_3_ITEM    | Yaşamsız Koloni Üssü
CONTROLENV_3_BRIEF   | Yaşamsız Gezegen İnişlerine İzin Verir
CONTROLENV_3_DETAIL  | Yaşamsız ve daha az zorlu gezegenlerin kolonizasyonuna izin verir.

CONTROLENV_4_NAME    | Volkan Ortam Kontrolü
CONTROLENV_4_ITEM    | Volkan Koloni Üssü
CONTROLENV_4_BRIEF   | Volkan Gezegen İnişlerine İzin Verir
CONTROLENV_4_DETAIL  | Volkan ve daha az zorlu gezegenlerin kolonizasyonuna izin verir.

CONTROLENV_5_NAME    | Zehirli Ortam Kontrolü
CONTROLENV_5_ITEM    | Zehirli Koloni Üssü
CONTROLENV_5_BRIEF   | Zehirli Gezegen İnişlerine İzin Verir
CONTROLENV_5_DETAIL  | Zehirli ve daha az zorlu gezegenlerin kolonizasyonuna izin verir.

CONTROLENV_6_NAME    | Radyasyonlu Ortam Kontrolü
CONTROLENV_6_ITEM    | Radyasyonlu Koloni Üssü
CONTROLENV_6_BRIEF   | Radyasyonlu Gezegen İnişlerine İzin Verir
CONTROLENV_6_DETAIL  | Radyasyonlu ve daha az zorlu gezegenlerin kolonizasyonuna izin verir.


//
// Deflector Shield tech
//
// this is the entry on Ship Design for selecting no deflector shield
DEFLECTOR_0_NAME      | 
DEFLECTOR_0_ITEM      |   
DEFLECTOR_0_BRIEF     |  
DEFLECTOR_0_DETAIL    | 

DEFLECTOR_1_NAME      | Sınıf I Yansıtma Kalkanları
DEFLECTOR_1_ITEM      | Sınıf I
DEFLECTOR_1_BRIEF     | 1 Hasar Azaltır
DEFLECTOR_1_DETAIL    | Bütün saldırılardan 1 hasar azaltır.

DEFLECTOR_2_NAME      | Sınıf II Yansıtma Kalkanları
DEFLECTOR_2_ITEM      | Sınıf II
DEFLECTOR_2_BRIEF     | 2 Hasar Azaltır
DEFLECTOR_2_DETAIL    | Bütün saldırılardan 2 hasar azaltır.

DEFLECTOR_3_NAME      | Sınıf III Yansıtma Kalkanları
DEFLECTOR_3_ITEM      | Sınıf III
DEFLECTOR_3_BRIEF     | 3 Hasar Azaltır
DEFLECTOR_3_DETAIL    | Bütün saldırılardan 3 hasar azaltır.

DEFLECTOR_4_NAME      | Sınıf IV Yansıtma Kalkanları
DEFLECTOR_4_ITEM      | Sınıf IV
DEFLECTOR_4_BRIEF     | 4 Hasar Azaltır
DEFLECTOR_4_DETAIL    | Bütün saldırılardan 4 hasar azaltır.

DEFLECTOR_5_NAME      | Sınıf V Yansıtma Kalkanları
DEFLECTOR_5_ITEM      | Sınıf V
DEFLECTOR_5_BRIEF     | 5 Hasar Azaltır
DEFLECTOR_5_DETAIL    | Bütün saldırılardan 5 hasar azaltır.

DEFLECTOR_6_NAME      | Sınıf VI Yansıtma Kalkanları
DEFLECTOR_6_ITEM      | Sınıf VI
DEFLECTOR_6_BRIEF     | 6 Hasar Azaltır
DEFLECTOR_6_DETAIL    | Bütün saldırılardan 6 hasar azaltır.

DEFLECTOR_7_NAME      | Sınıf VII Yansıtma Kalkanları
DEFLECTOR_7_ITEM      | Sınıf VII
DEFLECTOR_7_BRIEF     | 7 Hasar Azaltır
DEFLECTOR_7_DETAIL    | Bütün saldırılardan 7 hasar azaltır.

DEFLECTOR_8_NAME      | Sınıf IX Yansıtma Kalkanları
DEFLECTOR_8_ITEM      | Sınıf IX
DEFLECTOR_8_BRIEF     | 9 Hasar Azaltır
DEFLECTOR_8_DETAIL    | Bütün saldırılardan 9 hasar azaltır.

DEFLECTOR_9_NAME      | Sınıf XI Yansıtma Kalkanları
DEFLECTOR_9_ITEM      | Sınıf XI
DEFLECTOR_9_BRIEF     | 11 Hasar Azaltır
DEFLECTOR_9_DETAIL    | Bütün saldırılardan 11 hasar azaltır.

DEFLECTOR_10_NAME     | Sınıf XIII Yansıtma Kalkanları
DEFLECTOR_10_ITEM     | Sınıf XIII
DEFLECTOR_10_BRIEF    | 13 Hasar Azaltır
DEFLECTOR_10_DETAIL   | Bütün saldırılardan 13 hasar azaltır.

DEFLECTOR_11_NAME     | Sınıf XV Yansıtma Kalkanları
DEFLECTOR_11_ITEM     | Sınıf XV
DEFLECTOR_11_BRIEF    | 15 Hasar Azaltır
DEFLECTOR_11_DETAIL   | Bütün saldırılardan 15 hasar azaltır.


//
// Displacement tech
//
DISPLACEMENT_0_NAME   | Yer Değiştirme Aygıtı
DISPLACEMENT_0_BRIEF  | Düşman saldırılarının üçte biri ıskalar.
DISPLACEMENT_0_DETAIL | Gemileri rastgele bir şekilde, normal uzayın dışına çıkarıp geri getirerek alana yönelik olmayan silah saldırılarının üçte birinden kaçınmalarını sağlar.


//
// ECM Jammer tech
//
// this is the entry on Ship Design for selecting no ECM Jammer
ECMJAMMER_0_NAME      | 
ECMJAMMER_0_ITEM      | 
ECMJAMMER_0_BRIEF     | Füze Savunma 0
ECMJAMMER_0_DETAIL    | 

ECMJAMMER_1_NAME      | Elektronik Karıştırıcı Sürüm I
ECMJAMMER_1_ITEM      | Karıştırıcı I
ECMJAMMER_1_BRIEF     | Füze Savunma 1
ECMJAMMER_1_DETAIL    | Düşman füze saldırılarına karşı savunmaya 1 seviye ekler.

ECMJAMMER_2_NAME      | Elektronik Karıştırıcı Sürüm II
ECMJAMMER_2_ITEM      | Karıştırıcı II
ECMJAMMER_2_BRIEF     | Füze Savunma 2
ECMJAMMER_2_DETAIL    | Düşman füze saldırılarına karşı savunmaya 2 seviye ekler.

ECMJAMMER_3_NAME      | Elektronik Karıştırıcı Sürüm III
ECMJAMMER_3_ITEM      | Karıştırıcı III
ECMJAMMER_3_BRIEF     | Füze Savunma 3
ECMJAMMER_3_DETAIL    | Düşman füze saldırılarına karşı savunmaya 3 seviye ekler.

ECMJAMMER_4_NAME      | Elektronik Karıştırıcı Sürüm IV
ECMJAMMER_4_ITEM      | Karıştırıcı IV
ECMJAMMER_4_BRIEF     | Füze Savunma 4
ECMJAMMER_4_DETAIL    | Düşman füze saldırılarına karşı savunmaya 4 seviye ekler.

ECMJAMMER_5_NAME      | Elektronik Karıştırıcı Sürüm V
ECMJAMMER_5_ITEM      | Karıştırıcı V
ECMJAMMER_5_BRIEF     | Füze Savunma 5
ECMJAMMER_5_DETAIL    | Düşman füze saldırılarına karşı savunmaya 5 seviye ekler.

ECMJAMMER_6_NAME      | Elektronik Karıştırıcı Sürüm VI
ECMJAMMER_6_ITEM      | Karıştırıcı VI
ECMJAMMER_6_BRIEF     | Füze Savunma 6
ECMJAMMER_6_DETAIL    | Düşman füze saldırılarına karşı savunmaya 6 seviye ekler.

ECMJAMMER_7_NAME      | Elektronik Karıştırıcı Sürüm VII
ECMJAMMER_7_ITEM      | Karıştırıcı VII
ECMJAMMER_7_BRIEF     | Füze Savunma 7
ECMJAMMER_7_DETAIL    | Düşman füze saldırılarına karşı savunmaya 7 seviye ekler.

ECMJAMMER_8_NAME      | Elektronik Karıştırıcı Sürüm VIII
ECMJAMMER_8_ITEM      | Karıştırıcı VIII
ECMJAMMER_8_BRIEF     | Füze Savunma 8
ECMJAMMER_8_DETAIL    | Düşman füze saldırılarına karşı savunmaya 8 seviye ekler.

ECMJAMMER_9_NAME      | Elektronik Karıştırıcı Sürüm IX
ECMJAMMER_9_ITEM      | Karıştırıcı IX
ECMJAMMER_9_BRIEF     | Füze Savunma 9
ECMJAMMER_9_DETAIL    | Düşman füze saldırılarına karşı savunmaya 9 seviye ekler.

ECMJAMMER_10_NAME     | Elektronik Karıştırıcı Sürüm X
ECMJAMMER_10_ITEM     | Karıştırıcı X
ECMJAMMER_10_BRIEF    | Füze Savunma 10
ECMJAMMER_10_DETAIL   | Düşman füze saldırılarına karşı savunmaya 10 seviye ekler.


//
// Ecological Restoration techs
//
ECORESTORATION_0_NAME   | Ekolojik Restorasyon
ECORESTORATION_0_DETAIL | 1 BC maliyetiyle 2 birimlik endüstriyel atığı temizler.

ECORESTORATION_1_NAME   | Pekiştirilmiş Ekolojik Restorasyon
ECORESTORATION_1_DETAIL | 3 BC maliyetiyle 2 birimlik endüstriyel atığı temizler.

ECORESTORATION_2_NAME   | Gelişmiş Ekolojik Restorasyon
ECORESTORATION_2_DETAIL | 5 BC maliyetiyle 2 birimlik endüstriyel atığı temizler.

ECORESTORATION_3_NAME   | İleri Ekolojik Restorasyon
ECORESTORATION_3_DETAIL | 10 BC maliyetiyle 2 birimlik endüstriyel atığı temizler.

ECORESTORATION_4_NAME   | Tam Ekolojik Restorasyon
ECORESTORATION_4_DETAIL | 20 BC maliyetiyle 2 birimlik endüstriyel atığı temizler.


//
// Energy Pulsar techs
//
PULSAR_0_NAME     | Enerji Titreşimi
PULSAR_0_BRIEF    | Genişleyip 1-5 hasar verir.
PULSAR_0_DETAIL   | Bütün bitişik gemilere her iki gemi başına 2 olmak üzere, 5 hasara kadar zarar veren ani bir küresel enerji patlaması sağlayan etkili bir motor tadilatı.


PULSAR_1_NAME     | İyon Titreşimi
PULSAR_1_BRIEF    | Genişleyip 2-10 hasar verir.
PULSAR_1_DETAIL   | Bütün bitişik gemilere her saldıran gemi başına 1 olmak üzere, 10 hasara kadar zarar veren aşamalı bir küresel enerji patlaması sağlayan güçlü bir motor tadilatı.



//
// Engine techs
//
ENGINE_0_NAME    | Retro Motorlar 
ENGINE_0_DETAIL  | Gemileri %1 Eğimde hareket ettirir ve savaşta maksimum sınıf I manevra kabiliyeti sağlar.
ENGINE_0_ITEM    | Retro
ENGINE_0_ITEM2   | Sınıf 1
ENGINE_0_BRIEF   | Eğim 1  Sav %1
ENGINE_0_BRIEF2  | Muharebe Hızı %1

ENGINE_1_NAME    | Nükleer Motorlar
ENGINE_1_DETAIL  | MGemileri %1 Eğimde hareket ettirir ve savaşta maksimum sınıf II manevra kabiliyeti sağlar.
ENGINE_1_ITEM    | Nükleer
ENGINE_1_ITEM2   | Sınıf 2
ENGINE_1_BRIEF   | Eğim 2  Sav %1
ENGINE_1_BRIEF2  | Muharebe Hızı %1

ENGINE_2_NAME    | IşıkAltı İticileri
ENGINE_2_DETAIL  | Gemileri %1 Eğimde hareket ettirir ve savaşta maksimum sınıf III manevra kabiliyeti sağlar.
ENGINE_2_ITEM    | IşıkAltı
ENGINE_2_ITEM2   | Sınıf 3
ENGINE_2_BRIEF   | Eğim 3  Sav %1
ENGINE_2_BRIEF2  | Muharebe Hızı %1

ENGINE_3_NAME    | Füzyon İticileri
ENGINE_3_DETAIL  | Gemileri %1 Eğimde hareket ettirir ve savaşta maksimum sınıf IV manevra kabiliyeti sağlar.
ENGINE_3_ITEM    | Füzyon
ENGINE_3_ITEM2   | Sınıf 4
ENGINE_3_BRIEF   | Eğim 4  Sav %1
ENGINE_3_BRIEF2  | Muharebe Hızı %1

ENGINE_4_NAME    | Tepki İticileri
ENGINE_4_DETAIL  | Gemileri %1 Eğimde hareket ettirir ve savaşta maksimum sınıf V manevra kabiliyeti sağlar.
ENGINE_4_ITEM    | Tepki
ENGINE_4_ITEM2   | Sınıf 5
ENGINE_4_BRIEF   | Eğim 5  Sav %1
ENGINE_4_BRIEF2  | Muharebe Hızı %1

ENGINE_5_NAME    | İyon İticileri
ENGINE_5_DETAIL  | Gemileri %1 Eğimde hareket ettirir ve savaşta maksimum sınıf VI manevra kabiliyeti sağlar.
ENGINE_5_ITEM    | İyon
ENGINE_5_ITEM2   | Sınıf 6
ENGINE_5_BRIEF   | Eğim 6  Sav %1
ENGINE_5_BRIEF2  | Muharebe Hızı %1

ENGINE_6_NAME    | Anti-Madde İticileri
ENGINE_6_DETAIL  | Gemileri %1 Eğimde hareket ettirir ve savaşta maksimum sınıf VII manevra kabiliyeti sağlar.
ENGINE_6_ITEM    | Anti-Madde
ENGINE_6_ITEM2   | Sınıf 7
ENGINE_6_BRIEF   | Eğim 7  Sav %1
ENGINE_6_BRIEF2  | Muharebe Hızı %1

ENGINE_7_NAME    | Arafaz İticileri
ENGINE_7_DETAIL  | Gemileri %1 Eğimde hareket ettirir ve savaşta maksimum sınıf VII manevra kabiliyeti sağlar.
ENGINE_7_ITEM    | Arafaz
ENGINE_7_ITEM2   | Sınıf 8
ENGINE_7_BRIEF   | Eğim 8  Sav %1
ENGINE_7_BRIEF2  | Muharebe Hızı %1

ENGINE_8_NAME    | Hiperiticiler
ENGINE_8_DETAIL  | Gemileri %1 Eğimde hareket ettirir ve savaşta maksimum sınıf IX manevra kabiliyeti sağlar.
ENGINE_8_ITEM    | Hiper
ENGINE_8_ITEM2   | Sınıf 9
ENGINE_8_BRIEF   | Eğim 9  Sav %1
ENGINE_8_BRIEF2  | Muharebe Hızı %1


//
// Fuel Range techs
//
FUELRANGE_0_NAME   | Yakıt Deposu
FUELRANGE_0_DETAIL | Gemilerin koloni gezegenlerinden %1 ışık yılı uzağa gidebilmelerini sağlayan yakıt rezervleri.

FUELRANGE_1_NAME   | Hidrojen Yakıt Deposu
FUELRANGE_1_DETAIL | Gemilerin koloni gezegenlerinden %1 ışık yılı uzağa gidebilmelerini sağlayan yakıt rezervleri.

FUELRANGE_2_NAME   | Döteryum Yakıt Deposu
FUELRANGE_2_DETAIL | Gemilerin koloni gezegenlerinden %1 ışık yılı uzağa gidebilmelerini sağlayan yakıt rezervleri.

FUELRANGE_3_NAME   | İridyum Yakıt Deposu
FUELRANGE_3_DETAIL | Gemilerin koloni gezegenlerinden %1 ışık yılı uzağa gidebilmelerini sağlayan yakıt rezervleri.

FUELRANGE_4_NAME   | Dotomit Kristalleri
FUELRANGE_4_DETAIL | Gemilerin koloni gezegenlerinden %1 ışık yılı uzağa gidebilmelerini sağlayan yakıt rezervleri.

FUELRANGE_5_NAME   | Uridyum Yakıt Deposu
FUELRANGE_5_DETAIL | Gemilerin koloni gezegenlerinden %1 ışık yılı uzağa gidebilmelerini sağlayan yakıt rezervleri.

FUELRANGE_6_NAME   | Reajax II Yakıt Deposu
FUELRANGE_6_DETAIL | Gemilerin koloni gezegenlerinden %1 ışık yılı uzağa gidebilmelerini sağlayan yakıt rezervleri.

FUELRANGE_7_NAME   | Trilityum Kristalleri
FUELRANGE_7_DETAIL | Gemilerin koloni gezegenlerinden %1 ışık yılı uzağa gidebilmelerini sağlayan yakıt rezervleri.

FUELRANGE_8_NAME   | Toryum Depoları
FUELRANGE_8_DETAIL | Gemilerin koloni gezegenlerinden olası her yere gidebilmelerini sağlayan yakıt rezervleri.


//
// Future Computer techs
//
FUTURECOMP_0_NAME    | Gelecek Bilgisayarı I
FUTURECOMP_0_DETAIL  | Bilgisayar teknolojisinde genel geliştirmeler.

FUTURECOMP_1_NAME    | Gelecek Bilgisayarı  II
FUTURECOMP_1_DETAIL  | Bilgisayar teknolojisinde genel geliştirmeler.

FUTURECOMP_2_NAME    | FGelecek Bilgisayarı  III
FUTURECOMP_2_DETAIL  | Bilgisayar teknolojisinde genel geliştirmeler.

FUTURECOMP_3_NAME    | Gelecek Bilgisayarı  IV
FUTURECOMP_3_DETAIL  | Bilgisayar teknolojisinde genel geliştirmeler.

FUTURECOMP_4_NAME    | Gelecek Bilgisayarı  V
FUTURECOMP_4_DETAIL  | Bilgisayar teknolojisinde genel geliştirmeler.

FUTURECOMP_5_NAME    | Gelecek Bilgisayarı  VI
FUTURECOMP_5_DETAIL  | Bilgisayar teknolojisinde genel geliştirmeler.

FUTURECOMP_6_NAME    | Gelecek Bilgisayarı  VII
FUTURECOMP_6_DETAIL  | Bilgisayar teknolojisinde genel geliştirmeler.

FUTURECOMP_7_NAME    | Gelecek Bilgisayarı  VIII
FUTURECOMP_7_DETAIL  | Bilgisayar teknolojisinde genel geliştirmeler.

FUTURECOMP_8_NAME    | Gelecek Bilgisayarı  IX
FUTURECOMP_8_DETAIL  | Bilgisayar teknolojisinde genel geliştirmeler.

FUTURECOMP_9_NAME    | Gelecek Bilgisayarı  X
