

//
// Armor techs
// 
ARMOR_0_NAME     | Armatura di titanio

COMPUTER_3_NAME    | Computer da battaglia III
COMPUTER_3_ITEM    | Mark III
COMPUTER_3_BRIEF   | Livello di attacco III
COMPUTER_3_DETAIL  | Aumenta la precisione dell'arma al livello 3.

COMPUTER_4_NAME    | Computer da battaglia Mark IV
COMPUTER_4_ITEM    | Mark IV
COMPUTER_4_BRIEF   | Livello di attacco IV
COMPUTER_4_DETAIL  | Aumenta la precisione dell'arma al livello 4.

COMPUTER_5_NAME    | Computer da battaglia Mark V
COMPUTER_5_ITEM    | Mark V
COMPUTER_5_BRIEF   | Livello di attacco V
COMPUTER_5_DETAIL  | Aumenta la precisione dell'arma al livello 5.

COMPUTER_6_NAME    | Computer da battaglia Mark VI
COMPUTER_6_ITEM    | Mark VI
COMPUTER_6_BRIEF   | Livello di attacco VI
COMPUTER_6_DETAIL  | Aumenta la precisione dell'arma al livello 6.

COMPUTER_7_NAME    | Computer da battaglia Mark VII
COMPUTER_7_ITEM    | Mark VII
COMPUTER_7_BRIEF   | Livello di attacco VII
COMPUTER_7_DETAIL  | Aumenta la precisione dell'arma al livello 7.

COMPUTER_8_NAME    | Computer da battaglia Mark VIII
COMPUTER_8_ITEM    | Mark VIII
COMPUTER_8_BRIEF   | Livello di attacco VIII
COMPUTER_8_DETAIL  | Aumenta la precisione dell'arma al livello 8.

COMPUTER_9_NAME    | Computer da battaglia Mark IX
COMPUTER_9_ITEM    | Mark IX
COMPUTER_9_BRIEF   | Livello di attacco IX
COMPUTER_9_DETAIL  | Aumenta la precisione dell'arma al livello 9.

COMPUTER_10_NAME   | Computer da battaglia Mark X
COMPUTER_10_ITEM   | Mark X
COMPUTER_10_BRIEF  | Livello di attacco X
COMPUTER_10_DETAIL | Aumenta la precisione dell'arma al livello 10.

COMPUTER_11_NAME   | Computer da battaglia Mark XI
COMPUTER_11_ITEM   | Mark XI
COMPUTER_11_BRIEF  | Livello di attacco XI
COMPUTER_11_DETAIL | Aumenta la precisione dell'arma al livello 11.


//
// Battle Suit techs for ground combat
// 
// this is for default, no-bonus armor that player starts with
BATTLESUIT_0_NAME    | Armatura
BATTLESUIT_0_DETAIL  |

BATTLESUIT_1_NAME    | Tute da battaglia
BATTLESUIT_1_DETAIL  | Armatura che non solo protegge ma aumenta anche la forza. Aggiunge 10 a tutti i tiri per il combattimento a terra.

BATTLESUIT_2_NAME    | Esoscheletro corazzato
BATTLESUIT_2_DETAIL  | Mobile tute avanzate che non solo aumentano la potenza e aumentano le difese, ma offrono anche un volo limitato alle truppe di terra. Aggiunge 20 a tutti i tiri per il combattimento a terra.

BATTLESUIT_3_NAME    | Armatura potenziata
BATTLESUIT_3_DETAIL  | Combina elevata mobilità, volo antigravitazionale e corazzatura pesante per formare l'armatura più avanzata disponibile per le truppe di terra. Aggiunge 30 a tutti i tiri per il combattimento a terra.


//
// Energy Focus techs for beam weapons
// 
BEAMFOCUS_0_NAME    | Concentrazione ad alta energia
BEAMFOCUS_0_BRIEF   | Aggiunge +3 al raggio delle armi a energia
BEAMFOCUS_0_DETAIL  | Aumenta di tre il raggio di tiro di tutte le armi a energia.

BEAMFOCUS_1_NAME    | Interfaccia Oracolo
BEAMFOCUS_1_BRIEF   | Concentra le armi a raggio, dimezza lo scudo del nemico
BEAMFOCUS_1_DETAIL  | Coordina tutti gli attacchi con armi a raggio in un'unica raffica simultanea di fuoco concentrato, dimezzando la forza dello scudo del nemico.


//
// Biological antidote techs 
// 
BIOANTIDOTE_0_NAME    | Antidoto alla Biotossina
BIOANTIDOTE_0_DETAIL  | Riduce le perdite subite dalle armi biologiche di 1M per attacco.
BIOANTIDOTE_1_NAME    | Antidoto Universale
BIOANTIDOTE_1_DETAIL  | Riduce le perdite subite dalle armi biologiche di 2M per attacco.


//
// Biological weapon techs 
// 
BIOWEAPON_0_NAME     | Spore di Morte
BIOWEAPON_0_BRIEF    | Arma Biologica
BIOWEAPON_0_DETAIL   | Orribili armi biologiche in grado di ridurre la popolazione planetaria massima di 1M per attacco.

BIOWEAPON_1_NAME     | Virus della Condanna
BIOWEAPON_1_BRIEF    | Arma Biologica
BIOWEAPON_1_DETAIL   | Spaventose armi biologiche in grado di ridurre le popolazioni planetarie di 2M per attacco.

BIOWEAPON_2_NAME     | Bioterminatore
BIOWEAPON_2_BRIEF    | Arma Biologica
BIOWEAPON_2_DETAIL   | Abominevoli armi biologiche in grado di ridurre le popolazioni planetarie di 3M per attacco.

//
// Black Hole Generator tech
//
BLACKHOLE_0_NAME     | Generatore di Buchi Neri
BLACKHOLE_0_DETAIL   | Crea un campo subspaziale che deforma lo spazio normale, creando un buco nero che distrugge dal 25% al 100% delle navi nemiche o delle basi missilistiche, meno il 2% per classe di scudi.


//
// Bomb weapon tech
//
BOMB_0_NAME     | Bomba Nucleare
BOMB_0_BRIEF    | Solo Attacchi a Terra
BOMB_0_DETAIL   | Bombe che esplodono per 3-12 danni solo su bersagli a terra.

BOMB_1_NAME     | Bomba a Fusione
BOMB_1_BRIEF    | Solo Attacchi a Terra
BOMB_1_DETAIL   | Bombe che esplodono per 5-20 punti di danno solo su bersagli a terra.

BOMB_2_NAME     | Bomba Antimateria
BOMB_2_BRIEF    | Solo Attacchi a Terra
BOMB_2_DETAIL   | Bombe che esplodono per 10-40 punti di danno solo contro bersagli planetari.

BOMB_3_NAME     | Bomba Omega-V
BOMB_3_BRIEF    | Solo Attacchi a Terra
BOMB_3_DETAIL   | Bombe che esplodono per 20-50 punti di danno solo su bersagli a terra.

BOMB_4_NAME     | Bomba al Neutronio
BOMB_4_BRIEF    | Solo Attacchi a Terra
BOMB_4_DETAIL   | Bombe che esplodono per 40-70 punti di danno solo su bersagli a terra.


//
// Cloaking tech
//
CLOAK_0_NAME     | Dispositivo di occultamento
CLOAK_0_BRIEF    | Rende la nave quasi invisibile
CLOAK_0_DETAIL   | Rende la nave quasi invisibile finché non attacca, migliorando le sue difese di +5. Le navi devono svelarsi per attaccare e si rioccuperanno automaticamente in qualsiasi turno in cui non attaccano.


//
// Cloning tech
//
CLONE_0_NAME     | Clonazione
CLONE_0_DETAIL   | Consente ai coloni bioingegnerizzati di crescere a una velocità di 1M per 10 BC.

CLONE_1_NAME     | Clonazione avanzata
CLONE_1_DETAIL   | Consente ai coloni bioingegnerizzati di crescere a una velocità di 1M per 5 BC.


//
// Combat Transporter tech
//
COMBATTRANSPORT_0_NAME     | Trasportatori da combattimento
COMBATTRANSPORT_0_DETAIL   | I trasporti dotati di questi dispositivi hanno una probabilità del 50% di essere proiettati sulle superfici nemiche prima di essere attaccati dalle navi nemiche e dalle basi di difesa missilistica.

//
// Control Environment tech
//
CONTROLENV_0_NAME    | Ambiente Normale Controllato
CONTROLENV_0_ITEM    | Base della Colonia Standard
CONTROLENV_0_BRIEF   | Consente degli atterraggi su un pianeta normale
CONTROLENV_0_DETAIL  | Permette la colonizzazione di pianeti standard.

CONTROLENV_1_NAME    | Ambiente Sterile Controllato
CONTROLENV_1_ITEM    | Base della Colonia Sterile.
CONTROLENV_1_BRIEF   | Consente degli atterraggi su un pianeta sterile
CONTROLENV_1_DETAIL  | Permette la colonizzazione di pianeti aridi e meno ostili.

CONTROLENV_2_NAME    | Ambiente Controllato Tundra
CONTROLENV_2_ITEM    | Base della Colonia Tundra
CONTROLENV_2_BRIEF   | Consente degli atterraggi su un pianeta tundra
CONTROLENV_2_DETAIL  | Permette la colonizzazione di pianeti tundra e meno ostili.

CONTROLENV_3_NAME    | Ambiente Morto Controllato
CONTROLENV_3_ITEM    | Base della Colonia Morta
CONTROLENV_3_BRIEF   | Consente degli atterraggi su un pianeta morto
CONTROLENV_3_DETAIL  | Permette la colonizzazione di pianeti morti e meno ostili.

CONTROLENV_4_NAME    | Ambiente Inferno Controllato
CONTROLENV_4_ITEM    | Base della Colonia Inferno
CONTROLENV_4_BRIEF   | Consente degli atterraggi su un pianeta inferno
CONTROLENV_4_DETAIL  | Permette la colonizzazione di pianeti inferno e meno ostili.

CONTROLENV_5_NAME    | Ambiente Tossico Controllato
CONTROLENV_5_ITEM    | Base della Colonica Tossica
CONTROLENV_5_BRIEF   | Consente degli atteraggi su un pianeta tossico
CONTROLENV_5_DETAIL  | Permette la colonizzazione di pianeti tossici e meno ostili.

CONTROLENV_6_NAME    | Ambiente Irradiato Controllato
CONTROLENV_6_ITEM    | Base della Colonia Irradiata
CONTROLENV_6_BRIEF   | Consente degli atterraggi su un pianeta irradiato.
CONTROLENV_6_DETAIL  | Permette la colonizzazione di pianeti irradiati e meno ostili.


//
// Deflector Shield tech
//
// this is the entry on Ship Design for selecting no deflector shield
DEFLECTOR_0_NAME      | 
DEFLECTOR_0_ITEM      |   
DEFLECTOR_0_BRIEF     |  
DEFLECTOR_0_DETAIL    | 

DEFLECTOR_1_NAME      | Scudi Deflettori di Classe I
DEFLECTOR_1_ITEM      | Classe I
DEFLECTOR_1_BRIEF     | Assorbe 1 colpo
DEFLECTOR_1_DETAIL    | Assorbe 1 punto di danno da tutti gli attacchi.

DEFLECTOR_2_NAME      | Scudi Deflettori di Classe II
DEFLECTOR_2_ITEM      | Classe II
DEFLECTOR_2_BRIEF     | Assorbe 2 colpi
DEFLECTOR_2_DETAIL    | Assorbe 2 punti di danno da tutti gli attacchi.

DEFLECTOR_3_NAME      | Scudi Deflettori di Classe III
DEFLECTOR_3_ITEM      | Classe III
DEFLECTOR_3_BRIEF     | Assorbe 3 colpi
DEFLECTOR_3_DETAIL    | Assorbe 3 punti di danno da tutti gli attacchi.

DEFLECTOR_4_NAME      | Scudi Deflettori di Classe IV
DEFLECTOR_4_ITEM      | Classe IV
DEFLECTOR_4_BRIEF     | Assorbe 4 colpi
DEFLECTOR_4_DETAIL    | Assorbe 4 punti di danno da tutti gli attacchi.

DEFLECTOR_5_NAME      | Scudi Deflettori di Classe V
DEFLECTOR_5_ITEM      | Classe V
DEFLECTOR_5_BRIEF     | Assorbe 5 colpi
DEFLECTOR_5_DETAIL    | Assorbe 5 punti di danno da tutti gli attacchi.

DEFLECTOR_6_NAME      | Scudi Deflettori di Classe VI
DEFLECTOR_6_ITEM      | Classe VI
DEFLECTOR_6_BRIEF     | Assorbe 6 colpi
DEFLECTOR_6_DETAIL    | Assorbe 6 punti di danno da tutti gli attacchi.

DEFLECTOR_7_NAME      | Scudi Deflettori di Classe VII
DEFLECTOR_7_ITEM      | Classe VII
DEFLECTOR_7_BRIEF     | Assorbe 7 colpi
DEFLECTOR_7_DETAIL    | Assorbe 7 punti di danno da tutti gli attacchi.

DEFLECTOR_8_NAME      | Scudi Deflettori di Classe IX
DEFLECTOR_8_ITEM      | Classe IX
DEFLECTOR_8_BRIEF     | Assorbe 9 colpi
DEFLECTOR_8_DETAIL    | Assorbe 9 punti di danno da tutti gli attacchi.

DEFLECTOR_9_NAME      | Scudi Deflettori di Classe XI
DEFLECTOR_9_ITEM      | Classe XI
DEFLECTOR_9_BRIEF     | Assorbe 11 colpi
DEFLECTOR_9_DETAIL    | Assorbe 11 punti di danno da tutti gli attacchi.

DEFLECTOR_10_NAME     | Scudi Deflettori di Classe XIII
DEFLECTOR_10_ITEM     | Classe XIII
DEFLECTOR_10_BRIEF    | Assorbe 13 colpi
DEFLECTOR_10_DETAIL   | Assorbe 13 punti di danno da tutti gli attacchi.

DEFLECTOR_11_NAME     | Scudi Deflettori di Classe XV
DEFLECTOR_11_ITEM     | Classe XV
DEFLECTOR_11_BRIEF    | Assorbe 15 colpi
DEFLECTOR_11_DETAIL   | Assorbe 15 punti di danno da tutti gli attacchi.

//
// Displacement tech
//
DISPLACEMENT_0_NAME   | Dispositivo di Spostamento
DISPLACEMENT_0_BRIEF  | 1/3 di tutti gli attacchi nemici mancano
DISPLACEMENT_0_DETAIL | Sposta casualmente le navi equipaggiate dentro e fuori dallo spazio normale, consentendo loro di evitare 1/3 di tutti gli attacchi con armi non ad area.

//
// ECM Jammer tech
//
// this is the entry on Ship Design for selecting no ECM Jammer
ECMJAMMER_0_NAME      | 
ECMJAMMER_0_ITEM      | 
ECMJAMMER_0_BRIEF     | Missile Def 0
ECMJAMMER_0_DETAIL    | 

ECMJAMMER_1_NAME      | Mark I Jammer di ECM
ECMJAMMER_1_ITEM      | Jammer I
ECMJAMMER_1_BRIEF     | Missile Def 1
ECMJAMMER_1_DETAIL    | Aggiunge 1 livello alla difesa contro gli attacchi missilistici nemici.

ECMJAMMER_2_NAME      | Mark II Jammer di ECM
ECMJAMMER_2_ITEM      | Jammer II
ECMJAMMER_2_BRIEF     | Missile Def 2
ECMJAMMER_2_DETAIL    | Aggiunge 2 livelli alla difesa contro gli attacchi missilistici nemici.

ECMJAMMER_3_NAME      | Mark III Jammer di ECM
ECMJAMMER_3_ITEM      | Jammer III
ECMJAMMER_3_BRIEF     | Missile Def 3
ECMJAMMER_3_DETAIL    | Aggiunge 3 livelli alla difesa contro gli attacchi missilistici nemici.

ECMJAMMER_4_NAME      | Mark IV Jammer di ECM
ECMJAMMER_4_ITEM      | Jammer IV
ECMJAMMER_4_BRIEF     | Missile Def 4
ECMJAMMER_4_DETAIL    | Aggiunge 4 livelli alla difesa contro gli attacchi missilistici nemici.

ECMJAMMER_5_NAME      | Mark V Jammer di ECM
ECMJAMMER_5_ITEM      | Jammer V
ECMJAMMER_5_BRIEF     | Missile Def 5
ECMJAMMER_5_DETAIL    | Aggiunge 5 livelli alla difesa contro gli attacchi missilistici nemici.

ECMJAMMER_6_NAME      | Mark VI Jammer di ECM
ECMJAMMER_6_ITEM      | Jammer VI
ECMJAMMER_6_BRIEF     | Missile Def 6
ECMJAMMER_6_DETAIL    | Aggiunge 6 livelli alla difesa contro gli attacchi missilistici nemici.

ECMJAMMER_7_NAME      | Mark VII Jammer di ECM
ECMJAMMER_7_ITEM      | Jammer VII
ECMJAMMER_7_BRIEF     | Missile Def 7
ECMJAMMER_7_DETAIL    | Aggiunge 7 livelli alla difesa contro gli attacchi missilistici nemici.

ECMJAMMER_8_NAME      | Mark VIII Jammer di ECM
ECMJAMMER_8_ITEM      | Jammer VIII
ECMJAMMER_8_BRIEF     | Missile Def 8
ECMJAMMER_8_DETAIL    | Aggiunge 8 livelli alla difesa contro gli attacchi missilistici nemici..

ECMJAMMER_9_NAME      | Mark IX Jammer di ECM
ECMJAMMER_9_ITEM      | Jammer IX
ECMJAMMER_9_BRIEF     | Missile Def 9
ECMJAMMER_9_DETAIL    | Aggiunge 9 livelli alla difesa contro gli attacchi missilistici nemici.

ECMJAMMER_10_NAME     | Mark X Jammer di ECM
ECMJAMMER_10_ITEM     | Jammer X
ECMJAMMER_10_BRIEF    | Missile Def 10
ECMJAMMER_10_DETAIL   | Aggiunge 10 livelli alla difesa contro gli attacchi missilistici nemici.


//
// Ecological Restoration techs
//
ECORESTORATION_0_NAME   | Restauro Ecologico
ECORESTORATION_0_DETAIL | Elimina 2 unità di rifiuti industriali per un costo di 1 BC.

ECORESTORATION_1_NAME   | Restauro ecologico migliorato
ECORESTORATION_1_DETAIL | Elimina 3 unità di rifiuti industriali per un costo di 1 BC.

ECORESTORATION_2_NAME   | Restauro ecologico rafforzato
ECORESTORATION_2_DETAIL | Elimina 5 unità di rifiuti industriali per un costo di 1 BC.

ECORESTORATION_3_NAME   | Restauro ecologico avanzato
ECORESTORATION_3_DETAIL | Elimina 10 unità di rifiuti industriali per un costo di 1 BC.

ECORESTORATION_4_NAME   | Restauro ecologico completo
ECORESTORATION_4_DETAIL | Elimina 20 unità di rifiuti industriali per un costo di 1 BC.


//
// Energy Pulsar techs
//
PULSAR_0_NAME     | Pulsar di Energia
PULSAR_0_BRIEF    | Si espande per infliggere 1-5 colpi
PULSAR_0_DETAIL   | Una potente modifica del motore che genera un'improvvisa esplosione sferica di energia che colpisce tutte le navi adiacenti fino a 5 punti di danno +1 ogni due navi.

PULSAR_1_NAME     | Pulsar Ionico
	sPULSAR_1_BRIEF    | Si espande per infliggere 2-10 colpi
PULSAR_1_DETAIL   | Una potente modifica del motore in grado di generare un'esplosione sferica di energia graduale che colpisce tutte le navi adiacenti fino a 10 punti di danno +1 per nave attaccante.


//
// Engine techs
//
ENGINE_0_NAME    | Retro Engines 
ENGINE_0_DETAIL  | Muove le navi alla curvatura %1 e consente una manovrabilità massima di classe I in combattimento.
ENGINE_0_ITEM    | Retros
ENGINE_0_ITEM2   | Classe 1
ENGINE_0_BRIEF   | Curvatura 1  Def %1
ENGINE_0_BRIEF2  | Velocità di combattimento %1

ENGINE_1_NAME    | Motori Nucleari
ENGINE_1_DETAIL  | Muove le navi alla curvatura %1 e consente una manovrabilità massima di classe II in combattimento.
ENGINE_1_ITEM    | Nucleare
ENGINE_1_ITEM2   | Classe 2
ENGINE_1_BRIEF   | Curvatura 2  Def %1
ENGINE_1_BRIEF2  | Velocità di combattimento %1

ENGINE_2_NAME    | Trazione Subluce
ENGINE_2_DETAIL  | Muove le navi alla curvatura %1 e consente una manovrabilità massima di classe III in combattimento.
ENGINE_2_ITEM    | Subluce
ENGINE_2_ITEM2   | Classe 3
ENGINE_2_BRIEF   | Curvatura 3  Def %1
ENGINE_2_BRIEF2  | Velocità di combattimento %1

ENGINE_3_NAME    | Trazione a Fusione  
ENGINE_3_DETAIL  | Muove le navi alla curvatura %1 e consente una manovrabilità massima di classe IV in combattimento.
ENGINE_3_ITEM    | Fusione
ENGINE_3_ITEM2   | Classe 4
ENGINE_3_BRIEF   | Curvatura 4  Def %1
ENGINE_3_BRIEF2  | Velocità di combattimento %1

ENGINE_4_NAME    | Motori ad Impulso
ENGINE_4_DETAIL  | Muove le navi alla curvatura %1 e consente una manovrabilità massima di classe V in combattimento.
ENGINE_4_ITEM    | Impulso
ENGINE_4_ITEM2   | Classe 5
ENGINE_4_BRIEF   | Curvatura 5  Def %1
ENGINE_4_BRIEF2  | Velocità di combattimento %1

ENGINE_5_NAME    | Trazione Ionica
ENGINE_5_DETAIL  | Muove le navi alla curvatura %1 e consente una manovrabilità massima di classe VI in combattimento.
ENGINE_5_ITEM    | Ione
ENGINE_5_ITEM2   | Classe 6
ENGINE_5_BRIEF   | Curvatura 6  Def %1
ENGINE_5_BRIEF2  | Velocità di combattimento %1

ENGINE_6_NAME    | Motori ad Antimateria
ENGINE_6_DETAIL  | Muove le navi alla curvatura %1 e consente una manovrabilità massima di classe VII in combattimento.
ENGINE_6_ITEM    | Antimateria
ENGINE_6_ITEM2   | Classe 7
ENGINE_6_BRIEF   | Curvatura 7  Def %1
ENGINE_6_BRIEF2  | Velocità di combattimento %1

ENGINE_7_NAME    | Trazione interfasica
ENGINE_7_DETAIL  | Muove le navi alla curvatura %1 e consente una manovrabilità massima di classe VIII in combattimento.
ENGINE_7_ITEM    | Interfase
ENGINE_7_ITEM2   | Classe 8
ENGINE_7_BRIEF   | Curvatura 8  Def %1
ENGINE_7_BRIEF2  | Velocità di combattimento %1

ENGINE_8_NAME    | Trazione Iper
ENGINE_8_DETAIL  | Muove le navi alla curvatura %1 e consente una manovrabilità massima di classe IX in combattimento.
ENGINE_8_ITEM    | Hyper
ENGINE_8_ITEM2   | Classe 9
ENGINE_8_BRIEF   | Curvatura 9  Def %1
ENGINE_8_BRIEF2  | Velocità di combattimento %1


//
// Fuel Range techs
//
FUELRANGE_0_NAME   | Celle a Combustibile
FUELRANGE_0_DETAIL | Le riserve di carburante consentono alle navi di spostarsi fino a %1 anni luce di distanza dai pianeti delle colonie.

FUELRANGE_1_NAME   | Celle a Combustibile a Idrogeno
FUELRANGE_1_DETAIL | Le riserve di carburante consentono alle navi di spostarsi fino a %1 anni luce di distanza dai pianeti delle colonie.

FUELRANGE_2_NAME   | Celle a Combustibile al Deuterio
FUELRANGE_2_DETAIL | Le riserve di carburante consentono alle navi di spostarsi fino a %1 anni luce di distanza dai pianeti delle colonie.

FUELRANGE_3_NAME   | Celle a Combustibile all'Irridio
FUELRANGE_3_DETAIL | Le riserve di carburante consentono alle navi di spostarsi fino a %1 anni luce di distanza dai pianeti delle colonie.

FUELRANGE_4_NAME   | Cristalli di Dotomite
FUELRANGE_4_DETAIL | Le riserve di carburante consentono alle navi di spostarsi fino a %1 anni luce di distanza dai pianeti delle colonie.

FUELRANGE_5_NAME   | Celle a Combustibile all'Uridio
FUELRANGE_5_DETAIL | Le riserve di carburante consentono alle navi di spostarsi fino a %1 anni luce di distanza dai pianeti delle colonie.

FUELRANGE_6_NAME   | Celle a Combustibile Reajax II
FUELRANGE_6_DETAIL | Le riserve di carburante consentono alle navi di spostarsi fino a %1 anni luce di distanza dai pianeti delle colonie.

FUELRANGE_7_NAME   | Cristalli di Trilitio
FUELRANGE_7_DETAIL | Le riserve di carburante consentono alle navi di spostarsi fino a %1 anni luce di distanza dai pianeti delle colonie.

FUELRANGE_8_NAME   | Cellule di Torio
FUELRANGE_8_DETAIL | Le riserve di carburante consentono alle navi di spostarsi a qualsiasi distanza dai pianeti delle colonie.


//
// Future Computer techs
//
FUTURECOMP_0_NAME    | Computer Futuristico I
FUTURECOMP_0_DETAIL  | Miglioramenti generali nella tecnologia informatica.

FUTURECOMP_1_NAME    | Computer Futuristico II
FUTURECOMP_1_DETAIL  | Miglioramenti generali nella tecnologia informatica.

FUTURECOMP_2_NAME    | Computer Futuristico III
FUTURECOMP_2_DETAIL  | Miglioramenti generali nella tecnologia informatica.

FUTURECOMP_3_NAME    | Computer Futuristico IV
FUTURECOMP_3_DETAIL  | Miglioramenti generali nella tecnologia informatica.

FUTURECOMP_4_NAME    | Computer Futuristico V
FUTURECOMP_4_DETAIL  | Miglioramenti generali nella tecnologia informatica.

FUTURECOMP_5_NAME    | Computer Futuristico VI
FUTURECOMP_5_DETAIL  | Miglioramenti generali nella tecnologia informatica.

FUTURECOMP_6_NAME    | Computer Futuristico VII
FUTURECOMP_6_DETAIL  | Miglioramenti generali nella tecnologia informatica.

FUTURECOMP_7_NAME    | Computer Futuristico VIII
FUTURECOMP_7_DETAIL  | Miglioramenti generali nella tecnologia informatica.

FUTURECOMP_8_NAME    | Computer Futuristico IX
FUTURECOMP_8_DETAIL  | Miglioramenti generali nella tecnologia informatica.

FUTURECOMP_9_NAME    | Computer Futuristico X
FUTURECOMP_9_DETAIL  | Miglioramenti generali nella tecnologia informatica. 


//
// Future Construction techs
//
FUTURECONST_0_NAME    | Costruzione Futuristica I
FUTURECONST_0_DETAIL  | Miglioramenti generali nella tecnologia delle costruzioni.

FUTURECONST_1_NAME    | Costruzione Futuristica II
FUTURECONST_1_DETAIL  | Miglioramenti generali nella tecnologia delle costruzioni.

FUTURECONST_2_NAME    | Costruzione Futuristica III
FUTURECONST_2_DETAIL  | Miglioramenti generali nella tecnologia delle costruzioni.

FUTURECONST_3_NAME    | Costruzione Futuristica IV
FUTURECONST_3_DETAIL  | Miglioramenti generali nella tecnologia delle costruzioni..

FUTURECONST_4_NAME    | Costruzione Futuristica V
FUTURECONST_4_DETAIL  | Miglioramenti generali nella tecnologia delle costruzioni.

FUTURECONST_5_NAME    | Costruzione Futuristica VI
FUTURECONST_5_DETAIL  | Miglioramenti generali nella tecnologia delle costruzioni.

FUTURECONST_6_NAME    | Costruzione Futuristica VII
FUTURECONST_6_DETAIL  | Miglioramenti generali nella tecnologia delle costruzioni.

FUTURECONST_7_NAME    | Costruzione Futuristica VIII
FUTURECONST_7_DETAIL  | Miglioramenti generali nella tecnologia delle costruzioni.

FUTURECONST_8_NAME    | Costruzione Futuristica IX
FUTURECONST_8_DETAIL  | GMiglioramenti generali nella tecnologia delle costruzioni.

FUTURECONST_9_NAME    | Costruzione Futuristica X
FUTURECONST_9_DETAIL  | Miglioramenti generali nella tecnologia delle costruzioni.


//
// Future Force Field techs
//
FUTUREFORCE_0_NAME    | Campo di Forza Futuristico I
FUTUREFORCE_0_DETAIL  | Miglioramenti Generali nella Tecnologia del Campo di Forza.

FUTUREFORCE_1_NAME    | Campo di Forza Futuristico II
FUTUREFORCE_1_DETAIL  | Miglioramenti Generali nella Tecnologia del Campo di Forza.

