// race-specific variables (must start with _)
_empire                           | Ursinathi Empire, Bearathi Empire, Burlathi Empire, Pawrathi Empire, Grizzlathi Empire
GAME_OVER_MILITARY_WIN2           | The fury of your empire reigns supreme!#You stand now past the threshold of total victory over every empire that has made itself known to your people. Foolishly they thought they were capable of opposing your military might, only to find their fleets broken and their people scattered to face whatever ignominious end awaits them. Did they not recognize the fury in your hearts? Did they not detect the tenacity of your convictions? It does not matter now, for the victors need not concern themselves with the thoughts of the defeated, and none now remain to challenge the fact that you and you alone have dominated all who stood in your way.#Long ago your people set forth to find their place in this universe, and you have shown them that they were destined to rule this galaxy in its entirety. Hail victory, Grand Hierarch! Hail the Ursinathi Empire! 
GAME_OVER_MILITARY_ALLIANCE_WIN2  | None now remain who would dare challenge your fury.#Your greatest fear as Grand Hierarch of the Ursinathi Empire was that those you encountered in space would be incompatible with your vision of the future and would need to eventually be destroyed. And indeed, many of them proved to justify that fear, though all that did now lie behind the bloody path the galaxy forced you to carve. But you have found reason to take heart, for not all that you have met proved so disagreeable, and you have found capable allies at the end of this long and tumultuous journey.#Perhaps, in the end, it is better that you have found others to share this galaxy with after all. The bounties of these worlds are rich, and the philosophies that guide your allies will prove themselves interesting considerations for your great minds to muse over for centuries. That is, of course, so long as they remain agreeable...
GAME_OVER_COUNCIL_LOSS2           | The rage of your empire is cowed.#None could describe your efforts as anything less than valiant. Against overwhelming odds your people clawed a life for themselves in the depths of the cosmos, earning worlds for the empire throughout the galaxy. Unfortunately, your ferocity was no match for the superior technological innovations and political maneuverings of the alien races you encountered in space. Seeing that there was no path available to you that would enable your victory over the Galactic Council, you have taken the only choice you could: submission to the leader of the New Republic to prevent a war that would surely spell doom for your entire empire.#Though your warrior spirit has been dealt a crushing blow, you know your decision to be the right one. At least, in the end, you have secured survival for your people as the galaxy moves into the future. The alternative to your decision was simply too horrible to imagine...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | The rage of your empire is cowed.#Much has happened since you led your people from their homeworld in the hopes of helping them find their place in the galaxy. Your victories have gained much for your people, and many lands have been folded into the territory of the empire to ensure the Ursinathi a bright future. Unfortunately, the ultimate prize of leading the New Republic was too far out of your grasp, with your ferocity on the battlefield perhaps inspiring too much fear to allow you your most sought after goal.#But all is not lost: a trusted ally has positioned themselves to lead the council in your stead, successful in convincing the other empires that their view for the future is the correct one. While your people long to see you as the ruler of this new future, you know you have chosen your allies well: together with the %8, you will ensure your people a place in the future of this galaxy no matter what the future holds...
GAME_OVER_REBELLION_LOSS2         | The rage of your empire is quashed.#The wars of this galaxy have come to an end. Your people fought hard, with a rage and fury unseen among the other empires, but in the end their victories may have been your undoing. The ferocity with which your people fought acted as a foil against you, and an enemy was given stewardship of the New Republic as they convinced the council members that you were simply too savage to be trusted. As %8 the galaxy, there was nothing you could do but delay the inevitable.#The Ursinathi Empire fell before its enemies in the end. As your territory is divided amongst the victors, and your relics and cities smashed into dust to be scattered on the winds of history, the legends of your people and their valiant last stand are unlikely to inspire fear in the descendants of those who will inherit this galaxy. After all, in the end it is the victors who choose what stories history will tell... 
GAME_OVER_REBELLION_WIN2          | The fury of your empire reigns supreme!#At last you have come now to the place you had known destiny would lead you: the total annihilation of every other race in the galaxy! Your unmatched fury proved overwhelming for your foes, who in their cowardice sought an alliance against you. Hoping their combined power would be enough to destroy you, they scurried like vermin out across the stars in an attempt to burn your worlds to ash. They were fools to hold such beliefs, and your people have shown them how vain their ambitions proved to be.#Behold, Grand Hierarch, a galaxy that is yours for the taking. At your leisure you will add worlds to your fold: your people and your people alone will you harvest the riches of the countless planets unopposed. And when you have taken all that this galaxy can provide, the time will come for you to direct your power to the galaxies that lie beyond...
GAME_OVER_REBEL_ALLIANCE_WIN2     | None now remain who would dare challenge your fury.#The sun rises on what was once the New Republic, with you taking the place you should have occupied from the very beginning. It was obvious how your former enemies would act once banded together, for their fear of you was so great that it unified them in paranoia of your power. Your rebellion was just, for so great a warrior race as yours to grovel and plead like simpering weaklings would be beyond expectation. You even made the case that only doom would befall those who opposed you, no matter how numerous they were. If only the fools had heard you!#However, you are not without mercy. Those wise enough to ally themselves with you will enjoy the fruits of a bountiful future, and their bravery and wisdom will be honored throughout your new empire. They are living testament to your mercy, and never again will they have any enemy to fear. That is, of course, as long as they retain their loyalty to the Ursinathi empire...
GAME_OVER_COUNCIL_WIN2            | The fury of your empire reigns supreme!#This galaxy and its denizens are at your mercy. From the outset of your interstellar campaign, you have met many enemies and few friends. Though your battles were hard fought, the thrill of victory belonged to the Ursinathi when those too foolish to see the error of their ways were made to face extinction. Those remaining saw not only a power they should fear, but an intellect that demanded their respect, and in the last meeting of the Galactic Council, you were chosen to lead what would be known as the New Republic into a shining future.#The time of testing your strength has come to an end: the time for testing your wisdom begins now. What the future holds for the republic led by the philosopher-king of the Ursinathi Empire is unknown. But one thing is certain: none now remain who would oppose your decisions, for your indomitable strength provides all the assurances needed to assuage all doubt and fear from your newfound subjects. Hail the New Republic, and hail the Grand Hierarch of the Ursinathi Empire!
GAME_OVER_COUNCIL_MILITARY_WIN2   | None now remain who would dare challenge your fury.#A new age of peace was supposed to begin as you ascended the throne of the New Republic. While many empires found joy in following a strong leader to guide them into the future, a few short-sighted fools thought themselves wiser and stronger than the duly elected ruler of the galaxy. Your first test as Master of the New Republic was soon upon you, and your swift and decisive actions not only quelled the rebellion, but cemented your position as leader in one fell stroke.#Your enemies are the galaxy's enemies, and they lie broken and defeated before the combined might of your empire and the fleets of the civilizations who serve you. They will serve as a warning to those who threaten the republic in the future: Beware, those who would bring war, for this galaxy is ruled by the most powerful king ever known. Long may you reign, Grand Hierarch, and may your hard-earned future be brighter than your people could ever imagine!
GAME_OVER_COUNCIL_MILITARY_LOSS2  | The rage of your empire is quashed.#Alas that these evil days are yours. After centuries of conquest and exploration, you had achieved your desire of being poised to lead the galaxy with a wise and powerful rule. The rebellion that sprung up to oppose your rule seemed to be small and doomed to failure in the face of your united alliance of powerful empires. But the rebels possessed cunning that you did not expect, and used it to counter your staggering physical prowess at every turn. Your inept allies proved useless in formulating a defense, and before it had even truly begun, the dream of the New Republic was as dead as the civilizations that it was once comprised of.#Had things been different, this galaxy and all those who inhabited it would have moved forward together to a new and brighter era away from strife and war. Now the future lies in the hands of the insidious and greedy rebels who went to any length to see you dethroned. It is they who will lose in the end though, for without your wisdom to guide them, their folly will surely lead them to the grisliest of endings imaginable...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | the unmatched fury of the Ursinathi
GAME_OVER_REBELLION_LOSS3         | the unbridled fury of the Ursinathi dominates
