// race-specific variables (must start with _)
_empire                           | Kholdan-kolonin, Klackran-kolonin, Klyckrin-kolonin, Arthropon-kolonin, Coleopteron-kolonin
GAME_OVER_REBELLION_LOSS2         | Du har gått ett dystert öde till mötes.#Från början var du ensam, och vid ditt slut är du fortfarande ensam. Utan möjlighet att kunna uppfylla ditt sökandes stora mål, drev du mellan att möta olika udda civilisationer tills de med mer insyn än dig slog sig samman för att bilda den Nya Republiken. När du blev varse att ditt sökande skulle nå ett för tidigt slut, då %5 tog sig an ledarskapets mantel, så valde du att kämpa mot detta öde hellre än att anspråkslöst underkasta dig. Det var inte det första misstag du begick på din långa resa, men det visade sig, olyckligtvis,att vara ditt sita.#Nu, när %8 galaxen, funderar du i din sista stund tyst för dig själv att döden kommer åtminstone befria dig från din oro. Om bara du hade kunnat finna någon annan som dig, eller som åtminstone kunde förstå vem och vad du är för något, kanske hade ditt öde kunnat ändras om ni slöt er samman i strid...
GAME_OVER_REBELLION_WIN2          | Ditt sökande har kommit till sitt slut... för den här gången.#Tvärtemot dina angelägna önskningar, så tvingade sig galaxen över dig vilket krävde att du slog tillbaka. Ovillig att acceptera de xenofobiska %5s styre, tog du ensam till vapen för att försvara dig själv, och din målsättning, från deras fasansfulla välde. Du visste att de som otvivelaktigen hade manipulerats av dessa baksluga tyranner troligtvis skulle stå emot dig som fiender, men ditt sökandes fortsättning kunde inte sättas i fara under några omständigheter. Så med sorg i ditt hjärta har du krossat alla som motsatte sig dig.#Om ett av dessa folkslag inte hade vikt sig för rädsla och hat för det okända, kanske hade de då kunnat leva med dig i fredlig samexistens. Men det här är ändå inte ett fullständigt sorgefyllt läge, för du kommer åtminstone att ha en gruvlig historia att berätta för den du letar efter, om du någonsin lyckas finna dem...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Ditt sökande har nått sitt slut... för den här gången.#Du visste att det här skulle hända sedan det Galaktiska Rådets allra första möte. Trots dina varningar till de andra imperierna utspridda över galaxen, så lyckades de lömska och rysliga %5 ändå fatta rodret i den Nya Republiken, och hotade därmed att infektera hela galaxen med deras avskyvärda främlingsförakt. Det var med hjältemod du stred mot dem, och även om många i galaxen beslöt att ta sida emot dig, lyckades du ändå försvara dina målsättningar till slut.#Kanske det bästa av allt var det stöd du fick av dina vänner i detta slutgiltiga krig. De var visa nog att se faran och innerliga nog att komma till din hjälp, och du gladde dig att inte behöva bemöta den här striden ensammen. Nu kan ni etablera en sant fridfull samexistens, och dela i galaxens rika grödor tillsammans. Någon dag snart, kanske du finner din väg ännu längre in i rymdens djup, kanske för att lämna galaxen i hopp om att möta den du sökt efter så väldigt, väldigt länge...
GAME_OVER_COUNCIL_WIN2            | Ditt sökande har kommit till ett oväntat slut.#Det är många udda ting du upptäckt sedan du först gav dig ut från din uråldiga hemvärld i jakt på ett annat medvetande likt ditt eget. Även om du ännu inte sett den drömmen uppfylld, så har kunskapen och vännerna du vunnit på vägen visat sig ha sin egna inbjudande sötma. Dina allierade har inte bara övervunnit sin rädsla för ditt annorlunda sätt, men har också utvalt dig som Mästare av den Nya Republiken. En framtid som du aldrig hade kunnat ana skulle hända dig ligger nu framför dig, och du kommer att leda dina nya vänner in i den med samma tålamod och tillit som de har visat dig.#Kanske kommer du en dag ge dig ut på en sökande färd igen, ett personligt uppdrag för att finna en liknande existens som din egen. Men för tillfället, så finns det mycket att göra, och ditt egna syfte får vänta tills jobbet här är gjort. Och när det är färdigställt kanske du då kan finna din primala längtan avsevärt förminskad. Du är trots allt, för första gången i ditt långa liv, inte längre ensam.
GAME_OVER_COUNCIL_MILITARY_WIN2   | Ditt sökande har kommit till ett oväntat slut.#Till sist, dina strider är äntligen vunna. Efter att ha antagit positionen som Mästare av den Nya Republiken, hade du lyckats att samla alla livsformer av högre intelligens i galaxen att sätta sig vid vänskapens och gemytlighetens bord. Åtminstone, fram tills att ett beklagligt oförberett uppror hopade sig mot dig. Grundat på främlingsförakt och rädsla för ditt sätt att vara, kunde de som ville störta dig inte ana varken djupen i ditt ena-sinniga fokus eller dina allierades förargade försvar av republiken. De är nu krossade, och fred kommer att vara lika vidspritt som vattnet av haven i de många världar du nu kan kalla dina egna.#När så rebellernas territorier delas upp mellan dig och dina allierade, nuddar dina tankar den målsättning som tog dig iväg från ditt hem för länge sedan nu. Du fann förvisso inte ditt sökandes mål, och du är fortfarande ensam här i universum på många sätt. Men glatt inser du att med de allierade och vänner du gjort på vägen, så kommer du aldrig mer att vara helt ensam igen.
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Du har gått ett förskräckligt öde till mötes.#Ingen kan klandra dig för ditt hopp att leda galaxen in i en era av fred som Mästare av den Nya Republiken. Ingen kan klandra dig för att du försökte ditt bästa med att länka samman så många, vitt skilda olika civilisationer. Men trots dina ansträngingar, växte upproret mot dig inte bara i styrka, men det lyckades också störta dig som ledare och krossa den Nya Republiken med den kraft de lyckades frammana. Dina allierade, nu sedan länge döda, vid deras slut kanske de kände en ånger att de valt dig att leda dem när de såg sina imperier brännas till aska inför deras ögon. Du slipper åtminstone höra deras klagorop, då deras röster tystats för alltid.#Dina sista kroppar håller på att förbereda sig på att möta sitt öde i de gömslen de grävt för att undkomma dina fiender. Utan mat eller vatten kommer deras tid snart att rinna ut. Om du bara hade kunna finna någon lik dig, någon som verkligen förstod och skulle slåss vid din sida med samma ihärdighet som du uppvisat. Skulle saker ha kunnat sluta annorlunda? Kanske. Men tyvärr, så kommer du aldrig att säkert veta...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | Kholdans ihärdiga ena-sinnighet
GAME_OVER_REBELLION_LOSS3         | Kholdans själlösa horder dominerar
