// race-specific variables (must start with _)
_empire                           | Ursinathi Välde, Ursathi Välde, Ramrathi Välde, Grizzlathi Välde, Ursinus Välde
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Ingen längre kvarstår som skulle understå sig att utmana din vrede.#Din största oro som Överhärskare av Ursinathi Välde var att de ni mötte ute i rymden skulle vara oförenliga med din vision om framtiden, och därför till sist skulle behöva förstöras. Mycket riktigt, så var det många av dem som visade sig bekräfta den oron, men allt det gjorde var att lämna ett blodigt spår som du tvingades karva ur galaxen. Men du har skäl att finna mod, för alla ni mötte var inte lika oacceptabla, och du har till sist funnit kapabla allierade på din omtumlande resa.#Kanske var det ändå så till sist, att det är bättre att du funnit andra att dela denna galax med ändå. Planeterna bär rik skörd, och de filosofier och tankesätt era allierade följer kommer visa sig interessanta för era mest begåvade tänkare att begrunda i århundraden. Det förstås, så länge de håller sig acceptabla...
GAME_OVER_COUNCIL_LOSS2           | Ert väldes ursinne är kuvat.#Ingen skulle beskrivit ert kämpade som någonting mindre än djärvt. Mot överväldigande odds, drog ert folk samman ett liv och en nation där i djupen av kosmos, förvärvandes världar för Väldet på färd genom galaxen. Olyckligtvis var er stridsiver ingen match för de överlägsna teknologiska framsteg, och de politiska manövrar, som de främmande folkraser ni mötte ute i rymden frambringade. När ni så märkte att ingen väg stod att finna som skulle leda till er seger över det Galaktiska Rådet, så fattade du det enda beslut som du kunde: kapitulation till ledaren av den Nya Republiken, för att så undvika det krig som säkerligen skulle varit slutet för hela  ditt rike.#Även om din krigaranda tog ett förkrossande slag, vet du att ditt beslut var det enda rätta. Du har ändå, till sist, försäkrat ditt folks överlevnad när så galaxen rör sig framåt, in i framtiden. Alternativet till ditt beslut var helt enkelt för fruktansvärt att föreställa sig...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Ert väldes ursinne har blivit tämjt.#Mycket har hänt sedan du ledde ditt folk från deras hemvärld, i hopp om att hjälpa dem finna er plats i galaxen. Era segrar har vunnit ert folk mycket, och ni har expanderat ert väldes territorie för att försäkra en ljus framtid för Ursinathi. Olyckligtvis så nådde du inte riktigt fram till det ultimata priset i ledarskapet för den Nya Republiken, kanske blev er stridsiver på slagfältet alltför skräckinjagande för att att tillåta dig ta hem den segern.#Men ännu är du inte bedrövad: en allierad ni satt er tillit till har erövrat positionen att leda Rådet istället för dig, då de lyckades övertyga de andra nationerna att deras framtidsvision var den rätta. Medan ditt folk längtar att istället se dig som regenten av denna nya framtid, vet du att du har valt dina allierade väl: tillsammans med %8, så har du säkerställt ditt folks plats i den här galaxens framtid, vadän den framtiden för med sig...
GAME_OVER_REBELLION_LOSS2         | Ert imperiums vrede har blivit nedslaget.#Den här galaxens krig har kommit till deras slut. Ert folk kämpade hårt, med ett ursinne sällan skådat bland andra imperier, men i slutänden kanske var det just era segrar som blev er undergång. Er intensitet och iver i strid blev en stötesten för er, och en av era fiender blev istället satt som ledare av den Nya Republiken, då de övertygade de andra rådsmedlemmarna att ert folk var för vildsint för att kunna litas på. När så %8 galaxen, fanns det inget du kunde göra förutom att fördröja det oundvikliga.#Ursinathi Välde föll till slut för fiendens hand. Medan era territorier delas up mellan vinnarna, och era reliker och städer krossas till stoft att spridas för historiens vindar, är ert folks legender om deras djärva sista försvar inte särskilt troligt att väcka fruktan och respekt i avkomman som kommer att ärva galaxen. För det är ändå så, att i slutänden är det vinnarna som väljer hur historien kommer skrivas...
GAME_OVER_REBELLION_WIN2          | Ert väldes kämpaglöd står som härskande segrare!#Ni har äntligen uppnått den position ni visste ert öde skulle leda till: fullständig eliminering av varje annat folkslag i galaxen! Er omatchade vrede visade sig vara överväldigande för era fiender, som i sitt klenmod slöt upp i en gemensam allians mot dig. Med hopp om att deras gemensamma styrkor skulle vara tillräckligt för att vara er undergång, kilade de ut över stjärnorna som ohyra i ett försök att bränna era världar till grunden. De var dårar som satte sin tro till en sådan plan, och ert folk har visat för dem just hur fåfänga deras ambitioner bevisligen var.#Skåda, Överhärskare, en galax som nu är din att göra anspråk på. I ledig takt kan ni nu lägga till planeter till ert välde: ert folk allena kommer skörda de otaliga planeternas rikedomar obehindrat. När ni sen har tagit allt vad den här galaxen har att erbjuda, ja då är tiden inne att rikta ert väldes makt till galaxerna bortom horisonten...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Ingen längre kvarstår som skulle understå sig att utmana din vrede.#Solen stiger över vad som en gång var den Nya Republiken, fast nu med dig i den position du skulle haft från första början. Det var tydligt hur era fiender skulle komma att agera när de väl gaddat sig samman, deras fruktan för er var så stor att det enade dem i paranoid rädsla för er makt. Ditt uppror var rättmätigt, för ingen kunde väl vänta sig att ett sådant djärvt slag av krigare såsom ert skulle böja knä, kräla och be om ursäkt som ögontjänare med falska leenden. Du gav till och med uttryck för att endast dom och ett falnande öde väntade de som motsätter sig er, oavsett deras antal. Om bara de dårarna hade lyssnat!#Men du är inte helt utan barmhärtighet. De som var visa nog att alliera sig med er kommer att få ånjuta frukten av en framtid av rikedom, och deras mod och vishet kommer att hedras genom hela ert nya imperium. De är ett levande vittnesbörd på den nåd du gav, och de kommer aldrig mer behöva frukta någon fiende. Det förstås, så länge som de behåller sin lojalitet till Ursinathis Välde.
GAME_OVER_COUNCIL_WIN2            | Ert väldes ursinne står som ensam härskare!#Den här galaxen och dess innevånare är nu i din hand. Från den första början av er interstellära kampanj, så har ni mött många fiender och få vänner. Även om striderna var hårt vunna, tillhörde den adrenalinstinna segern Ursinathi, när de som saknade förstånd att bryta illa valda livsbanor fick möta total utplåning. De som kvarstod såg inte bara en kraftfullhet de borde frukta, utan också ett intellekt som krävde respekt, och i det Galaktiska Rådets sista möte, blev så du utvald att leda vad som skulle komma att bli känt som den Nya Republiken in i en strålande framtid.#Er tid för att pröva er styrka har nu kommit till sitt slut: er tid för att pröva er visdom börjar hädanefter. Det är okänt vad framtiden kan hålla för den galaktiska republik som leds av Ursinathi’s eftertänksamme ledare. Men en sak är säker: det finns inte längre någon kvar som skulle motsätta sig dina beslut, din okuvliga styrka försäkrar att allt tvivel och all oro stillas i dina nyfunna undersåtar. Länge leve den Nya republiken, och hell Överhärskaren av Ursinathi Välde!
GAME_OVER_COUNCIL_MILITARY_WIN2   | Ingen finns längre kvar som skulle kunna utmana ert ursinne.#Från början var det tänkt att en ny era av fred skulle börja när du intog den Nya Republikens tron. Många nationer fann glädje i att kunna följa en stark ledare som leder dem in i framtiden, men några få dårar utan vision tyckte sig vara visare och starkare än den rättmätigt utvalde ledaren av galaxen. Din första prövning som den Nya Republikens Mästare dröjde inte länge, och dina kvicka och bestämda åtgärder inte bara stävjade upproret, utan befäste också din position som ledare i ett enda slag.#Dina fiender är galaxens fiender, och de ligger brutna och besegrade inför de kombinerade styrkorna av ert Välde och de civilisationer som är dina underordnade. De kommer tjäna som ett varnande exempel för de som hotar republiken i framtiden: Beakta er ställning, ni som kommer med krig, för den här galaxen härskas av den mäktigaste kungen någonsin. Må du länge leva, Överhärskare, och må er hårt förtjänade framtid vara ljusare än ert folk ens kan föreställa sig!
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Ditt imperiums ursinne har blivit utsläckt.#Ack och ve dessa era onda dagar. Efter sekel av erövring och utforskning, så hade du uppnått din dröm att stå som ledare av galaxen i ditt visa och kraftfulla styre. Upproret som uppviglades i motstånd mot dig verkade vara futtigt och dömt att misslyckas gentemot er enade allians beståendes av mäktiga rymdimperier. Men rebellerna uppvisade en list du inte förväntade dig, och lyckades använda den för att manövrera runt er fysiska styrka gång på gång. Era inkapabla allierade visade sig vara värdelösa på att resa upp ett lämpligt försvar, och innan ni visste ordet av det, så var drömmen om den Nya Republiken lika död som civilisationerna den en gång bestod av.#Om saker hade gått annorlunda, skulle galaxen och alla dess innevånare ha kunnat bege sig in i en ny och mer lovande era fri från krig och elände. Nu ligger den framtiden i de lömska och giriga rebellernas händer, som inte drog sig för något för att kunna se dig störtad från tronen. Det är ändå de som förlorar på det här, för utan din vishet att leda dem, kommer deras dårskap säkerligen leda dem in i vad som kommer vara det hemskaste möjliga slutet...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | Ursinathi's ursinne utan like
GAME_OVER_REBELLION_LOSS3         | Ursinathi's otämjbara vrede dominerar
