// race-specific variables (must start with _)
_empire                           | Nazlokien, Sarlokien, Spiolokien, Skugglokien, Tengilokien
MAIN_ADVISOR_COUNCIL_RESISTED     | Vi har lagt alltför mycket möda på att försöka få fram vår vilja bland dessa köttskallar! Uppror mot vårt ledarskap kan inte tolereras! Eliminera dem omedelbarat!

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Er strävans slut, ert folks slut…#En tragedi man inte ens kan föreställa sig har drabbat ditt imperium. En gång en nation desperat att avslöja hemligheterna bakom varför era föregångare slungades ur sitt döende universum för denna främmande dimension, nu en civilisation som ligger i ruiner vid fötterna av folkslag som var mycket mer mäktiga än vad ni skulle kunna klara av att tackla i batalj. Om de hade vetat om vad som låg bakom er desperation, kanske hade de då kunnat visa er nåd, kanske till och med erbjudit hjälp, eller åtminstone varit mer toleranta för er strävan och era handlingar för att uppnå era syften. Istället är allt du uppnått är en olycksalig död för ert folk, medan andra fanor bärs vidare på deras marsch in i vad nu framtiden kan hålla för dem.#Är detta ödet, att Nazlok skulle möta en sådan dom! Om du hade spelat dina kort annorlunda, kanske ditt folk då hade varit vid liv, och kanske till och med funnit nyckeln som skulle låta dig hämta resten av ert folk till denna nya, mer stabila dimension. Men det skulle också kunna vara så, att dina kort inte kunde blivit spelade bättre: kanske ödet helt enkelt hade beslutat att tilldela dig en sådan pass ödesdiger hand...
GAME_OVER_MILITARY_WIN2           | Första fasen avklarad, nu börjar det verkliga testet…#Den här galaxen är din! På samma sätt som ert folk dominerade det universum de kom från, så har ni också krossat det ömkliga motståndet i denna galaxen och erövrat allt som ert eget. Den taktik du använde visade sig vara för mycket för era fiender att klara av, och den dolda slughet du tog till för att få tag på deras hemligheter ännu mer än det. Nu, när era fienders sista fästningar faller för er makt, ser du ut över stjärnorna som är utströdda över vad som kommer att bli Nazloks permanenta hem.#Men ditt arbete är inte nära på färdigt ännu. Ni har lärt er hur man lever i den här främmande dimensionen, och gjort en hel galax säker för ert folk att befolka och leva väl i. Men ännu är hemligheterna bakom den interdimensionella reva som förde er hit från början inte upptäckta, och varje dag som passerar här betyder att ert hemuniversum ännu mer närmar sig sin oundvikliga kollaps. Och om något av imperierna du förstörde var nyckeln i situationen, då kan ditt militära erövringståg mycket väl visat sig vara det värsta bland snedsteg...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Den första fasen fullbordad, nu börjar det verkliga testet…#Er första riktiga segers timma är slagen! När ert folk först kastades in i den här dimensionen, så fann de det skrämmande, främmande och farligt. Men hellre än att krypa ihop och nöja sig med det lilla man hade, gick ni djärvt framåt, svärandes eder att ni skulle sträva för att bemästra den här galaxens hemligheter och göra den säker för att ta emot resten av ert folk från deras döende dimension. Väl på vägen, gjorde ni både fiender och vänner, och så sattes scenen för den största utmaning ert folk någonsin skulle komma att leva igenom.#Tillsammans med dina allierade, har du lyckats plocka isär de som ville motsätta sig dina mål och krossat dem mot era flottor likt vågorna som splittras mot klipporna. Nu är endast ni och era nära vänner kvar, och genom den kamratskap som bara bildas genom att dela seger i krig, kommer ni att med glädje hjälpa era allierade med deras bördor, liksom de kommer hjälpa med era. Och när ert folk sedan säkert kan korsa dimensioner och ert sanna imperium återföds, då kommer bara de som visat sig själva trogna till er strävan få leva i ett universum som utan tvivel kommer bli gjort ert...
GAME_OVER_COUNCIL_LOSS2           | Dina planer om intet, er strävan i fara…#Era planer har uppenbarats helt öppet för galaxen, och även om ingen kan hoppas på att matcha er skicklighet i det dolda, så visade dina rivalers blickar för vaksamma för att ens ni skulle kunna utmanövrera dem. Med formandet av den Nya Republiken och galaxens framtid redo att bestämmas, grusades dina väl lagda planer av de som lade sina röster i rådets salar. Framtiden har haffats av %6!#Försöket att kunna styra galaxen genom att fatta tag i dess roder var en ambitiös strategi. Om din uppgjorda planer för det diplomatiska hade varit något mindre uppenbara är det mycket möjligt att du hade kunnat böja hela galaxens vilja för att tjäna ert uppdrag. Nu kommer du måste underkasta dig %6 vilja, men varje dag som passerar betyder att de som är strandade i det kollapsande universum ni kommer från är en dag närmre ett öde mer fruktansvärt än du vågar föreställa dig...
GAME_OVER_REBELLION_LOSS2         | Er strävans slut, ert folks slut…#Otur har förföljt ert folk sedan ni anlände i denna ogästvänliga dimension. Det var inte till er fördel att ni kastades in i en dimension där ingen av er teknologi fungerade som den skulle. Det var heller inte till er fördel att de naturliga innevånarna av galaxen röstade emot er som ledare för den Nya Republiken. Och nu, vid ert allra slut, fann ni ingen fördel när ni slår ut mot era rivaler för att inte bara försäkra ert ledarskap av galaxen, utan er själva överlevnad.#Ert folk var ihärdigt, stark, och beslutsamt, men deras bästa insatser och villighet att vinna oavsett vad var helt enkelt inte tillräckligt för att ta hem segern mot den Nya Republikens överväldigande arméer. Er bravur var väl värd att minnas: det kommer ingen att bestrida. Men när så era sista arméer, och era själva världar, faller för era motståndare, ligger ert brutna imperium slaget, brutet, och snart bortglömt...
GAME_OVER_REBELLION_WIN2          | Den första fasen avklarad, nu börjar det verkliga testet…#Till sist får dessa underdåniga dårar nu se din makt och din vilja släppt lös! Förgäves försökte dina fiender obstruera dig i er strävan att befria era strandsatta fränder från deras slutgiltiga undergång, och de använde varje trick i boken för att hindra er. Allt från hot till spionage till öppen aggression, deras önskan att hindra dig från att nå ditt mål var vid sin höjdpunkt när de röstade emot ditt ledarskap för den Nya Republiken trots att det var du som var värdig titeln. Det fanns inte mycket annat att göra, så det var utan samvetskval som du frigjorde den fasansfulla stridsanda som ledde ert folk till total dominans i det universum ni ursprungligen kom ifrån.#Nu är den här galaxen er, och även om tiden är kort innan er hemdimension kollapsar och de som är kvar där tvingas genomlida ett öde värre än döden, så är det åtminstone ingen kvar i den här dimensionen som kommer motsätta sig dig. Till sist kommer dessa underlägsna fånar få se din makt och vilja släppt lös! De skulle ha fått göra det, om några av dem fortfarande fanns vid liv...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Den första fasen avklarad, nu börjar det verkliga testet…#Från första början visste du att innevånarna av den här galaxen aldrig medvilligt skulle ge sin tillit till dig som ledaren av en enad allians av interstellära imperier. Oärliga och ovilliga till öppenhet, gjorde dimensionens inhemska imperier allt de kunde för att få dina planer att misslyckas, och de röstade ivrigt emot dig när den Nya Republikens begynnelse åstundade. Men du är vis och listig, och genomskådandes deras planer så pass lätt som om du läste ord på en boksida, så fokuserade du dina diplomatiska initiativ på endast de som var mest värdiga att stå samman med dig. Och när tiden kom för den stund då dina fiender trodde sig ha snärjt dig, så fann de sig själva i en fälla som sedan länge slutit sig runt dem.#Nu står du och dina allierade som segrare på askan av de som våghalsigt tänkte sig själva som bättre. Galaxens öde är i dina händer då du nu är fri att finna ett sätta att föra över ert strandsatta folk på andra sidan dimensionella barriärer, för att låta dem vara med och inta detta nya universum som är moget att plockas. Och om de du valde till kamrater skulle förhindra era syften, då kommer du att hantera dem med samma beslutsamhet som du hanterat alla de andra...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Med första fasen avklarad, börjar nu det verkliga provet…#För länge sedan kastades en liten grupp av ert folk från deras döende universum abrupt in i denna nya, främmande dimension. När ni sedan började söka efter ett sätt att hämta över de som var strandsatta till att sluta upp med er i denna nya och stabila galax, lärde ni er snabbt av era möten med de som redan bebodde dessa utspridda stjärnor att ni skulle inte komma att finna svaren ni sökte om ni var upptagna med utdragna och småaktiga krig. Istället försökte du manipulera historiens gång från skuggorna, och nu har äntligen de planerna fullbordats.#%7 har intagit positionen som den Nya Republikens mästare, och de har visat sig vara formbara och mottagliga för dina förslag och råd. Som deras förtroliga och deras rådgivare är ditt folk i en unik position med möjlighet att kunna styra galaxens makt självt genom er allierades ledarskap. Du är tillräckligt pass skild från den direkta auktoriteten för att inte behöva oroa dig för någon problematisk motreaktion om saker skulle slå slint. Om du skulle lyckas, skulle förstärkningarna av era led orsakade av ankomsten av era förlorade fränder vara mer än nog för att påbörja en ny era och ge er en position med ett överväldigande övertag...
GAME_OVER_COUNCIL_WIN2            | Med första fasen avklarad, väntar nu den sanna prövningen…#Rådskamrarna bryter ut i hurrarop då du intar ditt välde som Mästare av den Nya Republiken. Du accepterar ödmjukt förvaltarskapets börda som har tilldelats dig av imperierna som tillsammans utgöra det Galaktiska Rådet, väl medveten om att det här är resultatet av något du planerat länge. Snart efter att ert folk anlände i den här dimensionen och lärde sig dess mysterier, så visste du att det skulle vara omöjligt för er att finna ett sätt på egen hand för att föra över era strandsatta bröder och systrar till den här dimensionen innan deras universum kollapsade helt. Nu, efter åratal av diplomati, sekretess, och politisk manipulation, så behöver ni inte göra det.#Nu är det här galaxen din att forma, skulptera och styra på den väg som du bedömer vara bäst. Du kommer snart vända dina allierades teknologi, styrka och innovation till att hjälpa dig öppna en portal till ert hem, och sedan återuppbygga er civilisation här med alla de av ert folk som du möjligt kan få över. Och skulle någon våga försöka att stoppa dig, då har du nu hela den Nya Republikens arméer redo att krossa dessa devierande bråkmakare en gång för alla...
GAME_OVER_COUNCIL_MILITARY_WIN2   | Med första fasen avklarad, väntar nu den sanna prövningen…#Din galaktiska regim är nu fastställd i ord och handling. Efter otaliga år av manipulation av dina interstellära rivaler till att hjälpa dig med dina målsättningar, så har dina planer äntligen fullbordats när du vann titeln “Mästare av den Nya Republiken”. Och när upprorsmakarna höjde sina röster mot dig, hade du redan satt nästa linje av planer inom planer till verket som lät dig kväsa upproret distinkt. De slogs, du vann, och nu är hela galaxen din att göra med som du behagar.#Med dina fiender malda till stoft och spridda för solvindarna, vänder du nu din uppmärksamhet till din sanna strävan: att finna ett sätt att hämta över ert splittrade folk över den dimensionella klyfta som separerar er och in i detta nya och stabila universum där ert imperium kan födas på nytt. Ingen kommer att göra uppror igen, inte efter att de sett vad som hände med de som var dåraktiga nog att göra så första gången...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Er strävans slut, ert folks slut…#Det mest sorgsna slut ni någonsin hade kunnat nå har nu realiserats för ert folk. Din omatchade förmåga för lönngärningar och manipulation har kuvats av underlägsna folkslag som inte ens skulle kunna förmå sig att förstå det stora syfte du kämpade för att förverkliga. Även om du lyckades med den gigantiska uppgift som var att bli vald som regent av galaxen medan du fortsatt bibehöll täckmanteln som dolde dina syften, så lyckades du inte kväsa upproret som snart bröt ut för att bemöta din snabbt växande regim.#Nu är det för sent för dig att styra galaxens framtid längs den väg du hade valt. Upproret har lämnat den Nya Republiken som intet annat än ruiner för segrarna att plundra och bygga eget över. Och Nazloks död förseglar ödet för de som fortfarande är fångade i ett dömt universum de inte har något hopp om att kunna undfly. Ditt misslyckande har förseglat ert imperiums öde i inte bara ett, utan två universum, och är på det viset mycket större än vad någon av dina fiender ens skulle kunna förstå... 

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | Nazloks mystiska planer
GAME_OVER_REBELLION_LOSS3         | Nazloks skugghand snärjer
