// race-specific variables (must start with _)
_empire                           | Meklonar Domän, Mekanar Domän, Cybernar Domän, Digitar Domän, Technar Domän
GAME_OVER_MILITARY_LOSS2          | Skoningslöst påmind om dödlighetens begränsningar…#Er dröm blir till stoft när så er nation ligger i ruiner. De främmande livsformer ni mötte och deras imperier hade en militär kapabilitet utöver vad ni kunde hantera, trots er totalt överlägsna bioteknologi. Även om ni insisterade i kommunikation med dem att ert folk inte ville annat än att bli lämnade i fred för sitt sökande av livslängds-förlängande teknologi, så gjorde er rivaler allt för att sätta käppar i era ambitioners kugghjul. Om de nu gjorde det utav rädsla, för underhållning, eller kanske utan särskild anledning, så valde de ultimat att ställa sig i din väg, och nu är ert folk förlorade till tidens sand.#Kanske under andra omständigheter, i en annan verklighet, hade ert folk funnit den odödlighet ni sökte och förvandlats till ett folk som kunde njuta av ett gemensamt evigt liv tillsammans. Och i den evigheten, i den verkligheten, när tid inte längre stod som herre över dem, hade Meklonar kunnat utröna universums själva hemligheter och existensens mysterium. I den här verkligheten, dessvärre, är ert folk terminerat, och Huvuddatorn i djupen av Meklon är förstörd, för att aldrig mer kunna vara ett orakel av visdom och vägledning...
GAME_OVER_MILITARY_WIN2           | Ni har inte längre några hinder i er väg i jakten på odödlighet!#Allt ert släkte ville var att bli lämnade i fred för att kunna sträva efter er dröm om evigt liv. Sedan sekler tillbaka i tiden, när ni först började använda mekaniserade kroppar, var det här den enda drivande faktor Meklonars civilisations hjärta bultade för. Men det tog inte lång tid för Huvuddatorn att inse att dessa varierade folkslag ni bemötte på er färd utgjorde ett hot mot vad ert folk hoppades att uppnå. Närhelst ett beslut om krig fattades, så mobiliserade er militär utan tvekan, hamrandes ned era fiender en efter en tills ingen längre kvarstod.#Utan rivaler att distrahera er, och utan att undanhålla hemlig kunskap för sig själva, är ni nu fria att uppnå ert slutliga mål i gemaklig takt. Hela galaxen är fullspäckad med resurser som kommer möjliggöra att ni faktiskt finner svaret ni söker, allt eftersom ni sprider er Domän till galaxens alla hörn i jakten på er dröm. Och när ert folk äntligen avslutat den forskningsresa ni gett er ut på för så länge sedan, kommer hela galaxen och dess frukter vara era att avnjuta för evig tid...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Med era fiender eliminerade, kan ni nu fokusera på er jakt på odödlighet…#”Vad var det som drev dessa varelser att bryta ut i krig mot vårt folk?” Det är frågan som Huvuddatorn nu behandlar genom datoriserade funderingar. För den, och alla Meklonars sinnen likaså, är förbryllade över varför till synes intelligenta varelser skulle rusa till sin ofrånkomliga död genom att kasta sig emot era militära styrkor. Och liksom den överlägsna intelligens som leder ert samhälle förutspådde, så föll de.#Lyckligtvis var inte alla så pass dåraktiga att de trodde sig själva dugliga att hindra er från att uppnå er dröm om odödlighet. Ni lyckades finna allierade som bistod er i era krig, vilket ytterligare försäkrade det digra öde som väntade era fiender. Ni är mer än nöjda att dela upp galaxens resurser och hemligheter med de som förtjänat det vid er sida. Och när dagen sen kommer när ert folk äntligen når sitt mål om evigt liv, kanske kommer ni då också dela den evigheten med era allierade. Kanske...
GAME_OVER_COUNCIL_LOSS2           | Era väl smidda planer är nu i fara…#Era rivaler har satt in en kraftig motstöt, utan att ens veta vad de lyckats åstadkomma. Att skapa en enad republik för de olika interstellära imperierna, och sen unisont marschera in i framtiden under ett banér, var det mest logiska tillvägagångssättet för att försäkra fred över hela galaxen. Men sannolikheten att ert folk kommer att upptäcka nyckeln till sann odödlighet har krympt till minimalt små procentsatser, då byråkratins hårda begränsningar nu kommer vara svårundkomliga hinder i er väg. Där förr ni hade alternativet att helt enkelt eliminera en art som insisterade på att blockera er väg, så vågar ni inte gör det nu med risken att hela galaxens vrede vänds till er.#Värre än så, hela ert folks överlevnad beror nu på att ni är i gott anseende med %6, som har blivit valda ledare av denna Nya Republik. Varje drag ni utför som förargar dem kommer otvivelaktigen komplicera era planer. Något som råkas uppfattas som en mindre förolämpning kan resultera i begränsningar av era färdalternativ, och att ni blir utsållade för informationen som annars borde flöda genom Republikens territorier. Väck deras ilska tillräckligt, och kvar väntar endast dig och ditt folks fullständiga utrotning...
GAME_OVER_REBELLION_LOSS2         | Smärtsamt påminda om begränsningarna av att vara dödlig…#Det är den värsta av orättvisor att ert folk nu måste leva igenom sin utplåning. Huvuddatorn, vis bortom alla grader av förstånd och utrustad med intelligens bortom alla mätningars omfattning, kom till bedömningen att uppstigandet av %6 som hållare till tronen i den Nya Republiken skulle omintetgöra Meklonars chanser till att någonsin uppnå deras ultimata mål. För att förhindra detta händelseförlopp, blev du beordrad att bryta ut i öppet uppror mot hela galaxen för att värna om er framtid. Även om Huvuddatorn visade odds som tydde på er utrotning, så var det ändå det öde ni skulle föredra över att bli betryckta av galaxens nya mästare.#Den enda odödlighet ni Meklonar lyckades erhålla är den som hör till när man nedtecknas i historieböckerna. Er kunskap och er teknologi kommer att öppnas upp och plundras för allmän beskådning och allmänt bruk till vadän syfte de kan hitta på, och i framtiden kanske en av era tidigare rivaler kan lyckas där ni misslyckats, och till slut avslöja hemligheterna bakom odödlighet...
GAME_OVER_REBELLION_WIN2          | Inga fler obstruktioner mot er jakt efter odödlighet!#Huvuddatorn har än en gång gett insikten ni behövde för att försäkra ert folks existens.#När den främmande arten ni betecknat som “%6” hade blivit den Nya Republikens ledare, så visste Huvuddatorn att ingen verklig framtid fanns för er civilisation betryckta under hälen av ett så pass hämndlystet imperium. Även om ert folk visste att er chans till seger mot galaxens gemensamma flottor var liten, så marscherade de in i krig utan hämningar, i tron på ert antika orakels visdom mer än allt annat. Med beslutsamhet och er mekaniskt förstärkta vitalitet har Meklonar nu slagits länge och hårt, och till sist, har ni vunnit.#Ingen finns längre kvar som kan stänga ner, eller ens störa, ert folk i deras jakt på odödlighet. Era fallna rivalers kunskap kommer snart extraheras, studeras, och användas eller kasseras allt eftersom ni bedömer det lämpligt. Det är bara en fråga om tid innan tiden självt inte längre heller är något hinder, för i den nära framtiden kommer ert folk upptäcka hur man lurar döden och lever för evigt...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Utan fler fiender, kan du nu fokuserar på odödlighet…#Du och dina allierade har ändrat historiens gång. När de illsinta och beklagliga %6 blev Mästare av den Nya Republiken, så visste du utan att ens behöva konsultera Huvuddatorn att ert folk var i grav fara. Samlandes era flottor för anfall mot hotet som utgjorde %6 och de som stod med dem, ljöd ni också ett stridsrop om uppror som ekade utöver galaxen. Innan kriget ens började, så genljöd detta kall hos era sanna allierade, endast de var visa nog att se vart framtiden skulle komma att leda.#Tillsammans krossade ni den Nya Republikens styrkor och etablerade din vision för framtiden som den sanna vägen framåt. Med kriget vunnet, kan ni nu sträva efter odödlighet i frid. Ni kommer gladeligen lämna era allierade till sina egna uppsåt, i hopp om att de återgäldar den tjänsten. Om de bestämmer sig för att störa, om det så är nu eller i framtiden, kan kanske stridsropet ljuda genom galaxen ännu en gång...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Fråntagna tronen, men ert sökande kan ännu fortsätta…#Få kunde hoppas på att ens förstå ert folks djupa längtan efter att uppnå odödlighet. Ända sedan ni först bemötte andra civilisationer som också kunde resa mellan stjärnorna, så har ni betraktats som udda, om inte farliga, av de ni mötte. Undantaget till dina rivalers ignorans har varit %6, som betraktat dig med den respekt er stolta och uråldriga kultur erfordrar. Nu är det de som bär ledarskapsbördan som Mästare av den Nya Republiken, och ert folk kan skörda frukterna av era insatser.#Genom att ni dolt ert sanna syfte, samt utfört väl vald diplomati, tror ni att det inte kommer vara några problem att bibehålla ett harmoniskt förhållande med galaxens nye regent, och med det kommer ni inte bara att försäkra Meklonars överlevnad, utan också framtiden för ert sökande. Med Huvuddatorn att leda dig och ditt folks stöd, finns det säkerligen inget som kan gå fel...
GAME_OVER_COUNCIL_WIN2            | Inga fler hinder för er jakt på odödlighet!#Meklonar har nu tagit sin rätta plats som mästarna av galaxen! Ditt folk har alltid varit det mest målinriktade av alla imperier som begett sig ut för att erövra stjärnorna. Nu har ert tålamod lett er till denna framtid, i vilken deras önskningar kommer att forma framtiden för de oräkneliga stjärnorna utspridda över galaxen. Er jakt på odödlighet är absolut, och nu när du är den som leder den Nya Republiken utan motstånd, kommer alla galaxens tillgängliga resurser vara till ditt förfogande.#De underordnade imperiernas främsta forskare och experter kommer sättas i bruk för att uppdaga hemligheterna som kommer leda till sant evigt liv för ert folk. Även de mest aggressiva bland dina tidigare rivaler kommer att kuvas av hotet den makt som du nu kan befalla poserar. Med Huvuddatorn som din ledsagare och ert folks beslutsamhet mer fast än någonsin, kan du tryggt och utan tvivel vara säker på att odödlighet nu har blivit en ofrånkomlighet!
GAME_OVER_COUNCIL_MILITARY_WIN2   | Inga fler hinder på er väg till odödlighet!#Äntligen är det slut med all löjlig diplomati. Alltför länge har du tvingats utstå enformigheten i att behöva tampas med fjantiga folkslag och deras ringa målsättningar. Du hade hoppats att det skulle ta slut när du blev Mästare av den Nya Republiken, vilket skulle låta dig lägga mindre tid på smådetaljer som att hålla dina rivaler nöjda och mer tid fokuserandes på er jakt efter odödlighet. Men liv saknar oftast den reguljära ordningen, och självfallet dök det upp dårar som vägrade acceptera ditt upphöjande och bröt ut i uppror mot dig. Lyckligtvis visste du precis hur man sätter slut på sådana distraktioner en gång för alla.#Med enveten vrede gav du order åt era och era allierades flottor för att utrota upproret utan fördomar. När sen era fienders världar föll en efter en, kom du så mycket närmre friheten att söka din stora dröm. Nu när upproret är över, så låter du mer än gärna dina allierade göra sina försök för sina flyktiga syften. Du kommer vara alltför upptagen med att bli odödlig för att oroa dig för dem ändå!
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Smärtsamt påmind om er dödlighets begränsningar…#Det händelseförlopp som ledde dig hit var så pass oförutsägbart att inte ens Huvuddatorn räknade det som ett möjligt resultat. Varje steg av din plan hade gått precis som Huvuddatorn beräknade, allt från din fördelaktiga diplomatiska position bland imperierna till utnämningen som Mästare av den Nya Republiken. En motsättning stark nog att uppvigla uppror verkade troligt, och när det formades var du inte särskilt överraskad. Men vad du inte insåg, och inte lyckades reagera mot, var den överväldigande styrka rebellerna förde till krig, och det priset måste du nu betala.#Även om de flesta ledarna i den Nya Republiken var på din sida, och manövrerade sina flottor för att försvara den enade ordningen, så var du maktlös inför upproret du själv trodde dig förmögen att fullständigt krossa. När nu ditt imperium faller sönder runt omkring dig, dör ert folks drömmar om att uppnå evig livslängd med dem. Och på samma sätt som dina allierade krossades vid din sida, så krossades också deras hopp och drömmar om en fredlig framtid för alla...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | Meklonars kyliga obryddhet
GAME_OVER_REBELLION_LOSS3         | Meklonars maskinliknande precision omsluter
