// race-specific variables (must start with _)
_empire                    | Kiseloid-imperiet, Vulkanoid-imperiet, Magmoid-imperiet, Granitoid-imperiet, Sedimentoid-imperiet
MAIN_ADVISOR_MISSILE_BASES | Era generaler har ristat upp ett förslag att vi skulle kunna bygga defensiva missilbaser vid våra mest exponerade kolonier. Om du, o store kejsare, skulle finna förslaget godtyckligt, så ska vi genast bygga dem i din ära!
MAIN_ADVISOR_SHIP_WEAPON   | O store Kejsare! Dina forskare presenterar nya framsteg inom vapenteknologi! Om du bara ger ordet, så ska vi utrusta våra flottor med dessa redskap för krig.
MAIN_ADVISOR_COUNCIL       | Ett möte mellan ledare, känt som det Galaktiska Rådet, kommer snart att sammanträda! Vår evige fiende, Quaralon, måste vara dold bland de som samlas där. Vi måste avslöja dem så att vårt heliga krig äntligen kan ta fart på riktigt.
MAIN_ADVISOR_REBELLION     | Mäktige Kejsare! Något otänkbart har hänt. Vårt folk, säkerligen förledda av vår lömske Evige Fiende, har slagit sig samman i uppror mot er vid %1. Vi måste sätta ett hastigt slut på den här impuriteten.
MAIN_ADVISOR_RESIST_COUNCIL   | Dessa fåntrattars dårskap! Vördade Kejsare, våra flottor är redo! Led oss till seger i detta ödesbestämmande krig!
MAIN_ADVISOR_COUNCIL_RESISTED | Självfallet kunde vår fiendes avkomma inte acceptera [my_raceposs] ledarskap! Vårt folk är i extas: äntligen kommer profetian att uppfyllas!

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Ditt heliga krig har kommit till ett digert slut.#Varje värld av det långlivade Kisel-imperiet har blivit erövrad eller värre av märkliga utomkrisloniska varelser. Du var Kristallkejsaren som lovade att leda ditt folk till fullbordandet av er mest heliga profetia: att befria galaxen en gång för alla från Quaralons Söner. Istället har du lett dem till er dom, och när så solen stiger över Kiseloidernas sista koloni, som försöker hålla ut mot fiendernas skaror, kommer omfattningen av ditt misslyckande snart uppenbaras bland de som kvarstår i galaxen. #Imperiet har blivit omintetgjort för evigt, och med ert folks försvinnande är det oundvikligt att Quaralons lömska släkte kommer härska över galaxen, hädanefter och till tidens slut...
GAME_OVER_MILITARY_WIN2           | Ert heliga krig har slutat i total seger!#Eftersom er evige fiende aldrig visade sitt rätta ansikte, valde du det enda, riktiga alternativet som kvarstod: Att slakta alla som bebor denna galax skoningslöst. Ingen annan ras kunde slå hårdare än din övertygelse och styrka. I turordning har de fallit, och deras världar har nu blivit renade från minsta möjliga närvaro av Quaralons orenhet. Och för att försäkra att den renheten består, så kommer Imperiet inkludera varenda planet, befolka dem, och vaka över dem tills tidens slut#Ditt rike kommer nu, utan tvivel, att bestå så länge galaxen står, och ingen kommer mer uppvigla sig mot dig, eftersom ingen annan motståndare kvarstår! Länge leve Kristallkejsaren! Länge leve Imperiet!
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Ert heliga krig har äntligen fullbordats.#Även om du inte kunde försäkra dig om Quaralons Avkommas sanna identitet, har vissa av de som bebor galaxen bevisat sig vara osannolika följseslagare till er svorna fiende. De som inte gjort det har mött sitt ödes slut, sönderstötta av dina okrossbara legioner. Nu är allt som kvarstår ni och de som visat sig lojala och med rent uppsåt, och galaxen är din att låta din vilja uppfyllas.#Om det skulle vara så att du haft fel om de som du låtit leva, så kan tyvärr det heliga kriget behöva påbörjas på nytt...
GAME_OVER_COUNCIL_LOSS2           | Ert heliga krig har kommit till ett tungt slut.#Allt eftersom ni färdats genom galaxen, har ni varit i krig, erövrat världar, och slutit förbund med flera främmande civilisationer. Men trots att du gjort ditt bästa, så har du varken lyckats övertala de andra imperierna spridda över kosmos om det hot Quaralon's avkomma utgör, och inte heller rusta upp en militär stark nog att tvinga dem att följa det heliga krigets föreskrifter. Nu har de istället valt de löjliga %6 att leda dem in i kommande generationer.#Medan de hoppas att framtiden kommer blomstra och vara fridfull, vet endast du sanningen som väntar alla de som inte slutit sig till er heliga kamp. Kanske att, i framtiden, en annan Kristallkejsare kan träda fram, och lyckas med vad du inte kunnat, och att en dag ert heliga krigs eldar kan brinna högt än en gång...
GAME_OVER_REBELLION_LOSS2         | Ert heliga krig har kommit till ett ödesdigert slut.#Med den nya republikens grundande, formad av det Galaktiska Rådet, lett av de onda %6, kvarstod endast uppror med föga lovande utsikter som ert enda val för att kunna försäkra att ert rättfärdiga krig skulle kunna se sitt fullbordande. Men även om hopp aldrig riktigt fanns i överflöd på den väg ni valt, så fanns det ändå där, och om du hade kunnat fatta bättre val, kanske skulle ni till och med ha kunnat lyfta segerns spira.#Men inga hurrarop höjs för dig eller Imperiet, och när så %8 galaxen, hamnar dina sista tankar på Quaralon och hans avkomma, ert misslyckande att finna och förgöra dem, och det grymma öde som nu väntar galaxen när ert folk inte längre kommer vara där för att försvara den...
GAME_OVER_REBELLION_WIN2          | Ert heliga krig har slutat med total seger!#Galaxens olika patetiska imperier fattade det mest dåraktiga av val. När de slöt upp under %6 miserabla banér och vände ryggen till ert heliga krigs förfrågningar, så förseglade de deras egna öden, så väl som galaxens. Men du, Kristallkejsaren, visste att det här inte kunde tolereras, och med era legendariska hjältars skicklighet så ledde du ditt folk till seger i ett till synes omöjligt krig mot resten av galaxen!#Om bara de dårarna hade lyssnat till din varning, kanske de då hade kunnat leva och senare inse felet i deras åskådningar. Men nu, till sist, kan galaxen få den enda sanna fred den någonsin kunnat känna. Hell seger, Kristallkejsare! Länge leve Kiseloid-imperiets makt!
GAME_OVER_REBEL_ALLIANCE_WIN2     | Ert heliga krig har fullbordats.#När så de sista av era fiender faller inför dig, känner du en framstegets spänning från vart ert krig nu har kommit sedan sin början. Det var ett misstag av de patetiska folkslag som bebor galaxen att välja %6 att leda dem bort från ert heliga fälttågs kall. Genom att vända sig från din visdom, så har de trotsat både dig och Cryslons profetia: en otolererbar handling, och en de otvivelaktigt skulle ha ångrat om de levt länge nog att ha tillfälle för det.#Bara de visa nog att lyssna till din varning, och hjälpa dig i ert krig, kan nu ånjuta en nyfunnen fred given galaxen på grund av elimineringen av Quaralons hot, en gång för alla. Men du måste ändå hålla något i åtanke, om de nu skulle visa sig vara Quaralons avkomma som förklätt sig...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Ert heliga krig har kommit till ett oväntat slut.#Kiseloid-imperiet har åstadkommit mycket på sin färd genom galaxen. Under din ledning har ditt folk bemött flertalet främmande civilisationer. Många av dessa folkslag har visat sig vara fiender och möjliga bärare av Quaralon's fula blod. Ändå har vissa oväntat bevisat sig vara vänner av ert uråldriga imperium. Nu, på den Nya Republikens begynnelses afton, har du lagt din röst på %7, för att ge dem rätten att styra under en ny era av fred i galaxen.#När du så överlämnar framtiden till %8, hoppas du endast att deras styrka och visdom kommer vara tillräcklig för att beskydda galaxen från era gamla profetiors största ondska. Om det är så att du valt fel, kommer freden etablerad genom upprättandet av er allians visa sig vara kortlivad...
GAME_OVER_COUNCIL_WIN2            | Ert heliga krigs fullgörande är nu här.#En gång Kristallkejsaren av Kiseloid-imperiet, står du nu som Mästare av den Nya Republiken, formad av det Galaktiska Rådets olika riken och nationer. Inte en enda av dem har vågat ställa sig upp i protest mot detta slutgiltiga öde, utan tvivel i insikt om att de är väl förtjänta av att lägga sina krafter på att stå till tjänst för dina syften, då nu imperiets fiender har blivit galaxens fiender, vilket innebär dom och förödelse för Quaralons Avkomma.#Om ni skulle finna dem dolda i galaxens skrymmor, kommer varje folk och nation enas under din flagg, för att helt och hållet utrota dem. Om ni skulle finna dem under lömsk täckmantel bland de folkslag som är med i det galaktiska rådet, ve dem som vågat hållat sig gömda från dig så pass länge...
GAME_OVER_COUNCIL_MILITARY_WIN2   | Ert heliga krigs fullgörande är nu här.#Efter att du stigit upp till det galaktiska rådets tron, och ditt rättmätigt vunna styre av den Nya Republiken börjat, vändes ett nytt kapitel i ert fälttåg för att rena Quaralon's avkommas smuts från galaxen. Upproret mot dig var illa påtänkt och dömt att misslyckas från början, och de liv som förlorades vid dess nedstampande var inte bortslösade: genom att du bevisade din förmåga som fältledare har du befäst din position som en regent man inte endast bör respektera, utan också frukta.#Hela den Nya Republikens militär står under ditt banér, och är redo att göra vad än ert heliga krig skulle utfärda.  Er fiende sedan urminnes tid kommer inte kunna gömma sig, och om Quaralons släkte skulle finnas bland de du nu regerar över, så kommer hela galaxens makt slå till i snabbt mothugg. Du behöver bara finna vart er fiende gömmer sig, för att sedan kunna påbörja det Slutliga Kriget och föra galaxen in i en evig fred...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Ert heliga krig har kommit till ett fasansfullt slut.#Du stod som Mästare av den Nya Republiken, redo att leda legioner till strid mot fienden från era profetior. Upproret som uppviglades mot dig var oväntat, och, dessvärre, alldeles för mycket för er att hantera. Om det nu berodde på dina undersåtars feghet eller dina militära misstag som härförare, så är oavsett Kiseloid-imperiet förlorat, och de smärre folkslagen förhäver sig över era världar.#Med imperiets fall och den kortlivade Nya Republikens död, står ingen längre kvar som kan skaka fram Quaralon's avkomma, än mindre besegra dem och leda galaxen in i fred. Kanske kan det vara så att om du hade lett era arméer med mer skicklighet, så hade profetian kunna uppfyllas och katastrofen avvärjas. Nu, med din förlust, begravs den profetian i tidens rinnande sand, aldrig att uppfyllas, eller ens känd, någonsin...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | Kiseloidernas obevekliga fanatism
GAME_OVER_REBELLION_LOSS3         | Kiseloidernas fanatiska iver omgäldar
