// race-specific variables (must start with _)
_empire                           | Ssslaura Samfund, Reptara Samfund, Saura Samfund, Lasserta Samfund, Tyranna Samfund
GAME_OVER_MILITARY_LOSS2          | Alla världars öde är nu fastställt...#Ni var en gång hoppet för de otaliga planeter som späckade galaxen. När ni satte ut från er hemvärld, var allt på ert sinne upptäckten och fullbordandet av varje världs unika ekologi ni stod att finna. När er vetskap utökades, utökades också ert folks iver, och för en tid verkade det som att hela Ssslauras gemensamma dröm skulle bli sann. Om det inte vore för era fienders girighet, deras villighet att expandera så mycket som möjligt, skulle det mycket möjligt ha kunnat hända.#Era kolonier har blivit erövrade till den sista planeten: den kärleksfulla vård ni gav era biomer har blivit trampat på av era interstellära rivalers blodlusta. När den sista av era fronter brinner runt dig, med din död en oundviklighet, så undrar du flyktigt om de dårar som besegrade er någonsin kommer lära sig att leva i harmonin med de världar de så blint tar som sina egna.#Men det troliga svaret på den frågan, Främste Odlare, är alltför hemskt att fundera över...GAME_OVER_MILITARY_WIN2           | Alla världars frälsning är äntligen kommande!#Seger! Seger för ditt folk, och för alla planeter i galaxen! Från den dag då Ssslaura Samfund stormade ut från sin hemvärld, på jakt efter nya klimat att värna om, så visste du att ert folks önskan inte skulle komma att förnekas. Era rivaler gjorde ett misstag, då de inte såg visdomen i att prioritera galaxens ekologiska systems säkerhet, men det var dåraktighet bortom förstånd då de trodde sin styrka tillräcklig för att hindra er att uppfylla era mål.#Genom att ta den enklaste och mest direkta handlingsväg, valde du att eliminera det hot era rivaler utgjorde, och på så sätt också förhindrat någon mer, onödig vånda för de biosfärer som de så vårdslöst förstörde för deras egna, ömkliga syften! Nu har ni oändligt med tid att reparera den skada de orsakat, med ingen kvar som står emot er. Ditt folk kommer flöda fram likt en flod genom denna galax, varje planet en biflod redo att utvecklas i fred under er ledande hand. Njut av ert arbetes hårt förtjänade  frukter! Och njut för evigt mer av de utmaningar som väntar Ssslaura på färden framöver!
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Alla världars frälsning är snart här...#Även om det inte är det slut ni mest av allt hoppades att uppnå, så kan du inte hjälpa att le förnöjt med er välförtjänta seger. Du visste att det skulle finnas andra folkslag i den här galaxen som skulle nöja sig med att se sina planeter som resurser att utnyttjas, utan att lyssna till visdomen i er filosofi. Ert folk var berett att slåss för att försvara varje planets helgd, oavsett storlek. Nu har era fiender blivit till damm, och nu vet ni att varje ekologiska systems delikata balans aldrig kommer utsättas för de förkastliga nycker de som gjorde dem illa förde sig med.#Det var en glädje för er att finna allierade som lyssnade till ert budskap, och var villiga att behandla sina planeter med en nyvunnen respekt, då de lärde sig från vad ni hade att lära ut. Till er anseliga överraskning, tog de till och med upp vapen med er, otvivelaktigt för att söka sina egna intressen, men de försvarade också era. Nu kan ni jobba på att läka skadan gjord av flertalet  vårdslösa krig. Med tid kanske ni förhoppningsvis kan övertyga era vänner att göra det på sina världar också...
GAME_OVER_COUNCIL_LOSS2           | Alla världars öde är förseglat...#Era rivaliserande imperiers planer har visat sig vara ert fördärv. När ni for ut genom galaxen, utvecklande ekosystemen vid varje planet i tur, var det oundvikligt att ni skulle finna världar tagna av andra som kom att vara utom räckhåll för er påverkan. Genom bruk av diplomati och politisk manövrering, så skulle ni säkerligen ha kunnat få möjlighet att rädda dessa planeters klimat, även om de tillhörde främmande makter. Det var i alla fall vad ni trodde.#Nu har det Galaktiska Rådet splittrats och sammanförts som den Nya Republiken under ett ledarskap av %7. Ert misslyckande att övertala de andra imperierna att se visdomen i era sätt kommer onekligen kost både er och de planeter ni desperat försökte rädda. Du kan bara hoppas att det nya ledarskapet kommer visa ert folk nåd. Inte bara för er skull, utan för varenda planet i hela galaxen...
GAME_OVER_REBELLION_LOSS2         | Alla världars öde är nu fastställt...#Er ihärdighet och idealism har lett er till denna slutpunkt. Era fiender har krossat era arméer, och har utfört missdåd mot era planeter ni hitintills ej kunnat föreställa er. Först trodde du att ni, genom att spela med i deras politiska spel, skulle kunna skifta deras tänk att vara mer i linje med er filosofi. Men när de onda %6 tog kontroll över den Nya Republiken, så visste du att fredliga förhandlingar skulle vara omöjligt. Som ständiga förkämpar för ekologisk balans, svor ert folk att ta upp vapen för att förhindra misshandeln av galaxens planeter, och ni var beredda att dö för det syftet.#Och dött har ni gjort: era världar har blivit erövrade och era storslagna verk på dem blivit omintetgjorda. Ert folk tvingades retirera till ert sista fäste för sin sista kamp, och där dog ni försvarandes era ideal. Som de mest överlåtna i tron på ekologisk balans, kommer ert digra slut inte bara vara en svår förlust för ert folk, utan också för hela galaxen...
GAME_OVER_REBELLION_WIN2          | Alla världars frälsning är äntligen här!#Ssslaura Samfunds timma är här! Ni har övervunnit varje hinder ni bemött, byggandes ert interstellär imperium, utan att en enda gång försumma er primära plikt att beskydda den naturliga storslagenheten på varje planet ni tog som er egen. Vem än som motsatte sig er blev snart viss om deras felaktiga bana, och när %6 blev givna den Nya Republikens ledarskap, så bestämde du dig för att visa hela galaxen deras misstag på det mest direkta sättet tillgängligt.#Nu finns det inte längre några fiender som motsätter sig din vilja, och inga dårar lever längre som skändar de planeter ni beskyddar. Ert folk kan ta sin tid med att hitta lösningar på de ekologiska pussel varje värld innehar. Och när sen hela galaxen förts till perfekt, naturlig harmoni under er ledande hand, så kommer ni vara redo att ta er an andra galaxers världar på samma sätt. Länge leve Ssslaura Samfund!
GAME_OVER_REBEL_ALLIANCE_WIN2     | Alla världars frälsning är snart här...#Att säga att det händelseförlopp som utspelats kom som en överraskning är en betydlig underdrift. Till en början, så verkade de mer fredliga lösningarna på dispyterna på intra-imperium-nivå det bästa alternativet för att undvika onödig skada på de fantastiska planeterna skingrade utöver galaxen. Det fanns däremot inget annat alternativ än krig, när det Galaktiska Rådet valde en annan att leda den Nya Republiken. Ni hissade upprorets fana mot hela deras societet och så kastades tärningen om galaxens öde.#Mot förväntan fann ni andra villiga att följa er ledning, och villiga att ta upp vapen i kamp om galaxens frihet från ett miserabelt betryck. De som slogs på er sida visade sig vara lika ihärdiga som ert folk, och tillsammans har ni krossat den falska ledningen och insatt en ny, där alla galaxens planeters välmående kommer vara högsta prioritet. Om er allierade skulle bestämma sig att hoppa av den här inriktningen i framtiden, besitter ni kunskapen om hur man effektivt bemöter deras taktik och strategier. Det är en fröjdefull försäkran för er att veta att varje planet kommer uppnå sin fulla potential under ert förvaltarskap, oavsett omständigheter...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Alla världars frälsning är snart här...#Sannerligen var det här händelseförloppet det bästa ni kunnat hoppas på under omständigheterna. Från ert allra första möte med de andra rymdimperierna, så visste du att deras diverse tillkortakommanden skulle hindra dem från att kunna se sanningen i er filosofi. Istället fokuserade du på att bygga broar mellan ert folk och %6, och att hjälpa avancera deras position till fördel för era egna planer. Nu innehar de tronen av den Nya Republiken, och som deras förtrodda bundsförvanter, står Ssslaura redo att njuta frukten av deras upphöjda status.#Ni kommer fortsätta att påverka era %6 allierade, för att försäkra varje planets helgedom i Republiken. Skulle ett av imperierna uppvisa en hård panna i motstånd mot era önskningar, har du förtroende i era möjligheter att handskas med dem. Däri är styrkan i era band till %6, och det är i och med den ni kommer försäkra planeternas säkerhet, nu och för evigt framöver...
GAME_OVER_COUNCIL_WIN2            | Alla världars frälsning är äntligen inkommande!#Du har vunnit den seger ert folk har längtat efter sedan ni först begav er ut i kosmos. Att uppdaga främmande världar med förunderliga ekosystem visade sig vara en tillfredställande utmaning för ditt folk att vända sina sinnen till. Att manövrera diplomatiska pussel, däremot, visade sig vara en uppgift som krävde långt mycket mer varsamhet för dig att bruka ditt förstånd på att utröna. Men till sist står du på auktoritetens högsta position: du och endast du står allena som Mästare av den Nya Republiken.#Genom att utnyttja din position, kommer du att försäkra att varje planet i galaxen kommer brukas med omsorg och respekt. Om något av imperierna i republiken skulle sätta sig emot detta järnbeslagna stadfästande i jakt på sina egna fåfänga mål, så har du nu en galaktisk armé som står redo till ditt förfogande för att försäkra att de faller tillbaka i ledet. Och när alla dessa planeter uppnått idealtillstånd, väntar härnäst en framtid med utforskning av andra galaxer, och möjligheter att föra fram er välsignade ledning till de världar som ligger där. Träd nu fram, Främste Odlare, ditt arbete har ännu bara börjat...
GAME_OVER_COUNCIL_MILITARY_WIN2   | Alla världars frälsning är till slut här!#Det var inte helt utan motgångar som din vilja nu står utan utmanare eller motstånd, gällandes galaxens formgivning och utveckling. Det var ingen mindre bedrift att du nu står som Mästare av den Nya Republiken, men du lyckades med anpassningen mot rivaliserande imperier och deras egna planer och påfund. När sedan några missvisade medlemmar av republiken bestämde sig för att bryta upp i uppror för att behålla friheten att vandalisera sina planeter, så tog det dig ingen längre betänketid för att komma till slutsatsen att de skulle behöva utrotas. #Nu har rebellerna blivit kuvade och gjorda till ett exempel för de som skulle kunna välja sina egna begär över deras planeters välmående. Rebellerna blev på så vis till nytta på ett sätt du inte förutspått: med resten av galaxen förenad mot en gemensam fiende, så är de nu mer medgörliga med din vilja när de solar i skenet av en gemensam seger. Nu är tiden för dig att föra fram era planer, och även om dina undersåtar kanske inte ens är kapabla att förstå varför, vet du i ditt hjärta att själva galaxen kommer tacka dig...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Alla världars öde är fastställt...#Katastrof har drabbat den Nya Republiken innan den ens blivit fullt verkställd. När er visdom och medkänsla för alla världars klimat spreds utöver de intergalaktiska imperierna, blev det självfallet att du skulle bli den som blev kallad att leda galaxen när den blev enad under gemensam fana. Men snart efter du besteg denna tronernas tron, såg ett uppror också sin begynnande tillväxt, och sedan realisering. När skiljelinjerna drogs, så trodde du och de du ledde att erat överlägsna antal och er styrka skulle ge er en enkel seger. Som det verkar nu, blev detta undervärderande av era fiender i slutändan er undergång.#De som slöt upp i uppror mot dig hade förtroende i sin förmåga, och det här självförtroendet ledde till vad som kom att bli ditt imperium i spillror. Hela den Nya Republiken tillintetgjord, varje flotta förstörd och varje värld erövrad av de som sträckte sig efter makt, oavsett kostnad. Rebellerna kommer nu leda galaxen i enlighet med sina egna förvridna syften, och när så din livslåga börjar falna i din kropp, är ditt enda hopp att de till slut kan förbarma sig över de planeter de erövrat, även om ingen nåd gavs dig i slutet...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | Ssslaura's tillåtenhet till ekologin
GAME_OVER_REBELLION_LOSS3         | Ssslaura's ovacklande passion omsluter
