// race-specific variables (must start with _)
_empire                           | Konklawe Ssslaurów, Konklawe Gadów, Konklawe Saurów, Konklawe Reptarów, Konklawe Tyranów
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Zbawienie wszystkich światów wkrótce będzie na wyciągnięcie ręki...#Chociaż nie jest to zakończenie na które najbardziej liczyłeś to nie możesz powstrzymać się od uśmiechu, gdy pławisz się w swoim zasłużonym zwycięstwie. Wiedziałeś, że w tej galaktyce znajdą się inne rasy, które będą postrzegać swoje planety jako zwykłe zasoby do wykorzystania, ignorując mądrość twojej filozofii. Twoi ludzie byli przygotowani do walki w obronie świętości każdej planety, nieważne jak małej. Teraz Twoi wrogowie obrócili się w proch, a Ty wiesz, że delikatna równowaga każdego systemu ekologicznego nigdy nie podda się kaprysom tych, którzy chcieliby wyrządzić im krzywdę.# Cieszyłeś się znalazłszy sojuszników, którzy posłuchali Twego przesłania i byli gotowi traktować swoje światy z należnym szacunkiem, ucząc się tego, co miałeś do przekazania. Ku twojemu wielkiemu zaskoczeniu chwycili oni nawet za broń - niewątpliwie broniąc swoich interesów, ale pomagając też Tobie. Możesz teraz pracować nad likwidacją szkód wyrządzonych przez liczne i nieodpowiedzialne wojny. Możesz mieć tylko nadzieję, że z czasem przekonasz swoich przyjaciół aby oni również uczynili to ze swoimi światami...

GAME_OVER_COUNCIL_LOSS2           | Los wszystkich światów jest przypieczętowany...#Machinacje rywalizujących z Tobą imperiów okazały się Twoją zgubą. Podróżując po galaktyce i doskonaląc ekosystemy każdej planety, nieuniknione było znalezienie światów należących do innych, które pozostały poza Twoim zasięgiem. Dzięki dyplomacji i zabiegom politycznym udałoby ci się z pewnością ocalić te planety, nawet jeśli pozostałyby one w obcych rękach. Przynajmniej tak ci się wydawało.#Teraz Rada Galaktyczna rozwiązała się i zreformowała jako Nowa Republika pod przywództwem rasy znanej jako %7. Twoja porażka w przekonaniu innych do mądrości twych działań bez wątpienia będzie drogo kosztować zarówno ciebie jak i światy, które tak desperacko próbowałeś ocalić. Możesz mieć tylko nadzieję, że nowi przywódcy będą miłosierni dla twojego ludu. Nie tylko dla ich własnego dobra, ale także dla dobra każdej planety w galaktyce...
GAME_OVER_REBELLION_LOSS2         | Los wszystkich światów jest przypieczętowany...#Twoja wytrwałość i idealizm doprowadziły cię do tego końca. Twoim wrogowie zmiażdżyli Twe armie i uczynili Twym światom rzeczy do tej pory niewyobrażalne. Kiedyś myślałeś, że grając w ich polityczne gry będziesz w stanie zmienić ich sposób myślenia, tak aby był bardziej zgodny z Twoją filozofią. Lecz kiedy zła rasa znana jako %6 przejęła kontrolę nad Nową Republiką wiedziałeś, że pokojowe negocjacje staną się niemożliwe. Jako mistrzowie równowagi ekologicznej, Twoi ludzie chwycili za broń aby zapobiec podłemu traktowaniu planet w galaktyce i byli gotowi zginąć, aby to zrobić.#I zginęli: twoje światy zostały podbite a twoje wielkie dzieła na każdym z nich - zniszczone. Twoi ludzie zostali zmuszeni do wycofania się do ostatniej twierdzy i bronić jej do samego końca. Zginęli tam w obronie twoich ideałów. Jesteś pewien, że ostatecznie okaże się to nie tylko ciężką stratą dla twoich ludzi, ale także dla całej galaktyki...
GAME_OVER_REBELLION_WIN2          | Zbawienie wszystkich światów jest wreszcie na wyciągnięcie ręki!#To jest godzina Konklawe Ssslaura! Pokonałeś każdą przeszkodę na drodze do budowy międzygwiezdnego imperium, nigdy nie zapominając że pierwszym obowiązkiem była ochrona naturalnego splendoru światów, które podbiłeś. Każdy kto ośmielił się Tobie sprzeciwić szybko przekonał się o tym, że popełnił błąd. Kiedy przywództwo Nowej Republiki powierzono rasie znanej jako %6, postanowiłeś pokazać całej galaktyce jak błędny to był wybór. Zrobiłeś to w najbardziej bezpośredni sposób, jaki tylko był możliwy.#Teraz nie ma już wrogów którzy mogliby sprzeciwić się twojej woli, ani głupców którzy byliby w stanie zaszkodzić planetom, które chronisz. Twoi ludzie mogą poświęcić swój czas na znalezienie rozwiązań ekologicznych zagadek, które każdy świat chowa w zanadrzu. A kiedy cała galaktyka osiągnie doskonałą naturalną harmonię pod Twoim przewodem, będziesz gotowy wziąć pod swoją opiekę również światy innych galaktyk. Niech żyje Konklawe Ssslaura!
GAME_OVER_REBEL_ALLIANCE_WIN2     | Zbawienie wszystkich światów wkrótce będzie na wyciągnięcie ręki...#Stwierdzenie, że ta sekwencja wydarzeń jest zaskoczeniem, to grube niedopowiedzenie. Z początku bardziej pokojowe rozwiązania sporów między imperiami wydawały się być najlepszym rozwiązaniem, aby zapobiec niepotrzebnym zniszczeniom cudownych planet tej galaktyki. Nie było jednak innej drogi niż wojna, gdy Rada Galaktyczna wybrała innego przywódcę Nowej Republiki. Podniosłeś sztandar rebelii przeciwko całemu systemowi i los galaktyki został przesądzony.#Nieoczekiwanie znalazłeś innych chętnych do podjęcia twojej sprawy i uwolnienia galaktyki od tego, co z pewnością byłoby haniebnym uciskiem. Ci którzy walczyli po twojej stronie okazali się równie wytrwali jak Twoi ludzie. Razem z nimi zniszczyłeś fałszywy porządek i wprowadziliście nowy system w galaktyce, w którym dobro wszystkich planet będzie najważniejsze. A jeśli w przyszłości Twoi sojusznicy postanowią zboczyć z tej drogi, posiadasz wiedzę jak skutecznie przeciwdziałać ich taktyce i strategii. Taka pewność, że każda planeta osiągnie swój potencjał pod Twoim kierownictwem bez względu na wszystko, bardzo cieszy...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Zbawienie wszystkich światów wkrótce będzie na wyciągnięcie ręki...#Prawdę mówiąc, był to najlepszy wynik jakiego mogłeś oczekiwać biorąc pod uwagę okoliczności. Od pierwszych spotkań z innymi imperiami wiedziałeś, że ich wady uniemożliwią im dostrzeżenie prawdy w twojej filozofii. Zamiast tego zdecydowałeś się zbudować mosty między Twoim ludem a rasą znaną jako %6 i pomóc im w osiągnięciu pozycji, która byłaby korzystna dla twoich planów. Teraz zasiadają oni na tronie Nowej Republiki, a Ssslaura - jako ich najbliżsi powiernicy - są gotowi zebrać za tę pomoc nagrodę.#Będziesz nadal wpływał na swoich sojuszników, by zapewnić świętość każdemu ze światów Republiki. Jeśli jednak jakieś bardziej uparte imperium będzie chciało przeszkodzić twojej woli, masz pewność że będziesz w stanie sobie z nim poradzić. Taka jest siła twojej więzi z rasą znaną jako %6 i w ten sposób zapewnisz bezpieczeństwo planetom, od teraz i na zawsze...
GAME_OVER_COUNCIL_WIN2            | Zbawienie wszystkich światów jest wreszcie na wyciągnięcie ręki! #Osiągnąłeś zwycięstwo, którego Twoi ludzie pragnęli od pierwszej podróży w kosmos. Napotkanie obcych światów o cudownej ekologii okazało się być satysfakcjonującym wyzwaniem dla twoich ludzi. Meandry dyplomacji okazały się jednak być o wiele bardziej delikatnym zadaniem, do którego rozwiązania musiałeś zaprząc swój intelekt. W końcu jednak stanąłeś na najwyższym stanowisku: Ty i tylko Ty jesteś teraz władcą Nowej Republiki. Korzystając ze swojej pozycji zapewnisz, że każda planeta w galaktyce będzie traktowana z szacunkiem i troską. Jeśli któreś z imperiów Republiki w pogoni za własnymi maluczkimi celami złamie to żelazne motto, masz do dyspozycji galaktyczną armię, która sprawi że szybko pozna swoje miejsce. A kiedy te światy zostaną udoskonalone, czeka cię eksploracja innych galaktyk i niesienie swego błogosławionego przewodnictwa światom, które się w nich znajdują. Teraz ruszaj, Wielki Magistrze, gdyż Twoja praca dopiero się rozpoczęła...
GAME_OVER_COUNCIL_MILITARY_WIN2   | Zbawienie wszystkich światów jest wreszcie na wyciągnięcie ręki!# Choć nie obyło się bez niepowodzeń, Twoja wola jest teraz niepodważalna jeśli chodzi o kształtowanie galaktyki. Zostanie władcą Nowej Republiki było dla ciebie nie lada wyzwaniem, ale potrafiłeś dostosować się do rywalizujących imperiów i ich subtelnych machinacji. Kiedy członkowie Republiki postanowili wzniecić rebelię w celu zachowania swobody niszczenia swoich światów, nie zajęło ci wiele czasu dojście do wniosku, że należy ich eksterminować.#Rebelianci zostali zniszczeni i stali się przykładem dla tych, którzy próbują przedkładać swoje osobiste pragnienia nad dobrobyt swoich planet. Buntownicy byli użyteczni w sposób, którego nie przewidziałeś: z resztą galaktyki zjednoczoną przeciwko wspólnemu wrogowi są teraz bardziej podatni na Twoją wolę, pławiąc się w blasku wspólnego zwycięstwa. Nadszedł czas, byś posunął się naprzód ze swoimi planami i niezależnie od tego, czy Twoi poddani są w stanie zrozumieć dlaczego - Ty w głębi serca wiesz, że galaktyka ci podziękuje...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Los wszystkich światów jest przesądzony...#Katastrofa dotknęła Nową Republikę, zanim jeszcze ta została w pełni ukształtowana. Gdy Twoja mądrość i współczucie dla środowiska wszystkich światów rozprzestrzeniły się po międzygalaktycznych imperiach, oczywistym było że to właśnie Ty staniesz na czele galaktyki gdy ta zjednoczy się pod jednym sztandarem. Wkrótce po wstąpieniu na ten nowy tron zaczął jednak narastać bunt. Ty sam i ci którym przewodziłeś wierzyliście, że przewaga liczebna i siła doprowadzi do łatwego zwycięstwa. Wydaje się, że to samozadowolenie okaże się ostatecznie Twoją zgubą. Ci, którzy zbuntowali się przeciwko Tobie, wierzyli w swoje umiejętności, a ta pewność siebie doprowadziła do tego że twoje imperium rozpadło się. Teraz cała Nowa Republika przestała istnieć, jej floty uległy zniszczeniu a każdy z jej światów podbity przez tych, którzy szukali władzy dla siebie bez względu na koszty. Rebelianci poprowadzą teraz galaktykę w przyszłość, która będzie pasować do ich własnych projektów. Gdy duch zaczyna opuszczać twoje ciało masz tylko nadzieję, że okażą podbitym planetom miłosierdzie, którego odmówili na końcu Tobie...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | niezachwianym popędem Ssslaura
GAME_OVER_REBELLION_LOSS3         | ekologiczne poświęcenie Ssslauras dominuje
