// race-specific variables (must start with _)
_empire                           | Nazlokowie, Sarlokowie, Szpielokowie, Cieniowie, Dralokowie
GAME_OVER_MILITARY_WIN2           | Pierwsza faza zakończona, zaczyna się prawdziwy test...#Ta galaktyka jest Twoja! Tak jak Twoi ludzie zdominowali wszechświat, z którego przybyli, tak i Ty zmiażdżyłeś wroga w tej galaktyce i uznałeś wszystko, co miała do zaoferowania, za swoje. Taktyka, którą zastosowałeś okazała się zbyt dobra dla twoich wrogów, a skrytość i tajemniczość, którą zastosowałeś, by zdobyć ich sekrety, okazała się bardzo skuteczna. Teraz, gdy ostatnie twierdze wrogów padają pod Twoją potęgą, spoglądasz na gwiazdy, które wypełniają to, co stanie się nowym domem Nazloków.#Ale czeka cię jeszcze wiele pracy. Nauczyłeś się żyć w tym obcym wymiarze i uczyniłeś całą galaktykę bezpieczną dla swego ludu, aby mógł ją zamieszkiwać i prosperować. Jednak tajemnice międzywymiarowej szczeliny, która sprowadziła tu Twą rasę, nie zostały jeszcze odkryte. Każdy dzień, który tu mija, zbliża twój macierzysty wszechświat do nieuchronnego upadku. A jeśli któreś ze zniszczonych przez ciebie imperiów już posiadło ten sekret, twoje militarne podboje mogą okazać się Twoją zgubą...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Pierwsza faza zakończona, zaczyna się prawdziwy test...#Nadeszła godzina waszego pierwszego prawdziwego zwycięstwa! Kiedy Twoi ludzie zostali wrzuceni do tego wymiaru, uznali go za przerażający, obcy i niebezpieczny. Ale ruszyli odważnie naprzód, przysięgając opanować tajemnice tej galaktyki i uczynić ją bezpieczną by sprowadzić resztę twoich ludzi z ich umierającej planety. Po drodze spotkali zarówno wrogów jak i przyjaciół a wyzwań było co niemiara.#Wspólnie z sojusznikami udało ci się obalić tych, którzy sprzeciwiali się Twoim celom i rozbić ich floty - tak jak przypływ rozbija się o brzeg. Teraz pozostałeś tylko Ty i Twoi bliscy przyjaciele, a dzięki dzieleniem się owocami zwycięstwa, z radością pomożesz sojusznikom w ich kłopotach, tak jak i oni pomogą ci w twoich. A gdy Twoi ludzie bezpiecznie przekroczą wymiary i odrodzi się twoje prawdziwe imperium - tylko ci, którzy udowodnili, że są wierni twojej sprawie, będą mogli żyć we wszechświecie, który bez wątpienia stanie się Twoim...
GAME_OVER_COUNCIL_LOSS2           | Twoje plany udaremnione, twoja misja zagrożona...#Twoje plany zostały obnażone przed galaktyką i choć nikt nie może się równać z Twoimi umiejętnościami podstępu, oczy rywali okazały się zbyt czujne. Gdy tworzenie Nowej Republiki i przyszłość galaktyki miały się rozstrzygnąć, głosy na tych którzy zasiadają w Radzie pokrzyżowały twoje dobrze ułożone plany. Przyszłość należy do rasy %6! Próba zdobycia prawa do kierowania galaktyką była ambitną strategią. Gdyby Twe zabiegi dyplomatyczne były subtelniejsze, bardzo możliwe że cała wola galaktyki mogłaby zostać nagięta aby służyć Twej misji. Teraz będziesz musiał podporządkować się woli rasy %6, jednak każdy mijający dzień przybliża tych, którzy utknęli w rozpadającym się wszechświecie, z którego pochodzisz, o jeden dzień do losu straszliwszego, niż potrafisz sobie wyobrazić...
GAME_OVER_REBELLION_LOSS2         | Koniec Twej misji, koniec Twego ludu... #Fortuna nie sprzyjała twojemu ludowi od czasu waszego przybycia w ten nieprzyjazny wymiar. Zostaliście rzuceni do wymiaru, w którym żadna z waszych technologii nie funkcjonowała prawidłowo. Rdzenni mieszkańcy tej galaktyki głosowali przeciwko Twemu przywództwu w Nowej Republice. A teraz, na samym końcu, walczysz przeciwko rywalom, by zapewnić sobie nawet nie przywództwo w galaktyce, ale zwykłe przetrwanie. twój lud był wytrwały, silny i zdeterminowany, ale nawet najlepsze wysiłki i chęć zwycięstwa za wszelką cenę nie wystarczyły, by zapewnić im zwycięstwo nad przeważającą potęgą armii Nowej Republiki. Twoja waleczność była godna podziwu - co do tego nikt nie może mieć wątpliwości. Ale gdy Twe ostatnie armie i światy padają łupem wrogów, twoje rozbite imperium leży pokonane, złamane i wkrótce zapomniane...
GAME_OVER_REBELLION_WIN2          | Pierwsza faza zakończona, zaczyna się prawdziwy test...#Teraz wreszcie ci głupcy widzą Twoją uwolnioną siłę i wolę! Na próżno Twoi wrogowie starali się przeszkodzić ci w dążeniu do uwolnienia twoich osieroconych pobratymców od ostatecznej zagłady i użyli każdej sztuczki, aby ci w tym przeszkodzić. Od gróźb, przez szpiegostwo, po otwartą wrogość, ich pragnienie, by uniemożliwić ci osiągnięcie celu, osiągnęło szczyt, gdy zagłosowali przeciwko Tobie byś stanął na czele Nowej Republiki, mimo że byłeś tego najbardziej godny. Bez wielkiego wyboru i bez wyrzutów sumienia wyzwoliłeś na nich tę samą straszliwą furię, która doprowadziła twój lud do całkowitej dominacji we wszechświecie, z którego przybyłeś.#Teraz ta galaktyka jest Twoja, i chociaż czasu zanim twój macierzysty wymiar ulegnie zagładzie jest niewiele, to przynajmniej nie ma już nikogo tutaj, kto by ci się sprzeciwił. Teraz wreszcie ci głupcy widzą Twoją uwolnioną siłę i wolę! A przynajmniej tak by było, gdyby któryś z nich pozostał przy życiu, by mieć taką okazję...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Pierwsza faza dobiegła końca, zaczyna się prawdziwy test...#Od samego początku wiedziałeś, że mieszkańcy tej galaktyki nigdy nie zaufają ci w takim stopniu, byś stanął na czele zjednoczonego sojuszu kosmicznych imperiów. Nieuczciwe i nieufne, rodzime imperia zamieszkujące ten wymiar zrobiły wszystko, by pokrzyżować Twe plany i chętnie głosowały przeciwko Tobie, gdy rozpoczęła się formacja Nowej Republiki. Lecz jesteś mądry i przebiegły, i widząc ich machinacje jak na dłoni skupiłeś swoje wysiłki dyplomatyczne tylko na tych, którzy są najbardziej godni, by stanąć u Twego boku. A kiedy nadszedł czas, gdy Twoi wrogowie myśleli, że cię złapali w pułapkę - oni sami znaleźli się w pułapce, która już dawno została zastawiona.#Teraz Ty i Twoi sprzymierzeńcy stoicie zwycięsko na popiołach tych, którzy ośmielili się uważać siebie za lepszych. Los galaktyki jest w twoich rękach, ponieważ masz wolną rękę aby znaleźć sposób na przeniesienie swych pobratymców przez bariery międzywymiarowe do tego nowego wszechświata. A jeśli ci, których wybrałeś na towarzyszy, przeszkodzą ci w realizacji tych celów, rozprawisz się z nimi tak samo zdecydowanie, jak z całą resztą...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Pierwsza faza dobiegła końca, zaczyna się prawdziwy test...#Dawno temu mała grupa ludzi została wyrzucona ze swojego umierającego wszechświata i rzucona w ten nowy, obcy wymiar. Kiedy zaczęli szukać sposobu na sprowadzenie tych, którzy zostali pozostawieni sami sobie, aby dołączyli do nich w tej nowej i już stabilnej galaktyce - spotkanie z obecnymi jej mieszkańcami szybko nauczyły ich, że nie będą w stanie znaleźć rozwiązania, którego szukali tocząc małostkowe i długotrwałe wojny. Zamiast tego starałeś się manipulować biegiem historii pozostając w cieniu, a teraz wreszcie te plany się urzeczywistniły.#Rasa %7 przejęła władzę w Nowej Republice i okazała się podatna na twoje projekty i radę. Jako powiernicy i doradcy, Twoi ludzie są w wyjątkowej pozycji, by kierować potęgą galaktyki pod przywództwem twojego sojusznika. Jesteś zbyt daleko od bezpośredniej władzy abyś mógł odczuć skutki ewentualnego niepowodzenia. Jeśli ci się powiedzie, wzmocnienie twoich szeregów przez przybycie dawno zaginionych pobratymców będzie więcej niż wystarczające, by rozpocząć nową erę i przechylić szalę na Twoją korzyść...
GAME_OVER_COUNCIL_WIN2            | Pierwsza faza zakończona, teraz zaczyna się prawdziwy test... #Komnaty Rady rozbrzmiewają wiwatami, gdy rozpoczynasz swoje rządy jako władca Nowej Republiki. Z pokorą przyjmujesz brzemię, które zostało ci powierzone przez imperia tworzące Radę Galaktyczną - wiedząc, że ten koniec jest wynikiem długo i misternie przygotowanego planu. Wkrótce po tym, jak twój lud przybył do tego wymiaru i poznał jego tajemnice, wiedziałeś że nie będzie możliwe, abyś sam znalazł sposób na umożliwienie uwięzionym braciom i siostrom odbycia do niego podróży, zanim ich wszechświat całkowicie się rozpadnie. Teraz, po wielu latach dyplomacji, ukrywania się i manipulacji politycznych, nie musisz już tego robić.#Teraz ta galaktyka jest Twoja i możesz ją kształtować, rzeźbić i kierować nią w sposób, który jest dla ciebie najlepszy. Wkrótce wykorzystasz technologię, siłę i innowacyjność swych sojuszników, aby otworzyć portal do domu i odbudować swoją cywilizację. A gdyby ktoś ośmielił się spróbować cię powstrzymać - masz teraz armie Nowej Republiki, by raz na zawsze zdławić ich sprzeciw...
GAME_OVER_COUNCIL_MILITARY_WIN2   | Pierwsza faza zakończona, teraz zaczyna się prawdziwy test...#Twoje rządy w galaktyce zostały potwierdzone w słowach i czynach. Po niezliczonych latach manipulowania międzygwiezdnymi rywalami, Twe plany w końcu się urzeczywistniły gdy otrzymałeś tytuł "Władcy Nowej Republiki". A kiedy głosy dysydentów podniosły się przeciwko Tobie, uruchomiłeś wcześniejszy plan, który pozwolił ci zdecydowanie stłumić rebelię. Oni walczyli, Ty wygrałeś, a teraz cała galaktyka należy do ciebie i możesz z nią zrobić, co zechcesz.#Po starciu w proch wrogów zwróciłeś uwagę na swój prawdziwy cel: znaleźć sposób na przeniesienie twojego podzielonego ludu przez międzywymiarową szczelinę do tego nowego, stabilnego wszechświata gdzie twoje imperium będzie mogło się odrodzić. Nikt nie odważy się wystąpić teraz przeciwko Tobie. Nie po tym, co spotkało tych, którzy byli na tyle głupi, by to zrobić...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | 
Koniec twojej misji, koniec twojego ludu...#Najsmutniejszy los jaki mogłeś osiągnąć dla swojego ludu stał się rzeczywistością. Twoja niezrównana zdolność do podstępu i manipulacji została udaremniona przez podrzędne gatunki, które nie mogły zrozumieć wielkiego dzieła, którego próbowałeś dokonać. Choć udało ci się wykonać monumentalne zadanie zostania wybranym władcą galaktyki, a jednocześnie utrzymać w tajemnicy swoje cele, nie byłeś w stanie stłumić buntu, który wkrótce powstał, by stawić czoła Twoim rządom.# Teraz jest już za późno, byś mógł kierować przyszłością galaktyki w sposób, który uznasz za stosowny. Rebelia pozostawiła Nową Republikę niczym ruiny, które zwycięzcy mogą splądrować i zbudować na nich coś innego. Śmierć Nazloków przypieczętowała los tych, którzy pozostali uwięzieni w skazanym na zagładę wszechświecie, z którego nie mają nadziei uciec. Twoja porażka przesądziła los twojego imperium nie w jednym, ale w dwóch wszechświatach i jako taka jest większa, niż którykolwiek z twych wrogów może to sobie nawet wyobrazić...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | cienistym uściskiem Nazloków 
GAME_OVER_REBELLION_LOSS3         | tajemnicze machinacje Nazloków dominują
