// race-specific variables (must start with _)
_empire                           | Klan Fierszan, Klan Prrszan, Klan Miauszan, Klan Pazurszan, Klan Syczszan
GAME_OVER_MILITARY_WIN2           | Skarby tej galaktyki są do wzięcia! #Tej nocy cała powierzchnia twojej ojczyzny wybuchnie rykiem świętując najwyższe zwycięstwo twojego ludu. Ta noc jest pierwszą w nowej erze, w której Chanaty Fierszan dominują w galaktyce. To, co kiedyś zaczęło się jako proste najazdy dla łupów i sławy, w końcu stało się kampanią wojenną, która objęła planety, systemy gwiezdne, a w końcu całą znaną galaktykę. Wbrew wszelkim przeciwnościom losu i wyzwaniom każde inne imperium upadło pod ciężarem twojej przytłaczającej dzikości i potęgi.#Gdy słabsi rywale padali jeden po drugim, Twoi ludzie nie widzieli potrzeby posiadania sojuszników. Odrzucając polityczne gierki i znój dyplomacji zdobyłeś ostatnie twierdze, które stały na Twej drodze, a łupy z tysiąca światów są teraz do twojej dyspozycji. A kiedy ta galaktyka odda ci już wszystko co ma, biada tym którzy mieszkają w gwiazdach. Będą drżeć na twoje przybycie, a ich łupy również będą twoje...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Łupy tej galaktyki są twoje i twoich sojuszników...#Twoje najazdy wreszcie przyniosły owoce o wartości ponad miarę. Od pierwszych prób dyplomacji stało się jasne, że Twoja dumna kultura nigdy nie będzie w stanie pokojowo współistnieć z tymi, którzy posiadają tak cudowne skarby lecz nie mają siły, by ich bronić. Wiedziałeś, że wojna jest nieunikniona. Niespodziewanie w głębinach kosmosu znalazłeś jednak innych, którzy nie tylko mieli siłę by bronić swoich łupów, ale także interes w tym by wzbogacić swoje własne skarbce.#Wspólnie z sojusznikami prowadziłeś wojny, o których legendy będą opowiadane aż po koniec czasu. Dzieliłeś się podbojami i bogactwem. W chwili gdy ciała wrogów leżą bez ducha na ścieżce do przyszłości, pozostaje ci tylko podzielić łupy i rozkoszować się dreszczem zwycięstwa. Lecz... słowo ostrzeżenia, Złoty Chanie: bez względu na to jak zaciekle walczyłeś u boku sojuszników, ci którzy mają oko na złoto, mogą skierować swój chciwy wzrok na przyjaciół - gdy nie będzie już wrogów a skarby będą gotowe do wzięcia...
GAME_OVER_COUNCIL_LOSS2           | Twoje najazdy i twój sposób życia gwałtownie się skończyły...#Największe zagrożenie dla kultury twojego ludu zostało w końcu urzeczywistnione. Po niezliczonych latach eksploracji kosmosu i podboju gwiazd, imperia tworzące tę galaktykę postanowiły porzucić dawne waśnie i połączyć się w zjednoczone współistnienie, które nazywają Nową Republiką. Ponieważ wszystkie nowe epoki zasługują na nowych przywódców, Rada Galaktyczna wybrała jednego, który poprowadzi ich w tę nową erę. Choć próbowałeś swoich sił w dyplomacji, harmonijne współistnienie nigdy nie było Twoją mocną stroną. Nieufność wynikająca z twoich nieustannych najazdów i stare rany zadane poddanym spowodowały, że Twoja pozycja dyplomatyczna wśród Rady została nieodwracalnie nadszarpnięta. Ponieważ jedność galaktyki jest teraz pewna, twoje wyprawy po skarby i chwałę dobiegły końca. twój lud będzie żyć zgodnie z zasadami nowej ery albo zginie...
GAME_OVER_REBELLION_LOSS2         | Twoje cenne skarby są teraz do wzięcia...#Dni plądrowania galaktyki z jej najwspanialszych skarbów przez twój lud dobiegły końca. Wraz z powstaniem Nowej Republiki i zjednoczeniem galaktyki pod sztandarem rasy określanej jako %6 wiedziałeś, że święte rytuały kultury twojego ludu będą skazane na zapomnienie o ile nie zbuntujesz się przeciwko nadejściu tej szalonej nowej ery. Jednak, czy to w ślepym posłuszeństwie wobec swojego nowego pana, czy też ze strachu przed Twoim ludem i utratą reputacji - walczyłeś z tą rebelią samotnie. Twoi rywale wiedzieli, że nie mogą walczyć z armiami Fierszan w pojedynkę i wyjść z tego zwycięsko więc połączyli swoje zasoby i floty - stając ramię w ramię przeciwko twojej rebelii. Choć Twoi ludzie walczyli z legendarną nieustępliwością, która wzbudzała strach w całej galaktyce, to nie mogłeś liczyć na pokonanie połączonych sił Nowej Republiki. Teraz Twoja rebelia dobiegła niefortunnego końca, a zwycięzcom pozostało jedynie zagarnąć dla siebie wasze łupy...
GAME_OVER_REBELLION_WIN2          | Skarby tej galaktyki są do wzięcia!#Czas chanatów wreszcie się rozpoczął. Od samego początku swojej wyprawy do niezbadanej galaktyki napotykałeś kosmiczne cywilizacje, które szukały własnej drogi wśród morza gwiazd. Jednak pomimo ich zaawansowanych kultur i innowacji technologicznych wszystkie poległy przed Tobą i Twoim niezrównanym okrucieństwem. Początkowo byłeś bardziej niż zadowolony z tego, że pozwoliłeś tym cywilizacjom kontynuować swoją egzystencję dając swoim ludziom nieskończone źródła zapierających dech w piersiach skarbów, które mogli zdobywać dla siebie w swoich najazdach. Kiedy jednak zdecydowały się one na utworzenie nowej unii, co niewątpliwie było próbą uniemożliwienia Twoim ludziom kontynuowania ich sposobu życia, podjąłeś jedyny właściwy krok przeciw tym, którzy ośmielili się Tobie sprzeciwić.#Dzięki Twej przebiegłości, umiejętnościom i nieustępliwości na polu bitwy przeciwko flotom rywalizujących imperiów, Twoja rebelia przeciwko nowemu porządkowi galaktycznemu zakończyła się całkowitym zwycięstwem. Łupy tysięcy światów czekają bezbronne gdyż usunąłeś ze swej drogi tych, którzy ich strzegli. Weź je, Złoty Chanie! Wzbogać swój skarbiec i przygotuj swoich ludzi na łupy, które leżą w innych galaktykach...

GAME_OVER_REBEL_ALLIANCE_WIN2     | Łupy tej galaktyki są twoje i twoich sojuszników...#Podniesienie sztandaru w rebelii przeciwko Nowej Republice było łatwą decyzją. Wiedziałeś, że galaktyka nie szanuje Twego ludu i jego sposobu życia. Gdy po galaktyce rozeszły się wieści o twojej sprawności wojennej i przerażających najazdach na konkurencyjne imperia, wiedziałeś że zjednoczony porządek galaktyczny będzie stanowił dla ciebie zagrożenie nie do pokonania. Jak prawdziwy przywódca z legend twojego pradawnego ludu, działałeś szybciej niż inni mogli się spodziewać i uderzyłeś przeciwko temu porządkowi w otwartej wojnie. Ku swej uciesze znalazłeś innych niezadowolonych z tej nowej rzeczywistości i w zamian za niewielki udział w łupach zawarłeś nowy sojusz, który pomógł ci zdobyć dominację nad siłami, które zebrały się przeciwko Tobie. Twoi rywale zostali całkowicie pokonani, a sojusznicy nie mają szans w starciu z Twoją potęgą, jeśli kiedykolwiek przestaną być dla ciebie użyteczni. Teraz pozostaje ci tylko wziąć to, o co tak ciężko walczyłeś...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Twoje łupy będą przynajmniej bezpieczne w tym nowym wieku...#Nie jest dla nikogo zaskoczeniem, że Rada Galaktyczna nie dostrzega twojej wielkości i odmawia ci przywództwa nad Nową Republiką. twoje najazdy na inne imperia sprawiły, że twój lud stał się niepopularny i niewielu jest skłonnych spojrzeć poza normy kulturowe tak by naprawdę go zrozumieć. Jednak czy to dzięki naiwności, czy też poczuciu autentyczności, które przekonało tak wielu innych do ich sprawy, udało ci się znaleźć wspólny język z rasą znaną jako %6 i wiedząc, że będzie to dla ciebie najlepszy ruch, pomogłeś wybrać ich na przywódców nadchodzącej ery.#Wdzięcznie i łaskawie, dzięki hojności twoich sojuszników udało ci się zapewnić bezpieczeństwo łupom bez konieczności płacenia reparacji tym, którym je odebrałeś. Pośrednicząc w zawarciu pokoju, niechętnie zgodziłeś się zakończyć swoje najazdy i musisz teraz szukać nowych dróg, aby okiełznać pragnienia swoich ludzi. Z pewnością jest to lepsze niż zagłada, która czekałaby cię gdybyś zdecydował się zbuntować przeciwko swojemu sojusznikowi...
GAME_OVER_COUNCIL_WIN2            | Ta galaktyka i jej skarby należą do ciebie i tylko do ciebie!#Największy dzień w historii twojego ludu w końcu nadszedł: Złoty Chan został władcą Nowej Republiki. Od samego początku twój lud cieszył się reputacją brutalnych najeźdźców. Choć w przeszłości podniosło się przeciwko Tobie wiele głosów sprzeciwu, to wszystkie ucichły gdy Rada Galaktyczna uznała Twoją niezwyciężoną siłę. Z pewnością niektóre z imperiów, które pomogły cię wybrać, mają nadzieję stać się prawdziwymi przyjaciółmi twojego ludu, ale wiesz że większość z tych którzy ci pomogli zrobiła to ze strachu przed wzbudzeniem twojego gniewu. Nie chciałbyś, aby było inaczej!#Od tego dnia wszystkie imperia w Nowej Republice będą płacić ci trybut. A za zbrodnię, jaką była próba przeciwstawienia się Tobie w komnatach rady -  imperia, które głosowały przeciwko twojemu wstąpieniu będą na zawsze narażone na najazdy, by nigdy nie zyskać siły potrzebnej do powstania przeciwko Tobie. Galaktyka należy do Fierszan i będzie ci podlegać aż po wsze czasy. Niech żyje nowa era i niech żyje Złoty Chan!
GAME_OVER_COUNCIL_MILITARY_WIN2   | Łupy tej galaktyki są twoje i twoich sojuszników...#Teraz twoje chwalebne panowanie może się rozpocząć naprawdę. Legendarna sprawność twoich ludzi na polu bitwy i opowieści o straszliwych najazdach które przeprowadzałeś sprawiły, że zostałeś władcą Nowej Republiki. Choć wielu obawiało się wzbudzić twój gniew, wciąż byli tacy którzy byli zbyt głupi by uznać Twoją wielkość i siłę. Pragnąc przejąć skarby Twoi ludzie ruszyli, by zmiażdżyć rebelię i zebrać nagrody, tym razem przy wsparciu całego zjednoczonego wojska Nowej Republiki, którą teraz rządzisz.#Rebelia zakończyła się zanim jeszcze się zaczęła, a armie uzurpatorów zostały pokonane minimalnym wysiłkiem. Zebrawszy skarby, Fierszan przeglądają łupy aby dać jakąś nagrodę słabszym imperiom, które ci służą. Rebelianci służą jako przykład skutków twojego gniewu. Skieruj teraz swoją uwagę na inne galaktyki, gdyż są bezbronne i czekają na podbój kusząc świecidełkami, które możesz dodać do swojej kolekcji...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Każdy może teraz wziąć twoje cenne skarby...#Chociaż początkowo byłeś w stanie wykorzystać strach aby zmiażdżyć opór rywali i stać się panem Nowej Republiki, to znaleźli się tacy którzy stanęli przeciwko Tobie i przyszłości, którą sobie wyobrażałeś. twój lud był dumny i silny, ozdobiony łupami z niezliczonych najazdów i żądny kolejnych skarbów z kolejnego nieuchronnego podboju. Ale nie dostrzegał czy też nie mógł dostrzec niebezpieczeństwa jakie stanowiła rebelia. Niezłomna odwaga jaką wykazali się buntownicy okazała się być Twoim końcem.#Chociaż szczyciłeś się przewagą liczebną wykorzystując floty tych których zmusiłeś do poddania się to nie byłeś w stanie powstrzymać tego powstania przed destabilizacją republiki i zrzuceniem cię z tronu. Najpierw polegli Twoi podwładni, a wkrótce po nich Twoi ludzie. Wygląda na to, że w końcu galaktyka sama wybrała swą drogę. Ostatecznie czymże jest wola jednego ludu, nieważne jak silnego, wobec nieubłaganej ręki losu...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | nienasyconą chciwością Fierszanów
GAME_OVER_REBELLION_LOSS3         | żadza skarbu Fierszanów harcuje
