

//
// Armor techs
// 
ARMOR_0_NAME     | Armadura de Titânio
CLOAK_0_DETAIL   | Torna a nave praticamente invisível até que esta ataque, aumentando as suas defesas em +5 pontos. As naves têm de descamuflar para atacar, mas reativam a camuflagem automaticamente em qualquer turno de combate em que não ataquem.


//
// Cloning tech
//
CLONE_0_NAME     | Clonagem
CLONE_0_DETAIL   | Bioengenharia que possibilita o crescimento de colonos a uma taxa de 1 milhão por 10 BM.

CLONE_1_NAME     | Clonagem Avançada
CLONE_1_DETAIL   | Bioengenharia que possibilita o crescimento de colonos a uma taxa de 1 milhão por 5 BM.


//
// Combat Transporter tech
//
COMBATTRANSPORT_0_NAME     | Transportes Combatentes
COMBATTRANSPORT_0_DETAIL   | As tropas cujos transportes possuam este dispositivo têm uma chance de 50% de invadir superfícies inimigas antes que possam ser atacadas pelas suas naves e bases de mísseis.


//
// Control Environment tech
//
CONTROLENV_0_NAME    | Ambiente Normal Controlado
CONTROLENV_0_ITEM    | Base de Colónia Padrão
CONTROLENV_0_BRIEF   | Permite a Aterragem em Ambientes Normais
CONTROLENV_0_DETAIL  | Possibilita a colonização de planetas normais.

CONTROLENV_1_NAME    | Ambiente Estéril Controlado
CONTROLENV_1_ITEM    | Base de Colónia Estéril
CONTROLENV_1_BRIEF   | Permite a Aterragem em Ambientes Estéreis
CONTROLENV_1_DETAIL  | Possibilita a colonização de planetas estéreis e de condição menos hostil.

CONTROLENV_2_NAME    | Ambiente de Tundra Controlado
CONTROLENV_2_ITEM    | Base de Colónia Tundra
CONTROLENV_2_BRIEF   | Permite a Aterragem em Ambientes de Tundra
CONTROLENV_2_DETAIL  | Possibilita a colonização de planetas de tundra e de condição menos hostil.

CONTROLENV_3_NAME    | Ambiente Defunto Controlado
CONTROLENV_3_ITEM    | Base de Colónia Defunto
CONTROLENV_3_BRIEF   | Permite a Aterragem em Ambientes Defuntos
CONTROLENV_3_DETAIL  | Possibilita a colonização de planetas defuntos e de condição menos hostil.

CONTROLENV_4_NAME    | Ambiente Infernal Controlado
CONTROLENV_4_ITEM    | Base de Colónia Infernal
CONTROLENV_4_BRIEF   | Permite a Aterragem em Ambientes Infernais
CONTROLENV_4_DETAIL  | Possibilita a colonização de planetas infernais e de condição menos hostil.

CONTROLENV_5_NAME    | Ambiente Tóxico Controlado
CONTROLENV_5_ITEM    | Base de Colónia Tóxico
CONTROLENV_5_BRIEF   | Permite a Aterragem em Ambientes Tóxicos
CONTROLENV_5_DETAIL  | Possibilita a colonização de planetas tóxicos e de condição menos hostil.

CONTROLENV_6_NAME    | Ambiente Radioativo Controlado
CONTROLENV_6_ITEM    | Base de Colónia Radioativo
CONTROLENV_6_BRIEF   | Permite a Aterragem em Ambientes Radioativos
CONTROLENV_6_DETAIL  | Possibilita a colonização de planetas radioativos e de condição menos hostil.


//
// Deflector Shield tech
//
// this is the entry on Ship Design for selecting no deflector shield
DEFLECTOR_0_NAME      | 
DEFLECTOR_0_ITEM      |   
DEFLECTOR_0_BRIEF     |  
DEFLECTOR_0_DETAIL    | 

DEFLECTOR_1_NAME      | Escudos Defletores de Classe I
DEFLECTOR_1_ITEM      | Classe I
DEFLECTOR_1_BRIEF     | Absorve 1 ponto
DEFLECTOR_1_DETAIL    | Absorve 1 ponto de dano de todos os ataques.

DEFLECTOR_2_NAME      | Escudos Defletores de Classe II
DEFLECTOR_2_ITEM      | Classe II
DEFLECTOR_2_BRIEF     | Absorve 2 pontos
DEFLECTOR_2_DETAIL    | Absorve 2 pontos de dano de todos os ataques.

DEFLECTOR_3_NAME      | Escudos Defletores de Classe III
DEFLECTOR_3_ITEM      | Classe III
DEFLECTOR_3_BRIEF     | Absorve 3 pontos
DEFLECTOR_3_DETAIL    | Absorve 3 pontos de dano de todos os ataques.

DEFLECTOR_4_NAME      | Escudos Defletores de Classe IV
DEFLECTOR_4_ITEM      | Classe IV
DEFLECTOR_4_BRIEF     | Absorve 4 pontos
DEFLECTOR_4_DETAIL    | Absorve 4 pontos de dano de todos os ataques.

DEFLECTOR_5_NAME      | Escudos Defletores de Classe V
DEFLECTOR_5_ITEM      | Classe V
DEFLECTOR_5_BRIEF     | Absorve 5 pontos
DEFLECTOR_5_DETAIL    | Absorve 5 pontos de dano de todos os ataques.

DEFLECTOR_6_NAME      | Escudos Defletores de Classe VI
DEFLECTOR_6_ITEM      | Classe VI
DEFLECTOR_6_BRIEF     | Absorve 6 pontos
DEFLECTOR_6_DETAIL    | Absorve 6 pontos de dano de todos os ataques.

DEFLECTOR_7_NAME      | Escudos Defletores de Classe VII
DEFLECTOR_7_ITEM      | Classe VII
DEFLECTOR_7_BRIEF     | Absorve 7 pontos
DEFLECTOR_7_DETAIL    | Absorve 7 pontos de dano de todos os ataques.

DEFLECTOR_8_NAME      | Escudos Defletores de Classe IX
DEFLECTOR_8_ITEM      | Classe IX
DEFLECTOR_8_BRIEF     | Absorve 9 pontos
DEFLECTOR_8_DETAIL    | Absorve 9 pontos de dano de todos os ataques.

DEFLECTOR_9_NAME      | Escudos Defletores de Classe XI
DEFLECTOR_9_ITEM      | Classe XI
DEFLECTOR_9_BRIEF     | Absorve 11 pontos
DEFLECTOR_9_DETAIL    | Absorve 11 pontos de dano de todos os ataques.

DEFLECTOR_10_NAME     | Escudos Defletores de Classe XIII
DEFLECTOR_10_ITEM     | Classe XIII
DEFLECTOR_10_BRIEF    | Absorve 13 pontos
DEFLECTOR_10_DETAIL   | Absorve 13 pontos de dano de todos os ataques.

DEFLECTOR_11_NAME     | Escudos Defletores de Classe XV
DEFLECTOR_11_ITEM     | Classe XV
DEFLECTOR_11_BRIEF    | Absorve 15 pontos
DEFLECTOR_11_DETAIL   | Absorve 15 pontos de dano de todos os ataques.


//
// Displacement tech
//
DISPLACEMENT_0_NAME   | Aparelho de Deslocalização
DISPLACEMENT_0_BRIEF  | Evita 1/3 de todos os ataques do inimigo
DISPLACEMENT_0_DETAIL | Transporta aleatoriamente a nave para fora e para dentro do espaço comum, poupando-lhe 1/3 de todos os ataques randomly shifts the equipped ships in and out of normal space, allowing them to avoid 1/3 of all non-area weapon attacks.

//
// ECM Jammer tech
//
// this is the entry on Ship Design for selecting no ECM Jammer
ECMJAMMER_0_NAME      | 
ECMJAMMER_0_ITEM      | 
ECMJAMMER_0_BRIEF     | Def. Mísseis 0
ECMJAMMER_0_DETAIL    | 

ECMJAMMER_1_NAME      | Contra-medidas Eletrónicas de Categoria I
ECMJAMMER_1_ITEM      | CME I
ECMJAMMER_1_BRIEF     | Def. Mísseis 1
ECMJAMMER_1_DETAIL    | Sobe 1 nível na defesa contra ataques por mísseis do inimigo.

ECMJAMMER_2_NAME      | Contra-medidas Eletrónicas de Categoria II
ECMJAMMER_2_ITEM      | CME II
ECMJAMMER_2_BRIEF     | Def. Mísseis 2
ECMJAMMER_2_DETAIL    | Sobe 2 níveis na defesa contra ataques por mísseis do inimigo. 

ECMJAMMER_3_NAME      | Contra-medidas Eletrónicas de Categoria III
ECMJAMMER_3_ITEM      | CME III
ECMJAMMER_3_BRIEF     | Def. Mísseis 3
ECMJAMMER_3_DETAIL    | Sobe 3 níveis na defesa contra ataques por mísseis do inimigo.

ECMJAMMER_4_NAME      | Contra-medidas Eletrónicas de Categoria IV
ECMJAMMER_4_ITEM      | CME IV
ECMJAMMER_4_BRIEF     | Def. Mísseis 4
ECMJAMMER_4_DETAIL    | Sobe 4 níveis na defesa contra ataques por mísseis do inimigo.

ECMJAMMER_5_NAME      | Contra-medidas Eletrónicas de Categoria V
ECMJAMMER_5_ITEM      | CME V
ECMJAMMER_5_BRIEF     | Def. Mísseis 5
ECMJAMMER_5_DETAIL    | Sobe 5 níveis na defesa contra ataques por mísseis do inimigo.

ECMJAMMER_6_NAME      | Contra-medidas Eletrónicas de Categoria VI
ECMJAMMER_6_ITEM      | CME VI
ECMJAMMER_6_BRIEF     | Def. Mísseis 6
ECMJAMMER_6_DETAIL    | Sobe 6 níveis na defesa contra ataques por mísseis do inimigo.

ECMJAMMER_7_NAME      | Contra-medidas Eletrónicas de Categoria VII
ECMJAMMER_7_ITEM      | CME VII
ECMJAMMER_7_BRIEF     | Def. Mísseis 7
ECMJAMMER_7_DETAIL    | Sobe 7 níveis na defesa contra ataques por mísseis do inimigo.

ECMJAMMER_8_NAME      | Contra-medidas Eletrónicas de Categoria VIII
ECMJAMMER_8_ITEM      | CME VIII
ECMJAMMER_8_BRIEF     | Def. Mísseis 8
ECMJAMMER_8_DETAIL    | Sobe 8 níveis na defesa contra ataques por mísseis do inimigo.

ECMJAMMER_9_NAME      | Contra-medidas Eletrónicas de Categoria IX
ECMJAMMER_9_ITEM      | CME IX
ECMJAMMER_9_BRIEF     | Def. Mísseis 9
ECMJAMMER_9_DETAIL    | Sobe 9 níveis na defesa contra ataques por mísseis do inimigo.

ECMJAMMER_10_NAME     | Contra-medidas Eletrónicas de Categoria X
ECMJAMMER_10_ITEM     | CME X
ECMJAMMER_10_BRIEF    | Def. Mísseis 10
ECMJAMMER_10_DETAIL   | Sobe 10 níveis na defesa contra ataques por mísseis do inimigo.


//
// Ecological Restoration techs
//
ECORESTORATION_0_NAME   | Restauro Ecológico
ECORESTORATION_0_DETAIL | Elimina 2 parcelas de lixo industrial por 1 BM.

ECORESTORATION_1_NAME   | Restauro Ecológico Melhorado
ECORESTORATION_1_DETAIL | Elimina 3 parcelas de lixo industrial por 1 BM.

ECORESTORATION_2_NAME   | Restauro Ecológico Amplificado
ECORESTORATION_2_DETAIL | Elimina 5 parcelas de lixo industrial por 1 BM.

ECORESTORATION_3_NAME   | Restauro Ecológico Avançado
ECORESTORATION_3_DETAIL | Elimina 10 parcelas de lixo industrial por 1 BM.

ECORESTORATION_4_NAME   | Restauro Ecológico Completo
ECORESTORATION_4_DETAIL | Elimina 20 parcelas de lixo industrial por 1 BM.


//
// Energy Pulsar techs
//
PULSAR_0_NAME     | Pulsar de Energia
PULSAR_0_BRIEF    | Explode para infligir 1-5 golpes
PULSAR_0_DETAIL   | Modificação potente dos motores capaz de gerar uma explosão esférica de energia que atinge todas as naves adjacentes com até 5 pontos de dano +1 por cada duas naves inimigas.

PULSAR_1_NAME     | Pulsar de Iões
PULSAR_1_BRIEF    | Explode para infligir 2-10 golpes
PULSAR_1_DETAIL   | Modificação potente dos motores capaz de gerar uma explosão esférica de energia cíclica que atinge todas as naves adjacentes com até 10 pontos de dano +1 por cada nave inimiga.


//
// Engine techs
//
ENGINE_0_NAME    | Motores Clássicos
ENGINE_0_DETAIL  | Move as naves à velocidade de Dobra Espacial %1 e desbloqueia a manobragem máxima de classe I em combate.
ENGINE_0_ITEM    | Clássicos
ENGINE_0_ITEM2   | Classe 1
ENGINE_0_BRIEF   | Dobra Espacial 1  Def %1
ENGINE_0_BRIEF2  | Manobragem %1

ENGINE_1_NAME    | Motores Nucleares
ENGINE_1_DETAIL  | Move as naves à velocidade de Dobra Espacial %1 e desbloqueia a manobragem máxima de classe II em combate.
ENGINE_1_ITEM    | Nucleares
ENGINE_1_ITEM2   | Classe 2
ENGINE_1_BRIEF   | Dobra Espacial 2  Def %1
ENGINE_1_BRIEF2  | Manobragem %1

ENGINE_2_NAME    | Motores de Subluz
ENGINE_2_DETAIL  | Move as naves à velocidade de Dobra Espacial %1 e desbloqueia a manobragem máxima de classe III em combate.
ENGINE_2_ITEM    | Subluz
ENGINE_2_ITEM2   | Classe 3
ENGINE_2_BRIEF   | Dobra Espacial 3  Def %1
ENGINE_2_BRIEF2  | Manobragem %1

ENGINE_3_NAME    | Motores de Fusão
ENGINE_3_DETAIL  | Move as naves à velocidade de Dobra Espacial %1 e desbloqueia a manobragem máxima de classe IV em combate.
ENGINE_3_ITEM    | Fusão Nuclear
ENGINE_3_ITEM2   | Classe 4
ENGINE_3_BRIEF   | Dobra Espacial 4  Def %1
ENGINE_3_BRIEF2  | Manobragem %1

ENGINE_4_NAME    | Motores de Impulso
ENGINE_4_DETAIL  | Move as naves à velocidade de Dobra Espacial %1 e desbloqueia a manobragem máxima de classe V em combate.
ENGINE_4_ITEM    | Impulso
ENGINE_4_ITEM2   | Classe 5
ENGINE_4_BRIEF   | Dobra Espacial 5  Def %1
ENGINE_4_BRIEF2  | Manobragem %1

ENGINE_5_NAME    | Motores de Iões
ENGINE_5_DETAIL  | Move as naves à velocidade de Dobra Espacial %1 e desbloqueia a manobragem máxima de classe VI em combate.
ENGINE_5_ITEM    | Iões
ENGINE_5_ITEM2   | Classe 6
ENGINE_5_BRIEF   | Dobra Espacial 6  Def %1
ENGINE_5_BRIEF2  | Manobragem %1

ENGINE_6_NAME    | Motores de Antimatéria
ENGINE_6_DETAIL  | Move as naves à velocidade de Dobra Espacial %1 e desbloqueia a manobragem máxima de classe VII em combate.
ENGINE_6_ITEM    | Antimatéria
ENGINE_6_ITEM2   | Classe 7
ENGINE_6_BRIEF   | Dobra Espacial 7  Def %1
ENGINE_6_BRIEF2  | Manobragem %1

ENGINE_7_NAME    | Motores de Interfaseamento
ENGINE_7_DETAIL  | Move as naves à velocidade de Dobra Espacial %1 e desbloqueia a manobragem máxima de classe VIII em combate.
ENGINE_7_ITEM    | Interfaseamento
ENGINE_7_ITEM2   | Classe 8
ENGINE_7_BRIEF   | Dobra Espacial 8  Def %1
ENGINE_7_BRIEF2  | Manobragem %1

ENGINE_8_NAME    | Hipermotores
ENGINE_8_DETAIL  | Move as naves à velocidade de Dobra Espacial %1 e desbloqueia a manobragem máxima de classe IX em combate.
ENGINE_8_ITEM    | Hiper
ENGINE_8_ITEM2   | Classe 9
ENGINE_8_BRIEF   | Dobra Espacial 9  Def %1
ENGINE_8_BRIEF2  | Manobragem %1


//
// Fuel Range techs
//
FUELRANGE_0_NAME   | Células de Combustível
FUELRANGE_0_DETAIL | As reservas de combustível permitem à nave avançar até %1 anos-luz para lá das colónias.

FUELRANGE_1_NAME   | Células de Combustível de Hidrogénio
FUELRANGE_1_DETAIL | As reservas de combustível permitem à nave avançar até %1 anos-luz para lá das colónias.

FUELRANGE_2_NAME   | Células de Combustível de Deutério
FUELRANGE_2_DETAIL | As reservas de combustível permitem à nave avançar até %1 anos-luz para lá das colónias.

FUELRANGE_3_NAME   | Células de Combustível de Irídio
FUELRANGE_3_DETAIL | As reservas de combustível permitem à nave avançar até %1 anos-luz para lá das colónias.

FUELRANGE_4_NAME   | Cristais de Dolomite
FUELRANGE_4_DETAIL | As reservas de combustível permitem à nave avançar até %1 anos-luz para lá das colónias.

FUELRANGE_5_NAME   | Células de Combustível de Urídio
FUELRANGE_5_DETAIL | As reservas de combustível permitem à nave avançar até %1 anos-luz para lá das colónias.

FUELRANGE_6_NAME   | Células de Combustível de Reajax II
FUELRANGE_6_DETAIL | As reservas de combustível permitem à nave avançar até %1 anos-luz para lá das colónias.

FUELRANGE_7_NAME   | Cristais de Trilítio
FUELRANGE_7_DETAIL | As reservas de combustível permitem à nave avançar até %1 anos-luz para lá das colónias.

FUELRANGE_8_NAME   | Células de Combustível de Tório
FUELRANGE_8_DETAIL | As reservas de combustível permitem à nave mover-se até qualquer distância para lá das colónias.


//
// Future Computer techs
//
FUTURECOMP_0_NAME    | Computadores do Futuro I
FUTURECOMP_0_DETAIL  | Melhoramentos Gerais em Tecnologia de Computadores.

FUTURECOMP_1_NAME    | Computadores do Futuro II
FUTURECOMP_1_DETAIL  | Melhoramentos Gerais em Tecnologia de Computadores.

FUTURECOMP_2_NAME    | Computadores do Futuro III
FUTURECOMP_2_DETAIL  | Melhoramentos Gerais em Tecnologia de Computadores.

FUTURECOMP_3_NAME    | Computadores do Futuro IV
FUTURECOMP_3_DETAIL  | Melhoramentos Gerais em Tecnologia de Computadores.

FUTURECOMP_4_NAME    | Computadores do Futuro V
FUTURECOMP_4_DETAIL  | Melhoramentos Gerais em Tecnologia de Computadores.

FUTURECOMP_5_NAME    | Computadores do Futuro VI
FUTURECOMP_5_DETAIL  | Melhoramentos Gerais em Tecnologia de Computadores.

FUTURECOMP_6_NAME    | Computadores do Futuro VII
FUTURECOMP_6_DETAIL  | Melhoramentos Gerais em Tecnologia de Computadores.

FUTURECOMP_7_NAME    | Computadores do Futuro VIII
FUTURECOMP_7_DETAIL  | Melhoramentos Gerais em Tecnologia de Computadores.

FUTURECOMP_8_NAME    | Computadores do Futuro IX
FUTURECOMP_8_DETAIL  | Melhoramentos Gerais em Tecnologia de Computadores.

FUTURECOMP_9_NAME    | Computadores do Futuro X
FUTURECOMP_9_DETAIL  | Melhoramentos Gerais em Tecnologia de Computadores. 


//
// Future Construction techs
//
FUTURECONST_0_NAME    | Engenharia do Futuro I
FUTURECONST_0_DETAIL  | Melhoramentos Gerais em Tecnologia de Engenharia.

FUTURECONST_1_NAME    | Engenharia do Futuro II
FUTURECONST_1_DETAIL  | Melhoramentos Gerais em Tecnologia de Engenharia.

FUTURECONST_2_NAME    | Engenharia do Futuro III
FUTURECONST_2_DETAIL  | Melhoramentos Gerais em Tecnologia de Engenharia.

FUTURECONST_3_NAME    | Engenharia do Futuro IV
FUTURECONST_3_DETAIL  | Melhoramentos Gerais em Tecnologia de Engenharia.

FUTURECONST_4_NAME    | Engenharia do Futuro V
FUTURECONST_4_DETAIL  | Melhoramentos Gerais em Tecnologia de Engenharia.

FUTURECONST_5_NAME    | Engenharia do Futuro VI
FUTURECONST_5_DETAIL  | Melhoramentos Gerais em Tecnologia de Engenharia.

FUTURECONST_6_NAME    | Engenharia do Futuro VII
FUTURECONST_6_DETAIL  | Melhoramentos Gerais em Tecnologia de Engenharia.

FUTURECONST_7_NAME    | Engenharia do Futuro VIII
FUTURECONST_7_DETAIL  | Melhoramentos Gerais em Tecnologia de Engenharia.

FUTURECONST_8_NAME    | Engenharia do Futuro IX
