//
// Dialogue that is not race-specific
//

DIPLO_TECH_REQUEST_MENU_01   | Яка технологія вас цікавить?
DECLINE_ENCROACH_01        | Ваш флот вторгається в космічний простір [my_race_plural2]. Відкличте їх, тоді ми поговоримо.

DECLINE_SKIRMISH_01        | Ви не можете атакувати нас без причини, а потім поводитися якби нічого не трапилось! Ми відхиляємо пропозицію.
DECLINE_SKIRMISH_01        | Ми не можемо прийняти пропозицію від тих, хто атакує наш флот.
DECLINE_SKIRMISH_01        | Коли ваш флот перестане атакувати наш, ми зможемо поговорити.
DECLINE_SKIRMISH_01        | Якщо ви хочете мати будь-які діла з [my_empire5], не чіпайте наші кораблі!
DECLINE_SKIRMISH_01        | [my_nameTitle] [my_name] не хоче навіть розглядати ваші пропозиції після вашого знищення наших кораблів. Ми не погоджуємося.

DECLINE_ATTACK_01          | Нам надто складно закривати очі на ваш напад на [system]. Ми не погоджуємося.
DECLINE_ATTACK_01          | Ми не забули вашу атаку на колонію [system] і не забудемо всіх тих жертв вашої жорстокості.

DECLINE_INVASION_01        | Наші люди не хочуть мати справу з різниками системи [system].
DECLINE_INVASION_01        | Ви пролили кров мого народу в системі [system]. Я не прийму вашу пропозицію.
DECLINE_INVASION_01        | Багато людей загинуло від ваших рук в системі [system] і нам не варто забувати про це, коли ми маємо з вами справу. Ми не погоджуємося.

DECLINE_BIOWEAPONS_01      | [my_race_plural] не укладатимуть угод з расою, яка застосовує біологічну зброю.
DECLINE_BIOWEAPONS_01      | Невже ви не знаєте, що є чесним боєм? Ті істоти, яких ви вбили біологічною зброєю, не могли захиститися!
DECLINE_BIOWEAPONS_01      | Ви використовуєте зброю, яку більшість з нас вважає безчесною. Ми відмовляємося мати справу з таким божевіллям.
DECLINE_BIOWEAPONS_01      | Ви не знайдете у нас пробачення за гріх використання біологічної зброї. [my_race_plural] не можуть цього дозволити.
DECLINE_BIOWEAPONS_01      | Чи ви вважаєте, що всі ті, хто загинув від вашої біологічної зброї, дозволили б нам здійснювати з вами угоди?

DECLINE_TECH_TRADE_01      | У вас немає технологій, які б нас цікавили.
DECLINE_TECH_TRADE_01      | У [your_race_plural2] нема нічого цікавого для нас.
DECLINE_TECH_TRADE_01      | Ваші примітивні винаходи нас не цікавлять.
DECLINE_TECH_TRADE_01      | Технологічний рівень [my_race_plural2] занадто вищій від вашого.
DECLINE_TECH_TRADE_01      | [your_nameTitle] [your_name], ми не потребуємо в тому, що пропонують нам ваші вчені.
DECLINE_TECH_TRADE_01      | [my_nameTitle] [my_name] не зацікавлений у ваших технологіях.

OFFER_TECH_EXCHANGE_01     | The [your_empire] is in great need of your [tech] technology. Perhaps you are willing to exchange it for some of our technology.
OFFER_TECH_EXCHANGE_01     | The [your_empire] knows you have learned the secrets of [tech]. Can we offer you some of our technology in exchange?
OFFER_TECH_EXCHANGE_01     | [your_nameTitle] [your_name] of the [your_empire] wishes for the secret of the [tech] technology. Will you exchange it for one of our advances?
OFFER_TECH_EXCHANGE_01     | The [your_race] race is awed by the scientific wonders of [tech]. What can we offer you for its secret?

ACCEPT_TECH_EXCHANGE_01    | Добре! [my_nameTitle] [my_name] погоджується на обмін секретів технології "[techGiven]" [my_race_plural2] на технологію "[techReceived]".
ACCEPT_FINANCIAL_AID_01    | [my_nameTitle] [my_name] приймає ваш подарунок у вигляді [amt] Б.К.
ACCEPT_TECHNOLOGY_AID_01   | [my_nameTitle] [my_name] приймає ваш подарунок у вигляді технології "[tech]".

BREAK_TRADE_01             | Мій народ більш не бажає торгувати з [your_empire5].
ANNOUNCE_TRADE_01          | У [year] році [my_empire] та [your_empire] погоджуються на торгову угоду у вигляді [amt] Б.К. щорічно.

ANNOUNCE_PEACE_01          | У [year] році [my_race_plural] та [your_race_plural] погоджуються припинити всі бойові дії між їх імперіями.
ANNOUNCE_PEACE_01          | [my_nameTitle] [my_name] наказує припинити всі бойові дії між нашими імперіями.
ACCEPT_PEACE_01            | Ми погоджуємось, що настав час закінчити наші дрібні сварки.
ACCEPT_PEACE_01            | Ми приймаємо вашу пропозицію миру. Припиніть вогонь, і ми відповімо тим самим.
ACCEPT_PEACE_01            | Ми втомилися від цієї безглуздої битви. [my_empire] приймає вашу пропозицію миру.

BREAK_PACT_01              | Попередження [your_empire3] від [my_race_plural2]: наш Пакт про ненапад розірвано!
ANNOUNCE_PACT_01           | Починаючи з [year] року [my_empire] зобов'язується дотримуватися Пакту про ненапад і не нападати на кораблі [your_race_plural2], за винятком тих випадків, коли вони обертаються навколо однієї з наших колоній.
ACCEPT_PACT_01             | [my_empire] погоджується на Пакт про ненапад. Жодна зі сторін не буде атакувати флоти іншої, якщо вони не ввійдуть в орбіту колонії одне одного.
ACCEPT_PACT_01             | Якщо ви згодні не порушувати наші кордони, [my_race_plural] обіцяють не атакувати ваші кораблі.
ACCEPT_PACT_01             | [my_nameTitle] [my_name] погоджується підписати Пакт про ненапад. Новий етап миру розпочався для наших імперій!
ACCEPT_PACT_01             | Тоді домовились. Ви не атакуєте наші колонії - [my_empire] не атакує ваші кораблі.

BREAK_ALLIANCE_01          | [my_empire] більше не може підтримувати союз з [your_empire5].
ANNOUNCE_ALLIANCE_01       | У [year] році було сформовано союз [my_empire2] та [your_empire2], в якому жоден з них не нападатиме на флоти та колонії одне одного.
ANNOUNCE_ALLIANCE_01       | Тож наш альянс було сформовано. Тепер ваші кораблі можуть відвідувати наші колонії й запрошувати паливо.
ACCEPT_ALLIANCE_01         | [my_nameTitle] [my_name] бачить в вас союзника, [your_nameTitle] [your_name]. Ми погоджуємося на альянс.
ACCEPT_ALLIANCE_01         | Це історичний день для [my_empire2] та [your_empire2]. Сьогодні дві великі держави сформували союз!
ACCEPT_ALLIANCE_01         | [my_nameTitle] [my_name] бачить мудрість вашого бажання союзу з [your_empire5]. Нехай буде так!

OFFER_JOINT_WAR_01         | Настав час [your_empire3] та [my_empire3] об'єднатися у війні проти [other_race2].
ACCEPT_JOINT_WAR_01        | [other_empire] впаде від об'єднаної могутності [my_empire2] та [your_empire2].
ACCEPT_JOINT_WAR_01        | Об'єднана міць [my_race2] та [your_race2] дуже швидко знищить сили [other_race2].
ACCEPT_JOINT_WAR_01        | У [year] році, [my_empire] та [your_empire] об’єднали зусилля, щоб позбутися від галактичної загрози - [other_race2].
COUNTER_JOINT_WAR_01       | Ми приєднаємося до вашої війни проти [other_empire2], якщо ми отримаємо:
RESPOND_CLOSE_EMBASSY_01   | Нехай буде так. Подальших дискусій між нашими імперіями не буде.

RESPOND_BREAK_TRADE_01     | Ми це запам’ятаємо.
RESPOND_BREAK_TRADE_01     | Тобто, [your_nameTitle] [your_name], ви не дотримуєтесь свого слова? Ми цього не забудемо.

RESPOND_BREAK_PACT_01      | Ваші безчесні дії приведуть вас у могилу, [your_nameTitle] [your_name].
RESPOND_BREAK_PACT_01      | [your_empire] розвалиться під вагою власних порушених обіцянок...

RESPOND_BREAK_ALLIANCE_01  | Ви знеславили угоду. Ми розриваємо цей союз.
RESPOND_BREAK_ALLIANCE_01  | Добре. Тепер ми бачимо ваші справжні наміри. Цей союз тепер розірваний.
RESPOND_BREAK_ALLIANCE_01  | Нам мало потрібні договори, які не дотримуються. Союз розірваний.
RESPOND_BREAK_ALLIANCE_01  | Нехай буде так. Ми розриваємо цей союз.
