// race-specific variables (must start with _)
_empire                           | Jurisdição Meklar, Jurisdição Mecanar, Jurisdição Cibernar, Jurisdição Digitar, Jurisdição Tecnar
GAME_OVER_MILITARY_LOSS2          | Recordas dolorosamente os limites da tua mortalidade...#O sonho comum fica por realizar enquanto a tua civilização jaz na ruína. As formas de vida alienígena que constituíram os impérios teus rivais possuíam um poder acima do que poderias efrentar, apesar da vossa biotecnologia insuperável. Não obstantes as reafirmações constantes de que o teu povo não desejava mais que ser deixado em paz na sua busca pela tecnologia que prolongasse a vida, os teus rivais fizeram os possíveis para esmagar as vossas ambições a cada oportunidade - quer por receio, desporto ou talvez sem razão alguma, eles escolheram impedir-vos e agora o teu povo desapareceu para sempre.#Noutro tempo, noutra realidade, a tua gente poderia ter achado a imortalidade que procurava e ter-se tornado capaz de experienciar a alegria de uma vida eterna partilhada. E nessa eternidade, nessa realidade, quando o tempo não fosse mais senhor de nada, os Meklares teriam decifrado os segredos do universo e da própria existência. Mas essa realidade, porém, já não está ao vosso alcance, e O Servidor, arruinado nas profundezas de Meklon, nunca mais vai oferecer o seu sábio conselho...
GAME_OVER_MILITARY_WIN2           | Sem mais obstáculos na busca pela imortalidade!#Tudo o que a tua espécie desejava era não ser perturbada na busca do sonho da vida eterna. Desde há séculos atrás, quando o vosso uso de corpos mecânicos teve início, que este facto dita, por si só, a orientação da civilização Meklar. Mas para O Servidor, tornava-se aparente que estas formas de vida alienígenas encontradas a meio da demanda representavam uma ameaça ao que o teu povo ambicionava. Quando decisões de guerra foram tomadas, as forças militares mobilizaram-se sem hesitação, abatendo os inimigos um por um até que não restou nenhum.#Sem rivais para te distrair ou acumular segredos para si, agora és livre para seguir no encalço do fim último dos Meklares. A galáxia inteira está cheia de recursos que vos permitirão encontrar as respostas por que anseiam à medida que a vossa civilização se expande a todos os cantos tendo o mesmo sonho em mente. E quando o teu povo tiver finalmente terminado aquilo a que há tanto tempo se dispõe, todo o espaço galáctico e seus frutos serão vossos para prosperardes eternamente...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Com os inimigos eliminados, podes focar-te na imortalidade...#"O que motivou estas criaturas a declarar guerra à nossa espécie?" É a pergunta que agora ocupa O Servidor - pois ele e todas as mentes Meklares se dão por baralhados quanto ao porquê de criaturas aparentemente inteligentes terem atuado para apressar as suas mortes inevitáveis no combate contra as tuas forças. E conforme previu o juízo superior que governa a tua sociedade, eles, efetivamente, perderam.#Felizmente, nem todos foram insensatos a ponto de se acharem capazes de vos impedir de atingir o vosso objetivo da imortalidade. Conseguiste segurar aliados que vos ajudariam nas guerras, tornando a sentença dos inimigos ainda mais certa. Comprazes-te em dividir os recursos e os segredos desta galáxia com aqueles que os conquistaram a teu lado. E quando o dia chegar em que o teu povo atinge a vida eterna por que tanto almeja, talvez também te alegres em partilhá-la com os vossos alidos. Talvez...
GAME_OVER_COUNCIL_LOSS2           | A tua demanda está agora em xeque...#Os teus oponentes atrapalham-te sem sequer terem consciência disso. O meio mais lógico de segurar a paz pela galáxia era criar uma república unificada dos impérios interestelares, marchando rumo ao futuro sob um único estandarte. Mas a probabilidade de o teu povo decifrar a chave para a verdadeira imortalidade caiu para quase zero - é certo os compromissos burocráticos paralisarem qualquer progresso feito por vós. Quando outrora podias simplesmente optar por eliminar uma espécie insistente em ser um obstáculo, agora não ousas fazê-lo, arriscando que toda a fúria de uma galáxia se abata sobre ti.#Pior que isso, toda a sobrevivência do teu povo passou a depender da vossa relação com a raça %6, os líderes eleitos da Nova República. O mais pequeno gesto da vossa parte que os enfureça irá decerto complicar os vossos planos. Se uma ofensa menor pode resultar no bloqueio da vossa liberdade de movimento e informação no território da República, tentar demasiado a sua ira equipara-se com a extinção, tua e do teu povo...
GAME_OVER_REBELLION_LOSS2         | Recordas dolorosamente os limites da tua mortalidade...#É a maior das injustiças que o teu povo deva agora testemunhar a própria extinção. O Servidor, sábio para além de qualquer patamar quantificável do entendimento e dono de imensurável inteligência, determinou que a ascenção da raça %6 à liderança da Nova República negaria aos Meklares a capacidade de alguma vez cumprirem com o seu fim último. Para impedir isto, foi-te ordenado que encetasses uma revolta aberta contra a galáxia inteira para proteção do vosso futuro. Ainda que O Servidor não tivesse dado a garantia de que a extinção seria evitável, até esse desfecho seria preferível a um futuro ao serviço dos teus novos senhores.#Agora, a única imortalidade que resta aos Meklares agarrar será aquela que é dada aos vultos da História. O teu conhecimento e a tua tecnologia estarão à disposição de todos, para estudarem e usarem com os seus próprios intentos - e futuramente, talvez um dos vossos adversários formais seja bem-sucedido onde vocês falharam e desvende os segredos da imortalidade...
GAME_OVER_REBELLION_WIN2          | Sem mais obstáculos na busca pela imortalidade!#O Servidor forneceu, uma vez mais, a sabedoria de que carecias para salvaguardar a existência do teu povo.
Quando os aliens conhecidos por "%6" se tornaram os líderes da Nova República, O Servidor sabia que nenhum futuro seria possível para a vossa civilização sob o governo de um império tão opressor e vingativo. Mesmo cientes da probabilidade de uma vitória contra as frotas combinadas da galáxia, os teus cidadãos marcharam de bom grado para a frente de batalha, confiando na sabedoria do velho oráculo acima de tudo. Com vigor e determinação, os Meklares lutaram por um longo e intenso período e agora, por fim, venceram.#Ninguém resta que seja capaz de impedir, ou mesmo retardar, o teu povo na sua demanda pela imortalidade. Em breve, o conhecimento dos teus rivais caídos será extraído, examinado e utilizado ou descartado segundo o que considerares mais adequado. Qualquer planeta nesta galáxia te pertence, juntamente com os segredos que alberga. Será apenas uma questão de tempo até que o próprio tempo deixe de importar, pois no futuro próximo aprendereis, de uma vez por todas, como enganar a morte com a vida...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Sem mais inimigos a enfrentar, podes agora focar-te na imortalidade...#Tu e os teus aliados alteraram o rumo da História. Quando os da raça %6, viciosos e abjetos, se tornaram nos senhores da Nova República, tu soubeste, sem consulta do Servidor, que o teu povo enfrentava então a maior das suas ameaças. Comandando as tuas frotas para combater o prenúncio %6 e o daqueles que se colocavam a seu lado, fizeste ressoar o grito da revolta pela galáxia afora. Antes mesmo de a guerra ter começado, o chamamento fez-se sentir entre os teus verdadeiros aliados, os únicos sensatos o suficiente para antever onde o futuro vos levaria.#Juntos, esmagaram as forças da Nova República e reafirmaram a vossa visão do futuro como o caminho legítimo para o amanhã. Com a guerra vencida, os Meklares já se podem empenhar, tranquilamente, na imortalidade. De bom grado abandonais os vossos aliados aos seus meios, esperando que retribuam. Caso optem por não o fazer, agora ou no futuro, o clamor da guerra poderá ser ouvido, uma vez mais, ecoando pela galáxia...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Conquanto te tenham negado o trono, a tua demanda pode continuar...#Poucos poderão compreender o quão profundamente o teu povo aspira à imortalidade. Desde que começaram a travar conhecimento com outras civilizações possuidoras da capacidade de viajar entre as estrelas que têm sido vistos como bizarros, se não mesmo perigosos, por todos aqueles que encontraram. A única exceção à ignorância dos vossos rivais foi a raça %6, que vos tratou com o respeito que vossa orgulhosa cultura ancestral merece. Agora, são eles que detêm o fardo de governar a Nova República enquanto vocês logram as recompensas a seu lado.#Pela diplomacia escrupulosa e o ocultar das vossas intenções, crês que será fácil manter as relações harmoniosas com o novo soberano da galáxia - e com tais ações, assegurar, não só o futuro da civilização Meklar, como o futuro da vossa demanda. Com O Servidor para te guiar e com apoio do povo, o que poderá correr mal?
GAME_OVER_COUNCIL_WIN2            | Sem mais obstáculos na busca pela imortalidade!#Os Meklares emancipam-se agora como senhores desta galáxia! O teu povo sempre foi o mais determinado de todos os impérios que avançaram rumo à conquista do cosmos. E eis que a sua paciência o levou a este destino em que os seus desejos moldarão o futuro das inúmeras estrelas. A tua demanda pela imortalidade é algo absoluto - e agora que lideras a Nova República sem oposição, tens todos os recursos da galáxia ao teu dispor.#As maiores mentes dos impérios teus subordinados prestarão o serviço de decifrar os segredos que trarão a vida eterna para os Meklares. Mesmo os mais agressivos de entre os teus ex-rivais hão de ser rebaixados à submissão pela ameaça da força que consegues agora abater sobre eles. Com O Servidor para te guiar e a determinação do teu povo mais firme que nunca, podes ficar confiante de que, sem dúvida, a imortalidade é agora uma inevitabilidade!
GAME_OVER_COUNCIL_MILITARY_WIN2   | Sem mais obstáculos na busca pela imortalidade!#Até que enfim termina esta diplomacia frívola. Por demasiado tempo tiveste que suportar a monotonia de negociar com espécies inferiores e suas motivações triviais. Tinhas a esperança de que terminaria assim que te tornasses no Soberano da Nova República, o que te permitiria ocupar menos tempo com a futilidade de conter os teus rivais, em favor de te concentrares na pesquisa pela imortalidade. Mas a vida raramente se dá de maneira tão estruturada, e é claro que houve houve tolos que rejeitaram a tua ascenção e se insurgiram. Felizmente, sabias como pôr um fim derradeiro a estas distrações.#Com uma fúria movida pelo mesmo alvo, conduziste as tuas frotas e as dos teus aliados para eliminarem a rebelião sem sentimentalismos. À medida que os mundos dos inimigos iam caíndo em consequência, tu foste-te aproximando da liberdade para seguires o teu sonho mais alto. Agora que a rebelião terminou, os Meklares ficam mais que felizes em deixar que os seus aliados atinjam quaisquer que sejam os seus propósitos menores. De qualquer dos modos, vão estar demasiado ocupados a tornarem-se imortais para fazerem caso deles!
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Os eventos que levaram a este momento eram tão imprevisíveis que nem O Servidor os considerou uma sequência pertinente. Cada passo do teu plano correu tal como O Servidor antecipara, desde a tua posição diplomática favorável entre os impérios da galáxia, até à tua eleição para Soberano da Nova Repúblia. Uma discordância acentuada o suficiente para gerar uma revolta seria sempre possível, pelo que não foste apanhado de surpresa quando uma se começou a formar. Ao que não conseguiste chegar, nem reagir, foi à força esmagadora que a rebelião carregava - e agora tens o preço a pagar por isso.#Mesmo que a grande parte dos líderes da Nova República se tenha mantido junto a ti e guiado as suas frotas para defender a ordem unificada, foram incapazes ante a rebelião que tu te julgaste capaz de suprimir. À medida que o teu império ruía diante dos teus olhos, os sonhos de eterna longevidade do teu povo morreram com ele. E tal como os teus aliados caíram a teu lado, também as suas esperanças e sonhos universais de um futuro pacífico findaram...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | a precisão mecânica dos Meklares
GAME_OVER_REBELLION_LOSS3         | a fria indiferença dos Meklares
