// race-specific variables (must start with _)
_empire                           | Horda Mrrshan, Horda Prrshan, Horda Miaushan, Horda Garrshan, Horda Hisshan
GAME_OVER_MILITARY_WIN2           | Os tesouros da galáxia são teus!#Esta noite, toda a superfície do teu planeta natal rompe em vivas celebrando a vitória suprema do teu povo, pois esta noite é a primeira de uma nova era em que os canatos Mrrshanes dominam a galáxia. O que começou como pequenas incursões por saque e glória acabaria por se tornar numa campanha de grande escala abarcando planetas, sistemas estelares e, no fim, toda a galáxia conhecida. Contra todas as probabilidades e contra todos os rivais, os Mrrshanes fizeram com que os outros impérios cedessem ao peso da tua enorme ferocidade e força.#Com os adversários mais fracos a começarem a cair, um por um, vocês não viram mais necessidade de ter aliados. Mantendo o repúdio das redes políticas e da fadiga lamentável que é a diplomacia, acabas de conquistar a última fortificação inimiga - e os tesouros de milhares de mundos pertencem-te. E quando esta galáxia te tiver dado tudo o que tem para dar, fujam aqueles que habitam as estrelas mais além. Hão de estremecer com a tua chegada e as suas riquezas serão vossas também...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Os espólios da galáxia são para ti e para os teus aliados...#As invasões finalmente deram os seus frutos cintilantes de valor desmedido. Desde as tuas primeiras aventuras diplomáticas que se tornou evidente que a tua cultura orgulhosa jamais conseguiria coexistir pacificamente com quem detivesse tesouros tão preciosos mas sem a força para os defender. Tu sabias que as guerras seriam inevitáveis. Mas, para tua surpresa, encontraste outros nas profundezas do espaço que, não só possuíam a força para defender a sua fortuna, como um interesse em crescer os próprios cofres.#Juntos, tu e os teus aliados comandaram guerras que serão objeto de relatos lendários até ao fim dos tempos, partilhando as conquistas e os saques. Com os corpos dos vossos frágeis inimigos estendidos pelo caminho do futuro, só vos resta dividir os prémios e festejar a vitória. Mas toma atenção, Cã Dourado: não importa o quão lealmente os teus aliados lutaram a teu lado, quem tem olho para o ouro pode acabar com a mira virada para os amigos se não restarem mais inimigos com tesouros para conquistar...
GAME_OVER_COUNCIL_LOSS2           | As vossas incursões, o vosso modo de vida, num final abrupto...#A maior ameaça à cultura do teu povo acabou por se materializar. Depois de anos e anos a explorar o espaço e a conquistar os astros, os múltiplos impérios que esta galáxia compreende decidiram esquecer as brigas do passado e unir-se numa comunhão que apelidaram de Nova República. E como todas as novas eras merecem novos líderes, o Conselho Galáctico escolheu um para os guiar rumo a esta nova era. Escusado será dizer que não foste tu.#Tentando como melhor pudesses navegar a diplomacia, a coexistência em harmonia nunca foi o forte dos Mrrshanes. A desconfiança causada pelas vossas incursões constantes e as velhas feridas das suas vítimas prejudicaram irremediavelmente a vossa posição junto do Conselho. Com a unidade da galáxia sendo uma certeza que já não podes esperar contornar, os teus saques de tesouros e glória chegam permanentemente ao fim. O teu povo terá de se adaptar à nova era ou extinguir-se no processo...
GAME_OVER_REBELLION_LOSS2         | Os teus preciosos tesouros são agora daquele que chegar primeiro...#Já lá vão os dias em que a tua gente pilhava esta galáxia das suas mais incríveis riquezas. Com a formação da Nova República e a unificação da galáxia debaixo do estandarte da raça %6, percebeste que os rituais sagrados da cultura do teu povo estariam condenados se não te insurgisses contra o equívoco desta nova era. Porém, quer tenha sido por obediência cega ao seu novo senhor, quer pelo receio da vossa raça e da sua reputação, todas as outras vos deixaram a lutar sozinhos.#Os vossos rivais sabiam que seriam incapazes de combater os exércitos Mrrshanes ombro a ombro e vencer, por isso, combinaram os seus recursos e frotas contra a vossa rebelião. Mesmo lutando com a tenacidade lendária que inspirou o medo pela galáxia, nem os teus soldados nem tu mesmo poderiam sequer sonhar em superar as forças unidas da Nova República. Agora a rebelião chega ao fim, só faltando aos vencedores reclamar os vossos tesouros para si...
GAME_OVER_REBELLION_WIN2          | Os tesouros da galáxia são teus!#A era dos canatos começa enfim. Desde que te adentraste pela galáxia por explorar que foste encontrando civilizações espaciais perseguindo os próprios objetivos no mar de estrelas. Porém, apesar das suas culturas avançadas e inovações tecnológicas, todas caíram aos teus pés e da tua força sem igual. Inicialmente, terias ficado mais do que satisfeito em deixar que estas civilizações continuasem com as suas vidas, mantendo fontes infinitas de esplêndidos tesouros para o teu povo conquistar nas suas incursões. Mas quando elas decidiram formar uma nova união, numa tentativa clara de suprimir o vosso modo de vida, tomaste a única medida adequada para aqueles que ousaram opor-se-te.#Graças à vossa determinação, habilidade e coragem no campo de batalha, defrontando as frotas dos impérios rivais, a rebelião contra esta nova ordem galáctica terminou numa vitória total. As riquezas de milhares de mundos estão à disposição e sem ninguém que as defenda, os antigos guardiões eliminados do caminho às tuas mãos. Leva-as, Cã Dourado! Aumenta os teus depósitos e prepara os teus súbditos para o saque das galáxias mais além...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Os espólios da galáxia são para ti e para os teus aliados...#Hastear a bandeira da rebelião contra a Nova República foi uma decisão fácil. Tu sabias que a galáxia não tinha o teu povo, nem o seu modo de vida, em muita consideração. Com a difusão pela galáxia dos relatos da tua ação marcial e das incursões aterradoras que inflingias nos impérios rivais, sabias que uma ordem galáctica unificada constituiria uma ameaça insuperável uma vez formada. E como um verdadeiro líder saído das lendas ancestrais contadas pelo teu povo, agiste mais rápido do que os outros puderam antecipar e investiste contra essa ordem numa guerra aberta. Ao tomares tal atitude, impediste que os inimigos achassem a alavanca para suplantar as frotas do Canato.#Para teu agrado, vieram até ti outros insatisfeitos com a forma que o futuro começava a tomar e, em troca de uma pequena parte da pilhagem, forjarias uma nova aliança que te ajudaria a assertar a dominância sobre as forças que se agruparam contra ti. Os teus rivais foram completamente obliterados e os aliados que fizeste não conseguirão resistir assim que perderem a utilidade. Tudo o que te resta agora é arrecadar aquilo por que tanto lutaste...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | O teu espólio ao menos estará a salvo nesta nova era...#Não te choca que o Conselho Galáctico tenha falhado em ver a tua glória e te tenha recusado a soberania da Nova República. As incursões aos outros impérios deram má reputação à tua gente e poucos estão dispostos a ver para além das vossas normas culturais e a compreender-vos verdadeiramente. Mas, quer tenha sido por ingenuidade vossa, quer pela sensação de autenticidade que já lhes ganhara muitos para a sua causa, encontraste comunhão com a raça %6 e, sabendo que seria o melhor curso de ação para o teu povo, ajudaste a que fossem eleitos líderes da nova era.#Com gratidão e finesse, foste capaz de garantir a segurança dos teus cofres sem necessidade de pagar compensações àqueles de quem os conteúdos foram tirados - graças à generosidade dos aliados da raça %6. Na negociação desta paz, concordaste com relutância em pôr termo às invasões e agora deves explorar novos caminhos para saciar as ambições do teu povo. Mas decerto que será melhor que o futuro de aniquilação certa que conhecerias se tivesses escolhido insurgir-te contra o teu aliado...
GAME_OVER_COUNCIL_WIN2            | A galáxia e os seus tesouros são teus e teus apenas!#Hoje chega finalmente o dia mais grandioso da História do teu povo: o Cã Dourado é eleito Soberano da Nova República. Desde o começo que os Mrrshanes traçam uma reputação temível como invasores agressivos. Muitos protestos foram vociferados contra ti no passado, mas eis que todas as vozes se silenciam quando o Conselho Galáctico reconhece a tua força intransponível. Claro que reconheces que alguns dos impérios que contribuíram para a tua eleição esperam poder tornar-se amigos genuínos da tua gente, mas sabes que a maioria dos que te sentaram no trono o fizeram por medo de provocar a tua ira. E não quererias que fosse de outro modo!#De hoje em diante, todos os impérios da Nova República pagar-te-ão tributo. E pelo crime da oposição nas câmaras do Conselho, os impérios que votaram contra a tua ascenção serão para sempre sujeitos às incursões do teu povo - e jamais acumularão a força de que necessitariam para uma rebelião contra ti. A galáxia é dos Mrrshanes e a eles continuará submissa até ao fim dos tempos. Longa vida à nova era e longa vida ao Cã Dourado!
GAME_OVER_COUNCIL_MILITARY_WIN2   | Os espólios da galáxia são para ti e para os teus aliados...#Agora o teu glorioso reinado pode realmente começar. As proezas lendárias dos teus soldados em batalha e as histórias das suas terríveis invasões levaram a que te tornasses Soberano da Nova República. Mas mesmo que o medo que muitos tinham de suscitar a tua ira os tenha obrigado a alinhar-se com os teus desejos, outros houve demasiado tolos para se deixarem dissuadir pelas tuas mostras de poder. Desejosos de se apoderarem dos seus tesouros e acrescentá-los aos seus depósitos crescentes, os teus seguidores avançaram em frente para esmagar a rebelião e reclamar as devidas recompensas, desta vez com o apoio dos exércitos combinados de toda a Nova República que agora dominas.#A rebelião terminou antes mesmo de ter começado, e as tropas dos usurpadores foram vencidas com o mínimo do esforço. Com os tesouros ceifados, os Mrrshanes disputam os restos, deitando para o lado as ninharias que serão os prémios dos impérios menores que te servem. Com os rebeldes servindo de exemplo do que acontece quanto te zangas, tens poucos motivos para crer que qualquer opositor alguma vez se torne a revelar. Agora, devias virar a tua atenção para as outras galáxias, com presas desprevenidas à espera de serem caçadas e tesouros ainda mais brilhantes para a tua coleção...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Os teus preciosos tesouros são agora daquele que chegar primeiro...#Ainda que ao início tenhas podido instrumentalizar o medo para silenciar as dissensões dos teus rivais, tornando-te Soberano da Nova República, alguns deles foram audazes o suficiente para se oporem a ti e ao futuro que projetavas. O teu povo era orgulhoso e forte, ostentando os despojos de inúmeras invasões e ávidos de mais. Mas eles não viram, ou não quiseram ver, o perigo que a rebelião representava e a coragem dos rebeldes destemidos seria a vossa perdição.#Mesmo excedendo-os em número, com as frotas daqueles que coagiras para se submeterem a ti, foste incapaz de impedir que a insurreição perturbasse a república e te derrubasse do trono. Primeiro, foram os teus vassalos que caíram, seguidos pouco depois pelo teu povo. Parece que, no final de contas, foi a galáxia que acabou por se opor ao futuro idealizado por ti - de que vale a vontade de um povo, por mais forte que seja, contra a mão indómita do destino?

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | a ambição insaciável dos Mrrshans
GAME_OVER_REBELLION_LOSS3         | a sede e cobiça de riqueza dos Mrrshans
