// race-specific variables (must start with _)
_empire                           | Sajlon Republika, Mentalon Republika, Sajkon Republika, Serebron Republika, Neuralon Republika
MAIN_ADVISOR_COUNCIL_RESISTED     | Zar vas ovo ne rastužuje kad vidite da drugi tako žestoko odbacuju mir? Sa čeličnom odlučnošću, Vrhovni Odborniče: ovo će biti poslednji rat koji će ova galaksija ikada videti!


// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Republika je u ruševinama...#Nekada su vaši ljudi sanjali o ujedinjenoj galaksiji i nisu želeli ništa više od prosperiteta i mirnog suživota za sve. Ali gorka istina je da nisu svi delili taj vaš san, a neprijatelji sa nezamislivom snagom su usmerili sve svoje napore ka nasilnom osvajanju. Manipulišući željama vašeg naroda da spreče vaše protivljenje, koristili su svoje ratne mašine da zadaju jedan razoran udarac za drugim, a vi ste na kraju bili nemoćni da se branite od njih.#Ratni talasi su vas preplavili dok poslednje uporište Republičkih snaga pada pred neprijateljem. Da je vaš narod bio manje spreman da dozvole da ih suparnici nadmaše u vojnoj snazi, da li bi na kraju vaša sudbina bila drugačija? Dok vaši neprijatelji ruše ulaz u tvrđavu koja je vaše poslednje uporište, vaše poslednje misli postaju mračne dok shvatate da nikada nećete saznati odgovor...
GAME_OVER_MILITARY_WIN2           | Mir, po najstrašnijoj ceni...#Užasna cena je plaćena da bi se ostvarili snovi Republike. Kako su vaši nebeski susedi postali nasilni i beskompromisni, bili ste prisiljeni da birate između sigurnosti svog naroda i potpunog uništenja. Kroz brojne rasprave u odajama Veća napravili ste užasan izbor: vinuti svoje flote u žarište rata i moliti se da će vaš narod preživeti. Rezultat je bio gorko sladak: iako su vaši ljudi izašli kao pobednici, učinili su to po cenu svih ostalih inteligentnih života u galaksiji.#Dok poslednji tragovi sukoba odzvanjaju tišinom svemira, spokojstvo obuzima galaksiju dok nova era mira započinje. Narod Salonske Republike, raširen po brojnim svetovima, zajedno gleda u nebo na kraju ovog poslednjeg velikog rata, ali se ne mogu čuti ovacije ili zvuci slavlja. Velika tuga zahvata vaše srce u ovom času, jer shvatate da dok galaksija nikada više neće znati strahote rata, neće ni znati radosti raznolikosti koju sam život donosi...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Mir, ali po ogromnoj ceni#Dok je vaš narod širio poruku mira po galaksiji, susreli ste se  sa brojnim rasama kojima su vaše diplomate slale vaše poruke. Iako su neki odgovorili na vaše predloge obmanama i nasiljem, bilo je onih koji su ih usrdno saslušali i s vremenom počeli da dele vaše stavove. Linije su bile povučene, i oni koji su odgovorili na vaš poziv izabrali su da vam budu saveznici u ovoj borbi i zajedno ste preživeli oluju velikog rata. Iako je vaš narod bio primoran da deluje protiv svojih najsvetijih i najdražih principa, na kraju je postignuta pobeda, a sada vaši saveznici mogu da učestvuju u plodovima blagostanja koje samo mir može doneti.#Iako postoji ogromna tuga u oduzimanju toliko života i brisanju živih civilizacija, u svom srcu znate da je bilo neophodno doći do ovog poslednjeg poglavlja u istoriji vašeg naroda: poslednji veliki rat koji će ova galaksija ikada znati je došao kraju i mir će konačno zavladati. Hoće li taj mir trajati zauvek ili ne, zavisi od vernosti saveznika koje ste na tom putu sklopili...
GAME_OVER_COUNCIL_LOSS2           | Konačno mir, bez obzira na cenu...#Konačno dolazi pravi test vaše odlučnosti. Galaktički Savet je obznanio svoje namere i uprkos vašoj nepokolebljivoj želji da mir bude vodeća sila u galaksiji, Gospodar Nove Republike ipak neće biti Sajlon. Iako su besne rasprave trajale u odajama senata, uspeli ste da se konačno dogovorite. Odlučili ste da prepustite vođstvo [leader_empireStvu]. Ali svi vaši odnosi s ovom imperijom su pokazali da su opasna rasa i nemate sumnji da će vođa Nove Republike  održavati mir samo dok to odgovara njihovim ciljevima.#A šta će republika ako se dogodi rat? Šta će učiniti ako njeno postojanje više ne odgovara planovima galaksije kojoj se sada pokorava? To će biti put kojim će vaš narod morati da hoda u budućnosti i odluke koju ste sada doneli će se ili smatrati odlukama koje su održale san o miru, ili odluke koje su zauvek zapečatile njihovu sudbinu...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Mir, mada ne onakav kakav ste želeli...#Odluka Galaktičkog Saveta da glasa protiv vas kao njihovog vođe nije naišla na oduševljenje Sajlonaca. Srećom, bili ste dovoljno mudri da predvidite ovaj rezultat i spretno manevrišete kako biste izbegli daleko gori ishod od onog koji je nastao: umesto vas, [leader_raceSka] rasa će određivati budućnost cele galaksije.#Dok sviće sunce Mentara, i dok vi ustajete zajedno sa njim prvog dana ovog novog galaktičkog poretka, još uvek se osećate pobedonosno zbog načina na koji ste uspeli da upravljate ovim događajima da biste postigli ovakav ishod. Vaši saveznici su se pokazali dovoljno mudri za ovaj zadatak, i premda niko ne gaji toliko ljubavi prema miru kao vaš narod, nadate se da nekako možete verovati %8 da postigne vaš krajnji cilj...
GAME_OVER_REBELLION_LOSS2         | Republika je u ruševinama...#Činilo se da se sudbina okrenula protiv va od samog početka. Poteškoće koje potiču od održavanja svemirske imperije i stalne pretnje ratom od strane tuđinskih sila pokazale su se dovoljno teškim, ali poslednji test koji se jednostavno nije mogao ignorisati došao je kada je Galaktički Savet odabrao vođu ratnohuškačke [leader_raceSke] rase kao Gospodara Nove Republike. Znajući da galaksija ne može ostati u miru sa tako nasilnim narodom na čelu, vaš narod je ostao jedinstven i koračao putem koji ih je na kraju odveo u propast.#Vaš narod je posedovao inteligenciju bez premca i stvorio je čudesne i razorne tehnologije koja im je pomagala u ratu. Međutim, kombinovana moć Nove Republike je bila je prevelik zalogaj za vas, i na kraju su vaše flote izgorele pošto su se superiorni brojevi pokazali više nego dovoljan odgovor na vašu superiornu tehnologiju. Sada, dok se točak sudbine priprema za svoj konačni zaokret, poslednji ostaci Sajlonske Republike uskoro će biti izbrisani iz galaksije. Žrtva u prvom od mnogih ratova koji dolaze, a bez vašeg naroda koji će ih voditi u svetliju budućnost, malo je verovatno da će ova galaksija ikada znati za blagodeti koje pravi mir može doneti...
GAME_OVER_REBELLION_WIN2          | Mir, ali po užasnoj velikoj ceni...#Kratkotrajne Nove Republike više nema! Iako su svi vaši napori nastojali usredsrede imperije ove  galaksije koegzistiraju u harmoniji, te iste imperije su se pokazale kao najveća prepreka u ostvarenju vašeg sna o miru. Vaši brojni pokušaji diplomatije su nailazili na neverstvo i obmane, vaši suparnici su vas stavili u poziciju iz koje ste mogli da izađete samo jednim načinom. Sada su njihove flote, njihovi svetovi i njihove imperije u ruševinama, jer čak ni kombinovana snaga čitave galaksije nije mogla parirati superiornom intelektu i tehnološkoj moći Sajlona.#Ipak, na vašim ramenima i dalje stoji teret. Iako će vaši istoričari bez sumnje biti srdačni u ophođenju sa vašim bivšim neprijateljima, to ne menja činjenicu da je svaka od ovih jedinstvenih kultura izbrisana, bez mogućnosti da zajedno učestvuju u oblikovanju budućnosti. Ako ništa drugo, Vrhovni Odborniče, vaš narod je na sigurnom, a mir će biti jedina dogma koja će postojati u budućnosti. Naravno, to će biti tako sve dok se vaš domet ne proširi dalje od ove galaksije i do onoga što vas čeka u nepoznatom...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Mir, ali po visokoj ceni...#Davno su vaši ljudi gledali u noćno nebo sa nadom u bolje sutra, a cela vaša rasa bila je ujedinjena u potrazi za stvaranjem masivne svemirske imperije koja bi skladno postojala sa svojim nebeskim susedima. Kako se vaša kampanja privodi kraju, ostvarili ste svoj san na način koji niste očekivali i na način koji ste se trudili da sprečite. Iako je osnovana nova galaktička imperijalna federacija, odluka o imenovanju nasilnog vođe na njihov najviši položaj primorala vas je da se poslednji put borite za mir. Hrabro ste stali pred neprijateljski talas i objavili rat protiv ovog despotskog režima i uprkos malim šansama ste uspeli.#Sudbina vam se nasmešila u ovom poduhvatu, jer su mnogi drugi bili inspirisani vašom hrabrošću i smirenošću, i u ovoj borbi niste stajali sami. Vaši saveznici borili su se sa žestinom koja uznemirivala protivnike, a zajedno ste uspeli da uništite sve one koji bi galaksiju zaronili u večni rat i doneli ste večni mir ovoj galaksiji. Sada započinje nova era, Vrhovni Odborniče, i vi se nadate da će se oni koji su odlučili da stvaraju novu budućnost sa vama odlučiti da se pridržavaju novih principa sve dok vaš narod postoji...
GAME_OVER_COUNCIL_WIN2            | Napokon mir, na dobrobit svih!#Konačno, vaša misija se veličanstveno završila! Iskušenja sa kojima ste se susretali tokom dugih godina od polaska u svemir pokazala su se težim nego što ste očekivali. Iako je vaš narod već odavno znao da je miran suživot jedini istinski put, bilo je neophodno ubediti moćne imperije sa kojima ste se susretali na svom putovanju. Kroz stručnu diplomatiju i monumentalno strpljenje uspeli ste u svojim poduhvatima i sada ste nesmetano na pozociji Gospodara ove galaksije.#Sada započinje novi test. Kako Sajlonska Republika preuzima vođstvo galaksije, vaša civilizacija će biti primer za svima ostalima koji sleduju. U budućnosti će vas čekati još poteškoća jer će stare napetosti i kulturne razlike isplivati na površinu i narušiti mir za koji ste toliko naporno radili. Ali znate da sve dok vaš narod ostane nepokolebljiv u svojoj viziji, nijedno živo biće u ovoj galaksiji nikada više neće morati da iskusi ratne strahote!
GAME_OVER_COUNCIL_MILITARY_WIN2   | Napokon mir, iako je gorko-sladak...#Jednom kada ste preuzeli vođstvo Nove Republike, nadali ste se da će to označiti novi početak galaksije u kojoj će nasilje i rat ustupiti mesto miru i prosperitetu. Međutim, vaše nade su ubrzo potonule, jer su se najzlobniji stanovnici galaksije podigli protiv vaše vladavine i gurnuli sve poznate imperije u još jedan užasan rat. Videvši kako vam poslednja šansa za mir izmiče pred očima, doneli ste jedinu odluku koju ste mogli: da punom snagom Nove Republike izađete u susret njihovoj agresiji i zajedno ste vi i vaši saveznici poslali svoje flote da ponovo uspostave red u galaksiji.#Sa kompletno razorenim pobunjenicima, mir konačno može da dobije pravu šansu. Tužno je što je toliko njih uskratilo sebi pravo da pomogne u oblikovanju blistave budućnosti koja je pred nama, ali ne možete mnogo vremena potrošiti na tugu koja vam teško pada na srce. Oni su izabrali svoju sudbinu i vi ste im njihovu sudbinu ostvarili. Vrhovni Odborniče, nova era sviće sa vama na čelu. Preostalo je još mnogo posla...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Nova Republika je u ruševinama...# Stravična sudbina vas je zadesila. Taman kad se vaša misija konačno privodila kraju i kad ste hteli da uberete plodove svog dugog truda, vaš san o mirnoj federaciji imperija vam je otet. Iako su mnogi u Galaktičkom savetu priželjkivali harmoniju i prosperitet i videli da je vama suđeno da povedete galaksiju u takvu budućnost, pojavila se gnusna pobuna jer oni koji su bili najskloniji nasilju nisu bili spremni da ostave po strani svoju iskonsku potrebu za divljačkom svirepošću. Protiv sopstvenih ideala, vodili ste snage Nove Republike u susret ovoj pretnji, a protiv tako velike sile niste mogli da odnesete pobedu.#Sada je galaksija mnogo praznija nego što je bila ranije, i vaša ponosna i plemenita civilizacija je u potpunosti izbrisana. Dok se vaši neprijatelji rugaju vašim principima kao slabim i idealističkim, i vi znate da će istorija biti podjednako nemila prema vašem neuspehu. Oni koji ostanu će se tresti od straha od tiranije i rata, a nasilje će vladati umesto mira. Ovo je kraj koji ste najmanje želeli u ovoj dugoj i teškoj borbi, a bar za vas je priča došla do najžalosnijeg kraja...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | neuporedivi intelekt Sajlona nadmašuje
GAME_OVER_REBELLION_LOSS3         | nepopustljiva želja Sajlona
