// race-specific variables (must start with _)
_empire                           | Sakranska Konklava, Reptaranska Konlava, Sauranska Konlava, Raptoranska Konlava, Tajranska Konklava
GAME_OVER_REBELLION_LOSS2         | Sudbina svih svetova je zapečaćena...#Vaša istrajnost i vaš idealizam doveli su vas do ovakvog kraja. Neprijatelji su pregazili vašu vojsku i naneli vašim svetovima nezamislive strahote. Nekada ste mislili da ćete političkim igrama uspeti da promenite njihovo razmišljanje da bude više u skladu sa vašom filozofijom. Ali kada su zli [leader_race] rasa preuzeli kontrolu nad Novom Republikom, znali ste da će mirni pregovori postati nemogući. Kako su uvek bili prvaci u održavanju ekološke ravnoteže, vaši ljudi su se zakleli da će se dići na oružje i da spreče zlostavljanje planeta u galaksiji, i bili su spremni da umru za to.#I umrli jesu: vaši svetovi su osvojeni i vaša velika dela na svakom od njih poništena. Vaš narod je bio primoran da se povuče da pokuša da zaštiti svoje poslednje uporište i tamo je poginuo u odbrani vaših ideala. Kao najrevnosniji poklonici ekološke ravnoteže, vaše izumiranje će se pokazati ne samo kao težak gubitak za vaš narod, već i za celu galaksiju...
GAME_OVER_REBELLION_WIN2          | Spas svih svetova je konačno na pomolu!#Stigao je čas Sakranske Konklave! Premostili ste svaku prepreku sa kojom ste se suočili u izgradnji svoje međuzvezdane imperije, ne zaboravljajući da je vaša prva dužnost bila zaštita prirodnog sjaja svetova koje zauzeli. Svakome ko se usudio da se usprotivi je ubrzo ukazana greška u njihovom izboru, a kada je [leader_raceSka] rasa dobila vođstvo Nove Republike, odlučili ste da na najdirektniji mogući način pokažete celoj galaksiji koliko je pogrešan taj izbor.#Nema više neprijatelja koji bi vam se mogli suprotstaviti i nema više budala koji bi mogli naštetiti planetama koje vi čuvate. Vaš narod može da izdvoji vreme za pronalaženje rešenja za ekološke zagonetke koje će im svaki svet predstaviti. A kada pod vašom rukom vodiljom cela galaksija postigne savršenu harmonijom sa prirodom, bićete spremni da uzmete pod zaštitu i svetove drugih galaksija. Živela Sakranska Konklava!
GAME_OVER_REBEL_ALLIANCE_WIN2     | Spas svih svetova ja konačno na vidiku...#Nije pogrešno reći da je ovakav niz događaja bio iznenađenje. U početku se činilo da su mirna rešenja među-imperijalnih sporova najbolji način za sprečavanje nepotrebne štete na čudesnim planetama koje čine ovu galaksiju. Međutim, nije bilo drugog načina osim rata, kada je Galaktički savet odabrao drugog koji će voditi Novu Republiku. Podigli ste zastavu u pobuni protiv čitavog sistema i kocka je bačena koja će odlučiti sudbinu galaksije.#Neočekivano, pronašli ste druge koji su bili spremni da se zauzmu za vaš cilj i oslobode galaksiju od prezirnog ugnjetavanja. Oni koji su se borili na vašoj strani pokazali su se jednako žilavi kao i vaš narod, i zajedno ste izbrisali lažni poredak i instalirali novi sistem u galaksiji u kojem će dobrobit svih planeta biti najbitniji cilj. A ako se vaši saveznici u budućnosti odluče da ne ispoštuju taj cilj, vi znate kako da se efikasno suprotstavite njihovim taktikama i strategijama. Zaista postoji velika sreća u znanju da će pod vašom upravom sve planete dostići svoj pun potencijal, bez obzira na sve...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Spas svih svetova ja konačno na vidiku...#Ovo je definitivno bio najbolji ishod kojem ste se mogli nadati s obzirom na okolnosti. Od svojih prvih susreta sa drugim imperijama znali ste da će ih njihovi razni nedostaci sprečiti da ikada prepoznaju istinu vaše filozofije. Umesto, odlučili ste da izgradite mostove između svojih ljudi i [leader_raceSke] rase i pomognete im da dođu do položaja koji bi bio povoljan za vaše planove. Sada oni sede na prestolu Nove Republike i kao njihovi najbliži poverljivi ljudi, Sakra su u položaju koju mogu da iskoriste za svoju dobit.#Nastavićete da utičete na svoje [leader_raceSke] saveznike kako bi osigurali blaženstvo svih svetova u Republici. Ako neka tvrdoglavija imperija poželi da vas omete vaše planove, imate puno poverenja da ćete s njima moći da se lako nosite. Jačina je vaše veze sa [leader_raceSkom] rasom to osigurava, i tako isto ćete osigurati da planete ostanu bezbedne od sada i zauvek...
GAME_OVER_COUNCIL_WIN2            | Spas svih svetova je konačno na pomolu!#Postigli ste pobedu za kojom su vaši ljudi čeznuli od kada su se prvi put vinuli u kosmos. Pronalazak čudesnih svetova sa neobičnim ekosistemima pokazao se i kao nagrada i kao izazov na koji vaš je narod mogao da se usredsredi. Međutim, diplomatski poslovi su se pokazali mnogo delikatnijim zadatkom za vaš intelekt. Ali na kraju svega, stojite na najvišem položaju vlasti: vi i samo vi ste sada Gospodar Nove Republike.#Koristeći svoj položaj, postaraćete se da se sa svakom planetom u galaksiji postupa s poštovanjem i pažnjom. Ako bilo koja imperija u republici krene protiv ovog gvozdenog zakona u pokušaju da ostvari neke svoje bedne ciljeve, sada imate na raspolaganju galaktičku vojsku koja će im brzo pokazati gde im je mesto. A kada su ovi svetovi usavršeni, pred vama je budućnost istraživanja drugih galaksija i donošenje vašeg blagoslovenog vođstva svetovima koji leže u njima. Samo napred, Primarni Magistre, jer je tvoj posao tek počeo...
GAME_OVER_COUNCIL_MILITARY_WIN2   | Spas svih svetova je konačno na pomolu!#Iako ne bez prepreka, vaša volja je postala neupitna u tome kako će oblikovati budućnost galaksije. Nije bio mali podvig da postanete Gospodar Nove Republike, ali uspeli ste da se prilagodite suparničkim imperijama i njihovim suptilnim mahinacijama. Kada su neki članovi republike odlučili da podstaknu pobunu kako bi zadržali slobodu da uništavaju njihove svetove, trebalo vam je malo vremena da zaključite da oni moraju biti istrebljeni.#Sada pobunjenici služe za primer svima onima koji će svoje lične želje pokušati da stave ispred dobrobiti svojih planeta. Pobunjenici su vam poslužili na način koji niste predvideli: uz ostatak galaksije ujedinjen protiv zajedničkog neprijatelja, svi su sada savitljiviji da pokleknu pred vašom voljom dok uživaju u sjaju zajedničke pobede. Ovo je vreme da krenete napred sa svojim planovima, i bez obzira da li su oni koji su vam potčinjeni sposobni da razumeju zašto, u svom srcu znate da će vam sama galaksija zahvaliti...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Sudbina svih svetova je zapečaćena...#Katastrofa je zadesila Novu Republiku pre nego što je uopšte ostvarena. Dok su se vaša mudrost i saosećanje prema prirodnim okruženjima svih svetova širile kroz intergalaktičke imperije, bilo vam je jasni da ćete vi biti pozvani da vodite galaksiju kada se ujedini pod jednim zastavom. Ali ubrzo nakon stizanja na ovaj novi presto nad prestolima, pobuna je počela da kulja i na kraju se i desila. Dok su se linije crtale u pesku, vi i oni koje ste vodili ste verovali da će vas superiorni brojevi i snaga dovesti do lake pobede. Izgleda da vas je i ta arogantnost odvela u propast.#Oni koji su se pobunili protiv vas imali samopouzdanje u njihove sposobnosti, a to samopouzdanje je rezultiralo raspadom vaše imperije. Sada se cela Nova Republika slomila, svaka njena flota uništena i svaki njen svet su osvojili oni koji su tražili vlast za sebe bez obzira na cenu. Pobunjenici će sada voditi galaksiju u bilo koju budućnost koja odgovara njihovim devijantnim mahinacijama, a dok život počinje da napušta vaše telo, nadate se samo da će planetama koje su osvojili pokazati milost koju vama nisu...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | nepokolebljivi nagon Sakrana zahvata
GAME_OVER_REBELLION_LOSS3         | ološka posvećenost Sakrana
