// race-specific variables (must start with _)
_empire                           | Bulrati Imperija, Bearati Imperija, Ursinati Imperija, Paurati Imperija, Grizliati Imperija
MAIN_ADVISOR_RALLY_POINTS         | Slavna bitka je pred nama! Usmerite naše novoizrađene brodove tako što ćete narediti gde će biti zborne tačke.
MAIN_ADVISOR_MISSILE_BASES        | Naše kolonije čekaju vašu reč, gospodaru, da bi započele izgradnju raketnih baza koje će pomoći njihovoj odbrani od neprijateljskih napada.
MAIN_ADVISOR_SHIP_WEAPON          | Naši istraživači su osmislili razarajuće novo naoružanje za naše flote! Posetite naše modele brodova u slobodno vreme, Gospodaru, kako biste odlučili kako će naši neprijatelji pasti pred silinom naše moći.
MAIN_ADVISOR_COUNCIL              | Uskoro će se okupiti predstavnici prvog Galaktičkog Saveta, Gospodaru. Naše diplomate će slediti vaše smernice kako bi osigurali da se odluke saveta usklade sa vašom voljom. 
MAIN_ADVISOR_REBELLION            | Čini se da je narod %1 sistema odlučio da vam se otvoreno suprotstavi, Gospodaru. Vreme je da ih podsetite zašto ste vi izabrani da vodite Imperiju!
MAIN_ADVISOR_RESIST_COUNCIL       | Samo vi možete sedeti na prestolu galaksije! Nećemo ugasiti svoju žudnju za krvlju naših neprijatelja, sve dok ne zauzmete mesto koje vam pravedno pripada, Gospodaru!
MAIN_ADVISOR_COUNCIL_RESISTED     | Ha ha! Pitam se kako izgleda da neko bude toliko glup da se suprotstavi se našoj vladavini. Nema veze, ti sitni pobunjenici će biti smrvljeni pod našom petom!

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Žestina vaše imperije je ugašena.#Ljutina vašeg naroda nije bila dovoljna da zaustavi rastuću plimu tuđinskih vojnih snaga. Iako ste se žestoko borili do poslednjeg vojnika, poglavlje Bulrati u istoriji je stiglo kraju. Jednom kada ste bili Veliki Arhijerej moćne imperije, vođa ponosne rase filozofa ratnika koji su svoje vidike uprli u zvezde kako bi pronašli svoje mesto u svemiru i testirali svoju sposobnost protiv onih koji su se usudili da im se suprotstave. Sada ste samo ime u hronikama prošlosti ove galaksije, i to samo kada se pobednici udostoje da vas se sete.#Možda, da ste znali kakav kraj je čekao vaš narod na njihovom putovanju, ne biste se tako žarko uputili u svemir. Sada je od vas i vašeg naroda ostala samo prašina vaših zlosretnih ambicija i loše izvedenih planova...
GAME_OVER_MILITARY_WIN2           | Žestina vaše imperije nadmoćno vlada!#Sada ste prešli prag potpune pobede nad svim imperijama na koje ste naišli. Budalasto su mislili da su sposobni da se suprotstave vašoj vojnoj moći, samo da bi pronašli svoju flotu slomljenu, a svoj narod previše raštrkan da bi mogao da se suoči sa bilo kakvim sramnim krajem koji ih je čekao. Zar nisu videli gnev u vašim srcima? Zar nisu prepoznali upornost vaših uverenja? To više nije ni bitno, jer pobednici ne bi trebalo da gube vreme na misli gubitnika, i sada niko ne preostaje da ospori činjenicu da ste vi, i samo vi uspostavili dominaciju nad svima koji su vam stali na put.#Davno su vaši ljudi počeli potragu za svojim mestom u ovom univerzumu, a vi ste im pokazali da im je bilo suđeno da vladaju ovom galaksijom u celosti. Ura za pobedu, Veliki Arhijereju! Ura za Bulrati Imperiju!
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Sada više ne ostaje niko ko bi se usudio da izazove vaš bes.#Vaš najveći strah kao Vrhovnog Arhijereja Bulrati Imperije je bio da će oni koje ste sreli u svemiru biti nespojivi sa vašom vizijom budućnosti i da će na kraju morati biti uništeni. Upravo, mnogi od njih su opravdali taj strah, mada je sve to sada ležalo iza krvavog puta koji vas je galaksija primorala da prođete. Ali našli ste razlog da se ohrabrite, jer se nije sve ono što ste sreli pokazalo tako neprijatnim i našli ste sposobne saveznike na kraju ovog dugog i burnog putovanja.#Možda je, na kraju, bolje da ste ipak našli druge sa kojima ćete deliti ovu galaksiju. Blagodati ovih svetova su bogate, a filozofija koja vodi vaše saveznike je zanimljiva za razmatranje, i zauzeće vreme vaših najvećih umova u vekovima koji dolaze. Naravno, to će biti tako sve dok ostanu saglasni sa vašim odlukama...
GAME_OVER_COUNCIL_LOSS2           | Žestina vaše imperije je poražena.#Niko ne bi mogao opisati vaše napore kao išta manje nego junački.  Uprkos premalim šansama, vaš narod se izborio za život u dubinama svemira, pridobijajući svetove za imperiju kroz čitavu galaksiju. Na žalost, vaša žestina nije bila ravna vrhunskim tehnološkim inovacijama i političkim manevrisanjem tuđinskih rasa sa kojima ste se susreli u svemiru. Videvši da vam nije dostupan put koji bi omogućio pobedu nad Galaktičkim Savetom, izabrali ste jedini izbor koji ste mogli: da se potčinite vođi Nove Republike kako biste sprečili rat koji bi sigurno čitavu vašu imperiju odveo u propast.#Iako je to nanelo grozan udarac vašem ratničkom duhu, znate da je vaša odluka ispravna. Barem ste na kraju osigurali opstanak svog naroda dok galaksija plovi u budućnost. Alternativa vašoj odluci bila je jednostavno previše užasna za samu pomisao...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Žestina vaše imperije je ugašena.#Mnogo toga se dogodilo od kada ste svoje ljude izveli iz njihovog matičnog sveta u nadi da ćete im pomoći da pronađu svoje mesto u galaksiji. Vaše pobede su mnogo značile za vaš narod, a mnogi svetovi su potpali pod imperijalnu vladavinu, kako bi Bulratijima bila obezbeđena svetla budućnost. Na žalost, najveća nagrada vođenja Nove Republike bila je van dohvata, a vaša žestina na bojnom polju možda je ulila previše straha da bi vam omogućila taj najtraženiji cilj.#Ali nije sve izgubljeno: naš verni saveznik se pozicionirao da vodi Savet umesto vas, i bili su uspešni u ubeđivanju ostalih imperija da je njihovo gledanje budućnosti ispravno. Iako vaš narod žudi da vas vidi kao vladara ove nove budućnosti, vi znate da ste dobro izabrali svoje saveznike: zajedno sa %8, obezbedićete svom narodu mesto u budućnosti ove galaksije bez obzira na sutrašnjicu...
GAME_OVER_REBELLION_LOSS2         | Žestina vaše imperije je ugašena.#Ratovi u ovoj galaksiji su došli kraju. Vaš narod se borio naporno, sa žestinom i ljutinom neviđenom među ostalim imperijama, ali na kraju su njihove pobede možda bile odgovorne za njihovu propast. Surovost s kojom su se vaše trupe borile je radilo protiv vas, jer je neprijatelj je dobio upravu nad Novom Republikom tako što su ubedili članove saveta da ste jednostavno previše neobuzdani da biste zaradili njihovo poverenje. Dok u galaksiji %8, ništa drugo niste mogli da učinite osim da odložite neizbežno.#Bulrati imperija je na kraju pala pred svojim neprijateljima. Kako je vaša teritorija podeljena među pobednicima, a vaše relikvije i gradovi razbijeni u prah da bi se rasuli po vetrovima istorije, legende o vašem narodu i njegova junačka poslednja borba verovatno neće izazvati strah kod potomaka onih koji će naslediti ovu galaksiju. Na kraju, pobednici su ti koji će izabrati kakve će priče pričati istorija... 
GAME_OVER_REBELLION_WIN2          | Žestina vaše imperije nadmoćno vlada!#Napokon ste sada došli do mesta gde vas je sudbina vodila: totalno uništenje svake druge rase u galaksiji! Vaša neuporediva žestina je bila preveliki zalogaj za vaše neprijatelje, koji su u svom kukavičluku tražili savez protiv vas. Nadajući se da će njihova zajednička snaga biti dovoljna za vaše uništenje, poput gamadi su jurnuli kroz zvezde u pokušaju da spale vaše svetove. Bili su budalasti da veruju u tako nešto, a vaš narod im je pokazao koliko su  prazne njihove ambicije.#Pogledajte, Veliki Arhijereje, galaksija je vaša. U slobodno vreme dodaćete svetove svome okrilju: vaši ljudi, i samo vaši ljudi će ubirati bogatstvo bezbrojnih planeta bez ikoga da vam se suprotstavi. A kada zauzmete sve što nam ova galaksija može pružiti, doći će vreme da usmerite svoju moć ka galaksijama koje leže dalje...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Sada više ne preostaje niko ko bi se usudio da izazove vaš bes.#Sunce izlazi i baca svoje zrake na ono što je se nekada nazivalo Nova Republika, a vi zauzimate mesto koje ste trebali zauzeti od samog početka. Bilo je očigledno kako će se vaši bivši neprijatelji ponašati kad se udruže, jer je njihov strah od vas bio toliko velik da ih je ujedinio u paranoji od vaše moći. Vaša pobuna je bila pravedna, jer za tako veliku ratničku rasa kao što je vaša je van očekivanja da puzi i moli kao slabašna ulizica. Čak ste i obavestili sve da će svima onima koji su vam se suprotstavili to doneti samo propast, ma koliko oni bili brojni. Da su vas samo budale čule!#Ipak, niste bez milosti. Dovoljno mudri da se udruže s vama uživaće u plodovima bogate budućnosti, a njihova hrabrost i mudrost biće počastvovani u vašem novom carstvu. Oni su živi testament vaše milosti i nikada više neće imati neprijatelja od kog se mogu bojati. To je, naravno, sve dok zadrže svoju lojalnost prema Bulrati Imperiji...
GAME_OVER_COUNCIL_WIN2            | Žestina vaše imperije nadmoćno vlada!#Ova galaksija i njeni stanovnici su na vašoj milosti i nemilosti. Od početka vaše međuzvezdane kampanje sreli ste mnogo neprijatelja i malo prijatelja. Iako ste vaše bitke teško borili, uzbuđenje pobede pripalo je Bulratijima kada su oni koji su bili previše glupi da bi uvideli grešku u svojim putevima bili suočeni sa istrebljenjem. Oni koji su ostali nisu videli samo moć koje bi trebalo da se plaše, već i intelekt koji je zahtevao njihovo poštovanje, a na poslednjem sastanku Galaktičkog Saveta, vi ste izabrani da povedete ono što će se znati pod imenom Nova Republika u blistavu budućnost.#Vreme testiranja vaše snage došlo je kraju: vreme za testiranje vaše mudrosti počinje sada. Ne zna se kakva je budućnost republike predvođene kraljem filozofom Bulrati Imperije. Ali jedno je sigurno: sada ne ostaje niko ko bi se usprotivio vašim odlukama, jer vaša nesalomljiva snaga pruža sve razloge koji su potrebni da ublaže sve sumnje i strah kod vaših novootkrivenih subjekata. Pozdravljam Novu Republiku i pozdravljam Velikog Arhijereja Bulrati Imperije!
GAME_OVER_COUNCIL_MILITARY_WIN2   | Sada više ne preostaje niko ko bi se usudio da izazove vaš bes.#Nova epoha mira trebalo je da započne dok ste se uzdizali na presto Nove Republike. Iako su mnoge imperije pronašle sreću u praćenju snažnog vođe koji će ih voditi u budućnost, nekolicina kratkovidnih budala smatrala se mudrijima i jačima od propisno izabranog vladara galaksije. Uskoro vas je dočekao vaš prvi test kao Gospodara Nove Republike, a vaši brzi i odlučni postupci ne samo da su ugušili pobunu, već su učvrstili vaš položaj vođe jednim udarcem.#Vaši neprijatelji su neprijatelji galaksije, a oni su sada slomljeni i poraženi pred udruženom snagom vaše imperije i flota raznih civilizacija koje vam služe. Oni će poslužiti kao upozorenje onima koji u budućnosti prete republici: Pažnja svima onima koji žele da donesu rat, jer ovom galaksijom vlada najmoćniji kralj ikada. Neka dugo vladate, Veliki Arhijereju, i neka vaša teško stečena budućnost bude svetlija nego što su vaši ljudi ikada mogli da zamisle!
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Žestina vašeg carstva je ugašena.#Avaj, zašto su morali doći ovi zli dani? Posle vekova osvajanja i istraživanja, ostvarili ste svoju želju da budete pozicionirani da vodite galaksiju mudrom i moćnom vladavinom. Pobuna koja je nastala da bi se suprotstavila vašoj vladavini izgledala je kao mala i osuđena na neuspeh pred vašim ujedinjenim savezom moćnih imperija. Ali pobunjenici su posedovali lukavost kakvu niste očekivali i koristili su je da se suprotstave vašoj zapanjujućoj fizičkoj moći na svakom koraku. Vaši nesposobni saveznici pokazali su se beskorisnim u formulisanju odbrane, a pre nego što je zaista započeo, san o Novoj Republici bio je mrtav kao i civilizacije iz kojih se nekada sastojala.#Da su stvari bile drugačije, ova galaksija i svi oni koji su naseljavali zajedno bi krenuli napred u novu i svetliju eru daleko od sukoba i rata. Sada budućnost leži u rukama podmuklih i pohlepnih pobunjenika koji su učinili sve da vas smaknu s trona. Oni će na kraju biti gubitnici, jer bez vaše mudrosti da ih vodi, njihova glupost će ih sigurno dovesti do najgroznijeg kraja koji se može zamisliti...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | besprimerni bes Bulratija
GAME_OVER_REBELLION_LOSS3         | neobuzdani bes Bulratija dominira
