

//
// Armor techs
// 
ARMOR_0_NAME     | Titánový pancier
BATTLESUIT_2_DETAIL  | Pokročilé mobilné obleky, ktoré nielen zvyšujú výkon a obranyschopnosť, ale ponúkajú aj obmedzený let pozemných jednotiek. Pridáva 20 bodov k pozemnému útoku.

BATTLESUIT_3_NAME    | Silový pancier
BATTLESUIT_3_DETAIL  | Kombinuje vysokú mobilitu, schopnosti antigravitačného letu a ťažký pancier. Je najpokročilejším typom ochrany pre pozemné jednotky. Pridáva 30 bodov k pozemnému útoku.


//
// Energy Focus techs for beam weapons
// 
BEAMFOCUS_0_NAME    | Vysoko energetické ohnisko
BEAMFOCUS_0_BRIEF   | Pridáva +3 k dosahu energetickej zbrane
BEAMFOCUS_0_DETAIL  | Dosah energetických zbraní zvýši o tri.

BEAMFOCUS_1_NAME    | Rozhranie orákulum
BEAMFOCUS_1_BRIEF   | Sústredený lúč zníži štít nepriateľa na polovicu.
BEAMFOCUS_1_DETAIL  | Spája všetky útoky energetickými zbraňami do jedného lúča, ktorý zníži silu štítu nepriateľa na polovicu.


//
// Biological antidote techs 
// 
BIOANTIDOTE_0_NAME    | Protilátka proti biotoxínom
BIOANTIDOTE_0_DETAIL  | Znižuje množstvo obetí biologických zbraní o 1M na útok.

BIOANTIDOTE_1_NAME    | Univerzálny liek
BIOANTIDOTE_1_DETAIL  | Znižuje množstvo obetí biologických zbraní o 2M na útok.


//
// Biological weapon techs 
// 
BIOWEAPON_0_NAME     | Spóry smrti
BIOWEAPON_0_BRIEF    | Biologická zbraň
BIOWEAPON_0_DETAIL   | Strašná biologická zbraň. Znižuje maximálny počet obyvateľov planéty o 1 milión na útok.

BIOWEAPON_1_NAME     | Vírus skazy
BIOWEAPON_1_BRIEF    | Biologická zbraň
BIOWEAPON_1_DETAIL   | Desivá biologická zbraň. Znižuje maximálny počet obyvateľov planéty o 1 milión na útok.

BIOWEAPON_2_NAME     | Bioterminátor
BIOWEAPON_2_BRIEF    | Biologická zbraň
BIOWEAPON_2_DETAIL   | Najhrôzostrašnejšia biologická zbraň. Znižuje maximálny počet obyvateľov planéty o 1 milión na útok.

//
// Black Hole Generator tech
//
BLACKHOLE_0_NAME     | Generátor čiernych dier
BLACKHOLE_0_DETAIL   | Vytvorí subpriestorové pole, ktoré deformuje normálny priestor a vytvorí čiernu dieru. Pohltí a zničí 25% až 100% nepriateľských lodí alebo raketových základní, mínus 2% za triedu štítu.


//
// Bomb weapon tech
//
BOMB_0_NAME     | Jadrová bomba
BOMB_0_BRIEF    | Iba na pozemné útoky
BOMB_0_DETAIL   | Pri výbuchu spôsobí 3 až 12 bodov poškodenia proti pozemným cieľom.

BOMB_1_NAME     | Fúzna bomba
BOMB_1_BRIEF    | Iba na pozemné útoky
BOMB_1_DETAIL   | Pri výbuchu spôsobí 5 až 20 bodov poškodenia proti pozemným cieľom.

BOMB_2_NAME     | Bomba z antihmoty
BOMB_2_BRIEF    | Iba na pozemné útoky
BOMB_2_DETAIL   | Pri výbuchu spôsobí 10 až 40 bodov poškodenia proti pozemným cieľom.

BOMB_3_NAME     | Bomba Omega-V
BOMB_3_BRIEF    | Iba na pozemné útoky
BOMB_3_DETAIL   | Pri výbuchu spôsobí 20 až 50 bodov poškodenia proti pozemným cieľom.

BOMB_4_NAME     | Neutrónová bombu
BOMB_4_BRIEF    | Iba na pozemné útoky
BOMB_4_DETAIL   | Pri výbuchu spôsobí 40 až 70 bodov poškodenia proti pozemným cieľom.


//
// Cloaking tech
//
CLOAK_0_NAME     | Maskovacie zariadenie
CLOAK_0_BRIEF    | Robí loď takmer neviditeľnou
CLOAK_0_DETAIL   | Urobí loď takmer neviditeľnou pokým nezaútočí a zvýši obranu o 5 bodov. Loď sa musí odmaskovať, aby mohla zaútočiť. Loď sa opätovne zamaskuje v ťahu, v ktorom nezaútočí.


//
// Cloning tech
//
CLONE_0_NAME     | Klonovanie
CLONE_0_DETAIL   | Umožňuje vyrábať biologicky upravených kolonistov rýchlosťou 1M za 10 BC.

CLONE_1_NAME     | Pokročilé klonovanie
CLONE_1_DETAIL   | Umožňuje vyrábať biologicky upravených kolonistov rýchlosťou 1M za 5 BC.


//
// Combat Transporter tech
//
COMBATTRANSPORT_0_NAME     | Bojové transportéry
COMBATTRANSPORT_0_DETAIL   | Transporty vybavené týmito zariadeniami majú 50% šancu, že sa prenesú na nepriateľský povrch skôr, ako na ne môžu zaútočiť nepriateľské lode alebo základne protiraketovej obrany.


//
// Control Environment tech
//
CONTROLENV_0_NAME    | Riadené bežné prostredie
CONTROLENV_0_ITEM    | Štandardná základňa
CONTROLENV_0_BRIEF   | Umožňuje pristáť na bežnej planéte
CONTROLENV_0_DETAIL  | Umožňuje kolonizovať štandardné planéty.

CONTROLENV_1_NAME    | Riadené nehostinné prostredie
CONTROLENV_1_ITEM    | Nehostinná základňa
CONTROLENV_1_BRIEF   | Umožňuje pristáť na nehostinnej planéte
CONTROLENV_1_DETAIL  | Umožňuje kolonizovať nehostinné a menej nepriateľské planéty.

CONTROLENV_2_NAME    | Riadené prostredie tundry
CONTROLENV_2_ITEM    | Koloniálna základňa v tundre
CONTROLENV_2_BRIEF   | Umožňuje pristáť na chladných planétach
CONTROLENV_2_DETAIL  | Umožňuje kolonizovať tundry a menej nepriateľské planéty.

CONTROLENV_3_NAME    | Riadené prostredie mŕtvych planét
CONTROLENV_3_ITEM    | Základňa na mŕtvej planéte
CONTROLENV_3_BRIEF   | Umožňuje pristáť na mŕtvej planéte
CONTROLENV_3_DETAIL  | Umožňuje kolonizovať mŕtve a menej nepriateľské planéty.

CONTROLENV_4_NAME    | Kontrolované ohnivé prostredie
CONTROLENV_4_ITEM    | Základňa na ohnivej planéte
CONTROLENV_4_BRIEF   | Umožňuje pristáť na ohnivej planéte
CONTROLENV_4_DETAIL  | Umožňuje kolonizovať ohnivé a menej nepriateľské planéty.

CONTROLENV_5_NAME    | Kontrolované jedovaté prostredie
CONTROLENV_5_ITEM    | Základňa na jedovatej planéte
CONTROLENV_5_BRIEF   | Umožňuje pristáť na jedovatej planéte
CONTROLENV_5_DETAIL  | Umožňuje kolonizovať jedovaté a menej nepriateľské planéty.

CONTROLENV_6_NAME    | Kontrolované rádioaktívne prostredie
CONTROLENV_6_ITEM    | Základňa na rádioaktívnej planéte
CONTROLENV_6_BRIEF   | Umožňuje pristáť na rádioaktívnej planéte
CONTROLENV_6_DETAIL  | Umožňuje kolonizovať rádioaktívne a menej nepriateľské planéty.


//
// Deflector Shield tech
//
// this is the entry on Ship Design for selecting no deflector shield
DEFLECTOR_0_NAME      | 
DEFLECTOR_0_ITEM      |   
DEFLECTOR_0_BRIEF     |  
DEFLECTOR_0_DETAIL    | 

DEFLECTOR_1_NAME      | Ochranné štíty I. triedy
DEFLECTOR_1_ITEM      | I. trieda
DEFLECTOR_1_BRIEF     | Pohltí zásah za 1 bod
DEFLECTOR_1_DETAIL    | Pohltí 1 bod poškodenia zo všetkých útokov.

DEFLECTOR_2_NAME      | Ochranné štíty II. triedy
DEFLECTOR_2_ITEM      | II. trieda
DEFLECTOR_2_BRIEF     | Pohltí zásah za 2 body
DEFLECTOR_2_DETAIL    | Pohltí 2 body poškodenia zo všetkých útokov.

DEFLECTOR_3_NAME      | Ochranné štíty III. triedy
DEFLECTOR_3_ITEM      | III. trieda
DEFLECTOR_3_BRIEF     | Pohltí zásah za 3 body
DEFLECTOR_3_DETAIL    | Pohltí 3 body poškodenia zo všetkých útokov.

DEFLECTOR_4_NAME      | Ochranné štíty IV. triedy
DEFLECTOR_4_ITEM      | IV. trieda
DEFLECTOR_4_BRIEF     | Pohltí zásah za 4 body
DEFLECTOR_4_DETAIL    | Pohltí 4 body poškodenia zo všetkých útokov.

DEFLECTOR_5_NAME      | Ochranné štíty V. triedy
DEFLECTOR_5_ITEM      | V. trieda
DEFLECTOR_5_BRIEF     | Pohltí zásah za 5 bodov
DEFLECTOR_5_DETAIL    | Pohltí 5 bodov poškodenia zo všetkých útokov.

DEFLECTOR_6_NAME      | Ochranné štíty VI. triedy
DEFLECTOR_6_ITEM      | VI. trieda
DEFLECTOR_6_BRIEF     | Pohltí zásah za 6 bodov
DEFLECTOR_6_DETAIL    | Pohltí 6 bodov poškodenia zo všetkých útokov.

DEFLECTOR_7_NAME      | Ochranné štíty VII. triedy
DEFLECTOR_7_ITEM      | VII. trieda
DEFLECTOR_7_BRIEF     | Pohltí zásah za 7 bodov
DEFLECTOR_7_DETAIL    | Pohltí 7 bodov poškodenia zo všetkých útokov.

DEFLECTOR_8_NAME      | Ochranné štíty IX. triedy
DEFLECTOR_8_ITEM      | IX. trieda
DEFLECTOR_8_BRIEF     | Pohltí zásah za 9 bodov
DEFLECTOR_8_DETAIL    | Pohltí 9 bodov poškodenia zo všetkých útokov.

DEFLECTOR_9_NAME      | Ochranné štíty XI. triedy
DEFLECTOR_9_ITEM      | XI. trieda
DEFLECTOR_9_BRIEF     | Pohltí zásah za 11 bodov
DEFLECTOR_9_DETAIL    | Pohltí 11 bodov poškodenia zo všetkých útokov.

DEFLECTOR_10_NAME     | Ochranné štíty XIII. triedy
DEFLECTOR_10_ITEM     | XIII. trieda
DEFLECTOR_10_BRIEF    | Pohltí zásah za 13 bodov
DEFLECTOR_10_DETAIL   | Pohltí 13 bodov poškodenia zo všetkých útokov.

DEFLECTOR_11_NAME     | Ochranné štíty XV. triedy
DEFLECTOR_11_ITEM     | XV. trieda
DEFLECTOR_11_BRIEF    | Pohltí zásah za 15 bodov
DEFLECTOR_11_DETAIL   | Pohltí 15 bodov poškodenia zo všetkých útokov.


//
// Displacement tech
//
DISPLACEMENT_0_NAME   | Premiestňovač
DISPLACEMENT_0_BRIEF  | Tretina všetkých nepriateľských útokov minie
DISPLACEMENT_0_DETAIL | Náhodne presúva lode do a mimo normálneho priestoru, čím im umožňuje vyhnúť sa tretine všetkých útokov zo zbraní. 


//
// ECM Jammer tech
//
// this is the entry on Ship Design for selecting no ECM Jammer
ECMJAMMER_0_NAME      | 
ECMJAMMER_0_ITEM      | 
ECMJAMMER_0_BRIEF     | Obrana proti raketám 0
ECMJAMMER_0_DETAIL    | 

ECMJAMMER_1_NAME      | ECM rušička I. generácie
ECMJAMMER_1_ITEM      | Rušička I
ECMJAMMER_1_BRIEF     | Obrana proti raketám 1
ECMJAMMER_1_DETAIL    | Pridáva 1 úroveň k obrane proti nepriateľským raketovým útokom.

ECMJAMMER_2_NAME      | ECM rušička II. generácie
ECMJAMMER_2_ITEM      | Rušička II
ECMJAMMER_2_BRIEF     | Obrana proti raketám 2
ECMJAMMER_2_DETAIL    | Pridáva 2 úrovne k obrane proti nepriateľským raketovým útokom.

ECMJAMMER_3_NAME      | ECM rušička III. generácie
ECMJAMMER_3_ITEM      | Rušička III
ECMJAMMER_3_BRIEF     | Obrana proti raketám 3
ECMJAMMER_3_DETAIL    | Pridáva 3 úrovne k obrane proti nepriateľským raketovým útokom.

ECMJAMMER_4_NAME      | ECM rušička IV. generácie
ECMJAMMER_4_ITEM      | Rušička IV
ECMJAMMER_4_BRIEF     | Obrana proti raketám 4
ECMJAMMER_4_DETAIL    | Pridáva 4 úrovne k obrane proti nepriateľským raketovým útokom.

ECMJAMMER_5_NAME      | ECM rušička V. generácie
ECMJAMMER_5_ITEM      | Rušička V
ECMJAMMER_5_BRIEF     | Obrana proti raketám 5
ECMJAMMER_5_DETAIL    | Pridáva 5 úrovní k obrane proti nepriateľským raketovým útokom.

ECMJAMMER_6_NAME      | ECM rušička VI. generácie
ECMJAMMER_6_ITEM      | Rušička VI
ECMJAMMER_6_BRIEF     | Obrana proti raketám 6
ECMJAMMER_6_DETAIL    | Pridáva 6 úrovní k obrane proti nepriateľským raketovým útokom.

ECMJAMMER_7_NAME      | ECM rušička VII. generácie
ECMJAMMER_7_ITEM      | Rušička VII
ECMJAMMER_7_BRIEF     | Obrana proti raketám 7
ECMJAMMER_7_DETAIL    | Pridáva 7 úrovní k obrane proti nepriateľským raketovým útokom.

ECMJAMMER_8_NAME      | ECM rušička VIII. generácie
ECMJAMMER_8_ITEM      | Rušička VIII
ECMJAMMER_8_BRIEF     | Obrana proti raketám 8
ECMJAMMER_8_DETAIL    | Pridáva 8 úrovní k obrane proti nepriateľským raketovým útokom.

ECMJAMMER_9_NAME      | ECM rušička IX. generácie
ECMJAMMER_9_ITEM      | Rušička IX
ECMJAMMER_9_BRIEF     | Obrana proti raketám 9
ECMJAMMER_9_DETAIL    | Pridáva 9 úrovní k obrane proti nepriateľským raketovým útokom.

ECMJAMMER_10_NAME     | ECM rušička X. generácie
ECMJAMMER_10_ITEM     | Rušička X
ECMJAMMER_10_BRIEF    | Obrana proti raketám 10
ECMJAMMER_10_DETAIL   | Pridáva 10 úrovní k obrane proti nepriateľským raketovým útokom.


//
// Ecological Restoration techs
//
ECORESTORATION_0_NAME   | Environmentálna obnova
ECORESTORATION_0_DETAIL | Odstráni 2 jednotky priemyselného odpadu za cenu 1 BC.

ECORESTORATION_1_NAME   | Vylepšená environmentálna obnova
ECORESTORATION_1_DETAIL | Odstráni 3 jednotky priemyselného odpadu za cenu 1 BC.

ECORESTORATION_2_NAME   | Posilnená environmentálna obnova
ECORESTORATION_2_DETAIL | Odstráni 5 jednotiek priemyselného odpadu za cenu 1 BC.

ECORESTORATION_3_NAME   | Pokročilá environmentálna obnova
ECORESTORATION_3_DETAIL | Odstráni 10 jednotiek priemyselného odpadu za cenu 1 BC.

ECORESTORATION_4_NAME   | Úplná environmentálna obnova
ECORESTORATION_4_DETAIL | Odstráni 20 jednotiek priemyselného odpadu za cenu 1 BC.


//
// Energy Pulsar techs
//
PULSAR_0_NAME | Energetický výboj
PULSAR_0_BRIEF | Výboj spôsobujúci poškodenie za 1-5 bodov
PULSAR_0_DETAIL | Modifikácia motora, ktorá generuje sférický výbuch energie, ktorý zasiahne všetky susedné lode a spôsobí im až 5 bodov poškodenia +1 za každé dve lode v skupine.

PULSAR_1_NAME | Iónový pulzar
PULSAR_1_BRIEF | Výboj spôsobujúci poškodenie za 2-10 bodov
PULSAR_1_DETAIL | Výkonná modifikácia motora schopná generovať sférický výboj fázovej energie, ktorý zasiahne všetky susedné lode a spôsobí im až 10 bodov poškodenia +1 za každú útočiacu loď.


//
// Engine techs
//
ENGINE_0_NAME    | Raketový pohon
ENGINE_0_DETAIL  | Lode sa pohybujú rýchlosťou Warp %1 a majú maximálnu manévrovateľnosť triedy I v boji.
ENGINE_0_ITEM    | Raketový
ENGINE_0_ITEM2   | 1. trieda
ENGINE_0_BRIEF   | Warp 1  Obrana %1
ENGINE_0_BRIEF2  | Rýchlosť v boji %1

ENGINE_1_NAME    | Nukleárny pohon 
ENGINE_1_DETAIL  | Lode sa pohybujú rýchlosťou Warp %1 a majú maximálnu manévrovateľnosť triedy II v boji.
ENGINE_1_ITEM    | Jadrový
ENGINE_1_ITEM2   | 2. trieda
ENGINE_1_BRIEF   | Warp 2  Obrana %1
ENGINE_1_BRIEF2  | Rýchlosť v boji %1

ENGINE_2_NAME    | Podsvetelný pohon
ENGINE_2_DETAIL  | Lode sa pohybujú rýchlosťou Warp %1 a majú maximálnu manévrovateľnosť triedy III v boji.
ENGINE_2_ITEM    | Podsvetelný
ENGINE_2_ITEM2   | 3. trieda
ENGINE_2_BRIEF   | Warp 3  Obrana %1
ENGINE_2_BRIEF2  | Rýchlosť v boji %1

ENGINE_3_NAME    | Fúzny pohon
ENGINE_3_DETAIL  | Lode sa pohybujú rýchlosťou Warp %1 a majú maximálnu manévrovateľnosť triedy IV v boji.
ENGINE_3_ITEM    | Fúzny
ENGINE_3_ITEM2   | 4. trieda
ENGINE_3_BRIEF   | Warp 4  Obrana %1
ENGINE_3_BRIEF2  | Rýchlosť v boji %1

ENGINE_4_NAME    | Impulzný pohon
ENGINE_4_DETAIL  | Lode sa pohybujú rýchlosťou Warp %1 a majú maximálnu manévrovateľnosť triedy V v boji.
ENGINE_4_ITEM    | Impulzný
ENGINE_4_ITEM2   | 5. trieda
ENGINE_4_BRIEF   | Warp 5  Obrana %1
ENGINE_4_BRIEF2  | Rýchlosť v boji %1

ENGINE_5_NAME    | Iónový pohon
ENGINE_5_DETAIL  | Lode sa pohybujú Warp %1 a majú maximálnu manévrovateľnosť triedy VI v boji.
ENGINE_5_ITEM    | Iónový
ENGINE_5_ITEM2   | 6. trieda 
ENGINE_5_BRIEF   | Warp 6  Obrana %1
ENGINE_5_BRIEF2  | Rýchlosť v boji %1

ENGINE_6_NAME    | Pohon z antihmoty
ENGINE_6_DETAIL  | Lode sa pohybujú rýchlosťou Warp %1 a majú maximálnu manévrovateľnosť triedy VII v boji.
ENGINE_6_ITEM    | Z antihmoty
ENGINE_6_ITEM2   | 7. trieda
ENGINE_6_BRIEF   | Warp 7  Obrana %1
ENGINE_6_BRIEF2  | Rýchlosť v boji %1

ENGINE_7_NAME    | Medzifázový pohon
ENGINE_7_DETAIL  | Lode sa pohybujú rýchlosťou Warp %1 a majú maximálnu manévrovateľnosť triedy VIII v boji.
ENGINE_7_ITEM    | Medzifázový
ENGINE_7_ITEM2   | 8. trieda
ENGINE_7_BRIEF   | Warp 8  Obrana %1
ENGINE_7_BRIEF2  | Rýchlosť v boji %1

ENGINE_8_NAME    | Hyper pohon
ENGINE_8_DETAIL  | Lode sa pohybujú rýchlosťou Warp %1 a majú maximálnu manévrovateľnosť triedy IX v boji.
ENGINE_8_ITEM    | Hyper
ENGINE_8_ITEM2   | 9. trieda
ENGINE_8_BRIEF   | Warp 9  Obrana %1
ENGINE_8_BRIEF2  | Rýchlosť v boji %1


//
// Fuel Range techs
//
FUELRANGE_0_NAME   | Palivové články
FUELRANGE_0_DETAIL | Zásoby paliva umožňujú lodiam pohybovať sa do vzdialenosti %1 svetelných rokov od kolónií.

FUELRANGE_1_NAME   | Vodíkové palivové články
FUELRANGE_1_DETAIL | Zásoby paliva umožňujú lodiam pohybovať sa do vzdialenosti %1 svetelných rokov od kolónií.

FUELRANGE_2_NAME   | Palivové články z ťažkého vodíka
FUELRANGE_2_DETAIL | Zásoby paliva umožňujú lodiam pohybovať sa do vzdialenosti %1 svetelných rokov od kolónií.

FUELRANGE_3_NAME   | Irídiové palivové články
FUELRANGE_3_DETAIL | Zásoby paliva umožňujú lodiam pohybovať sa do vzdialenosti %1 svetelných rokov od kolónií.

FUELRANGE_4_NAME   | Kryštály dotomitu
FUELRANGE_4_DETAIL | Zásoby paliva umožňujú lodiam pohybovať sa do vzdialenosti %1 svetelných rokov od kolónií.

FUELRANGE_5_NAME   | Urídiové palivové články
FUELRANGE_5_DETAIL | Zásoby paliva umožňujú lodiam pohybovať sa do vzdialenosti %1 svetelných rokov od kolónií.

FUELRANGE_6_NAME   | Rejax II palivové články
FUELRANGE_6_DETAIL | Zásoby paliva umožňujú lodiam pohybovať sa do vzdialenosti %1 svetelných rokov od kolónií.

FUELRANGE_7_NAME   | Kryštály trilítia
FUELRANGE_7_DETAIL | Zásoby paliva umožňujú lodiam pohybovať sa do vzdialenosti %1 svetelných rokov od kolónií.

FUELRANGE_8_NAME   | Články tória 
FUELRANGE_8_DETAIL | Zásoby paliva umožňujú lodiam pohybovať sa do vzdialenosti %1 svetelných rokov od kolónií.


//
// Future Computer techs
//
FUTURECOMP_0_NAME    | Počítač budúcnosti I
FUTURECOMP_0_DETAIL  | Pokročilé inovácie v oblasti počítačových technológií.

FUTURECOMP_1_NAME    | Počítač budúcnosti II
FUTURECOMP_1_DETAIL  | Pokročilé inovácie v oblasti počítačových technológií.

FUTURECOMP_2_NAME    | Počítač budúcnosti III
FUTURECOMP_2_DETAIL  | Pokročilé inovácie v oblasti počítačových technológií.

FUTURECOMP_3_NAME    | Počítač budúcnosti IV
FUTURECOMP_3_DETAIL  | Pokročilé inovácie v oblasti počítačových technológií.

FUTURECOMP_4_NAME    | Počítač budúcnosti V
FUTURECOMP_4_DETAIL  | Pokročilé inovácie v oblasti počítačových technológií.

FUTURECOMP_5_NAME    | Počítač budúcnosti VI
FUTURECOMP_5_DETAIL  | Pokročilé inovácie v oblasti počítačových technológií.

FUTURECOMP_6_NAME    | Počítač budúcnosti VII
FUTURECOMP_6_DETAIL  | Pokročilé inovácie v oblasti počítačových technológií.

FUTURECOMP_7_NAME    | Počítač budúcnosti VIII
FUTURECOMP_7_DETAIL  | Pokročilé inovácie v oblasti počítačových technológií.

FUTURECOMP_8_NAME    | Počítač budúcnosti IX
FUTURECOMP_8_DETAIL  | Pokročilé inovácie v oblasti počítačových technológií.

FUTURECOMP_9_NAME    | Počítač budúcnosti X
FUTURECOMP_9_DETAIL  | Pokročilé inovácie v oblasti počítačových technológií.


//
// Future Construction techs
//
FUTURECONST_0_NAME    | Strojárstvo budúcnosti I
FUTURECONST_0_DETAIL  | Pokročilé inovácie v oblasti strojárstva.

FUTURECONST_1_NAME    | Strojárstvo budúcnosti II
FUTURECONST_1_DETAIL  | Pokročilé inovácie v oblasti strojárstva.

FUTURECONST_2_NAME    | Strojárstvo budúcnosti III
FUTURECONST_2_DETAIL  | Pokročilé inovácie v oblasti strojárstva.

FUTURECONST_3_NAME    | Strojárstvo budúcnosti IV
FUTURECONST_3_DETAIL  | Pokročilé inovácie v oblasti strojárstva.

FUTURECONST_4_NAME    | Strojárstvo budúcnosti V
FUTURECONST_4_DETAIL  | Pokročilé inovácie v oblasti strojárstva.

FUTURECONST_5_NAME    | Strojárstvo budúcnosti VI
FUTURECONST_5_DETAIL  | Pokročilé inovácie v oblasti strojárstva.

FUTURECONST_6_NAME    | Strojárstvo budúcnosti VII
FUTURECONST_6_DETAIL  | Pokročilé inovácie v oblasti strojárstva.

FUTURECONST_7_NAME    | Strojárstvo budúcnosti VIII
