// race-specific variables (must start with _)
_empire                           | Nazlok, Sarloks, Spyloks, Shadeloks, Nazloks
GAME_OVER_COUNCIL_LOSS2           | Vos plans déjoués, votre quête menacée...#Vos plans ont été dévoilés à la galaxie, et bien que personne ne puisse espérer rivaliser avec vos compétences en subterfuge, les yeux de vos rivaux se sont avérés trop vigilants pour que même vous puissiez les contourner. Avec la formation de la Nouvelle République et l'avenir de la galaxie à déterminer, les votes des membres du conseil se sont avérés défaire vos plans bien établis. L'avenir appartient [leader_race_pluralnounto] !#Tenter d'acquérir la capacité de diriger le cours de la galaxie était une stratégie ambitieuse. Si vos machinations diplomatiques avaient été plus subtiles, il est fort possible que toute la volonté de la galaxie se soit pliée à servir votre quête. Maintenant, vous devrez vous soumettre à la volonté [leader_race_pluralnounof], mais chaque jour qui passe rapproche ceux qui sont bloqués dans l'univers qui s'effondre dont vous venez de se rapprocher d'un destin plus terrible que vous n'osez l'imaginer...
GAME_OVER_REBELLION_LOSS2         | La fin de votre quête, la fin de votre peuple...#La fortune n'a jamais favorisé votre peuple depuis votre arrivée dans ce plan peu accueillant. Cela ne vous a pas favorisé lorsque vous avez été projeté dans une dimension où aucune de vos technologies ne fonctionnait correctement. Cela ne vous a pas favorisé lorsque les habitants de cette galaxie ont voté contre vous pour diriger la Nouvelle République. Et maintenant, à la toute fin de toutes choses, cela ne vous a pas favorisé lorsque vous frappez contre vos rivaux pour assurer non seulement le leadership de la galaxie, mais votre survie même.#Votre peuple était tenace, fort et déterminé, mais ses meilleurs efforts et sa volonté de gagner par tous les moyens nécessaires n'étaient tout simplement pas suffisants pour lui garantir la victoire contre la puissance écrasante des armées de la Nouvelle République. Votre bravoure était digne de mémoire : de cela personne ne pouvait contester. Mais alors que la dernière de vos armées, et vos mondes mêmes, tombent aux mains de vos ennemis, votre empire brisé est battu, brisé et bientôt oublié...
GAME_OVER_REBELLION_WIN2          | La première phase terminée, le vrai test commence...#Maintenant, enfin, ces imbéciles inférieurs voient votre pouvoir et votre volonté se déchaîner ! En vain, vos ennemis ont cherché à vous entraver dans votre quête pour libérer vos parents bloqués de leur destin ultime, et ils ont utilisé toutes les ruses possibles pour vous gêner. Des menaces à l'espionnage en passant par l'hostilité ouverte, leur désir de vous empêcher d'atteindre votre objectif était à son apogée lorsqu'ils ont voté contre vous pour diriger la Nouvelle République bien que vous soyez le plus digne de le faire. Avec peu de choix et sans une conscience lourde, vous avez déchaîné sur eux la même fureur épouvantable qui a conduit votre peuple à une domination totale dans l'univers d'où vous venez.#Maintenant, cette galaxie est à vous, et bien que le temps soit court avant que votre plan d'origine ne s'effondre et que ceux qui restent subissent un sort pire que la mort, au moins maintenant il n'y a plus personne dans cette dimension qui s'opposera à vous. Maintenant, enfin, ces imbéciles inférieurs voient votre pouvoir et votre volonté se déchaîner ! Ou du moins ils le feraient, si l'un d'eux restait en vie pour le faire...
GAME_OVER_REBEL_ALLIANCE_WIN2     | La première phase terminée, le vrai test commence...#Dès le début, vous saviez que les habitants de cette galaxie ne vous feraient jamais volontairement confiance pour diriger une alliance unifiée d'empires spatiaux. Malhonnêtes et méfiants, les empires indigènes qui habitent ce plan ont fait tout leur possible pour déjouer vos plans et ont joyeusement voté contre vous lorsque la formation de la Nouvelle République a commencé. Mais vous êtes sage, et vous êtes rusé, et voyant leurs machinations aussi facilement qu'on lit des mots sur une page, vous avez concentré vos efforts diplomatiques uniquement sur ceux qui sont les plus dignes de se tenir à vos côtés. Et quand vint le moment où vos ennemis pensèrent vous piéger, ils se retrouvèrent dans un piège tendu depuis longtemps.#Maintenant, vous et vos alliés êtes victorieux sur les cendres de ceux qui ont osé se croire supérieurs. Le destin de la galaxie est entre vos mains car vous êtes libre de trouver un moyen d'amener vos parents bloqués à travers les barrières dimensionnelles et dans un nouvel univers prêt à être pris. Et si ceux que vous avez choisis comme camarades vous empêchent d'atteindre vos objectifs, vous les traiterez avec autant de détermination que vous avez traité tous les autres...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | La première phase terminée, le vrai test commence...#Il y a longtemps, un petit groupe de votre peuple a été chassé de son univers mourant et jeté dans ce nouveau plan extraterrestre. Alors que vous commenciez à chercher un moyen d'amener ceux qui étaient bloqués à vous rejoindre dans cette nouvelle galaxie stable, vos rencontres avec ceux qui habitaient déjà parmi ces étoiles vous ont rapidement appris que vous ne seriez pas en mesure de trouver les réponses que vous cherchiez pendant que vous combattant des guerres mineures et prolongées. Au lieu de cela, vous avez cherché à manipuler le cours de l'histoire tout en étant voilé dans l'ombre, et maintenant, ces plans se sont enfin concrétisés.#[leader_race_pluralnoun] ont assumé la maîtrise de la Nouvelle République, et ils se sont montrés malléables et réceptifs à vos desseins et à votre conseil. En tant que confidents et conseillers, votre peuple est dans une position unique pour diriger le pouvoir de la galaxie elle-même sous la direction de votre allié. Vous êtes trop éloigné de l'autorité directe pour ressentir le contrecoup si les choses échouent. Si vous réussissez, le renforcement de vos rangs par l'arrivée de vos proches disparus sera plus que suffisant pour commencer une nouvelle ère et faire pencher la balance massivement en votre faveur...
GAME_OVER_COUNCIL_WIN2            | La première phase terminée, le vrai test commence...#La salle du conseil éclate de joie alors que vous commencez votre règne en tant que Maître de la Nouvelle République. Vous acceptez humblement le fardeau de l'intendance qui vous a été confié par les empires qui composent le Conseil Galactique, sachant que cette fin était le résultat d'un plan de longue date. Peu de temps après que votre peuple est arrivé dans cette dimension et a appris ses mystères, vous saviez qu'il serait impossible pour vous seul de trouver un moyen de permettre à vos frères et sœurs piégés de faire le voyage vers ce plan avant que leur univers ne s'effondre complètement. Maintenant, après des années de diplomatie, de furtivité et de manipulation politique, vous n'avez plus à le faire.#Maintenant, cette galaxie est à vous de façonner et de sculpter et de suivre la voie qui vous semble la meilleure. Vous allez bientôt utiliser la technologie, la force et l'innovation de vos alliés pour vous aider à ouvrir un portail vers votre maison et à reconstruire votre civilisation ici avec autant de personnes que vous le pouvez. Et si quelqu'un ose essayer de vous arrêter, vous avez maintenant les armées de la Nouvelle République pour écraser leur dissidence une fois pour toutes...
GAME_OVER_COUNCIL_MILITARY_WIN2   | La première phase terminée, le vrai test commence...#Maintenant, votre domination sur cette galaxie est justifiée en paroles et en actes. Après d'innombrables années à manipuler vos rivaux interstellaires pour vous aider à atteindre vos objectifs, vos plans se sont finalement concrétisés lorsque vous avez obtenu le titre de "Maître de la Nouvelle République". Et lorsque les voix de vos dissidents se sont élevées contre vous, vous aviez déjà mis en œuvre des plans dans le cadre de plans qui vous ont permis d'écraser la rébellion de manière décisive. Ils se sont battus, vous avez gagné, et maintenant toute la galaxie est à vous pour en faire ce que vous voulez.#Avec vos ennemis réduits en poussière et dispersés sur les vents solaires, vous tournez votre attention vers votre véritable objectif : pour trouver un moyen d'amener votre peuple séparé à travers le gouffre dimensionnel et dans ce nouvel univers stable où votre empire peut renaître. Personne n'oserait parler contre vous maintenant, pas après avoir vu ce qui est arrivé à ceux qui sont assez fous pour le faire...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | La fin de votre quête, la fin de votre peuple...#Le sort le plus triste que vous auriez pu obtenir pour votre peuple est devenu réalité. Votre capacité inégalée de subterfuge et de manipulation a été déjouée par des espèces inférieures qui ne pouvaient espérer comprendre le grand travail que vous essayiez d'accomplir. Bien que vous ayez réussi la tâche monumentale de devenir le souverain élu de la galaxie tout en maintenant le secret qui entourait vos objectifs, vous n'avez pas été en mesure d'étouffer la rébellion qui s'est rapidement levée pour répondre à votre règle naissante...#Maintenant, il est trop tard pour que vous orientiez l'avenir de la galaxie sur la voie que vous jugez appropriée. La rébellion a laissé la Nouvelle République comme rien de plus que des ruines que les vainqueurs doivent piller et reconstruire. Et la mort des Nazlokiens scelle le sort de ceux qui restent piégés dans un univers condamné dont ils n'ont aucun espoir de s'échapper. Votre échec a scellé le destin de votre empire dans non pas un mais deux univers, et en tant que tel est plus monumental que n'importe lequel de vos ennemis pourrait même comprendre...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | les machinations inconnaissables des Nazlokiens
GAME_OVER_REBELLION_LOSS3         | la poigne ténébreuse des Nazlokiens piège
