// race-specific variables (must start with _)
_empire                           | Le Clan Fiershan, Le Clan Prrshan, Le Clan Mewshan, Le Clan Clawshan, Le Clan Hisshan
GAME_OVER_MILITARY_LOSS2          | Vos trésors chéris maintenant libres pour la prise...#Les redoutables flottes de pillards du Khanat qui frappaient comme des éclairs fantômes faisaient autrefois craindre à des civilisations entières de voyager trop loin de chez elles. À votre apogée, vous avez pris la richesse de civilisations entières et les avez ajoutées à des trésors contenant des reliques couvrant des centaines de mondes. Mais il semble que par folie, arrogance, cupidité ou une combinaison de celles-ci, votre peuple a finalement trouvé des ennemis qui s'avéreraient être plus qu'ils ne pourraient supporter. Et lorsque ces ennemis ont pris l'offensive, vous étiez impuissant à empêcher le sort qui vous est maintenant arrivé.#La simple rumeur d'une flotte Fiershan imminente a autrefois fait trembler de peur des systèmes stellaires entiers. Maintenant, votre peuple a été effacé de cette galaxie, ne restant que des histoires de fantômes pour effrayer les enfants des vainqueurs afin qu'ils se comportent mieux. Et vos précieux trésors, tirés de tant de mondes, ont été volés et placés dans de riches maisons et musées : maintenant des reliques d'un passé lointain, tout comme votre peuple...
GAME_OVER_MILITARY_WIN2           | Les trésors de cette galaxie sont à vous pour la prise !#Cette nuit-ci, toute la surface de votre monde natal éclate en rugissements célébrant la victoire suprême de votre peuple. Car cette nuit est la première du nouvel âge, où seuls les Khanats Fiershan dominent la galaxie. Ce qui a commencé comme de simples raids pour le butin et la renommée est finalement devenu une campagne à grande échelle qui a couvert les planètes, les systèmes stellaires et finalement l'intégralité de la galaxie connue. Contre toute attente et contre tous les challengers, tous les autres empires sont tombés sous le poids de votre férocité et de votre puissance écrasantes.#Avec des rivaux plus faibles qui vous tombent dessus un par un, votre peuple n'a vu aucun besoin d'alliés. Évitant les enchevêtrements politiques et la corvée lamentable de la diplomatie, vous avez pris le dernier des bastions qui se dressaient contre vous, et le butin de mille mondes est maintenant à vous pour la prise. Et quand cette galaxie vous a donné tout ce qu'elle possède, malheur à ceux qui habitent dans les étoiles encore plus loin. Ils trembleront à votre venue, et leur butin sera aussi le vôtre, par tous les moyens nécessaires...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Le butin de cette galaxie pour vous et vos alliés...#Vos raids ont finalement porté des fruits étincelants d'une valeur incommensurable. Dès vos premières incursions dans la diplomatie, il est devenu évident que votre fière culture ne pourrait jamais coexister pacifiquement avec ceux qui détenaient des trésors si merveilleux sans la force de les défendre. Vous saviez que les guerres seraient inévitables. Mais étonnamment, vous en avez trouvé d'autres dans les profondeurs de l'espace qui avaient non seulement la force de défendre leur propre butin, mais aussi l'intérêt d'enrichir leurs propres coffres.#Ensemble, vous et vos alliés avez mené des guerres dont on parlera dans la légende jusqu'à la toute fin des temps. Vous avez partagé les conquêtes et les richesses. Alors que les corps de vos frêles ennemis gisent brisés le long du chemin vers l'avenir, vous n'avez qu'à partager le butin et vous réjouir du frisson de la victoire. Mais un mot d'avertissement, Golden Khan : peu importe à quel point vos alliés se sont battus à vos côtés, ceux qui recherchent l'or peuvent poser leur regard sur leurs amis lorsqu'il n'y a plus d'ennemis avec un trésor à saisir...
GAME_OVER_COUNCIL_LOSS2           | Vos raids et votre mode de vie ont pris fin brutalement...#La plus grande menace pour la culture de votre peuple a finalement été réalisée. Après d'innombrables années à explorer l'espace et à conquérir les étoiles, les différents empires qui composent cette galaxie ont décidé de renoncer aux querelles du passé et de s'unir dans une coexistence unie qu'ils appellent la Nouvelle République. Et comme tous les nouveaux âges méritent de nouveaux dirigeants, le Conseil Galactique en a choisi un pour les guider dans ce nouvel âge. Il suffit de dire qu'ils ne vous ont pas choisi.#Bien que vous ayez fait de votre mieux en matière de diplomatie, la coexistence harmonieuse n'a jamais été le point fort de votre peuple. La méfiance qui émanait de vos incessants raids et les vieilles blessures infligées à ceux qui leur étaient soumis ont irrémédiablement terni votre position diplomatique au sein du conseil. Avec l'unité de la galaxie désormais une certitude que vous ne pouvez pas espérer contourner, vos raids pour le trésor et la gloire ont maintenant pris fin définitivement. Votre peuple doit s'adapter à cette nouvelle ère, ou mourir en essayant de le faire...
GAME_OVER_REBELLION_LOSS2         | Vos trésors chéris maintenant libres pour la prise...#Les jours où votre peuple pillait cette galaxie de ses trésors les plus merveilleux sont révolus. Avec la formation de la Nouvelle République et l'unification de la galaxie sous la bannière [leader_race_pluralnounof ], vous saviez que les rites sacrés de la culture de votre peuple seraient voués à l'échec si vous ne vous révoltiez pas contre l'avènement de cette nouvelle ère malavisée. Mais, que ce soit par obéissance aveugle à leur nouveau maître ou par peur de votre peuple et de la réputation qu'il a acquise dans toute la galaxie, vous avez combattu cette rébellion seul.#Vos rivaux savaient qu'ils ne pouvaient pas combattre seuls les armées Fiershan et repartir victorieux et ont donc plutôt mis en commun leurs ressources et leurs flottes alors qu'ils se tenaient côte à côte contre votre rébellion. Bien que votre peuple se soit battu avec la ténacité légendaire qui a inspiré la peur dans toute la galaxie, ni eux ni vous ne pouviez espérer surpasser les forces combinées de la Nouvelle République. Maintenant, votre rébellion touche à sa fin la plus malheureuse, et tout ce qui reste aux vainqueurs est de réclamer votre butin pour eux-mêmes...
GAME_OVER_REBELLION_WIN2          | Les trésors de cette galaxie sont à vous pour la prise !#Le temps des Khanats a enfin commencé. Dès le début de votre incursion dans la galaxie inexplorée, vous avez rencontré des civilisations spatiales qui cherchaient leurs propres objectifs parmi la mer d'étoiles. Pourtant, malgré leurs cultures avancées et leurs innovations technologiques, tous sont désormais tombés devant vous et votre férocité inégalée. Au départ, vous aviez été plus que satisfait de laisser ces civilisations continuer comme elles l'avaient été, offrant à votre peuple des sources infinies de trésors à couper le souffle à gagner pour eux-mêmes lors de vos raids. Mais lorsqu'ils ont décidé de former une nouvelle union dans ce qui était sans aucun doute une tentative d'empêcher votre peuple de continuer son mode de vie, vous avez pris la seule réponse appropriée à ceux qui oseraient s'opposer à vous.#Avec votre ruse, votre habileté et votre ténacité sur le champ de bataille contre les flottes de vos empires rivaux, votre rébellion contre le nouvel ordre galactique s'est terminée par une victoire complète et totale. Le butin de milliers de mondes est ouvert et sans défense, car ceux qui l'avaient gardé ont été retirés de votre chemin de vos propres mains. Prendez-les, Golden Khan ! Ajoutez à votre trésor et préparez votre peuple pour le butin qui se trouve dans les galaxies au-delà...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Le butin de cette galaxie pour vous et vos alliés...#C'était une décision facile de lever votre bannière en rébellion contre la Nouvelle République. Vous saviez que la galaxie pensait peu à votre peuple et à son mode de vie. Alors que les histoires de vos prouesses martiales et des raids terrifiants que vous avez exécutés sur des empires rivaux se sont répandues dans toute la galaxie, vous saviez qu'un ordre galactique uni constituerait une menace insurmontable pour vous une fois qu'il aurait été formé. Comme un véritable chef des légendes de votre ancien peuple, vous avez agi plus vite que d'autres ne pouvaient l'anticiper et avez frappé cet ordre dans une guerre ouverte. Et quand vous l'avez fait, vous avez empêché vos ennemis de trouver la base dont ils auraient besoin pour submerger les flottes du Khanat.#Pour votre plus grand plaisir, vous avez trouvé d'autres insatisfaits de la forme que l'avenir commençait à prendre, et en échange d'une petite part du butin, vous avez forgé une nouvelle alliance qui vous a aidé à affirmer votre domination sur les forces terriblement mal préparées qui se sont rassemblées eux-mêmes contre vous. Vos rivaux ont été entièrement anéantis, et les alliés que vous vous êtes faits n'auront aucune chance contre votre puissance s'ils cessent de vous être utiles. Il ne vous reste plus qu'à prendre ce pour quoi vous vous êtes battu si fort...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Votre butin, au moins, sera en sécurité dans cette nouvelle ère...#Ce n'est un choc pour personne que le Conseil Galactique ne voie pas votre grandeur et refuse de vous accorder la direction de la Nouvelle République. Vos raids sur d'autres empires ont rendu votre peuple impopulaire, et peu sont prêts à dépasser vos normes culturelles pour comprendre votre peuple à un niveau vraiment significatif. Mais que ce soit par naïveté ou par le sens de l'authenticité qui en a gagné tant d'autres à leur cause, vous avez pu trouver un terrain d'entente avec [leader_race_pluralnoun], et sachant que ce serait la meilleure décision pour votre peuple, vous avez aidé à élisez-les comme dirigeants de l'âge à venir.#En remerciement et avec bienveillance, vous avez pu assurer la sécurité de votre butin sans avoir besoin de payer des réparations à ceux à qui vous l'aviez pris grâce à la générosité de vos alliés [leader_race_pluraladjec]. En négociant cette paix, vous avez accepté à contrecœur de mettre fin à vos raids et devez maintenant explorer de nouvelles voies pour exploiter les désirs de votre peuple. Mais c'est sûrement mieux que l'avenir d'un certain anéantissement auquel vous feriez face si vous aviez choisi de vous rebeller contre votre allié...
GAME_OVER_COUNCIL_WIN2            | Cette galaxie et ses trésors n'appartiennent qu'à vous et à vous seul !#Le jour le plus grandiose de l'histoire de votre peuple est enfin arrivé : le Khan d'Or est devenu le Maître de la Nouvelle République. Dès le début, votre peuple s'est fait une terrifiante réputation de pillards violents. Bien que de nombreux cris aient été faits contre vous dans le passé, toutes les voix se taisent alors que le Conseil Galactique reconnaît votre force insurmontable. Certains des empires qui vous ont aidé à élire espèrent certainement devenir de véritables amis de votre peuple, mais vous savez que la majorité de ceux qui vous ont mis ici l'ont fait par peur d'éveiller votre colère. Et vous ne voudriez pas qu'il en soit autrement !#A partir de ce jour, tous les empires de la Nouvelle République vous payeront des tributs. Et pour le crime d'avoir tenté de s'opposer à vous dans les chambres du conseil, les empires qui ont voté contre votre ascension seront à jamais soumis aux raids de votre peuple, pour ne plus jamais acquérir le pouvoir dont ils auraient besoin pour se soulever contre vous. La galaxie appartient aux Fiershan, et elle continuera à vous être soumise jusqu'à la toute fin des temps. Vive le nouvel âge et vive le Khan D'Or !
GAME_OVER_COUNCIL_MILITARY_WIN2   | Le butin de cette galaxie pour vous et vos alliés...#Maintenant, votre règne glorieux peut vraiment commencer. Les prouesses légendaires de votre peuple sur le champ de bataille et les histoires des terribles raids que vous avez menés vous ont permis de devenir le Maître de la Nouvelle République. Mais même si beaucoup craignaient d'éveiller votre colère suffisamment pour se conformer à vos souhaits, il y avait encore ceux qui étaient trop stupides pour être influencés par vos démonstrations de pouvoir. Désireux de s'approprier leur trésor et de l'ajouter à leurs hordes croissantes, votre peuple s'est précipité pour écraser la rébellion et réclamer ses récompenses, cette fois avec le soutien de l'ensemble de l'armée unie de la Nouvelle République que vous dirigez maintenant.#La rébellion était terminée avant même d'avoir commencé, et les armées des usurpateurs ont été vaincues avec un minimum d'effort. Avec leurs trésors rassemblés, les Fiershan fouillent dans le butin, jetant les ordures pour être donnés en récompense aux empires inférieurs qui vous servent. Avec les rebelles servant d'exemple de ce qui se passe lorsque vous êtes mécontent, il y a peu de raisons pour vous de croire qu'un rival se fera jamais connaître à nouveau. Tournez maintenant votre attention vers d'autres galaxies, car elles ont des proies malheureuses qui attendent d'être chassées, et encore plus de trésors scintillants à ajouter à votre collection...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Vos trésors chéris maintenant libres pour la prise....#Bien qu'au départ, vous ayez pu utiliser la peur pour écraser la dissidence de vos rivaux et devenir le Maître de la Nouvelle République, certains étaient assez courageux pour s'opposer à vous et à l'avenir que vous envisagez. Votre peuple était fier et fort, décoré du butin d'innombrables raids et désireux de gagner plus de trésors d'une autre conquête inévitable. Mais ils ne voyaient pas, ou ne pouvaient pas, voir le danger que représentait la rébellion, et le courage inébranlable dont les rebelles faisaient preuve se révélerait être votre fin.#Bien que vous vous vantiez d'un nombre supérieur en utilisant les flottes de ceux que vous aviez armés pour vous soumettre, vous n'avez pas pu empêcher l'insurrection de déstabiliser la république et de vous renverser du trône. D'abord vos subordonnés sont tombés suivis de peu par votre peuple. Il semble qu'à la fin la galaxie elle-même ait choisi contre l'avenir que vous aviez prévu. Après tout, quelle est la volonté d'un peuple, quelle que soit sa force, contre la main indomptable du destin...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | la soif de trésors des Fiershan
GAME_OVER_REBELLION_LOSS3         | l'avidité insatiable des Fiershan engloutit
