// race-specific variables (must start with _)
_empire                           | Вулій Клакон, Вулій Клакант, Вулій Клокан, Вулій Артропон, Вулій Колеоптерон
MAIN_ADVISOR_TRANSPORT            | Я розгорнув колонію за межами Кхолдана! Я повинен відправити транспорти туди для прискорення її розвитку.
MAIN_ADVISOR_DIPLOMACY            | Це розумна форма життя! Вона здійснює комунікацію за допомогою шумів і жестів. Дивно, але... жахливо. Мені необхідно обміркувати, як саме це впливає на мій пошук і як я повинен діяти.
MAIN_ADVISOR_SHIP_ENGINE          | Я вдосконалив двигуни моїх кораблів! Але ж тепер необхідно переглянути креслення, щоб інтегрувати це дослідження.
MAIN_ADVISOR_RALLY_POINTS         | Чому вони нападають на мене? Я не розумію. Важливо організувати точки збору кораблів, поки я намагаюся зрозуміти, чому це сталося.
MAIN_ADVISOR_MISSILE_BASES        | Зараз я бачу, що кооперація з усім життям в галактиці просто неможлива. Я повинен зміцнити свої колонії ракетними базами, щоб забезпечити їх безпеку.
MAIN_ADVISOR_SHIP_WEAPON          | Ця нова зброя допоможе мені у досягненні моїх цілей. Варто інтегрувати її в мої креслення кораблів, бо відтепер мій флот буде сильніший.
MAIN_ADVISOR_COUNCIL              | Неймовірно! Незабаром відбудеться зустріч багатьох видів. Які форми життя там будуть зібрані? Якщо я поставлю себе в кращому світлі серед тих, кого знаю, можливо, я міг би отримати певний вплив на інших.
MAIN_ADVISOR_REBELLION            | Що це? Я втратив контроль над тілами в системі "%1". Необхідно захопити контроль над системою, доки я не втратив контроль і над іншими!
MAIN_ADVISOR_RESIST_COUNCIL       | Неможливо! Я завжди мав мудрість правління! Як вони могли обрати когось іншого? Але ж це не важливо: я все одно захоплю контроль над ними.
MAIN_ADVISOR_COUNCIL_RESISTED     | Чому ці дурні не розуміють, що я - справедливо обраний лідер? Лише я розумію владу і як її здійснювати. Вони ще пошкодують про ту зраду, що вони здійснили!

MAIN_SCOUT_TITLE                  | Я виявив нову систему
MAIN_COLONIZE_TITLE               | Мій корабель для колонізації знаходиться на орбіті не колонізованої системи "%1".
MAIN_COLONIZE_ANIMATION_TITLE     | В %1 році, Я заснував колонію.
MAIN_ALERT_SPY_CAPTURED           | Я спіймав шпигуна з [alien_empire2] і змусив його зізнатися у наступній активності: %2.
MAIN_ALERT_TRANSPORTS_KILLED      | Мої спроби досягти системи "%2" були зупинені силами [alien_race_plural2].
MAIN_ALERT_INVADERS_KILLED        | Транспорти [alien_race_plural2] в системі "%2" були знищені мною.
MAIN_BOMBARD_TITLE                | Я знаходжусь на орбіті колонії [alien_race_plural2].

TECH_RESEARCH_COMPUTER            | Я повинен вибрати наступну технологію у сфері Комп'ютерів, на якій слід зосередитися.
TECH_RESEARCH_CONSTRUCTION        | Я повинен вибрати наступну технологію у сфері Будівництва, на якій слід зосередитися.
TECH_RESEARCH_FORCE_FIELD         | Я повинен вибрати наступну технологію у сфері Силових Полів, на якій слід зосередитися.
TECH_RESEARCH_PLANETOLOGY         | Я повинен вибрати наступну технологію у сфері Планетології, на якій слід зосередитися.
TECH_RESEARCH_PROPULSION          | Я повинен вибрати наступну технологію у сфері Двигунів, на якій слід зосередитися.
TECH_RESEARCH_WEAPON              | Я повинен вибрати наступну технологію у сфері Зброї, на якій слід зосередитися.
TECH_DISCOVERY_TITLE              | Дослідження технології у сфері %1 завершено
TECH_SCOUTED_TITLE                | Досліджуючи руїни в системі "%1", Я відкрив нову технологію.
TECH_STOLEN_TITLE                 | Я вкрав секрети нових технологій  [alien_race_plural2].
TECH_TRADED_TITLE                 | Я дізнався технології у вчених [alien_race_plural2]
TECH_PLUNDERED_TITLE              | Грабуючи руїни системи "%1", Я відкрив нову технологію
TECH_ALLOCATE_SHIELD              | Чи повинен я збільшити витрати на Оборону всіх своїх колоній для побудови нових планетарних щитів?
TECH_ALLOCATE_MISSILE_BASES       | Чи повинен я збільшити витрати на Оборону всіх своїх колоній для оновлення ракетних баз?
TECH_ALLOCATE_FACTORIES           | Чи повинен я збільшити витрати на Індустрію всіх своїх колоній для оновлення моїх заводів?
TECH_ALLOCATE_CLEAN_WASTE         | Чи повинен я зменшити витрати на Екологію всіх своїх колоній до мінімуму, якого буде досить для підтримки їх чистоти?
TECH_ALLOCATE_ENRICH_SOIL         | Чи повинен я збільшити витрати на Екологію всіх своїх колоній зі Звичайним середовищем для початку процесу тераформування?
TECH_ALLOCATE_ATMOSPHERE          | Чи повинен я збільшити витрати на Екологію всіх своїх колоній з Ворожим середовищем для початку процесу тераформування?
TECH_ALLOCATE_TERRAFORM           | Чи повинен я збільшити витрати на Екологію всіх своїх колоній для початку процесу тераформування?

NOTICE_ESPIONAGE_TITLE            | Я проник у базу [alien_race_plural2].
NOTICE_ESPIONAGE_FRAME_TITLE      | Ви змогли підставити іншу расу.

SHIP_COMBAT_TITLE_DESC            | Я зустрів ворожі кораблі [alien_race_plural2].

SABOTAGE_FACTORIES_RESULT         | Я знищив %1 заводів.
SABOTAGE_BASES_RESULT             | Я знищив %1 ракетних баз.
SABOTAGE_REBELS_RESULT            | Я завербував %1 повстанців.
SABOTAGE_REBELS_TOTAL             | Я завербував %1 повстанців. Неспокій народу: %2%.
SABOTAGE_REBELS_REVOLT            | Я розпочав повстання!

COUNCIL_CAST_PROMPT               | Я повинен обрати когось (%1 голосів)...

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Вас очікувала страшна доля.#Ваша подорож розпочалась з однією ціллю: знайти подібного собі, якусь унікальну форму життя. Але ж ця мрія так і не була досягнута, бо ваша доля була вже визначена... Інші розумні форми життя, яких ви зустріли в космосі, не лише відрізнялись, але й були жорстокими та мерзенними. А ця жорстокість лише знищувала вашу надія, як на досягнення ваших цілей, так і на ваше існування. Вже зовсім скоро ви могли лише спостерігати за тим, як ваші планети переходили в руки тих, хто ненавидів вас з моменту вашої першої зустрічі.#Тепер земля ваших колоній залита кров'ю всіх тих тіл, що билися до самого кінця. Ви воювали навіть тоді, коли шансів на перемогу майже не було. Та лише зараз ви вперше замислились про смерть. Ваші тіла вмирали й раніше, але ж завжди були мільйони інших. Завжди справжня смерть була чимось абсурдним і недосяжним. Але ж ви зовсім скоро її зустрінете, і зі смертю останнього вашого тіла помре й найунікальніша сутність в галактиці...
GAME_OVER_MILITARY_WIN2           | Ваш пошук закінчився... поки що.#Великі сподівання вели вас у майбутнє. Ви мріяли знайти розумну форму життя подібну вам, але ж, хоч ви й знайшли інших жителів галактики, жодна з них не була схожа на вас. З часом у ваших відносинах з'являлись непорозуміння та навіть жах. Напавши на вас, вони вважали що знищують свого ворога. Але ж цими діями вони лише довели, що доки вони існують, ваша унікальність і всі її тіла будуть під загрозою. Вам нелегко було зробити наступне рішення, але ж його результат назавжди змінив галактику...#Але все ще не втрачено. Тепер коли ви одні, без ворогів і опонентів, ви можете продовжити пошук в самих різних кутах галактики. Та навіть, якщо це не дасть результату, то завжди є цілий Всесвіт! Ви впевнені, що тепер ви здобудете результат, якого ви так старанно шукали.
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Ваш пошук закінчився... поки що.#Ви розумієте, що те, що ви зробили мало статися рано чи пізно. Упертість вела до неминучої гибелі всіх тих, хто бачив у вас загрозу. І ця впертість незабаром перетворилась в сліпий гнів і ненависть. Ви захищали свій пошук, сподіваючись, що з часом вони заспокояться. Але ж їх божевілля привело їх до війни, яку вони вже не перемогли...#Але ж не все втрачено! Хоч ви не змогли знайти тих, кого шукали, ви знайшли собі союзників, які довели свою відданість в запалі бою. Ви, як ніколи, впевнені, що вони вважають вас своїм другом так само, як і ви їх. Ці дивні відносини ніколи не замінять ту унікальність яку ви шукали, але ж, швидше за все, свій пошук ви продовжите вже в інших галактиках. А поки можна і насолодитися тим миром і спокоєм, які ви здобули як для себе, так і для тих, хто називає вас другом.
GAME_OVER_COUNCIL_LOSS2           | Ваш пошук закінчився... поки що.#Це не той кінець, якого ви очікували чи бажали, коли вперше глянули на зірки в небесах. Ви шукали спорідненості в зірках, та, може, ви й знайшли союзників, яких поважали і яким довіряли, але ж ви також зустрічали тих мерзенних істот, що бачили в вас лише загрозу, яку вони й намагалися видалити. Та, на жаль, роки тому вони об'єдналися й обрали найстрахітливішого з себе Паном Нової Республіки.#Тепер ви впевнені, що майбутнє для вас буде не буде щасливим і що загроза повного знищення Клаконів є реальною... Ймовірно, сила усієї Галактики буде незабаром направлена на вас. Саме тому ви вже сховали деякі свої тіла по всій Галактиці. Може саме це врятує вас в майбутньому... Час покаже...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Ваш пошук закінчився... поки що.#Нова ера розпочалась для вас, бо [leader_name], ваш вічний союзник, буде вести Нову Республіку у славне майбутнє. Він не схожий на вас, але ж своїми діями він доказав, що йому можна довіряти. Тепер ви впевнені, що зможете продовжити ваш пошук, а, може, й здобудете допомогу. Хоч й ідея гармонічного співіснування таких різних істот може звучати абсурдно, ви сповнені оптимізмом про майбутнє.#Ви не можете не насолоджуватися ситуацією, що склалася: ви не дбали, чи... не розуміли політичних махінацій й маніпулювань, а відтепер вам це й не потрібно, бо коло вас буде союзник, який візьме на себе цей тягар. Насолоджуйтесь ж тою можливістю, яку це дає! Відновіть пошук й знайдіть істот, яких ви так старанно роками вже шукали! 
GAME_OVER_REBELLION_LOSS2         | Вас очікувала страшна доля.#Ви були одинокі тисячоліття тому, коли все розпочалось, і навіть зараз, у кінці, ви одні. Ви зустрічали багато дивних цивілізацій, але жодна з них була тими, кого ви шукали. Коли [leader_name] за допомогою "дипломатії" здобув собі місце правителя Нової Республіки, ви побачили загрозу свому пошуку, яку вам необхідно було видалити. Саме тому ви зробили найбільшу помилку у своєму житті: ви розпочали повстання, яке вам не дано було довести до перемоги.#Останні моменти життя вже зовсім скоро завершаться для вас. Вам залишається лише міркувати о тих істотах, що ви шукали й не знайшли, о тих союзниках, яких ви не здобули, та о тому майбутньому, яке могло вас очікувати в іншій реальності... Яка втрата... Яка погана доля...
GAME_OVER_REBELLION_WIN2          | Ваш пошук закінчився... поки що.#Всупереч вашим побажанням, ви не здобули ту повагу, яку очікували від інших. Галактика бачила в вас загрозу з самого початку, інші лідери навіть об'єдналися під керівництвом ксенофобної істоти, що кликала себе [leader_name] з однією ціллю - знищити вас. Хоч ви й бачили, що саме маніпуляція цього тирана створила вашу репутацію, ви розумієте і те, що співіснування с тими колишніми ворогами не є, та, може, ніколи не було можливим. Ви знищили їх, бо розуміли, що доки вони будуть існувати, ви ніколи не закінчите свій пошук.#Можливо, якби хтось з них подолав страх і параною, вони змогли б побачили правду. Але ж тепер це лише минуле, історія для тих, кого ви шукаєте та, може, нагадування про те, що дивні істоти можуть бути загрозою...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Ваш пошук закінчився... поки що.#Ви знали, що ідея Галактичної Ради приречена на провал, що тільки маніпуляції та політичний обман здобудуть місце Галактичного Правителя. І ви мали рацію, адже саме так все і сталося! Дивлячись в минуле, ви розумієте, що саме ваші дії привели вас до перемоги. Тепер ви також розумієте, що ваші союзники, які виступили проти того, хто кликав себе [leader_name], вам дуже допомогли та, може, були вирішальним фактором того, хто переможе, а хто програє.#Але вам і нема на що скаржитися, бо Нова Республіка не змогла протистояти моці ваших союзників під вашим керівництвом. Ви показали себе, як лідера, здатного вести як себе, так і інших у битву в палкий час війни. Ваші союзники тепер назавжди будуть відданими вам, згадуючи славу битв та те, що стає с тими, хто виступає проти вас...
GAME_OVER_COUNCIL_WIN2            | Ваш пошук прийшов до несподіваного кінця.#Пройшло багато років з тих часів, коли ви вперше вирушили зі своєї рідної планети у пошуках іншої унікальності, схожу на вас. Хоча ви ще не здійснили цю мрію, знання та дружба, які ви знайшли у цьому холодному космосі, довели вам, що інші цивілізації не настільки жахливі й підлі, як могло показатися спочатку. А доводили це вони діями. З перших зустрічей, вони допомагали у вашому пошуку, старанно будуючи відносини, які пізніше забезпечили вам місце господаря Нової Республіки.#Тепер ви вже не маєте бажання сліпо слідувати в той пошук, що почався роки тому. Хоч можливо й те, що ви колись знову почнете його, але у вас є як завдання, так і обов'язки перед тими, хто називає вас своїм другом. Ви вперше впевнені, що ви вже не самотні... 
GAME_OVER_COUNCIL_MILITARY_WIN2   | Ваш пошук прийшов до несподіваного кінця.#Нарешті, битви закінчились! Історія показала, що завжди є ті ксенофобні дурні, що протистоятимуть зміні, навіть, якщо вона позитивна. Колись, коли вас тільки обрали правителем Нової Республіки, ви об'єднали всі форми життя галактики в єдину державу. Але ж деякі з них сформували повстання, бо страх і ксенофобія управляли їх діями... Чи не розуміли вони, що їм доведеться виступити проти нової держави, міць якої ще ніхто і ніколи не бачив?! Чи не розуміли, що їх дії приведуть лише до хаосу та смерті?!#З часом, коли колишні території повстанців переходили до вас і ваших союзників, ви замислювались о том пошуку, який ви розпочали вже давно. Так! Ви не знайшли того, що ви колись шукали, та ви розумієте, що ви самотні у всьому Всесвіті. Але ж ви також бачите, що з такими союзниками поруч, ви вже ніколи не будете по-справжньому одні. 
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Вас очікувала страшна доля.#Ніхто не може звинуватити вас у вашій спробі об'єднати, як Галактику, так і народи в ній під вашим керівництвом. Деякі раділи вашому правлінню, але ж були й ті, хто намагався знищити вас та ваших союзників. Ті злодії й підняли повстання, яке пізніше виявиться занадто великою перешкодою для Нової Республіки. Протягом усього повстання вас завжди цікавило: невже ці ксенофоби не розуміють, що кращого кандидата в правителі годі й шукати? Невже не бачать, що вони ведуть за собою лише розруху?#Ви відчували смерть кожного свого тіла; ви відчували, що їх ставало все менше і менше з кожним днем ​​війни. Зовсім недавно ви були правителем найбільшого союзу в історії, тепер - лише одна істота, готова зустріти смерть. Зараз, як ніколи, ви один. Ви відчуваєте лише одне тіло під своїм контролем і назустріч йому йде армія. Що ж... Варто показати їм кігті навіть перед смертю!...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | the unerring single-mindedness of the Klackon
GAME_OVER_REBELLION_LOSS3         | the soulless hordes of the Klackon dominates
