// race-specific variables (must start with _)
_empire                           | Клан Мрршан, Клан Прршан, Клан М'яушан, Клан Кігтошан, Клан Каджан
GAME_OVER_REBELLION_WIN2          | Скарби цієї галактики належать тільки вам!#Колись, коли ви тільки починали організовувати свої перші набіги, коли ви тільки зустріли інші цивілізації, ви намагалися діяти дипломатично. Але ж з часом ви зрозуміли, що дипломатія неможлива з ними. Ваша горда культура не може співіснувати з тими, хто бачить в вас лише загрозу. Саме тоді ви вже готувалися до фінальної битви: ви знали, що вороги об'єднаються проти вас, що ви повинні бути готові до цього. Та саме так й сталося: імперії Галактики об'єдналися в союзі, який вони називали "Нова Республіка". Хоч і ніхто не назвав вас ворогом, ви розуміли, що визнавши їх владу, ви поставите свій народ в глухий кут, звідки йде лише деградація і знищення культури.#Ви поступили, як справжній Хан: ви безстрашно прокляли галактику, ви оголосили всім війну і повели своїх людей в битву. Ваша хитрість, майстерність та наполегливість в бою вели вас вперед. З ними ви здобували перемогу: колонії горіли, вороги вмирали, а скарби захоплювались. З лютістю дикої тварини, ви різали, рубали й знищували. А далі вже нема було чого знищувати, бо залишились лише ви. Дика лють у ваших жилах навіть зараз викликає бажання продовжувати, але ж ця битва завершена. Ви перемогли, ви здобули їх скарби... Але ж... Вам потрібно більше... Може за межами галактики знайдуться цілі для набігів?
GAME_OVER_REBEL_ALLIANCE_WIN2     | Скарби для вас та ваших союзників...#Рішення піти проти волі Нової Республіки і її лідера далося вам легко: ще з перших зустріч ви зрозуміли, що їх існування знищить культуру вашого народу та приведе його до нового жахливого життя. Чи можна звинувачувати вас за те, що сталося далі? Захищаючи інтереси своєї нації, ви знищили всіх тих, хто мав намір перешкодити вам. Як справжній лідер з легенд вашого стародавнього народу, ви діяли швидше, ніж інші могли передбачити, і перемагали з кожною битвою. Флот Ханства раз і назавжди довів свою перевагу над іншими в галактиці.#На даний момент складно сказати, наскільки сильно ваші союзники допомогли вам в отриманні перемоги, але ж можна з упевненістю сказати, що вони заслужили ті скарби, яки вони отримали. Тепер ви володієте усією галактикою: жодна з інших імперій не має шансу в битві проти вас, а ваш вплив дозволить вам утримувати владу при собі на століття уперед. 
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Ваші скарби будуть в безпеці...#Ви не здивовані, що вас не обрали лідером Нової Республіки. Ваші набіги й пошук скарбів несли повагу вашого народу, але з нею й жах інших. Хоч Галактична Рада не побачила вашої величі, майбутнє для вас оптимістичне: той, хто поважає Мрршан й бачить в вас союзника, отримав місце правителя Нової Республіки. Ще давно дипломати [leader_race_plural2] створювали союзи та налагоджували стосунки з різними імперіями. Але ніхто не знає чи діятимуть вони в інтересах галактики, чи їх цілі більш егоїстичні...#Одне лише залишається відомим напевно: за вашу допомогу, вас чекає милосердя. Уже зараз зрозуміло, що репарації, які вимагають ваші колишні вороги, не будуть виплачені. Але ж за це він вимагає припинення набігів. Чи це занадто велика ціна за життя в розкоші?
GAME_OVER_COUNCIL_WIN2            | Усі скарби цієї галактики тепер належать тільки вам...#Нарешті настав найвеличніший день в історії вашого народу: Золотий Хан Клану Мрршан став першим Майстром Нової Республіки! Ще у далекому минулому ваш народ здобув собі репутацію рейдерів та завойовників. Ця жахлива репутація допомагала вам селити страх в серця ваших ворогів. Та саме вона й допомагала вам досягати усього, чого ви бажали. Ви здобули собі найвищий трон, а з ним і усі скарби ваших нових васалів. Тепер вам залишається лише насолоджуватися тією владою, яку ви створили.#З цього дня всі імперії Нової Республіки будуть платити вам данину, яку ви будете використовувати для збільшення контролю над системами й будування міцного флоту Мрршан. А, якщо хтось й буде досить дурним, щоб атакувати вас, він відчуває ваш гнів, який і знищить його. Галактика буде завжди належати Мрршанам, а ви будете її Паном до самого кінця часів. Слава Золотому Хану! Слава новому віку!
GAME_OVER_COUNCIL_MILITARY_WIN2   | Скарби для вас та ваших союзників...#Тепер ваше славне правління може по-справжньому початися. Легендарна доблесть вашого народу на полі бою та історії про страшенні набіги, які ви здійснили, призвели до того, що ви стали господарем Нової Республіки. Але ж, наперекір репутації, яку ви створювали роками, були й дурні, що вважали себе кращими за вас: ті, хто кинув вам виклик, але не здобув перемоги. Ті, кого ви знищили й ті кого ви будете ставити у приклад того, що трапляється з тими, хто заважатиме новому правителю Нової Республіки.#Але для справедливості варто сказати, що ця перемога дісталася вам легко: ваші вороги не змогли організувати ефективний опір. Та тепер ви впевнені, що з ними загинули всі ті, хто міг наважитися воювати з вами. Бо залишилися тільки лояльні та боягузливі. З ними ви підете у набіги в сусідні Галактики. Та, може, якщо вони діятимуть сприятливо, ви поділитеся частиною майбутніх скарбів. Хай ваша добич тремтить від страху, очікуючи свою долю! Хай ваші набіги принесуть вам ще більш слави й трофеїв! 
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Ваші скарби отримають інші істоти...#Хоча спочатку вам вдалося використати страх, щоб придушити інакомислення своїх суперників і стати паном Нової Республіки, були й ті, хто вважалися надто гордими й сміливими, щоб підкоритися вашій волі. Саме вони й організували повстання, яке знищило, як вас, так і усіх ваших васалів. Ймовірно, ви були надто впевнені в силі Кланів й Нової Республіки. Може, та гордівливість і привела до помилок, якими вони й користувались, щоб знищити вас.#Зараз, як ніколи, ви думаєте про ту повагу, яку ви відчуваєте до нахабних переможців. Може, якби ця поразка не була кінцем, як для всього твого народу, так і для усіх скарбів, яки ви здобули, ви б дійшли до якогось порозуміння. Але ж найголовніша ваша думка зараз про все те, що ви могли зробити, щоб змінити це жахливе майбутнє. Так! Ви розумієте, що лише ви винні в тому, що трапилося. Ви впевнені, що в альтернативній вселеній, ви здобули перемогу. Так!.. Але ця думка не заспокоює...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | the insatiable greed of the Mrrshan engulfs
GAME_OVER_REBELLION_LOSS3         | the treasure lust of the Mrrshan
