// race-specific variables (must start with _)
_empire                           | Домініон Меклар, Домініон Механар, Домініон Кібернар, Домініон Діджитар, Домініон Теклар
	MAIN_ADVISOR_RESIST_COUNCIL       | Нового лідера Галактичної Ради зазначено як загрозу цілям Домініону. Необхідна мобілізація для видалення Загрози 10 Рівня.
	MAIN_ADVISOR_COUNCIL_RESISTED     | Зафіксовано повстання, організоване ворогами Домініону. Для поширення впливу Меклар необхідне військове втручання.

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Вам болісно нагадали про смертність вашого народу...#Ви прагнули безсмертя, але ж ваша мрія лежить в руїнах, як і та цивілізація, яка формувала її. Ваша мета вимагала співіснування з іншими державами, але ж їх агресія несла лише деградацію й руйнування. Складно сказати, що саме мотивувало їх діями: чи той геноцид - результат страху? Чи, може, їх цілі вимагали вашої жертви? А, може, вони лише зробили це без причини, через ненависть до того, що ви будували?#Можливо, в іншій реальності, ваш народ знайшов би того безсмертя, якого так довго шукав, і перетворився б на тих, хто міг би відчути радість вічного життя. І в тій вічності, в тій реальності, де час більше не є їхнім господарем, Меклари розкрили б таємниці Всесвіту та самого існування. Однак, у цій реальності Меклар більше не існує, а Мейнфрейм, що завжди давав поради мудрецям, лежить розбитий в глибині Меклона...
GAME_OVER_MILITARY_WIN2           | Немає перешкод пошуку безсмертя!#Колись ви розпочали пошук секретів Всесвіту, бо ваші директиви вели вас у космос. Але ж ви зустріли змінні у вигляді інших рас. Спочатку ви прагнули мирного співіснування, але ж пізніше вони показали себе, як загрозу. Мейнфрейм указав, що мета Меклар не буде здійснена, доки інші раси існують в Галактиці. Перед вами постав складний вибір та також ще складніша його реалізація... Ви почали мобілізацію планет: кожен Меклар був готовий віддати життя за безсмертя свого народу. І зовсім скоро вороги впали один за іншим, доки не залишилися лише ви.#Не маючи суперників, які б відволікали вас чи заважали вашому пошуку, ви можете досягти своєї кінцевої мети! Ви багато зробили, щоб досягти того, що ви маєте зараз. Зовсім скоро кожен куток в Галактиці буде під вашим контролем. А далі в вас буде достатньо ресурсів, щоб виконати мрію свого народу, до якої ви так старанно шли...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Пошук безсмертя можна продовжити...#"Що змусило цих істот вести війну проти нашого народу?" Зараз мейнфрейм не має відповіді на це питання. Варварство тих, хто своїми діями змусив вас знищити їх, не було логічним. До кінця часів Меклари з усіх частин галактики міркуватимуть, чому вони діяли саме так... Але ж, на щастя, були й ті, хто довів що біологічні істоти можуть бути надійними й доброзичливими. Ці істоти допомагали вам з самого початку і заслужили титул союзників. Вони завжди будуть стояти поруч Меклар, як ті, хто заслужив довіру.#Попереду на вас чекає пошук, де ніхто вам більше не заважатиме. Можливо, коли ви знайдете те, що ви шукали, ви поділитесь секретами з тими, хто вам колись допоміг. Але це лише час покаже, а поки насолоджуйтеся миром і спокоєм золотого віку Меклар і його союзників, Верховний Арбітре.
GAME_OVER_COUNCIL_LOSS2           | Ваш пошук зараз під загрозою...#Ваши суперники знищили ваші плани, але вони цього й не знають... Хоч і ідея створення Нової Республіки об'єднаних сил Галактики була раціональним рішенням, в її реалізації були перешкоди й змінні, які привели до катастрофічних результатів. Бюрократія Нової Республіки знищила ймовірність знаходження безсмертя вашим народом майже до нуля, а обмеження нового правління зменшує можливості Меклар на %Х,*%@ процентів. Тепер основна загроза для вас - це гнів усієї Галактики, бо ваша кожна дія буде розглядатися, як негативна.#Це упереджене ставлення пов'язано з тим, що правителем цієї організації обрали представника [leader_race_plural2], який бачить в вас лише жах. Саме тому, кожна ваша рішення чи слово відтепер може привести до повного вимирання виду Меклар. Залишайтеся пильними, Верховний Арбітре. Може, колись, у далекому майбутньому з'явиться можливість звільнити свій народ від тиранії та, може, знову почати пошук безсмертя...
GAME_OVER_REBELLION_LOSS2         | Вам болісно нагадали про смертність вашого народу...#Несправедливість, яка спіткала ваш народ, не може бути описана ніяк, крім як трагедія тисячоліття... Ви ще не бачили настільки грубу помилку з боку Мейнфрейму: колись в минулому, він визначив, що боротьба проти правління [leader_race_plural2] приведе до перемоги Меклар та, у майбутньому, до безсмертя усього народу. Проте ж сила об'єднаної Нової Республіки була занадто величезна для подолання. Але ж... Ви не сумніваєтеся, що доля, яка спіткала вас сьогодні, краща за ту, яка вас чекала б при правлінні того лиходія.#Ви впевнені, що ваші дії були логічними й обґрунтованими, хоч і не привели до бажаного результату. Тепер же ви здобули безсмертя в історії: вас запам'ятають, як того, хто протистояв Галактиці, але не переміг. І може в недалекому майбутньому один із ваших ворогів здобуде той секрет справжнього безсмертя...
GAME_OVER_REBELLION_WIN2          | Немає перешкод пошуку безсмертя!#Меклари вважають, що Мейнфрейм забезпечив вас інформацією, яка привела вас до перемоги, але ж ви впевнені, що цьому повстання було призначено долею перемогти. Ви, як Верховний Арбітр, здобували свому народу все те, що було необхідно для знаходження відповіді на найважливіше питання: "Як здобути безсмертя?". Саме тому, коли представник [leader_race_plural2] узурпував всю владу Нової Республіки, ви знали, що треба зробити: ви виступили проти усієї Галактики. Вас називали дурнем, але ж ви розуміли, що перемога - єдиний можливий результат.#Тепер в Галактиці нема вже тих, хто заважатиме вам. Нема і тих, хто гальмував би вас, як паразит. Знання ваших суперників будуть проаналізовані, а їх колишні планети стерилізовані та колонізовані. Нова епоха для Меклар вже почалась, а ви її двигун...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Пошук безсмертя можна продовжити...#Ви та ваші союзники змінили хід історії! Коли злісна і злобна раса [leader_race_plural2] захопила владу в Новій Республіці, ви зрозуміли, що ваш народ перебуває в небезпеці. Організував свої флоти, ви розпочали повстання, де ви очікували бути у війні з усією Галактикою. Але ж ваші союзники, дружба з якими загартована часом, також бачили загрозу [leader_race_plural2] і приєдналися до вас. Ще тоді ви зрозуміли, що перемога не за горами.#Об'єднав свої сили, ви розчавили Нову Республіку та почали будувати своє майбутнє. Разом ви здобули перемогу, разом ви й будете існувати до кінця часів. Ви впевнені, що це співіснування між вами буде корисним для вас обох і вже зовсім скоро ви знайдете секрет безсмертя не лише для народу Меклар, а й для їх союзників... Але ж це лише, якщо вони готові до миру та процвітання...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Невелика перешкода, а пошук триває...#Мало хто міг сподіватися зрозуміти, наскільки глибоко ваш народ прагне досягти безсмертя. З тих часів, як ви вперше вирушили в подорож серед зірок, ви познайомилися з іншими цивілізаціями, здатними до космічного польоту. І хоч більшість з них бачила в вас загрозу, яку вони хотіли ліквідувати, були й винятки. Так, наприклад, [leader_race_plural] ставились до вас з повагою та розумінням. І з часом, коли вони здобули собі місце Правителя Нової Республіки, настав час миру та спокою й для всіх Меклар Галактики.#Завдяки ретельній дипломатії та приховуванню своїх намірів ви здобули гармонійні стосунки з новим правителем галактики, які забезпечать не тільки майбутнє цивілізації Меклар, але й майбутнє ваших пошуків. А Мейнфрейм буде підтримувати цю гармонію до кінця часів, поки ви продовжуєте свій пошук...
GAME_OVER_COUNCIL_WIN2            | Немає перешкод пошуку безсмертя!#Меклари тепер володіють галактикою! Рішучість вашого народу завжди вела вас вперед. І саме ця рішучість привела їх до правління й можливості формувати майбутнє не лише для себе, але й для інших істот Галактики! Ваша мета завжди була найголовнішою для вас, але ж тепер, з ресурсами усієї Нової Республіки, ви зовсім скоро досягнете результату, якого прагнули вже століття.#Вчені усієї Галактики будуть використані для розкриття таємниць, які приведуть до вічного життя вашого народу. Навіть найагресивніші з ваших колишніх суперників будуть змушені покоритися під загрозою вашої сили. Нова епоха почалася для Меклар під керівництвом Мейнфрейму. Тепер ви впевнені, що безсмертя зовсім скоро буде неминуче!
GAME_OVER_COUNCIL_MILITARY_WIN2   | Немає перешкод пошуку безсмертя!#Нарешті ця нікчемна дипломатія підходить до кінця. Ви занадто довго були змушені терпіти монотонність боротьби з меншими видами та їх тривіальними мотивами. Ви сподівалися, що ваша коронація Майстром Нової Республіки дозволить вам витрачати менше часу на дрібні конфлікти та більше часу на пошук безсмертя. Але ж це лише об'єднало ваших ворогів, які кинули виклик міці об'єднаної Нової Республіки. На щастя, це об'єднання лише зробило з них мішень, знищення якої було тривіальним.#Серії направлених цілеспрямованих ударів привели до дезорганізації ворогів та їх подальшому видаленню. З кожною знищенною колонію ви доводили, що саме ви робите с тими, хто протистоїть волі Мейнфрейму. Лише тепер ви можете зосередитись на своїх пошуках. Нехай ваші союзники роблять, що вони хочуть. Ви зовсім скоро станете безсмертним і вас не турбуватимуть справи мізерних істот!
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Вам болісно нагадали про смертність вашого народу...#Події, які привели вас до цього моменту, були настільки непередбачуваними, що навіть Мейнфрейм не передбачив цей результат. Кожен крок вашого плану проходив так, як він повинен був, від вашого сприятливого дипломатичного становища серед імперій галактики до того, як вам було надано місце Майстра Нової Республіки. Вас не здивувало Дисидентство ваших ворогів - це був ймовірний результат. Але ж ви не передбачили дезорганізованість держав Нової Республіки та силу ворогів.#Їх агресивні атаки заганяли вас в глухий кут, а коли ви все ж таки організували сили Імперій союзників... цього було недостатньо. Вже тоді ви були безсилі у захисту себе й свого народу. Вже тоді ви бачили, як знищувались флоти, захоплювались колонії й вмирали Меклари. Вже тоді ви знали, що настав кінець...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | the mechanical precision of the Meklar engulfs
GAME_OVER_REBELLION_LOSS3         | the cold callousness of the Meklar
