// race-specific variables (must start with _)
_empire                           | Тріумвірат Людей, Тріумвірат Терран, Тріумвірат Теллан, Тріумвірат Прайманів, Тріумвірат Мідгардів
GAME_OVER_COUNCIL_LOSS2           | Ваші найкращі плани не привели вас до перемоги.#Це мав бути час радості для людства - рішучою дипломатичною перемогою, яка забезпечила б його владу над усіма іншими імперіями в галактиці. Натомість ваші плани порушив узурпатор, чиї дипломати були хитрішими та більш харизматичними за наших. Невже ті, кого ви колись називали союзниками, не бачать в ньому того, що ви побачили вже давно? Немає сумнівів, що вся ваша робота, спрямована на створення союзів, незабаром обернеться проти вас, оскільки він систематично переконує інших, що він один є їх справжнім союзником і що ваші слова були лише оманливою отрутою, яка спрямована лише на маніпуляцію іншими.#Може, сьогодні ви й забезпечили виживання людства, але відтепер кожна ваша помилка може занурити ваш народ у війну, з якої він не вийде переможцем. І кожна така помилка може стати початком кінця...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Ваші найкращі плани забезпечили виживання людства.#Хоча й, можливо, інші рішення могли привести вас до керівництва Новою Республікою, ніхто не може заперечити, що результат не є менш сприятливим для Тріумвірату. Ваш міцний союз з [leader_race_plural5] гарантує безпеку людству на наступні століття. Ви бачили на що вони здатні й, як найближчий радник Майстра Нової Республіки, саме ви забезпечите  відповідність його дій з вашими бажаннями.#Врешті-решт, люди завжди майстерно маніпулювали тими, хто знаходився коло них. І, може, в ці складні для галактики часи, краще бути радником, ніж Майстром. Хто знає? Може, через декілька десятиліть ваша влада буде кращою і більшою, а ваш народ буде жити у віку процвітання й безтурботності...
GAME_OVER_REBELLION_LOSS2         | Ваші найкращі плани були назавжди зруйновані.#Будь то недолік чи просто якість вашого народу, він завжди повставав проти тих, хто наважувався створювати тиранію, проти тих злодіїв, що загарбували владу й душили вільний дух людства. Можливо, доля, що досі самовіддано оберігала людей, зрадила вас? Може, історія падіння настільки великої цивілізації є лише космічним жартом, який ви вже не зрозумієте? Але ж у вас нема відповіді... Чому саме представник [leader_race_plural2], ваш ворог, був обраний правителем Нової Республіки? Невже у вас не було шансів перемогти?..#А Всесвіт мовчить. Мовчить, бо не має відповідей або просто не вважає за потрібне відповісти?.. ... ... Це вже не важливо. Так! Ви можете його ненавидить, кричати про страхітливу ​​долю вашого народу, але ж те, що звершилось, вже не виправити: люди намагалися знищити тиранію, але ж лише здобули собі найжахливіший кінець...
GAME_OVER_REBELLION_WIN2          | Ваші найкращі плани, нарешті, втілилися в життя!#Ваші вороги, ймовірно, вважали, що ви кидали слова на вітер, коли ви не визнали їх лідерство, назвали їх загрозою галактики й надалі оголосили війну. Зараз ті, хто колись вважали вас некомпетентним лідером, - мертві, а все, що колись було їхнім, - ваше. Лише тепер ви розумієте, що ті спроби дипломатії та поліпшень відносин були марними. Хоча й можливо те, що це дало вам час на посилення флоту і створило вам той імідж, який змусив їх втратити пильність...#Ідея антидемократичної Нової Республіки назавжди увійшла в аннали історії разом з тими, хто її так сильно просував! Ви не тільки знищили зовнішні загрози, але й своєю сміливістю та силою довели іншим двом тріумвірам, що ви єдиний гідний правитель. Вони ж були змушені з вами погодитися. Зовсім скоро настане коронація, Імператоре [player_name], після якої ви будете наймогутнішою людиною в історії людства!
GAME_OVER_REBEL_ALLIANCE_WIN2     | Ваші найкращі плани, нарешті, втілилися в життя!#"Миру не може бути, поки воля людства ігнорується". Цю фразу ви виголосили колишній Галактичній раді, коли вона вас зрадила, а повторили вже коли здобули перемогу. Саме вона натхнула ваших союзників приєднатися до боротьби з тиранією. Хтось може назвати ту дипломатичність, яку ми проявляли, марною, але ви довели, що навіть під час війни майже необхідно мати тих, на кого можна положитися. Тепер ви оточені тими, хто колись сміливо приєднався до вас, щоб побачити ваше очолення Галактики.#Багато хто переказуватиме велику історію спорідненості різних видів серед зірок. Ця історія буде сповнена героїзмом, сміливістю та перемогою справедливості. Нащадки будуть бачити в ній важливість дружби навіть таких різних народів, які відтепер братимуть рівну участь у будуванні майбутнього для цієї галактики. Ще вчора ви знищили Нову Республіку, а вже сьогодні ви будуєте щось більше і краще. Насолоджуйтесь миром, Тріумвіре. Ви це заслужили!
GAME_OVER_COUNCIL_WIN2            | Ваші найкращі плани, нарешті, втілилися в життя!#Роки тому ви почали реалізацію найбільшого плану в історії людства. Він вимагав неймовірної майстерності в дипломатії. Але ви все ж таки здобули те, що колись деякі вважали неможливим - об'єднання різних цивілізацій з різними цілями й мотивам у єдину республіку під вашим керівництвом. Цей шлях був складний, але ж з результатом не сперечаються. Бо вже сьогодні ви очолюєте найбільший альянс в історії Всесвіту, і немає тих, хто був би проти цього.#Вас запам'ятають, як першого правителя Нової Республіки, неперевершеного дипломата, харизма якого будувала союзи, які ніхто не міг знищити, і, взагалі, легендарного лідера. Відтепер і назавжди ви - легенда. І до тих пір, поки ви будете існувати, люди всієї галактики будуть жити утопією в гармонії з усіма тими, хто допоміг їм її побудувати...
GAME_OVER_COUNCIL_MILITARY_WIN2   | Ваші найкращі плани, нарешті, втілилися в життя!#Тріумвіре! Ви здобули перемогу, але ж не для себе, а для свого народу. Ваші політичні махінації зробили вас господарем майбутнього цієї галактики. Людство було в шоку, дізнавшись, що є хтось, хто підніме повстання проти нашого правління. Але решта галактики стояла єдиною за вами, гордо проголошуючи вас їхнім лідером. І хоч були й ті, хто віддав життя у боротьбі проти несправедливого бунтарства, ця жертва привела Нову Республіку в нову еру процвітання та миру.#Так, ще багато роботи необхідно зробити, щоб перетворити галактику в ту утопію, про яку завжди мріяв ваш народ. Але навіть зараз ви розумієте, що ця задача ближче до виконання, ніж здається. Пишайтеся досягнутим, Тріумвіре, і радійте, що досягли відданості таких різних народів. Настав час відпочивати, але варто розуміти, що ваші дипломатичні навички ще випробуватимуть у майбутньому...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Ваші найкращі плани були назавжди зруйновані.#Складно сказати, яка помилка привела вас сюди, правителю колишньої Нової Республіки. Чи ви переоцінили ваших союзників? Чи може недооцінили ваших супротивників? І найголовніше: чи важливо це? Адже цю помилку не виправити, а її результат призвів до смерті, як людства, так і її союзників. Формування повстання здивувало небагатьох: завжди були ті, хто протистоятимуть демократії, але ж мало хто міг передбачити, що воно може перетворитися в таку велику проблему. Рішучі дії агресорів знищували дезорганізовані сили Нової Республіки, і зовсім скоро ви чекали на неминучий кінець.#Повстання переможе, і Тріумвірат та його союзники загинуть разом із тією Новою Республікою, яку ви так старанно будували. Ці повстанці зовсім скоро визначать напрямок, до якого рухатиметься галактика з цього дня. Кажуть, що історію пишуть переможці. Саме вони визначать, як вас і ваших союзників запам'ятають...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | the masterful diplomacy of the Humans
GAME_OVER_REBELLION_LOSS3         | the nefarious scheming of the Humans grips
