// 第1次校對：2021.12.18
// race-specific variables (must start with _)
_empire                           | 蜥蜴王國, 爬行王國, 索拉王國, 拉普託王國, 提拉那王國
GAME_OVER_COUNCIL_LOSS2           | 所有世界的命運都已終結……#你敵對帝國的陰謀導致了你的失敗。當你在整個銀河系中完善每個行星的生態系統時，你不可避免地會發現有的世界遙不可及，它們在其他文明的手中。通過外交和政治操縱，你當然能夠獲得拯救這些行星環境的能力，即使它們仍處於外星力量的控制之下，至少你是這麼想的。#現在星際委員會已經解散，在[leader_empire]的領導下重組爲新共和國。如果你無法說服其他帝國看到你的智慧，無疑會讓你和你拼命想要拯救的世界付出代價。你只能希望新領導人對你的人民仁慈。不僅僅是爲了他們，也是爲了銀河系中的每一顆行星……

GAME_OVER_REBELLION_LOSS2         | 所有世界的命運都已終結……#你的堅韌和理想主義讓你走到了這一步。你的敵人粉碎了你的軍隊，並對你的世界做了迄今爲止無法想象的惡行。曾經，你認爲通過玩他們的政治遊戲，你將能夠影響他們的想法，使其更符合你的理念。但是當邪惡的[leader_race]種族控制了新共和國時，你知道和平談判將變得不可能。作爲生態平衡的擁護者，你們的人民發誓要拿起武器來防止銀河系中的行星受到虐待，你們準備爲此而死。#現在，你們已經失敗了：你們的世界已經被征服，你們花費數代建立的偉大工程正在被毀滅。你的人民被迫撤退，在他們最後的堡壘中進行最後的抵抗，他們在那裏爲捍衛你的理想而死。作爲生態平衡最熱心的信徒，你們的滅絕不僅是你們人民的重大損失，也是整個銀河系的損失……

GAME_OVER_REBELLION_WIN2          | 世界的救贖就在眼前！#這是屬於蜥蜴王國的時刻！你已經克服了在建立星際帝國時所面臨的每一個障礙，永遠不要忘記你的首要職責：保護每一個世界獨一無二的自然光彩。任何膽敢反對你的人，很快就發現了自己的愚蠢。當[leader_race]種族被授予新共和國的領導權時，你決定以最直接的方式向整個銀河系展示他們的選擇是多麼錯誤。#現在再也沒有反對你意志的敵人，也沒有能夠傷害你所保護的行星的傻瓜。你的人民可以花時間尋找解決每個世界生態難題的方法。當所有星系在你的指導下實現完美的自然和諧時，你將準備好將其他星系的世界也置於你的保護之下。蜥蜴王國萬歲！

GAME_OVER_REBEL_ALLIANCE_WIN2     | 世界的救贖就在眼前！#如果說這一系列事件只是讓人驚訝的，那還遠遠不夠。起初，帝國間的爭端似乎可以用和平的方式解決。然而，當星際委員會選擇另一個種族來領導新共和國時，你知道除了戰爭之外別無選擇。你舉起了反抗新共和國的旗幟，爲銀河系的命運做出了犧牲。#出乎意料的是，你發現其他人願意加入你的事業，將銀河系從不光彩的壓迫中解放出來。事實證明，與你們並肩作戰的人和你們的人民一樣頑強，你們一起消滅了錯誤的統治者，併爲銀河系開啓了一個新的未來。在這個新的未來裏，所有行星的福祉將成爲最重要的問題。如果你的盟友決定在未來脫離這個方向，你已經擁有如何有效應對他們戰術和戰略的知識。每個星球都將在你的管理下發揮其潛力，這確實令人欣喜若狂……

GAME_OVER_COUNCIL_ALLIANCE_WIN2   | 世界的救贖就在眼前……#這確實是你在當前情況下所希望的最好結果。從你第一次與其他帝國的相遇開始，你就知道他們有各種缺點，這會阻止它們看到你哲學中的真相。你決定在你的人民和[leader_race]種族之間架起橋樑，將他們推向對你的計劃有利的位置。現在，他們坐在新共和國的寶座上，作爲他們最親密的知己，蜥蜴族隨時準備收穫他們給予的回報。#你將繼續影響[leader_race]盟友，以確保共和國中每個世界的環境得到保護。如果一個更頑固的帝國試圖阻礙你的意志，你完全有信心能夠對付它們。這就是你與[leader_race]種族之間紐帶的力量，這將是你確保行星維持安全的方式……

GAME_OVER_COUNCIL_WIN2            | 世界的救贖就在眼前！#你們已經實現了你們的人民從他們第一次進入宇宙以來所向往的勝利。事實證明，你們遇到了許多具有奇妙生態的陌生世界，這是你們碰到的挑戰。駕馭外交事務對你來說是一項更加微妙的任務，你的智慧可以被用於解決更重要的問題。最終你站在了表示最高權威的位置上：你現在是新共和國的主人。#利用你的職位，你將確保銀河系中的每個星球都得到尊重和謹慎的對待。如果共和國內的任何帝國在追求自己微薄的目標時違背這一鐵律，你可以使用一支銀河軍隊來確保他們意識到錯誤。當各個世界被完善後，你將面臨一個新的未來：探索其他星系並將你的哲學帶到其他世界。最高長官，你的工作纔剛剛開始……

GAME_OVER_COUNCIL_MILITARY_WIN2   | 世界的救贖就在眼前！#雖然並非沒有挫折，但你想要塑造銀河系的意志並沒有遭到真正的挑戰。成爲新共和國的主人對你來說是不小的壯舉，你適應了敵對的帝國和他們的陰謀詭計。當共和國的一些誤入歧途的成員決定煽動叛亂以維護他們摧毀自己世界的嗜好時，你很快就得出結論：他們必須被消滅。 #現在反叛者已被鎮壓，併成爲那些試圖將個人願望置於星球福祉之上的人的榜樣。叛軍能夠以一種你沒有預見到的方式讓自己變得有用：銀河系的各個帝國團結了起來，只爲對抗一個共同的敵人，他們現在在共同勝利的光芒中沐浴着你的意志，變得更加服從。現在是你推進你的計劃的時候了，不管那些屈從於你的人是否能夠理解，內心深處你知道銀河系會感謝你……

GAME_OVER_COUNCIL_MILITARY_LOSS2  | 所有世界的命運都已終結……#新共和國尚未成熟之時，災難就已經襲擊了它。你的智慧和你對環境的熱愛傳遍銀河系，當銀河系選擇統一在一個旗幟下時，你理所當然地成爲了最高領導人。但在登上這個新的寶座後不久，叛亂開始滋長並壯大。你和被你領導的人相信，憑藉你們的人數和實力，這會是一場輕鬆的勝利。這種自滿似乎最終導致了你們的失敗。#那些反抗你的人對他們的能力充滿信心，你的帝國在你身邊崩潰。現在整個新共和國已經潰敗，它的每支艦隊都被摧毀，它的每一個世界都被那些不計代價爲自己尋求權力的人所征服。叛軍現在將帶領銀河系進入新的未來，不管這個未來多麼扭曲。在生命的最後一刻，你只希望他們能向被征服的行星展示他們最終拒絕給予你的憐憫……


// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | 蜥蜴族對環境的熱忱
GAME_OVER_REBELLION_LOSS3         | 蜥蜴族不屈的動力控制了
