// race-specific variables (must start with _)
_empire                           | Meklonar Dominion, Mechanar Dominion, Cybernar Dominion, Digitar Dominion, Technar Dominion
MAIN_ADVISOR_REBELLION            | Warnung. Schurkenprogramm infiziert Kolonie auf %1. Muss mit der Ausrottung der betroffenen Meklonar beginnen, um die Solidarität des Dominion zu gewährleisten. 
MAIN_ADVISOR_RESIST_COUNCIL       | Neuer Führer des Galaktischen Rates als Bedrohung für die Ziele des Dominion erkannt. Mobilisieren Sie alle Kräfte, um den Anführer und seine Verbündeten zu eliminieren.
MAIN_ADVISOR_COUNCIL_RESISTED     | Rebellion durch feindliche Spezies schlecht gewählt. Das Dominion regiert nun die bekannte Galaxie. Schicken Sie alle Flotten aus, um Andersdenkende zum Schweigen zu bringen. 

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Schmerzlich erinnert an die Grenzen Ihrer Sterblichkeit...#Ihr Traum liegt ebenso unerfüllt wie Ihre Zivilisation in Trümmern. Die außerirdischen Lebensformen, aus denen Ihre rivalisierenden Imperien bestanden, hatten eine Macht, die Sie trotz Ihrer unüberwindlich überlegenen Biotechnologie nicht erreichen konnten. Trotz Ihrer wiederholten Beteuerungen, dass Ihr Volk nichts weiter wollte, als bei seiner Suche nach lebensverlängernder Technologie in Ruhe gelassen zu werden, taten genau diese Rivalen alles, was sie konnten, um Ihre Ambitionen auf Schritt und Tritt zu vereiteln. Vielleicht taten sie es aus Furcht, vielleicht taten sie es aus Spaß, vielleicht taten sie es aus gar keinem Grund: was auch immer der Grund war, sie entschieden sich, sich Ihnen zu widersetzen, und nun ist Ihr Volk für immer verloren... In einer anderen Zeit, in einer anderen Realität hätte Ihr Volk die Unsterblichkeit gefunden, die es suchte, und wäre ein Volk geworden, das die Freude des gemeinsamen ewigen Lebens erfahren könnte. Und in dieser Ewigkeit, in dieser Realität, in der die Zeit nicht mehr ihr Herr war, hätten die Meklonar die Geheimnisse des Universums und der Existenz selbst entschlüsselt. In dieser Realität jedoch gibt es die Meklonar nicht mehr, und der Mainframe liegt zerbrochen in den Tiefen von Meklon, um nie wieder weise Ratschläge zu geben...
GAME_OVER_MILITARY_WIN2           | Keine weiteren Hindernisse auf dem Weg zur Unsterblichkeit!#Alles, was Ihr Volk sich wünschte, war, in Ruhe gelassen zu werden, um seine Träume vom ewigen Leben zu verfolgen. Seit Jahrhunderten, als die Nutzung mechanischer Körper begann, war dieser einzige treibende Faktor das Herzstück der Meklonar-Zivilisation. Aber dem Mainframe wurde klar, dass diese seltsamen und begrenzten Lebensformen, denen Sie auf Ihrer Suche durch die Galaxie begegneten, eine Bedrohung dafür darstellten, dass Ihr Volk das erreichen konnte, was es vor so langer Zeit ins All trieb. Wann immer eine Entscheidung für einen Krieg getroffen wurde, mobilisierte Ihr Militär ohne zu zögern und schlug Ihre Feinde einen nach dem anderen nieder, bis nun keiner mehr übrig ist.#Ohne Rivalen, die Sie ablenken oder Wissen aufdecken, das Sie für sich behalten wollen, sind Sie nun frei, Ihr ultimatives Ziel zu erreichen, wie Sie es für richtig halten. Diese ganze Galaxie ist voller Ressourcen, die es Ihnen ermöglichen werden, die Antwort zu finden, die Sie suchen, während Sie Ihre Zivilisation in jeden Winkel ausbreiten, um Ihren Traum zu verwirklichen. Und wenn Ihr Volk endlich vollendet hat, was es sich vor so langer Zeit vorgenommen hat, werden diese ganze Galaxie und ihre Früchte für immer Ihnen gehören...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Nachdem Ihre Feinde eliminiert sind, können Sie sich nun auf die Unsterblichkeit konzentrieren...#"Was hat diese Kreaturen dazu getrieben, Krieg gegen unser Volk zu führen?" Das ist die Frage, mit der sich der Mainframe nun beschäftigt. Denn er und alle Denker der Meklonar sind verwirrt darüber, warum scheinbar intelligente Kreaturen so voreilig handeln und ihren unvermeidlichen Tod beschleunigen, indem sie gegen euer Volk und seine Armeen angreifen. Und wie von der überlegenen Intelligenz, die eure Gesellschaft beherrscht, vorhergesagt, fielen auch sie. Glücklicherweise waren nicht alle so töricht, zu glauben, sie könnten euch davon abhalten, eure Ziele der Unsterblichkeit zu erreichen. Sie waren in der Lage, Verbündete zu finden und zu halten, die Sie in Ihren Kriegen unterstützten und den Untergang Ihrer Feinde noch unausweichlicher machten. Du bist glücklich, die Ressourcen und die Geheimnisse dieser Galaxie mit denen zu teilen, die sie verdient haben, indem sie an deiner Seite kämpften, und wenn der Tag kommt, an dem dein Volk sein Ziel des ewigen Lebens erreicht, wirst du vielleicht glücklich sein, auch das mit deinen Verbündeten zu teilen. Vielleicht...
GAME_OVER_COUNCIL_LOSS2           | Your quest now lies in jeopardy...#Your rivals have thwarted you without even knowing they have done so. Creating a unified republic of interstellar empires and marching to the future together under one banner was the most logical way to secure peace throughout the galaxy. But the likelihood that your people will be able to discover the key to true immortality has been shrunk to near zero, as the bindings of bureaucracy will now certainly hamstring any progress you make. Where once you had the option of simply eliminating a species that insisted on making itself an obstacle, you dare not do so now and risk bringing the wrath of the entire galaxy upon you.#Worse than that, the entire survival of your people now hangs on your standing with the %6 race, who have become the elected leaders of this New Republic. Any move you make that angers them will doubtlessly complicate your schemes. Where a minor insult may result in your freedoms of movement and information being stymied throughout the Republic's territory, raising their ire enough will surely spell extinction for you and your people...
GAME_OVER_REBELLION_LOSS2         | Painfully reminded of the limits of your mortality...#It is the gravest of injustices that your people must now endure their extinction. The Mainframe, wise beyond all levels of understanding and possessing intelligence beyond measure, had determined that the ascension of the %6 race as the rulers of the New Republic would deny the Meklonar the ability to ever fulfill their ultimate goal. To prevent this, you were ordered to stage an open revolt against the entire galaxy to protect your future. Even though the Mainframe gave you no uncertainty that the outcome was likely extinction, this was a preferable fate to a future under the heel of your new masters. #Now the only immortality the Meklonar will ever have is that which is given to those who are recorded in history. Your knowledge and your technology will be open for all to see and to use for their own purposes, and in the future even one of your formal rivals may succeed where you have failed and unlock the secrets of immortality...
GAME_OVER_REBELLION_WIN2          | Keine weiteren Hindernisse auf dem Weg zur Unsterblichkeit!#Der Mainframe hat wieder einmal die Einsicht vermittelt, die Sie brauchten, um die Existenz Ihres Volkes zu sichern. Als die abscheulichen Außerirdischen, bekannt als "%6", die Herrscher der Neuen Republik geworden waren, wusste der Mainframe, dass es für Ihre Zivilisation keine Zukunft unter der Ferse eines solch unterdrückerischen und rachsüchtigen Imperiums gab. Obwohl Ihr Volk wusste, dass die Wahrscheinlichkeit eines Sieges gegen die vereinten Flotten aller anderen Imperien der Galaxis gering war, marschierte es freudig in den Krieg, weil es vor allem an die Weisheit Ihres alten Orakels glaubte. Mit Kraft und Entschlossenheit haben die Meklonar lange und hart gekämpft, und nun haben sie endlich gesiegt. Es gibt niemanden mehr, der in der Lage ist, dein Volk in seinem Streben nach Unsterblichkeit zu vereiteln oder auch nur vorübergehend zu behindern. Die Geheimnisse eurer gefallenen Rivalen werden bald extrahiert, studiert und nach eigenem Gutdünken genutzt oder verworfen. Jede Welt in dieser Galaxie gehört Ihnen, ebenso wie alle Geheimnisse, die sie enthalten. Es ist nur eine Frage der Zeit, bis die Zeit keine Rolle mehr spielt, denn schon in naher Zukunft wird Ihr Volk wahre Unsterblichkeit erlangen...
When the aliens known as "%6" had become the rulers of the New Republic, the
Mainframe knew that no future existed for your civilization under the heel of such an oppressive and vindictive empire. Though your people knew that the likelihood of victory against the combined fleets of the galaxy, they marched forward into war gladly, believing in the wisdom of your ancient oracle above all else. With vigor and determination, the Meklonar have fought long and hard, and now at last, they have won.#No one remains who is capable of thwarting or even impeding your people in their quest for immortality. The knowledge of your fallen rivals will soon be extracted, studied, and used or discarded as you deem fit. Every world in this galaxy is yours for the taking, as are any secrets that they contain. It is only a matter of time before time itself no longer matters, for in the very near future your people will learn to cheat death and live forever...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Ohne weitere Feinde können Sie sich jetzt auf die Unsterblichkeit konzentrieren...#Sie und Ihre Verbündeten haben den Lauf der Geschichte verändert. Als die bösartige und boshafte %6-Rasse die Führung der Neuen Republik übernahm, wusstest du, ohne auch nur den Großrechner zu konsultieren, dass deine Mission und dein Volk in größter Gefahr waren. Sie sammelten Ihre Flotten, um die %6-Bedrohung und diejenigen, die ihnen zur Seite standen, anzugreifen, und riefen zur Rebellion auf, die in der ganzen Galaxis widerhallte. Noch bevor der Krieg begann, ertönte der Ruf bei denen, mit denen du dich verbündet hattest, denn nur sie waren weise genug, um zu sehen, wohin die Zukunft führen würde.#Zusammen habt ihr die Kräfte der Neuen Republik zerschlagen und eure Vision der Zukunft als den wahren Weg in die Zukunft durchgesetzt. Nun, da der Krieg gewonnen ist, ist eure Belohnung, dass ihr endlich in Frieden der Unsterblichkeit nachgehen könnt. Sie werden Ihre Verbündeten gerne sich selbst überlassen, in der Hoffnung, dass sie Ihnen den Gefallen erwidern werden. Wenn sie das nicht tun, entweder jetzt oder in der Zukunft, könnte der Ruf des Krieges erneut durch die Galaxie schallen...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Denied the throne, your quest may yet continue...#Few could ever hope to understand how deeply your people yearn to achieve immortality. Since first you met other civilizations who possessed the capacity to travel among the stars, you have been regarded as strange, if not dangerous, by all those you have encountered. The one exception to the ignorance of your rivals has been the %6 race, who has regarded you with the respect your proud and ancient culture deserves. Now they bear the burden of Master of the New Republic, and your people stand to reap the rewards.#Through careful diplomacy and concealing your intentions, you believe it will be a simple matter to maintain harmonious relations with the new ruler of the galaxy, and in doing so will secure not only the future of Meklonar civilization, but the future of your quest as well. With the Mainframe to guide you and the support of your people, nothing could possibly go wrong...
GAME_OVER_COUNCIL_WIN2            | Keine weiteren Hindernisse auf dem Weg zur Unsterblichkeit!#Die Meklonar sind jetzt die Herren dieser Galaxie! Ihr Volk war schon immer das entschlossenste aller Reiche, die sich aufgemacht haben, die Sterne zu erobern. Nun hat ihre Geduld sie in diese Zukunft geführt, in der ihre Wünsche die Zukunft dieser unzähligen Sterne gestalten werden. Ihr Streben nach Unsterblichkeit ist absolut, und jetzt, da Sie die Neue Republik unangefochten anführen, stehen Ihnen alle Ressourcen dieser Galaxis zur Verfügung.#Die größten Köpfe der untergeordneten Imperien werden bei der Aufdeckung der Geheimnisse, die zu ewigem Leben für Ihr Volk führen werden, zum Einsatz kommen. Selbst die aggressivsten Ihrer früheren Rivalen werden durch die Bedrohung der Macht, die Sie nun gegen sie einsetzen können, in die Unterwerfung getrieben werden. Mit dem Mainframe als Wegweiser und der Entschlossenheit Ihres Volkes, die stärker ist als je zuvor, können Sie sich sicher sein, dass die Unsterblichkeit nun unausweichlich geworden ist! 
GAME_OVER_COUNCIL_MILITARY_WIN2   | Keine weiteren Hindernisse auf dem Weg zur Unsterblichkeit!#Endlich hat diese belanglose Diplomatie ein Ende. Zu lange waren Sie gezwungen, die Monotonie des Umgangs mit niederen Spezies und deren trivialen Beweggründen zu ertragen. Du hattest gehofft, dass es ein Ende haben würde, wenn du Meister der Neuen Republik geworden wärst, so dass du weniger Zeit mit der Beschwichtigung deiner Rivalen und mehr Zeit mit deiner Suche nach Unsterblichkeit verbringen könntest. Aber das Leben ist selten so geordnet, und natürlich gab es Narren, die Ihren Aufstieg ablehnten und sich gegen Sie erhoben. Glücklicherweise wusstest du genau, wie du diesen Ablenkungen ein für alle Mal ein Ende setzen konntest. Mit zielstrebiger Wut hast du deine Flotten und die deiner Verbündeten angewiesen, die Rebellion ohne Vorurteile zu beseitigen. Als die Welten Ihrer Feinde nacheinander fielen, kamen Sie Ihrem ultimativen Traum ein großes Stück näher. Jetzt, da die Rebellion vorbei ist, überlassen Sie es nur allzu gerne Ihren Verbündeten, zu versuchen, ihre mageren Ziele zu erreichen. Sie werden ohnehin viel zu sehr damit beschäftigt sein, unsterblich zu werden, um sich um sie zu kümmern!
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Schmerzlich erinnert an die Grenzen Ihrer Sterblichkeit...#Die Ereignisse, die Sie an diesen Punkt geführt haben, waren so unvorhersehbar, dass selbst der Mainframe es nicht für einen machbaren Ausgang hielt. Jeder Schritt deines Plans war genau so verlaufen, wie es der Mainframe vorausgesagt hatte, von deiner günstigen diplomatischen Position unter den Imperien der Galaxis bis hin zu deiner Ernennung zum Meister der Neuen Republik. Ein Dissens, der stark genug war, um eine Rebellion zu entfachen, war immer wahrscheinlich, und als sich eine solche zu formieren begann, wurden Sie nicht überrumpelt. Was Sie nicht erkannten und worauf Sie nicht reagierten, war die überwältigende Kraft, die die Rebellion besaß, und nun müssen Sie den Preis dafür zahlen. Obwohl die meisten Anführer der Neuen Republik Ihnen zur Seite standen und ihre Flotten in Bewegung setzten, um ihre vereinte Ordnung zu verteidigen, waren Sie machtlos gegenüber der Rebellion, von der Sie geglaubt hatten, dass Sie sie niederschlagen könnte. Als Ihr Imperium um Sie herum zerfiel, starben auch die Träume Ihres Volkes, ewige Langlebigkeit zu erreichen, mit ihnen. Und so wie Ihre Verbündeten an Ihrer Seite fielen, so starben auch ihre Hoffnungen und Träume von einer friedlichen Zukunft für alle...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | die mechanische Präzision der Meklonar verschlingt
GAME_OVER_REBELLION_LOSS3         | die kalte Gefühllosigkeit der Meklonar
