// race-specific variables (must start with _)
_empire                    | Cryslonoid Imperium, Igneoid Imperium, Sedimoid Imperium, Granitoid Imperium, Magmoid Imperium
MAIN_ADVISOR_REBELLION            | Mächtiger Imperator! Das Undenkbare geschieht. Unser Volk, das zweifellos von unserem ruchlosen alten Feind infiziert wurde, rebelliert auf %1 gegen dich. Wir müssen dieser Korruption sofort ein Ende setzen!
MAIN_ADVISOR_RESIST_COUNCIL       | Die Kühnheit dieser Narren! Gott-Imperator, unsere Flotten stehen bereit! Führe uns in dieser schicksalhaften Schlacht zum Sieg!
MAIN_ADVISOR_COUNCIL_RESISTED     | Natürlich konnten die Kinder unseres Feindes die Cryslonoid-Dominanz nicht akzeptieren! Unser Volk ist in Aufruhr: Endlich erfüllt sich die Prophezeiung!

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Ihr heiliger Kreuzzug hat ein trauriges Ende gefunden: Jede einzelne Welt des langlebigen Cryslonoid-Imperiums wurde von fremden und außerirdischen Kreaturen erobert oder schlimmer noch. Du warst der Kristallimperator, der versprochen hatte, dein Volk zur Erfüllung seiner ältesten und heiligsten Prophezeiung zu führen: die Galaxis ein für alle Mal von der üblen Brut von Quaralon zu befreien. Stattdessen hast du sie nur in den Ruin geführt, und während die Sonne über der letzten Cryslonoid-Kolonie aufgeht, die sich gegen die außerirdischen Heerscharen wehrt, wird das Ausmaß deines Versagens bald von den in dieser Galaxis verbliebenen Imperien zu spüren sein. #Das Imperium ist ausgelöscht, für immer, und mit dem Verschwinden deines Volkes ist es zweifellos, dass Quaralons ruchlose Nachkommen unangefochten über diese Galaxie herrschen werden, von nun an bis zum Ende der Zeit...
GAME_OVER_MILITARY_WIN2           | Ihr heiliger Kreuzzug hat mit einem überlegenen Sieg geendet! #Da Sie nicht in der Lage sind, die Identität Ihres ältesten Feindes zu bestätigen, haben Sie die einzige Option gewählt, die Ihnen zur Verfügung steht: alle Bewohner dieser Galaxie ohne Gnade abzuschlachten. Keine Rasse war in der Lage, sich Ihrem unbeugsamen Eifer und Ihrer unnachgiebigen Stärke zu widersetzen. Jede ist der Reihe nach gefallen, und ihre Welten wurden nun von jedem möglichen Einfluss von Quaralons Dreck gereinigt. Und um sicherzustellen, dass sie sauber bleiben, wird das Imperium jeden Planeten in die Herde bringen, sie bewohnen und bis zum Ende der Zeit bewachen. Dein Imperium wird nun zweifellos bis zum Ende der Existenz bestehen, und niemand wird sich jemals wieder erheben, um sich dir zu widersetzen, denn in der Tat bleibt niemand übrig, der dies tun könnte! Lang lebe der Kristallimperator! Lang lebe das Imperium!
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Euer heiliger Kreuzzug hat endlich Früchte getragen. #Während ihr nicht in der Lage wart, die wahre Identität der Kinder von Quaralon festzustellen, konnten einige der Bewohner der Galaxis beweisen, dass sie nicht die Ausgeburten eures meistgehassten Feindes sind. Diejenigen, denen dies nicht gelang, haben ihr endgültiges Schicksal durch die Hände eurer unzerbrechlichen Legionen erlitten. Jetzt sind nur noch Sie und diejenigen übrig, die sich als loyal und reinen Herzens erwiesen haben, und die Galaxie gehört Ihnen. Sollten Sie sich jedoch in Bezug auf die Identität derer, denen Sie erlaubt haben, am Leben zu bleiben, irren, könnte Ihr Kreuzzug eines Tages wieder von vorne beginnen...
GAME_OVER_COUNCIL_LOSS2           | Ihr heiliger Kreuzzug hat ein trauriges Ende gefunden: Auf Ihrer Reise durch die Galaxie haben Sie Kriege geführt, Welten erobert und Allianzen mit zahlreichen außerirdischen Zivilisationen geschlossen. Doch trotz Ihrer Bemühungen konnten Sie weder die Imperien, die den Kosmos übersäen, von der Bedrohung durch Quaralons Brut überzeugen, noch eine militärische Macht ausüben, die stark genug ist, um sie zu zwingen, sich dem Diktat des Kreuzzuges zu unterwerfen. Jetzt haben sie die elende %6-Rasse auserwählt, um sie in die Zukunft zu führen. #Während sie hoffen, dass die Zukunft wohlhabend und friedlich sein wird, kennst nur du die Wahrheit darüber, was all jene erwartet, die sich nicht für deine Sache gewinnen lassen. Vielleicht wird in der Zukunft ein anderer Kristallimperator erfolgreich sein, wo Ihr versagt habt, und eines Tages werden die Feuer Eures heiligen Krieges noch einmal brennen...
GAME_OVER_REBELLION_LOSS2         | Euer heiliger Kreuzzug hat ein trauriges Ende gefunden. #Mit der Bildung einer neuen Republik unter dem Galaktischen Rat, angeführt von der bösen %6-Rasse, war die einzig mögliche Wahl für dich eine unglückselige Rebellion in der Hoffnung, sicherzustellen, dass dein rechtschaffener Krieg Bestand haben könnte. Obwohl die Hoffnung auf dem von dir gewählten Weg nie groß war, war sie dennoch da, und wären deine Entscheidungen klüger gewählt worden, hättest du es vielleicht sogar geschafft, im Licht des Sieges zu baden. #Aber es gibt kein Licht mehr für dich oder das Imperium, und da %8 die Galaxie beherrscht, sind deine letzten Gedanken bei Quaralon und seinen Kindern, deinem Versagen, sie zu finden und zu zerstören, und dem brutalen Schicksal, das diese Galaxie jetzt erwartet, da dein Volk nicht mehr da ist, um es zu verteidigen...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Dein Kreuzzug ist zu einem unerwarteten Ende gekommen. #Das Cryslonoid Imperium hat auf seiner Reise durch die Galaxie viel erreicht. Unter Ihrer Führung ist Ihr Volk auf zahlreiche außerirdische Zivilisationen gestoßen. Viele dieser Rassen haben sich als Feinde und potentielle Träger von Quaralons abscheulichem Blut erwiesen. Doch unerwartet haben sich einige als Freunde Eures alten Imperiums erwiesen. Jetzt, am Vorabend der Gründung der Neuen Republik, habt ihr eure Stimme für die %7 abgegeben und ihnen erlaubt, über eine neue Ära des Friedens in der Galaxis zu herrschen. #Während ihr euch darauf vorbereitet, die Zukunft an die %8 abzutreten, hofft ihr nur, dass ihre Stärke und Weisheit ausreichen werden, um die Galaxis vor dem größten Übel eurer alten Prophezeiung zu schützen. Denn wenn Sie sich falsch entschieden haben, wird sich der Frieden, der durch das Schmieden dieser Allianz versprochen wurde, als sehr kurzlebig erweisen...
GAME_OVER_REBELLION_WIN2          | Ihr heiliger Kreuzzug hat mit einem überlegenen Sieg geendet! #Die erbärmlichen Reiche der Galaxie hatten die törichteste aller Entscheidungen getroffen. Indem sie sich unter dem Banner der elenden %6-Rasse vereinigten und sich von den Forderungen deines Kreuzzuges abwandten, entschieden sie sich dafür, ihr Schicksal sowie das des Rests der Galaxie zu besiegeln. Aber du, der Kristallimperator, wusstest, dass dies nicht standhalten konnte, und mit dem Geschick nur der legendärsten Helden hast du dein Volk in einem unmöglichen Krieg gegen die gesamte Galaxie zum Sieg geführt! #Wenn die Narren nur auf deine Warnungen gehört hätten, hätten sie vielleicht überlebt, um den Fehler ihres Weges einzusehen. Aber jetzt, endlich, kann die Galaxis den einzig wahren Frieden ertragen, den sie jemals kennen könnte. Es lebe der Sieg, Kristallimperator! Es lebe die Macht des Cryslonoid-Imperiums!
GAME_OVER_REBEL_ALLIANCE_WIN2     | Dein heiliger Kreuzzug hat Erfolg: Als der letzte Deiner Feinde vor Dir fällt, spürst Du den Nervenkitzel des Fortschritts, den Dein Kreuzzug seit seinem Beginn gemacht hat. Es war ein Fehler, dass die erbärmlichen Rassen, die diese Galaxie bewohnen, die %6-Rasse gewählt haben, um sie vom Ruf des Kreuzzuges wegzuführen. Indem sie sich von Eurer Weisheit abwandten, widersetzten sie sich sowohl Euch als auch der Prophezeiung von Chryslon: eine Tat, die nicht toleriert werden konnte und die sie zweifellos bereuen würden, wenn sie lange genug gelebt hätten, um dies zu tun. #Nur diejenigen, die weise genug waren, Eure Warnungen zu beherzigen und Euch in Eurem Krieg zu unterstützen, können sich nun des neu gefundenen Friedens erfreuen, der der Galaxis beschert wurde, da die Bedrohung durch Quaralon ein für alle Mal beseitigt ist. Natürlich, sollten sie sich selbst als Quaralons Kinder in Verkleidung erweisen...
GAME_OVER_COUNCIL_WIN2            | Dein heiliger Kreuzzug hat endlich Früchte getragen! #Einst warst du der Kristallimperator des Cryslonoid-Imperiums, jetzt bist du der Herrscher der Neuen Republik, die von den verschiedenen Imperien des Galaktischen Rates gegründet wurde. Keine einzige Rasse hat es gewagt, Einspruch gegen dieses Schicksal zu erheben, da sie zweifellos erkannt hat, dass ihre Energien besser in die Unterstützung Eurer Sache investiert werden können. Denn die Feinde des Imperiums sind jetzt die Feinde der Galaxis, und das kann nur den Untergang für die Kinder von Quaralon bedeuten. Solltet ihr sie in der Galaxis aufstöbern, werden sich alle Rassen unter eurem Banner vereinen und sie vollständig auslöschen. Solltet Ihr sie versteckt unter den Rassen des Rates finden, so wehe denen, die es gewagt haben, sich so lange vor Euch zu verstecken...
GAME_OVER_COUNCIL_MILITARY_WIN2   | Dein heiliger Kreuzzug hat endlich Früchte getragen! #Nachdem du den Thron des Rates bestiegen und deine ordnungsgemäß gewählte Herrschaft über die Neue Republik begonnen hattest, war die Bühne für ein neues Kapitel im Kreuzzug bereitet, um die Galaxie vom Schmutz von Quaralons Brut zu säubern. Die Rebellion gegen dich war von Anfang an schlecht durchdacht und zum Scheitern verurteilt, und die bei ihrer Niederschlagung verlorenen Leben waren nicht verschwendet: Indem du deine Fähigkeiten als Kommandant unter Beweis gestellt habst, hast du dich als Herrscher zementiert, der nicht nur respektiert, sondern auch gefürchtet werden soll. #Das gesamte Militär der Neuen Republik steht unter deinem Banner und ist bereit, alles zu tun, was der Kreuzzug verlangt. Dein uralter Feind wird sich nirgendwo verstecken können, und sollten Quaralons Art unter denen sein, die du jetzt beherrschst, wird die gesamte Macht der Galaxis als schnelle Vergeltung gegen sie aufgebracht werden. Du must nur herausfinden, wo sich dein Feind versteckt, um den letzten Krieg zu beginnen und die Galaxie für immer zum Frieden zu bringen...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Dein heiliger Kreuzzug hat ein jämmerliches Ende gefunden. #Du standest als Meister der Neuen Republik da, bereit, Legionen in die Schlacht gegen den Feind der Prophezeiung zu führen. Doch die Rebellion, die sich gegen Dich erhob, kam unerwartet und war leider viel zu groß für Dich, um damit fertig zu werden. Ob es nun an der Feigheit deiner Bittsteller lag oder an den militärischen Fehlern, die du als Kommandant begangen hast, das silikoidische Imperium gibt es nicht mehr, und mindere Rassen befallen nun deine Welten. Mit dem Fall des Imperiums und dem Tod der kurzlebigen Neuen Republik gibt es nun niemanden mehr, der in der Lage wäre, Quaralons Brut zu finden, geschweige denn sie zu besiegen und der Galaxis Frieden zu bringen. Vielleicht wäre die Prophezeiung in Erfüllung gegangen und die Katastrophe abgewendet worden, hättest du deine Armeen geschickter befehligt. Nun, mit Eurer Niederlage, liegt diese Prophezeiung im Sand der Zeit begraben, um nie wieder erfüllt zu werden, oder auch nur bekannt zu werden...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | der unnachgiebige Fanatismus der Cryslonoiden
GAME_OVER_REBELLION_LOSS3         | der fanatische Eifer der Cryslonoiden verschlingt
