// race-specific variables (must start with _)
_empire                           | Ssslauran-Konklave, Reptaran-Konklave, Sauran-Konklave
MAIN_ADVISOR_COUNCIL_RESISTED     | Diese ekelhaften Rebellen! Wir haben kaum geduldet, dass sie überhaupt existieren, und jetzt wollen sie rebellieren? Geben Sie uns den Befehl, sie auszurotten: Wir haben viele ihrer Welten für das Konklave zu beanspruchen! 
 

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Das Schicksal aller Welten ist besiegelt...#Sie waren einst die Hoffnung der unzähligen Planeten, die die Galaxie übersät haben. Als Sie von Ihrer Heimatwelt aus aufbrachen, bestand Ihre einzige Sorge darin, die einzigartige Ökologie jeder Welt, die Sie finden konnten, zu erlernen und zu perfektionieren. Als Ihr Wissen zunahm, wuchs auch der Eifer Ihres Volkes, und eine Zeit lang schien es, als würde der gemeinsame Traum aller Ssslauras wahr werden. Wäre da nicht die Gier eurer Feinde gewesen, ihre Territorien so weit wie möglich auszudehnen, wäre es vielleicht so gekommen. Eure Kolonien wurden bis auf den letzten Planeten erobert: Die liebevolle Pflege, die ihr euren Biomen angedeihen lasst, wurde vom Blutrausch eurer interstellaren Rivalen zertrampelt. Während der letzte Ihrer Außenposten um Sie herum brennt und Ihr Tod unausweichlich ist, denken Sie flüchtig darüber nach, ob die Narren, die Sie überwältigt haben, jemals lernen werden, in Harmonie mit den Welten zu leben, die sie so unverblümt für sich beanspruchen. Aber die wahrscheinliche Antwort auf diese Frage, Prime Magister, ist zu schrecklich, um sich damit aufzuhalten...
GAME_OVER_MILITARY_WIN2           | Die Rettung aller Welten ist endlich in greifbarer Nähe!#Sieg! Sieg für Ihr Volk und für alle Planeten der Galaxis! Seit dem Tag, an dem die Konklave der Ssslaura aus ihrer Welt ausbrach, um neue Umgebungen zu schützen, wusstest du, dass der Wunsch deines Volkes nicht verweigert werden würde. Es war töricht von deinen Rivalen, die Weisheit nicht zu erkennen, dass die Sicherheit der ökologischen Systeme dieser Galaxie Vorrang hat, aber es war eine unbegreifliche Dummheit von ihnen zu glauben, dass ihre Stärke ausreicht, um dich vom Erreichen deines Ziels abzuhalten... Du hast die einfachste und direkteste Vorgehensweise gewählt, um die Bedrohung durch deine Rivalen zu beseitigen, und damit hast du weiteren unnötigen Schmerz in den Biosphären verhindert, die sie so rüpelhaft für ihre eigenen schwachen Ziele ruiniert haben! Jetzt haben Sie unendlich viel Zeit, um den Schaden zu reparieren, den sie verursacht haben, ohne dass jemand übrig ist, der Sie daran hindert. Ihr Volk wird wie ein Fluss durch diese Galaxie fließen, jeder Planet ein Nebenfluss, der darauf wartet, sich in Frieden unter Ihrer führenden Hand zu entwickeln. Genießen Sie die Früchte Ihrer hart erarbeiteten Arbeit! Und genießen Sie für immer die Herausforderungen, die die Ssslauras auf dem vor ihnen liegenden Weg erwarten!
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Die Rettung aller Welten ist bald nah... #Obwohl es nicht das Ende ist, das Sie sich am meisten erhofft haben, können Sie nicht anders als zu lächeln, während Sie sich in Ihrem wohlverdienten Sieg sonnen. Sie wussten, dass es andere Rassen in dieser Galaxie geben würde, die ihre Planeten einfach als Ressourcen betrachten, die ausgebeutet werden müssen, und die Weisheit Ihrer Philosophie ignorieren. Ihr Volk war bereit zu kämpfen, um die Unantastbarkeit jedes Planeten zu verteidigen, egal wie klein er ist. Jetzt sind eure Feinde zu Staub geworden, und ihr wisst, dass das empfindliche Gleichgewicht eines jeden ökologischen Systems niemals den Launen derer unterworfen sein wird, die ihm Schaden zufügen wollen.* Ihr wart froh, Verbündete zu finden, die eure Botschaft beherzigten und bereit waren, ihre Welten mit neu gewonnenem Respekt zu behandeln, während sie aus dem lernten, was ihr zu lehren hattet. Zu Ihrer großen Überraschung haben sie sogar mit Ihnen zu den Waffen gegriffen, zweifellos um ihre eigenen Interessen zu verteidigen, aber auch um Ihnen zu helfen, die Ihren zu verteidigen. Jetzt können Sie daran arbeiten, den Schaden zu heilen, der durch zahlreiche und respektlose Kriege entstanden ist. Mit der Zeit können Sie nur hoffen, Ihre Freunde zu überzeugen, dies auch mit ihren Welten zu tun...
GAME_OVER_COUNCIL_LOSS2           | Das Schicksal aller Welten ist besiegelt...#Die Machenschaften Ihrer rivalisierenden Imperien haben sich als Ihr Verderben erwiesen. Während Sie durch die Galaxie reisten und das Ökosystem eines jeden Planeten perfektionierten, war es unvermeidlich, dass Sie auf Welten stießen, die von anderen beansprucht wurden und für Sie unerreichbar blieben. Durch Diplomatie und politische Manöver hättest du sicherlich die Fähigkeit erlangen können, diese planetaren Umgebungen zu retten, auch wenn sie unter dem Einfluss fremder Mächte blieben. Oder so dachten Sie.#Nun hat sich der Galaktische Rat aufgelöst und als Neue Republik unter der Führung der %7 neu formiert. Ihr Versagen, die anderen Imperien davon zu überzeugen, die Weisheit in Ihren Wegen zu sehen, wird zweifellos sowohl Sie als auch die Welten kosten, die Sie verzweifelt zu retten versuchten. Sie können nur hoffen, dass die neue Führung barmherzig zu Ihrem Volk sein wird. Nicht nur um ihretwillen, sondern auch um jedes einzelnen Planeten in der Galaxie willen...
GAME_OVER_REBELLION_LOSS2         | Das Schicksal aller Welten ist besiegelt...#Ihre Hartnäckigkeit und Ihr Idealismus haben Sie zu diesem Ende geführt. Eure Feinde haben eure Armeen zerschlagen und euren Welten Dinge angetan, die bis dahin undenkbar waren. Einst dachtet Ihr, dass Ihr durch ihre politischen Spielchen in der Lage sein würdet, ihr Denken so zu beeinflussen, dass es mehr mit Eurer Philosophie übereinstimmt. Aber als die böse %6-Rasse die Kontrolle über die Neue Republik übernahm, wussten Sie, dass friedliche Verhandlungen unmöglich werden würden. Als Verfechter des ökologischen Gleichgewichts haben Sie geschworen, zu den Waffen zu greifen, um die Misshandlung der Planeten in der Galaxis zu verhindern, und waren bereit, dafür zu sterben.#Und sie sind gestorben: Ihre Welten wurden erobert und Ihre großartigen Werke auf jeder von ihnen zerstört. Eure Leute waren gezwungen, sich zurückzuziehen, um in ihrer letzten Festung Stellung zu beziehen, und dort starben sie bei der Verteidigung Eurer Ideale. Als glühendste Verfechter des ökologischen Gleichgewichts wird sich Ihr Aussterben nicht nur als schwerer Verlust für Ihr Volk erweisen, sondern auch für die gesamte Galaxie...
GAME_OVER_REBELLION_WIN2          | Die Rettung aller Welten ist endlich in greifbarer Nähe! Ihr habt jede Hürde beim Aufbau eures interstellaren Imperiums überwunden und dabei nie vergessen, dass es eure erste Pflicht war, die natürliche Pracht der Welten zu schützen, die ihr als euer Eigentum beansprucht habt. Jeder, der es wagte, sich Ihnen zu widersetzen, wurde schnell eines Besseren belehrt, und als der Rasse der %6 die Führung der Neuen Republik übertragen wurde, beschlossen Sie, der gesamten Galaxis auf die direkteste Art und Weise zu zeigen, wie falsch ihre Wahl war.#Es gibt jetzt keine Feinde mehr, die sich Ihrem Willen widersetzen, und keine lebenden Narren, die in der Lage wären, den Planeten, die Sie schützen, zu schaden. Ihr Volk kann sich Zeit nehmen, um Lösungen für die ökologischen Rätsel zu finden, die jede Welt ihnen stellen wird. Und wenn die gesamte Galaxis unter deiner lenkenden Hand eine perfekte natürliche Harmonie erhalten hat, wirst du bereit sein, auch die Welten anderer Galaxien unter deinen Schutz zu nehmen. Lang lebe das Ssslaura-Konklave!
GAME_OVER_REBEL_ALLIANCE_WIN2     | Die Rettung aller Welten wird bald bevorstehen...#Zu sagen, dass diese Folge von Ereignissen überraschend kommt, ist eine grobe Untertreibung. Zunächst schienen die friedlicheren Lösungen der Streitigkeiten zwischen den Imperien die beste Vorgehensweise zu sein, um unnötigen Schaden an den wundersamen Planeten, die die Galaxie bevölkern, zu verhindern. Es gab jedoch keinen anderen Weg als den des Krieges, als der Galaktische Rat einen anderen wählte, um die Neue Republik zu führen. Sie hissten die Flagge der Rebellion gegen das gesamte System und die Würfel für das Schicksal der Galaxie waren gefallen. Unerwartet fanden Sie andere, die bereit waren, sich Ihrer Sache anzuschließen und die Galaxie von einer sicherlich schändlichen Unterdrückung zu befreien. Diejenigen, die auf Ihrer Seite kämpften, erwiesen sich als ebenso zäh wie Ihr Volk, und gemeinsam haben Sie die falsche Ordnung ausgelöscht und ein neues System für die Galaxie installiert, in dem das Wohlergehen aller Planeten das höchste Anliegen sein wird. Und sollten Ihre Verbündeten in Zukunft beschließen, von dieser Richtung abzuweichen, besitzen Sie das Wissen, wie Sie ihren Taktiken und Strategien wirksam begegnen können. Es ist in der Tat eine freudige Gewissheit, zu wissen, dass jeder Planet unter Ihrer Führung sein Potenzial erreichen wird, egal was passiert...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Die Rettung aller Welten steht kurz bevor...#Das war wahrlich das beste Ergebnis, das Sie sich unter den gegebenen Umständen erhoffen konnten. Von Ihren ersten Begegnungen mit den anderen Imperien an wussten Sie, dass ihre verschiedenen Unzulänglichkeiten sie davon abhalten würden, jemals die Wahrheit in Ihrer Philosophie zu erkennen. Stattdessen beschlossen Sie, Brücken zwischen Ihrem Volk und der %6-Rasse zu bauen und ihnen zu einer Position zu verhelfen, die für Ihre Pläne vorteilhaft sein würde. Jetzt sitzen sie auf dem Thron der Neuen Republik, und als ihre engsten Vertrauten stehen die Ssslaura bereit, die Früchte ihres Aufstiegs zu ernten. #Sie werden weiterhin ihre %6 Verbündeten beeinflussen, um die Unantastbarkeit jeder einzelnen Welt der Republik zu gewährleisten. Sollte ein hartnäckigeres Imperium versuchen, Euren Willen zu behindern, seid Ihr zuversichtlich, dass Ihr in der Lage sein werdet, mit ihnen fertig zu werden. Das ist die Stärke Ihrer Bindung an die %6-Rasse, und so werden Sie sicherstellen, dass die Planeten von jetzt an und für immer sicher bleiben...
GAME_OVER_COUNCIL_WIN2            | Die Rettung aller Welten ist endlich in greifbarer Nähe!#Sie haben den Sieg errungen, nach dem sich Ihr Volk seit seiner ersten Reise in den Kosmos gesehnt hat. Die Begegnung mit fremden Welten mit einer wundersamen Ökologie erwies sich als lohnende Herausforderung für Ihr Volk, auf die es sich konzentrieren konnte. Das Navigieren in diplomatischen Angelegenheiten erwies sich jedoch als eine weitaus heiklere Aufgabe, auf die Sie Ihren Intellekt ansetzen mussten, um sie zu lösen. Aber am Ende stehen Sie an der höchsten Position der Autorität: Sie und nur Sie allein stehen nun als Herrscher der Neuen Republik da.#In Ihrer Position werden Sie sicherstellen, dass jeder Planet in der Galaxie mit Respekt und Sorgfalt behandelt wird. Sollte ein Imperium innerhalb der Republik gegen dieses eiserne Diktum verstoßen, um seine eigenen mageren Ziele zu verfolgen, steht Ihnen nun eine galaktische Armee zur Verfügung, die dafür sorgt, dass sie wieder auf Linie gebracht werden. Und wenn diese Welten perfektioniert sind, steht Ihnen eine Zukunft bevor, in der Sie andere Galaxien erforschen und Ihre gesegnete Führung zu den Welten bringen, die in ihnen liegen. Ziehen Sie jetzt los, Großmagister, denn Ihre Arbeit hat gerade erst begonnen...
GAME_OVER_COUNCIL_MILITARY_WIN2   | Die Rettung aller Welten ist endlich in greifbare Nähe gerückt: Obwohl es nicht ohne Rückschläge abging, ist Ihr Wille, die Galaxie zu formen, nun unangefochten. Es war keine kleine Leistung für Sie, Herr der Neuen Republik zu werden, aber Sie waren in der Lage, sich an rivalisierende Imperien und deren eigene subtile Machenschaften anzupassen. Als einige fehlgeleitete Mitglieder der Republik beschlossen, eine Rebellion anzuzetteln, um sich die Freiheit zu erhalten, ihre Welten zu zerstören, dauerte es nicht lange, bis du zu dem Schluss kamst, dass sie ausgelöscht werden müssen. #Nun wurden die Rebellen niedergeschlagen und zu einem Beispiel für diejenigen gemacht, die versuchen würden, ihre persönlichen Wünsche über das Wohl ihrer Planeten zu stellen. Die Rebellen waren in der Lage, sich auf eine Art und Weise nützlich zu machen, die Sie nicht vorhergesehen hatten: Mit dem Rest der Galaxis gegen einen gemeinsamen Feind vereint, sind sie nun Ihrem Willen gegenüber formbarer, während sie sich im Glanz eines gemeinsamen Sieges sonnen. Jetzt ist es an der Zeit, Ihre Pläne voranzutreiben, und ob die Ihnen Untergebenen überhaupt in der Lage sind, zu verstehen, warum, Sie wissen in Ihrem Herzen, dass die Galaxie selbst Ihnen danken wird...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Das Schicksal aller Welten ist besiegelt...#Das Desaster hat die Neue Republik getroffen, bevor es überhaupt richtig realisiert wurde. Als sich Ihre Weisheit und Ihr Mitgefühl für die Umwelt aller Welten in den intergalaktischen Imperien verbreiteten, war es selbstverständlich, dass Sie derjenige sein würden, der die Galaxie anführen würde, sobald sie unter einem einzigen Banner vereint ist. Doch schon bald nach dem Aufstieg auf diesen neuen Thron der Throne begann eine Rebellion zu wachsen, die schließlich auch umgesetzt wurde. Als die Linien im Sand gezogen wurden, glaubten Sie und die, die Sie anführten, dass Ihre überlegene Anzahl und Stärke zu einem leichten Sieg führen würde. Diejenigen, die sich gegen Sie auflehnten, hatten Vertrauen in ihre Fähigkeiten, und dieses Vertrauen führte dazu, dass Ihr Imperium um Sie herum zerfiel. Nun ist die gesamte Neue Republik zerbrochen, jede ihrer Flotten wurde zerstört und jede ihrer Welten von jenen erobert, die die Macht für sich selbst suchten, egal was der Preis dafür war. Die Rebellen werden nun die Galaxie in eine Zukunft führen, die ihren eigenen verdrehten Plänen entspricht, und während das Leben beginnt, Ihren Körper zu verlassen, hoffen Sie nur, dass sie den Planeten, die sie erobern, die Gnade erweisen werden, die sie Ihnen am Ende verweigert haben...
// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | der unerschütterliche Antrieb der Ssslaura verschlingt
GAME_OVER_REBELLION_LOSS3         | die ökologische Hingabe der Ssslaura
