// race-specific variables (must start with _)
_empire                           | Nazloks, Sarloks, Spyloks, Shadeloks, Draloks
MAIN_ADVISOR_COUNCIL       | Es gibt Gerüchte um die Versammlung des Galaktischen Rats , der bald sein wird. Unsere Spione hoffen, dass sich dadurch Gelegenheiten ergeben, möglichst viele Informationen zu sammeln. Unsere Zukunft hängt davon ab!
MAIN_ADVISOR_REBELLION            | Haben die Leute auf %1 ihren Verstand verloren?! Sie vergessen, dass wir nur gemeinsam in diesem Universum siegen können! Wir müssen an dieser Rebellion sofort ein Exempel statuieren!
MAIN_ADVISOR_RESIST_COUNCIL       | Unsere Erfolgsaussichten hier waren schon immer als gering bekannt. Gegen den Galaktischen Rat und seine Verbündeten zu kämpfen, wird unsere Chancen nur wenig beeinträchtigen.
MAIN_ADVISOR_COUNCIL_RESISTED     | Wir haben zu lange daran gearbeitet, diesen Narren unseren Willen zu zeigen! Eine Rebellion gegen unsere Führung kann nicht toleriert werden! Vernichtet sie auf der Stelle!

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Das Ende Ihrer Suche, das Ende Ihres Volkes...#Eine unvorstellbare Tragödie hat Ihr Reich heimgesucht. Einst eine Rasse, die verzweifelt versuchte, die Geheimnisse des Ereignisses zu lüften, das Ihre Vorfahren aus ihrem sterbenden Universum in diese fremde Dimension geschleudert hat, liegt Ihre Zivilisation in völligem Ruin zu Füßen von Bewohnern, die weitaus mächtiger sind, als Sie hoffen könnten, dagegen anzukommen. Hätten sie nur von eurer Not gewusst, wären sie vielleicht barmherziger gewesen und hätten euch vielleicht sogar geholfen oder wären zumindest toleranter gegenüber den Mitteln gewesen, die ihr eingesetzt habt, um eure Ziele zu erreichen. Stattdessen habt Ihr nur den vorzeitigen Tod Eurer Art erreicht, während andere Mächte ihren Marsch in das fortsetzen, was auch immer die Zukunft für sie bereithält... Ach, dass die Nazloks dieses Schicksal ereilen sollte! Hättet Ihr Euer Blatt anders gespielt, wäre Euer Volk vielleicht noch am Leben und hätte vielleicht sogar den Schlüssel gefunden, der es Euch erlaubt, den Rest Eurer Rasse in diese neue, stabilere Ebene zu bringen. Vielleicht hätten Sie Ihre Karten aber auch nicht besser ausspielen können: Vielleicht hatte das Schicksal einfach beschlossen, Ihnen ein äußerst unglückliches Blatt zu geben...
GAME_OVER_MILITARY_WIN2           | Die erste Phase ist beendet, der wahre Test beginnt...#Diese Galaxie gehört Ihnen! So wie Ihr Volk das Universum, aus dem es kam, dominiert hat, so haben Sie auch die schwache Opposition in dieser Galaxie zerschlagen und alles, was sie enthält, für sich beansprucht. Die Taktik, die Sie angewandt haben, hat sich für Ihre Feinde als zu stark erwiesen, um sie zu überwältigen, und die Heimlichkeit, die Sie angewandt haben, um ihre Geheimnisse zu erlangen, hat sich sogar noch mehr bewährt. Jetzt, da die letzten Festungen eurer Feinde unter eurer Macht fallen, blickt ihr auf die Sterne, die das übersäen, was die ständige Heimat der Nazloks werden wird, aber eure Arbeit ist noch lange nicht beendet. Du hast gelernt, in dieser fremden Dimension zu leben, und hast eine ganze Galaxie sicher gemacht, damit dein Volk dort leben und gedeihen kann. Doch die Geheimnisse des interdimensionalen Risses, der Ihre Rasse überhaupt erst hierher gebracht hat, müssen noch gelüftet werden, und jeder Tag, der hier vergeht, bedeutet, dass Ihr Heimatuniversum seinem unausweichlichen Zusammenbruch näher kommt. Und sollte eines der Imperien, die Sie zerstört haben, das Geheimnis bereits kennen, könnte sich Ihre militärische Eroberung noch als Ihr Verhängnis erweisen...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Die erste Phase ist abgeschlossen, die wahre Prüfung beginnt...#Jetzt ist die Stunde Ihres ersten wahren Sieges! Als Ihr Volk in diese Dimension geworfen wurde, fanden sie sie beängstigend, fremd und gefährlich. Aber anstatt sich zu ducken und sich so gut es ging durchzuschlagen, gingen sie mutig voran und schworen, die Geheimnisse dieser Galaxie zu meistern und sie sicher zu machen, um den Rest Ihres Volkes von ihrer sterbenden Ebene zu holen. Auf dem Weg dorthin wurden Feinde und Freunde gemacht, und die Bühne war bereitet für die größte Herausforderung, die Ihr Volk jemals kennenlernen würde. Zusammen mit Ihren Verbündeten haben Sie es geschafft, diejenigen zu zerschlagen, die sich Ihren Zielen widersetzen würden, und sie auf Ihre Flotten loszulassen, wie die Flut gegen das Ufer bricht. Jetzt sind nur noch Sie und Ihre engen Freunde übrig, und durch die Verwandtschaft, die man nur durch das Teilen des Sieges im Krieg erlangen kann, werden Sie Ihren Verbündeten gerne bei ihren Lasten helfen, so wie sie Ihnen bei den Ihren helfen werden. Und sobald Ihr Volk die Dimensionen sicher durchquert hat und Ihr wahres Imperium wiedergeboren ist, dürfen nur diejenigen in einem Universum leben, die sich als treu zu Ihrer Sache erwiesen haben...
GAME_OVER_COUNCIL_LOSS2           | Deine Pläne wurden vereitelt, deine Suche ist gefährdet... #Eure Pläne wurden vor der ganzen Galaxis offengelegt, und obwohl niemand hoffen kann, es mit Eurem Geschick in der List aufzunehmen, haben sich die Augen Eurer Rivalen als zu wachsam erwiesen, als dass selbst Ihr sie hättet umgehen können. Die Schmiedung der Neuen Republik und die Zukunft der Galaxis stehen auf dem Spiel, und die Stimmen für die Ratsmitglieder haben bewiesen, dass sie Ihre gut angelegten Pläne durchkreuzen können. Die Zukunft gehört der %6-Rasse!#Der Versuch, die Fähigkeit zu erlangen, den Kurs der Galaxis zu lenken, war eine ehrgeizige Strategie. Wären Ihre diplomatischen Machenschaften subtiler gewesen, wäre es sehr gut möglich, dass der gesamte Wille der Galaxie in den Dienst Ihres Strebens gestellt worden wäre. Jetzt müssen Sie sich dem Willen der %6-Rasse beugen, aber jeder Tag, der vergeht, bringt die Gestrandeten in dem kollabierenden Universum, aus dem Sie kommen, einen Tag näher an ein Schicksal, das schrecklicher ist, als Sie sich vorzustellen wagen...GAME_OVER_REBELLION_WIN2          | The first phase finished, the true test begins...#Now at last these inferior fools see your power and will unleashed! In vain your enemies sought to impede you in the quest to free your stranded kin from their ultimate doom, and they used every trick they could to obstruct you. From threats to espionage to open hostility, their desire to prevent you from reaching your goal was at its apex when they voted against you to lead the New Republic despite you being the one worthiest to do so. With little choice and absent of a heavy conscience, you unleashed upon them the same dreadful fury that led your people to total dominance in the universe from whence you came.#Now this galaxy is yours, and though time is short before your home plane collapses and those left behind suffer a fate worse than death, at least now there are none left in this dimension who will oppose you. Now at last these inferior fools see your power and will unleashed! Or at least they would, if any of them were left alive to do so...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Die erste Phase ist beendet, die wahre Prüfung beginnt...#Von Anfang an wusstest du, dass die Bewohner dieser Galaxie dir niemals freiwillig die Führung einer vereinigten Allianz raumfahrender Imperien anvertrauen würden. Unehrlich und misstrauisch haben die einheimischen Imperien, die diese Ebene bewohnen, alles getan, um Ihre Pläne zu durchkreuzen, und haben schadenfroh gegen Sie gestimmt, als die Gründung der Neuen Republik begann. Aber Sie sind weise und gerissen, und da Sie ihre Machenschaften so leicht durchschauen, wie man Worte auf einer Seite liest, haben Sie Ihre diplomatischen Bemühungen nur auf diejenigen konzentriert, die es am meisten wert sind, an Ihrer Seite zu stehen. Und als die Zeit kam, in der deine Feinde dachten, sie hätten dich in eine Falle gelockt, fanden sie sich in einer Falle wieder, die schon längst zugeschnappt war. Jetzt stehen du und deine Verbündeten siegreich auf der Asche derer, die es gewagt hatten, sich für deine Vorgesetzten zu halten. Das Schicksal der Galaxie liegt in Ihren Händen, denn Sie sind frei, einen Weg zu finden, Ihre gestrandeten Verwandten über die Dimensionsbarrieren in ein neues Universum zu bringen, das reif für die Übernahme ist. Und sollten diejenigen, die Sie als Kameraden gewählt haben, Sie an Ihren Zielen hindern, werden Sie mit ihnen genauso entschlossen umgehen wie mit allen anderen...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Die erste Phase ist beendet, die wahre Prüfung beginnt...#Vor langer Zeit wurde eine kleine Gruppe Ihres Volkes aus ihrem sterbenden Universum in diese neue und fremde Ebene geschleudert. Als Sie nach einem Weg suchten, die Gestrandeten zu sich in diese neue und stabile Galaxie zu holen, lehrten Sie Ihre Begegnungen mit denen, die bereits in diesen Sternen lebten, schnell, dass Sie die Antworten, die Sie suchten, nicht finden würden, indem Sie kleinliche und langwierige Kriege führten. Stattdessen hast du versucht, den Lauf der Geschichte zu manipulieren, während du dich in den Schatten versteckt hast, und nun sind diese Pläne endlich in Erfüllung gegangen. Die %7-Rasse hat die Herrschaft über die Neue Republik übernommen und sie haben sich als formbar und empfänglich für deine Pläne und deinen Rat erwiesen. Als Vertraute und Berater ist Ihr Volk in einer einzigartigen Position, um die Macht der Galaxis selbst unter der Führung Ihres Verbündeten zu lenken. Sie sind zu weit von der direkten Autorität entfernt, um jemals die Rückwirkung zu spüren, sollte die Sache scheitern. Wenn Sie Erfolg haben, wird die Verstärkung Ihrer Reihen durch die Ankunft Ihrer lange verlorenen Verwandten mehr als genug sein, um ein neues Zeitalter zu beginnen und die Waage mit überwältigender Mehrheit zu Ihren Gunsten zu kippen...
GAME_OVER_COUNCIL_WIN2            | Die erste Phase ist abgeschlossen, jetzt beginnt der wahre Test...#Die Ratskammern brechen in Jubel aus, als Sie Ihre Herrschaft als Meister der Neuen Republik antreten. Du nimmst demütig die Bürde der Verwaltung an, die dir von den Imperien, die den Galaktischen Rat bilden, auferlegt wurde, wohl wissend, dass dieses Ende das Ergebnis eines Plans ist, der lange vorbereitet wurde. Kurz nachdem Ihr Volk in dieser Dimension ankam und von ihren Geheimnissen erfuhr, wussten Sie, dass es für Sie allein unmöglich sein würde, einen Weg zu finden, Ihren gefangenen Brüdern und Schwestern die Reise in diese Ebene zu ermöglichen, bevor ihr Universum vollständig kollabiert. Jetzt, nach vielen Jahren der Diplomatie, der Heimlichkeit und der politischen Manipulation, müssen Sie das nicht mehr. Schon bald werden Sie die Technologie, die Stärke und die Innovationskraft Ihrer Verbündeten dazu bringen, Ihnen dabei zu helfen, ein Portal zu Ihrer Heimat zu öffnen und Ihre Zivilisation hier mit so vielen Ihrer Leute, wie Sie einführen können, wieder aufzubauen. Und sollte es irgendjemand wagen, Sie aufzuhalten, so stehen Ihnen jetzt die Armeen der Neuen Republik zur Verfügung, um ihren Widerstand ein für alle Mal zu brechen...
GAME_OVER_COUNCIL_MILITARY_WIN2   | Die erste Phase ist abgeschlossen, jetzt beginnt der wahre Test ... #Nun ist Ihre Herrschaft über diese Galaxie in Wort und Tat bestätigt. Nach unzähligen Jahren der Manipulation Ihrer interstellaren Rivalen, damit diese Ihnen helfen, Ihre Ziele voranzutreiben, wurden Ihre Pläne endlich verwirklicht, als Sie den Titel "Meister der Neuen Republik" erlangten. Und als sich die Stimmen Ihrer Dissidenten gegen Sie erhoben, hatten Sie bereits Pläne innerhalb von Plänen in Gang gesetzt, die es Ihnen ermöglichten, die Rebellion entscheidend niederzuschlagen. Sie kämpften, Sie gewannen, und nun gehört die gesamte Galaxie Ihnen, um damit zu machen, was Sie wollen. Nachdem Ihre Feinde zu Staub zermahlen und in den Sonnenwinden verstreut sind, wenden Sie sich Ihrem wahren Ziel zu: einen Weg zu finden, Ihr zerstörtes Volk über den dimensionalen Abgrund in dieses neue und stabile Universum zu bringen, in dem Ihr Imperium wiedergeboren werden kann. Niemand würde es jetzt noch wagen, sich gegen Sie zu stellen, nicht nachdem er gesehen hat, was mit denen passiert ist, die töricht genug waren, dies zu tun...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Das Ende deiner Suche, das Ende deines Volkes...#Das traurigste Schicksal, das du für dein Volk hättest erreichen können, ist Wirklichkeit geworden. Deine unübertroffene Fähigkeit zur Täuschung und Manipulation wurde von minderwertigen Spezies vereitelt, die nicht hoffen konnten, das große Werk zu verstehen, das du zu vollbringen versuchtest. Obwohl Sie die monumentale Aufgabe, gewählter Herrscher der Galaxis zu werden, erfolgreich bewältigt haben und gleichzeitig die Geheimhaltung Ihrer Ziele aufrechterhalten konnten, waren Sie nicht in der Lage, die Rebellion zu unterdrücken, die sich schon bald gegen Ihre aufkeimende Herrschaft erhob.#Jetzt ist es zu spät für Sie, die Zukunft der Galaxis in die Richtung zu lenken, die Sie für richtig halten. Die Rebellion hat die Neue Republik nur noch als Ruinen hinterlassen, die die Sieger plündern und neu aufbauen können. Und der Tod der Nazloks besiegelt das Schicksal derer, die in einem dem Untergang geweihten Universum gefangen sind, aus dem sie keine Hoffnung haben zu entkommen. Ihr Versagen hat das Schicksal Ihres Imperiums nicht nur in einem, sondern in zwei Universen besiegelt und ist als solches monumentaler, als irgendeiner Ihrer Feinde auch nur begreifen könnte...
// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | der schattenhafte Griff der Nazloks umgarnt
GAME_OVER_REBELLION_LOSS3         | die undurchschaubaren Machenschaften der Nazloks

