// race-specific variables (must start with _)
_empire                           | Mentaran Republik, Mentalon Republik, Psychon Republik, Cerebron Republik, Neuralon Republik
MAIN_ADVISOR_COUNCIL              | Bald wird es ein freudiges Treffen der größten und mächtigsten Völker der Galaxie geben. Wir sollten an diesem Galaktischen Rat teilnehmen und die Weisheit unserer himmlischen Nachbarn hören.
MAIN_ADVISOR_RESIST_COUNCIL       | Es beunruhigt mich, dass all unsere Bemühungen zu diesem Krieg geführt haben, aber wenn die einzige Alternative darin besteht, sich diesem kriegstreiberischen Rat zu unterwerfen, dann sehe ich keine andere Wahl für unser Volk! 
MAIN_ADVISOR_COUNCIL_RESISTED     | Macht es Sie nicht traurig, dass andere den Frieden so vehement ablehnen? Stählen Sie Ihre Entschlossenheit, Hoher Rat: Dies wird der letzte Krieg sein, den diese Galaxie je sehen wird.



// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Die Republik liegt nun in Trümmern... #Einst träumte Ihr Volk von einer geeinten Galaxie und wünschte sich nichts sehnlicher als Wohlstand und ein friedliches Zusammenleben für alle. Aber die bittere Wahrheit der Realität hat deutlich gemacht, dass nicht alle Ihren Traum teilten, und Feinde mit unvorstellbarer Stärke haben ihre Bemühungen auf eine gewaltsame Eroberung gelenkt. Indem sie die Wünsche Ihres Volkes manipulierten, um Ihren Widerstand zu verhindern, setzten sie ihre Kriegsmaschinen ein, um einen verheerenden Schlag nach dem anderen zu versetzen, und Sie waren letztlich machtlos, sich gegen sie zu verteidigen.#Die Gezeiten des Krieges haben Sie überwältigt, als die letzte Bastion der republikanischen Streitkräfte ihren letzten Widerstand leistete. Wäre Ihr Volk weniger bereit gewesen, sich von Rivalen militärisch übertreffen zu lassen, wäre Ihr Schicksal am Ende anders verlaufen? Als Ihre Feinde den Eingang zu der Festung aufbrechen, in der Sie Ihren letzten Widerstand geleistet haben, werden Ihre letzten Gedanken düster, als Sie erkennen, dass Sie die Antwort nie erfahren werden ...
GAME_OVER_MILITARY_WIN2           | Frieden, um den furchtbarsten aller Preise... # Ein schrecklicher Preis wurde gezahlt, um die Träume der Republik zu verwirklichen. Als Ihre himmlischen Nachbarn gewalttätig und kompromisslos wurden, waren Sie gezwungen, zwischen der Sicherheit Ihres Volkes und der totalen Vernichtung zu wählen. In zahlreichen Debatten in den Senatskammern trafen Sie eine schreckliche Entscheidung: Ihre Flotten in die Feuer des Krieges zu stürzen und zu beten, dass Ihr Volk überleben würde. Das Ergebnis war bittersüß: Obwohl Ihr Volk als Sieger hervorging, geschah dies auf Kosten aller anderen intelligenten Lebewesen in der Galaxis.#Während die letzten Spuren des Konflikts durch die Stille des Raums hallen, überkommt eine Stille die Galaxis, da ein neues Zeitalter des Friedens beginnen wird. Das Volk der Mentaran-Republik, verteilt auf zahlreiche Welten, blickt gemeinsam zum Himmel auf, um das Ende dieses letzten großen Krieges zu feiern, aber kein Jubel und keine Jubelrufe sind zu hören. Große Trauer ergreift Ihr Herz in dieser Stunde, denn Sie erkennen, dass gerade die Galaxie nie wieder die Schrecken des Krieges kennen wird, ebenso wenig wie die Freuden der Vielfalt, die das Leben selbst mit sich bringt...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Frieden, aber zu einem hohen Preis #Als Ihr Volk Ihre Friedensbotschaft in der Galaxie verbreitete, trafen Sie auf zahlreiche Rassen, die ein offenes Ohr für die Botschaften hatten, die Ihre Diplomaten zu ihnen brachten. Obwohl einige Ihren Vorschlägen mit Betrug und Gewalt begegneten, gab es auch solche, die ernsthaft zuhörten und mit der Zeit Ihre Ansichten teilten. Als die Grenzen gezogen waren, entschieden sich diejenigen, die Eure Rufe hörten, als Eure Verbündeten in diesem Kampf zu stehen, und gemeinsam überstandet Ihr den Sturm eines großen Krieges. Obwohl Ihr Volk gezwungen war, gegen seine heiligsten und wertvollsten Prinzipien zu handeln, wurde am Ende der Sieg errungen, und nun können Ihre Verbündeten an den Früchten des Wohlstands teilhaben, die nur der Frieden bringen kann. Obwohl es unermesslich traurig ist, so viele Leben zu nehmen und lebendige Zivilisationen auszulöschen, wissen Sie in Ihrem Herzen, dass es notwendig war, dieses letzte Kapitel in der Geschichte Ihres Volkes zu erreichen: der letzte große Krieg, den diese Galaxie jemals kennen wird, ist zu Ende gegangen, und es kann endlich Frieden herrschen. Ob dieser Frieden jedoch von Dauer ist, hängt von der Entschlossenheit der Verbündeten ab, die Sie auf Ihrem Weg gefunden haben...
GAME_OVER_COUNCIL_LOSS2           | Endlich Frieden, koste es, was es wolle...#Jetzt kommt endlich der wahre Test für Ihre Entschlossenheit. Der Galaktische Rat hat seinen Willen kundgetan, und trotz deines unerschütterlichen Wunsches, dass der Frieden die führende Kraft in der Galaxis sein soll, wird der Meister der Neuen Republik doch nicht Mentaran sein. Obwohl in den Kammern des Senats wütende Debatten tobten, konntet Ihr Euch schließlich einigen. Ihr habt Euch entschieden, den Ritus abzutreten, um das %7 anzuführen. Aber all Eure Beziehungen zu diesem Imperium haben Euch gezeigt, dass es sich um eine gefährliche Rasse handelt, und Ihr habt keinen Zweifel daran, dass der Anführer der Neuen Republik den Frieden zweifellos nur so lange aufrechterhalten wird, wie es seinen Zielen dienlich ist.#Und was wird die Republik tun, wenn es zum Krieg kommt? Was wird sie tun, wenn ihre Existenz nicht mehr zu den Plänen der Galaxis passt, denen sie sich nun unterwirft? Das wird ein Weg sein, den Ihr Volk in der Zukunft gehen muss, und es wird die Entscheidung, die Sie jetzt getroffen haben, entweder als diejenige betrachten, die den Traum vom Frieden am Leben erhält, oder als diejenige, die sein Schicksal für immer besiegelt...GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Peace, though not how you desired it...#The decision of the Galactic Council to vote against you as their leader was not one met with enthusiasm amongst the Mentarans. Fortunately, you were wise enough to foresee this result and maneuver deftly to avoid a far worse outcome than the one that came to be: in your stead, the %6 race will now determine the future of the entire galaxy.#As you rise along with the Mentar sun on the first day of this new galactic order, you still feel a sense of triumph for the way in which you were able to steer these events to achieve this ending. Your allies have proven themselves wise enough for this task, and while none can claim as much love for peace as your people, you hope that, somehow, you can trust the %8 to see your ultimate goal achieved...
GAME_OVER_REBELLION_LOSS2         | Die Republik liegt nun in Trümmern... #Es schien, als ob das Schicksal selbst Ihnen von Anfang an einen Strich durch die Rechnung machen wollte. Die Schwierigkeiten, die mit der Aufrechterhaltung eines raumfahrenden Imperiums und der ständigen Kriegsgefahr durch fremde Mächte einhergehen, waren schwer genug zu bewältigen, aber die letzte Prüfung, die einfach nicht ignoriert werden konnte, kam, als der Galaktische Rat beschloss, die kriegstreiberische %6-Rasse als Herrscher der Neuen Republik zu installieren. Da Ihr Volk wusste, dass die Galaxis mit einem so gewalttätigen Volk an der Spitze nicht in Frieden bleiben konnte, ging es geschlossen auf einen Weg, der ihm letztendlich zum Verhängnis werden sollte: Ihr Volk verfügte über eine Intelligenz, die von keiner anderen Spezies übertroffen wurde, und war in der Lage, wundersame und verheerende Technologien zu entwickeln, die ihm im Krieg halfen. Doch die geballte Macht der Neuen Republik war zu groß für Sie, und am Ende verbrannten Ihre Flotten, da sich die zahlenmäßige Überlegenheit als mehr als nur ein Vergleich mit der überlegenen Technologie erwies. Nun, da sich das Rad des Schicksals auf seine letzte Drehung vorbereitet, stehen die letzten Überreste der Mentaran-Republik kurz davor, aus der Galaxis getilgt zu werden. Ein Opfer im ersten von vielen Kriegen, die noch kommen werden, und ohne Ihr Volk, das sie in eine bessere Zukunft führen wird, ist es unwahrscheinlich, dass diese Galaxie jemals die Vorzüge des wahren Friedens kennenlernen wird...
GAME_OVER_REBELLION_WIN2          | Frieden, aber zu einem schrecklichen Preis... #Die kurzlebige Neue Republik gibt es nicht mehr! Obwohl Sie mit all Ihren Bemühungen versucht haben, die Imperien dieser Galaxie zu einer harmonischen Koexistenz zu bewegen, erwiesen sich die Imperien selbst als das größte Hindernis bei der Verwirklichung Ihres Traums vom Frieden für alle. Indem sie Ihren zahlreichen Versuchen der Diplomatie mit Treulosigkeit und Verrat begegneten, brachten Ihre Rivalen Sie in eine Lage, für die es nur einen Ausweg gab. Nun liegen ihre Flotten, ihre Welten und ihre eigenen Reiche in Trümmern, denn selbst die vereinte Macht der gesamten Galaxis war dem überlegenen Intellekt und der technologischen Macht der Mentaranen nicht gewachsen. Auch wenn Eure Historiker zweifelsohne freundlich mit Euren ehemaligen Feinden umgehen werden, ändert das nichts an der Tatsache, dass jede dieser einzigartigen Kulturen ausgelöscht wurde, ohne die Möglichkeit, etwas zur Gestaltung der Zukunft beizutragen. Zumindest, Hoher Rat, ist Ihr Volk in Sicherheit, und Frieden wird das einzige Credo sein, an das sich die Zukunft halten wird. Das heißt, natürlich, bis Ihr Einflussbereich über diese Galaxie hinausreicht und zu dem, was Sie im unbekannten Jenseits erwartet...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Frieden, aber zu einem hohen Preis... #Vor langer Zeit blickte Ihr Volk mit Hoffnung im Herzen zum Nachthimmel, und Ihre gesamte Rasse war vereint in dem Bestreben, ein riesiges Weltraumimperium zu schaffen, das harmonisch mit seinen himmlischen Nachbarn existierte. Als sich Ihr Feldzug dem Ende zuneigte, fanden Sie Ihren Traum auf eine Weise erfüllt, die Sie nicht erwartet hatten und die Sie mit allen Mitteln zu verhindern suchten. Obwohl eine neue galaktische Föderation von Imperien gebildet wurde, zwang die Entscheidung, einen gewalttätigen Anführer in ihre höchste Position zu berufen, Sie dazu, ein letztes Mal für den Frieden zu kämpfen. Mutig stellten Sie sich gegen den Strom und erklärten diesem despotischen Regime den Krieg, und gegen alle Widrigkeiten waren Sie in der Lage, erfolgreich zu sein.#Das Schicksal lächelte Ihnen bei diesem Unterfangen zu, denn andere wurden durch Ihre Tapferkeit und die Ruhe, die Sie bei einem Sieg versprachen, inspiriert, und in diesem Kampf standen Sie nicht allein. Deine Verbündeten kämpften mit einer Grausamkeit, die in ihrem Eifer entnervend war, und gemeinsam konntet ihr diejenigen vernichten, die die Galaxie in eine Ewigkeit des Krieges stürzen wollten, und dieser Galaxie ein für alle Mal Frieden bringen. Die neue Ära beginnt nun, Hoher Rat, und Sie können nur hoffen, dass diejenigen, die sich entschieden haben, sie mit Ihnen aufzubauen, sich so lange an ihre Prinzipien halten, wie es Ihr Volk tun wird...
GAME_OVER_COUNCIL_WIN2            | Endlich Frieden, zum Wohle aller!#Endlich hat Ihre Suche ihr glorreiches Ende erreicht! Die Prüfungen, denen Sie in den langen Jahren seit Ihrem Aufbruch in den Weltraum begegnet sind, haben sich als schwieriger erwiesen, als Sie sich vorstellen konnten. Obwohl Ihr Volk schon lange wusste, dass friedliche Koexistenz der einzig wahre Weg ist, mussten die mächtigen Imperien, denen Sie auf Ihrer Reise begegneten, erst überzeugt werden. Durch geschickte Diplomatie und monumentale Geduld konnten Sie Ihre Unternehmungen zum Erfolg führen, und nun stehen Sie unangefochten als Herrscher dieser Galaxie da.#Jetzt beginnt eine neue Prüfung. Wenn die Mentaran-Republik die Führung in der Galaxie übernimmt, wird Ihre Zivilisation das Beispiel für alle anderen sein, denen sie folgen soll. Weitere Schwierigkeiten erwarten Sie in der Zukunft, da alte Spannungen und kulturelle Unterschiede auftauchen und den Frieden, den Sie so hart erarbeitet haben, belasten werden. Aber Sie wissen, dass, solange Ihr Volk in seiner Vision standhaft bleibt, kein Lebewesen in dieser Galaxie jemals wieder die Schrecken des Krieges erleben muss! GAME_OVER_COUNCIL_MILITARY_WIN2   | Peace at last, though bittersweet...#Once you assumed leadership of the New Republic, you hoped that it would mark a new beginning for the galaxy in which violence and war would yield to peace and prosperity. However, your hopes were quickly dashed, as the most vicious denizens of the galaxy rose up to reject your ruling and steeped all known empires into yet another horrid war. Seeing the last chance for peace slip away before your eyes, you made the only decision you could: to meet their aggression with the full force of the New Republic, and together you and your allies sent your fleets to restore order to the galaxy.#With the rebels ground to dust, peace can at long last be given its due. It is sad that so many voices have denied themselves a right to help shape the bright future that lies ahead, but you cannot give much time to the grief that weighs heavy on your heart. They chose their fate, and their fate was delivered to them. Now, High Councilor, the new era dawns with you at the helm. There is still so much work left to do...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Die Neue Republik liegt in Trümmern...#Ein schreckliches Schicksal hat Sie ereilt. Gerade als Ihre Suche sich endlich dem Ende zuneigte und Sie die Früchte Ihrer langen Arbeit ernten wollten, wurde Ihnen Ihr Traum von einer friedlichen Föderation der Imperien entrissen. Obwohl sich viele im Galaktischen Rat Harmonie und Wohlstand wünschten und sahen, dass Sie derjenige waren, der die Galaxie in eine solche Zukunft führen sollte, entstand eine abscheuliche Rebellion, da diejenigen, die am meisten zur Gewalt neigten, nicht bereit waren, ihr ursprüngliches Bedürfnis nach wilder Wildheit abzulegen. Gegen deine eigenen Ideale hast du die Streitkräfte der Neuen Republik angeführt, um dieser Bedrohung zu begegnen, und gegen eine solch überwältigende Kraft konntest du den Sieg nicht herbeiführen.#Jetzt ist die Galaxis viel leerer als zuvor, da deine stolze und edle Zivilisation völlig ausgelöscht wurde. Während Eure Feinde Eure Prinzipien als schwach und idealistisch verspotten, wisst Ihr auch, dass die Geschichte ebenso unfreundlich zu Eurem Versagen sein wird. Diejenigen, die übrig bleiben, werden unter Tyrannei und Krieg erzittern, und Gewalt wird anstelle von Frieden herrschen. Das ist das Ende dieses langen und schwierigen Kampfes, das Sie sich am wenigsten gewünscht haben, und zumindest für Sie ist die Geschichte zu einem höchst unglücklichen Ende gekommen...
// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | der unübertroffene Intellekt der Mentaranen übertrumpft
GAME_OVER_REBELLION_LOSS3         | der unnachgiebige Friedenswille der Mentaranen
