// race-specific variables (must start with _)
_empire                           | Ursinathi Imperium, Bearathi Imperium, Ursinathi Imperium, Pawrathi Imperium, Grizzlathi Imperium
GAME_OVER_MILITARY_WIN2           | Der Zorn deines Imperiums ist ungebrochen!#Du stehst nun an der Schwelle zum totalen Sieg über jedes Imperium, das sich deinem Volk zu erkennen gegeben hat. Törichterweise dachten sie, sie wären in der Lage, sich deiner militärischen Macht zu widersetzen, nur um festzustellen, dass ihre Flotten zerbrochen und ihre Leute verstreut waren, um einem schmachvollen Ende entgegenzusehen. Haben sie die Wut in Euren Herzen nicht erkannt? Haben sie nicht die Hartnäckigkeit Eurer Überzeugungen erkannt? Das spielt jetzt keine Rolle mehr, denn die Sieger brauchen sich nicht um die Gedanken der Besiegten zu kümmern, und es gibt niemanden mehr, der die Tatsache anfechten könnte, dass Sie und nur Sie allein alle beherrscht haben, die sich Ihnen in den Weg gestellt haben. Vor langer Zeit ist Ihr Volk aufgebrochen, um seinen Platz in diesem Universum zu finden, und Sie haben ihm gezeigt, dass es dazu bestimmt ist, am Ende seiner Reise diese Galaxie zu beherrschen. Es lebe der Sieg, Großer Hierarch! Heil dem Ursinathi-Reich! 
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Jetzt gibt es niemanden mehr, der es wagen würde, deinen Zorn herauszufordern.#Als Großhierarch des Ursinathi-Imperiums befürchteten Sie, dass diejenigen, denen Sie im Weltraum begegneten, mit Ihrer Zukunftsvision unvereinbar sein würden und schließlich vernichtet werden müssten. Und in der Tat haben viele von ihnen genau das bewiesen, obwohl sie alle hinter dem blutigen Pfad liegen, den die Galaxis dich gezwungen hat zu beschreiten. Aber Sie haben Grund zur Zuversicht gefunden, denn nicht alle, denen Sie begegnet sind, erwiesen sich als so unangenehm, und Sie haben am Ende dieser langen und turbulenten Reise Freunde gefunden. Die Schätze dieser Welten sind reich, und die Philosophien, die Ihre Verbündeten leiten, werden sich als interessante Überlegungen erweisen, über die Ihre großen Geister jahrhundertelang sinnieren können. Das heißt, natürlich, solange sie sich einig sind...
GAME_OVER_DIPLOMATIC_LOSS2        | Die Wut Ihres Imperiums ist gebändigt. #Niemand könnte Ihre Bemühungen als weniger als tapfer beschreiben. Trotz überwältigender Chancen hat sich Ihr Volk ein Leben in den Tiefen des Kosmos erkämpft und in der ganzen Galaxie Welten für das Imperium gewonnen. Leider war Ihre Wildheit den überlegenen technologischen Innovationen und politischen Manövern der außerirdischen Rassen, denen Sie im Weltraum begegneten, nicht gewachsen. Da Ihnen kein Mittel zur Verfügung stand, das Ihnen den Sieg über den Galaktischen Rat ermöglicht hätte, haben Sie die einzige Wahl getroffen, die Sie treffen konnten: Unterwerfung unter den Anführer der Neuen Republik und Verhinderung eines Krieges, der Ihr Imperium mit Sicherheit völlig auslöschen würde.#Obwohl Ihr Kriegergeist einen vernichtenden Schlag erlitten hat, wissen Sie, dass Ihre Entscheidung richtig war. Immerhin haben Sie damit das Überleben Ihres Volkes auf dem Weg in die Zukunft der Galaxis gesichert. Die Alternative zu Ihrer Entscheidung war einfach zu schrecklich, um sie sich vorzustellen...
GAME_OVER_ALLIANCE_WIN2           | Die Wut deines Imperiums ist gebändigt. #Viel ist geschehen, seit Sie Ihr Volk von seiner Heimatwelt geführt haben, in der Hoffnung, ihm zu helfen, seinen Platz in der Galaxie zu finden. Deine Siege haben deinem Volk viel gebracht, und viele Ländereien wurden in das Territorium des Imperiums eingegliedert, um den Ursinathi eine gute Zukunft zu sichern. Unglücklicherweise blieb der ultimative Preis, die Neue Republik anzuführen, für Sie unerreichbar, da Ihre Grausamkeit auf dem Schlachtfeld vielleicht zu viel Furcht erweckt hat, um Ihnen Ihr Ziel zu ermöglichen.#Aber es ist noch nicht alles verloren: ein vertrauenswürdiger Verbündeter hat sich stattdessen an die Spitze des Rates gestellt und war erfolgreich darin, die anderen Imperien davon zu überzeugen, dass ihre Sichtweise für die Zukunft die richtige ist. Während Ihr Volk sich danach sehnt, Sie als Herrscher dieser neuen Zukunft zu sehen, wissen Sie, dass Sie Ihre Verbündeten gut gewählt haben: Zusammen mit den %8 werden Sie Ihrem Volk einen Platz in der Zukunft dieser Galaxie sichern, egal was die Zukunft bringt...

GAME_OVER_REBELLION_LOSS2         | Die Wut deines Imperiums ist unterdrückt.#Die Kriege dieser Galaxie sind zu einem Ende gekommen. Ihr Volk hat hart gekämpft, mit einer Wut und einem Zorn, wie man ihn bei den anderen Imperien nicht gesehen hat, aber am Ende könnten ihre Siege Ihr Verderben gewesen sein. Die Grausamkeit, mit der Ihr Volk kämpfte, wirkte wie eine Folie gegen Sie, und ein Feind erhielt die Führung der Neuen Republik, als er die Ratsmitglieder davon überzeugte, dass Sie einfach zu wild sind, um Ihnen zu trauen. Als die %8 der Galaxis konnten Sie nichts weiter tun, als das Unvermeidliche hinauszuzögern.#Das Ursinathi Imperium fiel schließlich vor seinen Feinden. Während Ihre Territorien unter den Siegern aufgeteilt werden und Ihre Relikte und Städte zu Staub zerfallen, um in den Winden der Geschichte verstreut zu werden, werden die Legenden Ihres Volkes und seines tapferen letzten Widerstandes den Nachkommen derer, die diese Galaxie erben werden, wohl kaum Angst einjagen. Am Ende ist es schließlich der Sieger, der entscheidet, welche Geschichten die Geschichte erzählen wird... 
GAME_OVER_REBELLION_WIN2          | Die Wut deines Imperiums ist ungebrochen!#Endlich sind Sie nun an dem Ort angelangt, von dem Sie wussten, dass das Schicksal Sie dorthin führen würde: die totale Vernichtung jeder anderen Rasse in der Galaxie! Deine unvergleichliche Wut erwies sich als überwältigend für deine Feinde, die in ihrer Feigheit ein Bündnis gegen dich suchten. In der Hoffnung, dass ihre vereinte Macht ausreichen würde, um euch zu vernichten, huschten sie wie Feiglinge über die Sterne, um zu versuchen, eure Welten zu Asche zu verbrennen. Sie waren töricht, dies zu glauben, und Euer Volk hat ihnen gezeigt, wie vergeblich sich ihre Ambitionen am Ende erwiesen haben.#Siehe, Großer Hierarch, eine Galaxie, die Euch zur Verfügung steht. Ihr werdet nach Belieben Welten zu Eurer Herde hinzufügen. Für Ihr Volk und Ihr Volk allein werden Sie die Reichtümer der zahllosen Planeten ungehindert ernten. Und wenn Sie alles eingenommen haben, was diese Galaxie zu bieten hat, wird die Zeit kommen, dass Sie Ihre Macht auf die Galaxien richten, die jenseits davon liegen...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Jetzt gibt es niemanden mehr, der es wagen würde, deinen Zorn herauszufordern.#Die Sonne geht auf über dem, was einst die Neue Republik war, und du nimmst den Platz ein, den du von Anfang an hättest einnehmen sollen. Es war offensichtlich, wie deine ehemaligen Feinde handeln würden, als sie sich zusammenschlossen, denn ihre Angst vor dir war so groß, dass sie sich in Paranoia vor deiner Macht vereinten. Eure Rebellion war gerecht; niemand konnte von einer so großen Kriegerrasse wie der euren erwarten, dass sie wie alberne Schwächlinge kriecht und fleht. Ihr habt sogar behauptet, dass nur der Untergang auf Eure Feinde warten würde, egal wie zahlreich sie waren. Hätten die Narren nur auf dich gehört! #Ihr seid jedoch nicht ohne Gnade. Diejenigen, die weise genug waren, sich mit dir zu verbünden, werden die Früchte einer großzügigen Zukunft mit dir genießen, und ihre Tapferkeit und Weisheit wird in deinem gesamten neuen Reich geehrt werden. Sie sind der lebende Beweis für deine Barmherzigkeit, und nie wieder werden sie einen Feind zu fürchten haben. Das gilt natürlich nur, solange sie loyal und fügsam bleiben...
GAME_OVER_DIPLOMATIC_WIN2         | Die Wut deines Imperiums regiert alles!#Diese Galaxie und ihre Bewohner gehören Ihnen. Von Beginn Ihres interstellaren Feldzugs an sind Sie vielen Feinden und wenigen Freunden begegnet. Obwohl Ihre Schlachten hart umkämpft waren, gehörte der Nervenkitzel des Sieges Ihrem Volk, während diejenigen, die zu töricht waren, die Fehler ihres Weges einzusehen, dem Untergang geweiht waren. Diejenigen, die blieben, sahen nicht nur eine Macht, die sie fürchten sollten, sondern auch einen Intellekt, der ihren Respekt verlangte, und in der letzten Sitzung des Galaktischen Rates wurdest du auserwählt, das, was als die Neue Republik bekannt werden würde, in eine glänzende Zukunft zu führen.#Die Zeit der Prüfung deiner Stärke ist zu Ende: die Zeit der Prüfung deiner Weisheit beginnt jetzt. Was die Zukunft für die Republik unter der Führung des Philosophen-Königs des Ursinathi-Imperiums bereithält, ist unbekannt. Aber eines ist sicher: Es gibt jetzt niemanden mehr, der sich Eurer Führung widersetzen würde, denn Eure unbezwingbare Stärke gibt Euch die nötige Sicherheit, um alle Zweifel und Ängste Eurer neu gewonnenen Untertanen zu zerstreuen. Hoch lebe die Neue Republik und hoch lebe der Großhierarch des Ursinathi-Reiches!
GAME_OVER_NEW_REPUBLIC_WIN2       | Es gibt jetzt keinen mehr, der es wagen würde, deinen Zorn herauszufordern. #Es sollte eine Ära des Friedens werden, als du den Thron der Neuen Republik bestiegen hast. Während viele Imperien Freude daran fanden, einem starken Anführer zu folgen, der sie in die Zukunft führt, hielten sich ein paar kurzsichtige Narren für weiser und stärker als der rechtmäßig gewählte Herrscher der Galaxis. Deine erste Bewährungsprobe als Steward der Neuen Republik hast du schnell bestanden, und dein schnelles und entschlossenes Handeln hat nicht nur die Rebellion niedergeschlagen, sondern auch deine Position als Anführer mit einem Schlag gefestigt.#Deine Feinde sind die Feinde der Galaxis, und sie liegen gebrochen und besiegt vor der vereinten Macht deines Imperiums und der Flotten der Zivilisationen, die dir dienen. Sie werden jenen als Warnung dienen, die die Republik in Zukunft bedrohen: Nehmt euch in Acht vor den Kriegstreibern, denn diese Galaxis wird vom mächtigsten König regiert, den es je gab. Mögest du lange regieren, Großhierarch, und möge deine hart erarbeitete Zukunft heller sein, als es sich dein Volk je vorstellen konnte!
GAME_OVER_NEW_REPUBLIC_LOSS2      | Der Zorn deines Reiches ist gebrochen. #Die Tage des Unheils sind gezählt. Nach Jahrhunderten der Eroberung und Erforschung hatten Sie Ihren Wunsch erreicht, die Galaxie mit einer weisen und mächtigen Herrschaft anzuführen. Die Rebellion, die aufkam, um sich deiner Herrschaft zu widersetzen, schien klein und zum Scheitern verurteilt zu sein angesichts deiner vereinten Allianz mächtiger Imperien. Aber die Rebellen besaßen eine Gerissenheit, mit der Sie nicht gerechnet hatten, und setzten sie ein, um Ihre überwältigende physische Überlegenheit auf Schritt und Tritt zu kontern. Ihre unfähigen Verbündeten erwiesen sich als unfähig, eine Verteidigung zu formulieren, und bevor sie überhaupt richtig begonnen hatte, war der Traum von der Neuen Republik so tot wie die Zivilisationen, die sie einst ausmachten. Jetzt liegt die Zukunft in den Händen der bösen Rebellen, die alles tun würden, um Sie zu entthronen. Sie sind es, die am Ende verlieren werden, denn ohne Ihre Weisheit, die sie leiten könnte, wird ihre Torheit sicher zu den schlimmsten Konsequenzen führen...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | die unübertroffene Wut der Ursinathi
GAME_OVER_REBELLION_LOSS3         | die ungezügelte Wut der Ursinathsi dominiert
