// race-specific variables (must start with _)
_empire                           | Τριανδρία Άνθρωπων, Τριανδρία Γήινων, Τριανδρία Τέλλαν, Τριανδρία Πρώιμων, Τριανδρία Μεσογαίων
MAIN_ADVISOR_RESIST_COUNCIL       | Φαίνεται ότι αυτός θα είναι ο τελικός μας πόλεμος με τον ένα ή τον άλλο τρόπο. Απλώς ελπίζω ότι όλα εκείνα για τα οποία το παρελθόν μας  δίδαξε θα είναι αρκετά για να προετοιμαστούμε για όσα βρίσκονται μπροστά ...
MAIN_ADVISOR_COUNCIL_RESISTED     | Κοιτάξτε αυτούς τους ανόητους επαναστάτες! Έχουμε εκλεγεί δημοκρατικά για να οδηγήσουμε αυτόν τον γαλαξία προς τα εμπρός και το μόνο που μπορούν να σκεφτούν είναι πόλεμος;! Τότε ας τους δώσουμε αυτό που ζητούν!

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Τα καλύτερα σχέδια σας έχουν αποτύχει μόνιμα.#Το δικό σας ήταν ένα είδος που είχε ξεπεράσει τις κακουχίες τόσο τις εξωτερικές όσο και αυτο-προκαλούμενες. Αλλά εδώ, στα βάθη του χώρου, οι άνθρωποι σας βρήκαν μια δυσκολία που δεν μπορούσαν να αντέξουν από τους εχθρούς που δεν μπορούσαν να ελπίζουν να αντιμετωπίσουν. Ακόμα και όταν στάθηκαν ενωμένοι απέναντι σε αυτόν τον κοινό εχθρό, η δύναμη και η επινοητικότητα της ανθρωπότητας αποδείχτηκε ότι ξεπεράστηκε σε κάθε επίπεδο και μια αυτοκρατορία που υπερηφανεύόταν για την ικανότητα διατήρησης ισχυρών διπλωματικών δεσμών έπεσε σε εκείνες που δεν μπορούσε να χρησιμοποιήσει την εν λόγω διπλωματία ενάντια τους.#Δεν θα υπάρχουν πια όνειρα από τους ανθρώπους της Γης, δεν θα υπάρχουν περισσότερα γραπτά, δεν θα υπάρχει άλλη τέχνη και άλλα τραγούδια. Η ελπιδοφόρα φωνή της ανθρωπότητας που κάποτε τραγουδούσε στον Κόσμο δεν είναι πλέον απλώς μια απολαυστική αποφυγή, αλλά επίκειται να αντικασταθεί σύντομα από ένα θλιμμένο μοιρολόι και μετά από μια σιωπή που θα διαρκέσει στην αιωνιότητα...
GAME_OVER_MILITARY_WIN2           | Τα καλύτερα σχέδια σας τελικά πέτυχαν. # Χαίρομαι, Τρίαρχε! Επιτέλους, τα πολλά χρόνια προετοιμασίας και η προσεκτική ενορχήστρωση των υποθέσεων σας έχουν τελειώσει με απόλυτη νίκη. Μόνο ένας αριστοτεχνικός διπλωμάτης θα μπορούσε να διατηρήσει φιλικούς δεσμούς με τόσες πολλές αυτοκρατορίες, απομακρύνοντας τους εχθρούς ένα προς έναν, και μόνο ένας λαμπρός τακτικός αναλυτής θα μπορούσε να οδηγήσει τις δυνάμεις του  στην επιτυχία ενάντια σε αυτούς τους τρομακτικούς και ισχυρούς εχθρούς. Χωρίς αμφιβολία αυτοί που μπορούσατε να πείσετε να παραμείνουν ώς σύμμαχοί σας καταράστηκαν την απόλυτη προδοσία σας με την τελευταία τους ανάσα. Τώρα δεν είναι τίποτα περισσότερο από μελάνι στις σελίδες της ιστορίας, και ακόμη και τότε μόνο αν αποφασίσετε να τους επιτρέψετε να είναι έτσι.#Σύντομα θα υπάρξει μια γιορτή ανά την επικράτεια της Τριανδρίας όπως η ανθρωπότητα δεν έχει ξαναδεί. Από τότε που οι άνθρωποι κοίταξαν για πρώτη φορά τα αστέρια αναρωτήθηκαν αν ήταν μόνοι στον γαλαξία. Τώρα, χιλιετίες αργότερα, αυτή η καυτή ερώτηση έχει λάβει την ηχηρή τελική απάντηση.
GAME_OVER_MILITARY_ALLIANCE_WIN2   | Τα καλύτερα σχέδια σας πέτυχαν τελικά.#Μόνο ένας ανόητος θα πίστευε ότι θα μπορούσε να οδηγήσει μια αυτοκρατορία σε οποιαδήποτε πραγματικά μόνιμη ειρήνη χωρίς να κάνει φίλίες στο δρόμο. Έχετε αποδείξει αναμφίβολα ότι δεν είστε ανόητοι, σε αντίθεση με τους εχθρούς που επιδίωξαν να σας εκδιώξουν από τον γαλαξία. Στην εποχή της ανάγκης σας, δεν ήταν η δύναμή σας ούτε η πονηριά σας, αλλά οι ισχυροί δεσμοί φιλίας που αποδείχτηκε η σωτηρία σας. Τώρα τα φαντάσματα των εχθρών σας γνωρίζουν μόνο την άθλια ήττα, ενώ εσείς και οι σύμμαχοί σας είστε ελεύθεροι να απολαύσετε τους καρπούς της ευημερίας μαζί στο διηνεκές.#Αυτή η μάχη, αυτή η νίκη, και αυτή η ειρήνευση θα αποδειχθούν όλα σημαντικά μαθήματα για τους απογόνους όσων είχαν εμπλακεί. Θα μάθουν πώς οι συμμαχίες είναι πιο ισχυρές από ακόμη και τα πιο τρομακτικά όπλα, και ότι οι ήρεμοι λογισμοί θα επικρατούν πάντα ενάντια ακόμη και στις πιο τρομακτικές αγριότητες. Χαλαρώστε και απολαύστε την ευημερία σας, Τρίαρχε, και να ξέρετε ότι οι άνθρωποι σας θα κάνουν το ίδιο πάντοτε...
GAME_OVER_COUNCIL_LOSS2           | Τα καλύτερα σχέδια σας έχουν μόνιμα αποτύχει.#Αυτή θα έπρεπε να ήταν η κορυφαία στιγμή σας: μια αποφασιστική διπλωματική νίκη που εξασφάλισε τη θέση σας πάνω από όλες τις άλλες αυτοκρατορίες του γαλαξία. Αντ 'αυτού, οι ελπίδες σας διακόπηκαν την ύστατη ώρα από έναν σφετεριστή στο θρόνο της Γαλαξιακής Δημοκρατίας, του οποίου οι διπλωμάτες αποδείχτηκαν ακόμη πιο πειστικοί και χαρισματικοί από τους δικούς σας. Χωρίς αμφιβολία όλη η δουλειά που κάνατε για τη διαμόρφωση συμμαχιών σύντομα θα στραφεί εναντίον σας, καθώς ο νέος κυβερνήτης του γαλαξία πείθει συστηματικά τους άλλους ότι μόνοι αυτοί ήταν ο καλύτερος σύμμαχος και ότι τα λόγια σας ήταν απλά ένα δόλιο δηλητήριο που είχε σχεδιαστεί για να παραχωρηθεί ο έλεγχος του μέλλοντος τους σε εσάς και στους ανθρώπους σας.#Οι διπλωματικοί σας στόχοι θα αλλάξουν τώρα από την πρόοδο των ιδανικών σας στην επιβίωση του είδους σας. Ένα μόνο λάθος βήμα θα μπορούσε να βυθίσει τους ανθρώπους σας στον τελικό τους πόλεμο. Παρακολουθήστε προσεκτικά τον ορίζοντα, Τρίαρχε: ακόμη και οι απλούστεροι και μηδαμινοί οιωνοί μπορεί να σημάνουν την αρχή του τέλους ...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Τα καλύτερα σχεδιασμένα σχέδιά σας εξασφάλισαν την επιβίωση της ανθρωπότητας.#Ενώ διαφορετικές αποφάσεις μπορεί να σας οδηγούσαν να αναλάβετε εσείς την ηγεσία της Γαλαξιακής Δημοκρατίας αντί του συμμάχου σας, κανείς δεν μπορεί να αρνηθεί ότι οι θαυμάσιοι πολιτικοί σας ελιγμοί σας έβαλαν σε θέση επιλογής. Λόγω της άθραυστης συμμαχίας σας με την φυλή %6, μπορείτε να είστε σίγουροι ότι κανείς δεν θα τολμήσει να απειλήσει την Τριαρχία όταν γνωρίζει πως κάνοντας το κινδυνεύει από την οργή ολόκληρου του γαλαξία. Έχετε δει το %8 και γνωρίζετε τη δύναμή του και, ως ο πιο βασικός έμπιστος σύμβουλος του Κυρίαρχου της Γαλαξιακής Δημοκρατίας, θα βεβαιωθείτε ότι οι επιθυμίες του λαού σας εκπληρώνονται ανεξάρτητα από το κόστος.#Τελικά, η επιβίωση είναι η ίδια η απόλυτη νίκη, και υπάρχει μικρή αμφιβολία ότι οι άνθρωποι σας θα επιβιώσουν σε αυτό το άγνωστο μέλλον. Και ποιος ξέρει, Τρίαρχε: ίσως το να είστε τα αυτιά και τα μάτια του νέου Κυρίαρχου του Γαλαξία αποδειχθεί εξίσου καρποφόρο με το να ήσασταν εσείς...
GAME_OVER_REBELLION_LOSS2         | Τα καλύτερα σχέδια σας έχουν χαθεί μόνιμα. # Είτε αυτό θεωρηθεί δύναμη είτε σφάλμα, η ανθρωπότητα είχε πάντα μια εγγενή ανάγκη να επαναστατήσει ενάντια στους καταπιεστές, και αυτή η ανάγκη έχει αποδειχθεί πολλές φορές ότι είναι η απόλυτη υπαρξιακή της αναίρεση. Ίσως ήταν αναπόφευκτο όταν οι ανθρώπινοι εκπρόσωποι απέτυχαν να διασφαλίσουν την ηγεσία της Γαλαξιακής Δημοκρατίας για την Τριανδρία. Ίσως ήταν βεβαιότητα ότι η φυλή %6, της οποίας η φιλοσοφία ήταν εντελώς ασυμβίβαστη με το όραμα του μέλλοντος που επιθυμούσε η ανθρωπότητα, θα αποδεικνυόταν ένας εχθρός πολύ ισχυρός για να τον αντέξει ακόμη και το ανθεκτικό πνεύμα της ανθρωπότητας. Υπάρχουν πολλά "τι θα γινόταν εάν;" που θα μπορούσαν να συζητηθούν, μα τώρα δεν υπάρχει καμία απάντηση, παρά η σιωπή που μένει.#Καθώς οι 8% και ο γαλαξίας, ακόμη και οι τελευταίοι υπερασπιστές της Τριανδρίας πέφτουν στη μάχη, η αυτοκρατορία καταρρέει. Η τελευταία λάμψη της ελπίδας για τους λαούς σας είναι ότι ξεκινούν έναν αγώνα που αξίζει κάποιας ενθύμισης: γιατί σίγουρα ξέρουν καθώς πεθαίνουν πως το να γίνουν φαντάσματα της ιστορίας είναι ότι καλύτερο μπορούν να ελπίζουν...
GAME_OVER_REBELLION_WIN2          | Τα καλύτερα σχέδια σας πέτυχαν επιτέλους.#Εκείνοι που πίστευαν ότι είστε ένας ηλίθιος ηγέτης ικανός μόνο για να μεσολαβεί των συμφωνιών έχουν ζήσει να δουν μια μέρα που σίγουρα θα το μετανιώνουν. Αν και παραδέχεστε ότι οι διπλωματικές διαπραγματεύσεις θα ήταν ο προτιμώμενος δρόμος για την ειρήνη, γνωρίζετε ότι ο γαλαξίας δεν μπορεί να ελπίζει να επιτύχει το καλύτερο δυνατό μέλλον του εάν η ανθρωπότητα δεν πάρει τα ηνία για να τον καθοδηγήσει εκεί. Εκείνοι που ψήφισαν κατά της νόμιμης ανάληψής σας μπορούν να πάρουν τις στάχτες της Γαλαξιακής Δημοκρατίας μαζί τους στους τάφους τους: η ανθρωπότητα δεν θα στερηθεί τη νόμιμη θέση της ανάμεσα στα αστέρια!#Οι τολμηρές και θρασείες ενέργειές σας έχουν οδηγήσει όχι μόνο στην εξάλειψη κάθε άλλης αυτοκρατορίας που αποκάλεσε το γαλαξία σπίτι της, αλλά έχει κάνει τους άλλους δύο Τριάρχους να σας παραχωρήσουν τη δύναμή τους σε φόβο για αυτό που είστε σε θέση να κάνετε. Πάρτε τη θέση σας στο θρόνο τώρα ως Αυτοκράτορας %2, και πηγαίνετε με τόλμη στο μέλλον που μόνο εσείς μπορείτε να πραγματοποιήσετε!
GAME_OVER_REBEL_ALLIANCE_WIN2     | Τα καλύτερα σχέδια σας πέτυχαν επιτέλους.#"Δεν μπορεί να υπάρξει ειρήνη στο Γαλαξία όσο αγνοείται η θέληση της ανθρωπότητας." Αυτό είπατε στο πρώην Γαλαξιακό Συμβούλιο καθώς σας πρόδωσε, και αυτό επαναλάβατε στους λαούς και τους συμμάχους σας όταν τελείωσε η τελική μάχη στη νίκη σας. Χρόνια και χρόνια από ευαίσθητες πολιτικές ταχυδακτυλουργίες και κουραστικές διπλωματικές διαπραγματεύσεις είχαν καταστραφεί την τελευταία ώρα, αλλά στο τέλος δεν ήταν άχρηστες. Τώρα, είστε έτοιμοι να πάρετε το θρόνο και γνωρίζετε ότι αυτοί που ήταν αρκετά γενναίοι για να ενωθούν στην εξέγερσή σας δεν θα έχουν κανένα λόγο να αντιταχθούν στην άνοδο σας.#Ήταν καλό για εσάς να βρείτε συντροφικότητα μεταξύ των εξωγήινων που κατοικούσαν άλλα άστρα , διότι βοήθησαν να επιτύχετε τους στόχους σας να εξαφανίσετε την ψεύτικη δημοκρατία που χτίστηκε μπροστά σας. Θα διασφαλίσετε με χαρά ότι θα συμμετάσχουν ισότιμα ​​στην οικοδόμηση αυτού του νέου μέλλοντος και θα αποκομίσουν το δίκαιο μερίδιό τους. Γιατί η Γαλαξιακή Δημοκρατία δεν υπάρχει πια, Τρίαρχε: τώρα ξεκινά η Μέγιστη Δημοκρατία του Γαλαξία! Απολαύστε τις προκλήσεις και τις ανταμοιβές της: τις έχετε κερδίσει χωρίς αμφιβολία.
GAME_OVER_COUNCIL_WIN2            | Τα καλύτερα σχέδια σας πέτυχαν επιτέλους.#Μετά από αμέτρητα χρόνια, όλα τα κομμάτια είναι στη θέση τους καθώς τα σχέδιά σας φτάνουν σε καρπούς. Χρειάστηκε διπλωματική ικανότητα πέρα ​​από κάθε προηγούμενο για να ενορχηστρωθεί μια τέτοια ενότητα μεταξύ τόσο διαφορετικών και ανόμοιων πολιτισμών. Ωστόσο, μέσα από όλες τις αποτυχίες και τις επανεκτιμήσεις των στρατηγικών σας, κάθεστε τώρα στο θρόνο της Γαλαξιακής Δημοκρατίας χωρίς ούτε έναν επικριτή ανάμεσα στις τάξεις σας. Χωρίς κανένα σημάδι εξέγερσης στον ορίζοντα, το μέλλον αυτού του γαλαξία είναι δικό σας για να διαμορφωθεί. Χρειάζεστε μόνο να κατευθύνετε τους υποστηρικτές σας στα καθήκοντά τους, και σίγουρα θα αφοσιωθούν σε αυτά.#Θα καταγραφείτε στην ιστορία όχι μόνο ως ο πρώτος ηγέτης της Γαλαξιακής Δημοκρατίας, αλλά ως ο θρυλικός διπλωμάτης του οποίου το χάρισμα και η ικανότητα σφυρηλάτησαν συμμαχίες τόσο ισχυρές τις οποίες ούτε η εχθρική διάθεση μεταξύ αντιπάλων μπόρεσε να σπάσει. Θα σας μελετήσουν στις Ακαδημίες της Δημοκρατίας για τις επόμενες γενιές, και όλοι θα ζηλέψουν τη στιγμή που ζείτε, επιθυμώντας να είχαν μόνο μια ευκαιρία να σας συναντήσουν και να δουν ιδίοις όμμασι το πρόσωπο πίσω από το θρύλο...
GAME_OVER_COUNCIL_MILITARY_WIN2   | Τα καλύτερα σχέδια σας πέτυχαν τελικά. # Η Γαλαξιακή Δημοκρατία είναι δική σας, Τρίαρχε! Οι πολιτικές σας τεχνικές, σας έκαναν τον αφέντη του μέλλοντος αυτού του γαλαξία, σεβαστό από όλους ως πονηρό διπλωμάτη και δίκαιο κυβερνήτη. Οι άνθρωποι έμειναν εμβρόντητοι στην εξέγερση που σηκώθηκε ως απάντηση στην ανάληψη του θρόνου από εσάς, αλλά ο υπόλοιπος γαλαξίας στάθηκε ενωμένος πίσω σας, διακηρύσσοντας με υπερηφάνεια ότι είναι έτοιμοι να πεθάνουν για το όραμά σας για το μέλλον. Και παρόλο που πολλοί από τους πιο γενναίους έχασαν τη ζωή τους, ήταν η Γαλαξιακή Δημοκρατία, όχι η εξέγερση, που πέτυχε μια απόλυτη νίκη.#Τώρα η εποχή της ειρήνης σας μπορεί πραγματικά να ξεκινήσει. Αν και μένει να γίνει πολλή δουλειά, κανείς δεν μπορεί να αμφιβάλλει ότι το κεφάλαιο σας στην ιστορία θα είναι από τα πιο σημαντικά που υπήρξαν ποτέ ή θα υπάρξουν ποτέ. Να είστε περήφανοι για αυτό που έχετε επιτύχει και να είστε ευτυχείς που μπορέσατε να εμπνεύσετε τόσο αφοσίωση από τόσους διαφορετικούς πολιτισμούς με διαφορετικές φιλοσοφίες. Ξεκουραστείτε όσο μπορείτε, Τρίαρχε, γιατί μια ακόμη νέα δοκιμή των διπλωματικών σας δεξιοτήτων σίγουρα βρίσκεται πολύ κοντά...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Τα καλύτερα σχέδια σας έχουν αποτύχει μόνιμα.#Από όλα τα λάθη που κάνατε ως Κυρίαρχος της Γαλαξιακής Δημοκρατίας, είναι δύσκολο να πείτε αν το μεγαλύτερο ήταν να υπερεκτιμήσετε τους συμμάχους σας ή να υποτιμήσει τους εχθρούς σας. Η ύπαρξη της εξέγερσης ήταν μικρή έκπληξη: είναι δεδομένο ότι θα υπάρχουν πάντα εκείνοι που αντιτίθενται βίαια στην αλλαγή, ανεξάρτητα από τη μορφή που έχει. Η ταχύτητα και η επιδεξιότητα με την οποία κατακλύστηκαν οι δυνάμεις της Γαλαξιακής Δημοκρατίας ήταν αυτό που πραγματικά σας εξέπληξε. Ξεπερασμένοι και ανίσχυροι σε οπλισμό, δεν μπορούσατε να κάνετε κάτι περισσότερο από το να περιμένετε ένα αναπόφευκτο τέλος.#Η εξέγερση είναι νικηφόρα, και η Τριανδρία με τους συμμάχους της θα πεθάνουν μαζί με την ίδια τη Γαλαξιακή Δημοκρατία. Τα λάφυρα του πολέμου ανήκουν τώρα στους αντάρτες, και αυτοί θα αποφασίσουν την κατεύθυνση προς την οποία θα κινηθεί ο γαλαξίας από σήμερα. Αν σας θυμούνται καθόλου, θα είναι μόνο για την άθλια ήττα σας. Αν ήσασταν καλύτερα προσαρμοσμένοι για πόλεμο, ίσως αυτός ο γαλαξίας θα μπορούσε να γνωρίζει την ειρήνη και να είχε γλιτώσει αυτόν τον βλαπτικό πόλεμο...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | η αριστοτεχνική διπλωματία των ανθρώπων
GAME_OVER_REBELLION_LOSS3         | στη μέγγενη του κακόβουλου σχεδίου του λαού των ανθρώπων
