// race-specific variables (must start with _)
_empire                           | Φατρία Νιαράαν, Φατρία Μρρσάν, Φατρία Νιρρσάν, Φατρία Νιαουσάν, Φατρία Νυχσάν, Φατρία Γουρσάχ
GAME_OVER_COUNCIL_LOSS2           | Οι επιδρομές σας και ο τρόπος ζωής σας έχουν φτάσει απότομα στο τέλος... #Η μεγαλύτερη απειλή για την κουλτούρα των αίλουρων σας επιτέλους έγινε πραγματικότητα. Μετά από αμέτρητα χρόνια εξερεύνησης του διαστήματος και κατάκτησης των άστρων, οι διάφορες αυτοκρατορίες που αποτελούν αυτόν τον γαλαξία αποφάσισαν να παραιτηθούν από τις διαμάχες του παρελθόντος και να ενωθούν σε μια ενωμένη συνύπαρξη που ονομάζουν Γαλαξιακή Δημοκρατία. Και καθώς όλες οι νέες εποχές αξίζουν νέους ηγέτες, το Γαλαξιακό Συμβούλιο επέλεξε έναν για να τους καθοδηγήσει σε αυτήν τη νέα εποχή. Αρκεί να πούμε, πως δεν ήσασταν εσείς.#Αν και δοκιμάσατε το καλύτερο χέρι σας στη διπλωματία, η αρμονική συνύπαρξη δεν ήταν ποτέ το πλεονέκτημα των δικών σας. Η δυσπιστία που προήλθε από τις συνεχείς επιδρομές σας και τις παλιές πληγές που τους προκάλεσαν, προκάλεσε αμετάκλητα τη διπλωματική σας θέση στο συμβούλιο. Με την ενότητα του γαλαξία τώρα μια βεβαιότητα που δεν μπορείτε να ελπίζετε να παρακάμψετε, οι επιδρομές σας για θησαυρό και δόξα έχουν πλέον τελειώσει μόνιμα. Ο λαός σας πρέπει να προσαρμοστεί σε αυτήν τη νέα εποχή, ή να πεθάνει προσπαθώντας...
GAME_OVER_REBELLION_LOSS2         | Οι αγαπημένοι σας θησαυροί τώρα είναι ελεύθεροι να ληφθούν...#Οι μέρες του λαού σας που λεηλατούσαν αυτόν τον γαλαξία από τους πιο θαυμάσιους θησαυρούς του έχουν τελειώσει. Με το σχηματισμό της Γαλαξιακής Δημοκρατίας και την ενοποίηση του γαλαξία κάτω από το έμβλημα της φυλής %6, ξέρατε ότι οι ιερές τελετές του πολιτισμού του λαού σας θα ήταν καταδικασμένες αν δεν επαναστατούσατε ενάντια στην έλευση αυτής της λανθασμένης νέας εποχής. Όμως, είτε με τυφλή υπακοή στον νέο αφέντη τους είτε με το φόβο των αίλουρων σας και τη φήμη που έχουν κερδίσει σε ολόκληρο τον γαλαξία, πολεμήσατε αυτή την εξέγερση μόνοι.#Οι αντίπαλοί σου ήξεραν ότι δεν μπορούσαν να πολεμήσουν μόνοι τους στρατούς του [race] και να φύγουν νικηφόροι και έτσι τοποθετούσαν από κοινού τους πόρους τους και τους στόλους τους καθώς στάθηκαν πλάι-πλάι ενάντια στην εξέγερσή σου. Αν και ο λαός σας σας πολεμούσε με τη θρυλική επιμονή που ενέπνευσε το φόβο σε ολόκληρο τον γαλαξία, ούτε αυτοί ούτε εσείς θα μπορούσατε να ελπίζετε να ξεπεράσετε τις συνδυασμένες δυνάμεις της Γαλαξιακής Δημοκρατίας. Τώρα η εξέγερσή σας φτάνει στο πιο ατυχές τέλος, και το μόνο που μένει για τους νικητές είναι να διεκδικήσουν τα λάφυρά σας για τον εαυτό τους...
GAME_OVER_REBELLION_WIN2          | Οι θησαυροί αυτού του γαλαξία είναι δικοί σας για να τους λάβετε!#Η ώρα των Χανάτων έχει αρχίσει επιτέλους. Από την αρχή της εισβολής σας στον άγνωστο γαλαξία, συναντήσατε διαστημικούς πολιτισμούς που αναζητούσαν τους δικούς τους στόχους ανάμεσα στη θάλασσα των αστεριών. Ωστόσο, παρά τους προηγμένους πολιτισμούς και τις τεχνολογικές καινοτομίες τους, όλα έχουν πέσει μπροστά σε εσάς και την ασυναγώνιστη αγριότητα σας. Αρχικά είχατε κάτι περισσότερο από ικανοποίηση να αφήσετε αυτούς τους πολιτισμούς να συνεχίσουν όπως ήταν, δίνοντας στους δικούς σας ατελείωτες πηγές μαγευτικού θησαυρού για να κερδίσουν οι ίδιοι στις επιδρομές σας. Όταν όμως αποφάσισαν να δημιουργήσουν μια νέα ένωση σε μια αναμφίβολη προσπάθεια να αποτρέψουν τους αίλουρους σας να συνεχίσουν τον τρόπο ζωής τους, πήρατε τη μόνη απάντηση που ταιριάζει σε εκείνους που θα τολμούσαν να σας αντιταχθούν.#Με την ευστροφία, την επιδεξιότητα και την επιμονή σας στο πεδίο της μάχης ενάντια στους στόλους των αντιπάλων αυτοκρατοριών σας, η εξέγερσή σας ενάντια στη νέα γαλαξιακή τάξη έχει τελειώσει με πλήρη και απόλυτη νίκη. Η λεηλασία χιλιάδων κόσμων είναι ανοιχτή και απροσδιόριστη, γιατί εκείνοι που τους είχαν φυλάξει έχουν αφαιρεθεί από το δρόμο σας με τα χέρια σας. Πάρτε τους, Χρυσέ Χαν! Προσθέστε τους στην αγκαλιά σας και ετοιμάστε τους λαούς σας για τη λεηλασία που βρίσκεται στους γαλαξίες ακόμη πιο πέρα...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Τα λάφυρα αυτού του γαλαξία είναι για εσάς και τους συμμάχους σας...#Ήταν μια εύκολη απόφαση να σηκώσετε το πανό σας σε εξέγερση ενάντια στη Γαλαξιακή Δημοκρατία. Γνωρίζατε ότι ο γαλαξίας σκέφτηκε λίγο τους δικούς σας και τον τρόπο ζωής τους. Καθώς οι ιστορίες της πολεμικής σας ανδρείας και των τρομερών επιδρομών που εκτελέσατε σε αντίπαλες αυτοκρατορίες εξαπλώθηκαν σε όλο τον γαλαξία, ξέρατε ότι μια ενωμένη γαλαξιακή τάξη θα αποτελούσε μια ανυπέρβλητη απειλή για εσάς μόλις θα είχε σχηματιστεί. Όπως ένας αληθινός ηγέτης από τους θρύλους των αρχαίων λαών σας, δράσατε ταχύτερα από ότι άλλοι θα μπορούσαν να προβλέψουν και να χτυπήσουν ενάντια σε αυτήν την τάξη στον ανοιχτό πόλεμο. Και όταν το κάνατε, αποτρέψατε τους εχθρούς σας να βρουν τη βάση που θα χρειαζόταν να κατακλύσουν τους στόλους του Χανάτου.#Με μεγάλη χαρά σας, βρήκατε άλλους δυσαρεστημένους με το σχήμα που άρχισε να παίρνει το μέλλον και σε αντάλλαγμα για μικρό μερίδιο από τα λάφυρα, σφυρηλατήσατε μια νέα συμμαχία που σας βοήθησε να διεκδικήσετε κυριαρχία στις κακώς προετοιμασμένες δυνάμεις που συγκεντρώθηκαν εναντίον σας. Οι αντίπαλοί σας έχουν εξαλειφθεί εξ ολοκλήρου και οι σύμμαχοι που φτιάξατε δεν θα έχουν καμία πιθανότητα ενάντια στη δύναμή σας εάν παύσουν να είναι χρήσιμοι για εσάς. Το μόνο που μένει τώρα είναι να πάρετε αυτό για το οποίο έχετε αγωνιστεί τόσο σκληρά...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Τα λάφυρά σας, τουλάχιστον, θα είναι ασφαλή σε αυτή τη νέα εποχή ... # Δεν προκαλεί σοκ σε κανέναν ότι το Γαλαξιακό Συμβούλιο απέτυχε να δει το μεγαλείο σας και να σας δώσει ηγεσία της Γαλαξιακής Δημοκρατίας. Οι επιδρομές σας σε άλλες αυτοκρατορίες έχουν κάνει τους δικούς σας μη δημοφιλείς, και λίγοι είναι πρόθυμοι να ξεπεράσουν τους πολιτιστικούς κανόνες σας για να κατανοήσουν το λαό σας σε ένα πραγματικά ουσιαστικό επίπεδο. Αλλά είτε μέσω της αφέλειας ή της αίσθησης της γνησιότητας που έχει κερδίσει άλλους τόσους πολλούς στην υπόθεσή τους, καταφέρατε να βρείτε κοινό έδαφος με τη φυλή %6 και γνωρίζοντας ότι θα ήταν η καλύτερη κίνηση για το λαό σας, έχετε βοηθήσει να εκλεγούν ως ηγέτες της επόμενης εποχής.#Με ευγνωμοσύνη και με ευγένεια, καταφέρατε να διασφαλίσετε την ασφάλεια των λαφύρων σας χωρίς να χρειαστεί να πληρώσετε αποζημιώσεις σε όσους τα πήρατε από χάρη στη γενναιοδωρία των συμμάχων σας %6. Με τη διαμεσολάβηση αυτής της ειρήνης, συμφωνήσατε απρόθυμα να τερματίσετε τις επιδρομές σας και τώρα πρέπει να εξερευνήσετε νέους δρόμους για να αξιοποιήσετε τις επιθυμίες των ανθρώπων σας. Αλλά σίγουρα αυτό είναι καλύτερο από το μέλλον ορισμένου αφανισμού που θα αντιμετώπιζατε αν είχατε επιλέξει να επαναστατήσετε εναντίον του συμμάχου σας ...
GAME_OVER_COUNCIL_WIN2            | Αυτός ο γαλαξίας και οι θησαυροί του ανήκουν σε εσάς και μόνο! # Η μεγαλύτερη μέρα στην ιστορία του λαού σας έφτασε επιτέλους: ο Χρυσός Χαν έχει γίνει ο Κυρίαρχος της Γαλαξιακής Δημοκρατίας. Από την αρχή, οι λαοί σας δημιούργησαν τρομακτική φήμη για τους εαυτούς τους ως βίαιοι επιδρομείς. Αν και στο παρελθόν είχαν ακουστεί πολλές κραυγές εναντίον σας, όλες οι φωνές σιωπούν καθώς το Γαλαξιακό Συμβούλιο αναγνωρίζει την ανυπέρβλητη δύναμή σας. Σίγουρα μερικές από τις αυτοκρατορίες που σας βοήθησαν να εκλεγείτε ελπίζουν να γίνουν γνήσιοι φίλοι του λαού σας, αλλά γνωρίζετε ότι η πλειοψηφία εκείνων που σας έβαλαν εδώ το έκαναν λόγω του φόβου αν προκαλέσουν την οργή σας. Και δεν θα το έχετε με άλλο τρόπο!#Από σήμερα και μετά, όλες οι αυτοκρατορίες στη Γαλαξιακή Δημοκρατία θα σας αποτίσουν φόρο τιμής. Και για το έγκλημα της προσπάθειας να σας αντιταχθούν στις αίθουσες του συμβουλίου, οι αυτοκρατορίες που καταψήφισαν την άνοδο σας θα υποβληθούν για πάντα σε επιδρομές από τον λαό σας, ποτέ ξανά  να αποκτήσουν τη δύναμη που θα χρειαζόταν να σηκωθούν εναντίον σας. Ο γαλαξίας ανήκει στους [race], και θα συνεχίσει να παραμένει υπάκουος σε σας μέχρι το τέλος του χρόνου. Χαιρετίστε τη νέα εποχή και χαιρετίστε το Χρυσό Χαν!
GAME_OVER_COUNCIL_MILITARY_WIN2   | Τα λάφυρα αυτού του γαλαξία για εσάς και τους συμμάχους σας ...#Τώρα η ένδοξη βασιλεία σας μπορεί πραγματικά να ξεκινήσει. Η θρυλική ανδρεία του λαού σας στο πεδίο της μάχης και οι ιστορίες για τις τρομερές επιδρομές που πραγματοποιήσατε είχαν ως αποτέλεσμα να γίνετε Κυρίαρχος της Νέας Δημοκρατίας. Αλλά παρόλο που πολλοί φοβόντουσαν να προκαλέσουν την αγανάκτησή σας και ανταποκρίνονταν στις επιθυμίες σας, υπήρχαν ακόμα εκείνοι που ήταν πολύ ανόητοι για να επηρεαστούν από τις επιδείξεις δύναμης σας. Πρόθυμοι να αναλάβουν την κυριότητα του θησαυρού τους και να τον προσθέσουν στις αυξανόμενες ορδές τους, οι δικοί σου ξεπήδησαν για να συντρίψουν την εξέγερση και να διεκδικήσουν τις ανταμοιβές τους, αυτή τη φορά με την υποστήριξη ολόκληρου του ενωμένου στρατού της Γαλαξιακής Δημοκρατίας που τώρα κυβερνάς.#Η εξέγερση τελείωσε πριν καν αρχίσει, και οι στρατοί των σφετεριστών νικήθηκαν με ελάχιστη προσπάθεια. Με τους θησαυρούς τους συγκεντρωμένους, οι [race]ψάχνουν μέσα από τα λάφυρα, πετώντας τα σκουπίδια για να δοθούν ως ανταμοιβές στις μικρότερες αυτοκρατορίες που σας εξυπηρετούν. Με τους επαναστάτες να χρησιμεύουν ως παράδειγμα του τι συμβαίνει όταν είστε δυσαρεστημένοι, δεν υπάρχει κανένας λόγος να πιστεύετε ότι οποιοσδήποτε αντίπαλος θα αναδειχθεί ξανά. Στρέψτε την προσοχή σας τώρα σε άλλους γαλαξίες, γιατί έχουν απρόσεκτο θήραμα που περιμένει να κυνηγηθεί, και ακόμη πιο λαμπερούς θησαυρούς για να προσθέσετε στη συλλογή σας...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Οι αγαπημένοι σας θησαυροί τώρα είναι ελεύθεροι για να ληφθούν από άλλους... # Αν και αρχικά μπορούσατε να χρησιμοποιήσετε τον φόβο για να συντρίψετε τη διαφωνία των αντιπάλων σας και να γίνετε Κυρίαρχος της Γαλαξιακής Δημοκρατίας, υπήρχαν αρκετοί γενναίοι για να αντισταθούν σε σας και το μέλλον που οραματιστήκατε . Οι δικοί σας ήταν περήφανοι και δυνατοί, διακοσμημένοι με τα λάφυρα αμέτρητων επιδρομών και πρόθυμοι να κερδίσουν περισσότερους θησαυρούς από μια άλλη αναπόφευκτη κατάκτηση. Αλλά δεν είδαν, ή δεν μπορούσαν να δουν τον κίνδυνο που αντιπροσώπευε η εξέγερση, και το σταθερό θάρρος που επέδειξαν οι αντάρτες θα αποδειχθεί το τέλος σας.#Αν και υπερηφανεύεστε για ανώτερους αριθμούς στη χρήση των στόλων αυτών που είχατε ισχυρά οπλισμένοι, δεν μπορούσατε να σταματήσετε την εξέγερση από την αποσταθεροποίηση της δημοκρατίας και το να σας ρίξει από το θρόνο. Πρώτα οι υφισταμένοι σας έπεσαν ακολουθούμενοι λίγο μετά από τους αίλουρους σας. Φαίνεται ότι στο τέλος ο ίδιος ο γαλαξίας επέλεξε ενάντια στο μέλλον που είχατε σχεδιάσει. Σε τελική ανάλυση, ποια είναι η θέληση ενός ατόμου, ανεξάρτητα από το πόσο ισχυρή, ενάντια στο αδάμαστο χέρι της μοίρας...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | η ακόρεστη απληστία των Νιαράαν
GAME_OVER_REBELLION_LOSS3         | η λαγνεία των Νιαράαν για Θησαυρούς
