// race-specific variables (must start with _)
_empire                           | Nazlok, Sarlok, Spylok, Shadelok, Dralok
MAIN_ADVISOR_SHIP_WEAPON          | kita telah menemukan teknologi baru yang memperkuat kemampuan penyerangan kapal bintang kita. Kita harus memutuskan lagi bagaimana cara memperbarui desain kapal kita untuk memanfaatkan teknologi ini secepatnya.
MAIN_ADVISOR_COUNCIL              | Ada kabar akan adanya perkumpulan yang disebut Majelis Galaksi yang akan segera diadakan. Mata-mata kami berharap bisa menggunakan kesempatan itu untuk mengumpulkan materi intelijen apapun. Masa depan ras kita bergantung pada pertemuan itu!
MAIN_ADVISOR_REBELLION            | apaka orang-orang dari %1 sudah kehilangan akal sehat? Mereka lupa bahwa hanya jika kita bersatu kita bisa jaya di alam semesta ini! Kita harus memberi contoh bagaimana membuat pemberontakan secepatnya!
MAIN_ADVISOR_RESIST_COUNCIL       | Peluang sukses kita di sini dari awal memang kecil. Bertarung melawan Majelis Galaksi dan sekutu mereka akan lebih mempersulit peluang kita.
MAIN_ADVISOR_COUNCIL_RESISTED     | Kami sudah bekerja terlalu lama untuk menundukkan orang-orang bodoh ini demi keinginan kami! Pemberontakan melawan kepemimpinan kami tidak bisa ditoleransi! Hancurkan mereka sekarang juga!

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Akhir perjalananmu, akhir kisah rakyatmu...#Sebuah tragedi yang tidak dapat dibayangkan telah menimpa kekaisaranmu. Dulunya menjadi satu ras yang sangat ingin untuk membuka tabir rahasia kejadian yang mengusir leluhur dari alam semesta mereka yang menuju kematian ke dimensi alien ini, peradabanmu sekarang hancur seluruhnya di telapak kaki penduduk yang jauh lebih berdaya dari yang kaupikir bisa kaukalahkan. Andai saja mereka tahu kondisi parahmu, mereka mungkin akan lebih berbelas kasihan, mungkin bahkan memberimu bantuan, atau setidaknya bersikap lebih toleran terhadap cara yang kau lakukan untuk mendapatkan tujuanmu. Tetapi kau hanya bisa mendapat kematian dari rasmu di waktu yang tidak tepat ini sementara kekuatan lain melanjutkan langkah mereka kepada apapun yang masih disimpan masa depan untuk mereka.#Celakanya Nazlok harus mendapati kiamat ini! Andaikan kautangani segalanya dengan cara yang berbeda, orang-orangmu mungkin masih hidup dan mungkin bahkan bisa menemukan kunci yang akan memungkinkanmu membawa sisa rakyatmu ke pesawat yang baru dan lebih stabil ini. Mungkin, memang kartu-kartumu tidak bisa dimainkan dengan cara yang lebih baik: mungkin nasib memang telah memutuskan untuk memberimu jalan yang paling tidak beruntung...
GAME_OVER_MILITARY_WIN2           | Fase pertama selesai, ujian yang sesungguhnya dimulai...#Galaksi ini kini menjadi milikmu! Sama seperti halnya orang-orangmu mendominasi alam semesta di tempat asal mereka, kau juga telah meremukkan perlawanan lemah di galaksi ini dan mengklaim semua yang ada di dalamnya sebagai milikmu. Taktik yang kau gunakan terbukti terlalu dasyat bagi musuhmu, dan kehati-hatian dan kerahasiaan yang kau jalankan untuk mendapatkan rahasia mereka bahkan lebih dasyat lagi. Sekarang, sebagai satuan terkuat terakhir di antara musuh-musuh yang terpuruk di hadapan kekuatanmu, kau memandang ke bintang-bintang yang tersebar akan menjadi rumah abadi bagi Nazlok.#Tapi tugasmu masih jauh dari selesai. Kau telah belajar bagaimana hidup di dimensi alien dan membuat seluruh galaksi aman untuk ditinggali rakyatmu dengan makmur. Meski begitu, rahasia keretakan yang membawa rasmu di sini sejak awal belum terungkap, dan setiap hari yang berlalu di sini berarti alam asalmu mendekati keruntuhannya yang tak terhindarkan. Dan jika kekaisaran apapun yang kauhancurkan mengetahui rahasia ini, misi militermu mungkin akan dinyatakan sebagai kelemahanmu...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Fase pertama selesai, ujian yang sesungguhnya dimulai...#Sekaranglah saatnya kemenangan sejatimu! Saat rakyatmu terlempar ke dimensi ini, mereka merasa ketakutan, asing, dan terancam bahaya. Tapi bukannya bersikap pengecut dan sebisa mungkin hidup dengan sedikit sumber daya, mereka dengan gagah berani terus maju, bersumpah untuk menguasai rahasia galaksi ini dan mengamankannya untuk menyelamatkan rakyat yang tersisa dari pesawat mereka yang hampir rusak parah. Dalam petualangan, musuh dan teman telah ditemui, dan panggung tantangan telah didirikan untuk diketahui orang-orangmu seterusnya.#Bersama dengan sekutumu kau berhasil merobohkan mereka yang berniat melawan tujuanmu dan mengalahkan mereka melalui armadamu bagaikan ombak membelah pantai. Sekarang hanya dirimu dan teman terdekatmu yang masih ada, dan ikatan ini hanya dapat diperoleh dengan berbagi kemenangan perang, kau akan dengan senang hati membantu sekutumu dalam masalah mereka seperti mereka juga menolongmu dalam masalahmu. Dan begitu rakyatmu melintasi dimensi dengan aman dan kekaisaran sejatimu telah lahir kembali, hanya mereka yang membuktikan dirinya setia terhadap keinginanmu yang boleh hidup di alam semesta yang tidak diragukan lagi menjadi milikmu...

GAME_OVER_REBELLION_LOSS2         | Akhir dari perjalananmu, akhir dari rakyatmu...#Keberuntungan tidak pernah menyukai rakyatmu sejak kedatanganmu di kapal yang tidak ramah ini. Keberuntungan juga tidak menyukaimu saat kau terdesar ke dimensi di mana tidak satupun dari teknologimu berfungsi baik. Ia juga tidak menyukaimu ketika warga asli galaksi ini menyuarakan melawanmu untuk memimpin Republik Baru. Dan sekarang, di ujung akhir segalanya, ia tidak menyukaimu saat kau menyerang melawan sainganmu untuk mengamankan tidak hanya kepemimpinan galaksi saja, tetapi juga keselamatanmu sendiri.#Orang-orangmu tangguh, kuat, dan yakin, tetapi usaha terbaik mereka dan keinginan untuk menang dengan cara apapun ternyata tidak cukup untuk memberi mereka kemenangan melawan kekuatan bertubi-tubi dari tentara Republik Baru. Keberanianmu pantas dikenang: hal itu tidak dapat dibantah siapapun. Tetapi sebagai bagian terakhir dari tentaramu, dan dari duniamu, jatuh di hadapan musuhmu, kekaisaranmu yang rapuh tergeletak kalah, terpecah, dan segera akan dilupakan...
GAME_OVER_REBELLION_WIN2          | Fase pertama selesai, ujian yang sesungguhnya dimulai...#Sekarang setidaknya orang-orang bodoh rendahan ini melihat kekuatanmu dan keinginanmu terungkap! Dalam kesia-siaan musuhmu mencoba mencegatmu di perjalananmu untuk membebaskan kerabat yang terdampar akibat serangan mereka, dan mereka menggunakan setiap siasat apapun untuk menghalangimu. Mulai dari ancaman sampai ke strategi mata-mata sampai ke serangan terbuka, nafsu mereka untuk mencegahmu meraih tujuanmu mencapai puncaknya ketika mereka menyatukan suara melawanmu untuk memimpin Republik Baru meski nyatanya kau salah satu dari yang terbaik untuk mendapat posisi itu. Dengan pilihan yang terbatas dan ketiadaan kesadaran yang kuat, kau meledakkan kepada mereka kemarahan mengerikan yang setara dengan kemarahanmu dulu yang membawa rakyatmu mendominasi alam semesta di mana kau berasal.#Kini galaksi ini adalah milikmu, dan meski waktu yang tersisa cukup pendek sebelum pesawat aslimu rusak dan mereka yang tertinggal menanggung nasib yang lebih buruk dari kematian, setidaknya sekarang tidak ada yang tersisa di dimensi ini yang akan melawanmu. Sekarang setidaknya orang-orang bodoh ini melihat kekuatanmu dan keinginanmu terungkap! Atau akan, jika ada dari mereka yang masih hidup untuk melihatnya... 
GAME_OVER_REBEL_ALLIANCE_WIN2     | Fase pertama berakhir, ujian yang sesungguhnya dimulai...#Sejak awal kau tahu bahwa warga galaksi ini tidak akan suka rela mempercayaimu untuk memimpin aliansi persatuan kekaisaran dalam perjalanan angkasa. Tidak jujur dan tidak dapat dipercaya, kekaisaran setempat yang menduduki pesawat ini telah melakukan apapun yang mereka bisa untuk menggagalkan rencanamu, dan begitu girang menyumbang suara melawanmu ketika pembentukan Republik Baru dimulai. Tapi kau bijak, dan kau cerdik, dan melihat operasi mereka semudah membaca satu halaman buku, kau fokus pada usaha diplomatik hanya pada mereka yang paling pantas untuk berada di sisimu. Dan saat waktunya tiba ketika musuhmu berpikir mereka telah memperangkapmu, mereka menemukan dirinya sendiri terperangkap bagaikan dalam suatu jeruji.#Kini kau dan sekutumu berdiri dengan jaya di atas abu mereka yang berani berpikir bahwa mereka lebih baik darimu. Nasib galaksi ini berada di tanganmu karena kau bebas menemukan cara untuk membawa kerabatmu yang terlantar melintasi penghalang dimensi dan menuju dimensi baru yang siap dipanen. Dan jika mereka yang kau pilih sebagai komandan menghalangimu dari tujuanmu, kau akan menghadapi mereka dengan tegas seperti kau menghadapi yang lain...

GAME_OVER_COUNCIL_WIN2            | Fase pertama selesai, ujian yang sesungguhnya dimulai sekarang...#Ruang majelis meledak dalam sorak sorai ketika kau mulai menjabat sebagai Pemimpin Republik Baru. Dengan rendah hati kauterima beban kepemimpinan yang dianugrahkan kepadamu oleh kekaisaran yang bergabung di Majelis Galaksi, karena kau tahu bahwa akhir kisah ini adalah hasil dari rencana panjang yang telah disusun. Segera setelah rakyatmu tiba di dimensi ini dan mempelajari misterinya, kau tahu bahwa akan tidak mungkin bagimu sendirian menemukan jalan untuk melepaskan saudara-saudaramu yang terperangkap untuk melakukan perjalanan menuju pesawat ini sebelum semesta mereka hancur sepenuhnya. Kini, setelah bertahun-tahun berdiplomasi, aksi rahasia, dan manipulasi politik, kau tidak harus lagi melakukannya.#Kini, galaksi ini adalah milikmu untuk kaubentuk dan kau ukir dan kauarahkan sesuai perjalananmu yang terbaik untukmu. Kau akan segera menundukkan teknologi, kekuatan, dan inovasi pada sekutumu agar menolongmu membuka portal menuju tempat asalmu dan membangun kembali peradabanmu disini dengan sebanyak mungkin rakyatmu yang bisa kau perintah di sini. Dan jika ada yang berani mencoba menghentikanmu, kau sekarang memiliki tentara Republik Baru untuk menghancurkan perlawanan mereka sekali pukul dan untuk semuanya...
GAME_OVER_COUNCIL_MILITARY_WIN2   | Fase pertama selesai, ujian yang sesungguhnya dimulai sekarang...#Sekarang kepemimpinanmu di galaksi ini telah jelas tampak pada kata-kata dan perbuatan. Setelah tak terhitung berapa tahun memanipulasi saingan antarbintangmu untuk menolongmu menuju tujuanmu, rencanamu akhirnya membuahkan hasil ketika kau meraih jabatan "Pemimpin Republik Baru". Dan bila suara-suara penentangmu muncul melawanmu, kau sudah siap bergerak dalam rencana dalam rencana yang memungkinkanmu menekan pemberontakan dengan tegas. Mereka melawan, kau menang, dan kini seluruh galaksi menjadi milikmu sehingga kau bisa melakukan apapun terhadapnya sesuka hatimu.#Dengan tergerusnya musuhmu menjadi debu dan tersebar oleh angin matahari, kau alihkan perhatianmu kepada tujuan sejatimu:  menemukan cara untuk membawa rakyatmu yang terpisah melintasi jurang dimensi dan menuju semesta yang baru yang lebih stabil ini di mana kekaisaranmu bisa terlahir kembali. Tidak ada yang mampu menentangmu sekarang, tidak setelah mereka melihat apa yang akan terjadi kepada orang-orang yang cukup bodoh untuk melakukannya...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Akhir dari perjalananmu, akhir dari rakyatmu...#Nasib paling menyedihkan yang kaudapatkan untuk rakyatmu telah terwujud menjadi nyata. Keahlian tiada tara darimu untuk membuat tipu daya telah dihalangi oleh spesies rendahan yang bahkan tidak boleh berharap untuk memahami pekerjaan besar yang sedang kau usahakan penyelesaiannya. Meski kau berhasil dalam tugas monumental untuk menjadi pemimpin terpilih di galaksi ini sambil mempertahankan kerahasiaan yang membungkus tujuanmu, kau tidak mampu membungkam pemberontakan yang segera berkobar untuk menyambut dimulainya pemerintahanmu.#Kini sudah terlambat untuk mengarahkan masa depan galaksi sejalan dengan arah yang kau anggap cocok. Pemberontakan telah meninggalkan Republik Baru sebagai sesuatu yang tidka lebih dari puing-puing yang akan dirampas dan dibangun kembali oleh sang pemenang. Dan kematian Nazlok menutup nasib mereka yang masih terperangkap di alam yang hancur, mereka tidak punya harapan untuk lolos dari sana. Kegagalanmu menutup nasib kekaisaranmu tidak hanya di satu alam tetapi di keduanya, dan itu semua lebih monumental dari apa yang dapat dibayangkan oleh siapapun musuhmu...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | pegangan tak pasti yang ditangkap Nazlok
GAME_OVER_REBELLION_LOSS3         | operasi tak dapat dipahami dari Nazlok

GAME_OVER_COUNCIL_LOSS2           | Siasatmu terhambat, perjalananmu terancam...#Rencanamu telah terpampang jelas bagi seantero galaksi, dan meski tidak ada seorangpun yang bisa berharap menyamai keahlianmu membuat tipu daya, mata para sainganmu terbukti terlalu waspada untuk kau atasi. Dengan pembentukan Republik Baru dan masa depan galaksi telah diputuskan, hasil pemungutan suara dari mereka yang ada di pertemuan majelis terbukti menggagalkan rencana hebatmu. Masa depan berada di tangan ras [leader_race]!#Usahamu untuk dapat mengendalikan arah galaksi merupakan strategi yang ambisius. Andai cara diplomasimu lebih halus, akan sangat mungkin seluruh keputusan galaksi akan condong kepada kepentinganmu. Sekarang kau harus menyerah kepada perintah ras [leader_race], tetapi setiap hari yang berlalu hanya akan membawa mereka yang terdampar di alam semesta asalmu yang sedang runtuh untuk menjadi selangkah lebih dekat kepada nasib yang lebih mengerikan dari yang berani kau bayangkan...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Fase pertama berakhir, ujian yang sesungguhnya dimulai...#Sejak lama, sejumlah kecil dari rakyatmu terusir dari semesta mereka yang sekarat dan terhisap dalam pesawat yang baru dan asing ini. Sementara kau mulai mencari cara untuk membawa mereka yang terdampar agar bisa bergabung denganmu di galaksi baru yang stabil ini, pertemuanmu dengan mereka yang sudah menghuni bintang-bintang ini segera mengajarkanmu bahwa kau takkan menemukan jawaban yang kaucari jika kau masih harus memerangi perang berkepanjangan dan menyebalkan. Alih-alih, kau mencoba memanipulasi jalannya sejarah sambil menyamar di kegelapan, dan sekarang setidaknya rencana-rencana tersebut telah membuahkan hasil.#Ras [leader_race] membidik kursi kepemimpinan Republik Baru, dan mereka telah membuktikan dirinya dapat dibentuk sesuai keadaan dan dapat menerima rancanganmu dan majelismu. Sebagai rekan dekat dan penasihat, orang-orangmu berada dalam posisi unik untuk memandu kekuatan galaksi itu sendiri di bawah kepemimpinan sekutumu. Kau terlalu jauh terhapus dari kekuasaan langsung untuk bahkan merasakan serangan balik jika terjadi kegagalan. Jika kau berhasil, dukungan dari jabatanmu melalui kedatangan kerabatmu yang telah lama hilang akan lebih dari cukup untuk memulai zaman baru dan memberikan banyak keuntungan bagimu...
