// race-specific variables (must start with _)
_empire                           | Fiershan Clan, Prrshan Clan, Mewshan Clan, Clawshan Clan, Hisshan Clan
GAME_OVER_COUNCIL_LOSS2           | Seranganmu, dan cara hidupmu, telah sampai pada akhir yang tidak terduga...#Ancaman besar bagi tata kehidupan orang-orangmu akhirnya telah menjadi nyata. Setelah entah berapa tahun menjelajahi angkasa dan menaklukkan bintang-bintang, berbagai kekaisaran yang menghuni galaksi ini memutuskan untuk mengakhiri pertengkaran di masa lalu dan bergabung bersama dalam kebersamaan dan persatuan yang disebut sebagai Republik Baru. Dan dengan adanya zaman baru yang membutuhkan pemimpin baru, Majelis Galaksi telah memilih satu untuk memimpin mereka semua dalam zaman baru ini. Cukuplah kiranya untuk dikatakan bahwa mereka tidak memilihmu.#Merski kau mencoba upaya yang terbaik dalam diplomasi, kebersamaan harmonis tidak pernah menjadi kemampuan utama dari rakyatmu. Ketidakpercayaan yang datang dari serangan bertubi-tubi darimu dan luka lama yang diderita mereka menyebabkan posisi diplomatismu di majelis menjadi ternoda tanpa bisa diperbaiki. Dengan bersatunya galaksi, kini telah menjadi kepastian bahwa kau tidak bisa berharap untuk lolos, bahwa seranganmu untuk mengincar harta dan kejayaan kini telah sampai pada akhir yang permanen. Orang-orangmu harus beradaptasi dengan zaman ini, atau mati dalam usahanya...
GAME_OVER_REBELLION_LOSS2         | Hartamu yang sangat kausayangi itu sekarang bebas diambil pihak lain...#Hari-hari ketika orang-orangmu merompak di sekitar galaksi ini demi mencari harta yang paling berharga telah sampai pada ujungnya. Dengan pembentukan Republik Baru dan persatuan galaksi di bawah panji ras [leader_race], kau tahu bahwa tindakan suci dari kebiasaan orang-orangmu akan menjadi kesialan jika kau tidak memberontak melawan datangnya zaman baru yang tidak terarah ini. Tapi, baik dalam hal kepatuhan buta terhadap pemimpin baru mereka maupun ketakutan orang-orangmu dan nama baik yang telah mereka peroleh di galaksi ini, kau telah melawan pemberontakan ini sendirian.#Sainganmu tahu mereka tidak dapat menang bertempur sendirian melawan pasukan Fiershan sehingga mereka mengumpulkan sumber daya mereka dan armada mereka sembari bersatu melawan pemberontakanmu. Meski orang-orangmu bertarung dengan keteguhan legendaris yang menimbulkan ketakutan di seluruh galaksi, baik mereka maupun dirimu tidak dapat berharap untuk menang melawan kekuatan gabungan Republik Baru. Kini pemberontakanmu sampai pada akhir yang paling tidak beruntung, dan apa yang tersisa hanyalah harta untuk diklaim para pemenang, untuk diri mereka sendiri...
GAME_OVER_REBELLION_WIN2          | Harta di galaksi ini adalah hakmu jika kau ingin mengambilnya!#Waktu bagi kekuasaan Khanates telah dimulai. Dari awal seranganmu ke galaksi yang belum dikenal ini, kau bertemu peradaban baru, pengelana ruang angkasa yang mencari tujuan mereka sendiri di antara lautan bintang. Tapi meskipun mereka memiliki peradaban maju dan inovasi teknologi, semua kini bertekuk lutut di hadapanmu karena kekuatanmu yang tak tertandingi. Awalnya kau lebih dari sekedar puas untuk membiarkan peradaban ini terus hidup sebagaimana adanya, memberikan orang-orangmu sumber harta luar biasa yang tidak pernah kering untuk mereka menangkan dalam serangan yang kau lakukan. Tapi orang-orang dari peradaban lain itu memutuskan untuk membentuk serikat baru dalam apa yang tidak diragukan lagi merupakan usaha untuk mencegah orang-orangmu hidup dengan cara kalian, kau ambil satu-satunya sikap yang sesuai untuk mereka yang berani melawanmu.#Dengan kecerdikan, keahlian dan keteguhanmu di medan perang yang membawamu melawan armada kekaisaran sainganmu, pemberontakanmu melawan pemerintahan galaksi baru telah berakhir dalam kemenangan menyeluruh dan paripurna. Harta rampasan dari ribuan dunia terbuka lebar dan tidak dijaga, karena mereka yang tadinya menjaganya telah disingkirkan dari jalanmu dengan tanganmu. Ambillah itu semua, Khan Emas! Tambahkan harta itu kepada lumbung hartamu, dan persiapkan orang-orangmu untuk harta yang tersimpan di galaksi yang lebih jauh...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Harta di galaksi ini menjadi milikmu dan sekutumu...#Adalah keputusan mudah untuk mengangkat panjimu dalam pemberontakan melawan Republik Baru. Kau tahu galaksi menganggap rendah orang-orangmu dan cara hidup mereka. Dengan kisah kehebatan bela dirimu dan serangan mengerikan yang kau lakukan pada kekaisaran sainganmu menyebar pada seluruh galaksi, kau tahu bahwa perintah gabungan dari galaksi akan menjadi ancaman yang terlalu kuat untukmu begitu gabungan itu dibentuk. Layaknya pemimpin sejati dari legenda orang-orang terdahulu, kau bertindak lebih cepat dari apa yang  dapat diantisipasi pihak lain dan menyerang melawan perintah musuh ini dalam perang. Dan ketika kau lakukan ini, kau mencegah musuhmu menemukan pijakan yang mereka butuhkan untuk membuat kalang-kabut armada Khanate.#Untung besar bagimu, kau temukan bahwa pihak lain tidak puas dengan bentuk masa depan yang mulai tampak, dan dengan pertukaran sedikit jumlah harta, kau membentuk aliansi baru yang memungkinkanmu memaksakan dominasimu di antara kekuatan menyedihkan yang tidak dipersiapkan dengan baik yang mengumpulkan pihak-pihak yang melawanmu. Sainganmu telah dihancurkan seluruhmya, dan aliansi yang kau buat tidak akan punya peluang untuk melawanmu jika mereka berpukir untuk berhenti menjadi pihak yang berguna bagimu. Yang tersisa untukmmu adalah kebebasan untuk mengambil apa yang selama ini telah kau perjuangkan dengan segala daya...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Setidaknya hartamu akan aman di zaman ini...#Memang tidak terasa mengejutkan bagi siapapun bahwa Majelis Galaksi akan gagal melihat kehebatanmu dan menolak memberimu kepemimpinan Republik Baru. Seranganmu terhadap kekaisaran lain telah membuatmu menjadi kurang disukai, dan sedikit di antara mereka yang mau mendalami norma kebudayaanmu untuk bisa benar-benar memahami orang-orangmu. Tapi entah melalui kepolosan atau naluri ketulusan yang memenangkan hati pihak lain demi kepentingan mereka, kau bisa menemukan pemikiran yang sama dengan ras [leader_race], dan dengan mengetahui bahwa hal ini akan menjadi langkah terbaik bagi orang-orangmu, telah membantu mereka untuk memilih mereka menjadi pemimpin di masa yang akan datang.#Dengan rasa syukur dan kemurahan hati, kau telah mampu mengamankan keselamatan hartamu tanpa perlu membayar biaya perbaikan kepada mereka yang telah kauambil haknya akibat kebaikan sekutumu [leader_race]. Dalam memperantarai perdamaian ini, kau dengan segan mengakhiri seranganmu, dan kini harus menjelajahi jalan baru untuk memenuhi hasrat orang-orangmu. Tapi yakinlah bahwa ini lebih baik daripada masa depan yang mengandung kepastian akan kepunahan yang akan kauhadapi jika kau memilih untuk memberontak melawan sekutumu...
GAME_OVER_COUNCIL_WIN2            | Galaksi ini dan semua harta di dalamnya menjadi milikmu, milikmu sendiri!#Hari teragung dalam sejarah rakyatmu akhirnya telah tiba: Khan Emas telah menjadi Pemimpin Republik Baru. Sejak awal, orang-orangmu membuat reputasi yang menakutkan untuk diri mereka sendiri sebagai para penyerang yang sadis. Meski banyak protes telah disuarakan melawanmu di masa lalu, kini semuanya bungkam ketika Majelis Galaksi mengakui kekuatanmu yang terlalu besar untuk dibendung. Tentunya beberapa kekaisaran yang telah membantu memilihmu berharap untuk menjadi teman sejati bagi orang-orangmu, tapi kau tahu bahwa sebagaian besar dari mereka yang memposisikanmu di sini melakukannya karena takut memancing amarahmu. Dan memang kau tidak bisa menjalankan kekuasaanmu dengan cara lain!#Mulai hari ini, semua kekaisaran di Republik Baru harus menghormatimu. Untuk tindakan kejahatan dalam hal mencoba melawanmu di ruang majelis, kekaisaran yang memilih selain dirimu untuk naik tahta akan selamanya menjadi sasaran serangan orang-orangmu, tidak akan bisa lagi meraih kekuasaan yang mereka butuhkan untuk bangkit melawanmu. Galaksi ini ditakdirkan untuk Fiershan, dan akan tetap patuh kepadamu sampai akhir waktu. Terpujilah zaman baru, dan terpujilah Khan Emas!
GAME_OVER_COUNCIL_MILITARY_WIN2   | Harta di galaksi ini menjadi milikmu dan sekutumu...#Kini kemenanganmu yang penuh kejayaan bisa benar-benar dimulai. Keberanian orang-orangmu yang legendaris di medan tempur dan kisah-kisah serangan yang mengerikan yang kautimbulkan memberimu peluang menjadi Pemimpin Republik Baru. Tapi meskipun banyak orang takut memancing amarahmu dan memilih untuk menuruti keinginanmu, masih ada saja mereka yang begitu bodoh  untuk memahami perintah dalam kekuasaanmu. Dengan keinginan kuat untuk mengambil alih kepemilikan mereka akan harta mereka dan menambahkannya ke dalam kesatuan mereka yang semakin berkembang, orang-orangmu melesat jauh untuk menumpas pemberontakan dan merebut hadiah mereka, kali ini dengan dukungan dari seluruh militer gabungan Republik Baru yang kaupimpin.#Pemberontakan usai bahkan sebelum benar-benar dimulai, dan tentara para pemberontak telah dikalahkan dengan usaha yang minim. Dengan dikumpulkannya harta mereka, Fiershan membuka-buka harta, membuang sampah untuk diberikan sebagai hadiah kepada kekaisaran yang lebih rendah yang melayanimu. Dengan dijadikannya para pemberontak sebagai contoh apa yang akan terjadi saat kau merasa tidak senang, hanya ada sedikit alasan bagimu untuk percaya bahwa saingan manapun akan berusaha membuat mereka ternama lagi. Alihkan perhatianmu sekarang kepada galaksi lain, karena merka memiliki buruan sial yang menunggu untuk diburu, dan ada lebih banyak harta berkilauan untuk ditambahkan dalam koleksimu...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Hartamu yang sangat kausayangi itu sekarang bebas diambil pihak lain...#Meski awalnya kau bisa menggunakan rasa takut untuk menghancurkan ketidaksetujuan sainganmu dan menjadi Pemimpin Republik Baru, ada beberapa yang cukup berani untuk berdiri melawanmu dan melawan masa depan yang kau bayangkan. Orang-orangmu kuat dan gagah, memakai harta dari serangan yang tidak terhitung dan sangat ingin mendapatkan lebih banyak lagi harta dari perjalanan lain yang tidak terhindarkan. Tapi mereka tidak melihat, atau tidak bisa melihat, bahaya pemberontakan yang mulai muncul, dan keberanian yang teguh yang ditampilkan terbukti menjadi akhir kisahmu.#Meski kau sesumbar tentang jumlah besar armada yang kau gunakan untuk menaklukkan tentara kuat lain agar menjadi tunduk kepadamu, kau tidak mampu menghentikan pemberontakan yang membuat republik tidak stabil dan memaksamu turun tahta. Awalnya bawahanmu dikalahkan, kemudian rakyatmu juga. Sepertinya pada akhirnya galaksi memilik untuk melawan masa depan yang kau rencanakan. Memang, apa yang menjadi keinginan satu pihak saja, betapapun kuatnya, akan bertentangan dengan tangan takdir yang tidak dapat dikalahkan...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | Kerakusan Fiershan yang tidak dapat dipuaskan memakan segalanya
GAME_OVER_REBELLION_LOSS3         | Hasrat Fiershan terhadap harta berharga


