// race-specific variables (must start with _)
_empire                           | Hiva Kholdan, Hiva Klackant, Hiva Klockan, Hiva Arthropon, Hiva Coleopteron
TECH_ALLOCATE_CLEAN_WASTE         | Haruskah kukurangi rasio seluruh koloniku sampai jumlah minimum yang dibutuhkan untuk menjaga mereka tetap bersih?
TECH_ALLOCATE_ENRICH_SOIL         | Haruskah kutingkatkan rasio ekologi dari koloniku dengan lingkungan berstandar agar bisa mulai membentuk planetku mirip Bumi?
TECH_ALLOCATE_ATMOSPHERE          | Haruskah kutingkatkan rasio ekologi dari koloniku dengan lingkungan yang keras agar bisa mulai membentuk planetku mirip Bumi? with hostile environments in order to begin terraforming my planets?
TECH_ALLOCATE_TERRAFORM           | Haruskah kutingkatkan rasio ekologi dari semua koloniku agar bisa mulai membentuk planetku mirip Bumi?

NOTICE_ESPIONAGE_TITLE            | Aku telah menginfiltrasi basis [alien_race].
NOTICE_ESPIONAGE_FRAME_TITLE      | Aku telah berhasil memfitnah ras lain dalam pencurian itu.

SHIP_COMBAT_TITLE_DESC            | Aku bertemu armada [alien_race] yang tidak ramah.

SABOTAGE_FACTORIES_RESULT         | Kuhancurkan pabrik-pabrik %1.
SABOTAGE_BASES_RESULT             | Kuhancurkan basis-basis misil %1.
SABOTAGE_REBELS_RESULT            | Kutimbulkan pemberontakan %1.
SABOTAGE_REBELS_TOTAL             | Kuhasut para pemberontak dari %1. Keadaan tidak tenang sekarang di %2%.
SABOTAGE_REBELS_REVOLT            | Aku telah menimbulkan revolusi!

COUNCIL_CAST_PROMPT               | Aku harus memilih (%1 votes)...

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Kau telah bertemu dengan nasib yang sangat buruk.#Di awal kisah perjalananmu menuju negeri antah-berantah, kau melesat menuju ruang angkasa dengan harapan akan menemukan bentuk kehidupan lain yang seunik dirimu. Sayang sekali, mimpimu tetap tidak dapat diwujudkan hingga akhir hayatmu. Tidak hanya bahwa intelijen bentuk kehidupan lain yang kau temukan membuktikan dirinya seluruhnya tidak seperti dirimu, tapi juga mereka menunjukkan bahwa diri mereka keji dan tidak simpatik terhadap perjalananmu. Kekejian itu menjadi penghalang harapanmu, dan seluruh duniamu sekarang berada di tangan mereka yang membencimu sejak saat pertemuan pertama.#Setiap tubuhmu terbaring penuh luka dan tidak bernyawa di lokasi mereka dibantai, dari dunia asalmu ke kolonimu sebelumnya yang paling jauh. Dengan hilangnya cahaya mata dari gulungan fanamu yang masih tersisa, senja telah tiba padamu ketika alam semesta ini sedang kehilangan bentuk kehidupan yang paling unik di dalamnya untuk selamanya...
GAME_OVER_MILITARY_WIN2           | Pencarianmu telah sampai pada ujungnya... untuk saat ini.#Dengan harapan besar kau berani bermimpi untuk menemukan kesadaran lain sepertimu entah di mana di kedalaman ruang angkasa ini. Meski kau bertemu bentuk kecerdasan lain yang lebih tinggi, buktinya terlalu jelas bahwa tidak ada satupun di antara mereka yang mirip dengan keunikan yang kau miliki sendiri. Lebih parah lagi: karena takut akan apa yang mereka tidak mengerti, mereka menyerangmu, menimbulkan respon yang paling parah darimu dan tubuh-tubuh lain yang tak terhitung jumlahnya yang kautinggali. Dengan berat hati kau meletakkan mereka, dan dengan hati yang lebih berat lagi kau temukan dirimu sebagai satu-satunya kecerdasan yang menghuni galaksi ini.#Meski begitu, kau tidak kehilangan segalanya. Meski ras-ras alien ini dengan keunikan bentuk mereka tidak memuaskan pencarianmu, kau menyadari sekarang bahwa ada sebentuk alam semesta di luar sana yang perlu dieksplorasi. Yang tertinggal adalah tugasmu untuk menyebarkan diri ke seluruh sudut galaksi ini, dan memulai pencarianmu lagi dari awal...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Pencarianmu telah sampai pada ujungnya... untuk saat ini.#Kau dipenuhi kesedihan tak terperi akan tindakan yang dipaksakan bagimu untuk melakukannya. Dalam pencarian untuk menemukan kerabat jenismu di planet-planet di galaksi ini, kau malah bertemu dengan makhluk bodoh yang kejam yang mengamuk kepadamu karena betapa berbedanya kau dengan mereka. Di saat kata-kata mereka berubah menjadi aksi keji, kau serang mereka untuk mempertahankan diri dan kepentinganmu, berharap sepanjang waktu bawa mereka akan melihat kesalahan dalam perbuatan mereka dan datang menemuimu untuk melihat keunikan bentuk kehidupan yang kau miliki. Harapanmu akhirnya meleset, dan semua yang bertemu denganmu dalam kekejaman telah dibungkam selamanya.#Tapi berbahagialah, makhluk kuno! Meski kau tidak mampu menemukan makhluk sadar yang mirip dirimu, kau mampu membuat aliansi terpercaya sebelum perjalananmu sampai pada ujungnya. Aneh memang, setidaknya mereka mengangapmu sebagai teman dengan persahabatan yang kaurasakan terhadap mereka. Jika kerinduan untuk mencari tahu apakah kau memang benar-benar unik di semesta ini muncul lagi, kau bisa berangkat ke galaksi lain kapan saja kau mau. Tapi untuk saat ini, kau bisa santai dan menikmati rasa pertemanan yang kau temukan, dan nikmati juga semua manfaat yang tidak ragu lagi akan diperoleh lewat hubungan ini.
GAME_OVER_COUNCIL_LOSS2           | Pencarianmu telah sampai pada ujungnya... untuk saat ini.#Ini bukanlah akhir kisah yang kauinginkan dalam perjalananmu mencari kerabatmu melalui lautan bintang-bintang. Meski kau telah bertemu banyak orang yang ajaib dan aneh dalam pencarianmu, kau telah bertemu juga dengan budaya yang keji dan berwatak tidak baik. Sialnya pihak yang paling menyakitkan yang kautemui sekarang duduk sebagai Pemimpin Republik Baru. Kau ragu bahwa pemimpin baru ini akan bersikap baik padamu, dan semua bukti yang kaubutuhkan untuk rasa takut ini datang dari hubungan di masa lalu yang kaualami dengan pemimpin alien ini.#Yang kauinginkan hanyalah untuk menemukan makhluk lain yang sama uniknya denganmu. Kini kau hanya bisa menunggu dalam kepasrahan di kaki penguasa yang lebih kuat. Kau hanya bisa berdoa bahwa [leader_name] akan membiarkanmu hidup dalam damai, karena jika tidak begitu, seluruh kekuatan galaksi akan dikerahkan untuk melawanmu...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Pencarianmu telah sampai pada ujungnya... untuk saat ini.#Zaman baru untuk Kholdan telah dimulai, dan teman terpercayamu, [leader_name], kini ditentukan untuk memimpin Republik Baru melaju ke masa depan gemilang. Meski mereka tidak seperti dirimu dalam banyak hal, teman-temanmu menghormatimu dengan rasa ketertarikan dan kasih sayang, dan kau mempercayai mereka untuk membiarkanmu melanjutkan perjalanan segera setelah pekerjaan dalam aliansi baru ini selesai. Perlu banyak hal bagi spesies yang berbeda untuk meraih kebersamaan yang harmonis, tapi kau tahu bahwa %8 akan mewujudkannya.#Kau hanya bisa merasakan kepuasan dari hasil ini. Kau tidak pernah terlalu peduli dengan intrik dalam manuver politik, dan senang temanmu akan mengambil beban besar dari bahumu selamanya. Yang kauinginkan hanyalah menemukan jiwa yang seperti dirimu di suatu tempat di galaksi ini. Mungkin, suatu hari nanti, mungkin saja bisa tercapai...
GAME_OVER_REBELLION_LOSS2         | Kau telah bertemu dengan nasib yang sangat buruk.#Pada awalnya kau sendirian, dan pada akhirnya kau tetap sendirian. Tidak mampu meraih tujuan utama dari perjalananmu, kau terbawa arus menemui satu peradaban aneh ke peradaban aneh lainnya hingga mereka yang memiliki pemikiran lebih maju darimu mengajak untuk membentuk Republik Baru. Karena merasakan perjalananmu akan menemui hasil prematur di saat [leader_name] mengincar jubah kepemimpinan, kau memilih untuk melawan nasib ini ketimbang menyerah dengan lemah terhadapnya. Ini bukanlah kesalahan pertama yang kaubuat dalam perjalananmu, tapi terbukti, sayangnya, menjadi yang terakhir.#Kini, dengan %8 galaksi, kau diam-diam menghibur diri dalam momen terakhirmu sebelum kematian, setidaknya kekhawatiranmu akan segera berakhir. Andai saja kau bisa menemukan makhluk lain yang sepertimu, atau setidaknya yang mengerti siapa dan apa dirimu, mungkin nasibmu bisa berubah sejalan dengan persatuan kalian...
GAME_OVER_REBELLION_WIN2          | Pencarianmu telah sampai pada ujungnya... untuk saat ini.#Berbeda dengan keinginan terdalammu, galaksi ini telah mengarahkan dirinya untuk melawanmu dan memaksamu untuk membayar dalam jumlah tertentu. Karena kau tidak bisa menerima pemerintahan [leader_name] yang anti makhluk asing, kau berjuang sendirian mempertahankan dirimu, dan perjalananmu, dari pemerintahan mereka yang mengerikan. Kau tahu bahwa mereka yang telah dimanupulasi oleh para tiran penipu ini kemungkinan besar akan berdiri melawanmu, tetapi kelanjutan perjalananmu mungkin bisa digagalkan kapan saja. Jadi dengan kesedihan di hatimu kau hancurkan semua yang akan melawanmu.#Andai salah satu dari ras-ras ini tidak tunduk pada rasa takut dan kebencian terhadap makhluk asing, mungkin mereka akan bisa hidup denganmu dengan kebersamaan yang damai. Tapi ini bukanlah satu keadaan yang paling menyedihkan, karena setidaknya kau akan punya kisah mencekam untuk dibagikan kepada mereka yang menjadi tujuan pencarianmu, jika kau berhasil menemukan mereka....
GAME_OVER_REBEL_ALLIANCE_WIN2     | Pencarianmu telah sampai pada ujungnya... untuk saat ini.#Kau tahu bahwa ini akan terjadi sejak pertemuan pertama di Majelis Galaksi. Meski kau telah memperingatkan kekaisaran lain yang menempati galaksi, si pengkhianat keji [leader_name] berhasil mengambil jabatan utama Republik Baru dan mengancam untuk menginfeksi galaksi dengan paham xenophonia mereka yang keji. Dengan berani kau bertarung melawan mereka, dan meski banyak pihak di galaksi ini memutuskan untuk mencurahkan segala yang mereka miliki untuk melawanmu, kau mampu untuk mempertahankan niat utamamu pada akhirnya.#Mungkin yang paling bahagia dari semuanya adalah dukungan yang kauterima dari teman-temanmu di perang pamungkas. Dengan kebijaksanaan mereka untuk melihat bahaya dan cukup berbelas kasihan dengan menolongmu, kau bahagia tidak bertempur sendirian. Kini kau mungkin telah meraih kebersamaan dalam damai yang sejati, dan berbagi perdamaian dengan sisa penghuni galaksi lainnya. Suatu hari tidak lama lagi, kau mungkin menemukan jalanmu menuju ruang angkasa yang lebih mendalam, dan meninggalkan galaksi ini dengan harapan menemukan makhluk yang telah kaucari sejak lama, sejak lama sekali...
GAME_OVER_COUNCIL_WIN2            | Pencarianmu membawamu pada hasil yang tidak disangka-sangka.#Kau telah menemukan banyak hal sejak kau berangkat dari dunia asalmu yang kuno dalam pencarian akan keberadaan kesadaran yang lain yang seperti dirimu. Meski kau belum memenuhi impian itu, pengetahuan dan persahabatan yang telah kaudapatkan dari mereka yang kautemui terbukti cukup manis bagimu. Sekutu-sekutumu tidak hanya mampu mengatasi ketakutan mereka akan keunikanmu, tetapi juga memilihmu menjadi Pemimpin Republik Baru. Suatu masa depan yang tidak pernah kau pikirkan sendiri terpampang di hadapanmu, dan kau akan memimpin teman-teman barumu ke dalamnya dengan segala kesabaran dan kepercayaan yang telah mereka tunjukkan padamu.#Mungkin suatu hari nanti kau akan berangkat dalam pencarianmu lagi, untuk menemukan makhluk lain yang hidup seperti dirmu. Untuk saat ini, ada banyak pekerjaan bagimu, dan perjalananmu harus menunggu sampai pekerjaan ini selesai. Jika ini semua sudah berakhir, kau mungkin menemukan keinginan dasarmu telah lenyap seluruhnya. Bagaimanapun, untuk pertama kalinya seumur hidupmu, kau tidak lagi sendirian.
GAME_OVER_COUNCIL_MILITARY_WIN2   | Pencarianmu membawamu pada hasil yang tidak disangka-sangka.#Sekarang akhirnya pertempuranmu telah berakhir. Setelah membidik posisi Pemimpin Republik Baru, kau berhasil membawa semua bentuk kehidupan tertinggi di galaksi ini untuk duduk di sekeliling meja persahabatan. Setidaknya, sampai timbul pemberontakan tanpa persiapan yang menyedihkan melawanmu. Dibentuk karena rasa anti terhadap makhluk asing dan ketakutan terhadap siapa dirimu, mereka yang ingin mengunggulimu tidak dapat membayangkan kedalaman kekuatan pikiran tunggalmu atau kemarahan para sekutumu dalam mempertahankan republik ini. Mereka telah dihancurkan, dan kedamaian akan mengalir melalui kehidupan di galaksi ini bagaikan air menuju samudera dari berbagai dunia yang kini bisa kausebut sebagai milikmu.#Karena berbagai wilayah para pemberontak telah terbagi untukmu dan sekutumu, pikiranmu terlintas secara singkat akan perjalanan yang mengirimmu jauh dari rumah lama sebelumnya. Memang, kau tidak akan menemukan tujuan pencarianmu, dan kau tetap sendiri di alam semesta ini dipandang dari sisi manapun. Tapi dengan bahagia kau menyadari bahwa dengan aliansi yang kau buat dalam perjalananmu, kau tidak akan benar-benar sendirian lagi.
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Kau telah bertemu dengan nasib yang sangat buruk.#Tidak ada yang bisa menyalahkanmu karena kau berharap memimpin galaksi ini menuju perdamaian sebagai Pemimpin Republik Baru. Tidak ada yang bisa menyalahkanmu untuk mencoba yang terbaik bagimu untuk menyatukan begitu banyak peradaban yang jauh berbeda untuk bersama. Tetapi meski kau berikan usahamu yang terbaik, pemberontakan yang timbul melawanmu tidak hanya mampu meredam dirimu, tetapi juga mampu menggeser kekuasaanmu sebagai pemimpin dan menghancurkan Republik Baru dengan segala kekuatan yang dapat dibentuknya. Para sekutumu, lama setelah kematian mereka, mungkin menyesali memilihmu untuk memimpin mereka sebelum kekaisaran mereka berubah menjadi abu di depan mata mereka. Setidaknya kau tidak bisa mendengar ratapan mereka karena suara mereka telah dibungkam selamanya.#Tubuh terakhirmu telah bersiap untuk menemui nasib mereka lubang persembunyian yang mereka gali untuk diri mereka sendiri ketika mencoba melarikan diri dari musuhmu. Tanpa makanan dan air, waktu mereka hampir berakhir. Andai kau menemukan makhluk lain yang sepertimu, yang benar-benar memahami dan mau bertarung di sisimu dengan keteguhan yang sama yang kautunnjukkan kepada mereka. Akankah segalanya akan berakhir dengan cara berbeda? Mungkin. Sialnya, bagaimanapun kau takkan pernah tahu...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | pemikiran tunggal yang selalu tepat dari Kholdan.
GAME_OVER_REBELLION_LOSS3         | Sekelompok makhluk Kholdan yang tidak berjiwa kini berkuasa.

