// race-specific variables (must start with _)
_empire                    | Imperium Cryslonoid, Imperium Igneoid, Imperium Sedimoid, Imperium Granitoid, Imperium Magmoid
GAME_OVER_REBELLION_WIN2          | Perang sucimu telah berakhir pada kemenangan luar biasa!#Kekaisaran-kekaisaran lain yang menyedihkan di galaksi ini telah membuat keputusan terbodoh. Dalam persatuan di bawah bendera ras [leader_race] yang menyedihkan dan membelakangi permintaan perang sucimu, mereka memilih untuk mengunci nasib mereka sekaligus nasib semua pihak di galaksi ini. Tetapi kau, Kaisar Crystal, mengetahui bahwa hal ini tidak bisa dibiarkan, dan dengan keahlian yang hanya dimiliki oleh ksatria yang paling legendaris kau pimpin rakyatmu menuju kemenangan dalam perang yang rasanya tidak mungkin melawan seluruh galaksi!#Andai saja makhluk-makhluk tolot itu mengindahkan peringatanmu, mungkin mereka akan bertahan hidup untuk melihat kesalahan yang mereka lakukan. Tapi kini, akhirnya, galaksi bisa mengalami satu-satunya perdamaian sejati yang bisa dikenalnya. Hiduplah menuju kemenangan, Kaisar Crystal! Jayalah kekuatan Imperium Cryslonoid!
GAME_OVER_REBEL_ALLIANCE_WIN2     | Perang sucimu telah membuahkan hasil.#Dengan jatuhnya musuh terakhirmu di hadapanmu, kau merasakan gairah semuah proses yang dihasilkan oleh perang sucimu sejak awal mulanya. Adalah kesalahan dari ras-ras menyedihkan yang menghuni galaksi ini untuk memilih ras [leader_race] untuk memimpin mereka menghindari panggilan perang suci. Dengan menolak kebijaksanaanmu, mereka telah mengelak darimu dan ramalan Chryslon: itu adalah tindakan yang tidak bisa ditoleransi, dan merupakan hal yang pasti akan mereka sesali jika mereka hidup cukup lama.#Hanya mereka yang cukup bijak yang mau memperhatikan peringatanmu, dan membantumu dalam perang, yang sekarang bisa menikmati perdamaian baru yang dianugrahkan kepada galaksi ini dengan hilangnya ancaman Quaralon sekali dan selamanya. Tentu saja, itu jika mereka tidak terbukti sebagai anak-anak Quaralon yang sedang menyamar...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Perang sucimu telah sampai pada akhir kisah yang tidak terduga.#Imperium Cryslonoid telah melakukan banyak upaya dalam perjalanannya ke seluruh penjuru galaksi. Di bawah kepemimpinanmu, orang-orangmu bertemu dengan begitu banyak peradaban alien. Banyak dari ras-ras mereka yang telah terbukti sebagai musuh dan berpotensi membawa darah keji Quaralon. Akan tetapi, beberapa telah membuktikan dirinya berteman dengan kekaisaran kunomu. Kini, di malam penciptaan Republik Baru, kau memberikan suara untuk [leader_empire], membuat mereka memimpin era baru perdamaian di galaksi.#Sambil bersiap untuk menyerahkan masa depan kepada %8, satu-satunya harapanmu adalah bahwa kekuatan dan kebijaksanaan mereka akan cukup untuk melindungi galaksi dari musuh besar dalam ramalan kunomu. Tapi jika kau telah memilih hal yang salah, perdamaian yang dijanjikan melalui pembentukan aliansi ini juga akan berumur pendek...
GAME_OVER_COUNCIL_WIN2            | Setidaknya perang sucimu membuahkan hasil.#Tadinya kau adalah Kaisar Crystal dari Imperium Cryslonoid, kini kau berdiri sebagai Pemimpin Republik Baru yang dibentuk oleh berbagai kekaisaran di Majelis Galaksi. Tidak ada satupun ras yang berani menyuarakan penolakan akan nasib yang telah diperintahkan ini, tidak diragukan lagi mereka telah menyadari bahwa energi mereka lebih baik digunakan untuk membantu tujuanmu. Musuh Imperium kini adalah musuh seluruh galaksi, dan itu hanya berarti mantra kutukan bagi Anak-anak Quaralon.#Jika kau menemukan mereka bersembunyi di galaksi ini, setiap ras yang ada akan bersatu di bawah panjimu dan mengeksekusi mereka seluruhnya. Jika kau menemukan mereka menyamar di antara ras-ras di majelis, hancurlah mereka yang berani bersembunyi darimu selama ini...
GAME_OVER_COUNCIL_MILITARY_WIN2   | Setidaknya perang sucimu membuahkan hasil.#Setelah kenaikanmu menuju tahta majelis dan pemerintahan terpilihmu dengan hak yang kuat pada Republik baru dimulai, panggung telah terbentuk untuk bab baru dalam kisah perang sucimu untuk menyingkirkan darah kotor keturunan Quaralon dari galaksi ini. Pemberontakan melawanmu tidak direncanakan dengan baik dan terkutuk kepada kematian sejak awal, dan nyawa yang hilang dalam menumpasnya tidak sia-sia begitu saja: dalam membuktikan dirimu sebagai seorang pemimpin kau telah mengokohkan dirimu sebagai seorang penguasa, tidak hanya untuk dihormati, tetapi juga untuk ditakuti.#Seluruh militer Republik Baru berdiri di belakang panjimu dan siap melakukan apa saja yang diperlukan dalam peranc suci. Musuh kunomu akan tidak punya tempat untuk bersembunyi, dan jika ada jaringan Quaralon yang ada di antara mereka yang sekarang kau pimpin, seluruh kekuatan galaksi akan dikerahkan melawan mereka dalam serangan kilat. Kau hanya perlu menemukan di mana musuhmu bersembunyi untuk memulai Perang Pamungkas dan membawa galaksi ini kepada perdamaian selamanya...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Perang sucimu telah sampai pada akhir yang menyedihkan.#Kau berdiri sebagai Pemimpin Republik Baru, siap memimpin legium menuju pertempuran melawan musuh dalam ramalan. Meski demikian, pemberontakan yang timbul melawanmu tidak terduga, dan, sayangnya jauh di luar kemampuanmu untuk mengatasinya. Apakah karena sikap pengecut bawahanmu atau kesalahan militer yang kau buat sebagai komandan, Imperium Cryslonoid telah musnah, dan lebih sedikit lagi ras yang kini mengambil alih duniamu.#Dengan jatuhnya Imperium dan kematian Republik Baru yang berumur pendek, tidak ada satupun yang tersisa yang akan bisa menemukan keturunan Quaralon, apalagi mengalahkan mereka dan membawa perdamaian di galaksi. Mungkin jika kau lebih cakap mengkomando tentaramu, ramalan akan terwujud dan bencana bisa dihindari.  Sekarang karena kekalahanmu ramalan itu terkubur dalam pasir waktu, tidak akan bisa terwujud lagi, atau bahkan untuk sekedar diketahui...



// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | fanatisme Cryslonoid yang tidak kenal kompromi 
GAME_OVER_REBELLION_LOSS3         | energi fanatisme Cryslonoid menelan korban 

