// race-specific variables (must start with _)
_empire                           | Ssslaura Conclave, Reptara Conclave, Saura Conclave, Raptora Conclave, Tyranna Conclave
MAIN_ADVISOR_COUNCIL_RESISTED     | Pemberontak menjijikan itu! Kita susah payah menahan diri untuk menoleransi keberadaan mereka, dan malah sekarang mereka mau memberontak? Beri kami perintah untuk membasmi mereka: kita punya banyak dunia mereka untuk kita klaim atas nama Conclave! 
 

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Nasib seluruh dunia telah ditetapkan...#Kau pernah menjadi harapan planet-planet yang tak terhitung jumlahnya yang tersebar di seluruh galaksi. Terlepas dari dunia asalmu, satu-satunya pertimbanganmu adalah keinginan mempelajari dan menyempurnakan ekologi unik di setiap dunia yang dapat kau temukan. Dengan meningkatnya pengetahuanmu,  meningkat juga hasrat rakyatmu, dan untuk sesaat tampaknya impian bersama dari seluruh rakyat Ssslaura akan menjadi nyata. Jika bukan karena ketamakan musuhmu untuk mengembangkan wilayah mereka sebanyak mungkin, tentunya semua itu akan terwujud.#Kolonimu telah dikuasai musuh sampai planet yang paling terakhir: perhatian dan cinta yang kau berikan kepada bioma di planetmu telah diinjak-injak oleh nafsu musuh antarbintangmu. Ketika pos militer terakhirmu terbakar di sekitarmu dengan kematianmu yang tidak dapat terhindarkan, kau berpikir sambil melamun apakah makhluk-makhluk bodoh yang mengunggulimu itu pernah belajar hidup dalam keharmonisan dengan dunia yang begitu enaknya mereka ambil sebagai milik mereka. Tapi jawaban yang paling mungkin bagi pertanyaan itu, Magister Utama, terlalu mengerikan untuk dipikirkan berlarut-larut...
GAME_OVER_MILITARY_WIN2           | Keselamatan seluruh dunia akhirnya berada dalam genggaman!#Jaya! Jayalah rakyatmu dan seluruh planet di galaksi ini! Sejak hari ketika Ssslaura Conclave berhamburan keluar dari dunia mereka mencari lingkungan baru untuk menjaga keamanannya, kau tahu keinginan orang-orangmu tidak akan terelakkan. Para lawanmu salah mengerti dan tidak melihat kebijaksanaan dalam memprioritaskan keselamatan sistem ekologi galaksi ini, tapi adalah kebodohan yang tidak dapat dipahami bahwa mereka berpikir kekuatan mereka akan menghentikanmu meraih tujuanmu.#Dengan mengambil rangkaian aksi yang paling sederhana dan paling terarah, kau terpilih untuk membasmi ancaman yang dikeluarkan sainganmu, dan dengan melakukan itu berarti kau telah mencegah derita yang tidak perlu dialami oleh biosfer yang begitu lancangnya mereka rusak untuk tujuan lemah mereka! Kini kau punya waktu tak terbatas untuk memperbaiki kerusakan yang mereka sebabkan dengan tidak ada seorangpun yang akan menghalangimu. Rakyatmu akan mengalir seperti sungai di seluruh galaksi ini, setiap planet menunggu dengan rasa hormat untuk berevolusi dalam damai di bawah panduanmu. Nikmatilah buah dari usahamu yang sangat keras! Dan nikmatilah selama-lamanya akan tantangan yang menunggu Ssslaura di jalan selanjutnya!
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Keselamatan seluruh dunia akan segera berada dalam genggaman...#Meski ini bukanlah akhir kisah yang paling kau harapkan, kau tidak bisa menahan senyum ketika kau meresapi kemenanganmu yang susah payah kaudapatkan. Kau tahu akan ada ras lain dalam galaksi ini yang akan memandang planet mereka hanya sekedar sumber untuk diekploitasi, mengabaikan kebijakan filosofimu. Orang-orangmu disiapkan untuk berperang untuk mempertahankan kesucian setiap planet, betapapun kecilnya ukurannya. Kini musuhmu telah menjadi debu, dan kau tahu bahwa keseimbangan yang halus dari setiap sistem ekologis tidak akan pernah menjadi sasaran nafsu mereka yang akan melakukan kerusakan.#Kau bahagia menemukan sekutu yang memperhatikan pesanmu dan berkeinginan untuk memperlakukan dunia-dunia mereka dengan rasa hormat baru sebagaimana mereka pelajari darimu. Kejutan besar bagimu, mereka bahkan bergandengan tangan denganmu, tanpa keraguan mempertahankan niat mereka sendiri, tetapi juga menolongmu mempertahankan milikmu juga. Kini kau bisa bekerja untuk memperbaiki kerusakan yang disebabkan oleh begitu banyak perang yang tidak berguna. Pada saatnya nanti, kau hanya bisa meyakinkan teman-temanmu untuk melakukan hal yang sama terhadap dunia mereka sendiri...
GAME_OVER_COUNCIL_LOSS2           | Nasib seluruh dunia telah ditetapkan...#Rekayasa dari kekaisaran musuhmu telah terbukti menjadi kehancuranmu. Ketika kau berkelana ke seluruh galaksi dan menyempurnakan ekosistem setiap planet satu per satu, ternyata tidak dapat dihindari bahwa kau akan menemukan planet-planet yang diklaim oleh makhluk lain dan akan tetap berada di luar jangkauanmu. Melalui diplomasi dan manuver politik, pasti kau akan bisa meraih kemampuan untuk menyelamatkan lingkungan planet meski mereka tetap berada di bawah genggaman kekuatan asing. Atau setidaknya itulah pertimbanganmu.#Kini Majelis Galaksi telah dibubarkan dan diubah menjadi Republik Baru di bawah kekuasaan [leader_empire]. Kegagalanmu untuk meyakinkan kekaisaran lain untuk melihat kebijaksanaan dalam caramu tentu saja akan merugikan kau dan dunia-dunia yang sedang kau coba selamatkan sekuat tenaga. Kau hanya bisa berharap bahwa kepemimpinan baru akan bersikap baik kepada rakyatmu. Tidak hanya untuk kepentingan mereka, tapi juga demi kepentingan setiap planet di galaksi ini juga...
GAME_OVER_REBELLION_LOSS2         | Nasib seluruh dunia telah ditetapkan...#Keteguhan dan idealismemu telah membawamu kepada akhir kisah ini. Musuhmu telah menggerus tentaramu, dan sampai saat ini mereka telah melakukan banyak hal yang tidak dapat dibayangkan terhadap dunia-duniamu. Dulu, kau berpikir bahwa dengan memainkan permainan politik mereka, kau akan bisa menggoyahkan pola pikir mereka agar lebih sejalan dengan filosofimu. Tetapi ketika kejahatan ras [leader_race] mengambil kontrol Republik Baru, kau tahu bahwa negosiasi damai akan menjadi tidak mungkin. Sebagai makhluk yang pernah menjadi juara dalam keseimbangan ekologis, rakyatmu bersumpah untuk mengangkat senjata untuk mencegah perlakuan buruk terhadap planet-planet di galaksi, dan bersiap mati dalam melakukan misi tersebut.#Dan matilah mereka: dunia-duniamu telah dikuasai dan proyek besarmu di setiap planet tersebut hancur. Orang-orangmu dipaksa untuk mundur sebagai upaya pertahanan terakhir mereka dalam benteng terakhir mereka, dan mereka mati mempertahankan idealismemu. Sebagai makhluk yang paling percaya terhadap keseimbangat ekologis, kepunahanmu akan membuktikan tidak hanya kehilangan besar bagi rakyatmu, tetapi bagi seluruh galaksi juga...
GAME_OVER_REBELLION_WIN2          | Keselamatan seluruh dunia akhirnya berada dalam genggaman!#Inilah saatnya bagi Ssslaura Conclave! Kau telah menguasai setiap hambatan yang kauhadapi dalam pembangunan kekaisaran antarbintangmu. Tidak pernah sekalipun kau lupakan bahwa tugas utamamu adalah melindungi keindahan alami dari setiap planet yang kau klaim sebagai milikmu. Siapapun yang berani melawanmu telah menunjukkan kesalahan dari tindakan mereka, dan ketika ras [leader_race] diberikan jabatan kepemimpinan Republik Baru, kau memutuskan untuk menunjukkan kepada seluruh galaksi betapa salahnya pilihan mereka ini dengan cara yang paling terang-terangan.#Kini tidak ada musuh yang melawan kehendakmu dan tidak ada makhluk bodoh yang masih hidup yang bisa membahayakan planet yang kau amankan. Rakyatmu dapat dengan santai menikmati waktu mereka mencari solusi permasalahan ekologis di setiap dunia yang terpampang di depan mata mereka. Dan ketika seluruh galaksi telah mendapat harmoni alami yang sempurna di bawah pemerintahanmu, kau akan siap untuk mengambil alih dunia lain di bawah perlindunganmu juga. Hiduplah Ssslaura Conclave!
GAME_OVER_REBEL_ALLIANCE_WIN2     | Keselamatan seluruh dunia akan segera berada dalam genggaman...#Mengatakan bahwa potongan kejadian ini merupakan kejutan adalah suatu pernyataan prematur yang menjijikkan. Pada awalnya, solusi yang lebih damai bagi pertempuran antar-kekaisaran tampaknya menjadi jalan terbaik untuk mencegah kerusakan yang tidak penting terhadap planet-planet indah yang menempati galaksi ini. Meski begitu, tidak ada jalan untuk diambil kecuali perang ketika Majelis Galaksi memilih pihak lain untuk memimpin Republik Baru. Kau mengangkat bendera pemberontakan melawan seluruh sistem dan kematian telah dikirimkan sebagai nasib galaksi ini.#Tidak terduga, kau mengungkap bahwa pihak-pihak lain ingin mengambil alih keinginanmu dan membebaskan galaksi dari apa yang pastinya akan menjadi penindasan penuh penghinaan. Mereka yang bertempur di sisimu terbukti sama tangguhnya seperti orang-orangmu, dan bersama-sama kalian menyapu bersih pemerintahan palsu dan memasang sistem baru bagi galaksi di mana kehidupan seluruh planet menjadi pertimbangan utamanya. Dan jika sekutumu memutuskan untuk melepaskan diri dari arah ini di masa depan, kau memiliki pengetahuan akan bagaimana mengatasi taktik dan strategi mereka secara efektif. Adalah sangat membahagiakan bahwa kau tahu setiap planet akan meraih potensinya di bawah penangananmu, apapun yang terjadi...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Keselamatan seluruh dunia akan segera berada dalam genggaman...#Sungguh ini adalah hasil terbaik yang bisa kauharapkan mengingat situasi saat ini. Dari sejak pertemuan pertamamu dengan kekaisaran lain, kau tahu bahwa keterbatasan mereka akan mencegah mereka dapat memahami kebenaran dalam filosofimu. Justru kau kemudian memutuskan untuk membangun jembatan di antara rakyatmu dan ras [leader_race], dan membantu mereka untuk melesat menuju posisi yang akan sangat bermanfaat bagi rencanamu. Kini, mereka duduk pada tahta Republik Baru, dan teman terpercaya mereka, Ssslaura, berdiri di dekat mereka, siap menerima hadiah atas naik tahtanya mereka. #Kau akan terus mempengaruhi sekutumu [leader_race] untuk memastikan kesucian setiap dunia di Republik. Jika ada satu saja kekaisaran yang keras kepala untuk berusaha menghalangi kehendakmu, kau memiliki setiap kepercayaan diri yang diperlukan untuk menghadapi mereka. Itu adalah kekuatan yang berasal dari ikatanmu dengan ras [leader_race], dan bahwa itu akan menjadi bagaimana kau akan memastikan planet-planet tetap aman, sekarang dan selamanya...
GAME_OVER_COUNCIL_WIN2            | Keselamatan seluruh dunia akhirnya berada dalam genggaman!#Kau telah meraih kemenangan yang diidamkan rakyatmu sejak perjalanan pertama mereka menuju kedalaman kosmos. Dengan menemui dunia-dunia asing dengan ekologi yang indah, itu semua menjadi tantangan menarik bagi rakyatmu untuk terus berpikir maju. Meski begitu, mengarahkan urusan diplomatik tampaknya menjadi tugas yang jauh lebih halus bagimu untuk mempergunakan kecerdasanmu dalam mencari solusi di dalamnya. Tapi pada akhirnya kau berdiri pada posisi otoritas tertinggi:  kau dan hanya kau sendiri berdiri sebagai Pemimpin Republik Baru. #Dengan menggunakan posisimu, kau akan memastikan setiap planet di galaksi ini ditangani dengan penuh rasa hormat dan dengan penuh perhatian. Jika ada kekaisaran manapun di dalam republik yang melawan peraturan besi ini dalam mengejar tujuan mereka sendiri, kau kini memiliki tentara galaksi di bawah perintahmu untuk memastikan mereka akan kembali ditertibkan. Dan jika seluruh plane ini telah disempurnakan, kau menghadapi masa depan dalam bentuk eksplorasi galaksi lain dan membawa pemerintahanmu yang penuh berkah kepada dunia di galaksi baru itu. Berangkatlah sekarang, Magister Agung, karena pekerjaanmu baru saja dimulai...
GAME_OVER_COUNCIL_MILITARY_WIN2   | Keselamatan seluruh dunia akhirnya berada dalam genggaman!#Meski bukan tanpa kegagalan, kau kini akan berdiri dengan tidak ada seorangpun yang bisa menantangmu dalam hal caramu membentuk galaksi ini. Ini bukanlah capaian kecil bagimu untuk menjadi Pemimpin Republik Baru, tapi kau bisa beradaptasi untuk mengunguli kekaisaran lain dan rekayasa tersembunyi mereka. Di saat beberapa anggota republik termanipulasi dan memutuskan untuk memulai pemberontakan untuk mempertahankan kemerdekaan untuk merusak dunia-dunia merka, hanya butuh sedikit waktu bagimu untuk menyimpulkan bahwa mereka harus dibasmi. #Kini para memberontak telah ditundukkan dan menjadi contoh bagi mereka yang akan mencoba untuk meletakkan nafsu pribadi mereka di atas kesejahteraan planet-planet mereka. Para pemberontak bisa membuat diri mereka sendiri berguna dalam hal yang sebelumnya tidak kau duga: dengan bersatunya seluruh galaksi melawan musuh bersama, mereka kini lebih mudah dibentuk menurut kehendakmu setelah mereka bergelimang cahaya kemenangan bersama. Inilah waktunya kau bergerak ke depan dengan rencanamu, dan apakah mereka yang tunduk kepadamu akan mengerti akan rencanamu atau tidak, kau tahu di dalam hatimu bahwa galaksi itu sendiri akan berterima kasih kepadamu...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Nasib seluruh dunia telah ditetapkan...#Bencana telah menimpa Republik Baru sebelum republik belum benar-benar terwujud. Ketika kebijakan dan kasih sayangmu terhadap lingkungan seluruh planet menyebar di seluruh kekaisaran antar-galaksi, telah dipastikan bahwa kau akan menjadi pihak yang terpanggil untuk memimpin galaksi begitu galaksi bersatu di bawah satu panji tunggal. Tapi segera setelah menaiki tahta di atas segala tahta ini, pemberontakan mulai berkembang dan akhirnya menjadi nyata. Ketika garis telah tergambar di atas pasir, kau dan mereka yang kaupimpin percaya bahwa jumlahmu dan kekuatanmu yang lebih besar akan membawa kemenangan dengan mudah. Rasa cepat puas pada diri sendiri ini akhirnya akan membawa kepada kehancuranmu.#Mereka yang memberontak melawanmu memiliki kepercayaan diri dalam kemampuan mereka, dan kepercayaan diri ini menghasilkan remuknya kekaisaranmu di sekelilingmu. Kini seluruh Republik Baru telah hancur, setiap armadanya dihancurkan dan setiap planetnya dikuasai oleh mereka yang mementingkan kekuasaan demi diri mereka sendiri apapun konsekuensinya. Para pemberontak kini akan memimpin galaksi menuju apapun di masa depan yang sesuai dengan rencana dan siasat mereka, dan ketika nyawamu berjalan meninggalkan tubuhmu, kau hanya bisa berharap mereka akan memberikan kasih sayang kepada planet yang mereka kuasai dengan kasih sayang yang tidak mereka berikan kepadamu di akhir riwayatmu...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | kehendak Ssslaura yang tak tergoyahkan menelan segala yang menentang
GAME_OVER_REBELLION_LOSS3         | pengabdian Ssslaura terhadap ekologi dunia


