// race-specific variables (must start with _)
_empire                           | Σκιάρ, Ντάρλοκ, Νάζλοκ, Σκιώκ, Σαΰλώκ, Σκοτιώκ
MAIN_ADVISOR_REBELLION            | Οι άνθρωποι του %1 έχουν χάσει το μυαλό τους ;! Ξεχνούν ότι μόνο μαζί μπορούμε να επικρατήσουμε σε αυτό το σύμπαν! Πρέπει να κάνουμε παράδειγμα αυτή την εξέγερση παράδειγμα αποφυγής αμέσως!
MAIN_ADVISOR_RESIST_COUNCIL       | Οι πιθανότητες επιτυχίας μας εδώ ήταν πάντα γνωστό ότι ήταν ισχνές. Πολεμώντας εναντίον του Γαλαξιακού Συμβουλίου και των συμμάχων του δεν μειώνει τις πιθανότητές μας.
MAIN_ADVISOR_COUNCIL_RESISTED     | Εργαστήκαμε για πολύ καιρό για να λυγίσουμε αυτούς τους ανόητους στη θέλησή μας! Η εξέγερση ενάντια στην ηγεσία μας δεν μπορεί να γίνει ανεκτή! Καταστρέψτε τους άμεσα!

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Το τέλος της αναζήτησής σας, το τέλος του λαού σας ...#Μια τραγωδία που δεν μπορεί να φανταστεί κάποιος άλλος έπεσε στην αυτοκρατορία σας. κάποτε μια φυλή απεγνωσμένη να αποκαλύψει τα μυστικά του γεγονότος που πέταξαν τους προγόνους σας από το πεθαμένο σύμπαν τους σε αυτήν την εξωγήινη διάσταση, ο πολιτισμός σας βρίσκεται σε πλήρη καταστροφή στα πόδια των κατοίκων πολύ πιο ισχυρών από ό, τι θα μπορούσατε να ελπίζετε να αντισταθείτε. Εάν είχαν γνωρίσει ίσως τη δυστυχία σας, μπορεί να ήταν πιο ελεήμονες, ίσως ακόμη και να σας βοηθούσαν, ή τουλάχιστον να ήταν πιο ανεκτικοί στα μέσα που χρησιμοποιήσατε για να επιτύχετε τους στόχους σας. Αντ 'αυτού, έχετε επιτύχει μόνο τον πρόωρο θάνατο του είδους σας, καθώς άλλες δυνάμεις συνεχίζουν την πορεία τους σε ότι θα φέρει το μέλλον.#Δυστυχώς, οι Σκιάρ πρέπει να αντιμετωπίσουν αυτήν την καταστροφή! Αν έπαιζες το χέρι σου διαφορετικά, οι δικοί σου μπορεί να ήταν ακόμα ζωντανοί και ίσως να έβρισκαν ακόμη και το κλειδί που θα σου επέτρεπε να φέρεις την υπόλοιπη φυλή σου σε αυτό το νέο, πιο σταθερό πεδίο. Ίσως, όμως, τα χαρτιά σας να μην μπορούσαν να παιχτούν καλύτερα: ίσως η μοίρα απλώς αποφάσισε να σας προσφέρει ένα πιο ατυχές χέρι...
GAME_OVER_MILITARY_WIN2           | Η πρώτη φάση τελείωσε, αρχίζει η πραγματική δοκιμή...#Αυτός ο γαλαξίας είναι δικός σας! Ακριβώς όπως οι άνθρωποι σας κυριάρχησαν στο σύμπαν από το οποίο προήλθαν, έτσι και εσείς έχετε συντρίψει την αδύναμη αντιπολίτευση σε αυτόν τον γαλαξία και διεκδικήσατε όλα αυτά που περιέχει ως δικά σας. Οι τακτικές που χρησιμοποιήσατε αποδείχθηκαν πάρα πολύ καλές για να τις ξεπεράσουν οι εχθροί σας, και η μυστικότητα και μυστικοπάθεια που χρησιμοποιήσατε για να αποκτήσετε τα μυστικά τους αποδείχθηκαν ακόμη καλύτερες. Τώρα, καθώς τα τελευταία οχυρά των εχθρών σας πέφτουν κάτω από τη δύναμή σας, κοιτάζετε τα αστέρια που σκουπίζουν αυτό που θα γίνει το μόνιμο σπίτι των Ντάρλοκς.#Αλλά η δουλειά σας δεν είναι ακόμη κοντά στην ολοκλήρωση. Έχετε μάθει πώς να ζείτε σε αυτήν την εξωγήινη διάσταση και έχετε κάνει έναν ολόκληρο γαλαξία ασφαλή για τους κατοίκους σας να κατοικήσουν και να ευημερήσουν. Ωστόσο, τα μυστικά του τρανσδιαστατικού ρήγματος που έφεραν την φυλή σας εδώ δεν έχουν ακόμη αποκαλυφθεί και κάθε μέρα που περνάει εδώ σημαίνει ότι το οικιακό σας σύμπαν πλησιάζει στην αναπόφευκτη κατάρρευσή του. Και αν κάποια από τις αυτοκρατορίες που καταστρέψατε είχε ήδη το μυστικό, η στρατιωτική σας κατάκτηση μπορεί να έχει αποδειχθεί ότι θα είναι στην πραγματικότητα η αναίρεση της ύπαρξης σας...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Η πρώτη φάση τελείωσε, ξεκινάει η πραγματική δοκιμασία ... # Τώρα είναι η ώρα της πρώτης σας αληθινής νίκης! Όταν ο λαός σας  ρίχτηκε σε αυτήν τη διάσταση, τη βρήκε τρομακτική, εξώκοσμη και επικίνδυνη. Όμως, αντί να μαζευτούν φοβισμένοι σε μια γωνιά και να βγάζουν τα προς το ζην με τον καλύτερο δυνατό τρόπο, προχώρησαν με τόλμη, ορκισμένοι να κυριαρχήσουν στα μυστικά αυτού του γαλαξία και να τον κάνουν ασφαλές για να φέρουν και τους υπόλοιπους δικούς σας από το κόσμο τους που αργοπέθαινε. Στην πορεία, έγιναν εχθροί και φίλοι και η σκηνή ήταν έτοιμη για τη μεγαλύτερη πρόκληση που θα γνώριζε ποτέ ο λαός σας.#Μαζί με τους συμμάχους σας καταφέρατε να διαλύσετε όσους θα αντιτίθεντο στους στόχους σας και να τους σπάσουν πάνω στους στόλους σας όπως η παλίρροια σπάει στην ακτή. Τώρα μόνο εσείς και οι στενοί σας φίλοι παραμένουν, και μέσω της συγγένειας που μπορεί να αποκτηθεί μόνο με τη συμμετοχή στη νίκη του πολέμου, θα βοηθήσετε ευτυχώς τους συμμάχους σας στα βάρη τους καθώς και αυτοί θα σας βοηθήσουν στα δικά σας. Και όταν οι άνθρωποι σας περάσουν με ασφάλεια τις διαστάσεις και η πραγματική αυτοκρατορία σας ξαναγεννηθεί, μόνο εκείνοι που έχουν αποδειχθεί αληθινοί στον σκοπό σας μπορούν να ζήσουν σε ένα σύμπαν που αναμφίβολα θα γίνει δικό σας...
GAME_OVER_COUNCIL_LOSS2           | Τα σχέδιά σας απέτυχαν, η αναζήτησή σας κινδυνεύει...#Τα σχέδιά σας έχουν απογυμνωθεί στον γαλαξία, και παρόλο που κανείς δεν μπορεί να ελπίζει να ταιριάξει με τις ικανότητές σας στην παρακολούθηση, τα μάτια των αντιπάλων σας αποδείχτηκαν πολύ προσεκτικά για να τα παρακάμψετε ακόμη και εσείς. Με τη σφυρηλάτηση της Γαλαξιακής Δημοκρατίας και το μέλλον του γαλαξία που θα καθοριστεί, οι ψήφοι για όσους βρίσκονται στον όροφο του συμβουλίου αποδείχτηκαν ικανοί να χαλάσουν τα καλά θεμελιωμένα σχέδιά σας. Το μέλλον ανήκει στη φυλή 6%!#Η προσπάθεια να αποκτήσετε την ικανότητα να κατευθύνετε την πορεία του γαλαξία ήταν μια φιλόδοξη στρατηγική. Αν οι διπλωματικές σας τεχνικές ήταν πιο λεπτές, είναι πολύ πιθανό ότι ολόκληρη η βούληση του γαλαξία θα μπορούσε να ήταν στραμμένη στην εξυπηρέτηση της αναζήτησής σας. Τώρα θα πρέπει να υποταχθείτε στη βούληση της φυλής %6, αλλά κάθε μέρα που περνά φέρνει εκείνους που έχουν ξεμείνει στο καταρρέον σύμπαν από όπου έρχεστε μια μέρα πιο κοντά σε μια μοίρα πιο τρομερή από ό, τι τολμάτε να φανταστείτε...
GAME_OVER_REBELLION_LOSS2         | Το τέλος της αναζήτησής σας, το τέλος του λαού σας ... # Η τύχη δεν ευνόησε ποτέ τους δικούς σας από την άφιξή σας σε αυτό τον αφιλόξενο για σας τόπο. Δεν σας ευνοούσε όταν ήρθατε σε μια διάσταση όπου καμία από τις τεχνολογίες σας δεν λειτούργησε σωστά. Δεν σας ευνόησε όταν οι γηγενείς κάτοικοι αυτού του γαλαξία ψήφισαν εναντίον της απόφασης σας να ηγηθείτε της Γαλαξιακής Δημοκρατίας. Και τώρα, στο τέλος όλων των πραγμάτων, δεν σας ευνόησε καθώς εκστρατεύσατε εναντίον των αντιπάλων σας για να εξασφαλίσετε όχι μόνο την ηγεσία του γαλαξία, αλλά και την ίδια σας την επιβίωση. # Οι δικοί σας ήταν ανθεκτικοί, δυνατοί και αποφασισμένοι, αλλά οι καλύτερες τους προσπάθειες και η προθυμία να κερδίσουν με οποιονδήποτε απαραίτητο τρόπο απλά δεν ήταν αρκετές για να τους δώσουν νίκη ενάντια στη συντριπτική δύναμη των στρατών της Γαλαξιακής Δημοκρατίας. Η γενναιότητα σας άξιζε να σας θυμούνται: αυτό κανείς δεν μπορεί να το αντικρούσει. Αλλά καθώς ο τελευταίος των στρατών σας, και των ίδιων των κόσμων σας, πέφτει στους εχθρούς σας, η κομματιασμένη αυτοκρατορία σας κείτεται ηττημένη, τσακισμένη και σύντομα θα είναι πια και ξεχασμένη...
GAME_OVER_REBELLION_WIN2          | Η πρώτη φάση τελείωσε, ξεκινάει η πραγματική δοκιμασία...#Τώρα επιτέλους αυτοί οι κατώτεροι ανόητοι βλέπουν τη δύναμή σας καθώς έχει εξαπολυθεί χωρίς συγκράτηση! Ματαίως οι εχθροί σας προσπάθησαν να σας εμποδίσουν στην προσπάθεια να ελευθερώσετε τους συγγενείς σας που έμειναν πίσω από την απόλυτη καταστροφή τους και χρησιμοποίησαν κάθε κόλπο που μπορούσαν για να σας εμποδίσουν. Από τις απειλές έως την κατασκοπεία έως την ανοιχτή εχθρότητα, η επιθυμία τους να σας εμποδίσουν να επιτύχετε τον στόχο σας ήταν στο αποκορύφωμά της όταν ψήφισαν εναντίον σας για να ηγηθείτε της Γαλαξιακής Δημοκρατίας, παρά το γεγονός ότι είστε ο πιο άξιος να το κάνετε. Με λίγες επιλογές και απουσία βαριάς συνείδησης, εξαπολύσατε πάνω τους την ίδια τρομερή οργή που οδήγησε τους ανθρώπους σας στην απόλυτη κυριαρχία στο σύμπαν από όπου ήρθατε.#Τώρα αυτός ο γαλαξίας είναι δικός σας και παρόλο που ο χρόνος είναι σύντομος πριν καταρρεύσει το επίπεδο από όπου ήλθατε σας και εκείνοι που μένουν πίσω υποφέρουν μια μοίρα χειρότερη από το θάνατο, τουλάχιστον τώρα δεν μένει κανένας σε αυτήν τη διάσταση που θα σας αντιταχθεί. Τώρα επιτέλους αυτοί οι κατώτεροι ανόητοι βλέπουν τη δύναμή σας και τη θέληση σας στην ασυγκράτητη τους μορφή! Ή τουλάχιστον θα έβλεπαν, εάν κάποιος από αυτούς είχε μείνει ζωντανός για να το κάνει...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Η πρώτη φάση τελείωσε, ξεκινάει η πραγματική δοκιμασία...#Από την αρχή ξέρατε ότι οι κάτοικοι αυτού του γαλαξία δεν θα σας εμπιστευόνταν ποτέ πρόθυμα να ηγηθείτε μιας ενοποιημένης συμμαχίας των αυτοκρατοριών που ταξιδεύουν στο σύμπαν. Ανέντιμες και δύσπιστες, οι αυτόχθονες αυτοκρατορίες που κατοικούν σε αυτό το επίπεδο είχαν κάνει ό, τι μπορούσαν για να αποτρέψουν τα σχέδιά σας και ψήφισαν απλά εναντίον σας όταν ξεκίνησε ο σχηματισμός της Γαλαξιακής Δημοκρατίας. Αλλά είστε σοφοί, και είστε πονηροί, και βλέποντας τις μηχανορραφίες τους τόσο εύκολα όσο διαβάζει κανείς λέξεις σε μια σελίδα, εστιάσατε τις διπλωματικές σας προσπάθειες μόνο σε αυτούς που αξίζουν να σταθούν δίπλα σας. Και όταν έφτασε η ώρα που οι εχθροί σας νόμιζαν ότι σας παγιδεύσαν, βρέθηκαν σε μια παγίδα που είχε από καιρό στηθεί οι ίδιοι.#Τώρα εσείς και οι σύμμαχοί σας στέκεστε νικητές πάνω στη στάχτη εκείνων που τόλμησαν να θεωρήσουν τους εαυτούς τους καλύτερους σας. Η μοίρα του γαλαξία είναι στα χέρια σας καθώς είστε ελεύθεροι να βρείτε έναν τρόπο να φέρετε τους υπόλοιπους δικούς σας πέρα από τα διαστατικά εμπόδια και σε ένα νέο σύμπαν ώριμο για συγκομιδή. Και αν αυτοί που επιλέξατε ως σύντροφοι σας εμποδίζουν τους στόχους σας, θα τους αντιμετωπίσετε τόσο αποφασιστικά αντιμετωπίσατε όλους τους άλλους...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Η πρώτη φάση τελείωσε, ξεκινάει η πραγματική δοκιμασία ... # Πολύ καιρό πριν μια μικρή ομάδα των συνσκιών σας πέταξε από το σύμπαν που πέθαινε και ωθήθηκε σε αυτό το νέο και ξένο διαστατικό επίπεδο. Καθώς άρχισες να αναζητάς έναν τρόπο να φέρεις εκείνους που είχαν ξεμείνει μαζί σου σε αυτόν τον νέο και σταθερό γαλαξία, οι συναντήσεις σου με εκείνους που κατοικούσαν ήδη ανάμεσα σε αυτά τα αστέρια σου δίδαξαν γρήγορα ότι δεν θα μπορούσες να βρεις τις απαντήσεις που αναζητούσες μαχόμενος μικρούς και παρατεταμένους πολέμους. Αντ 'αυτού, επιδιώξατε να χειριστείτε την πορεία της ιστορίας, χωρίς να φαίνεστε, και τώρα επιτέλους αυτά τα σχέδια έχουν υλοποιηθεί. # Η φυλή %7 ανέλαβε την κυριαρχία της Γαλαξιακής Δημοκρατίας και έχουν αποδειχθεί ευέλικτοι και δεκτικοί στα σχέδιά και τις συμβουλές σας. Ως έμπιστοι και σύμβουλοι, οι δικοί σας είναι σε μοναδική θέση να καθοδηγούν τη δύναμη του ίδιου του γαλαξία υπό την ηγεσία του συμμάχου σας. Είστε πολύ μακριά από την άμεση εξουσία για να αισθανθείτε ποτέ την αντίδραση σε περίπτωση αποτυχίας των πραγμάτων. Εάν πετύχετε, η ενίσχυση των τάξεων σας με την άφιξη των συγγενών σας που χάσατε πολύ καιρό θα είναι κάτι παραπάνω από αρκετό για να ξεκινήσετε μια νέα εποχή και να κλίνετε τη ζυγαριά συντριπτικά υπέρ σας...
GAME_OVER_COUNCIL_WIN2            | Η πρώτη φάση τελείωσε, αρχίζει τώρα η πραγματική δοκιμασία...#Οι αίθουσες του συμβουλίου ξεσπούν με ενθαρρυντικά χειροκροτήματα και ζητωκραυγές καθώς ξεκινάτε τη βασιλεία σας ως Κύριος της Γαλαξιακής Δημοκρατίας. Αποδέχεστε ταπεινά το βάρος της επιμέλειας που σας έχει χορηγηθεί από τις αυτοκρατορίες που απαρτίζουν το Γαλαξιακό Συμβούλιο, γνωρίζοντας ότι αυτός ο σκοπός ήταν το αποτέλεσμα ενός σχεδίου που υπήρχε εδώ και πολύ καιρό. Λίγο αφότου οι δικοί σας έφτασαν σε αυτήν τη διάσταση και έμαθαν τα μυστήρια της, ξέρατε ότι θα ήταν αδύνατο μόνοι σας να βρείτε έναν τρόπο να επιτρέψετε στους παγιδευμένους αδελφούς και αδελφές σας να κάνουν το ταξίδι σε αυτό το διαστατικό επίπεδο προτού το σύμπαν τους καταρρεύσει εντελώς. Τώρα, μετά από χρόνια διπλωματίας, μυστικότητας και πολιτικής χειραγώγησης, δεν χρειάζεται πλέον.#Τώρα, αυτός ο γαλαξίας είναι δικός σας για να τον διαμορφώσετε και να χαράξετε και να κατευθυνθείτε στην πορεία που σας φαίνεται καλύτερη. Σύντομα θα λυγίσετε την τεχνολογία, τη δύναμη και την καινοτομία των συμμάχων σας για να σας βοηθήσουν να ανοίξετε μια πύλη στο σύμπαν σας και να ξαναχτίσετε τον πολιτισμό σας εδώ με όσους από τους δικούς σας μπορείτε να εισάγετε. Και αν κάποιος τολμήσει να προσπαθήσει να σας σταματήσει, τώρα έχετε τους στρατούς της Γαλαξιακής Δημοκρατίας να συντρίψετε τη διαφωνία τους για πάντα...
GAME_OVER_COUNCIL_MILITARY_WIN2   | Η πρώτη φάση τελείωσε, αρχίζει τώρα η πραγματική δοκιμασία ...#Τώρα η ηγεσία σας γι'αυτόν τον γαλαξία δικαιώνεται με λέξη και πράξη. Μετά από αμέτρητα χρόνια χειραγώγησης των διαστρικών αντιπάλων σας για να σας βοηθήσουν να προωθήσετε τους στόχους σας, τα σχέδιά σας επιτεύχθηκαν τελικά όταν αποκτήσατε τον τίτλο "Κυρίαρχος της Γαλαξιακής Δημοκρατίας". Και όταν οι φωνές των αντιφρονούντων υψώθηκαν εναντίον σας, είχατε ήδη θέσει σχέδια κίνησεων μέσα σε άλλα σχέδια που σας επέτρεψαν να εξαλείψετε την εξέγερση αποφασιστικά. Πολέμησαν, κερδίσατε, και τώρα ολόκληρος ο γαλαξίας είναι δικός σας για να τον κάνετε όπως θέλετε.#Με τους εχθρούς σας κονιορτό να κείτονται στο χώμα και σκορπισμένους στους πέντε ηλιακούς ανέμους, στρέφετε την προσοχή σας στον πραγματικό σας στόχο: να βρείτε τρόπο να φέρετε τους ξεχασμένους πίσω δικούς σας σε αυτό το νέο και σταθερό σύμπαν όπου η αυτοκρατορία σας μπορεί να ξαναγεννηθεί. Κανείς δεν θα τολμούσε να μιλήσει εναντίον σας τώρα, όχι αφού έχει δει τι συνέβη σε αυτούς που ήταν αρκετά ανόητοι για να το κάνουν...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Το τέλος της αναζήτησής σας, το τέλος του λαού σας...#Η πιο θλιβερή μοίρα που θα μπορούσατε να πετύχετε για τους δικούς σας έχει γίνει πραγματικότητα. Η απαράμιλλη ικανότητά σας για υποφυγή και χειραγώγηση έχει καταστραφεί από κατώτερα είδη που δεν μπορούσαν να ελπίζουν να καταλάβουν το σπουδαίο έργο που προσπαθούσατε να πετύχετε. Παρόλο που καταφέρατε στο μνημειώδες καθήκον να γίνετε ο εκλεγμένος κυβερνήτης του γαλαξία, διατηρώντας παράλληλα το μυστικό που κάλυψε τους στόχους σας, δεν μπορούσατε να καταπνίξετε την εξέγερση που σύντομα ξέσπασε για να αντικαταστήσει την αναπτυσσόμενη ηγεσία σας.#Τώρα είναι πολύ αργά για εσάς για να οδηγήσετε το μέλλον του γαλαξία κατά μήκος της διαδρομής που θεωρείτε κατάλληλη. Η εξέγερση άφησε τη Γαλαξιακή Δημοκρατία ως τίποτα περισσότερο από ερείπια για να λεηλατήσουν και να οικοδομήσουν οι νικητές. Και ο θάνατος των Σκιάρ σφραγίζει τη μοίρα εκείνων που παραμένουν παγιδευμένοι σε ένα καταδικασμένο σύμπαν και δεν έχουν καμία ελπίδα να ξεφύγουν. Η αποτυχία σας έχει σφραγίσει τη μοίρα της αυτοκρατορίας σας όχι μόνο σε ένα αλλά σε δύο σύμπαντα, και ως εκ τούτου είναι πιο μνημειώδης από ότι κανείς από τους εχθρούς σας θα μπορούσε καν να καταλάβει ...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | η σκιασμένη λαβή των Ντάρλοκ τους παγίδευσε
GAME_OVER_REBELLION_LOSS3         | οι άγνωστες μηχανοραφίες των Ντάρλοκ
