

//
// Armor techs
// 
ARMOR_0_NAME     | Titanium Panzerung
AUTOREPAIR_0_BRIEF     | Heilt 15% der Trefferpunkte eines Schiffs pro Zug
AUTOREPAIR_0_DETAIL    | Unzerstörte Schiffe können am Ende des Zuges bis zu 15% ihrer Trefferpunkte wiederherstellen.

AUTOREPAIR_1_NAME      | Fortgeschrittene Schadenskontrolle
AUTOREPAIR_1_BRIEF     | Heilt 30% der Trefferpunkte eines Schiffs pro Zug
AUTOREPAIR_1_DETAIL    | Unzerstörte Schiffe können am Ende des Zuges bis zu 30% ihrer Trefferpunkte wiederherstellen.


//
// Battle Computer techs
// 
// this is the Ship Design entry for selecting no battle computer
COMPUTER_0_NAME    | 
COMPUTER_0_ITEM    |  
COMPUTER_0_BRIEF   | Angriffslevel 0
COMPUTER_0_DETAIL  |

COMPUTER_1_NAME    | Zielcomputer Mark I
COMPUTER_1_ITEM    | Mark I
COMPUTER_1_BRIEF   | Angriffslevel I
COMPUTER_1_DETAIL  | Verbessert Waffengenauigkeit auf Level 1.

COMPUTER_2_NAME    | Zielcomputer Mark II
COMPUTER_2_ITEM    | Mark II
COMPUTER_2_BRIEF   | Angriffslevel II
COMPUTER_2_DETAIL  | Verbessert Waffengenauigkeit auf Level 2.

COMPUTER_3_NAME    | Zielcomputer Mark III
COMPUTER_3_ITEM    | Mark III
COMPUTER_3_BRIEF   | Angriffslevel III
COMPUTER_3_DETAIL  | Verbessert Waffengenauigkeit auf Level 3.

COMPUTER_4_NAME    | Zielcomputer Mark IV
COMPUTER_4_ITEM    | Mark IV
COMPUTER_4_BRIEF   | Angriffslevel IV
COMPUTER_4_DETAIL  | Verbessert Waffengenauigkeit auf Level 4.

COMPUTER_5_NAME    | Zielcomputer Mark V
COMPUTER_5_ITEM    | Mark V
COMPUTER_5_BRIEF   | Angriffslevel V
COMPUTER_5_DETAIL  | Verbessert Waffengenauigkeit auf Level 5.

COMPUTER_6_NAME    | Zielcomputer Mark VI
COMPUTER_6_ITEM    | Mark VI
COMPUTER_6_BRIEF   | Angriffslevel VI
COMPUTER_6_DETAIL  | Verbessert Waffengenauigkeit auf Level 6.

COMPUTER_7_NAME    | Zielcomputer Mark VII
COMPUTER_7_ITEM    | Mark VII
COMPUTER_7_BRIEF   | Angriffslevel VII
COMPUTER_7_DETAIL  | Verbessert Waffengenauigkeit auf Level 7.

COMPUTER_8_NAME    | Zielcomputer Mark VIII
COMPUTER_8_ITEM    | Mark VIII
COMPUTER_8_BRIEF   | Angriffslevel VIII
COMPUTER_8_DETAIL  | Verbessert Waffengenauigkeit auf Level 8.

COMPUTER_9_NAME    | Zielcomputer Mark IX
COMPUTER_9_ITEM    | Mark IX
COMPUTER_9_BRIEF   | Angriffslevel IX
COMPUTER_9_DETAIL  | Verbessert Waffengenauigkeit auf Level 9.

COMPUTER_10_NAME   | Zielcomputer Mark X
COMPUTER_10_ITEM   | Mark X
COMPUTER_10_BRIEF  | Angriffslevel X
COMPUTER_10_DETAIL | Verbessert Waffengenauigkeit auf Level 10.

COMPUTER_11_NAME   | Zielcomputer Mark XI
COMPUTER_11_ITEM   | Mark XI
COMPUTER_11_BRIEF  | Angriffslevel XI
COMPUTER_11_DETAIL | Verbessert Waffengenauigkeit auf Level 11.


//
// Battle Suit techs for ground combat
// 
// this is for default, no-bonus armor that player starts with
BATTLESUIT_0_NAME    | Panzerung
BATTLESUIT_0_DETAIL  |

BATTLESUIT_1_NAME    | Kampfanzüge
BATTLESUIT_1_DETAIL  | Panzerung, die nicht nur schützt, sondern auch die Stärke erhöht. Verbessert Bodenkampf um 10.

BATTLESUIT_2_NAME    | Gepanzertes Exoskelett
BATTLESUIT_2_DETAIL  | Weiterentwickelter Kampfanzüge, die neben der Stärke auch den Schutz verbessern und eingeschränkte Flugeigenschaften geben. Verbessert den Bodenkampf um 20.

BATTLESUIT_3_NAME    | Servorüstung
BATTLESUIT_3_DETAIL  | Kombiniert hohe Mobilität, Antigrav-Flug, starke Panzerung zur fortgeschrittensten Rüstung für Bodentruppen. Verbessert den Bodenkampf um 30.


//
// Energy Focus techs for beam weapons
// 
BEAMFOCUS_0_NAME    | Hochenergiefokus
BEAMFOCUS_0_BRIEF   | Reichtweite +3 für Strahlenwaffewaffen
BEAMFOCUS_0_DETAIL  | Erhöht die Reichweite aller Strahlenwaffenwaffen um 3.

BEAMFOCUS_1_NAME    | Oracle Interface
BEAMFOCUS_1_BRIEF   | Konzentriert Strahlenwaffen, halbiert gegnerische Schilde
BEAMFOCUS_1_DETAIL  | Koordiniert alle Strahlenwaffen in einen konzentrierten Alphaschlag, der die gegnerische Schildstärke halbiert.


//
// Biological antidote techs 
// 
BIOANTIDOTE_0_NAME    | Biotoxin-Antidot
BIOANTIDOTE_0_DETAIL  | Reduziert die Verluste durch biologische Waffen um 1M pro Attacke.

BIOANTIDOTE_1_NAME    | Universalgegengift
BIOANTIDOTE_1_DETAIL  | Reduziert die Verluste durch biologische Waffen um 2M pro Attacke.


//
// Biological weapon techs 
// 
BIOWEAPON_0_NAME     | Todesporen
BIOWEAPON_0_BRIEF    | Biologische Waffe
BIOWEAPON_0_DETAIL   | Schreckliche biologische Waffe, reduziert Bevölkerung um bis zu 1M pro Attacke.

BIOWEAPON_1_NAME     | Doom Virus
BIOWEAPON_1_BRIEF    | Biologische Waffe
BIOWEAPON_1_DETAIL   | Fürchterliche biologische Waffe, reduziert Bevölkerung um bis zu 2M pro Attacke.

BIOWEAPON_2_NAME     | Bio Terminator
BIOWEAPON_2_BRIEF    | Biologische Waffe
BIOWEAPON_2_DETAIL   | Abscheuliche biologische Waffe, reduziert Bevölkerung um bis zu 3M pro Attacke.

//
// Black Hole Generator tech
//
BLACKHOLE_0_NAME     | Singularitäts-Generator
BLACKHOLE_0_DETAIL   | Baut ein Subraumfeld auf, dass den Raum krümmt und damit ein Schwarzes Loch erzeugt. Zerstört 25% bis 100% der feindlichen Schiffe oder Raketenbasenof. Minus 2% pro Schildklasse.


//
// Bomb weapon tech
//
BOMB_0_NAME     | Atombombe
BOMB_0_BRIEF    | Nur Bombardierung
BOMB_0_DETAIL   | Bombe, die 3-12 Schadenspunkte an Bodenzielen anrichtet.

BOMB_1_NAME     | Fusionsbombe
BOMB_1_BRIEF    | Nur Bombardierung
BOMB_1_DETAIL   | Bombe, die 5-20 Schadenspunkte an Bodenzielen anrichtet.

BOMB_2_NAME     | Antimateriebombe
BOMB_2_BRIEF    | Nur Bombardierung
BOMB_2_DETAIL   | Bombe, die 10-40 Schadenspunkte an Bodenzielen anrichtet.

BOMB_3_NAME     | OMEGA-V-Bombe
BOMB_3_BRIEF    | Nur Bombardierung
BOMB_3_DETAIL   | Bombe, die 20-50 Schadenspunkte an Bodenzielen anrichtet.

BOMB_4_NAME     | Neutroniumbombe
BOMB_4_BRIEF    | Nur Bombardierung
BOMB_4_DETAIL   | Bombe, die 40-70 Schadenspunkte an Bodenzielen anrichtet.


//
// Cloaking tech
//
CLOAK_0_NAME     | Tarnvorrichtung
CLOAK_0_BRIEF    | Macht das Schiff nahezu unsichtbar
CLOAK_0_DETAIL   | Macht das Schiff nahezu unsichtbar bis sie angreifen. Verbessert Sciffdefensive um +5. Schiffe müssen sich enttarnen zu angreifen und tarnen sich automatisch wieder in dem Zug, in dem sie nicht angreifen.


//
// Cloning tech
//
CLONE_0_NAME     | Clonen
CLONE_0_DETAIL   | Erlaubt geclonte Bevölkerungsvermehrung mit einer Rate von 1M pro 10BC.

CLONE_1_NAME     | Fortgeschrittenes Clonen
CLONE_1_DETAIL   | Erlaubt geclonte Bevölkerungsvermehrung mit einer Rate von 1M pro 5BC.


//
// Combat Transporter tech
//
COMBATTRANSPORT_0_NAME     | Kampftranporter
COMBATTRANSPORT_0_DETAIL   | Transporte mit dieser Einrichtung haben eine 50%ige Chance, Ihre Ladung vor einem Angriff durch Schiffe auf die Oberfläche zu bringen.


//
// Control Environment tech
//
CONTROLENV_0_NAME    | Normale Umgebungskontrolle
CONTROLENV_0_ITEM    | Koloniebasis, Standard
CONTROLENV_0_BRIEF   | Erlaubt Landung auf normalen Planeten
CONTROLENV_0_DETAIL  | Erlaubt Landung auf normalen Planeten

CONTROLENV_1_NAME    | Umgebungskontrolle für Unfruchtbare Planeten
CONTROLENV_1_ITEM    | Koloniebasis, Unfruchtbar
CONTROLENV_1_BRIEF   | Erlaubt Landung auf unfruchtbare Planeten
CONTROLENV_1_DETAIL  | Erlaubt Landung auf unfruchtbare Planeten

CONTROLENV_2_NAME    | Umgebungskontrolle für Tundra Planeten
CONTROLENV_2_ITEM    | Koloniebasis, Tundra
CONTROLENV_2_BRIEF   | Erlaubt Landung auf Tundra Planeten
CONTROLENV_2_DETAIL  | Erlaubt Landung auf Tundra Planeten

CONTROLENV_3_NAME    | Umgebungskontrolle für tote Planeten
CONTROLENV_3_ITEM    | Koloniebasis, Tote 
CONTROLENV_3_BRIEF   | Erlaubt Landung auf toten Planeten
CONTROLENV_3_DETAIL  | Erlaubt Landung auf toten Planeten

CONTROLENV_4_NAME    | Umgebungskontrolle für Inferno Planeten
CONTROLENV_4_ITEM    | Koloniebasis, Inferno 
CONTROLENV_4_BRIEF   | Erlaubt Landung auf Inferno Planeten
CONTROLENV_4_DETAIL  | Erlaubt Landung auf Inferno Planeten

CONTROLENV_5_NAME    | Umgebungskontrolle für toxische Planeten
CONTROLENV_5_ITEM    | Koloniebasis, Toxisch 
CONTROLENV_5_BRIEF   | Erlaubt Landung auf toxischen Planeten
CONTROLENV_5_DETAIL  | Erlaubt Landung auf toxischen Planeten

CONTROLENV_6_NAME    | Umgebungskontrolle für verstrahlte Planeten
CONTROLENV_6_ITEM    | Koloniebasis, Verstahlt 
CONTROLENV_6_BRIEF   | Erlaubt Landung auf verstrahlten Planeten
CONTROLENV_6_DETAIL  | Erlaubt Landung auf verstrahlten Planeten


//
// Deflector Shield tech
//
// this is the entry on Ship Design for selecting no deflector shield
DEFLECTOR_0_NAME      | 
DEFLECTOR_0_ITEM      |   
DEFLECTOR_0_BRIEF     |  
DEFLECTOR_0_DETAIL    | 

DEFLECTOR_1_NAME      | Klasse I Deflector Schild
DEFLECTOR_1_ITEM      | Klasse I
DEFLECTOR_1_BRIEF     | Verhindert 1 Treffer
DEFLECTOR_1_DETAIL    | Verhindert 1 Schadenspunkt von jeder Attacke.

DEFLECTOR_2_NAME      | Klasse II Deflector Schild
DEFLECTOR_2_ITEM      | Klasse II
DEFLECTOR_2_BRIEF     | Verhindert 2 Treffer
DEFLECTOR_2_DETAIL    | Verhindert 2 Schadenspunkte von jeder Attacke.

DEFLECTOR_3_NAME      | Klasse III Deflector Schild
DEFLECTOR_3_ITEM      | Klasse III
DEFLECTOR_3_BRIEF     | Verhindert 3 Treffer
DEFLECTOR_3_DETAIL    | Verhindert 3 Schadenspunkte von jeder Attacke.

DEFLECTOR_4_NAME      | Klasse IV Deflector Schild
DEFLECTOR_4_ITEM      | Klasse IV
DEFLECTOR_4_BRIEF     | Verhindert 4 Treffer
DEFLECTOR_4_DETAIL    | Verhindert 4 Schadenspunkte von jeder Attacke.

DEFLECTOR_5_NAME      | Klasse V Deflector Schild
DEFLECTOR_5_ITEM      | Klasse V
DEFLECTOR_5_BRIEF     | Verhindert 5 Treffer
DEFLECTOR_5_DETAIL    | Verhindert 5 Schadenspunkte von jeder Attacke.

DEFLECTOR_6_NAME      | Klasse VI Deflector Schild
DEFLECTOR_6_ITEM      | Klasse VI
DEFLECTOR_6_BRIEF     | Verhindert 6 Treffer
DEFLECTOR_6_DETAIL    | Verhindert 6 Schadenspunkte von jeder Attacke.

DEFLECTOR_7_NAME      | Klasse VII Deflector Schild
DEFLECTOR_7_ITEM      | Klasse VII
DEFLECTOR_7_BRIEF     | Verhindert 7 Treffer
DEFLECTOR_7_DETAIL    | Verhindert 7 Schadenspunkte von jeder Attacke.

DEFLECTOR_8_NAME      | Klasse IX Deflector Schild
DEFLECTOR_8_ITEM      | Klasse IX
DEFLECTOR_8_BRIEF     | Verhindert 9 Treffer
DEFLECTOR_8_DETAIL    | Verhindert 9 Schadenspunkte von jeder Attacke.

DEFLECTOR_9_NAME      | Klasse XI Deflector Schild
DEFLECTOR_9_ITEM      | Klasse XI
DEFLECTOR_9_BRIEF     | Verhindert 11 Treffer
DEFLECTOR_9_DETAIL    | Verhindert 11 Schadenspunkte von jeder Attacke.

DEFLECTOR_10_NAME     | Klasse XIII Deflector Schild
DEFLECTOR_10_ITEM     | Klasse XIII
DEFLECTOR_10_BRIEF    | Verhindert 13 Treffer
DEFLECTOR_10_DETAIL   | Verhindert 13 Schadenspunkte von jeder Attacke.

DEFLECTOR_11_NAME     | Klasse XV Deflector Schild
DEFLECTOR_11_ITEM     | Klasse XV
DEFLECTOR_11_BRIEF    | Verhindert 15 Treffer
DEFLECTOR_11_DETAIL   | Verhindert 15 Schadenspunkte von jeder Attacke.


//
// Displacement tech
//
DISPLACEMENT_0_NAME   | Phasendeckung
DISPLACEMENT_0_BRIEF  | 1/3 aller Angriffe schlägt fehl.
DISPLACEMENT_0_DETAIL | Das Schiff bewegt sich zufällig in und aus dem normalen Raum, so dass 1/3 der nicht Flächenwaffen fehl schlägt.


//
// ECM Jammer tech
//
// this is the entry on Ship Design for selecting no ECM Jammer
ECMJAMMER_0_NAME      | 
ECMJAMMER_0_ITEM      | 
ECMJAMMER_0_BRIEF     | Raketenabwehr 0
ECMJAMMER_0_DETAIL    | 

ECMJAMMER_1_NAME      | ECM Störsender Mark I
ECMJAMMER_1_ITEM      | Störsender I
ECMJAMMER_1_BRIEF     | Raketenabwehr 1
ECMJAMMER_1_DETAIL    | erhöht Raketenabwehr um 1 Level.

ECMJAMMER_2_NAME      | ECM Störsender Mark II
ECMJAMMER_2_ITEM      | Störsender II
ECMJAMMER_2_BRIEF     | Raketenabwehr 2
ECMJAMMER_2_DETAIL    | erhöht Raketenabwehr um 2 Level.

ECMJAMMER_3_NAME      | ECM Störsender Mark III
ECMJAMMER_3_ITEM      | Störsender III
ECMJAMMER_3_BRIEF     | Raketenabwehr 3
ECMJAMMER_3_DETAIL    | erhöht Raketenabwehr um 3 Level.

ECMJAMMER_4_NAME      | ECM Störsender Mark IV
ECMJAMMER_4_ITEM      | Störsender IV
ECMJAMMER_4_BRIEF     | Raketenabwehr 4
ECMJAMMER_4_DETAIL    | erhöht Raketenabwehr um 4 Level.

ECMJAMMER_5_NAME      | ECM Störsender Mark V
ECMJAMMER_5_ITEM      | Störsender V
ECMJAMMER_5_BRIEF     | Raketenabwehr 5
ECMJAMMER_5_DETAIL    | erhöht Raketenabwehr um 5 Level.

ECMJAMMER_6_NAME      | ECM Störsender Mark VI
ECMJAMMER_6_ITEM      | Störsender VI
ECMJAMMER_6_BRIEF     | Raketenabwehr 6
ECMJAMMER_6_DETAIL    | erhöht Raketenabwehr um 6 Level.

ECMJAMMER_7_NAME      | ECM Störsender Mark VII
ECMJAMMER_7_ITEM      | Störsender VII
ECMJAMMER_7_BRIEF     | Raketenabwehr 7
ECMJAMMER_7_DETAIL    | erhöht Raketenabwehr um 7 Level.

ECMJAMMER_8_NAME      | ECM Störsender Mark VIII
ECMJAMMER_8_ITEM      | Störsender VIII
ECMJAMMER_8_BRIEF     | Raketenabwehr 8
ECMJAMMER_8_DETAIL    | erhöht Raketenabwehr um 8 Level.

ECMJAMMER_9_NAME      | ECM Störsender Mark IX
ECMJAMMER_9_ITEM      | Störsender IX
ECMJAMMER_9_BRIEF     | Raketenabwehr 9
ECMJAMMER_9_DETAIL    | erhöht Raketenabwehr um 9 Level.

ECMJAMMER_10_NAME     | ECM Störsender Mark X
ECMJAMMER_10_ITEM     | Störsender X
ECMJAMMER_10_BRIEF    | Raketenabwehr 10
ECMJAMMER_10_DETAIL   | erhöht Raketenabwehr um 10 Level.


//
// Ecological Restoration techs
//
ECORESTORATION_0_NAME   | Renaturierungsökologie
ECORESTORATION_0_DETAIL | Entfernt 2 Einheiten Verschmutzung für 1 BC Kosten.

ECORESTORATION_1_NAME   | Erweiterte Renaturierung
ECORESTORATION_1_DETAIL | Entfernt 3 Einheiten Verschmutzung für 1 BC Kosten.

ECORESTORATION_2_NAME   | Verbesserte Renaturierung
ECORESTORATION_2_DETAIL | Entfernt 5 Einheiten Verschmutzung für 1 BC Kosten.

ECORESTORATION_3_NAME   | Fortgeschrittene Renaturierung
ECORESTORATION_3_DETAIL | Entfernt 10 Einheiten Verschmutzung für 1 BC Kosten.

ECORESTORATION_4_NAME   | Umfassende Renaturierung
ECORESTORATION_4_DETAIL | Entfernt 20 Einheiten Verschmutzung für 1 BC Kosten.


//
// Energy Pulsar techs
//
PULSAR_0_NAME     | Energiepulsar
PULSAR_0_BRIEF    | Energiewelle mit 1-5 Schadenspunkten
PULSAR_0_DETAIL   | Eine Triebwerkserweiterung, die eine spontane sphärische Welle aus purer Energie ausstößt und alle angrenzenden Schiffe mit bis zu 5 Schadenspunkten +1 pro zwei Schiffe trifft.

PULSAR_1_NAME     | Ionenpulsar
PULSAR_1_BRIEF    | Energiewelle mit 2-10 Schadenspunkten
PULSAR_1_DETAIL   | Eine mächtige Triebwerkserweiterung, die eine sphärische Welle aus Phasenenergie ausstößt und alle angrenzenden Schiffe mit bis zu 10 Schadenspunkten +1 pro zwei Schiffe trifft.


//
// Engine techs
//
ENGINE_0_NAME    | Retro-Antrieb
ENGINE_0_DETAIL  | Bewegt Schiffe mit Warp %1 und erlaubt eine maximale Bewegungsrate Klasse I im Kampf.
ENGINE_0_ITEM    | Retros
ENGINE_0_ITEM2   | Klasse 1
ENGINE_0_BRIEF   | Warp 1  Def %1
ENGINE_0_BRIEF2  | Kampfgeschwindigkeit %1

ENGINE_1_NAME    | Nuklear-Antrieb 
ENGINE_1_DETAIL  | Bewegt Schiffe mit Warp %1 und erlaubt eine maximale Bewegungsrate Klasse II im Kampf.
ENGINE_1_ITEM    | Nuclear
ENGINE_1_ITEM2   | Klasse 2
ENGINE_1_BRIEF   | Warp 2  Def %1
ENGINE_1_BRIEF2  | Kampfgeschwindigkeit %1

ENGINE_2_NAME    | SubLight Antrieb 
ENGINE_2_DETAIL  | Bewegt Schiffe mit Warp %1 und erlaubt eine maximale Bewegungsrate Klasse III im Kampf.
ENGINE_2_ITEM    | SubLight
ENGINE_2_ITEM2   | Klasse 3
ENGINE_2_BRIEF   | Warp 3  Def %1
ENGINE_2_BRIEF2  | Kampfgeschwindigkeit %1

ENGINE_3_NAME    | Fusionsantrieb
ENGINE_3_DETAIL  | Bewegt Schiffe mit Warp %1 und erlaubt eine maximale Bewegungsrate Klasse IV im Kampf.
ENGINE_3_ITEM    | Fusion
ENGINE_3_ITEM2   | Klasse 4
ENGINE_3_BRIEF   | Warp 4  Def %1
ENGINE_3_BRIEF2  | Kampfgeschwindigkeit %1

ENGINE_4_NAME    | Impulsantrieb
ENGINE_4_DETAIL  | Bewegt Schiffe mit Warp %1 und erlaubt eine maximale Bewegungsrate Klasse V im Kampf.
ENGINE_4_ITEM    | Impuls
ENGINE_4_ITEM2   | Klasse 5
ENGINE_4_BRIEF   | Warp 5  Def %1
ENGINE_4_BRIEF2  | Kampfgeschwindigkeit %1

ENGINE_5_NAME    | Ionenantrieb
ENGINE_5_DETAIL  | Bewegt Schiffe mit Warp %1 und erlaubt eine maximale Bewegungsrate Klasse VI im Kampf.
ENGINE_5_ITEM    | Ion
ENGINE_5_ITEM2   | Klasse 6
ENGINE_5_BRIEF   | Warp 6  Def %1
ENGINE_5_BRIEF2  | Kampfgeschwindigkeit %1

ENGINE_6_NAME    | Antimaterie-Antrieb
ENGINE_6_DETAIL  | Bewegt Schiffe mit Warp %1 und erlaubt eine maximale Bewegungsrate Klasse VII im Kampf.
ENGINE_6_ITEM    | Antimaterie
ENGINE_6_ITEM2   | Klasse 7
ENGINE_6_BRIEF   | Warp 7  Def %1
ENGINE_6_BRIEF2  | Kampfgeschwindigkeit %1

ENGINE_7_NAME    | InterPhasen-Antrieb
ENGINE_7_DETAIL  | Bewegt Schiffe mit Warp %1 und erlaubt eine maximale Bewegungsrate Klasse VIII im Kampf.
ENGINE_7_ITEM    | InterPhase
ENGINE_7_ITEM2   | Klasse 8
ENGINE_7_BRIEF   | Warp 8  Def %1
ENGINE_7_BRIEF2  | Kampfgeschwindigkeit %1

ENGINE_8_NAME    | Hyper Antrieb
ENGINE_8_DETAIL  | Bewegt Schiffe mit Warp %1 und erlaubt eine maximale Bewegungsrate Klasse IX im Kampf.
ENGINE_8_ITEM    | Hyper
ENGINE_8_ITEM2   | Klasse 9
ENGINE_8_BRIEF   | Warp 9  Def %1
ENGINE_8_BRIEF2  | Kampfgeschwindigkeit %1


//
// Fuel Range techs
//
FUELRANGE_0_NAME   | Erweiterte Treibstofftanks
FUELRANGE_0_DETAIL | Die erweiterten Treibstofftanks erhöhen die Reichweite um Kolonien um %1 Lichtjahre.

FUELRANGE_1_NAME   | Hydrogen Treibstoffzellen
FUELRANGE_1_DETAIL | Die Hydrogen Treibstoffzellen erhöhen die Reichweite um Kolonien um %1 Lichtjahre.

FUELRANGE_2_NAME   | Deuterium Treibstoffzellen
FUELRANGE_2_DETAIL | Die Deuterium Treibstoffzellen erhöhen die Reichweite um Kolonien um %1 Lichtjahre.

FUELRANGE_3_NAME   | Iridium Treibstoffzellen
FUELRANGE_3_DETAIL | Die Iridium Treibstoffzellen erhöhen die Reichweite um Kolonien um %1 Lichtjahre.

FUELRANGE_4_NAME   | Dotomitkristalle
FUELRANGE_4_DETAIL | Die Dotomitkristalle erhöhen die Reichweite um Kolonien um %1 Lichtjahre.

FUELRANGE_5_NAME   | Uridium Treibstoffzellen
FUELRANGE_5_DETAIL | Die Uridium Treibstoffzellen erhöhen die Reichweite um Kolonien um %1 Lichtjahre.

FUELRANGE_6_NAME   | Reajax II Treibstoffzellen
FUELRANGE_6_DETAIL | Die Reajax II Treibstoffzellen erhöhen die Reichweite um Kolonien um %1 Lichtjahre.

FUELRANGE_7_NAME   | Trilithium-Kristalle
FUELRANGE_7_DETAIL | Die Trilithium-Kristalle erhöhen die Reichweite um Kolonien um %1 Lichtjahre.

FUELRANGE_8_NAME   | Thoriumzellen
FUELRANGE_8_DETAIL | Unerschöpflicher Treibstoffvorrat, keine Begrenzung bei der Reichweite mehr.


//
// Future Computer techs
//
FUTURECOMP_0_NAME    | Zukunftscomputer I
FUTURECOMP_0_DETAIL  | enerelle Verbesserungen in der Computertechnologie.

FUTURECOMP_1_NAME    | Zukunftscomputer II
FUTURECOMP_1_DETAIL  | enerelle Verbesserungen in der Computertechnologie.

FUTURECOMP_2_NAME    | Zukunftscomputer III
FUTURECOMP_2_DETAIL  | enerelle Verbesserungen in der Computertechnologie.

FUTURECOMP_3_NAME    | Zukunftscomputer IV
FUTURECOMP_3_DETAIL  | enerelle Verbesserungen in der Computertechnologie.

FUTURECOMP_4_NAME    | Zukunftscomputer V
FUTURECOMP_4_DETAIL  | enerelle Verbesserungen in der Computertechnologie.

FUTURECOMP_5_NAME    | Zukunftscomputer VI
FUTURECOMP_5_DETAIL  | enerelle Verbesserungen in der Computertechnologie.

FUTURECOMP_6_NAME    | Zukunftscomputer VII
FUTURECOMP_6_DETAIL  | enerelle Verbesserungen in der Computertechnologie.

FUTURECOMP_7_NAME    | Zukunftscomputer VIII
FUTURECOMP_7_DETAIL  | enerelle Verbesserungen in der Computertechnologie.

FUTURECOMP_8_NAME    | Zukunftscomputer IX
FUTURECOMP_8_DETAIL  | enerelle Verbesserungen in der Computertechnologie.

FUTURECOMP_9_NAME    | Zukunftscomputer X
FUTURECOMP_9_DETAIL  | enerelle Verbesserungen in der Computertechnologie.


//
// Future Construction techs
//
FUTURECONST_0_NAME    | Zukunftsbauten I
FUTURECONST_0_DETAIL  | Generelle Verbesserung in Bauwesentechnologien.

FUTURECONST_1_NAME    | Zukunftsbauten II
FUTURECONST_1_DETAIL  | Generelle Verbesserung in Bauwesentechnologien.

FUTURECONST_2_NAME    | Zukunftsbauten III
FUTURECONST_2_DETAIL  | Generelle Verbesserung in Bauwesentechnologien.

FUTURECONST_3_NAME    | Zukunftsbauten IV
FUTURECONST_3_DETAIL  | Generelle Verbesserung in Bauwesentechnologien.

FUTURECONST_4_NAME    | Zukunftsbauten V
FUTURECONST_4_DETAIL  | Generelle Verbesserung in Bauwesentechnologien.

FUTURECONST_5_NAME    | Zukunftsbauten VI
FUTURECONST_5_DETAIL  | Generelle Verbesserung in Bauwesentechnologien.

FUTURECONST_6_NAME    | Zukunftsbauten VII
FUTURECONST_6_DETAIL  | Generelle Verbesserung in Bauwesentechnologien.

FUTURECONST_7_NAME    | Zukunftsbauten VIII
FUTURECONST_7_DETAIL  | Generelle Verbesserung in Bauwesentechnologien.

FUTURECONST_8_NAME    | Zukunftsbauten IX
FUTURECONST_8_DETAIL  | Generelle Verbesserung in Bauwesentechnologien.

FUTURECONST_9_NAME    | Zukunftsbauten X
FUTURECONST_9_DETAIL  | Generelle Verbesserung in Bauwesentechnologien.


//
// Future Force Field techs
//
FUTUREFORCE_0_NAME    | Zukunftskraftfelder I
FUTUREFORCE_0_DETAIL  | Generelle Verbesserungen in der Kraftfeldtechnologie.

