

//
// Armor techs
// 
ARMOR_0_NAME     | Armură de Titan
COMPUTER_10_ITEM   | Marca X
COMPUTER_10_BRIEF  | Nivel de Atac X
COMPUTER_10_DETAIL | Crește acuratețea armelor la Nivelul 10.

COMPUTER_11_NAME   | Computer de Luptă Marca XI
COMPUTER_11_ITEM   | Marca XI
COMPUTER_11_BRIEF  | Nivel de Atac XI
COMPUTER_11_DETAIL | Crește acuratețea armelor la Nivelul 11.


//
// Battle Suit techs for ground combat
// 
// this is for default, no-bonus armor that player starts with
BATTLESUIT_0_NAME    | Armură
BATTLESUIT_0_DETAIL  |

BATTLESUIT_1_NAME    | Costume de Luptă
BATTLESUIT_1_DETAIL  | Armură care nu numai că protejează, ci și crește puterea utilizatorului. Adaugă 10 la toate luptele terestre.

BATTLESUIT_2_NAME    | Exoschelet Blindat
BATTLESUIT_2_DETAIL  | Costume mobile de luptă avansate care nu numai că sporesc puterea și capacitatea de apărarea, dar oferă trupelor terestre și abilitatea de a zbura într-o măsură limitată. Adaugă 20 la toate luptele terestre.

BATTLESUIT_3_NAME    | Armură 
BATTLESUIT_3_DETAIL  | Combină mobilitate, propulsoare anti-gravitație și plăci grele din materiale compozite pentru a crea cea mai bună armură accesibilă trupelor terestre. Adaugă 30 la toate luptele terestre.


//
// Energy Focus techs for beam weapons
// 
BEAMFOCUS_0_NAME    | Focus Energetic
BEAMFOCUS_0_BRIEF   | Adaugă +3 la raza armelor pe bază de energie
BEAMFOCUS_0_DETAIL  | Crește raza de foc a tuturor armelor pe bază de energie de trei ori.

BEAMFOCUS_1_NAME    | Interfață Oracol
BEAMFOCUS_1_BRIEF   | Concentrează armele pe bază de fascicul, înjumătățind scuturile inamicului
BEAMFOCUS_1_DETAIL  | Coordonează focul tuturor armelor pe bază de fascicul într-un singur atac, înjumătățind puterea scuturilor inamice.


//
// Biological antidote techs 
// 
BIOANTIDOTE_0_NAME    | Antidot Împotriva Bio-Toxinelor
BIOANTIDOTE_0_DETAIL  | Reduce victimele atacurilor cu arme biologice cu 1M pe atac.

BIOANTIDOTE_1_NAME    | Antidot Universal
BIOANTIDOTE_1_DETAIL  | Reduce victimele atacurilor cu arme biologice cu 2M pe atac.


//
// Biological weapon techs 
// 
BIOWEAPON_0_NAME     | Spori Mortali
BIOWEAPON_0_BRIEF    | Armă Biologică
BIOWEAPON_0_DETAIL   | Arme biologice oribile ce pot reduce populația unei planete cu până la 1M pe atac.

BIOWEAPON_1_NAME     | Virus Mortal
BIOWEAPON_1_BRIEF    | Armă Biologică
BIOWEAPON_1_DETAIL   | Arme biologice îngrozitoare ce pot reduce populația unei planete cu până la 2M pe atac.

BIOWEAPON_2_NAME     | Bio Terminator
BIOWEAPON_2_BRIEF    | Armă Biologică
BIOWEAPON_2_DETAIL   | Arme biologice abominabile ce pot reduce populația unei planete cu până la 3M pe atac.

//
// Black Hole Generator tech
//
BLACKHOLE_0_NAME     | Generator de Găuri Negre
BLACKHOLE_0_DETAIL   | Creează un câmp sub-spațial ce distorsionează spațiul normal, creând o gaură neagră ce distruge între 25% și 100% din navele și bazele deținute de către inamici, mai puțin 2% pe fiecare clasă de scut.


//
// Bomb weapon tech
//
BOMB_0_NAME     | Bombă Nucleară
BOMB_0_BRIEF    | Doar Atacuri Terestre
BOMB_0_DETAIL   | Bombă care reduce 3-12 din numărul de Puncte de Viață ale țintelor terestre.

BOMB_1_NAME     | Bombă cu Hidrogen
BOMB_1_BRIEF    | Doar Atacuri Terestre
BOMB_1_DETAIL   | Bombă care reduce 5-20 din numărul de Puncte de Viață ale țintelor terestre.

BOMB_2_NAME     | Bombă Anti-Materie
BOMB_2_BRIEF    | Doar Atacuri Terestre
BOMB_2_DETAIL   | Bombă care reduce 10-40 din numărul de Puncte de Viață ale țintelor terestre.

BOMB_3_NAME     | Bombă Omega-V
BOMB_3_BRIEF    | Doar Atacuri Terestre
BOMB_3_DETAIL   | Bombă care reduce 20-50 din numărul de Puncte de Viață ale țintelor terestre.

BOMB_4_NAME     | Bombă cu Neutronium
BOMB_4_BRIEF    | Doar Atacuri Terestre
BOMB_4_DETAIL   | Bombă care reduce 40-70 din numărul de Puncte de Viață ale țintelor terestre.


//
// Cloaking tech
//
CLOAK_0_NAME     | Dispozitiv de Acoperire
CLOAK_0_BRIEF    | Face navele aproape invizibile
CLOAK_0_DETAIL   | Face navele aproape invizibile până când atacă, crescându-le apărarea cu +5. Navele care atacă își pierd acoperirea și o primesc înapoi în orice tură în care nu atacă.


//
// Cloning tech
//
CLONE_0_NAME     | Clonare
CLONE_0_DETAIL   | Permite coloniștilor bio-proiectați să fie crescuți la o rată de 1M pe 10 BC.

CLONE_1_NAME     | Clonare Avansată
CLONE_1_DETAIL   | Permite coloniștilor bio-proiectați să fie crescuți la o rată de 1M pe 5 BC.


//
// Combat Transporter tech
//
COMBATTRANSPORT_0_NAME     | Transportatoare Militare
COMBATTRANSPORT_0_DETAIL   | Navele de Transport echipate cu aceste dispozitive au o șansă de 50% de a se teleporta pe suprafețele inamice înainte să poată fi atacate de către navele și bazele inamice.


//
// Control Environment tech
//
CONTROLENV_0_NAME    | Medii Normale Controlate
CONTROLENV_0_ITEM    | Bază Colonială Standard
CONTROLENV_0_BRIEF   | Permite colonizarea Planetelor Normale
CONTROLENV_0_DETAIL  | Permite colonizarea Planetelor Normale.

CONTROLENV_1_NAME    | Medii Sterpe Controlate
CONTROLENV_1_ITEM    | Bază Colonială pe Planete Sterpe
CONTROLENV_1_BRIEF   | Permite colonizarea Planetelor Sterpe
CONTROLENV_1_DETAIL  | Permite colonizarea Planetelor Sterpe și a planetelor mai puțin ostile.

CONTROLENV_2_NAME    | Medii Subarctice Controlate
CONTROLENV_2_ITEM    | Bază Colonială pe Planete Subarctice
CONTROLENV_2_BRIEF   | Permite colonizarea Planetelor Subarctice
CONTROLENV_2_DETAIL  | Permite colonizarea Planetelor Subarctice și a planetelor mai puțin ostile.

CONTROLENV_3_NAME    | Medii Moarte Controlate
CONTROLENV_3_ITEM    | Bază Colonială pe Planete Moarte
CONTROLENV_3_BRIEF   | Permite colonizarea Planetelor Moarte
CONTROLENV_3_DETAIL  | Permite colonizarea Planetelor Moarte și a planetelor mai puțin ostile.

CONTROLENV_4_NAME    | Medii Infernale Controlate
CONTROLENV_4_ITEM    | Bază Colonială pe Planete Infernale
CONTROLENV_4_BRIEF   | Permite colonizarea Planetelor Infernale
CONTROLENV_4_DETAIL  | Permite colonizarea Planetelor Infernale și a planetelor mai puțin ostile.

CONTROLENV_5_NAME    | Medii Toxice Controlate
CONTROLENV_5_ITEM    | Bază Colonială pe Planete Toxice
CONTROLENV_5_BRIEF   | Permite colonizarea Planetelor Toxice
CONTROLENV_5_DETAIL  | Permite colonizarea Planetelor Toxice și a planetelor mai puțin ostile.

CONTROLENV_6_NAME    | Medii Iradiate Controlate
CONTROLENV_6_ITEM    | Bază Colonială pe Planete Iradiate
CONTROLENV_6_BRIEF   | Permite colonizarea Planetelor Iradiate
CONTROLENV_6_DETAIL  | Permite colonizarea Planetelor Iradiate și a planetelor mai puțin ostile.


//
// Deflector Shield tech
//
// this is the entry on Ship Design for selecting no deflector shield
DEFLECTOR_0_NAME      | 
DEFLECTOR_0_ITEM      |   
DEFLECTOR_0_BRIEF     |  
DEFLECTOR_0_DETAIL    | 

DEFLECTOR_1_NAME      | Scut Deflector Clasa I
DEFLECTOR_1_ITEM      | Clasa I
DEFLECTOR_1_BRIEF     | Absoarbe o lovitură
DEFLECTOR_1_DETAIL    | Absoarbe un punct de daune din toate atacurile.

DEFLECTOR_2_NAME      | Scut Deflector Clasa II
DEFLECTOR_2_ITEM      | Clasa II
DEFLECTOR_2_BRIEF     | Absoarbe 2 lovituri
DEFLECTOR_2_DETAIL    | Absoarbe 2 puncte de daune din toate atacurile.

DEFLECTOR_3_NAME      | Scut Deflector Clasa III
DEFLECTOR_3_ITEM      | Clasa III
DEFLECTOR_3_BRIEF     | Absoarbe 3 lovituri
DEFLECTOR_3_DETAIL    | Absoarbe 3 puncte de daune din toate atacurile.

DEFLECTOR_4_NAME      | Scut Deflector Clasa IV
DEFLECTOR_4_ITEM      | Clasa IV
DEFLECTOR_4_BRIEF     | Absoarbe 4 lovituri
DEFLECTOR_4_DETAIL    | Absoarbe 4 puncte de daune din toate atacurile.

DEFLECTOR_5_NAME      | Scut Deflector Clasa V
DEFLECTOR_5_ITEM      | Clasa V
DEFLECTOR_5_BRIEF     | Absoarbe 5 lovituri
DEFLECTOR_5_DETAIL    | Absoarbe 5 puncte de daune din toate atacurile.

DEFLECTOR_6_NAME      | Scut Deflector Clasa VI
DEFLECTOR_6_ITEM      | Clasa VI
DEFLECTOR_6_BRIEF     | Absoarbe 6 lovituri
DEFLECTOR_6_DETAIL    | Absoarbe 6 puncte de daune din toate atacurile.

DEFLECTOR_7_NAME      | Scut Deflector Clasa VII
DEFLECTOR_7_ITEM      | Clasa VII
DEFLECTOR_7_BRIEF     | Absoarbe 7 lovituri
DEFLECTOR_7_DETAIL    | Absoarbe 7 puncte de daune din toate atacurile.

DEFLECTOR_8_NAME      | Scut Deflector Clasa IX
DEFLECTOR_8_ITEM      | Clasa IX
DEFLECTOR_8_BRIEF     | Absoarbe 9 lovituri
DEFLECTOR_8_DETAIL    | Absoarbe 9 puncte de daune din toate atacurile.

DEFLECTOR_9_NAME      | Scut Deflector Clasa XI
DEFLECTOR_9_ITEM      | Clasa XI
DEFLECTOR_9_BRIEF     | Absoarbe 11 lovituri
DEFLECTOR_9_DETAIL    | Absoarbe 11 puncte de daune din toate atacurile.

DEFLECTOR_10_NAME     | Scut Deflector Clasa XIII
DEFLECTOR_10_ITEM     | Clasa XIII
DEFLECTOR_10_BRIEF    | Absoarbe 13 lovituri
DEFLECTOR_10_DETAIL   | Absoarbe 13 puncte de daune din toate atacurile.

DEFLECTOR_11_NAME     | Scut Deflector Clasa XV
DEFLECTOR_11_ITEM     | Clasa XV
DEFLECTOR_11_BRIEF    | Absoarbe 15 lovituri
DEFLECTOR_11_DETAIL   | Absoarbe 15 puncte de daune din toate atacurile.


//
// Displacement tech
//
DISPLACEMENT_0_NAME   | Dispozitiv de Dislocare
DISPLACEMENT_0_BRIEF  | 1/3 din atacurile inamicilor ratează
DISPLACEMENT_0_DETAIL | Dislocă la întâmplare toate navele echipate cu acest dispozitiv, permițându-le să evite 1/3 din toate atacurile inamice ce nu au o arie de efect.


//
// Bruiaj Anti-Rachete tech
//
// this is the entry on Ship Design for selecting no Bruiaj Anti-Rachete
ECMJAMMER_0_NAME      | 
ECMJAMMER_0_ITEM      | 
ECMJAMMER_0_BRIEF     | Apărare Anti-Rachete 0
ECMJAMMER_0_DETAIL    | 

ECMJAMMER_1_NAME      | Bruiaj Anti-Rachete Marca I
ECMJAMMER_1_ITEM      | Bruiaj I
ECMJAMMER_1_BRIEF     | Apărare Anti-Rachete 1
ECMJAMMER_1_DETAIL    | Adaugă un nivel de apărare împotriva atacurilor cu rachetelor ale inamicilor.

ECMJAMMER_2_NAME      | Bruiaj Anti-Rachete Marca II
ECMJAMMER_2_ITEM      | Bruiaj II
ECMJAMMER_2_BRIEF     | Apărare Anti-Rachete 2
ECMJAMMER_2_DETAIL    | Adaugă 2 nivele de apărare împotriva atacurilor cu rachetelor ale inamicilor. 

ECMJAMMER_3_NAME      | Bruiaj Anti-Rachete Marca III
ECMJAMMER_3_ITEM      | Bruiaj III
ECMJAMMER_3_BRIEF     | Apărare Anti-Rachete 3
ECMJAMMER_3_DETAIL    | Adaugă 3 nivele de apărare împotriva atacurilor cu rachetelor ale inamicilor. 

ECMJAMMER_4_NAME      | Bruiaj Anti-Rachete Marca IV
ECMJAMMER_4_ITEM      | Bruiaj IV
ECMJAMMER_4_BRIEF     | Apărare Anti-Rachete 4
ECMJAMMER_4_DETAIL    | Adaugă 4 nivele de apărare împotriva atacurilor cu rachetelor ale inamicilor. 

ECMJAMMER_5_NAME      | Bruiaj Anti-Rachete Marca V
ECMJAMMER_5_ITEM      | Bruiaj V
ECMJAMMER_5_BRIEF     | Apărare Anti-Rachete 5
ECMJAMMER_5_DETAIL    | Adaugă 5 nivele de apărare împotriva atacurilor cu rachetelor ale inamicilor. 

ECMJAMMER_6_NAME      | Bruiaj Anti-Rachete Marca VI
ECMJAMMER_6_ITEM      | Bruiaj VI
ECMJAMMER_6_BRIEF     | Apărare Anti-Rachete 6
ECMJAMMER_6_DETAIL    | Adaugă 6 nivele de apărare împotriva atacurilor cu rachetelor ale inamicilor. 

ECMJAMMER_7_NAME      | Bruiaj Anti-Rachete Marca VII
ECMJAMMER_7_ITEM      | Bruiaj VII
ECMJAMMER_7_BRIEF     | Apărare Anti-Rachete 7
ECMJAMMER_7_DETAIL    | Adaugă 7 nivele de apărare împotriva atacurilor cu rachetelor ale inamicilor. 

ECMJAMMER_8_NAME      | Bruiaj Anti-Rachete Marca VIII
ECMJAMMER_8_ITEM      | Bruiaj VIII
ECMJAMMER_8_BRIEF     | Apărare Anti-Rachete 8
ECMJAMMER_8_DETAIL    | Adaugă 8 nivele de apărare împotriva atacurilor cu rachetelor ale inamicilor. 

ECMJAMMER_9_NAME      | Bruiaj Anti-Rachete Marca IX
ECMJAMMER_9_ITEM      | Bruiaj IX
ECMJAMMER_9_BRIEF     | Apărare Anti-Rachete 9
ECMJAMMER_9_DETAIL    | Adaugă 9 nivele de apărare împotriva atacurilor cu rachetelor ale inamicilor. 

ECMJAMMER_10_NAME     | Bruiaj Anti-Rachete Marca X
ECMJAMMER_10_ITEM     | Bruiaj X
ECMJAMMER_10_BRIEF    | Apărare Anti-Rachete 10
ECMJAMMER_10_DETAIL   | Adaugă 10 nivele de apărare împotriva atacurilor cu rachetelor ale inamicilor. 


//
// Ecological Restoration techs
//
ECORESTORATION_0_NAME   | Restaurarea Ecologică
ECORESTORATION_0_DETAIL | Elimină 2 unități de deșeuri industriale pentru un cost de 1 BC.

ECORESTORATION_1_NAME   | Restaurarea Ecologică Îmbunătățită
ECORESTORATION_1_DETAIL | Elimină 3 unități de deșeuri industriale pentru un cost de 1 BC.

ECORESTORATION_2_NAME   | Restaurarea Ecologică Superioară
ECORESTORATION_2_DETAIL | Elimină 5 unități de deșeuri industriale pentru un cost de 1 BC.

ECORESTORATION_3_NAME   | Restaurarea Ecologică Avansată
ECORESTORATION_3_DETAIL | Elimină 10 unități de deșeuri industriale pentru un cost de 1 BC.

ECORESTORATION_4_NAME   | Restaurarea Ecologică Completă
ECORESTORATION_4_DETAIL | Elimină 20 unități de deșeuri industriale pentru un cost de 1 BC.


//
// Energy Pulsar techs
//
PULSAR_0_NAME     | Pulsar Energetic
PULSAR_0_BRIEF    | Atac pentru a provoca 1-5 lovituri.
PULSAR_0_DETAIL   | O modificare a motorului capabilă să genereze o speră de energie ce lovește toate navele din împrejurimi pentru a provoca până la 5 puncte de daune +1 pentru fiecare 2 nave care iau parte la atac.

PULSAR_1_NAME     | Pulsar Ionic
PULSAR_1_BRIEF    | Atac pentru a provoca 5-10 lovituri.
PULSAR_1_DETAIL   | O modificare puternică a motorului capabilă să genereze o speră de energie ce lovește toate navele din împrejurimi pentru a provoca până la 10 puncte de daune +1 pentru fiecare navă care ia parte la atac.


//
// Engine techs
//
ENGINE_0_NAME    | Motoare Retro 
ENGINE_0_DETAIL  | Propulsează navele la Warp %1, și oferă un nivel de mobilitate de clasa I în luptă.
ENGINE_0_ITEM    | Retro
ENGINE_0_ITEM2   | Clasa 1
ENGINE_0_BRIEF   | Warp 1  Apărare %1
ENGINE_0_BRIEF2  | Viteză în Luptă %1

ENGINE_1_NAME    | Motoare Nucleare 
ENGINE_1_DETAIL  | Propulsează navele la Warp %1, și oferă un nivel de mobilitate de clasa II în luptă.
ENGINE_1_ITEM    | Nuclear
ENGINE_1_ITEM2   | Clasa 2
ENGINE_1_BRIEF   | Warp 2  Apărare %1
ENGINE_1_BRIEF2  | Viteză în Luptă %1

ENGINE_2_NAME    | Motoare Sub-Solare 
ENGINE_2_DETAIL  | Propulsează navele la Warp %1, și oferă un nivel de mobilitate de clasa III în luptă.
ENGINE_2_ITEM    | Sub-Solar
ENGINE_2_ITEM2   | Clasa 3
ENGINE_2_BRIEF   | Warp 3  Apărare %1
ENGINE_2_BRIEF2  | Viteză în Luptă %1

ENGINE_3_NAME    | Motoare pe Fuziune 
ENGINE_3_DETAIL  | Propulsează navele la Warp %1, și oferă un nivel de mobilitate de clasa IV în luptă.
ENGINE_3_ITEM    | Fuziune
ENGINE_3_ITEM2   | Clasa 4
ENGINE_3_BRIEF   | Warp 4  Apărare %1
ENGINE_3_BRIEF2  | Viteză în Luptă %1

ENGINE_4_NAME    | Motoare pe Impuls 
ENGINE_4_DETAIL  | Propulsează navele la Warp %1, și oferă un nivel de mobilitate de clasa V în luptă.
ENGINE_4_ITEM    | Impuls
ENGINE_4_ITEM2   | Clasa 5
ENGINE_4_BRIEF   | Warp 5  Apărare %1
ENGINE_4_BRIEF2  | Viteză în Luptă %1

ENGINE_5_NAME    | Motoare pe Ioni 
ENGINE_5_DETAIL  | Propulsează navele la Warp %1, și oferă un nivel de mobilitate de clasa VI în luptă.
ENGINE_5_ITEM    | Ion
ENGINE_5_ITEM2   | Clasa 6
ENGINE_5_BRIEF   | Warp 6  Apărare %1
ENGINE_5_BRIEF2  | Viteză în Luptă %1

ENGINE_6_NAME    | Motoare Anti-Materie 
ENGINE_6_DETAIL  | Propulsează navele la Warp %1, și oferă un nivel de mobilitate de clasa VII în luptă.
ENGINE_6_ITEM    | Anti-Materie
ENGINE_6_ITEM2   | Clasa 7
ENGINE_6_BRIEF   | Warp 7  Apărare %1
ENGINE_6_BRIEF2  | Viteză în Luptă %1

ENGINE_7_NAME    | Motoare Inter-Faze
ENGINE_7_DETAIL  | Propulsează navele la Warp %1, și oferă un nivel de mobilitate de clasa VIII în luptă.
ENGINE_7_ITEM    | Inter-Faze
ENGINE_7_ITEM2   | Clasa 8
ENGINE_7_BRIEF   | Warp 8  Apărare %1
ENGINE_7_BRIEF2  | Viteză în Luptă %1

ENGINE_8_NAME    | Hyper-Motoare
ENGINE_8_DETAIL  | Propulsează navele la Warp %1, și oferă un nivel de mobilitate de clasa IX în luptă.
ENGINE_8_ITEM    | Hyper
ENGINE_8_ITEM2   | Clasa 9
ENGINE_8_BRIEF   | Warp 9  Apărare %1
ENGINE_8_BRIEF2  | Viteză în Luptă %1


//
// Fuel Range techs
//
FUELRANGE_0_NAME   | Rezervoare de Combustibil
FUELRANGE_0_DETAIL | Rezerve de combustibil ce permit navelor să se deplaseze până la %1 ani-lumină depărtare față de planetele colonizate.

FUELRANGE_1_NAME   | Rezervoare de Combustibil de Hidrogen
FUELRANGE_1_DETAIL | Rezerve de combustibil ce permit navelor să se deplaseze până la %1 ani-lumină depărtare față de planetele colonizate.

FUELRANGE_2_NAME   | Rezervoare de Combustibil de Deuteriu
FUELRANGE_2_DETAIL | Rezerve de combustibil ce permit navelor să se deplaseze până la %1 ani-lumină depărtare față de planetele colonizate.

FUELRANGE_3_NAME   | Rezervoare de Combustibil de Iridiu
FUELRANGE_3_DETAIL | Rezerve de combustibil ce permit navelor să se deplaseze până la %1 ani-lumină depărtare față de planetele colonizate.

FUELRANGE_4_NAME   | Rezervoare de Combustibil de Dotomit
FUELRANGE_4_DETAIL | Rezerve de combustibil ce permit navelor să se deplaseze până la %1 ani-lumină depărtare față de planetele colonizate.

FUELRANGE_5_NAME   | Rezervoare de Combustibil de Uridiu
FUELRANGE_5_DETAIL | Rezerve de combustibil ce permit navelor să se deplaseze până la %1 ani-lumină depărtare față de planetele colonizate.

FUELRANGE_6_NAME   | Rezervoare de Combustibil de Reajax
FUELRANGE_6_DETAIL | Rezerve de combustibil ce permit navelor să se deplaseze până la %1 ani-lumină depărtare față de planetele colonizate.

FUELRANGE_7_NAME   | Rezervoare de Combustibil de Trilitiu
FUELRANGE_7_DETAIL | Rezerve de combustibil ce permit navelor să se deplaseze până la %1 ani-lumină depărtare față de planetele colonizate.

FUELRANGE_8_NAME   | Rezervoare de Combustibil de Toriu
FUELRANGE_8_DETAIL | Rezerve de combustibil ce permit navelor să se deplaseze orice distanță față de planetele colonizate.


//
// Future Computer techs
//
FUTURECOMP_0_NAME    | Computerul Viitorului I
FUTURECOMP_0_DETAIL  | Îmbunătățiri Generale în Tehnologia Computerelor.

FUTURECOMP_1_NAME    | Computerul Viitorului II
FUTURECOMP_1_DETAIL  | Îmbunătățiri Generale în Tehnologia Computerelor.

FUTURECOMP_2_NAME    | Computerul Viitorului III
FUTURECOMP_2_DETAIL  | Îmbunătățiri Generale în Tehnologia Computerelor.

FUTURECOMP_3_NAME    | Computerul Viitorului IV
FUTURECOMP_3_DETAIL  | Îmbunătățiri Generale în Tehnologia Computerelor.

FUTURECOMP_4_NAME    | Computerul Viitorului V
FUTURECOMP_4_DETAIL  | Îmbunătățiri Generale în Tehnologia Computerelor.

FUTURECOMP_5_NAME    | Computerul Viitorului VI
FUTURECOMP_5_DETAIL  | Îmbunătățiri Generale în Tehnologia Computerelor.

FUTURECOMP_6_NAME    | Computerul Viitorului VII
FUTURECOMP_6_DETAIL  | Îmbunătățiri Generale în Tehnologia Computerelor.

FUTURECOMP_7_NAME    | Computerul Viitorului VIII
FUTURECOMP_7_DETAIL  | Îmbunătățiri Generale în Tehnologia Computerelor.

FUTURECOMP_8_NAME    | Computerul Viitorului IX
FUTURECOMP_8_DETAIL  | Îmbunătățiri Generale în Tehnologia Computerelor.

FUTURECOMP_9_NAME    | Computerul Viitorului X
FUTURECOMP_9_DETAIL  | Îmbunătățiri Generale în Tehnologia Computerelor.


//
// Future Construction techs
//
FUTURECONST_0_NAME    | Construcțiile Viitorului I
FUTURECONST_0_DETAIL  | Îmbunătățiri Generale în Tehnologia Construcțiilor.

FUTURECONST_1_NAME    | Construcțiile Viitorului II
FUTURECONST_1_DETAIL  | Îmbunătățiri Generale în Tehnologia Construcțiilor.

FUTURECONST_2_NAME    | Construcțiile Viitorului III
FUTURECONST_2_DETAIL  | Îmbunătățiri Generale în Tehnologia Construcțiilor.

FUTURECONST_3_NAME    | Construcțiile Viitorului IV
FUTURECONST_3_DETAIL  | Îmbunătățiri Generale în Tehnologia Construcțiilor.

FUTURECONST_4_NAME    | Construcțiile Viitorului V
