

//
// Armor techs
// 
ARMOR_0_NAME     | Титанова броня
DISPLACEMENT_0_DETAIL | На късмет премества оборудваните кораби в и извън нормалното пространство, позволявайки им да избегнат 1/3 от всички атаки на оръжия извън зоната.


//
// ECM Jammer tech
//
// this is the entry on Ship Design for selecting no ECM Jammer
ECMJAMMER_0_NAME      | 
ECMJAMMER_0_ITEM      | 
ECMJAMMER_0_BRIEF     | Ракетна Защита 0
ECMJAMMER_0_DETAIL    | 

ECMJAMMER_1_NAME      | ЕСМ Прекъсвач Марк I
ECMJAMMER_1_ITEM      | Прекъсвач I
ECMJAMMER_1_BRIEF     | Ракетна Защита 1
ECMJAMMER_1_DETAIL    | Добавя 1 Добавя 1 ниво към защита срещу вражески ракетни атаки.

ECMJAMMER_2_NAME      | ЕСМ Прекъсвач Марк II
ECMJAMMER_2_ITEM      | Прекъсвач II
ECMJAMMER_2_BRIEF     | Ракетна Защита 2
ECMJAMMER_2_DETAIL    | Добавя2 нива към защита срещу вражески ракетни атаки. 

ECMJAMMER_3_NAME      | ЕСМ Прекъсвач Марк III
ECMJAMMER_3_ITEM      | Прекъсвач III
ECMJAMMER_3_BRIEF     | Ракетна Защита 3
ECMJAMMER_3_DETAIL    | Добавя 3 нива към защита срещу вражески ракетни атаки.

ECMJAMMER_4_NAME      | ЕСМ Прекъсвач Марк IV
ECMJAMMER_4_ITEM      | Прекъсвач IV
ECMJAMMER_4_BRIEF     | Ракетна Защита 4
ECMJAMMER_4_DETAIL    | Добавя4 нива към защита срещу вражески ракетни атаки.

ECMJAMMER_5_NAME      | ЕСМ Прекъсвач Марк V
ECMJAMMER_5_ITEM      | Прекъсвач V
ECMJAMMER_5_BRIEF     | Ракетна Защита 5
ECMJAMMER_5_DETAIL    | Добавя5 нива към защита срещу вражески ракетни атаки.

ECMJAMMER_6_NAME      | ЕСМ Прекъсвач Марк VI
ECMJAMMER_6_ITEM      | Прекъсвач VI
ECMJAMMER_6_BRIEF     | Ракетна Защита 6
ECMJAMMER_6_DETAIL    | Добавя6 нива към защита срещу вражески ракетни атаки.

ECMJAMMER_7_NAME      | ЕСМ Прекъсвач Марк VII
ECMJAMMER_7_ITEM      | Прекъсвач VII
ECMJAMMER_7_BRIEF     | Ракетна Защита 7
ECMJAMMER_7_DETAIL    | Добавя7 нива към защита срещу вражески ракетни атаки.

ECMJAMMER_8_NAME      | ЕСМ Прекъсвач Марк VIII
ECMJAMMER_8_ITEM      | Прекъсвач VIII
ECMJAMMER_8_BRIEF     | Ракетна Защита 8
ECMJAMMER_8_DETAIL    | Добавя8 нива към защита срещу вражески ракетни атаки.

ECMJAMMER_9_NAME      | ЕСМ Прекъсвач Марк IX
ECMJAMMER_9_ITEM      | Прекъсвач IX
ECMJAMMER_9_BRIEF     | Ракетна Защита 9
ECMJAMMER_9_DETAIL    | Добавя 9 нива към защита срещу вражески ракетни атаки.

ECMJAMMER_10_NAME     | ЕСМ Прекъсвач Марк X
ECMJAMMER_10_ITEM     | Прекъсвач X
ECMJAMMER_10_BRIEF    | Ракетна Защита 10
ECMJAMMER_10_DETAIL   | Добавя 10 нива към защита срещу вражески ракетни атаки.


//
// Ecological Restoration techs
//
ECORESTORATION_0_NAME   | Екологично Възстановяване
ECORESTORATION_0_DETAIL | Елиминира 2 единици промишлени отпадъци на цена от 1 BC.

ECORESTORATION_1_NAME   | Подобрено Еко Възстановяване
ECORESTORATION_1_DETAIL | Елиминира 3 единици промишлени отпадъци на цена от 1 BC.

ECORESTORATION_2_NAME   | Усъвършенствано Еко Възстановяване
ECORESTORATION_2_DETAIL | Елиминира 5 единици промишлени отпадъци на цена от 1 BC.

ECORESTORATION_3_NAME   | Напреднало Еко Възстановяване
ECORESTORATION_3_DETAIL | Елиминира 10 единици промишлени отпадъци на цена от 1 BC.

ECORESTORATION_4_NAME   | Пълно Еко Възстановяване
ECORESTORATION_4_DETAIL | Елиминира 20 единици промишлени отпадъци на цена от 1 BC.


//
// Energy Pulsar techs
//
PULSAR_0_NAME     | Енергиен Пулсар
PULSAR_0_BRIEF    | Разширява се, за да нанесе 1-5 точки щета
PULSAR_0_DETAIL   | Мощна модификация на двигателя, която генерира внезапен сферичен изблик на енергия, удрящ всички съседни кораби с до 5 точки щета +1 на два кораба.

PULSAR_1_NAME     | Йонийски Пулсар
PULSAR_1_BRIEF    | Разширява се, за да нанесе 2-10 точки щета
PULSAR_1_DETAIL   | Мощна модификация на двигателя, способна да генерира сферичен взрив на поетапна енергия, удрящ всички съседни кораби с до 10 точки щета +1 на атакуващ кораб.


//
// Engine techs
//
ENGINE_0_NAME    | Ретро двигатели
ENGINE_0_DETAIL  | Придвижва кораби в светлинна скорост %1, и позволява максимална маневреност от ниво I в битка.
ENGINE_0_ITEM    | Ретро
ENGINE_0_ITEM2   | Ниво 1
ENGINE_0_BRIEF   | Ултра Скорост 1  Защита %1
ENGINE_0_BRIEF2  | Бойна Скорост %1

ENGINE_1_NAME    | Ядрени Двигатели 
ENGINE_1_DETAIL  | Придвижва кораби в Ултра Скорост %1, и позволява максимална маневреност на ниво II в битка.
ENGINE_1_ITEM    | Ядрена Енергия
ENGINE_1_ITEM2   | Ниво 2
ENGINE_1_BRIEF   | Ултра Скорост 2  Защита %1
ENGINE_1_BRIEF2  | Бойна Скорост %1

ENGINE_2_NAME    | Под-Светлинни Двигатели
ENGINE_2_DETAIL  | Придвижва кораби в Ултра Скорост %1, и позволява максимална маневреност на ниво III в битка.
ENGINE_2_ITEM    | Под-Светлинни
ENGINE_2_ITEM2   | Ниво 3
ENGINE_2_BRIEF   | Ултра Скорост 3  Защита %1
ENGINE_2_BRIEF2  | Бойна Скорост %1

ENGINE_3_NAME    | Tермоядрени Двигатели
ENGINE_3_DETAIL  | Придвижва кораби в Ултра Скорост %1, и позволява максимална маневреност на ниво  IV в битка.
ENGINE_3_ITEM    | Термоядрена Енергия
ENGINE_3_ITEM2   | Ниво 4
ENGINE_3_BRIEF   | Ултра Скорост 4  Защита %1
ENGINE_3_BRIEF2  | Бойна Скорост %1

ENGINE_4_NAME    | Импулсни Двигатели
ENGINE_4_DETAIL  | Придвижва кораби в Ултра Скорост %1, и позволява максимална маневреност на ниво V в битка.
ENGINE_4_ITEM    | Импулс
ENGINE_4_ITEM2   | Ниво 5
ENGINE_4_BRIEF   | Ултра Скорост 5  Защита %1
ENGINE_4_BRIEF2  | Бойна Скорост %1

ENGINE_5_NAME    | Йонни Двигатели
ENGINE_5_DETAIL  | Придвижва кораби в Ултра Скорост %1, и позволява максимална маневреност на ниво VI в битка.
ENGINE_5_ITEM    | Йон
ENGINE_5_ITEM2   | Ниво 6
ENGINE_5_BRIEF   | Ултра Скорост 6  Защита %1
ENGINE_5_BRIEF2  | Бойна Скорост %1

ENGINE_6_NAME    | Анти-Материя Двигатели
ENGINE_6_DETAIL  | Придвижва кораби в Ултра Скорост %1, и позволява максимална маневреност на ниво VII в битка.
ENGINE_6_ITEM    | Анти-Материя
ENGINE_6_ITEM2   | Ниво 7
ENGINE_6_BRIEF   | Ултра Скорост 7  Защита %1
ENGINE_6_BRIEF2  | Бойна Скорост %1

ENGINE_7_NAME    | Междуфазни Двигатели
ENGINE_7_DETAIL  | Придвижва кораби в Ултра Скорост %1, и позволява максимална маневреност на ниво VIII в битка.
ENGINE_7_ITEM    | Междуфазия
ENGINE_7_ITEM2   | Ниво 8
ENGINE_7_BRIEF   | Ултра Скорост 8  Защита %1
ENGINE_7_BRIEF2  | Бойна Скорост %1

ENGINE_8_NAME    | Хипер Двигатели
ENGINE_8_DETAIL  | Придвижва кораби в Ултра Скорост %1, и позволява максимална маневреност на ниво IX в битка.
ENGINE_8_ITEM    | Хипер
ENGINE_8_ITEM2   | Ниво 9
ENGINE_8_BRIEF   | Ултра Скорост 9  Защита %1
ENGINE_8_BRIEF2  | Бойна Скорост %1


//
// Fuel Range techs
//
FUELRANGE_0_NAME   | Горивни Клетки
FUELRANGE_0_DETAIL | Запасите от гориво позволяват на корабите да се движат до %1 светлинни години от планетите на колониите.

FUELRANGE_1_NAME   | Водородни Горивни Клетки
FUELRANGE_1_DETAIL | Запасите от гориво позволяват на корабите да се движат до %1 светлинни години от планетите на колониите.

FUELRANGE_2_NAME   | Деутериеви Горивни Клетки
FUELRANGE_2_DETAIL | Запасите от гориво позволяват на корабите да се движат до %1 светлинни години от планетите на колониите.

FUELRANGE_3_NAME   | Иридиеви Горивни Клетки
FUELRANGE_3_DETAIL | Запасите от гориво позволяват на корабите да се движат до %1 светлинни години от планетите на колониите.

FUELRANGE_4_NAME   | Дотомитни Кристали
FUELRANGE_4_DETAIL | Запасите от гориво позволяват на корабите да се движат до %1 светлинни години от планетите на колониите.

FUELRANGE_5_NAME   | Уридиеви Горивни Клетки
FUELRANGE_5_DETAIL | Запасите от гориво позволяват на корабите да се движат до %1 светлинни години от планетите на колониите.

FUELRANGE_6_NAME   | Реаджакс II Горивни Клетки
FUELRANGE_6_DETAIL | Запасите от гориво позволяват на корабите да се движат до %1 светлинни години от планетите на колониите.

FUELRANGE_7_NAME   | Трилитиеви Кристали
FUELRANGE_7_DETAIL | Запасите от гориво позволяват на корабите да се движат до %1 светлинни години от планетите на колониите.

FUELRANGE_8_NAME   | Ториеви Клетки
FUELRANGE_8_DETAIL | Запасите от гориво позволяват на корабите да се отдалечават на всякакво разстояние от планетите на колониите.


//
// Future Computer techs
//
FUTURECOMP_0_NAME    | Обновени Компютри I
FUTURECOMP_0_DETAIL  | Общи подобрения в Компютърните Технологии.

FUTURECOMP_1_NAME    | Обновени Компютри II
FUTURECOMP_1_DETAIL  | Общи подобрения в Компютърните Технологии.

FUTURECOMP_2_NAME    | Обновени Компютри III
FUTURECOMP_2_DETAIL  | Общи подобрения в Компютърните Технологии.

FUTURECOMP_3_NAME    | Обновени Компютри IV
FUTURECOMP_3_DETAIL  | Общи подобрения в Компютърните Технологии.

FUTURECOMP_4_NAME    | Обновени Компютри V
FUTURECOMP_4_DETAIL  | Общи подобрения в Компютърните Технологии.

FUTURECOMP_5_NAME    | Обновени Компютри VI
FUTURECOMP_5_DETAIL  | Общи подобрения в Компютърните Технологии.

FUTURECOMP_6_NAME    | Обновени Компютри VII
FUTURECOMP_6_DETAIL  | Общи подобрения в Компютърните Технологии.

FUTURECOMP_7_NAME    | Обновени Компютри VIII
FUTURECOMP_7_DETAIL  | Общи подобрения в Компютърните Технологии.

FUTURECOMP_8_NAME    | Обновени Компютри IX
FUTURECOMP_8_DETAIL  | Общи подобрения в Компютърните Технологии.

FUTURECOMP_9_NAME    | Обновени Компютри X
FUTURECOMP_9_DETAIL  | Общи подобрения в Компютърните Технологии. 


//
// Future Construction techs
//
FUTURECONST_0_NAME    | Обновено Строителство I
FUTURECONST_0_DETAIL  | Общи Подобрения в Строителните Технологии.

FUTURECONST_1_NAME    | Обновено Строителство II
FUTURECONST_1_DETAIL  | Общи Подобрения в Строителните Технологии.

FUTURECONST_2_NAME    | Обновено Строителство III
FUTURECONST_2_DETAIL  | Общи Подобрения в Строителните Технологии.

FUTURECONST_3_NAME    | Обновено Строителство IV
FUTURECONST_3_DETAIL  | Общи Подобрения в Строителните Технологии.

FUTURECONST_4_NAME    | Обновено Строителство V
FUTURECONST_4_DETAIL  | Общи Подобрения в Строителните Технологии.

FUTURECONST_5_NAME    | Обновено Строителство VI
FUTURECONST_5_DETAIL  | Общи Подобрения в Строителните Технологии.

FUTURECONST_6_NAME    | Обновено Строителство VII
FUTURECONST_6_DETAIL  | Общи Подобрения в Строителните Технологии.

FUTURECONST_7_NAME    | Обновено Строителство VIII
FUTURECONST_7_DETAIL  | Общи Подобрения в Строителните Технологии.

FUTURECONST_8_NAME    | Обновено Строителство IX
FUTURECONST_8_DETAIL  | Общи Подобрения в Строителните Технологии.

FUTURECONST_9_NAME    | Обновено Строителство X
FUTURECONST_9_DETAIL  | Общи Подобрения в Строителните Технологии. 


//
// Future Force Field techs
//
FUTUREFORCE_0_NAME    | Обновено Силово Поле I
FUTUREFORCE_0_DETAIL  | Общи Подобрения в Технологията на Силовите Полета.

FUTUREFORCE_1_NAME    | Обновено Силово Поле II
FUTUREFORCE_1_DETAIL  | Общи Подобрения в Технологията на Силовите Полета.

FUTUREFORCE_2_NAME    | Обновено Силово Поле III
FUTUREFORCE_2_DETAIL  | Общи Подобрения в Технологията на Силовите Полета.

FUTUREFORCE_3_NAME    | Обновено Силово Поле IV
FUTUREFORCE_3_DETAIL  | Общи Подобрения в Технологията на Силовите Полета.

FUTUREFORCE_4_NAME    | Обновено Силово Поле V
