// race-specific variables (must start with _)
_empire                           | Ssslaura Konklávé, Reptarán Konklávé, Saurán Konklávé, Raptorán Konklávé, Tyrranán Konklávé
_race_possessive_prefix_uppercase                           | A Ssslaurák, A Reptarák, A Saurák, A Raptorák, A Tyrranák
_race_relational                           | Ssslaurákkal, Reptarákkal, Saurákkal, Raptorákkal, Tyrranákkal
_race_relational_prefix_lowercase                           | a Ssslaurákkal, a Reptarákkal, a Saurákkal, a Raptorákkal, Tyrranákkal
_race_giving                           | Ssslauráknak, Reptaráknak, Sauráknak, Raptoráknak, Tyrranáknak
_race_giving_prefix_lowercase                           | a Ssslauráknak, a Reptaráknak, a Sauráknak, a Raptoráknak, a Tyrranáknak
_race_regarding                           | Ssslaurákat, Reptarákat, Saurákat, Raptorákat, Tyrranákat
_race_regarding_prefix_lowercase                           | a Ssslaurákat, a Reptarákat, a Saurákat, a Raptorákat, a Tyrranákat
_race_taking_prefix_lowercase                           | a Ssslauráktól, a Reptaráktól, a Sauráktól, a Raptoráktól, a Tyrranáktól
_race_approaching_prefix_lowercase                           | a Ssslaurákhoz, a Reptarákhoz, a Saurákhoz, a Raptorákhoz, a Tyrranákhoz

_title                            | Prím Magister
_nameTitle                        | Prím Magister

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | Ssslaura Tanácsadó
MAIN_ADVISOR_BUTTON_OK            | Rendben
MAIN_ADVISOR_SCOUT                | Végre elkezdhetjük tökéletesíteni a sajátunkon túli világok környezetét. Prím Magister, amint lehet, küldje el a felderítőinket és a gyarmatosítóhajóinkat egy közeli bolygóra!
MAIN_ADVISOR_TRANSPORT            | Megalapítottuk első gyarmatunkat egy teljesen új világon. Miután kilküldi a szállítót, erősíthetjük létszámunkat és még gyorsabban oldhatjuk meg az új %1 bolygó rejtélyeit!
MAIN_ADVISOR_DIPLOMACY            | Egy másik űrutazásra képes nép kapcsolatba lépett a Konklávéval. Nyissunk párbeszédet velük és nézzük meg, milyen jól bánnak a saját világaikkal. Akkor tudni fogjuk, hogyan kezeljük őket.
MAIN_ADVISOR_SHIP_ENGINE          |Sokkal hatékonyabb meghajtókat terveztünk, mint amit eddig használtunk. Ahogy lehetőségünk nyílik rá, dolgozzunk ki új hajóterveket.
MAIN_ADVISOR_RALLY_POINTS         | Úgy tűnik, hogy a szomszédaink... kellemetlennek tartanak minket. A gyülekezőpontok segítségével egyetlen helyre irányíthatjuk hajóinkat, hogy elkerüljük gyönyörű új világaink károsodását.
MAIN_ADVISOR_MISSILE_BASES        | Fájdalommal tölt el, hogy a világunk ilyen módon történő beszennyezését kell fontolgatnom, de kiszabhatunk némi helyet a védelmi rakétabázisoknak, hogy megóvjuk bolygónkat a még gorombább sérülésektől.
MAIN_ADVISOR_SHIP_WEAPON          | Felfedeztük az ellenséges hajók károsításának hatékonyabb módjait. Mindenképpen alkalmaznunk kell ezt a technológiát minden új hajón, amelyet ezentúl gyártunk.
MAIN_ADVISOR_COUNCIL              | Van egy "Galaktikus Tanács" nevű találkozó, amelyen valószínűleg minden fejlett civilizáció részt vesz. Ez alkalom lehet arra, hogy megnézzük, mely birodalmak elleneznék... a Konklávé terjeszkedését.
MAIN_ADVISOR_REBELLION            | Magister! Lázadás van a problémás %1 gyarmaton. Nem tudom mi az oka, de tudom, mi legyen a megoldás!
MAIN_ADVISOR_RESIST_COUNCIL       | Semmiképpen sem fogjuk ezt lapulva tűrni, igaz? Harcolni fogunk a tanáccsal, igaz? Ha nem, gondoljunk csak arra, hogy mi lesz mindazokkal a szerencsétlen bolygókkal!
MAIN_ADVISOR_COUNCIL_RESISTED     | Azok az undorító lázadók! A létezésüket is alig tűrtük és most lázadni akarnak? Add ki nekünk a parancsot és kiirtjuk őket: sok világuk van, amelyekre igényt tarthatunk a Konklávéban!
 

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Minden világ sorsa megpecsételődött...#Te voltál egykor a galaxist körülvevő számtalan bolygó reménysége. Amikor elindultunk otthonunkról, egyetlen gondod az volt, hogy megismerd és tökéletesítsd minden megtalálható világ egyedi ökológiáját. Ahogy a tudásod gyarapodott, úgy nőtt néped lelkesedése is és egy ideig úgy tűnt, hogy minden Ssslaura közös álma valóra válik. Ha nem múlik az ellenségeink mohóságán, hogy a lehető legnagyobb mértékben kiterjesszék területeiket, akkor talán meg is történhetett volna.#Gyarmatainkat a legutolsó bolygóig meghódították: a szerető gondoskodást, amellyet életkörnyezeteinknek nyújtottatunk, eltiporta a csillagközi riválisaink vérszomja. Miközben az utolsó előőrsünk is elég és halálod elkerülhetetlenné válik, futólag azon töprengsz, vajon a bolondok, akik elhatalmasodtak rajtad, megtanulnak-e valaha is harmóniában élni azokkal a világokkal, amelyeket olyan vakon a sajátjuknak tekintenek. De a valószínű válasz, Prím Magister, túl borzalmas ahhoz, hogy igazán bele merj gondolni...
GAME_OVER_MILITARY_WIN2           | Végre eljött minden világ megmentésének ideje!#Győzelem! Győzelem a népednek és a galaxis összes bolygójának! Attól a naptól kezdve, hogy a Ssslaura Konklávé kirobbant a világáról új megóvásra szoruló környezeteket keresve, tudtad, hogy a néped törekvései nem lesznek megtagadva. A riválisaid tévedtek, amikor nem látták be a galaxis ökológiai rendszereinek biztonságát előtérbe helyező bölcsességet, de felfoghatatlan ostobék voltak amikor azt gondolták, hogy elegendő erejük lesz megakadályozniuk célod elérésében.#A legegyszerűbb cselekvési irányvonal mellett döntöttél és megszüntetted a riválisaid által jelentett fenyegetést. Ezzel megakadályoztál minden további és felesleges gyötrődést a bioszférákban, amelyeket olyan nyájasan tönkretettek saját silány céljaik érdekében! Most végtelenül sok időd van arra, hogy helyrehozd az általuk okozott károkat, mivel senki sem maradt, aki megakadályozhatna. Néped folyóként fog áradni ebben a galaxisban, ahol minden bolygó egy mellékfolyó, amely arra vár, hogy békében fejlődjön a te irányító kezed alatt. Élvezd a keményen megdolgozott munkád gyümölcsét és mindörökké élvezd a kihívásokat, amelyek a Ssslaurákra várnak az előttünk álló úton!
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Hamarosan eljön minden világ megmentésének ideje...#Bár ez nem az a végfejlemény, amelyt igazán reméltél, mégis csakis mosolyogni tudsz, miközben élvezed a jól kiérdemelt győzelmet. Tudtad előre, hogy lesznek más fajok is ebben a galaxisban, akik egyszerűen kiaknázandó erőforrásoknak tekintik bolygóikat, figyelmen kívül hagyva filozófiánk bölcsességét. A néped felkészült arra, hogy megvédje minden bolygó szentségét, még a legkisebbekét is. Mostanra az ellenségeid porrá változtak és tudod, hogy a különböző ökológiai rendszerek kényes egyensúlya soha többé nem lesz kitéve azoknak, akik szeszélyből kárt okoznának nekik.#Örültél, hogy olyan szövetségesekre találtál, akik megfogadták üzenetedet és hajlandóak voltak világaikat újonnan felfedezett tisztelettel kezelni - ahogy megtanítottuk nekik. Legnagyobb meglepetésedre még fegyvert is ragadtak s mellettünk harcoltak - és bár ezáltal kétségtelenül a saját érdekeiket védték, a saját céljaink védelmében is segítettek. Most már elkezdheted a munkásságokat a számos és kegyetlen háború okozta károk begyógyításán. Annyiban reménykedhetsz, hogy idővel barátaidat is rá tudod venni a hasonló eljáráshoz a saját világaikon...
GAME_OVER_COUNCIL_LOSS2           | Minden világ sorsa megpecsételődött...#A rivális birodalmaid mesterkedései bukásod biztosítékai. Ahogy beutaztuk a galaxist és az egyes bolygók ökoszisztémáit tökéletesítettük, elkerülhetetlen volt, hogy mások által igényelt világokat találjunk, amelyek számunkra elérhetetlenek maradnak. Diplomácia és politikai manőverezés révén minden bizonnyal képes lettél volna megmenteni ezeket a környezeteket, még akkor is, ha idegen hatalmak markában maradnak. Legalábbis ezt hitted.#Most a Galaktikus Tanács feloszlott és Új Köztársaság néven reformálódott [leader_empire_prefix_uppercase] vezetése alatt. A néped és világaink - amelyeket kétségbeesetten próbáltál megmenteni - nagy árat fognak fizetni azért, hogy a többi birodalmat nem sikerült meggyőzni a törekvéseink bölcsességéről. Csak abban reménykedhetsz, hogy az új vezetés kegyes lesz népedhez. Nem csak az ő éredkükért, hanem a galaxis minden egyes bolygója érdekében is...
GAME_OVER_REBELLION_LOSS2         | Minden világ sorsa megpecsételődött...#Magatartásod és idealizmusod ehhez a végzethez vezetett. Ellenségeink szétverték seregeinkeket és eddig elképzelhetetlen dolgokat műveltek világainkkal. Voltak idők, amikor azt gondoltad, hogy ha belemész a politikai játszmáikba, képes leszel a gondolkodásukat jobban összhangba hozni a saját filozófiánkkal. De amikor a gonosz [leader_race_whose_lowercase] faj átvette az irányítást az Új Köztársaság felett, tudtad, hogy a békés tárgyalás ellehetetlenült. Az néped megesküdött, mint az ökológiai egyensúly bajnokai, hogy fegyvert ragadnak és megakadályozzák a galaxis bolygóival szembeni hibás bánásmódot, amiért készek voltak meghalni.#És bele is haltak: a világaink le lettek igázva és a nagy műveink rajtuk mind el lettek pusztítva. A néped kénytelen volt visszahátrálni a végső erődítményükbe, ahol kimúltak eszméik védelmében. Mint az ökológiai egyensúly legbuzgóbb hívei, kihalásunk nemcsak létezésünk szempontjából súlyos veszteség, hanem az egész galaxis számára is...
GAME_OVER_REBELLION_WIN2          | Végre eljött minden világ megmentésének ideje!#Ez a Ssslaura Konklávé pillanata! Legyőztél minden akadályt, amellyel a csillagközi birodalmad felépítése során szembesültél és soha nem feledkeztél meg arról, hogy első kötelességed a sajátodnak vallott világok természetes pompájának megvédése! Bárkinek, aki ellened állt, gyorsan rámutattál a tévedéseire és amikor [_race_whose_prefix_lowercase] faj megkapta az Új Köztársaság vezetői pozícióját, úgy döntöttél, hogy a lehető legközvetlenebb módon megmutatod az egész galaxisnak mennyire helytelen is volt e választás.#Most már nem maradt ellenség, aki ellenszegülhetne az akaratodnak és nincsenek az élők közötti bolondok sem, akik képesek lennének ártani az általunk védelmzezett bolygóknak. A néped végre elegendő időt szakíthat arra, hogy megoldásokat találjon a minden különböző világ által kínált ökológiai rejtvényekre. És amikor az egész galaxis tökéletes, természetes harmóniában lesz a te irányító kezed alatt, készen fogsz állni arra, hogy védelmünk alá vedd más galaxisok világait is! Éljen a Ssslaura Konklávé!
GAME_OVER_REBEL_ALLIANCE_WIN2     | Hamarosan eljön minden világ megmentésének ideje...#Azt állítani, hogy az adott események sorozata meglepetésként ér, durva alábecsülés. Eleinte a birodalmak közötti viták békésebb megoldása tűnt a legjobb lépésnek a galaxist benépesítő csodálatos bolygók szükségtelen károsodásának elkerülésére. Azonban nem volt más út, mint a háború, amikor a Galaktikus Tanács egy másik faj vezetőjét választotta meg az Új Köztársaság élére. Felhúztad a lázadás zászlaját az egész rendszer ellen, és a kocka a galaxis sorsa felett el volt vetve.#Váratlanul másokra találtál, akik szintúgy hajlandóak voltak felvállalni az ügyedet és megszabadítani a galaxist a minden bizonnyal bekövetkező méltatlan elnyomástól. Azok, akik a mi oldalunkon harcoltak, ugyanolyan kitartónak bizonyultak, mint a saját népünk. Együtt felszámoltuk a hamis rendszert és egy újat szerveztünk a galaxis irányítására, amelyben minden bolygó jóléte lesz a legfontosabb elv. Ha pedig szövetségeseink valaha is úgy döntenének, hogy elszakadnak ettől az iránytól, akkor a birtokunkban lévő tudással hatékonyan szembe fogunk szállni taktikáikkal és stratégiáikkal. Valóban örömteli bizonyosság tudni, hogy minden bolygó eléri a benne rejlő lehetőségek csúcsát a te felügyeleted alatt, bármi is következzen...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Hamarosan eljön minden világ megmentésének ideje...#Valóban ez volt a legjobb eredmény, amit a körülményekhez képest remélhettél. A többi birodalommal való első találkozásunk óta tudtad, hogy különféle hiányosságaik megakadályozzák őket abban, hogy valaha is meglássák az igazságot a filozófiánkban. Ehelyett úgy döntöttél, hogy hidakat építesz a saját néped és [leader_race_whose_prefix_lowercase] faj között és segítesz olyan pozícióba juttatni őket, amely előnyösek lenne a terveid számára. Most az Új Köztársaság trónján ülnek és legközelebbi bizalmasuként a Ssslaurák készen állnak arra, hogy learassák felemelkedésük jutalmát.#Továbbra is befolyásolni fogod [leader_race] szövetségeseidet, hogy biztosítsák a Köztársaság minden egyes világának szentségét. Ha egy makacsabb birodalom meg akarná akadályozni az akaratodat, akkor minden bizonnyal meg fogsz tudni birkózni velük. Ez [leader_race_whose_prefix_lowercase] fajhoz fűződő köteléked erőssége és így fogod biztosítani, hogy a bolygók biztonságban maradjanak mostantól és mindörökké...
GAME_OVER_COUNCIL_WIN2            | Végre eljött minden világ megmentésének ideje!#Elérted azt a győzelmet, amelyre néped azóta vágyott, mióta először kiutazott a kozmoszba. A csodálatos ökológiájú furcsa világokkal való találkozás jövedelmező kihívásnak bizonyult a néped számára. A diplomáciai ügyekben való eligazodás azonban sokkal kényesebb feladatnak bizonyult az intellektusodnak, hogy megoldást szabjon a kihívásokra. De végül te állsz a legmagasabb hatalmi pozícióban: te és egyedül te vagy most az Új Köztársaság Mestere.#A pozíciódat használva gondoskodni fogsz arról, hogy a galaxis minden bolygóját tisztelettel és körültekintéssel kezeljék. Ha a Köztársaságon belül bármely birodalom szembeszegülne ezzel a vasdiktummal saját csekély céljaik elérése érdekében, akkor az egész galaktikus hadsereg a rendelkezésedre áll, hogy visszaállítsd őket a sorba. És amikor ezek a világok tökéletesedtek, akkor más galaxisok felfedezésének jövője elé nézel, ahol majd áldott útmutatást adsz a bennük rejlő világok jólétéhez. Menj előre, Prím Magister, mert a munkád még csak most kezdődik...
GAME_OVER_COUNCIL_MILITARY_WIN2   | Végre eljött minden világ megmentésének ideje!#Bár nem minden kudarc nélkül, az akaratod most mégis vitathatatlanul döntő lesz a galaxis alakításában. Nem kis bravúr volt számodra az Új Köztársaság Mesterévé lenni, de te képes voltál alkalmazkodni a rivális birodalmakhoz és finom kis machinációikhoz. Amikor a Köztársaság néhány félrevezetett tagja úgy döntött, hogy lázadást szít, hogy megőrizze a saját világainank pusztítójogát, nem sok időbe telt, amíg arra a következtetésre jutottál, hogy ki kell írtani őket.#Mostanra a lázadók le lettek verve és így példaként szolgálnak azoknak, akik megpróbálnák személyes vágyaikat a bolygóik jóléte elé helyezni. A lázadók egy számodra előre nem látott módon tudták hasznossá tenni magukat: mivel a galaxis többi tagja összefogott egy közös ellenséggel szemben, most jobban befolyásolhatók a te akaratod szerint, miközben a közös győzelem fényében élvezkednek. Itt az ideje, hogy előre haladj a terveiddel, és függetlenül attól, hogy az alárendeltjeid képesek lesznek-e megérteni, hogy ez miért jó, szíved mélyén tudod, hogy a galaxis maga hálás lesz neked...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Minden világ sorsa megpecsételődött...#Katasztrófa sújtotta az Új Köztársaságot, mielőtt még teljesen megvalósulhatott volna. Ahogy bölcsességed és együttérzésed minden világ környezete iránt elterjedt az intergalaktikus birodalmakban, magától értetődő volt, hogy te leszel az, akit felkérnek a galaxis vezetésére, amint az egy zászló alatt egyesül. Ám nem sokkal azután, hogy felemelkedtél e trónok új trónjára, egy lázadás kezdett el csírázni és végül ki is bontakozott. Miközben vonalak rajzolódtak a homokban, te és az általad vezéreltek azt hittétek, hogy a túlnyomó létszámunkkal és hatalmunkkal könnyed győzelmet fogunk aratni. Úgy tűnik, ez az önelégültség végső soron a végzetünkké lett.#Azok, akik fellázadtak ellened, bíztak a képességeikben és ez a bizalom azt eredményezte, hogy a birodalmad összeomlott körülötted. Most az egész Új Köztársaság romokban hever, minden flottáját megsemmisítették és minden világát meghódították azok, akik a hatalmat minden áron maguknak kívánták. A lázadók most abba a jövőbe vezénylik a galaxist, amelyik megfelel a saját torz terveiknek, és ahogy az élet kezdi elhagyni a testedet, már csupán abban reménykedsz, hogy a meghódított bolygóknak meg tudják adni azt a kegyelmet, amelyet tőled végül megtagadtak...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | a Ssslaura ökológiai odaadása
GAME_OVER_REBELLION_LOSS3         | a Ssslaura rendíthetetlen hajtóereje elnyeli
