// race-specific variables (must start with _)
_empire                           | Ursinati Birodalom, Medve Birodalom, Burlati Birodalom, Nagymancs Birodalom, Grizzlati Birodalom
Mester,felderítőinkkel és gyarmatosító hajóinkkal is felkészültünk az indulásra. Parancsára elkezdjük a környező rendszerek felfedezését és gyarmatosítását.
MAIN_ADVISOR_TRANSPORT            | 
A világ 1%-a hozzáadódott a birodalmához! Adja ki a parancsot és azonnal megkezdjük a szállítók kiküldését!
MAIN_ADVISOR_DIPLOMACY            | Egy idegen faj kapcsolatba lépett a birodalmunkkal, Mester. Akár barátként vagy ellenségként kezeljük őket, a döntés kizárólag az ön belátására van hagyva.
MAIN_ADVISOR_SHIP_ENGINE          | A tudósaink folytatják a technológia határainak feszegetését, ezúttal a hajtóműveink sebességét fejlesztve. Az ön jóváhagyására várnak a űrhajó megújult formaterveit illetően.
MAIN_ADVISOR_RALLY_POINTS         | Irányítsa újonnan tervezett hajóinkat a gyülekezési pontokra, hogy ott összpontosítsa a flottákat ahol kívánja.
MAIN_ADVISOR_MISSILE_BASES        | Gyarmataink a szavára várnak, Mester, hogy megkezdhessék a rakéta alapok építését, hogy segítsenek nekik az ellenséges támadások kivédésében.
MAIN_ADVISOR_SHIP_WEAPON          | Kutatóink foganatosítottak egy elsöprő új fegyverzetet a flottáink számára! Szabadidejében gondolja újra a hajók formatervét, Mester, hogy eldöntse miként fognak ellenségeink elhullani hatalmunk túlereje előtt.
MAIN_ADVISOR_COUNCIL              | A képviselők hamarosan összegyűlnek az első Galatikus Tanácshoz, Mester. Diplomatáink követni fogják az ön iránymutatását, hogy biztosítsák, hogy a tanács igazodik az ön akaratához.
MAIN_ADVISOR_REBELLION            | Úgy tűnik, hogy a népek 1%-a úgy döntött, hogy nyíltan megtagadja önt, Mester. Itt az idő emlékeztetni őket rá, miért ön lett kiválasztva a Birodalom vezetésére.
MAIN_ADVISOR_RESIST_COUNCIL       | Csakis ön ülhet a galaxis trónján! Nem fogjuk vérszomjunkat csillapítani amíg ön foglalja el jogos helyét, Mester!
MAIN_ADVISOR_COUNCIL_RESISTED     | 
Haha! Kíváncsi vagyok milyen lehet olyan bolondnak lenni, hogy valaki uralmunk ellen szegődjön! Nem számít, ezek az aprócska lázadók szét lesznek taposva a sarkaink alatt!


// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | A birodalmad dühét elcsitították.#A néped haragja nem volt elég, hogy elejét vegye az idegen katonai erők növekvő árjának. Bár hevesen küzdöttél a legutolsó katonáig, az Ursinatik fejezete a történelemben a végéhez ért. Egyszer te voltál a hatalmas birodalom Nagy Hierarchája, vezetője egy büszke faj harcos filozófusainak, akik tekintetüket a csillagokra emelték, hogy megtalálják helyüket az univerzumban, és próbára tegyék vérmérsékletüket azokkal szemben akik ellenük szegülni mertek. Mostanra már csak egy név vagy eme galaxis történetéről szóló krónikákban, az is csak akkor, ha a győztesek mélóztatnak emlékezni rád.#Talán, ha tudtad volna mi vár a népedre útjuk végén, nem indultál volna az űrbe oly mohón. Minden ami belőled és a népedből marad csak a balvégzetű törekvések és rosszul kivitelezett tervek pora...
GAME_OVER_MILITARY_WIN2           | A birodalmad haragja uralkodik mindenek felett!#Mostanra a totális győzelem küszöbén állsz minden birodalom felett amelyik ismertté tette magát néped előtt. Bolondul azt hitték, hogy képesek lesznek ellenszegülni a katonai hatalmadnak, csak, hogy flottáikat szétzúzva találják és népük szétszóródva nézzen szembe azzal, akármilyen gyalázatos vég is várja őket. Nem ismerték fel a dühöt a szívedben? Nem észlelték meggyőződésed kitartását? Mindez nem számít már, a győzteseknek nem kell aggasztaniuk magukat a leigázottak gondolataival. Egy sem marad most, hogy elvitassa a tényt, hogy te, és egyedül csak te kerekedtél felül mindenkin, aki az utadba állt.#Régen a néped útnak eredt, hogy megtalálja helyét az univerzumban és te megmutattad nekik, hogy arra rendeltettek, hogy uralkodjanak eme galaxis egészében. Éljen a győzelem, Nagy Hierarcha! Éljen az Ursinati Birodalom!
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Senki nem marad mostanra, aki ki merné hívni a haragodat.#Nagy Hierarchaként az volt a legnagyobb félelmed, hogy azokkal akikkel találkoztál az űrben, nem illenek majd bele a jövőről való elképzelésedbe és végül el kell puszítani őket. És valóban, sokuk igazolta ezt a félelmet, bár mindnyájan, akik ezt tették már a véres út mögött fekszenek, amit a galaxis által kényszerítve kitapostál. De találtál a szívednek érdemeset, nem mind, akikkel találkoztál bizonyult kellemetlennek és méltó szövetségesekre akadtál ennek az hosszú és zajos útnak a végén.#Talán végül jobb, hogy találtál másokat is, akikkel megoszthathatod ezt a galaxist. Ezen világok adományai gazdagok és a filozófiák amik vezetik a szövetségeseidet érdekes megfontolások tárgyául fognak szolgálni nagy elméid számára, hogy aztán évszázadokig elszórakozzanak rajtuk. Mindez, természetesen csupán addig lesz így, ameddig elfogadhatóak maradnak...
GAME_OVER_COUNCIL_LOSS2           | A birodalmad dühét meg szelidítették.#Senki sem jellemezheti erőfeszítéseidet a merésznél kevesebbként. A túlnyomó valószínűségek ellenére néped kikarmolt magának egy életet a kozmosz mélységeiben, világokat szerezve a birodalomnak a galaxison át. Sajnos, vadságod nem volt fogható a felsőbbrendű technológiai innovációkhoz és politikai manővereihez azoknak az idegen fajoknak, melyekkel az űrben kapcsolatba kerültél. Látva, hogy nem volt számodra elérhető út ami megengedte volna, hogy győzelmet arass a Galaktikus Tanácson, az egyetlen eséllyel éltél amivel tudtál: alávetni magad az Új Köztársaság vezetőjének, hogy megakadályozd a háborút amely biztosan végzetes átkot szórt volna a birodalmad egészére.#Bár harcos szellemed megsemmisítő csapás szenvedett, tudod, hogy a döntésed helyes volt. A végén legalább biztosítottad a néped túlélését, amint a galaxis a jövőbe mozdul. A másik döntési lehetőséget egyszerűen túl szörnyű elképzelni...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | A birodalmad dühét megszelidítették.#Sok dolog történt mióta kivezetted népedet saját világából annak reményében, hogy segíts nekik megtalálni a helyüket a galaxisban. Sikereid sok hasznot hoztak népednek, számos földet csatoltak a birodalmad területéhez, hogy garantálja az Ursinatik fényes jövőjét. Sajnos, a végső cél, az Új Köztársaság vezetése túl messze esett ahhoz, hogy megkaparintsd. A harcmezőn tanúsított kegyetlenkedésed talán túl sok félelmet keltett ahhoz, hogy megengedje elérned e leginkább vágyott célodat.#De nem minden veszett oda: egy bizalmas szövetségesed úgy helyezkedett, hogy vezesse a tanácsot helyetted, sikeresen meggyőzve a többi birodalmat, hogy az ő elképzelésük helyes a jövőről. Amíg a néped téged látna szívesen, mint uralkodóját ennek az új jövőnek, te tudod, hogy jól választottad meg szövetségeseidet: %8, és te biztosítani fogod a néped helyét ennek a galaxisnak a jövőjében, nem számít mit hoz a holnap...
GAME_OVER_REBELLION_LOSS2         | A birodalmad dühét elnyomták.#A galaxis háborúi a végükhöz értek. A néped keményen harcolt, más birodalmaknál sem látott dühhel és haraggal, de a végén győzelmük a te végzeteddé lett. A kegyetlenség amivel a néped küzdött, kiemelten ellened játszott. Egy ellenség intéző lett az Új Köztársaságban és meggyőzte a tanácsot arról, hogy te egyszerűen túl barbár vagy ahhoz, hogy megbízzanak benned. Mivel %8 a galaxisban, nem tehettél semmi mást, mint halogatni az elkerülhetetlent.#Az Ursinati Birodalom végül elesett ellenségei előtt. Amint területeid felosztattak a győztesek között, emlékeid és városaid porrá lettek zúzva, hogy szétszórassanak a történelem szeleiben. A néped legendái és az utolsóként talpon maradó bátrak valószínűtlen, hogy félelmet keltenének a galaxis örököseinek leszármazottaiban. Végül mindig a győztesek azok, akik megválasztják mely történeteket meséli majd el a történelem...
GAME_OVER_REBELLION_WIN2          | A birodalmad haragja uralkodik mindenek felett!#Megérkeztél hát a helyre amiről tudtad, hogy a sorsod végül vezetni fog: minden más faj totálisan megsemmisült a galaxysban! Páratlan haragod felülmúlhatatlannak bizonyult ellenségeid számára, akik gyávaságukban szövetségre léptek ellened. Abban bízva, hogy egyesített erejük elég lesz, hogy elpusztítsanak téged, mint a férgek kizsizsegtek a csillagokon keresztül, megpróbálva világaidat hamuvá égetni. Bolondok voltak, hogy ilyen reményeket dédelgettek és néped megmutatta nekik, hogy milyen hiábavalónak bizonyultak törekvéseik.#Vedd észre, Nagy Hierarcha, a galaxis a tiéd, hogy elvedd. Kedved szerint hozzáadhatsz világokat a területedhez: a néped és a te néped egyedül fogja learatni a számtalan ellenállás-mentes bolygó gazdagságát. És amikor elvettél mindent, amit ez a galaxis nyújthat, eljön az idő, hogy hatalmadat olyan galaxisok irányába vedd, amelyek a távolban vannak...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Senki sem maradt aki ki merné hívni a haragodat.#A nap felemelkedik ahol egykor az Új Köztársaság volt, veled elfoglalva a helyet, amit a kezdetektől el kellett volna foglalnod. Nyilvánvaló volt, ahogyan korábbi ellenségeid viselkedtek miután összeálltak. Tőled való félelmük olyan nagy volt, hogy paranoiában egyesítette őket a hatalmad. A lázadásod becsületes volt, ugyanis minden elváráson túl lenne, ha egy olyan remek harcos faj, mint a tied, hason csúszva könyörögne. Ráadásul azt az esetet követted, hogy csak azokra szállt végzet, akik ellened szegültek, nem számít milyen sokan voltak. Ha csak a bolondok meghallottak volna téged!#Akárhogy is, nem vagy kegyelem nélkül. Azok, akik elég bölcsek ahhoz, hogy szövetségre lépjenek veled, élvezni fogják a jövedelmező jövő gyümölcseit, valamint bátorságuk és bölcsességük jutalmazva lesz az új birodalom szerte. Ők az élő tanúi a kegyelmednek és soha többé nem lesz ellenség, amitől félniük kellene. Mindez természtesen csupán addig tart, amíg megőrzik hűségüket az Ursinati birodalom felé...
GAME_OVER_COUNCIL_WIN2            | A birodalmad haragja uralkodik mindenek felett!#Ez a galaxis és lakói a kegyelmedet élvezik. Csillagközi kampányod kezdetétől sok ellenséggel és kevés baráttal találkozál. Bár csatáid keményen megharcoltad, a győzelem diadala az Ursinatikhoz tartozott, mikor azok akik túl bolondok voltak, hogy belássák útjaik tévességét a kihalással kellett szembenézzenek. Akik megmaradtak nem csak a hatalmat látták, amitől tartaniuk kell, hanem az értelmet ami kikövetelte a tiszteletüket. A Galaktikus Tanács utolsó találkozóján kiválasztottak téged, hogy vezesd őket egy fényes jövőbe, ami az Új Köztársaságként lesz ismert.#Erőd próbájának eljött a vége: most bölcsességed próbája veszi kezdetét. Hogy mit tartogat a jövő a köztársaságnak amit az Ursinati Birodalom filozófus királya vezet, nem tudni. Ám egy dolog bizonyos: senki sem maradt, aki ellene szegülne döntéseidnek, a szelidíthetetlen erőd szükséges biztosítékot szolgáltat arra, hogy elcsitítson minden kétséget és félelmet újonnan fellelt alattvalóidban. Éljen az Új Köztársaság és éljen az Ursinati Birodalom Nagy Hierarchája!
GAME_OVER_COUNCIL_MILITARY_WIN2   | Senki sem maradt, aki ki merné hívni a haragodat!#A béke egy új korszaka kellene megkezdődjön felemelkedéseddel az Új Köztársaság trónjára. Míg számos birodalom talált örömöt abban, hogy egy erős vezetőt kövessen a jövőbe, néhány rövidlátó bolond okosabbnak és erősebbnek gondolta magát mint a megfelelően megválasztott uralkodója a galaxisnak. Mint az Új Köztársaság Mestere első próbatételed hamarosan eljött. Gyors és döntő cselekedeteiddel nem csupán elfojtottad a lázadást, de  egyetlen sújtással bebetonoztad pozíciódat mint vezető.#Ellenségeid a galaxis ellenségei, akik összetörve és legyőzve fekszenek birodalmad egyesített hatalma, flottái és a téged szolgáló civilizációk előtt. Ők jelentik a figyelmeztetést azoknak, akik fenyegetik a köztársaságot a jövőben: vigyázzatok, akik háborút hoznátok, ezt a galaxist a valaha ismert legnagyobb erejű király uralja. Uralkodj sokáig, Nagy Hierarcha, nehezen kivívott jövőd legyen fényesebb mint amit néped valaha el tudna képzelni!
GAME_OVER_COUNCIL_MILITARY_LOSS2  | A birodalmad dühét elnyomták.#Jaj, eme gonosz napok a tieid. Századokig tartó hódítások és felfedezések után elérted a vágyadat, hogy összeszedetten vezesd a galaxist bölcs és erőteljes kormányzással. A kipattanó felkelés ami ellenszegült uralmadnak, parányinak és vereségre kárhozottnak tűnt, szemben hatalmas birodalmakkal kötött szövetségeddel. Ám a lázadók ravaszságára nem számítottál, amit arra használtak, hogy minden fordulóban kivédjék megdöbbentő fizikai bátorságodat. Alkalmatlan szövetségeseid hasztalannak bizonyultak a védekezés kidolgozására, és mielőtt ténylegesen elkezdődött volna, az Új Köztársaság álma éppúgy halott volt, mint a civilizációk amelyek egykor alkották.#Ha a dolgok másképp alakultak volna, ez a galaxis és mindazok akik lakták, együtt egy új,fényesebb jövő felé haladhattak volna, távoly viszálytól és háborútól. Most a jövő a rejtelmes és kapzsi lázadók kezében van, akik bármeddig elmentek volna, hogy téged trónodtól megfosztva lássanak. Mégis ők, akik veszíteni fognak a végén, a bölcsességed nélkül, hogy vezesd őket, butaságuk biztosan az elképzelhető legborzasztóbb végbe vezeti őket...
// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | az Ursinatik páratlan haragja
GAME_OVER_REBELLION_LOSS3         | az Ursinatik féktelen haragja uralkodik
