// race-specific variables (must start with _)
_empire                           | Nazlok, Sarlok, Siplok, Sadelok, Dralok
 Befejeztük egy pár felderítő- és gyarmat hajó építését. Reméljük, hogy a válaszok amiket keresünk láthatóvá teszik magukat a közeli világban.
MAIN_ADVISOR_TRANSPORT            | Nincsenek válaszok %1 bolygón. Továbbra is növelnünk kell a létszámunkat ott, annyi szállítót küldve oda, ahányat csak nélkülözni tudunk.
MAIN_ADVISOR_DIPLOMACY            | 
Küldöttei e bolygó őslakosainak tudatták jelenlétüket. Muszáj mindent megtennünk amit tudunk, hogy megismerjük a válaszokat amiket birtokolnak.
MAIN_ADVISOR_SHIP_ENGINE          | Fényt derítettünk egy módra, hogy hatékonyabb motorokat készítsünk. Meg kell állapodjunk abban, mi lenne a legjobb módja hajóink formaterve megújításának, hogy igénybe vegyük ezt az új technológiát.
MAIN_ADVISOR_RALLY_POINTS         | Egy elkerülhetetlen konfliktus vette kezdetét! Termelési létesítményeink irányítani tudják újonnan épült hajóikat, hogy gyűljenek össze egyetlen különálló világnál és ott alakítsanak flottát, hogy megvédjenek bennünket az agresszoroktól.
MAIN_ADVISOR_MISSILE_BASES        | Túl sokat vesztettünk amint ebbe az univerzumba jöttünk ahhoz, hogy most még többet veszítsünk: minden gyarmatunk védje meg magát az ellenségtől azáltal, hogy a lehető legtöbb védelmi rakétabázist építi fel.
MAIN_ADVISOR_SHIP_WEAPON          | Olyan új technológiát fedeztünk fel, ami fejleszti csillaghajóink támadási képességeit. Újra döntenünk szükséges arról, miként újítsuk meg a hajók formatervét, hogy a lehető leghamarabb előnyt kovácsolhassunk ebből.
MAIN_ADVISOR_COUNCIL              | Szóbeszéd járja egy Galaktikus Tanácsként ismert gyűlésről, amire hamarosan sor kerül. Kémeink remélik, hogy felhasználhatják min lehetőséget, hogy annyi információt gyűjtsenek amennyit csak tudnak. A fajunk jövője függ tőle!
MAIN_ADVISOR_REBELLION            | %1 népei elvesztették az eszüket?! Elfelejtik, hogy csak együtt tudunk érvényesülni ebben a galaxisban! Azonnal példát kell statuálnunk ebből a felkelésből! 
MAIN_ADVISOR_RESIST_COUNCIL       | Az itteni esélyeink mindig ismerten csekélyek voltak. A Galaktikus Tanács és szövetségesei ellen harcolni nem árt az esélyeinknek.
MAIN_ADVISOR_COUNCIL_RESISTED     | Túl sokáig munkálkodtunk azon, hogy ezeket a bolondokat az akaratunk alá hajtsuk! A vezetőségünk elleni lázadás eltűrhetetlen! Elpusztítani őket azonnal!

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | A küldetésed vége, a néped vége...#Elképzelhetetlen tragédia szakadt a birodalmadra. Amint egy faj annyira elkeseredett, hogy fényt derítsen egy olyan esemény titkaira, ami elődeit kihajította haldokló univerzumukból ebbe az idegen dimenzióba, a civilizácitok romokban hever annál sokkal erősebb bennszülöttek lábainál, mint akikkel szemben remélted, hogy ellenállhattok. Ha ismerték volna a helyzeteteket, meglehet kegyesebbek lettek volna, talán segítséget nyújtottak volna vagy legalább toleránsabbak lettek volna az eszközökkel szemben, amiket a céljaitok eléréséhez használtatok. Ehelyett mindössze fajtátok idő előtti halálát értétek el, míg más erők folytatják menetelésüket a jövőbe, bármit is tartogasson számukra.#Sajnos a Nazlokok ezzel a végzettel kellett találkozzanak! Ha másképp játszottátok volna ki a kártyáitokat a népetek talán még mindig életben lenne és megtalálta volna a kulcsot ami megengedte volna, hogy a fajod maradékát egy új, stabilabb bolygóra vigyétek. Az is lehet azonban, hogy nem játszhattátok volna ki jobban a kártyáitokat: talán a sors egyszerűen úgy döntött, hogy a legszerencsétlenebb lapokat osztja nektek...
GAME_OVER_MILITARY_WIN2           | Az első fázis befejeződött, kezdetét veszi az igazi próba...#Ez a galaxis a tiétek! Ahogy a népetek uralták az univerzumot ahonnan jöttek, úgy ti is eltiportátok a gyenge ellenállást a galaxisban és egymagatok igényt tartottatok mindenre, amit tartalmaz. A taktikák amiket alkalmaztatok túl soknak bizonyultak az ellenfeleitek számára, hogy felülkerekedjenek rajtuk, a rejtettsség és titkosítás amelyet titkaik megszerzésére használtatok pedig még annál is inkább. Most, amint ellenlábasaitok utolsó erődei is elhullanak hatalmatok alatt, nézzetek rá a szétszórt csillagokra amelyek a Nazlokok állandó otthonává lesznek.#De a munkátok még korántsem ért véget. Megtanultátok hogyan éljetek ebben az idegen dimenzióban és tegyétek a galaxist biztonságossá, a népetek számára lakhatóvá és virágzóvá. Igenám, csakhogy a fajotokat idehozó interdimenzionális sodrás titkai még felderítésre szorulnak és minden itt eltelő nap azt jelenti, hogy az anya-univerzumotok közelebb kerül az elkerülhetetlen összeomláshoz. És ha bármelyik általatok elpusztított birodalom már tudta a titkot, a katonai hódításotok még a végzeteteknek bizonyulhat... 
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Az első fázis befejeződött, kezdetét veszi az igazi próba...#Most van órája az első valódi győzelmeteknek! Mikor népeteket ebbe a dimenzióba dobták, félelmetesnek találták, idegennek és veszélyesnek. De inkább - mint meglapulva és a legjobb tudás szerint összeszedve a megélhetést - bátran haladtatok előre, megfogadva, hogy kiismeritek a galaxis titkait és biztosítjátok hátramaradt népetek áthozatalát haldokló síkjukról. Az út során ellenségekre és barátokra tettetek szert és a színtér készen áll a legnagyobb kihívásra amivel népetek valaha szembesült.#Szövetségeseitekkel együtt sikerrel szétszedtétek azokat, akik ellene szegültek céljaitoknak; úgy törvén meg őket flottátokon, ahogy az dagály törik meg a parton. Mostanra csak ti és közeli barátaitok maradtak és eme szoros kapcsolaton át, amely csak a háborús győzelem megosztásával érhető el, boldogan segítitek szövetségeseiteket nehézégeikben, ahogyan ők is benneteket. Amint népetek biztonságosan szeli át a dimenziókat és az igazi birodalmatok újjászületik, csak azok, akik igaznak bizonyultak az ügyetekhez élhetnek az univerzumban, amely kétség kívül a tiétekké lesz téve. 
GAME_OVER_COUNCIL_LOSS2           | Az elképzeléseitek tönkretéve, a küldetésetek veszélyben...#A terveitek leplezetlenül lettek a galaxis elé terítve és bár senki sem remélheti, hogy párotok lehet a ravaszságotok képességében, riválisaitok tekintete még számotokra is túl figyelmesnek bizonyult. Az Új Köztársaság megkovácsolásával és a galaxis meghatározandó jövőjével, a tanácsban állókra adott szavazatok a jól előkészített terveitek elrontásával lettek egyenlők. A jövő [leader_race_prefix_lowercase] fajhoz tartozik!#Megpróbálni elsajátítani a képességet a galaxis útjának megváltoztatására ambíciózus stratégia volt. Ha diplomáciai machinációitok kifinomultabbak lettek volna, nagy a valószínűsége, hogy az egész galaxis akarata meghajlott volna a küldetésetek szolgálatában. Most be kell hódoljatok [leader_race_prefix_lowercase] faj akaratának, de minden elmúló nap egy nappal közelebb hozza az összeomló univerzumból - ahonnan jöttetek - kisodródottakat a sorshoz, ami szörnyűbb annál mint amit el mertek képzelni...
GAME_OVER_REBELLION_LOSS2         | A küldetésetek vége, a népetek vége...#A szerencse sosem fogta pártját a népeteknek, mióta megérkeztek erre a barátságtalan vidékre. Ez nem kedvezett amikor átdobódtatok egy olyan dimenzióba ahol egyik technológiátok sem működött megfelelően. Nem kedvezett, amikor a galaxis őslakosai ellenetek szavaztak az Új Köztársaság vezetése kapcsán. És most, a legvégén mindennek, nem kedvez nektek amikor fellázadtok riválisaitok ellen, hogy biztosítsátok nem csak a galaxis vezetését, de a saját túléléseteket is.#Népetek állhatatos, erős és eltökélt volt, de a legnagyobb erőfeszítés és a bármilyen eszközzel győzni akarás dacára sem volt egyszerűen elég, hogy garantálja a diadalt az Új Köztársaság hadseregének túlerejével szemben. A bátorságotok méltó volt a megemlékezésre: ezzel senki sem vitatkozhatott. Ám amint utolsó seregeitek és saját világaitok ellenfeleiteké lettek, összetört birodalmatok megverve terül el, megtörten és hamarosan elfeledve...
GAME_OVER_REBELLION_WIN2          | Az első szakasz véget ért, az igazi próba elkezdődik...#Most végül ezek az alsóbbrendű bolondok látják az erőtöket és akaratotokat elszabadulni!  Ellenségeitek hiába próbálták megakadályozni küldetéseteket, hogy kiszabadítsátok megfeneklett társaitokat a végső ítélettől, és használtak minden trükköt, hogy hátráltassanak benneteket. Fenyegetésektől a kémkedésen át a nyílt rosszaindulatig, kívánságuk, hogy megakadályozzanak benneteket a célotok elérésében azzal ért a csúcsára, amikor ellenetek szavaztak az Új Köztársaság vezetése kapcsán annak dacára, hogy egyike voltatok a feladatra legérdemesebbeknek. Kevés választással és a nehéz lelkiismeret hiányában, ugyanazt a szörnyű dühöt engedtétek szabadjára ami a népeteket vezette az univerzum feletti totális dominanciában, ahonnan jöttetek.#Most a galaxis a tiétek és bár az idő rövid, mielőtt a hazai síkotok összeomlik és akik hátramaradtak rosszabb sorsot szenvednek el mint a halál, legalább senki sem maradt ebben a dimenzióban aki ellenetek szegülne. Most végre ezek az alsóbbrendű bolondok látják az erőt és az akaratot amit szabadjára engedtetek! Legalábbis tehetnék, ha egy is életben maradt volna hozzá...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Az első szakasz befejeződött, az igazi próba elkezdődik...#Kezdettől tudtátok, hogy e galaxis lakói maguktól sosem bíztak volna meg bennetek, hogy vezessétek az űrhajós birodalmak egyesült szövetségét. A tisztességtelen és bizalmatlan bennszülött birodalmak amik lakják ezt a síkot, mindent amit tudtak megtettek volna, hogy akadályozzák a terveiteket és vidáman szavaztak ellenetek mikor kezdetét vette az Új Köztársaság megalakulása. 
Ám ti bölcsek vagytok és ravaszak, oly könnyedén látva ügyködésüket mint másnak egy oldalra írt szavakat olvasni, diplomáciai erőfeszítéseiteket csak azokra koncentráltátok akik a legérdemesebbek voltak, hogy mellettetek álljanak. És amikor eljött az idő, hogy ellenfeleitek azt hitték, hogy tőrbe csaltak benneteket, egy olyan csapdában találták magukat ami már régen fel lett állítva.#Ti és szövetségeseitek most győzedelmesen álltok a hamvain azoknak, akik nálatok különbnek merték gondolni magukat. A galaxis sorsa a kezetekben van, szabadon megtalálhatjátok a módot arra, hogy megrekedt társaitokat áthozzátok a dimenzionális korlátokon egy új univerzumba, amely megérett az elfoglalásra. És azoknak, akiket bajtársaitoknak neveztek megakadályoznának benneteket a céljaitokban, döntően úgy fogtok velük bánni, ahogy a többiekkel bántatok...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Az első szakasz befejeződött, az igazi próba elkezdődik...#Régen a népetek egy kis bandája kivetődőtt haldokló univerzumából és belökődött ebbe az új és idegen síkba. Amint elkezdtétek kutatni a módot arra, hogy azok akik fennakadtak csatlakozhassanak hozzátok ebben az új és stabil galaxisban, a találkozásaitok azokkal akik már eleve ezek között a csillagok között éltek gyorsan megtanított arra, hogy nem fogjátok megtalálni a keresett válaszokat, amíg piti és elhúzódó háborúkat folytattok. Ehelyett árnyakba fátyolozva a történelem menetének megváltoztatásán dolgoztatok és most végre e tervek gyümölcsöt hoztak.#[leader_race_prefix_uppercase] faj feltételezte az Új Köztársaság uralmát: formálhatónak és befogadónak bizonyultak terveitekre és tanácsotokra. Mint bizalmasok és tanácsadók, népetek egyedi helyzetben van, hogy irányítsa a galaxis erejét a szövetségesetek uralma alatt. Túl messze távolodtatok a direkt autoritástól ahhoz, hogy valaha is érezzétek a visszacsapást, ha a dolgok rosszra fordulnak. Ha sikeresek lesztek, rangjaitok megerősítése rég elvesztett társaitok érkezésére több lesz mint elég ahhoz, hogy egy új korszak vegye kezdetét és a mérleget túlnyomóan a ti oldalatokra billentse...
GAME_OVER_COUNCIL_WIN2            | Az első szakasz befejeződött, az igazi próba most veszi kezdetét...#A tanács termeiben üdvrivalgás tör ki amint megkezditek uralkodásotokat mint az Új Köztársaság Mesterei. Szerényen fogadjátok el az intézőség terhét amellyel a Galaktikus Tanács birodalmai hatalmaztak fel, tudva, hogy ez egy hosszan készített terv eredménye. Röviddel azután, hogy népeitek megérkeztek ebbe a dimenzióba és kiismerték rejtélyeit, tudtátok, hogy egyedül lehetetlen lenne megtalálni a módját, hogy csapdába esett testvéreitek átjussanak erre a síkra mielőtt az univerzumuk teljesen összeomlana. Most, sok éves diplomácia, lopakodás és politikai manipuláció után ez többé nem szükséges.#Most ez a galaxis a tiétek, hogy úgy alakítsátok, formáljátok és irányítsátok az úton ahogy a legjobbnak látjátok. Hamarosan betöritek a technológiát, az erőt és szövetségeseitek találmányait, hogy segítsen nektek megnyitni a kaput hazátok felé és itt újraépíteni civilizációtokat annyi lakótokkal ahányat csak be tudtok tessékelni. Ha bárki merni próbálna megállítani, mostanra az Új Köztársaság hadserege a tiétek, hogy eltiporja a nézeteltéréseket egyszer és mindenkorra...
GAME_OVER_COUNCIL_MILITARY_WIN2   | Az első szakasz befejeződött, az igazi próba most veszi kezdetét...#Uralmatok a galaxisban mostanra szóban és tettben is kikövetelődött. Számtalan évnyi manipuláció után, hogy csillagközi riválisaitokat rávegyétek céljaitok megsegítésére, terveitek végre gyümölcsöt hoztak amikor megszereztétek az 'Új Köztársaság Mestere' titulust. Amikor a szakadárok hangja feltámadt ellenetek, nektek már mozgásban voltak a terveitek a terveken belül, amik lehetővé tették, hogy határozottan elfojtsátok a lázadást. Ők küzdöttek, ti nyertetek, és mostanra a teljes galaxis a tiétek, hogy azt tegyetek vele amit csak kívántok.#Porrá zúzott és napszeleken szétszórt ellenségeitekkel mögöttetek, figyelmeteket igazi célotok felé fordítjátok: megtalálni a módját, hogy tőletek elválasztott népeteket keresztül hozzátok a dimenziós szakadékon ebbe az új és stabil univerzumba, ahol birodalmatok újjászülethet. Senki sem mer ellenetek beszélni most, nem azután, amit láttak megtörténni azokkal, akik elég bolondok voltak ahhoz, hogy megtegyék...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | A küldetésetek vége, a népetek vége...#A legszomorúbb sors, amit népetek számára elérhettetek, valósággá vált. Páratlan képességetek a kifogásokra és manipulációra ellenetek fordult olyan alsóbbrendű lények által, akik nem remélhették, hogy megértik a nagyszerű munkát amit megpróbáltatok véghezvinni. Bár sikerre vittétek a hatalmas feladatot, hogy megválasztott uralkodói legyetek a galaxisnak míg fenntartottátok a titokat amik leplezték a céljaitokat, képtelenek voltatok elfojtani a lázadást amely hamarosan feltámadt, hogy találkozzon bontakozó uralmatokkal.#Most már túl késő, hogy a galaxis jövőjét olyan útra kormányozzátok, amit megfelelőnek véltek. A lázadás semmi többet nem hagyott a győzteseknek az Új Köztársaságból, mint fosztogatni való romokat amikre rá kell építeni. És a Nazlokok halála megpecsételi a sorsát azoknak, akik a végzetes univerzumban rekedtek a menekülés reménye nélkül. A kudarcotok megpecsételte a sorsát a birodalmatoknak nem egy, hanem két univerzumban is és ez oly mértékben monumentális amit egy ellenségetek sem tud felfogni...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | A Nazlokok megismerhetetlen machinációi
GAME_OVER_REBELLION_LOSS3         | A Nazlokok láthatatlan marka kelepcébe csal
