// race-specific variables (must start with _)
_empire                           | Meklonár Domínium, Mechanár Domínium, Kibernár Domínium, Digitár Domínium, Technár Domínium
_empire_within_prefix_lowercase                           | a Meklonár Domíniumon, a Mechanár Domíniumon, a Kibernár Domíniumon, a Digitár Domíniumon, a Technár Domíniumon

_race                           | Meklonár, Mechanár, Kibernár, Digitár, Technár
_race_prefix_lowercase                           | a Meklonár, a Mechanár, a Kibernár, a Digitár, a Technár
_race_prefix_uppercase                           | A Meklonár, A Mechanár, A Kibernár, A Digitár, A Technár
_race_whose_lowercase                           | meklonári, mechanári, kibernári, digitári, technári
_race_whose_uppercase                           | Meklonári, Mechanári, Kibernári, Digitári, Technári
_race_whose_prefix_lowercase                           | a meklonári, a mechanári, a kibernári, a digitári, a technári
_race_whose_prefix_uppercase                           | A meklonári, A mechanári, A kibernári, A digitári, A technári
_race_possessive                           | Meklonárok, Mechanárok, Kibernárok, Digitárok, Technárok
_race_possessive_prefix_lowercase                           | a Meklonárok, a Mechanárok, a Kibernárok, a Digitárok, a Technárok
_race_possessive_prefix_uppercase                           | A Meklonárok, A Mechanárok, A Kibernárok, A Digitárok, A Technárok
_race_relational                           | Meklonárokkal, Mechanárokkal, Kibernárokkal, Digitárokkal, Technárokkal
_race_relational_prefix_lowercase                           | a Meklonárokkal, a Mechanárokkal, a Kibernárokkal, a Digitárokkal, a Technárokkal
_race_giving                           | Meklonároknak, Mechanároknak, Kibernároknak, Digitároknak, Technároknak
_race_giving_prefix_lowercase                           | a Meklonároknak, a Mechanároknak, a Kibernároknak, a Digitároknak, a Technároknak
_race_regarding                           | Meklonárokat, Mechanárokat, Kibernárokat, Digitárokat, Technárokat
_race_regarding_prefix_lowercase                           | a Meklonárokat, a Mechanárokat, a Kibernárokat, a Digitárokat, a Technárokat
_race_taking_prefix_lowercase                           | a Meklonároktól, a Mechanároktól, a Kibernároktól, a Digitároktól, a Technároktól
_race_approaching_prefix_lowercase                           | a Meklonárokhoz, a Mechanárokhoz, a Kibernárokhoz, a Digitárokhoz, a Technárokhoz

_title                            | Döntő Irányító
_nameTitle                        | Döntő Irányító

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | Meklonár Tanácsadó
MAIN_ADVISOR_BUTTON_OK            | Rendben
MAIN_ADVISOR_SCOUT                | A flotta készen áll a kivizsgálására és gyarmatosításra. Várom a rendeletet az műveletek indítására. 
MAIN_ADVISOR_TRANSPORT            | Az első gyarmat megalapítva egy közelbeli világon. Elrendelve mint "%1." További %2 lakosság befogadására alkalmas. A létszám kiegészítése érdekében a lakosság részének átszállítása lehetséges innét: %3. 
MAIN_ADVISOR_DIPLOMACY            | Új fajok észlelve. Elrendelve mint "[alien_race]." További utasítást várok a Főrendszertől.
MAIN_ADVISOR_SHIP_ENGINE          | A meghajtó technológia fejlesztése befejezve. Tárgyalj a mérnökökkel az új tervek elkészítéséről.
MAIN_ADVISOR_RALLY_POINTS         | "[alien_race_prefix_uppercase]" faj cselekedetei a halhatatlansági protokoll felfedezését veszélyeztetik. Válassz ki egy gyülekezőpontot a flotta központosításához és támadj. 
MAIN_ADVISOR_MISSILE_BASES        | Kérvény a katonai osztagtól: építs védelmi rakétabázisokat a külső világok felületén. Ez lehetővé teszi a világok védelmét a külső agressziótól.
MAIN_ADVISOR_SHIP_WEAPON          | A nagyteljesítményű fegyverek fejlesztése befejezve. Tárgyalj a mérnökökkel az új tervek elkészítéséről. 
MAIN_ADVISOR_COUNCIL              | Értesítés az csillagközi birodalmak konvergenciális protokoljáról. Elrendelve mint "Galaktikus Tanács". Képviseletet küldök ki a Főrendszer akaratának tisztázására.
MAIN_ADVISOR_REBELLION            | Figyelem. Szökevény program fertőzi a következő gyarmatot: %1. Meg kell kezdeni az érintett Meklonárok gyökértelenítését, hogy biztosíthasd a Domínium hibátlan együttműködését.
MAIN_ADVISOR_RESIST_COUNCIL       | A Galaktikus Tanács új vezetője jellemzése mint fenyegetés a Domínium célkitűzéseire. Mozgósítsd a teljes haditengerészetet, hogy megszüntessük a vezetőt és szövetségeseit.
MAIN_ADVISOR_COUNCIL_RESISTED     | Ellenséges fajok lázadása: rossz döntés. A Domínium jelenleg uralja az ismert galaxist. Küldd az összes flottát a szakadárok csillapítására.

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Fájdalmas emlékeztető ez halandóságodra...#Álmod megvalósítatlan marad, míg civilizációd romokban hever. Az idegen létformák amelyek az ellenséges birodalmakat alkották, a mi leküzdhetetlennek vélt biotechnológiánknál is nagyobb hatalommal rendelkeztek. Az ismételt kinyilatkozásaid ellenére, amelyek szerint a népünk nem kíván mást, mint hogy békén hagyják amíg az élettartamot hosszabító technológiát keresi, a riválisaink mindent megtettek azért, hogy minden fordulóban megakadályozzák az ambíciónkat. Függetlenül attól, hogy félelemből, sportból, vagy akár ok nélkül, de úgy döntöttek, hogy megakadályoznak minket és most a néped eltűnt, örökre.#Egy másik időben, egy másik valóságban, a néped felfedezte volna a halhatatlanságot, amelyet kutatott és megtapasztalhatta volna a megosztott örök élet örömét. És abban az örökkévalóságban, abban a realitásban, ahol az idő már nem uralna minket, a Meklonárok feltárták volna az univerzum és magának a létnek a titkait. Viszont ebben a valóságban, amelyben vagyunk, a néped nincs többé. A Főrendszer összetörve hever Meklon mélységeiben és soha többé nem fogja tudni bölcs tanácsait megosztani senkivel...
GAME_OVER_MILITARY_WIN2           | Nincs több akadály a halhatatlanság előtt!#Az egyetlen dolog, amit fajunk kívánt az az volt, hogy békén hagyjanak minket amíg az élettartamot hosszabító technológiát keressük. Már évszázadokkal korábban, amióta elkezdtük a mechanikus testek használatát, ez a vezérlő tényező honol a Meklonár civilizáció szívében. Ám a Főrendszernek hamar nyílvánvalóvá vált, hogy ezek az idegen életformák, amelyekkel küldetésünk során találkoztunk, fenyegetést jelentettek a céljainkra tekintve. Amikor hadi döntések születettek, a katonaságunk habozás nélkül mozgósult, az ellenségeinket egyenként kiiktatva mindaddig, amíg egy sem maradt.#Figyelemeltérítő vagy titkos tudást halmozó riválisok nélkül, végre szabadok vagyunk, hogy kényelem szerint elérjük a végső célunk. Ez az egész galaxis tele van olyan erőforrásokkal, amelyek lehetővé teszik a keresett válasz felfedését, miközben szétterjesztjük a civilizációnkat annak minden sarkába. És amikor a népünk végre befejezi amibe oly rég belekezdett, ez az egész galaxis és gyümölcsei a miénk lesz, hogy örökkön örökké évezhessük...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Az ellenségeink megszűntek, mostantól a halhatatlanságra összpontosíthatunk...#"Mi vezette ezeket a lényeket arra, hogy háborúzzanak a népünkkel?" Ez az a kérdés, amelyen a Főrendszer most mereng. Mert elméjében és minden más Meklonár elméjében zavar keletkezik, amikor belegondolnak, hogy látszólag intelligens lények miért siettetnék az amúgy is elkerülhetetlen halálukat az erőink elleni megmérettetéssel. Ahogy a társadalmunkat irányító felsőbbrendű intelligencia megjósolta, úgy buktat el az ellenünk szegülők.#Szerencsére, nem mindenki volt akkora bolond beképzelni, hogy képes lenne megállítani minket a halhatatlanságot űző iramunkban. Olyanokkal tudtunk szövetségeket kötni, akik segítettek a háborúkban, ami még gyorsabban hozta el az ellenséggel szembesülő végzetet. Örömmel megosztjuk a galaxis erőforrásait és titkait azokkal, akik velünk együtt kiérdemelték azokat. És amikor eljő a nap, amelyen népünk eléri a halhatatlanságot, talán szintúgy boldogan megosztjuk azt is a szövetségeseinkkel. Talán...
GAME_OVER_COUNCIL_LOSS2           | A küldetésed most veszélyeztetve van...#A riválisaid megakadályoztak anélkül, hogy ezt felfogták volna. Az egyesült csillagközi birodalmak köztársaságának megalkotása és a közös menetelés a jövőbe egy zászló alatt a leglogikusabb útja volt az egész galaxison belüli béke megteremtésének. Viszont annak az valószínűsége, hogy a néped képes lesz megtalálni az igazi halhatatlanság kulcsát szinte a nullára csökkent, mivel a bürokrácia kötelékei biztosan meg fogják bénítani minden elért haladásunkat. Ahol régen lehetőséged volt arra, hogy egyszerűen kiküszöböld a fajokat, amelyek az akadályozásunkhoz ragaszkodtak, most már nincs tere merészségednek a teljes galaxis haragjának megkockáztatására.#Ami ennél is rosszabb, a néped túlélése most [leader_race_whose_prefix_lowercase] fajjal vezetett viszonyodtól függ, mivel ők lettek az Új Köztársaság megszavazott vezetői. Bármely döntéssel, amellyel haragra késztetnéd őket, kétségtelenül bonyolítani fogod a terveidet. Amikor egy kisebb sértés is a mobilitásunk és információszabadságunk elnyomását jelentheti az egész köztársaság területén, az indulatuk elgégséges felpiszkálása egyértelmű kiírtást jelent neked és népednek.
GAME_OVER_REBELLION_LOSS2         | Fájdalmas emlékeztető ez halandóságodra...#A legsúlyosabb igazságtalanság, hogy a népednek végig kell tűrnie a saját kihalását. A Főrendszer, amely minden értelmi szinten bölcs és mértéken felüli intelligenciával rendelkezik, megállapította, hogy [leader_race_whose_prefix_lowercase] faj az Új Köztársaság uralkodóivá emelkedése a Meklonárok végső céljának megtagadásával jár. Ennek megakadályozásához megkaptad az elrendelést, hogy a jövőnk védelme érdekében egy nyitott lázadást indíts az egész galaxis ellen. Annak ellenére, hogy a Főrendszer nem nyilvánított bizonytalanságot afelől, hogy az eredmény valószínűleg kihalás lesz, ez mégis előnyösebb sorsnak igérkezett mint egy jövő az új mesterek talpa alatt.#Most a halhatatlanság egyetlen fomája, amely a Meklonároknak valaha is jutni fog az az, ami a történelemben rögzítetteknek jár. A tudásunk és a technológiánk mindenki számára tárva lesz, hogy beletekinthessenek és saját célokra használják, és a jövőben akár csak az egyik régi riválisodnak is sikerülhet, ahol Te elbuktál, és akkor feltárhatja a halhatatlanság titkait...
GAME_OVER_REBELLION_WIN2          | Nincs több akadály a halhatatlanság előtt!#A Főrendszer megint csak megosztotta a néped létezésének biztosításához szükséges belátást. Amikor "[leader_race_prefix_lowercase]" elrendeltségű idegenek az Új Köztársaság uralkodóivá váltak, a Főrendszer tudta jól, hogy a civilizációdnak nincs jövője egy ilyen elnyomó és bosszúszomjas birodalom talpa alatt. Bár a néped tisztában volt a ténnyel, hogy a galaxis együttes flottájával szembeni győzelem valószínűsége csekély, örömmel meneteltek a háborúba, mivel mindennél jobban hisznek az ősi orákulum bölcsességében. Erőteljesen és határozottsággal, a Meklonárok hosszan és keményen harcoltak, és végül nyertek.#Senki sem maradt, aki képes lenne a néped halhatatlanságot kutató küldetését megakadályozni vagy akár erre kísérletet tenni. Az elbukott riválisaid tudása hamarosan fel lesz tárva, tanulmányozva és használva, vagy el lesz vetve - ahogy jónak látod. Ebben a galaxisban minden világ a tiéd, ahogy a titaik is, amelyeket tartalmaznak. Csupán idő kérdése mielőtt az idő maga már nem számít, mivel a közeljövőben a néped megtanulja becsapni a halált és örökké fog élni...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Az ellenségeink megszűntek, mostantól a halhatatlanságra összpontosíthatunk...#Te és a szövetségeseink megváltoztatták a történelem menetét. Amikor a hibás és rosszindulatú [leader_race_whose_lowercase] faj az Új Köztársaság Mestereivé lettek, még a Főrendszerrel való tanácskozás nélkül is tudtad, hogy a néped a leghatalmasabb veszélyben forog. Irányítva a flották támadását [leader_race_whose_prefix_lowercase] fenyegetés és azok ellen, akik melletük álltak, lázadásod kürtje visszhangzott a galaxison át. Mielőtt megkezdődött volna a háború, hívásod szétterjedt az igazi szövetségeseid között, hiszen csak ők voltak elég bölcsek ahhoz, hogy belássák merre tart majd a jövő.#Közösen szétzúztátok az Új Köztársaság erőit és kijelentettétek a saját jövővíziótokat, mint az igazi ösvényt a holnapba. A háborút megnyerve, most békében hajszolhatjuk halhatatlanságot. A szövetségeseinket pedig örömmel bízzuk a saját dolgaikra abban a reményben, hogy ők is szintoly örömmel viszonozzák e szívességet. Ha most vagy a jövőben úgy döntenének, hogy mégsem, a háború hangzavara ismét zengeni fog a galaxison át...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Megtagadva a tróntól, a küldetésed még mindig folytatódhat...#Kevesen tudnák megérteni, ha egyáltalán vannak olyanok, hogy milyen mélyen vágyik néped a halhatatlanság elérésére. Amióta először találkoztunk más civilizációkkal, amelyek képesek voltak a csillagközi utazásra, furcsának és talán veszélyesnek tekintett minket mindenki. Az egyetlen kivétel e tudatlanság alól [leader_race_possessive_prefix_lowercase], akik megérdemelt tisztelettel néztek a mi büszke és ősi kultúránkra. Most ők hordozzák az Új Köztársaság Mestereinek terhét, míg a Te néped várja, hogy betakaríthassa a jutalmakat.#Hiszel abban, hogy körültekintő diplomáciával és szándékaink eltitkolásával könnyű feladat lesz harmonikus viszonyokat fenntartani a galaxis új uralkodóival. Ezáltal nemcsak a meklonári civilizáció, hanem a küldetésünk jövőjét is biztosíthatod. A Főrendszer irányítása alatt és a néped támogatásával, semmi sem fordulhat rosszra...
GAME_OVER_COUNCIL_WIN2            | Nincs több akadály a halhatatlanság előtt!#A Meklonárok most a galaxis Mestereivé váltak! A néped mindig is a legeltökéltebb volt az összes közül, akik a csillagok meghódításába indultak. Végre a türelmük elvezette őket abba a jövőbe, amelyben majd a kívánságaik alakítják ezeknek a számtalan csillagoknak a jövőjét. A halhatatlanság iránti törekvésed abszolút, és most, hogy az Új Köztársaságot ellenvetés nélkül vezeted, a galaxis minden erőforrása a rendelkezésedre áll.#Az alárendelt birodalmak legnagyobb elméi is azon titkok feltárására lesznek állítva, amelyek a néped örök életéhez fognak vezetni. Még a legagresszívebb volt riválisaidat is behódolásra fogod kényszeríteni azon hatalom fenyegetésével, amelyet mostantól ellenük zúdíthatnál. A Főrendszer iránymutatásával és a néped eddig nem tapasztalt eltökéltségével kétségtelenségbe veheted, hogy a halhatatlanságból elkerülhetetlenség lett!
GAME_OVER_COUNCIL_MILITARY_WIN2   | Nincs több akadály a halhatatlanság előtt!#Végre zárul a komolytalan diplomácia időszaka. Túl sokáig voltál kénytelen elviselni az alsóbbrendű fajokkal és triviális motivációikkal való foglalkozás monotóniáját. Azt remélted, hogy amikor az Új Köztársaság Mesterévé leszel, ennek vége lesz. Remélted, hogy kevesebb időt töltesz a riválisaid kiengesztelésének apróságaival és, hogy több időt szánhatsz a halhatatlanság keresésének összpontosítására. De az élet ritkán egy rendezett számítás, és természetesen akadtak olyan bolondok, akik elutasították a felemelkedésed és felkeltek ellened. Szerencsére jól tudtad a módját, hogy egyszer s mindenkorra véget vess ezeknek a zavargónak.#Eltökélt tombolással irányítottad flottáidat és a szövetségeseid haderejét, hogy előitélet nélkül megsemmisítsd az ellenállást. Ahogy az ellenségeid világai elhullottak, úgy kerültél te közelebb a alapvető álmod fesztelen űzéséhez. Most, hogy a lázadásnak vége, boldogan hagyod, hogy a szövetségeseid próbálkozzanak a saját kis céljaik elérésével. Te túlságosan is elfoglalt leszel a halhatatlanná válással, hogy velük foglalkozz!
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Fájdalmas emlékeztető ez halandóságodra...#Az események, amelyek ide vezettek téged annyira kiszámíthatatlanok voltak, hogy még a Főrendszer sem tudta előrelátni a végeredményt, mint lehetőséget. A terved minden lépése ugyanúgy zajlott, ahogy a Főrendszer azt megjósolta, kezdve a kedvező diplomáciai pozíciótól a galaxis birodalmai között, az Új Köztársaság Mesterévé válásodik. Bár egy elég erős elégedetlenség, amely lázadást indíthat, mindig is valószínű volt, amikor az elkezdett kialakulni, ez téged nem ért meglepetésként. Amit viszont nem sikerült belátod és amire nem sikerült válaszolnod, az a felkelés túlnyomó intenzitása volt, és most e kihagyások árát kell megadnod.#Bár az Új Köztársaság legtöbb vezetője melletted állt és flottáikat az egyesített berendezésed védelmére irányították, tehetetlen voltál a lázadás előtt, amelynek összeroppantásában hittél. Ahogy a birodalmad összeomlott körülötted, a népeddel együtt meghalt az örök élettartam eléréséről szóló álmuk is. És ahogy elhullottak a szövetségeseid, úgy bukot meg a reményük egy közös, békés jövőben...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | a Meklonárok hideg érzéketlensége
GAME_OVER_REBELLION_LOSS3         | A Meklonárok mechanikai pontossága elnyeli
