

//
// Armor techs
// 
ARMOR_0_NAME     | Baju Logam Titanium
// Automated Repair techs
// 
AUTOREPAIR_0_NAME      | Sistem Perbaikan Otomatis
AUTOREPAIR_0_BRIEF     | Memulihkan 15% pukulan kapal sekali putaran
AUTOREPAIR_0_DETAIL    | Kapal yang belum hancur bisa memulihkan diri hingga 15% dari total poin pukulan di akhir setiap putaran.

AUTOREPAIR_1_NAME      | Kontrol Kerusakan Canggih
AUTOREPAIR_1_BRIEF     | Memulihkan 30% pukulan kapal sekali putaran
AUTOREPAIR_1_DETAIL    | Kapal yang belum hancur bisa memulihkan diri hingga 30% dari total poin pukulan di akhir setiap putaran.


//
// Battle Computer techs
// 
// this is the Ship Design entry for selecting no battle computer
COMPUTER_0_NAME    | 
COMPUTER_0_ITEM    |  
COMPUTER_0_BRIEF   | Level serangan 0
COMPUTER_0_DETAIL  |

COMPUTER_1_NAME    | Komputer Pertempuran Mark I
COMPUTER_1_ITEM    | Mark I
COMPUTER_1_BRIEF   | Level serangan I
COMPUTER_1_DETAIL  | Meningkatkan akurasi senjata hingga Level 1.

COMPUTER_2_NAME    | Komputer Pertempuran Mark II
COMPUTER_2_ITEM    | Mark II
COMPUTER_2_BRIEF   | Level serangan II
COMPUTER_2_DETAIL  | Meningkatkan akurasi senjata hingga Level 2.

COMPUTER_3_NAME    | Komputer Pertempuran Mark III
COMPUTER_3_ITEM    | Mark III
COMPUTER_3_BRIEF   | Level serangan III
COMPUTER_3_DETAIL  | Meningkatkan akurasi senjata hingga Level 3.

COMPUTER_4_NAME    | Komputer Pertempuran Mark IV
COMPUTER_4_ITEM    | Mark IV
COMPUTER_4_BRIEF   | Level serangan IV
COMPUTER_4_DETAIL  | Meningkatkan akurasi senjata hingga Level 4.

COMPUTER_5_NAME    | Komputer Pertempuran Mark V
COMPUTER_5_ITEM    | Mark V
COMPUTER_5_BRIEF   | Level serangan V
COMPUTER_5_DETAIL  | Meningkatkan akurasi senjata hingga Level 5.

COMPUTER_6_NAME    | Komputer Pertempuran Mark VI
COMPUTER_6_ITEM    | Mark VI
COMPUTER_6_BRIEF   | Level serangan VI
COMPUTER_6_DETAIL  | Meningkatkan akurasi senjata hingga Level 6.

COMPUTER_7_NAME    | Komputer Pertempuran Mark VII
COMPUTER_7_ITEM    | Mark VII
COMPUTER_7_BRIEF   | Level serangan VII
COMPUTER_7_DETAIL  | Meningkatkan akurasi senjata hingga Level 7.

COMPUTER_8_NAME    | Komputer Pertempuran Mark VIII
COMPUTER_8_ITEM    | Mark VIII
COMPUTER_8_BRIEF   | Level serangan VIII
COMPUTER_8_DETAIL  | Meningkatkan akurasi senjata hingga Level 8.

COMPUTER_9_NAME    | Komputer Pertempuran Mark IX
COMPUTER_9_ITEM    | Mark IX
COMPUTER_9_BRIEF   | Level serangan IX
COMPUTER_9_DETAIL  | Meningkatkan akurasi senjata hingga Level 9.

COMPUTER_10_NAME   | Komputer Pertempuran Mark X
COMPUTER_10_ITEM   | Mark X
COMPUTER_10_BRIEF  | Level serangan X
COMPUTER_10_DETAIL | Meningkatkan akurasi senjata hingga Level 10.

COMPUTER_11_NAME   | Komputer Pertempuran Mark XI
COMPUTER_11_ITEM   | Mark XI
COMPUTER_11_BRIEF  | Level serangan XI
COMPUTER_11_DETAIL | Meningkatkan akurasi senjata hingga Level 11.


//
// Battle Suit techs for ground combat
// 
// this is for default, no-bonus armor that player starts with
BATTLESUIT_0_NAME    | Baju Logam
BATTLESUIT_0_DETAIL  |

BATTLESUIT_1_NAME    | Baju Perang
BATTLESUIT_1_DETAIL  | Baju logam yang tidak hanya melindungi tetapi juga meningkatkan kekuatan. Menambah 10 untuk semua putaran pertempuran darat.

BATTLESUIT_2_NAME    | Rangka Luar Tubuh Berlapis Logam
BATTLESUIT_2_DETAIL  | Baju pergerakan yang lebih canggih yang tidak hanya menambah kekuatan dan meningkatkan pertahanan tetapi juga menawarkan penerbangan terbatas untuk tentara darat. Menambah 20 untuk semua putaran pertempuran darat.

BATTLESUIT_3_NAME    | Baju Logam Berbaterai
BATTLESUIT_3_DETAIL  | Memadukan mobilitas tinggi, penerbangan anti gravitasi, dan piringan logam berat untuk membentuk baju logam yang paling canggih yang tersedia untuk tentara darat. Menambah 30 untuk semua putaran pertempuran darat.


//
// Energy Focus techs for beam weapons
// 
BEAMFOCUS_0_NAME    | Fokus Energi Tinggi
BEAMFOCUS_0_BRIEF   | Menambah +3 untuk jangkauan senjata energi
BEAMFOCUS_0_DETAIL  | Meningkatkan jangkauan penembakan untuk semua senjata energi Increases the firing range of all energy weapons by three.

BEAMFOCUS_1_NAME    | Antarmuka Oracle
BEAMFOCUS_1_BRIEF   | Konsentrasikan senjata sinar, belah perisai musuh
BEAMFOCUS_1_DETAIL  | Koordinasikan semua serangan senjata sinar menjadi satu semprotan simultan berupa api terkonsentrasi, membelah kekuatan perisai musuh.


//
// Biological antidote techs 
// 
BIOANTIDOTE_0_NAME    | Penawar Racun Biologis
BIOANTIDOTE_0_DETAIL  | Mengurangi kerusakan yang berasal dari senjata biologis sebanyak 1M per serangan.

BIOANTIDOTE_1_NAME    | Penawar Universal
BIOANTIDOTE_1_DETAIL  | Mengurangi kerusakan yang berasal dari senjata biologis sebanyak 2M per serangan.


//
// Biological weapon techs 
// 
BIOWEAPON_0_NAME     | Spora Maut
BIOWEAPON_0_BRIEF    | Senjata Biologis
BIOWEAPON_0_DETAIL   | Senjata biologis mengerikan yang bisa mengurangi populasi planet maksimum sebanyak 1M per serangan.

BIOWEAPON_1_NAME     | Virus Kiamat
BIOWEAPON_1_BRIEF    | Senjata Biologis
BIOWEAPON_1_DETAIL   | Senjata biologis menakutkan yang bisa mengurangi populasi planet maksimum sebanyak 2M per serangan.

BIOWEAPON_2_NAME     | Pembasmi Biologis
BIOWEAPON_2_BRIEF    | Senjata Biologis
BIOWEAPON_2_DETAIL   | Senjata biologis menjijikkan yang bisa mengurangi populasi planet maksimum sebanyak 3M per serangan.

//
// Black Hole Generator tech
//
BLACKHOLE_0_NAME     | Pembuat Lubang Hitam
BLACKHOLE_0_DETAIL   | Menciptakan lapangan sub-ruang angkasa yang melipat ruang normal, menciptakan lubang hitam yang menghancurkan 25% sampai 100% kapal musuh atau basis misil, kurang dari 2% per kelas lapisan pelindung.


//
// Bomb weapon tech
//
BOMB_0_NAME     | Bom Nuklir
BOMB_0_BRIEF    | Hanya Untuk Serangan Darat
BOMB_0_DETAIL   | Bom yang meledak untuk 3-12 poin kerusakan hanya pada target di darat.

BOMB_1_NAME     | Bom Fusi
BOMB_1_BRIEF    | Hanya Untuk Serangan Darat
BOMB_1_DETAIL   | Bom yang meledak untuk 5-20 poin kerusakan hanya pada target di darat.

BOMB_2_NAME     | Bom Anti Materi
BOMB_2_BRIEF    | Hanya Untuk Serangan Darat
BOMB_2_DETAIL   | Bom yang meledak untuk 10-40 poin kerusakan hanya pada target di darat.

BOMB_3_NAME     | Bom Omega-V
BOMB_3_BRIEF    | Hanya Untuk Serangan Darat
BOMB_3_DETAIL   | Bom yang meledak untuk 20-50 poin kerusakan hanya pada target di darat.

BOMB_4_NAME     | Bom Neutronium
BOMB_4_BRIEF    | Hanya Untuk Serangan Darat
BOMB_4_DETAIL   | Bom yang meledak untuk 40-70 poin kerusakan hanya pada target di darat.


//
// Cloaking tech
//
CLOAK_0_NAME     | Alat Jubah Pelindung
CLOAK_0_BRIEF    | Membuat kapal hampir tidak tampak
CLOAK_0_DETAIL   | Membuat kapal hampir tidak tampak sampai kapal tersebut menyerang, meningkatkan pertahanan sebanyak +5. Kapal harus melepas alat jubah untuk menyerang dan secara otomatis akan memakai alat jubah lagi pada putaran apapun ketika mereka tidak sedang menyerang.


//
// Cloning tech
//
CLONE_0_NAME     | Kloning
CLONE_0_DETAIL   | Membolehkan kolonis yang sudah terrekayasa secara biologis untuk tumbuh pada laju 1M per 10 BC.

CLONE_1_NAME     | Kloning Canggih
CLONE_1_DETAIL   | Membolehkan kolonis yang sudah terrekayasa secara biologis untuk tumbuh pada laju 1M per 5 BC.


//
// Combat Transporter tech
//
COMBATTRANSPORT_0_NAME     | Alat Transport Pertempuran
COMBATTRANSPORT_0_DETAIL   | Transport yang dilengkapi dengan alat ini memiliki 50% kesempatan untuk menembak dengan sinar kepada permukaan musuh sebelum mereka diserang kapal dan basis misil pertahanan musuh.


//
// Control Environment tech
//
CONTROLENV_0_NAME    | Lingkungan Normal Terkontrol
CONTROLENV_0_ITEM    | Basis Koloni Standar
CONTROLENV_0_BRIEF   | Membolehkan Pengaturan Tanah Planet Normal
CONTROLENV_0_DETAIL  | Mengizinkan kolonisasi planet standar.

CONTROLENV_1_NAME    | Lingkungan Tandus Terkontrol
CONTROLENV_1_ITEM    | Basis Koloni Tandus
CONTROLENV_1_BRIEF   | Membolehkan Pengaturan Tanah Planet Tandus
CONTROLENV_1_DETAIL  | Mengizinkan kolonisasi planet tandus dan tidak begitu keras lingkungannya.

CONTROLENV_2_NAME    | Lingkungan Tundra Terkontrol
CONTROLENV_2_ITEM    | Basis Koloni Tundra
CONTROLENV_2_BRIEF   | Membolehkan Pengaturan Tanah Planet Tundra
CONTROLENV_2_DETAIL  | Mengizinkan kolonisasi planet tundra dan tidak begitu keras lingkungannya.

CONTROLENV_3_NAME    | Lingkungan Mati Terkontrol
CONTROLENV_3_ITEM    | Basis Koloni Mati
CONTROLENV_3_BRIEF   | Membolehkan Pengaturan Tanah Planet Mati
CONTROLENV_3_DETAIL  | Mengizinkan kolonisasi planet mati dan tidak begitu keras lingkungannya.

CONTROLENV_4_NAME    | Lingkungan Api Terkontrol
CONTROLENV_4_ITEM    | Basis Koloni Api
CONTROLENV_4_BRIEF   | Membolehkan Pengaturan Tanah Planet Inferno/Api
CONTROLENV_4_DETAIL  | Mengizinkan kolonisasi planet inferno/api dan tidak begitu keras lingkungannya.

CONTROLENV_5_NAME    | Lingkungan Beracun Terkontrol
CONTROLENV_5_ITEM    | Basis Koloni Beracun
CONTROLENV_5_BRIEF   | Membolehkan Pengaturan Tanah Planet Beracun
CONTROLENV_5_DETAIL  | Mengizinkan kolonisasi planet beracun dan tidak begitu keras lingkungannya.

CONTROLENV_6_NAME    | Lingkungan Terradiasi Terkontrol
CONTROLENV_6_ITEM    | Basis Koloni Terradiasi
CONTROLENV_6_BRIEF   | Membolehkan Pengaturan Tanah Planet Terradiasi
CONTROLENV_6_DETAIL  | Mengizinkan kolonisasi planet terradiasi dan tidak begitu keras lingkungannya.


//
// Deflector Shield tech
//
// this is the entry on Ship Design for selecting no deflector shield
DEFLECTOR_0_NAME      | 
DEFLECTOR_0_ITEM      |   
DEFLECTOR_0_BRIEF     |  
DEFLECTOR_0_DETAIL    | 

DEFLECTOR_1_NAME      | Perisai Deflektor Kelas I

DEFLECTOR_1_ITEM      | Kelas I
DEFLECTOR_1_BRIEF     | Menyerap 1 pukulan
DEFLECTOR_1_DETAIL    | Menyerap 1 poin kerusakan dari semua serangan.

DEFLECTOR_2_NAME      | Perisai Deflektor Kelas II
DEFLECTOR_2_ITEM      | Kelas II
DEFLECTOR_2_BRIEF     | Menyerap 2 pukulan
DEFLECTOR_2_DETAIL    | Menyerap 2 poin kerusakan dari semua serangan.

DEFLECTOR_3_NAME      | Perisai Deflektor Kelas III
DEFLECTOR_3_ITEM      | Kelas III
DEFLECTOR_3_BRIEF     | Menyerap 3 pukulan
DEFLECTOR_3_DETAIL    | Menyerap 3 poin kerusakan dari semua serangan.

DEFLECTOR_4_NAME      | Perisai Deflektor Kelas IV
DEFLECTOR_4_ITEM      | Kelas IV
DEFLECTOR_4_BRIEF     | Menyerap 4 pukulan
DEFLECTOR_4_DETAIL    | Menyerap 4 poin kerusakan dari semua serangan.

DEFLECTOR_5_NAME      | Perisai Deflektor Kelas V
DEFLECTOR_5_ITEM      | Kelas V
DEFLECTOR_5_BRIEF     | Menyerap 5 pukulan
DEFLECTOR_5_DETAIL    | Menyerap 5 poin kerusakan dari semua serangan.

DEFLECTOR_6_NAME      | Perisai Deflektor Kelas VI
DEFLECTOR_6_ITEM      | Kelas VI
DEFLECTOR_6_BRIEF     | Menyerap 6 pukulan
DEFLECTOR_6_DETAIL    | Menyerap 6 poin kerusakan dari semua serangan.

DEFLECTOR_7_NAME      | Perisai Deflektor Kelas VII
DEFLECTOR_7_ITEM      | Kelas VII
DEFLECTOR_7_BRIEF     | Menyerap 7 pukulan
DEFLECTOR_7_DETAIL    | Menyerap 7 poin kerusakan dari semua serangan.

DEFLECTOR_8_NAME      | Perisai Deflektor Kelas IX
DEFLECTOR_8_ITEM      | Kelas IX
DEFLECTOR_8_BRIEF     | Menyerap 9 pukulan
DEFLECTOR_8_DETAIL    | Menyerap 9 poin kerusakan dari semua serangan.

DEFLECTOR_9_NAME      | Perisai Deflektor Kelas XI
DEFLECTOR_9_ITEM      | Kelas XI
DEFLECTOR_9_BRIEF     | Menyerap 11 pukulan
DEFLECTOR_9_DETAIL    | Menyerap 11 poin kerusakan dari semua serangan.

DEFLECTOR_10_NAME     | Perisai Deflektor Kelas XIII
DEFLECTOR_10_ITEM     | Kelas XIII
DEFLECTOR_10_BRIEF    | Menyerap 13 pukulan
DEFLECTOR_10_DETAIL   | Menyerap 13 poin kerusakan dari semua serangan.

DEFLECTOR_11_NAME     | Perisai Deflektor Kelas XV
DEFLECTOR_11_ITEM     | Kelas XV
DEFLECTOR_11_BRIEF    | Menyerap 15 pukulan
DEFLECTOR_11_DETAIL   | Menyerap 15 poin kerusakan dari semua serangan.


//
// Displacement tech
//
DISPLACEMENT_0_NAME   | Alat Pembetulan Letak
DISPLACEMENT_0_BRIEF  | 1/3 dari semua serangan musuh meleset
DISPLACEMENT_0_DETAIL | Secara acak mengangkat kapal yang berperlengkapan keluar dan masuk ruang normal, membolehkan kapal tersebut untuk menghindari 1/3 dari semua serangan senjata tanpa area.


//
// ECM Jammer tech
//
// this is the entry on Ship Design for selecting no ECM Jammer
ECMJAMMER_0_NAME      | 
ECMJAMMER_0_ITEM      | 
ECMJAMMER_0_BRIEF     | Missile Def 0
ECMJAMMER_0_DETAIL    | 

ECMJAMMER_1_NAME      | ECM Jammer Mark I
ECMJAMMER_1_ITEM      | Jammer I
ECMJAMMER_1_BRIEF     | Missile Def 1
ECMJAMMER_1_DETAIL    | Menambahkan 1 level untuk pertahanan melawan serangan misil musuh.

ECMJAMMER_2_NAME      | ECM Jammer Mark II
ECMJAMMER_2_ITEM      | Jammer II
ECMJAMMER_2_BRIEF     | Missile Def 2
ECMJAMMER_2_DETAIL    | Menambahkan 2 level untuk pertahanan melawan serangan misil musuh.

ECMJAMMER_3_NAME      | ECM Jammer Mark III
ECMJAMMER_3_ITEM      | Jammer III
ECMJAMMER_3_BRIEF     | Missile Def 3
ECMJAMMER_3_DETAIL    | Menambahkan 3 level untuk pertahanan melawan serangan misil musuh.

ECMJAMMER_4_NAME      | ECM Jammer Mark IV
ECMJAMMER_4_ITEM      | Jammer IV
ECMJAMMER_4_BRIEF     | Missile Def 4
ECMJAMMER_4_DETAIL    | Menambahkan 4 level untuk pertahanan melawan serangan misil musuh.

ECMJAMMER_5_NAME      | ECM Jammer Mark V
ECMJAMMER_5_ITEM      | Jammer V
ECMJAMMER_5_BRIEF     | Missile Def 5
ECMJAMMER_5_DETAIL    | Menambahkan 5 level untuk pertahanan melawan serangan misil musuh.

ECMJAMMER_6_NAME      | ECM Jammer Mark VI
ECMJAMMER_6_ITEM      | Jammer VI
ECMJAMMER_6_BRIEF     | Missile Def 6
ECMJAMMER_6_DETAIL    | Menambahkan 6 level untuk pertahanan melawan serangan misil musuh.

ECMJAMMER_7_NAME      | ECM Jammer Mark VII
ECMJAMMER_7_ITEM      | Jammer VII
ECMJAMMER_7_BRIEF     | Missile Def 7
ECMJAMMER_7_DETAIL    | Menambahkan 7 level untuk pertahanan melawan serangan misil musuh.

ECMJAMMER_8_NAME      | ECM Jammer Mark VIII
ECMJAMMER_8_ITEM      | Jammer VIII
ECMJAMMER_8_BRIEF     | Missile Def 8
ECMJAMMER_8_DETAIL    | Menambahkan 8 level untuk pertahanan melawan serangan misil musuh.

ECMJAMMER_9_NAME      | ECM Jammer Mark IX
ECMJAMMER_9_ITEM      | Jammer IX
ECMJAMMER_9_BRIEF     | Missile Def 9
ECMJAMMER_9_DETAIL    |Menambahkan 9 level untuk pertahanan melawan serangan misil musuh.

ECMJAMMER_10_NAME     | ECM Jammer Mark X
ECMJAMMER_10_ITEM     | Jammer X
ECMJAMMER_10_BRIEF    | Missile Def 10
ECMJAMMER_10_DETAIL   | Menambahkan 10 level untuk pertahanan melawan serangan misil musuh.


//
// Ecological Restoration techs
//
ECORESTORATION_0_NAME   | Restorasi Ekologis
ECORESTORATION_0_DETAIL | Menghilangkan 2 unit limbah industri dengan biaya 1 BC.

ECORESTORATION_1_NAME   | Restorasi Ekologis yang Ditingkatkan
ECORESTORATION_1_DETAIL | Menghilangkan 3 unit limbah industri dengan biaya 1 BC.

ECORESTORATION_2_NAME   | Restorasi Ekologis yang Dikuatkan
ECORESTORATION_2_DETAIL | Menghilangkan 5 unit limbah industri dengan biaya 1 BC.

ECORESTORATION_3_NAME   | Restorasi Ekologis yang Dimajukan
ECORESTORATION_3_DETAIL | Menghilangkan 10 unit limbah industri dengan biaya 1 BC.

ECORESTORATION_4_NAME   | Restorasi Ekologis Lengkap
ECORESTORATION_4_DETAIL | Menghilangkan 20 unit limbah industri dengan biaya 1 BC.


//
// Energy Pulsar techs
//
PULSAR_0_NAME     | Pulsar Energi (Pulsar adalah sumber radio berdenyut dari bintang)
PULSAR_0_BRIEF    | Mengembang untuk mengeluarkan 1-5 pukulan
PULSAR_0_DETAIL   | Sebuah modifikasi mesin potensial yang menciptakan semburan melingkar mendadak dari suatu energi yang menghantam semua kapal yang menempelinya hingga 5 poin kerusakan +1 per dua kapal.

PULSAR_1_NAME     | Pulsar Ion
PULSAR_1_BRIEF    | Mengembang untuk mengeluarkan 2-10 pukulan
PULSAR_1_DETAIL   | Sebuah modifikasi mesin kuat yang mampu menciptakan semburan melingkar dari energi phase yang menghantam semua kapal yang menempelinya hingga 10 poin kerusakan +1 per kapal yang menyerang.

//
// Engine techs
//
ENGINE_0_NAME    | Mesin Retro 
ENGINE_0_DETAIL  | Menggerakkan kapal pada Lipatan %1, dan memungkinkan manuverabilitas maksimum dari kelas I dalam pertempuran.
ENGINE_0_ITEM    | Retros
ENGINE_0_ITEM2   | Kelas 1
ENGINE_0_BRIEF   | Lipatan 1  Def %1
ENGINE_0_BRIEF2  | Kecepatan Pertempuran %1

ENGINE_1_NAME    | Mesin Nuklir
ENGINE_1_DETAIL  | Menggerakkan kapal pada Lipatan %1, dan memungkinkan manuverabilitas maksimum dari kelas II dalam pertempuran.
ENGINE_1_ITEM    | Nuclear
ENGINE_1_ITEM2   | Kelas 2
ENGINE_1_BRIEF   | Lipatan 2  Def %1
ENGINE_1_BRIEF2  | Kecepatan Pertempuran %1

ENGINE_2_NAME    | SubLight Drives 
ENGINE_2_DETAIL  | Menggerakkan kapal pada Lipatan %1, dan memungkinkan manuverabilitas maksimum dari kelas III dalam pertempuran.
ENGINE_2_ITEM    | SubLight
ENGINE_2_ITEM2   | Kelas 3
ENGINE_2_BRIEF   | Lipatan 3  Def %1
ENGINE_2_BRIEF2  | Kecepatan Pertempuran %1

ENGINE_3_NAME    | Fusion Drives 
ENGINE_3_DETAIL  | Menggerakkan kapal pada Lipatan %1, dan memungkinkan manuverabilitas maksimum dari kelas IV dalam pertempuran.
ENGINE_3_ITEM    | Fusion
ENGINE_3_ITEM2   | Kelas 4
ENGINE_3_BRIEF   | Lipatan 4  Def %1
ENGINE_3_BRIEF2  | Kecepatan Pertempuran %1

ENGINE_4_NAME    | Mesin Impuls
ENGINE_4_DETAIL  | Menggerakkan kapal pada Lipatan %1, dan memungkinkan manuverabilitas maksimum dari kelas V dalam pertempuran.
ENGINE_4_ITEM    | Impulse
ENGINE_4_ITEM2   | Kelas 5
ENGINE_4_BRIEF   | Lipatan 5  Def %1
ENGINE_4_BRIEF2  | Kecepatan Pertempuran %1

ENGINE_5_NAME    | Ion Drives 
ENGINE_5_DETAIL  | Menggerakkan kapal pada Lipatan %1, dan memungkinkan manuverabilitas maksimum dari kelas VI dalam pertempuran.
ENGINE_5_ITEM    | Ion
ENGINE_5_ITEM2   | Kelas 6
ENGINE_5_BRIEF   | Lipatan 6  Def %1
ENGINE_5_BRIEF2  | Kecepatan Pertempuran %1

ENGINE_6_NAME    | Mesin Anti Materi
ENGINE_6_DETAIL  | Menggerakkan kapal pada Lipatan %1, dan memungkinkan manuverabilitas maksimum dari kelas VII dalam pertempuran.
ENGINE_6_ITEM    | Anti-Matter
ENGINE_6_ITEM2   | Kelas 7
ENGINE_6_BRIEF   | Lipatan 7  Def %1
ENGINE_6_BRIEF2  | Kecepatan Pertempuran %1

ENGINE_7_NAME    | Inter-Phased Drives
ENGINE_7_DETAIL  | Menggerakkan kapal pada Lipatan %1, dan memungkinkan manuverabilitas maksimum dari kelas VIII dalam pertempuran.
ENGINE_7_ITEM    | Inter-Phased
ENGINE_7_ITEM2   | Kelas 8
ENGINE_7_BRIEF   | Lipatan 8  Def %1
ENGINE_7_BRIEF2  | Kecepatan Pertempuran %1

ENGINE_8_NAME    | Hyper Drives
ENGINE_8_DETAIL  | Menggerakkan kapal pada Lipatan %1, dan memungkinkan manuverabilitas maksimum dari kelas IX dalam pertempuran.
ENGINE_8_ITEM    | Hyper
ENGINE_8_ITEM2   | Kelas 9
ENGINE_8_BRIEF   | Lipatan 9  Def %1
ENGINE_8_BRIEF2  | Kecepatan Pertempuran %1


//
// Fuel Range techs
//
FUELRANGE_0_NAME   | Sel Bahan Bakar
FUELRANGE_0_DETAIL | Penyimpanan bahan bakar memungkinkan kapal untuk bergerak hingga sejauh %1 tahun cahaya dari planet koloni.

FUELRANGE_1_NAME   | Sel Bahan Bakar Hydrogen
FUELRANGE_1_DETAIL | Penyimpanan bahan bakar memungkinkan kapal untuk bergerak hingga sejauh %1 tahun cahaya dari planet koloni.

FUELRANGE_2_NAME   | Sel Bahan Bakar Deuterium
FUELRANGE_2_DETAIL | Penyimpanan bahan bakar memungkinkan kapal untuk bergerak hingga sejauh %1 tahun cahaya dari planet koloni.

FUELRANGE_3_NAME   | Sel Bahan Bakar Irridium
FUELRANGE_3_DETAIL | Penyimpanan bahan bakar memungkinkan kapal untuk bergerak hingga sejauh %1 tahun cahaya dari planet koloni.

FUELRANGE_4_NAME   | Kristal Dotomite
FUELRANGE_4_DETAIL | Penyimpanan bahan bakar memungkinkan kapal untuk bergerak hingga sejauh %1 tahun cahaya dari planet koloni.

FUELRANGE_5_NAME   | Sel Bahan Bakar Uridium
FUELRANGE_5_DETAIL | Penyimpanan bahan bakar memungkinkan kapal untuk bergerak hingga sejauh %1 tahun cahaya dari planet koloni.

FUELRANGE_6_NAME   | Sel Bahan Bakar Reajax II
FUELRANGE_6_DETAIL | Penyimpanan bahan bakar memungkinkan kapal untuk bergerak hingga sejauh %1 tahun cahaya dari planet koloni.

FUELRANGE_7_NAME   | Kristal Trilithium 
FUELRANGE_7_DETAIL | Penyimpanan bahan bakar memungkinkan kapal untuk bergerak hingga sejauh %1 tahun cahaya dari planet koloni.

FUELRANGE_8_NAME   | Sel Thorium
FUELRANGE_8_DETAIL | Penyimpanan bahan bakar memungkinkan kapal untuk bergerak pada jarak sejauh apapun dari planet koloni.


//
// Future Computer techs
//
FUTURECOMP_0_NAME    | Komputer Masa Depan I
FUTURECOMP_0_DETAIL  | Peningkatan Umum dalam Teknologi Komputer.

FUTURECOMP_1_NAME    | Komputer Masa Depan II
FUTURECOMP_1_DETAIL  | Peningkatan Umum dalam Teknologi Komputer.

FUTURECOMP_2_NAME    | Komputer Masa Depan III
FUTURECOMP_2_DETAIL  | Peningkatan Umum dalam Teknologi Komputer.

FUTURECOMP_3_NAME    | Komputer Masa Depan IV
FUTURECOMP_3_DETAIL  | Peningkatan Umum dalam Teknologi Komputer.

FUTURECOMP_4_NAME    | Komputer Masa Depan V
FUTURECOMP_4_DETAIL  | Peningkatan Umum dalam Teknologi Komputer.

FUTURECOMP_5_NAME    | Komputer Masa Depan VI
FUTURECOMP_5_DETAIL  | Peningkatan Umum dalam Teknologi Komputer.

FUTURECOMP_6_NAME    | Komputer Masa Depan VII
FUTURECOMP_6_DETAIL  | Peningkatan Umum dalam Teknologi Komputer.

FUTURECOMP_7_NAME    | Komputer Masa Depan VIII
FUTURECOMP_7_DETAIL  | Peningkatan Umum dalam Teknologi Komputer.

FUTURECOMP_8_NAME    | Komputer Masa Depan IX
FUTURECOMP_8_DETAIL  | Peningkatan Umum dalam Teknologi Komputer.

FUTURECOMP_9_NAME    | Komputer Masa Depan X
FUTURECOMP_9_DETAIL  | Peningkatan Umum dalam Teknologi Komputer.


//
// Future Construction techs
//
FUTURECONST_0_NAME    | Konstruksi Masa Depan I
FUTURECONST_0_DETAIL  | Peningkatan Umum dalam Teknologi Konstruksi.

FUTURECONST_1_NAME    | Konstruksi Masa Depan II
