// race-specific variables (must start with _)
_empire                           | Clan Fiershan, Clan Prrshan, Clan Meowshan, Clan Clawshan, Clan Hisshan
GAME_OVER_REBELLION_WIN2          | I tesori di questa galassia sono a Sua disposizione!#Il tempo dei Khanati è finalmente iniziato. Fin dall'inizio della vostra incursione nella galassia inesplorata, avete incontrato civiltà spaziali che cercavano i propri obiettivi nel mare di stelle. Eppure, nonostante le loro culture avanzate e le innovazioni tecnologiche, ora sono tutti caduti davanti a voi e alla vostra impareggiabile ferocia. Inizialmente eravate più che contenti di lasciare che queste civiltà continuassero così com'erano, dando alla vostra gente infinite fonti di tesori mozzafiato da conquistare per conto proprio nelle vostre incursioni. Ma quando hanno deciso di formare una nuova unione in quello che era senza dubbio un tentativo di impedire al Suo popolo di continuare il suo stile di vita, avete preso l'unica risposta adatta a coloro che avrebbero osato opporsi a voi.#Con la vostra astuzia, abilità e tenacia sul campo di battaglia contro le flotte dei vostri imperi rivali, la vostra ribellione contro il nuovo ordine galattico si è conclusa con una vittoria completa e totale. Il bottino di migliaia di mondi è aperto e indifeso, poiché coloro che lo avevano custodito sono stati rimossi dal vostro cammino con le vostre stesse mani. Li prenda, Khan Dorato! Aggiunga al Suo tesoro e prepari la Sua gente per il bottino che si trova nelle galassie oltre...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Il bottino di questa galassia per Lei e i Suoi alleati...#È stata una decisione facile alzare il Suo stendardo in ribellione contro la Nuova Repubblica. Sapeva che la galassia pensava poco dalla sua gente e del loro modo di vivere. Mentre le storie della vostra abilità marziale e delle terrificanti incursioni che avete eseguito sugli imperi rivali si sono diffuse in tutta la galassia, sapeva che un ordine galattico unito avrebbe rappresentato una minaccia insormontabile per voi una volta formato. Come un vero leader delle leggende del Suo antico popolo, ha agito più velocemente di quanto altri potessero prevedere e ha colpito questo ordine in guerra aperta. E quando lo ha fatto, ha impedito ai Suoi nemici di trovare l'appoggio di cui avrebbero avuto bisogno per sopraffare le flotte del Khanato.#Per il vostro grande piacere, avete trovato altri insoddisfatti della forma che il futuro stava iniziando a prendere e, in cambio di una piccola parte del bottino, avete stretto una nuova alleanza che vi ha aiutato ad affermare il dominio sulle forze tristemente mal preparate che si sono riunite stessi contro di voi. I vostri rivali sono stati completamente annientati e gli alleati che vi siete creati non avranno alcuna possibilità contro la vostra forza se mai cessassero di esservi utili. Tutto ciò che resta ora è che voi prendiate ciò per cui avete lottato così duramente...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Il suo bottino, almeno, sarà al sicuro in questa nuova era...#È uno shock per nessuno che il Consiglio Galattico non riesca a vedere la Sua grandezza e si rifiuti di concederLe la guida della Nuova Repubblica. Le vostre incursioni su altri imperi hanno reso la Sua gente impopolare e pochi sono disposti a guardare oltre le vostre norme culturali per comprendere la Sua gente a un livello veramente significativo. Ma sia per ingenuità che per il senso di genuinità che ha vinto tanti altri alla loro causa, è riuscito a trovare un terreno comune con la razza %6, e sapendo che sarebbe stata la mossa migliore per il Suo popolo, ha aiutato a eleggere loro come leader della prossima età.#In segno di gratitudine e gentilezza, è stato in grado di garantire la sicurezza del Suo bottino senza che Lei debba pagare riparazioni a coloro a cui li avevi sottratto grazie alla generosità dei Suoi alleati %6. Nel mediare questa pace, ha accettato con riluttanza di porre fine alle vostre incursioni e ora deve esplorare nuovi percorsi per imbrigliare i desideri della Sua gente. Ma sicuramente questo è meglio del futuro di certo annientamento che affrontereste se avesse scelto di ribellarsi al Suo alleato...
GAME_OVER_COUNCIL_WIN2            | Questa galassia e i suoi tesori appartengono a Lei e solo a Lei!#Il giorno più grande nella storia del Suo popolo è finalmente arrivato: il Khan Dorato è diventato il Signore della Nuova Repubblica. Fin dall'inizio, la Sua gente si è fatta una terrificante reputazione come predoni violenti. Sebbene in passato siano state lanciate molte proteste contro di Lei, tutte le voci tacciono mentre il Consiglio Galattico riconosce la Sua forza insormontabile. Sicuramente alcuni degli imperi che L'hanno aiutato a eleggersi sperano di diventare autentici amici del Suo popolo, ma sa che la maggior parte di quelli che L'hanno messo qui lo hanno fatto per paura di suscitare la Sua ira. E non lo avrebbe in nessun altro modo!#Da oggi in poi, tutti gli imperi della Nuova Repubblica vi pagheranno un tributo. E per il crimine di aver tentato di opporsi a Lei nelle camere del consiglio, gli imperi che hanno votato contro la Sua ascensione saranno per sempre soggetti alle incursioni del Suo popolo, senza mai più ottenere il potere di cui avrebbero bisogno per insorgere contro di Lei. La galassia appartiene ai Fiershan e continuerà a rimanervi sottomessa fino alla fine dei tempi. Salve alla nuova era, e salve al Khan Dorato!
GAME_OVER_COUNCIL_MILITARY_WIN2   | Il bottino di questa galassia per Lei e i Suoi alleati...#Ora il Suo regno glorioso può davvero iniziare. La leggendaria abilità del Suo popolo sul campo di battaglia e le storie delle terribili incursioni che avete effettuato L'hanno portato a diventare il Maestro della Nuova Repubblica. Ma anche se molti temevano di suscitare la Sua ira abbastanza da soddisfare i Suoi desideri, c'erano ancora quelli troppo sciocchi per lasciarsi influenzare dalle Sue dimostrazioni di potere. Desiderosi di impossessarsi del loro tesoro e di aggiungerlo alle loro orde in crescita, il Suo popolo è insorto per schiacciare la ribellione e reclamare le sue ricompense, questa volta con il sostegno dell'intero esercito unito della Nuova Repubblica che ora governa.# La ribellione era finita prima ancora di iniziare, e gli eserciti degli usurpatori furono sconfitti con il minimo sforzo. Con i loro tesori raccolti, i Fiershan frugano tra le spoglie, gettando via la spazzatura da dare come ricompensa agli imperi minori che vi servono. Con i ribelli che servono come esempio di ciò che accade quando è scontento, ci sono poche ragioni per credere che qualsiasi rivale si farà mai conoscere di nuovo. Rivolga ora la Sua attenzione ad altre galassie, poiché hanno prede sfortunate in attesa di essere cacciate e tesori ancora più scintillanti da aggiungere alla vostra collezione...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | I Suoi preziosi tesori ora liberi di essere presi...#Sebbene inizialmente Lei fosse in grado di usare la paura per schiacciare il dissenso dei Suoi rivali e diventare il Maestro della Nuova Repubblica, c'erano alcuni abbastanza coraggiosi da opporsi a Lei e al futuro che immaginava. Il Suo popolo era orgoglioso e forte, decorato con il bottino di innumerevoli incursioni e desideroso di ottenere più tesori da un'altra inevitabile conquista. Ma non vedevano, o non potevano, vedere il pericolo rappresentato dalla ribellione e il coraggio incrollabile mostrato dai ribelli si sarebbe rivelato essere la vostra fine.#Sebbene vantaste numeri superiori nell'utilizzare le flotte di coloro che avevate combattuto fino alla sottomissione, non è stato in grado di impedire all'insurrezione di destabilizzare la repubblica e di farLa cadere dal trono. Prima caddero i Suoi subordinati, seguiti a breve dalla Sua gente. Sembra che alla fine la galassia stessa abbia scelto contro il futuro che avevate pianificato. Dopotutto, cos'è la volontà di un popolo, per quanto forte, contro la mano indomabile del destino...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | l'insaziabile avidità dei Fiershan inghiotte
GAME_OVER_REBELLION_LOSS3         | la brama di tesoro dei Fiershan
