// race-specific variables (must start with _)
_empire                           | Psaylon Cumhuriyeti, Aklon Cumhuriyeti, Psikon Cumhuriyeti, Beynon Cumhuriyeti, Nörlon Cumhuriyeti
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | İstediğin gibi olmasa da, barış...#Galaktik Konseyin lideri olmamanız için oy kullanmaları, Psaylonlar arasında coşkuyla karşılanan bir karar değildi. Neyse ki, bu sonucu öngörecek kadar akıllıydın ve mevcut sonucun çok daha kötüsünden kaçınmak için ustaca bir manevra yaptın: şimdi tüm galaksinin geleceğini sizin yerinize %6 ırkı belirleyecek.#Bu yeni galaktik düzenin ilk gününe Mentar güneşi ile birlikte başlarken, bu olayları bu sona yönlendirme usulün konusunda yine de bir zafer duygusu hissediyorsun. Müttefiklerin bu görev için yeterince bilge olduklarını gösterdiler ve barışı hiç kimse senin halkın kadar sevdiğini iddia edemezse de, bir şekilde, nihai hedefinize ulaşılması için %8 desteğine güvenebileceğini umuyorsun...
GAME_OVER_REBELLION_LOSS2         | Cumhuriyet şimdi mahvolmuş durumda...#Görünüşe göre kaderin kendisi, serüveninin en başından beri sizi engellemek için yola çıkmış. Uzayda genişleyen bir imparatorluğu sürdürmenin getirdiği zorluklar ve garip uzaylı güçlerin sürekli savaş tehdidiyle başa çıkmak zaten yeterince zordu, ancak göz ardı edilemeyecek son meydan okuma, Galaktik Konsey'in savaş sevdalısı %6 ırkını Yeni Cumhuriyetin Efendisi olarak seçmesiyle geldi. Galaksinin, böylesine vahşi bir halkın yönetiminde barış içinde kalamayacağını bilerek, halkın en nihayetinde onların sonu olacak bir yolda omuz omuza yürüdüler.#Halkın başka hiçbir türde olmayan bir zekâya sahipti ve savaşta kendilerine yardımcı olacak harika ve yıkıcı teknolojiler üretebildiler. Bununla birlikte, Yeni Cumhuriyet'in birleşik gücü altından kalkamayacağınız kadar fazlaydı ve en sonunda, düşmanların sayısı üstün teknolojinin üstesinden gelemeyeceği düzeye ulaştığında, filolarınız küle dönüştü. Şimdi, kaderin çarkı son turunu atmaya hazırlanırken, Psaylon Cumhuriyeti'nin son kalıntıları galaksiden silinmek üzere. Yaklaşan birçok savaşın ilkinde kurban olan halkın daha parlak bir geleceğe rehberlik etmek üzere ortalarda olamayacağından, bu galaksinin gerçek barışın getirebileceği faydaları bilmesi pek mümkün değil...
GAME_OVER_REBELLION_WIN2          | Barış, ama korkunç bir bedelle...#Kısa ömürlü Yeni Cumhuriyet artık yok! Tüm çabanı bu galaksideki imparatorlukları uyum içinde bir arada yaşamaya yönlendirmeye harcasan da, imparatorlukların kendileri, herkes için barış hayalinizi gerçekleştirmendeki en büyük engel olduklarını gösterdiler. Sayısız diplomasi girişiminizi sadakatsizlik ve hainlikle karşılayarak, rakipleriniz sizi tek çıkışı olan bir konuma sürüklediler. Şimdi filoları, dünyaları ve imparatorlukları mahvolmuş durumda, çünkü tüm galaksinin birleşik gücü bile Psaylonların üstün zekâsı ve teknolojik gücüyle boy ölçüşemezdi.#Yine de kalbin haklı olarak sızlıyor. Tarihçilerinizin kuşkusuz eski düşmanlarınıza karşı nazik davranacak olmaları, bu eşsiz kültürlerin her birinin, geleceğin şekillendirilmesine ellerinden geleni eklemeye fırsat bulamadan yok edildikleri gerçeğini değiştirmez. En azından Yüksek Müsteşar, halkınız güvende ve geleceğin bağlı kalacağı tek öğreti barış olacak. Tabii, erişiminiz bu galaksinin ilerisine ve bilinmeyen ötelerde sizi bekleyen geleceğe uzanana kadar...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Barış, ama ağır bir bedelle...#Uzun zaman önce halkın kalplerinde umutla gece gökyüzüne baktı ve tüm ırkın, göksel komşularıyla uyum içinde yaşayan devasa bir uzay imparatorluğu kurma gayesinde birleşti. Seferin sona ererken, kendini hayalinizi hiç beklemediğin ve engellemeye çok çalıştığın bir şekilde gerçekleştirmiş buldun. Yeni bir galaktik imparatorluklar federasyonu kurulmuş olsa da, en yüksek pozisyonuna şiddet meraklısı bir lider atama kararları sizi barış için son bir kez savaşmaya zorladı. Cesurca akıntıya karşı durup bu despot rejime karşı savaş ilan ettiniz ve her şeye rağmen başarılı oldunuz.#Kader bu çabanızda size gülümsedi, çünkü cesaretiniz ve zafere karşılık vaat ettiğiniz sükunet başkalarına da ilham oldu ve bu mücadelede yalnız kalmadınız. Müttefiklerin, savaşın şiddetine ürkütücü bir şevkle atıldılar ve birlikte galaksiyi sonsuz bir savaşın içine atacak olanları ezmeyi ve bu galaksiye bir kalemde herkes için barış getirmeyi başarabildiniz. Yeni dönem şimdi başlıyor, Yüksek Müsteşar ve sadece onu sizinle birlikte inşa etmeyi seçenlerin, onun ilkelerine, halkın kadar uzun süre bağlı kalmayı da seçmelerini umuyorsun...
GAME_OVER_COUNCIL_WIN2            | Sonunda barış, herkesin yararına!#Sonunda, arayışın görkemli sonucuna ulaştı! Uzaya atıldığınızdan bu yana geçen uzun yıllarda karşılaştığınız güçlüklerin, aklına bile gelemeyecek kadar zor olduklarını gördün. Halkın uzun zamandır barış içinde bir arada yaşamanın tek doğru yol olduğunu biliyor olsa da, yolculuğunuzda karşılaştığınız güçlü imparatorlukların ikna edilmeye ihtiyacı vardı. Uzmanca bir diplomasi ve muazzam bir sabır sayesinde girişimlerinde başarılı oldun ve şimdi bu galaksinin efendisi olarak rakipsizsin.#Şimdi yeni bir test başlayacak. Psaylon Cumhuriyeti galaksinin liderliğini üstlendiğinde, uygarlığınız diğerlerine örnek olacak. Eski gerilimler ve kültürel farklılıklar yüzeye çıkıp elde etmek için çok uğraştığınız barışı sınayacağından gelecekte sizi ek zorluklar bekliyor. Ama biliyorsunuz ki, halkın vizyonlarına sadık kaldıkları sürece, bu galaksideki hiçbir canlının savaşın dehşetini bir daha yaşamasına gerek olmayacak! 
GAME_OVER_COUNCIL_MILITARY_WIN2   | Sonunda barış, buruk da olsa...#Yeni Cumhuriyet'in liderliğini üstlendiğinde, bunun galaksi için şiddet ve savaşın barış ve refah karşısında pes edeceği yeni bir başlangıç anlamına geleceğini umuyordun. Bununla birlikte, galaksinin en vahşi sakinleri hükmünü reddederek bilinen tüm imparatorlukları bir başka korkunç savaşa sokmak için isyana kalkıştığında umutların hızla suya düştü. Barış için son şansın gözlerinin önünden kayıp gittiğini görünce, verebileceğin tek kararı, Yeni Cumhuriyet'in tüm gücüyle onların saldırganlığına karşılık vermek kararını verdin ve galaksiye düzeni geri getirmek için sen ve müttefiklerin birlikte filolarınızı gönderdiniz.#Asiler tuzla buz olduğunda, sonunda barışın hakkı verilebildi. Bu kadar çok sesin, önünüzdeki parlak geleceği şekillendirmeye yardım etme hakkından feragat etmeleri üzücü, ancak kalbinde ağır bir yük olan bu kedere fazla zaman ayıramayacaksın. Kaderlerini kendileri seçtiler ve kaderleri onlara ulaştırıldı. Şimdi, Yüksek Müsteşar, yeni dönem senin liderliğinde başlıyor. Daha yapılacak çok iş var...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Yeni Cumhuriyet harap olmuş vaziyette...#Başına korkunç bir kader geldi. Tam arayışınız nihayet sona erip, uzun emeklerinizin meyvelerini toplamak üzereyken, barışçıl bir imparatorluklar federasyonu hayaliniz elinizden cebren alındı. Galaktik Konsey'deki birçok kişinin uyumu ve refahı istemelerine ve galaksiyi böyle bir geleceğe götürecek kişinin sen olduğunu görmelerine rağmen, şiddete en yatkın olanlar, ilkel yırtıcılığa içgüdüsel ihtiyaçlarını kenara kaldırmak istemediklerinden, aşağılık bir isyan çıktı. Kendi ideallerinize karşı gelerek, Yeni Cumhuriyet'in güçlerini bu tehdide son vermeye yönlendirsen de böylesinme ezici bir güce karşı zafer kazanamadın.#Gururlu ve asil uygarlığınız tamamen yok edildiğinden, şimdi galaksi eskisinden çok daha boş. Düşmanlarınız ilkelerinizi zayıf ve idealist diye alaya alırken, tarihin de başarısızlığınız hakkında en az bu kadar acımasız olacağını biliyorsun. Geride kalanlar zorbalık ve savaş altında titreyecek ve barışın yerine şiddet hüküm sürecek. Bu uzun ve zorlu mücadelenin en istemediğin sonu bu ve en azından senin için hikâye çok talihsiz bir sona erişti...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | Psaylonların eşsiz zekâsının
GAME_OVER_REBELLION_LOSS3         | Psaylonların barış için yılmaz arzusu galaksiyi uyuştururken
