// race-specific variables (must start with _)
_empire                           | Sakkran Kurulu, Sürünan Kurulu, Zoran Kurulu, Yırtaran Kurulu, Reksan Kurulu
MAIN_ADVISOR_COUNCIL_RESISTED     | Şu iğrenç isyancılar! Var olmalarına bile zar zor tahammül ediyorduk, şimdi de isyan mı etmek istiyorlar? Onları yok etmemiz için bize emir verin: onlara ait bir sürü dünyaya Kurul'un bayrağını dikebiliriz! 
 

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Tüm dünyaların kaderi mühürlendi...#Bir zamanlar galaksiye serpilen sayısız gezegenin umuduydun. Ana dünyanızdan başlayarak, tek endişen, keşfedeceğin her dünyanın benzersiz ekolojilerini öğrenmek ve mükemmelleştirmekti. Bilgin arttıkça, halkının coşkusu da arttı ve tüm Sakkraların ortak rüyası bir süreliğine gerçekleşecek gibi görüntü. Topraklarını mümkün olduğunca genişleten düşmanlarının açgözlülüğü olmasaydı, gerçekten de mümkündü bu.#Yerleşimlerin son gezegene kadar fethedildi: Biyomlarına gösterdiğin sevgi dolu özen, yıldızlararası rakiplerinin kana susamışlığınca çiğnendi. Son karakolların, etrafında alevlere kapılmışken ve kaçınılmaz ölümün ufuktayken, bir anlığına sizi alt eden aptalların, ilerde cehaletle kendilerinin sandıkları dünyalarla uyum içinde yaşamayı öğrenip öğrenemeyeceklerini düşünüyorsun. Ama bu sorunun muhtemel cevabı, Baş Şef, üzerinde durulmayacak kadar korkunç...
GAME_OVER_MILITARY_WIN2           | Tüm dünyaların kurtuluşu nihayet elinin altında!#Zafer! Halkın ve galaksideki tüm gezegenler için zafer! Sakkran Kurulu, muhafızlık edeceği yeni ortamlar aramak üzere kendi dünyasından dışarı çıktığı günden beri, halkının dileğinden kaçınılamayacağını biliyordun. Rakiplerinin galaksideki ekolojik sistemlerin güvenliğine öncelik vermenin hikmetinini görememeleri bir hataydı, üstüne bir de güçlerinin sizi hedefinize ulaşmaktan alıkoymak için yeterli olduğunu düşünmeleri akıl almaz bir aptallıktı.#En basit ve en doğrudan hareket tarzını benimseyip, rakiplerinin oluşturduğu tehdidi ortadan kaldırmayı seçerek, böylece onların eften püften amaçlar uğruna gaddarca mahvettikleri biyosferlerin daha fazla gereksiz acı çekmelerini önledin! Artık size engel olacak kimse kalmadığı için onların neden olduğu hasarları onarmak için sonsuz zamanınız var. Halkın bu galakside bir nehir gibi akarken, her gezegen gösterdiğin yolda, barış içinde gelişmeyi bekleyen birer çay olacak. Alnının teriyle kazandığın meyvelerin tadını çıkar! Ve sonsuza kadar önünüzdeki yolda Sakkraları bekleyen engebelerin tadını çıkarın!
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Tüm dünyaların kurtuluşu yakında elinin altında olacak...#Başarmayı en umduğun son bu olmasa da, hak ettiğin zaferin tadını çıkarırken gülümsemeden edemiyorsun. Bu galakside, sizin felsefenizin hikmetini görmezden gelerek, gezegenlerini sadece sömürülecek kaynaklar olarak gören başka ırklar olacağını biliyordun. Halkın, ne kadar küçük olursa olsun, her gezegenin mukaddesliğini savunmak için savaşmaya hazırdı. Artık düşmanların tuzla buz oldular ve hiç bir ekolojik sistemin hassas dengelerinin onlara zararı dokunacakların kaprislerine asla boyun eğmeyeceğini biliyorsun.#Mesajınızı dikkate alıp öğretmeden duramayacağınız ilkeler vesilesiyle dünyalarına taze bir saygıyla davranmaya istekli müttefikler bulmaktan memnundun. Şaşırtıcı bir şekilde, kuşkusuz kendi çıkarlarını savunmak için olsa da, sizinle birlikte silaha sarılarak, sizin çıkarlarınızı da savunmana yardımcı oldular. Artık sayısız ve saygısız savaşın neden olduğu hasarları iyileştirmeye uğraşabilirsiniz. Zamanla, arkadaşlarınızı kendi dünyalarını da iyileştirmeye ikna edebileceğini ummaktan başka yapacak bir şey yok...
GAME_OVER_COUNCIL_LOSS2           | Tüm dünyaların kaderi mühürlendi...#Rakip imparatorlukların entrikalarının mahvınıza yol açtı. Tek tek her gezegenin ekosistemlerini mükemmelleştirerek galaksiyi dolaşırken, başkalarının da hak iddia ettiği ve erişiminin ötesinde kalacak dünyalara denk gelmen kaçınılmazdı. Uzaylı güçlerin pençesi altında kalsalar bile, diplomatik ve politik manevralar sayesinde, bu gezegenlerin ortamlarını kurtarmaya muhakkak muktedir olabilirdin. Ya da sana öyle geldi.#Şimdi Galaktik Konsey dağıldı ve Yeni Cumhuriyet olarak %7 önderliğinde yeniden şekillendi. Diğer imparatorlukları sizin anlayışınızdaki hikmete ikna edememiş olman şüphesiz hem size hem de umutsuzca kurtarmaya çalıştığınız dünyalara vahim sonuçlar getirecek. Olsa olsa yeni yönetimin halkına karşı merhametli olmasını umabilirsin. Sadece halkının değil, galaksideki her bir gezegenin iyiliği için de...
GAME_OVER_REBELLION_LOSS2         | Tüm dünyaların kaderi mühürlendi...#Azim ve idealizmin seni bu sonuca götürdü. Düşmanların ordularınızı ezdi ve dünyalarınıza şimdiye kadar düşünülemez şeyler yaptılar. Bir zamanlar, onlarla politik oyunlarını oynayarak, düşüncelerini, felsefenize daha uygun olacak şekilde değiştirebileceğini düşünüyordun. Ama şeytani %6 ırkı Yeni Cumhuriyet'in kontrolünü ele geçirdiğinde, barışçıl müzakerenin imkansız hale geleceğini biliyordun. Ekolojik dengenin her zaman savunucusu olan halkın, galaksideki gezegenlerin kötü muamele görmesini önlemek için silaha sarılmaya yemin etti ve bunu yaparken ölmeye hazırdı.#Ve öldüler de: dünyalarınız fethedildi ve her biri üzerindeki etkileyici eserlerin tersine çevrildi. Halkın son kalelerinde son direnişlerini yapmak için geri çekilmek zorunda kalıp, orada ideallerinizi savunurken öldüler. Ekolojik dengenin en ateşli inananları olarak, yok oluşunuzun sadece halkın için değil, tüm galaksi için de ağır bir kayıp olduğu sonradan görülecektir...
GAME_OVER_REBELLION_WIN2          | Tüm dünyaların kurtuluşu nihayet elinin altında!#Bu, Sakkran Kurulunun günü! Yıldızlararası imparatorluğunuzu kurarken karşılaştığın her engeli aşarken, ilk görevinin kendinizin bildiğin dünyaların doğal ihtişamını korumak olduğunu bir kez bile unutmadın. Sana karşı çıkmaya cüret eden herkese, yollarının yanlışlığı çabucak gösterildi ve %6 ırkına Yeni Cumhuriyet'in liderliği verildiğinde de, tüm galaksiye tercih edilmelerinin ne kadar yanlış olduğunu mümkün olan en doğrudan şekilde göstermeye karar verdin.#Artık iradene karşı çıkacak hiçbir düşman ve üzerine titrediğin gezegenlere zarar verebilecek aptallar nefes almıyor. Halkın, bütün dünyaların onlara sunacağı ekolojik bulmacalara çözümler ararken istediği kadar zaman harcayabilir. Ve rehberlik eden elinin altında galaksinin tamamı mükemmel bir doğal uyuma kavuştuğunda, diğer galaksilerdeki dünyaları da korumanız altına almaya hazır olacaksınız. Yaşasın Sakkran Kurulu!
GAME_OVER_REBEL_ALLIANCE_WIN2     | Tüm dünyaların kurtuluşu yakında elinin altında olacak...#Bu olaylar silsilesinin sürpriz olduğunu söylemek oldukça yetersiz kalır. İlk başta, imparatorluklar arası anlaşmazlıklara daha barışçıl çözümler, galaksiyi dolduran harika gezegenlerin gereksiz yere zarar görmesini önlemek için en iyi hareket usulü gibi görünüyordu. Ancak Galaktik Konsey Yeni Cumhuriyet'e liderlik etmek için başka birini seçtiğinde savaştan başka bir yol yoktu. Tüm sisteme isyan bayrağını kaldırdın ve galaksinin kaderi için ok yaydan çıktı.#Beklenmedik bir şekilde, hedefinizi benimsemeye ve galaksinin geleceğini rezil bir zorbalıktan kurtarmaya istekli başkalarına rastladın. Sizin tarafınızda savaşanlar, halkın kadar dirençli olduklarını gösterdiler ve birlikte yanlış düzeni ortadan kaldırıp galaksi için tüm gezegenlerin refahının en büyük gündem olacağı yeni bir sistem kurdunuz. Ve müttefikleriniz gelecekte bu doğrultudan ayrılmaya karar verirlerse, taktik ve stratejilerine etkili bir şekilde nasıl karşı koyacağınız konusunda bilgi sahibisin. Sizin yönetiminiz altında her gezegenin ne olursa olsun potansiyeline ulaşacağını bilmek gerçekten sevindirici bir netice...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Tüm dünyaların kurtuluşu yakında elinin altında olacak...#Koşullar göz önüne alındığında bu gerçekten umabileceğin en iyi sonuçtu. Diğer imparatorluklarla ilk karşılaşmalarınızdan beri, onların türlü yetersizliklerinin felsefenizdeki gerçeği görmelerini engelleyeceğini biliyordunuz. Bunun yerine, halkınla %6 ırkı arasında köprüler kurup ve planların için avantajlı bir konuma erişmelerine yardımcı olmaya karar verdin. Şimdi, Yeni Cumhuriyet'in tahtında oturuyorlar ve en yakın sırdaşları olan Sakkran, tahta çıkışlarının ödüllerini toplamaya hazır. #%6 müttefikine Cumhuriyet'teki her dünyanın kutsallığını korumaları için yön vermeye devam edeceksin. Daha laf anlamaz bir imparatorluk iradenizi engellemeye çalışırsa da, kendine onlarla başa çıkabileceğine dair alabildiğine güveniyorsun. %6 ırkına olan bağınızın gücüyledir ki, gezegenlerin bundan sonra, sonsuza dek güvende kalmasını sağlayabileceksin...
GAME_OVER_COUNCIL_WIN2            | Tüm dünyaların kurtuluşu nihayet elinin altında!#Halkının kozmosa ilk adım attığından beri özlemini duydukları zafere ulaştın. Harika ekolojilere sahip garip dünyalarla karşılaşmak tatmin edici bir meydan okumaydı ve halkının daha ilerilere azmetmeleri için yeterli bir ödüldü. Bununla birlikte görüldü ki, diplomatik ilişkilerle cebelleşmek, aklınla çözmeye giriştiğin diğer uğraşlardan çok daha incelikli bir görevdi. Ama sonunda en yüksek otorite konumundasın: şimdi sen, yalnızca sen Yeni Cumhuriyet'in Efendisi olarak duruyorsun.#Pozisyonun kullanarak galaksideki her gezegene saygı ve özenle muamele edilmesini sağlayacaksın. Cumhuriyet içindeki herhangi bir imparatorluk kendi uyduruk hedeflerinin peşinde koşarken bu demir ilkeye karşı çıkarsa, artık hizaya gelmelerini sağlamak için emrinde bir galaktik ordu var. Ve bu dünyalar mükemmelleştirildiğinde, ufukta diğer galaksileri keşfedip, oralarda uzanan dünyalara bereketli rehberliğinizi götürdüğünüz bir gelecek görünüyor. Şimdi ileri gidin, Yüce Şef, işiniz daha yeni başlıyor...
GAME_OVER_COUNCIL_MILITARY_WIN2   | Tüm dünyaların kurtuluşu nihayet elinin altında!#Her ne kadar bazı aksiliklerle karşılaşmışsan da, iraden galaksinin nasıl şekillendirileceği konusunda artık rakipsiz. Yeni Cumhuriyet'in Efendisi olmak senin için küçük bir başarı olmasa da, rakip imparatorluklara ve onların kurmaz entrikalarına uyum sağlayabildin. Cumhuriyetin bazı şaşkın üyeleri, kendi dünyalarını yok etme özgürlüğünü korumak için isyana kalkışmaya karar verdiklerinde, yok edilmeleri gerektiği sonucuna varman pek zaman almadı. #Şimdi isyancılar etkisiz hale getirildiler ve kişisel arzularını gezegenlerinin refahının önüne koymaya çalışanlar için bir ibret oldular. İsyancılar, beklemediğin bir yolla kendilerini faydalı kılmayı başardılar: Galaksinin geri kalanı ortak bir düşmana karşı birleşip elde ettikleri ortak bir zaferin ışıltısının tadını çıkarırken artık iradenize karşı daha uysallar. Bu, planlarına göre ilerlemenin zamanıdır ve size tabi olanlar bunun nedenini anlayabilecek kapasitede olsunlar veya olmasınlar, galaksinin kendisinin size teşekkür edeceğini tüm kalbinle biliyorsun...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Tüm dünyaların kaderi mühürlendi...#Felaket Yeni Cumhuriyet'e, o daha tam tezahür edemeden geldi. Galaksiler arası imparatorluklara yayılan tüm dünyaların çevrelerine yönelik bilgeliğin ve şefkatinle, galaksi tek bir bayrak altında birleştiğinde onu yönetmeye çağrılacak kişinin sen olacağın kesindi. Ancak bu üstün tahta çıkmandan kısa bir süre sonra, bir isyan büyümeye başladı ve sonunda vuku buldu. Stratejiler belirlenirken, sen ve önderlik ettiklerin, üstün sayı ve gücünüzün kolay bir zafere yol açacağına inanmıştınız. Görünüşe göre bu kendini beğenmişlik en nihayetinde yok oluşunuzu hazırladı.#Size isyan edenler yeteneklerine güveniyorlardı ve bu güven imparatorluğunuzun etrafınızda çatırdamasına neden oldu. Şimdi tüm Yeni Cumhuriyet dağıldı, filolarının her biri yok edildi ve dünyalarının her biri, bedeli ne olursa olsun kendilerine güç toplamak isteyenler tarafından fethedildi. İsyancılar şimdi galaksiyi kendi çarpık tasarımlarına uygun bir geleceğe yönlendirecekler ve yaşam vücudunu yavaşça terkederken, sadece umuyorsun ki, fethettikleri gezegenlere sizden en sonunda esirgedikleri merhameti belki gösterirler...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | Sakkra'nın sarsılmaz azminin
GAME_OVER_REBELLION_LOSS3         | Sakkra'nın ekolojik bağlılığı galaksiyi örterken
