// race-specific variables (must start with _)
_empire                           | Mırşan Aşireti, Purşan Aşireti, Miyavşan Aşireti, Pençan Aşireti, Sısşan Aşireti
MAIN_ADVISOR_SHIP_WEAPON          | Gemilerimizde kullanmak için güçlü yeni silahlar geliştirmeyi başardık. Bunları gemi tasarımlarımıza dahil ettiğimizde, düşmanlarımızın güçleri arasında bir bozguna neden olacağı kesin.
MAIN_ADVISOR_COUNCIL              | Yakında halkların bir toplantısı olacak ama bunun savaş değil de diplomasi için olduğunu söylüyorlar. Garip değil mi? Yine de, daha ürkek imparatorlukları yatıştırmak için bu "Galaktik Konsey"e katılmalıyız.
MAIN_ADVISOR_REBELLION            | Kendini iyi hissetmiyor musun, Kağan? %1 mevkisinde bir isyan var ve onları bastırmak için emir vermedin.
MAIN_ADVISOR_RESIST_COUNCIL       | Öylece kestirip galakside korkakların barışını yerleştirmelerine izin vereceğimizi mi düşündüler? Haydi baskınlara başlayalım Kağan: Halkımız biraz hazine için can atıyor! 
MAIN_ADVISOR_COUNCIL_RESISTED     | O asi aptallar hükmümüzü reddediyorlar! Onlara vecizemizi öğretelim: Güçlüler alır, zayıflar verir! 

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Değerli hazinelerin artık herkesin erişiminde...#Bir ışık sıçraması gibi çakan Hanlık akıncılarının dehşetengiz filoları, bir zamanlar tüm medeniyetlerin evlerinden çok uzaklara seyahat etmekten korkmalarına neden olurdu. Zirvedeyken, koca uygarlıkların tüm servetlerini alıp onları yüzlerce dünyaya yayılan yadigârları elinde tutan ordulara verdin. Ama öyle görünüyor ki, budalalık, kibir, açgözlülük ya da bunların bir birleşimi yoluyla, halkın sonunda üstesinden gelebileceklerini aşan düşmanlar buldu. Ve bu düşmanlar saldırıya geçtiğinde, şimdi başınıza gelen kaderi önlemek için güçsüzdün.#Bir Mırşan filosunun yaklaşmakta olduğu söylentisi, bir zamanlar koca yıldız sistemlerinin korkuyla sarsılmasına neden olurdu. Şimdi halkın bu galaksiden silindiler, sadece galiplerin yaramaz çocuklarını korkutmak için anlattıkları hayalet hikayeleri olarak kaldılar. Ve pek çok dünyadan alınan değerli hazineleriniz çalındı ve zengin evlere ve müzelere yerleştirildi: şimdi uzak geçmişin yadigârları, tıpkı senin halkın gibi...
GAME_OVER_MILITARY_WIN2           | Bu galaksinin hazineleri parmaklarının ucunda!#Bu gece, Anadünya'nızın tüm yüzeyi, halkının en büyük zaferini kutlayan kükremelerle kaplandı. Çünkü bu gece, galaksiye tek başına Mırşan Hanlıklarının hakim olduğu yeni çağın ilk gecesi. Bir zamanlar ganimet ve şöhret için basit baskınlar olarak başlayan akınlar, sonunda gezegenleri, yıldız sistemlerini ve nihayetinde bilinen galaksinin tamamını kapsayan tam ölçekli bir sefer haline geldi. Her şeye rağmen ve tüm meydan okuyanlara karşı, diğer tüm imparatorluklar sizin ezici gaddarlığınızın ve gücünüzün ağırlığının altında çöktü.#Zayıf rakiplerin birer birer önünüzde yıkılmasıyla, halkın müttefiklere hiç ihtiyaç duymadı. Politik dalaverelerden ve diplomasinin melun angaryasından kaçınarak, size karşı duran son kaleleri aldın ve binlerce dünyanın ganimeti artık sizin önünüzde serilidir. Ve bu galaksi sana sahip olduğu her şeyi verdiğinde, daha da ötedeki yıldızlarda yaşayanların vay haline. Senin varışınla sarsılacaklar ve onların ganimetleri de senin olacak, ne pahasına olursa olsun...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Bu galaksinin ganimetleri senin ve müttefiklerinin...#Akınların sonunda ölçüye gelmeyecek kadar değerli, parıltılı semereler verdi. Diplomasiye ilk girişiminden itibaren, gururlu kültürünün, böyle harika hazineleri savunacak gücü olmadan elinde tutanlarla barış içinde bir arada yaşayamayacağı âşikâr oldu. Savaşların kaçınılmaz olacağını biliyordun. Ama şaşırtıcı bir şekilde, uzayın derinliklerinde, yalnızca kendi ganimetlerini savunabilecek güce sahip olmakla kalmayıp, aynı zamanda kendi sandıklarını doldurmaya da ilgi duyan başkalarını buldun.#Sen ve müttefiklerin, birlikte zamanın sonuna kadar efsanelerde adı geçecek savaşlar verdiniz. Fetihlere de zenginliklere de ortak oldunuz. Geleceğe giden yolun kenarlarında çelimsiz düşmanlarının cesetleri kırık dökük yatarken, size sadece ganimeti bölüşüp zaferin coşkusunu yaşamak kalıyor. Ama bir uyarı, Altın Kağan: Müttefiklerin senin yanında ne kadar sadık bir şekilde savaşırlarsa savaşsınlar, gözlerini altına dikenler, almak için hazineleri elverişli düşman kalmadığında, bakışlarını arkadaşlarına çevirebilir...
GAME_OVER_COUNCIL_LOSS2           | Baskınlarınız ve yaşam tarzınız aniden sona erdi...#Halkının kültürüne yönelik en büyük tehdit velhasıl gerçekleşti. Uzayı keşfetmek ve yıldızları fethetmekle geçen sayısız yıldan sonra, bu galaksiyi oluşturan çeşitli imparatorluklar, geçmişin düşmanlıklarını bırakıp Yeni Cumhuriyet adını verdikleri birleşik bir idarede bir araya gelmeye karar verdiler. Ve her yeni çağ yeni bir lider hak ettiğinden, Galaktik Konsey onları bu yeni çağda yönlendirmesi için birini seçti. Seni seçmediklerini söylemek yeterli.#Diplomaside elinden gelenin en iyisini yapmış olsan da, uyumlu bir arada yaşam hiçbir zaman halkının bir meziyeti değildi. Sürekli baskınlarından kaynaklanan güvensizlik ve onlara maruz kalanların katlandığı eski yaralar, konseydeki diplomatik konumunun geri dönülmez şekilde zedelenmesine neden oldu. Galaksinin birliği, artık atlatmayı umamayacağın kesinliğiyle, hazine ve şan için yaptığınız baskınları artık kalıcı olarak sona erdirdi. Halkın ya bu yeni çağa uyum sağlayacak ya da yolda ölecek...
GAME_OVER_REBELLION_LOSS2         | Değerli hazinelerin artık herkesin erişiminde...#Halkının bu galaksinin en harikulade hazinelerini yağmaladığı günler sona erdi. Yeni Cumhuriyet'in kurulması ve galaksinin %6 ırkı bayrağı altında birleşmesi ile, yolunu kaybetmiş bu yeni çağın zuhuruna isyan etmezseniz, halkının kültürünün kutsal ayinlerinin mahvolacağını biliyordun. Ama ister yeni efendilerine körü körüne itaat etmelerinden ötürü, isterse halkından ve galakside kazandıkları itibardan korktukları için, bu isyanda tek başınıza savaştınız.#Rakiplerin, Mırşan ordularıyla tek başına savaşırlarsa galip gelemeyeceklerini bildiklerinden, bunun yerine isyanınıza karşı omuz omuza durup, kaynaklarını ve filolarını bir araya getirdiler. Halkın galakside korku uyandıran efsanevi bir azim ile savaşsa da, hiçbiriniz Yeni Cumhuriyet'in birleşik güçlerini alt etmeyi bekleyemezdiniz. Şimdi isyanınız çok talihsiz bir şekilde sona eriyor ve galiplere kalan tek şey ganimetlerinizi kendi hazinelerine dahil etmek...
GAME_OVER_REBELLION_WIN2          | Bu galaksinin hazineleri parmaklarının ucunda!#Hanlıklar dönemi nihayet başladı. Keşfedilmemiş galaksiye girişinizin en başından itibaren, yıldızlar denizinde kendi amaçlarının peşinde uzayda yolculuk eden medeniyetlerle karşılaştınız. Ancak gelişmiş kültürleri ve teknolojik yeniliklerine rağmen, şimdi hepsi sizin ve eşsiz gazabınızın önünde yıkıldı. Başlangıçta bu medeniyetlerin olduğu gibi devam etmesine izin verip, halkına akınlarında ele geçirecekleri, sonsuz, nefes kesici hazine kaynakları sağlamalarından fazlasıyla memnundun. Ama şüphesiz halkının yaşam tarzlarını sürdürmelerini engellemeye yönelik bir girişim olan yeni bir birlik kurmaya karar verdiklerinde, size karşı çıkmaya cüret edenlerin hak ettiği tek yanıtı verdin.#Rakip imparatorluklarının filolarına karşı savaş alanına getirdiğiniz kurnazlığınız, beceriniz ve azminiz ile yeni galaktik düzene karşı isyanınız tam ve tam bir zaferle sona erdi. Binlerce dünyanın ganimeti apaçık, savunmasız duruyor, çünkü muhafızları bizzat tarafınızca yolunuzdan kaldırıldı. Al onları, Altın Kağan! Hazinene ekleyin ve halkını ötedeki galaksilerde yatan ganimetler için hazırla...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Bu galaksinin ganimetleri senin ve müttefiklerinin...#Yeni Cumhuriyet'e isyan bayrağı açmak kolay bir karardı. Galaksinin halkın ve onların yaşam tarzlarına burun kıvırdıklarını biliyordun. Savaştaki marifetlerinizin ve rakip imparatorluklara yaptığınız korkunç baskınların hikâyeleri tüm galaksiye yayılırken, birleşik bir galaktik düzenin bir kez kurulduktan sonra sizin için aşılmaz bir tehdit oluşturacağını biliyordun. Kadim insanlarınızın efsanelerindeki gerçek liderler gibi, başkalarının tahmin edebileceğinden daha hızlı hareket edip bu düzene açık savaşla bir darbe vurdun. Ve bunu yaparak, düşmanlarınızın Hanlık filolarını alt etmek için ihtiyaç duyacakları dayanağı bulmalarını engelledin.#Memnuniyetle, istikbalin almaya başladığı biçimden memnun olmayan başkalarına denk geldin ve ganimetlerin küçük bir payı karşılığında, sana karşı toplaşırken hazırlıksız yakalanan güçlere baskın gelmene yardımcı olan yeni bir ittifak kurdun. Rakipleriniz tamamen yok edildi ve kazandığınız müttefiklerin, sizin için yararlı olmayı bırakmaları halinde, gücünüze karşı hiçbir şansları olmayacak. Şimdi geriye kalan tek şey, uğruna bu kadar çok savaştıklarını alman...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Ganimetler, en sonunda, bu yeni çağda güvende olacak...#Galaktik Konsey'in büyüklüğünü göremeyip sana Yeni Cumhuriyet'in liderliğini vermeyi reddetmesi hiç kimseyi şaşırtmadı. Diğer imparatorluklara yaptığınız baskınlar, halkınla diğerleri arasına bir mesafe koydu ve çok azı, halkını gerçekten anlamlı bir düzeyde tanımak için kültürel normlarınızın ötesine bakmaya istekliydi. Ama naiflikle veyahut, başka pek çoğunu davalarına kazandıran samimiyet hissiyle, %6 ırkıyla ortak paydada buluşabildiniz ve bunun halkın için en iyi hamle olacağını bilerek, onların gelecek çağın liderleri olarak seçilmelerine yardımcı oldun.#Şükranla ve nezaketle, %6 müttefikinizin cömertliği sayesinde, ganimetlerinizin güvenliğini onların eski sahiplerine tazminat ödemene gerek kalmadan sağlamayı başardın. Bu barışın müzakerelerinde, akınlarınıza son vermeyi gönülsüzce kabul ettin ve şimdi halkının arzularını dizginlemek için yeni yollar keşfetmen gerekiyor. Ama kesinlikle bu, müttefikine isyan etmeyi seçmiş olsan karşılaşacağınız kaçınılmaz imha kaderinden daha iyidir...
GAME_OVER_COUNCIL_WIN2            | Bu galaksi ve hazineleri sana, sadece sana ait!#Halkının tarihindeki en büyük gün sonunda geldi: Altın Kağan, Yeni Cumhuriyet'in Efendisi oldu. Halkın, yaptıklarıyla en başından beri yaman akıncılar olarak korkunç bir nam saldı. Geçmişte size karşı birçok ses yükseltilmiş olsa da, Galaktik Konsey aşılmaz gücünüzü tanıdığı için tüm sesler sustu. Elbette, seçilmene yardım eden bazı imparatorluklar, halkının gerçek dostları olmayı umuyor, ancak seni buraya çıkaranların çoğunun, bunu öfkeni uyandırmaktan korktuğu için yaptığını biliyorsunuz. Ve başka türlüsü hoşuna gitmezdi zaten!#Bu günden itibaren, Yeni Cumhuriyet'teki tüm imparatorluklar sana haraç ödeyecek. Ve tahta çıkmana karşı oy veren imparatorluklar, konsey salonlarında sana karşı çıkmaya çalışmak suçundan ötürü, sonsuza dek halkının baskınlarına uğrayacak ve bir daha asla sana karşı seslerini yükseltmek için ihtiyaç duyacakları gücü elde edemeyecekler. Galaksi Mırşan'a aittir ve zamanın sonuna kadar size itaat etmeye devam edecektir. Yeni çağı selamlayın ve Altın Kağan'ı selamlayın!
GAME_OVER_COUNCIL_MILITARY_WIN2   | Bu galaksinin ganimetleri senin ve müttefiklerinin...#Artık şanlı saltanatın gerçekten başlayabilir. Halkının savaş alanındaki efsanevi cesareti ve gerçekleştirdiğiniz korkunç baskınların hikayeleri, Yeni Cumhuriyet'in Efendisi olmana vesile oldu. Ancak birçok kişi öfkeni uyandırmaktan isteklerinize uymaya yetecek kadar korksa da, yine de güç gösterileriyle tavırlarını değiştirmeyecek kadar aptal olanlar vardı. Hazinelerini ele geçirmek ve büyüyen ordularına havale etmek için istekli halkın, isyanı bastırıp ganimetler kazanmak için bu kez senin yönetimindeki Yeni Cumhuriyet'in tüm birleşik ordusunun desteğiyle ileri atıldı.#İsyan daha başlamadan bitti ve tahta göz dikenlerin orduları en az çabayla bozguna uğratıldı. Topladıkları hazinelerin ortasında, Mırşan her şeyi tarıyor, ve değersiz zımbırtıları size hizmet eden daha küçük imparatorluklara ödül olarak verilmek üzere ayırıyor. İsyancılar, sinirin bozulduğunda neler olacağına dair bir ibret olarak önlerinde dururken, başka rakiplerin bir daha kendilerini sana göstermesini beklemek oldukça zor. Şimdi dikkatini diğer galaksilere çevir, çünkü onların avlanmayı bekleyen bahtsız avları ve koleksiyonuna ekleyeceğin daha da parıltılı hazineleri var...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Değerli hazinelerin artık herkesin erişiminde...#Başlangıçta rakiplerinin muhalefetini ezip, Yeni Cumhuriyet'in Efendisi olmak için korkuyu kullanabilmişsen de, sana ve hayal ettiğin geleceğe karşı duracak kadar cesur olanlar da vardı. Halkın gururlu ve güçlüydü, sayısız baskının ganimetini kuşanmıştı ve bir başka kaçınılmaz fetihten daha başka hazineler kazanmaya hevesliydi. Ancak isyanın temsil ettiği tehlikeyi ve isyancıların sergilediği kararlı cesaretin sonunuz olacağını görmediler veya göremediler.#Silahla boyun eğdirdiklerinin donanmaları elinin altında olduğundan, üstün sayılarla övündüysen de, ayaklanmanın cumhuriyeti istikrarsızlaştırıp seni tahttan indirmesine engel olamadın. Önce astlarınız yenildi, ardından kısa süre sonra da halkın. Görünüşe göre sonunda galaksi, kendisi için planladığın geleceğe karşı bir seçim yaptı. Sonuçta kaderin yılmaz eline karşı ne kadar güçlü olursa olsun tek bir halkın iradesi nedir ki...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | Mırşan'ın doyumsuz açgözlülüğünün
GAME_OVER_REBELLION_LOSS3         | Mırşan'ın hazine şehveti galaksiyi kuşatırken
