// race-specific variables (must start with _)
_empire                           | Meklar İdaresi, Mekanar İdaresi, Sibernar İdaresi, Dijitar İdaresi, Teknar İdaresi
GAME_OVER_MILITARY_WIN2           | Ölümsüzlük peşinde başka engel yok!#Türünün tek istediği sonsuz yaşam hayallerinin peşinden gitmek üzere yalnız bırakılmaktı. Yüzyıllar önce mekanik cisimleri kullanmaya başladığınızda, Meklar medeniyetinin kalbinde tek başına bu itici etken vardı. Ama Anaçatı'ya göre, arayışında karşılaştığın bu uzaylı yaşam formlarının, halkının başarmayı umduklarına bir tehdit oluşturduğu görüldü. Ne zaman bir savaş kararı alınsa, ordun tereddüt etmeden seferber oldu ve düşmanlarını tek tek geride kimse kalmayana kadar vurdu.#Dikkatini dağıtacak veya gizli bilgileri kendilerine saklayacak rakipler olmayınca, artık  nihai amacına keyfince ulaşmakta özgürsün. Tüm bu galaksi, hayalinin peşinde koşup, uygarlığını her köşeye yayarken aradığın cevabı bulmanı sağlayacak kaynaklarla dolu. Ve halkın uzun zaman önce yapmaya karar verdikleri şeyi sonunda tamamladığında, tüm bu galaksi ve semeresi sonsuza dek tadını çıkarmanız üzere sizin olacak...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Düşmanların yok edildi ve artık ölümsüzlüğe odaklanabilirsin...#"Bu yaratıkları halkımıza savaş açmaya ne itti?" Anaçatı'nın şu anda üzerinde durduğu soru budur. Çünkü O ve Meklar'ın tüm zihinleri, görünüşte zeki yaratıkların, neden güçlerine karşı savaşıp kaçınılmaz ölümlerini hızlandırmak için harekete geçtikleri konusunda şaşkın. Ve toplumuna hükmeden üstün zeka tarafından öngörüldüğü gibi, hepsi de yıkıldılar.#Neyse ki, hepsi de ölümsüzlük hedeflerine ulaşmanı engelleyebileceklerini düşünecek kadar aptal değillerdi. Savaşlarında sana yardım eden müttefikler edinebildin ve düşmanlarının karşı karşıya kaldığı felaketi daha da kesinleştirdin. Bu galaksinin kaynaklarını ve sırlarını seninle onları birlikte kazanmış olanlarla paylaşmaktan mutlusun. Ve halkının sonsuz yaşam hedeflerine ulaştığı gün geldiğinde, belki bunu da müttefiklerinle paylaşmaktan mutlu olacaksın. Belki...
GAME_OVER_COUNCIL_LOSS2           | Görevin şimdi tehlikede...#Rakiplerin, yaptıklarının farkında bile olmadan seni engellediler. Yıldızlararası imparatorluklardan oluşan birleşik bir cumhuriyet yaratıp ve geleceğe birlikte tek bir bayrak altında yürümek, galakside barışı sağlamanın en mantıklı yoluydu. Ama halkının gerçek ölümsüzlüğün anahtarını keşfetme olasılığı neredeyse sıfıra indi, çünkü şimdi bürokrasinin sınırları kesinlikle kaydedeceğin her ilerlemeyi sekteye uğratacak. Bir zamanlar, kendisini bir engel haline getirmekte ısrar eden bir türü basitçe ortadan kaldırma seçeneğine sahipken, şimdi bunu yapıp tüm galaksinin gazabını üzerine çekme riskini almaya cesaret edemezsin.#Daha da kötüsü, halkının tüm bekası artık bu Yeni Cumhuriyet'in seçilmiş liderleri olan %6 ırkıyla olan durumunuza bağlı. Onları kızdıran herhangi bir hareket, şüphesiz planlarını karmaşıklaştıracaktır. Küçük bir hakaretin bile Cumhuriyet arazisinde hareket ve bilgi özgürlüğünün engellenmesiyle sonuçlanabileceği bu durumda, öfkelerini yeterince alevlendirmek kesinlikle senin ve halkın yok olması anlamına gelecektir...
GAME_OVER_REBELLION_LOSS2         | Ölümlülüğünün sınırları acı bir şekilde hatırlatıldı...#Halkının yok olmaya mecbur kalması adaletsizliklerin en büyüğüdür. Tüm anlayış mertebelerinin ötesinde bilge ve ölçüsüz zekâya sahip Anaçatı, %6 ırkının Yeni Cumhuriyet'in hükümdarı olarak tahta çıkışının Meklar'ı nihai amaçlarını gerçekleştirme yeteneğinden mahrum bırakacağını saptamıştı. Bunu önlemek için, geleceğini korumak için tüm galaksiye karşı açık bir isyan başlatman emredildi. Anaçatı sonucun büyük olasılıkla yok olma olacağı konusunda şüpheye yer bırakmasa da, bu, yeni efendilerinin çizmeleri altındaki bir gelecekten efdal bir kaderdi. #Artık Meklar'ın sahip olacağı tek ölümsüzlük, tarihe kaydedilenlere verilendir. Bilgin ve teknolojin herkesin görüp kendi amaçları için kullanmasına açık olacak ve gelecekte eski rakiplerinden biri dahi başaramadığınızı başarıp, ölümsüzlüğün sırlarını çözebilir...
GAME_OVER_REBELLION_WIN2          | Ölümsüzlük peşinde başka engel yok!#Anaçatı, bir kez daha halkının varlığını güvence altına almak için ihtiyaç duyduğun bilgileri sağladı.
When the aliens known as "%6" had become the rulers of the New Republic, the
Mainframe knew that no future existed for your civilization under the heel of such an oppressive and vindictive empire. Though your people knew that the likelihood of victory against the combined fleets of the galaxy, they marched forward into war gladly, believing in the wisdom of your ancient oracle above all else. With vigor and determination, the Meklar have fought long and hard, and now at last, they have won.#No one remains who is capable of thwarting or even impeding your people in their quest for immortality. The knowledge of your fallen rivals will soon be extracted, studied, and used or discarded as you deem fit. Every world in this galaxy is yours for the taking, as are any secrets that they contain. It is only a matter of time before time itself no longer matters, for in the very near future your people will learn to cheat death and live forever...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Geride düşman kalmadı, artık ölümsüzlüğe odaklanabilirsin...#Sen ve müttefiklerin tarihin akışını değiştirdiniz. Hain ve kin dolu %6 ırkı Yeni Cumhuriyet'in Efendileri olduğunda, Anaçatı'ya danışmana bile gerek kalmadan halkının devasa bir tehlikede olduğunu biliyordun. Filolarını %6 tehdidine ve onların yanında duranlara saldırmak için yönlendirirken, tüm galakside yankılanan bir isyan çağrısı yaptın. Savaş başlamadan önce, çağrı sadece onlar geleceğin nereye varacağını görecek kadar akıllı oldukları için, gerçek müttefiklerin arasında yankılandı.#Birlikte Yeni Cumhuriyet'in güçlerini ezdiniz ve yarının gerçek rotası olacak gelecek vizyonunu ortaya koydunuz. Artık savaşın kazanılmasıyla ölümsüzlüğü barış içinde kovalayabilirsin. Memnuniyetle aynısını yapacaklarını umarak, müttefiklerini memnuniyetle kendi hallerine bırakıyorsun. Şimdi ya da gelecekte aksine karar verirlerse, galakside savaş çağrısı bir kez daha duyulabilir...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Tahtı reddettin, arayışın devam edebilecek...#Çok az akıl, halkının ölümsüzlüğe ulaşmayı ne kadar derinden arzuladığını anlamaya kadirdir. Yıldızlar arasında seyahat etme kapasitesine sahip diğer uygarlıklarla ilk tanıştığınızdan beri, karşılaştığınız herkes tarafından garip hatta tehlikeli olarak görüldünüz. Rakiplerinin cehaletinin tek istisnası, size şerefli ve kadim kültürünüzün hak ettiği saygıyla bakan %6 ırkı olmuştur. Şimdi Yeni Cumhuriyet'in Efendisi olma yükünü taşıyorlar ve halkınız ödülleri toplamak için bekliyor.#Dikkatli diplomasi yoluyla ve niyetlerini gizleyerek, galaksinin yeni hükümdarı ile uyumlu ilişkileri sürdürmenin basit bir mesele olacağına ve bunu yaparak sadece Meklar uygarlığının geleceğini değil, aynı zamanda arayışınızın geleceğini de güvence altına alacağına inanıyorsun. Sana rehberlik edecek Anaçatı ve halkının desteğiyle kesinlikle her şey yoluna gidecek...
GAME_OVER_COUNCIL_WIN2            | Ölümsüzlük peşinde başka engel yok!#Meklarlar sonunda bu galaksinin efendileri olarak kendilerini gösterdiler! Halkın her zaman yıldızları fethetmek için yola çıkan tüm imparatorlukların en kararlısı idi. Sonunda sabırları, arzularının bu sayısız yıldızın geleceğini şekillendireceği bu geleceği mümkün kıldı. Ölümsüzlük arayışın mutlak ve artık Yeni Cumhuriyet'e rakipsiz liderlik ettiğine göre, bu galaksinin tüm kaynakları artık emrinde.#Bağlı imparatorlukların en büyük beyinleri, halkını sonsuz yaşama götürecek sırları ortaya çıkarmak için iyi bir şekilde kullanılacaktır. Eski rakiplerinin en saldırganlarına bile, şimdi onlara karşı sevk edebileceğin gücün tehdidiyle boyun eğdirilecek. Halkının kararlılığı her zamankinden daha güçlüyken ve sana rehberlik edecek Anaçatı'yla, ölümsüzlüğün artık kaçınılmaz hale geldiğinden hiç şüphen olmasın! 
GAME_OVER_COUNCIL_MILITARY_WIN2   | Ölümsüzlük peşinde başka engel yok!#Sonunda diplomasi zırvalamaları sona erdi. Çok uzun süre aşağı türlerle ve onların önemsiz gündemleriyle uğraşmanın monotonluğuna katlanmak zorunda kaldın. Yeni Cumhuriyet'in Efendisi olduğunda bunun biteceğini ve rakiplerini yatıştırmak için daha az zaman harcamana ve ölümsüzlük arayışına daha fazla odaklanmana olanak tanıyacağını ummuştun. Ama hayat nadiren böyle düzenlidir ve elbette tahta çıkmanı reddedip ve sana isyan eden aptallar vardı. Neyse ki, bu dikkat dağıtıcı şeylere kesin olarak son vermenin yolunu biliyordun.#Tek sesli bir öfkeyle, önyargıya kapılmadan, filolarını ve müttefiklerini isyanı ortadan kaldırmaya yönlendirdin. Düşmanlarının dünyaları sırayla önünde eğildikçe, nihai hayalinizi özgürce sürdürebilmeye gitgide daha yaklaştın. Artık isyan sona erdiğine göre, müttefiklerinin kıçı kırık hedeflerine ulaşmaya çalışmalarına izin vermek senin için hiç dert değil. Zaten ölümsüz olmakla  onlar hakkında endişelenemeyecek kadar meşgul olacaksın!
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Ölümlülüğünün sınırları acı bir şekilde hatırlatıldı...#Seni bu noktaya getiren olaylar öylesine öngörülemezdi ki Anaçatı bile bunu muhtemel bir sonuç olarak değerlendirmemişti. Galaksinin imparatorlukları arasındaki elverişli diplomatik konumundan Yeni Cumhuriyet'in Efendisi pozisyonunun verilmesine kadar, planının her adımı, Anaçatı'nın öngördüğü gibi gitmişti. İsyan ateşleyecek kadar güçlü bir muhalefet her zaman olasıydı ve bir tanesi oluşmaya başladığında seni hiç şaşırtmadı. Farkına varamadığın ve cevabını hazırlayamadığın şey, isyanın sahip olduğu ezici güçtü ve şimdi bunun bedelini ödemen gerekiyor.#Yeni Cumhuriyet'teki liderlerin senin tarafında durmuş ve birleşik düzenlerini savunmak için filolarını hareket ettirmiş olsa da, ezebileceğine inandığın isyanın karşısında güçsüzdün. İmparatorluğun etrafında parçalanırken, halkının sonsuz uzunlukta yaşama hayalleri de onlarla birlikte öldü. Müttefiklerin senin tarafında ezilirlerken, umutları ve herkes için barışçıl bir geleceğe dair hayalleri de aynı şekilde yok oldu...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | Meklar'ın mekanik hassasiyetinin
GAME_OVER_REBELLION_LOSS3         | Meklar'ın soğuk duygusuzluğu galaksiye çökerken
