// race-specific variables (must start with _)
_empire                           | İnsan Üçlü Erkliği, Dünya Üçlü Erkliği, Arz Üçlü Erkliği, Cihan Üçlü Erkliği, Yerküre Üçlü Erkliği
GAME_OVER_REBELLION_LOSS2         | En iyi planların kalıcı olarak suya düştü.#Bir güç mü bir zayıflı mı bilinmez, insanlık her zaman zalimlere karşı isyan etme içgüdüsüne sahip olagelmiştir ve nihayetinde bu ihtiyaç onun sonunu getirdi. Belki de bu insan temsilcilerinin Yeni Cumhuriyet'in liderliğini Üçlü Erk'in eline geçiremediğinde kaçınılmaz olmuştu. Felsefesi insanlığın arzuladığı gelecek vizyonuyla asla uyuşmayan %6 ırkının, aslında insanlığın dayanıklı ruhunun bile katlanamayacağı kadar güçlü bir düşman olduğu belki de aşikârdı. Pek çok "ya şöyle olsaydı?" sorusu var, ama şimdi geriye kalan sessizlikten başka bir cevap yok.# %8, Üçlü Erk'in son savunucuları yıkılıyor ve imparatorluk toza dönüşüyor. Halkın için son umut ışığı, hatırlanmaya değer bir mücadele ortaya koymuş olmalarıdır: çünkü ölürken kesinlikle biliyorlar ki, tarihin hayaletleri olmak umabileceklerinin en iyisidir...
GAME_OVER_REBELLION_WIN2          | En iyi planların sonunda başarıya ulaştı.#Senin sadece anlaşma yapabilen uysal bir lider olduğunu düşünenler, kesinlikle pişmanlık duydukları bir gün yaşadılar. Diplomatik müzakerelerin barışa giden en müreccah yol olduğunu kabul etsen bile, insanlık oraya yol göstermek üzere dizginleri eline almazsa galaksinin olabilecek en iyi geleceğe erişmeyi bekleyemeyeceğini biliyordun. Hakkın olan tahta çıkışına karşı oy verenler, Yeni Cumhuriyetlerinin küllerini mezarlarına götürebilirler: insanlık, yıldızlar arasındaki hak ettiği yeri kimselere bırakmayacak!#Cesur ve cüretkâr eylemlerin, galaksiyi yurt edinen diğer tüm imparatorlukların ortadan kaldırılmasına yol açmasından başka, bir de diğer iki Erk'in, yapabileceklerinden korkarak güçlerini sana bırakmasına neden oldu. İmparator %2 olarak şimdi tahtta yerini al ve yalnızca senin gerçekleştirebileceğin geleceğe cesurca yürü!
GAME_OVER_REBEL_ALLIANCE_WIN2     | En iyi planların sonunda başarıya ulaştı.#"İnsanlığın iradesi yok sayıldığı sürece barış olamaz." Eski Galaktik Konsey'e sana ihanet ettiklerinde söylediğin buydu ve son savaş zaferinle sona erdiğinde halkına ve müttefiklerine tekrarladığın da buydu. Yıllarca süren özenli siyasi hokkabazlık ve yorucu diplomatik müzakerelerin son dakikada başarısızlığa uğrasa da, ancak en nihayetinde boşuna değildi. Şimdi, tahtı almaya hazırsın ve isyanında sana katılacak kadar cesur olanların cülusuna karşı çıkmak için hiçbir nedenleri olmayacağını biliyorsun.#İyi ki yabancı yıldızlarda yaşayan bazı uzaylılar ile yakınlık kurmuştun, böylece onlar senden önce kuruluvermiş sahte cumhuriyeti yok etme hedeflerine ulaşmana yardımcı oldular. Onların bu yeni geleceğin inşasında eşit rol almalarını ve ganimetlerden eşit paylarını almalarını memnuniyetle temin edeceksin. Yeni Cumhuriyet artık yok, Erk: şimdi Büyük Cumhuriyet başlıyor! Sorunlarının ve ödüllerinin tadını çıkar: şüphesiz onları hak ettin. 
GAME_OVER_COUNCIL_WIN2            | En iyi planların sonunda başarıya ulaştı.#Sayısız yıllar sonra, tüm parçalar yerli yerine oturdu ve planların meyve vermeye başladı. Böylesine farklı ve değişik uygarlıklar arasında böyle bir birliği sağlamak, daha önce görülmeyen seviyede bir diplomatik beceriyi elzem kıldı. Yine de stratejilerinin tüm aksiliklerine ve uyarlanmalarına rağmen, şimdi Yeni Cumhuriyet'in başında yakınında kimse dudak bükmeden oturuyorsun. Ufkunda isyan belirtisi olmayan bu galaksinin geleceğini şekillendirmek senin elinde. Yalnızca destekçilerini görevlerine yönlendirmen onların bütün işleri halletmeleri için yeterli olacak.#Sadece Yeni Cumhuriyet'in ilk lideri olarak değil, karizması ve becerisiyle rakipler arasındaki husumetin bile bozamayacağı kadar güçlü ittifaklar kuran efsanevi diplomat olarak da tarihe geçeceksin. Gelecek nesiller Cumhuriyet Akademilerinde seni inceleyecekler ve herkes, yaşadığın zamana imrenecekler ve ah keşke seninle tanışmak ve efsanenin arkasındaki yüzü bizzat görmeye tek bir şansları olsaydı diye düşünecekler...
GAME_OVER_COUNCIL_MILITARY_WIN2   | En iyi planların sonunda başarıya ulaştı.#Yeni Cumhuriyet senindir, Erk! Politik entrikaların seni, bu galaksinin geleceğinin efendisi yaptı ve herkes seni kurnaz bir diplomat ve adil bir hükümdar olarak gördü. Tahta geçmene mukabil yükselen isyan karşısında insanlar dehşete kapıldılar, ancak galaksinin geri kalanı arkanda birleşti ve geleceğe dair vizyonun uğruna ölmeye hazır olduğunu gururla ilan etti. Ve cesaret timsali pek çok kişi hayatlarını kaybetmiş olsa da, tam bir zafer kazanan asiler değil, Yeni Cumhuriyet oldu.#Artık barış çağın gerçekten başlayabilir. Yapılması gereken çok iş olsa da, tarihteki döneminin geçmişte ve gelecekte en önemlilerinden biri olacağından hiç kimsenin şüphesi yok. Başardıklarınla gurur duy ve farklı hayat görüşlerine sahip bir sürü farklı uygarlıkta böyle bir sadakati uyandırabildiğin için mutlu ol. Vakit varken dinlen, Erk, diplomatik becerilerini kullanacağın yeni bir meydan okumanın eli kulağında...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | En iyi planların kalıcı olarak suya düştü.#Yeni Cumhuriyet'in Efendisi'nin yapabileceği tüm hatalar arasında, en büyüğünün müttefiklerini abartmak mı yoksa düşmanlarını hafife almak mı olduğunu, söylemek zor. İsyanın kendisi pek şaşırtıcı değildi: Hangi biçimde olursa olsun değişime her zaman şiddetle karşı çıkanların olacağı kesin. Seni gerçekten şaşırtan, Yeni Cumhuriyet güçlerini alt ettikleri hız ve kurnazlıktı. Sayı ve silah durumu aleyhindeyken, kaçınılmaz sonu beklemekten başka bir şey yapamayacaksın.#İsyan galip geldi ve Üçlü Erklik ve müttefikleri Yeni Cumhuriyet'in kendisiyle birlikte ölecek. Ganimetler artık isyancıların ve bu günden itibaren galaksinin hareket edeceği yöne de onlar karar verecek. Eğer olur da hatırlanırsan, bu sadece rezil yenilginle ilintili olacak. Savaşa daha uygun olsaydın, belki bu galaksi barışı bilir ve bu lanetli savaşlardan kurtulabilirdi...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | İnsanların usta diplomasisinin
GAME_OVER_REBELLION_LOSS3         | İnsanların alçak entrikaları galaksiyi kavrarken
