// race-specific variables (must start with _)
_empire                           | Darloci, Sarloci, Špajloci, Senloci, Nazloci
GAME_OVER_MILITARY_LOSS2          | Kraj vaše potrage, kraj vašeg naroda...#Nezamisliva tragedija zadesila je vašu imperiju. Nekada smo bili rasa koja je očajnički tragala da otkrije događaje koji su vaše pretke izbacili iz njihovog umirućeg univerzuma u ​​ovu tuđinsku dimenziju, a sada vaša civilizacija leži u potpunoj propasti pred narodima previše moćnim da bi mogli da im se suprotstavimo. Da su znali za vašu nevolju, možda bi bili milosrdniji, možda bi vam čak i pružali pomoć, ili bi bar bili tolerantniji prema sredstvima koja ste koristili za postizanje svojih ciljeva. Umesto toga, postigli ste samo prevremenu smrt svoje vrste dok druge sile nastavljaju svoj pohod ka budućnosti.#Avaj, zar su Darloci morali do dožive ovakvu propast!? Da ste drugačije odigrali svoju ruku, vaši ljudi bi možda još uvek bili živi i možda bi čak i pronašli ključ koji bi vam omogućio da ostatak naše rase uvedete u ovu novu, stabilniju dimenziju. Možda, ipak, vaše karte nisu mogle biti bolje odigrane: možda je sudbina jednostavno odlučila da vam podeli najgoru ruku...
GAME_OVER_MILITARY_WIN2           | Prva faza je završena, pravi tek test počinje...#Ova galaksija je vaša! Kao što su vaši ljudi dominirali svemirom iz kojeg su došli, tako ste i vi srušili slabu opoziciju u ovoj galaksiji i zauzeli sve što u njoj postoji. Taktika koju ste koristili pokazala se previše dobra za vaše neprijatelje, a skrivenost i potajnost koju ste koristili da biste stekli njihove tajne pokazali su se još efektivniji. Sada, dok poslednja uporišta vaših neprijatelja padaju pred vašom moći, vi gledate ka zvezdama koje čine ono što će postati dom Darloka.#Ali vaš posao još uvek nije ni blizu kraja. Naučili ste kako da preživite u ovoj tuđinskoj dimenziji i osigurali ste čitavu galaksiju za vaš narod, da može da živi i napreduje. Međutim, tajne međudimenzionalne pukotine koja je uopšte dovela vašu rasu ovde tek treba da budu otkrivene, a svaki dan koji ovde prolazi znači da se vaš svemir približava svom neizbežnom kolapsu. I ukoliko je neka od imperija koje ste uništili imala odgovor na te tajne, vaše vojno osvajanje će se možda pokazati kao uzrok vaše propasti...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Prva faza je završena, pravi test tek počinje...#Stigao je čas vaše prve istinske pobede! Kada su vaši ljudi bačeni u ovu dimenziju, izgledala je zastrašujuće, strano i opasno. Ali, umesto kukavičluka i pukok preživljavanja, hrabro su krenuli napred, i zakleli su se da će ovladati tajnama ove galaksije i osigurati da ostatak vašeg naroda dovedu iz svoje umiruće dimenzije. Na tom putu ste stvorili neprijatelje i prijatelje, i postavljena je pozornica za najveći izazov na koji su vaši ljudi ikada naišli.#Zajedno sa svojim saveznicima uspeli ste da razorite sve koji su se suprotstavili vašim ciljevima i vašim flotama ih razbijete kao staklo. Sada ste ostali samo vi i vaši bliski prijatelji, a kroz srodstvo koje se može steći samo učešćem u pobedi u ratu, sretno ćete pomagati svojim saveznicima u njihovim naporima, kao što će i oni vama. A kad jednom vaši ljudi bezbedno pređu u ovu dimenziju i vaša istinska imperija se preporodi, samo oni koji su se pokazali verni vašim ciljevima mogu živeti u univerzumu koji će nesumnjivo postati vaš...
GAME_OVER_COUNCIL_LOSS2           | Vaši intrige su propale, vaša potraga ugrožena...#Vaši planovi su ogoljeni pred čitavom galaksijom, i iako se niko ne može porediti sa vašom veštinom u obmanjivanju, revnost vaših protivnika se pokazala kao preveliki zalogaj, čak i za vas. Sa stvaranjem Nove Republike i određivanjem budućnost galaksije, pokazalo se da su glasovi onih koji su bili na podu saveta poništili vaše dobro postavljene planove. Budućnost pripada [leader_raceSkoj] rasi!#Vaš pokušaj da upravljate tokom galaksije bio je ambiciozna strategija. Da su vaše diplomatske mahinacije bile suptilnije, moguće je da bi celokupna galaksije mogla biti usmerena ka vašoj potrazi. Sada ćete morati da se potčinite volji [leader_raceSke] rase, ali svaki dan koji prolazi dovodi one koji su zarobljeni u kolapsirajućem univerzumu, iz kojeg i vi dolazite, dan bliže nezamislivo užasnoj sudbini...
GAME_OVER_REBELLION_LOSS2         | Kraj vaše potrage, kraj vašeg naroda...#Sreća nikada nije pratila vaš narod, još od vašeg dolaska u ovu nestretnu dimenziju. Nije vas pratila kada ste izbačeni u ovu dimenziju gde ništa od vaše tehnologije nije funkcionisalo kako treba. Nije vas pratila kada su autohtoni stanovnici ove galaksije glasali protiv vašeg vođstva Nove Republike. I sada, na kraju svega, nije vas sreća pratila dok ste se borili protiv svojih rivala ne samo za vođstvo ove galaksije, već suvo preživljavanje#Vaš narod je bio žilav, snažan i odlučan, ali njihovi napori i želja za pobedom na bilo koji način jednostavno nisu bili dovoljni da im donesu pobedu protiv velike moći vojski Nove Republike. Vaša hrabrost bila je vredna pamćenja: to niko ne može da ospori. I sada, dok vaše poslednje armije, i vaši poslednji svetovi padaju pred neprijateljskim snagama, vaša slomljena imperija je utučena, pokorena i pada u zaborav...
GAME_OVER_REBELLION_WIN2          | Prva faza je završena, pravi test tek započinje...#Napokon, inferiorne budale mogu da prepoznaju pravu silinu vaše moći! Uzalud su vaši neprijatelji pokušavali da vas spreče u potrazi da spasete vašu braću i sestre od njihove eventualne propasti i koristili su svaki trik da bi vas omeli. Od pretnji špijunažom do otvorenog neprijateljstva, njihova želja da vas spreče da postignete svoj cilj bila je na vrhuncu kada su glasali protiv vas kao vođe Nove Republike, iako ste vi bili najzaslužniji da to postanete. Bez puno realnih opcija, i bez griže savesti ste ih prepustili svom besu, koji je vaš narod doveo do potpune prevlasti u svemiru odakle ste i došli.#Sada je ova galaksija vaša, i iako je malo vremena pre nego što vaša matična dimenzija kolapsira, a oni koji su ostali u njoj trpe sudbinu goru od smrti, bar sada u ovoj dimenziji više nema nikoga ko vam se može suprotstaviti. Sada, napokon ove inferiorne budale prepoznaju vašu moć i povlađeni su vašoj volji! Ili bi bar to učinili, da je neko od njih ostao živ... 
GAME_OVER_REBEL_ALLIANCE_WIN2     | Prva faza je završena, pravi test tek započinje...#Od samog početka ste znali da vam stanovnici ove galaksije nikada neće samovoljno poverovati da vodite jedinstveni savez svemirskih imperija. Neiskrene i nepoverljive, matične imperije koje naseljavaju ovu dimenziju učinile su sve što su mogle da sputaju vaše planove i drage volje su glasali protiv vas kada je formiranje Nove Republike započelo. Ali vi ste mudri i lukavi, i pročitali ste ih kao knjigu, i usredsredili ste sve svoje diplomatske napore samo na one koji su vredni da stoje uz vas. A kada su vaši suparnici pomislili da su vas uhvatili u klopku, shvatili su da su se sami našli u zamci koju ste vi već davno podmetnuli.#Sada vi i vaši saveznici stojite pobednički nad pepelom onih koji su se usudili da pomisle da su bolji od vas. Sudbina galaksije je u vašim rukama, i sada slobodno možete naći način da svoju zarobljenu braću u sestre dovedete preko dimenzionalnih barijera i u ovaj novi univerzum koji je spreman za vaše preuzimanje. A ako vas oni koje ste izabrali za prijatelje budu ometali u ostvarivanju vaših ciljeva, postupićete s njima jednako odlučno, kao što ste već postupili i sa ostalima...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Prva faza je završena, pravi test tek započinje...#Davno je mala grupacija vašeg naroda izbačena iz umirućeg univerzuma i gurnuta u ovu novu tuđinsku dimenziju. Dok ste počeli da tražite način da dovedete one koji su bili zarobljeni da vam se pridruže u ovoj novoj i stabilnoj galaksiji, susretanje sa onima koji su već živeli među ovim zvezdama su vam pokazali da nećete moći da pronađete odgovore koje ste tražili dok vodite nebitne i dugotrajne ratove. Umesto toga, pokušali ste da manipulišete tokom istorije dok ste bili u senci, i sada su se napokon ti planovi ostvarili.#[leader_raceSka] rasa je preuzela vladanje Novom Republikom i pokazali su se prijemčivim i spremni za prihvatanje vaših ideja i saveta. Kao poverenici i savetnici, vaš narod je u jedinstvenoj poziciji da upravlja tokom galaksije pod vođstvom vaših saveznika. Dovoljno ste udaljeni od direktnog vođstva da biste ikada osetili gnev ukoliko stvari pođu po zlu. A ako uspete u svojim planovima, jačanje vaših redova dolaskom vašeg davno izgubljenog roda biće više nego dovoljno za započinjanje nove ere i da stvari prevagnu u vašu korist...
GAME_OVER_COUNCIL_WIN2            | Prva faza je završena, pravi test sada počinje...#U komorama Saveta je započelo slavlje, dok vi započinjete svoju vladavinu kao Gospodar Nove Republike. Ponizno prihvatate teret upravljanja koji vam dat od strane imperija koje čine Galaktički Savet, znajući da je ovaj rezultat produkt starih planova. Ubrzo nakon dolaska vašeg naroda u ovu dimenziju i otkrivanja njenih tajni, znali ste da nećete moći sami da nađete način da omogućite svojoj zarobljenoj braći i sestrama da doputuju do ove dimenzije, pre nego što njihov univerzum u potpunosti kolapsira. Sada, nakon godina diplomatije, obmana i političkih manipulacija, više ne morate da brinete o tome.#Sada je ova galaksija vaša da je oblikujete, vajate, i upravljate njom na način koji se vama čini najboljim. Uskoro ćete povinuti tehnologiju, snagu i inovacije svojih saveznika, i uz njihovu pomoć otvoriti portal do svog starog doma i obnoviti svoju civilizaciju ovde, sa što više svojih sunarodnika. A ukoliko se neko usudi da pokuša da vas zaustavi, sada imate na raspolaganju vojske Nove Republike da zauvek slomite njihovu pobunu...
GAME_OVER_COUNCIL_MILITARY_WIN2   | Prva faza je završena, pravi test sada počinje...#Sada je vaše vladanje ovom galaksijom potvrđeno rečju i delima. Nakon nebrojenih godina manipulacije međuzvezdanim rivalima kako bi vam pomogli da ispunite svoje ciljeve, vaši planovi su se konačno ostvarili kada ste stekli titulu „Gospodar Nove Republike“. A kada su se protiv vas podigli glasovi vaših neistomišljenika, već ste pokrenuli planove unutar planova, koji su vam omogućili da odlučno svladate pobunu. Oni su se borili, vi ste pobedili, a sada je čitava galaksija vaša, i sada možete da radite šta poželite.#Vi ste samleli vaše neprijatelje i rasejali ste ih solarnim vetrovima, i sada skrećete pažnju na svoj pravi cilj: pronaći način da dovedete svoj razdvojeni narod kroz dimenzionalnu provaliju, u ovaj novi i stabilni univerzum gde vaša imperija može da se preporodi. Niko se sada ne usuđuje da progovori protiv vas, nakon što su videli šta se dogodilo sa onima koji su bili dovoljno glupi da to učine...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Kraj vaše potrage, kraj vašeg naroda...#Najtužnija sudbina koju ste mogli zamisliti za svoj narod je postala stvarnost. Vaša neprevaziđena sposobnost za manipulaciju i obmanu vam nije pomogla pred inferiornim rasama koje nisu mogle da razumeju kakvo ste veliko delo pokušali da izvršite. Iako ste uspeli u monumentalnom zadatku da postanete izabrani vladar galaksije, a da ste i dalje zadržali tajnost vaših ciljeva, niste uspeli da ugušite pobunu koja se ubrzo podigla protiv vaše vladavine.#Sada je prekasno da usmerite budućnost galaksije na put koji vama odgovara. Pobuna je ostavila od Nove Republike samo ruševine za haranje pobednika da preko nje iznova grade. A smrt Darloka zapečaćuje sudbinu svih onih koji su ostali zarobljeni u univerzumu osuđenom na propast, bez ikakve nade da će uspeti da pobegnu. Vaš neuspeh je zapečatio sudbinu vaše imperije ne samo u jednom, već u dva univerzuma, i samim tim je više neizmeran nego što bi iko od vaših neprijatelja ikada mogao da zamisli...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | Darločki pritisak iz senke hvata u zamku
GAME_OVER_REBELLION_LOSS3         | nedokučive mahinacije Darloka
