// race-specific variables (must start with _)
_empire                           | Mršanski Klan, Pršanski Klan, Mjaušanski Klan, Kandžanski Klan, Hišanski Klan
_raceVoc                          | Mršane, Pršane, Mjaušane, Kandžane, Hišane
_title                            | Kan
_titleV                           | Kane
_titleA                           | Kana
_titleI                           | Kanom
_nameTitle                        | Kan
_nameTitleV                       | Kane
_nameTitleA                       | Kana
_nameTitleI                       | Kanom

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | Savetnik Mršana
MAIN_ADVISOR_BUTTON_OK            | Otpusti
MAIN_ADVISOR_SCOUT                | Aha! Naša prva flota je spremna! Hajde da je iskoristimo da pronađemo neprijateljski svet sa dragocenim blagom koje možemo da otmemo.
MAIN_ADVISOR_TRANSPORT            | Zauzeli smo novu teritoriju na %1 sistemu. Što više naših transportujemo sa %3, brže ćemo naći plen ovog sveta.
MAIN_ADVISOR_DIPLOMACY            | Kontaktirali smo tuđinsku rasu! Da li će oni biti odvažni neprijatelji, ili ćemo lako preoteti njihovo blago?
MAIN_ADVISOR_SHIP_ENGINE          | Pronašli smo način da unapredimo naše motore i ubrzamo naše brodove! Ako ih ugradimo u naše modele brodova, naši prepadi na neprijateljske svetove postaće još efikasniji!
MAIN_ADVISOR_RALLY_POINTS         | Kane! Pred nama je rat! Poglavari će ispoštovati svoje obećanje da sjedine svoje snaga sa vašima, tako da možete da postavite tačku za okupljanje da bi ste im pokazali gde da pošalju svoje flote!
MAIN_ADVISOR_MISSILE_BASES        | Naši svetovi na obodima su ranjivi na neprijateljske napade! Napravimo raketne baze kako bismo sprečili da padnu u neprijateljske ruke.
MAIN_ADVISOR_SHIP_WEAPON          | Uspeli smo da razvijemo nova moćna oružja za naše brodove. Sigurno će prouzrokovati pometnju među snagama naših neprijatelja kad ih uključimo u naše modele brodova.
MAIN_ADVISOR_COUNCIL              | Uskoro će se sastati narodi, ali kažu da je to za diplomatiju, a ne za rat. Čudno zar ne? Ipak, trebalo bi da prisustvujemo ovom "Galaktičkom Savetu", ako ni zbog čega drugog, da bi primirili nervozne imperije.
MAIN_ADVISOR_REBELLION            | Da li se osećaš loše, Kan? Došlo je do pobune na %1 sistemu, i još niste naredili da je ugušimo.
MAIN_ADVISOR_RESIST_COUNCIL       | Da li su mislili da ćemo jednostavno leći i pustiti ih da tako uspostave kukavički mir nad galaksijom? Počnimo s prepadima, Kane: naše ljude svrbe dlanovi, biće blaga!
MAIN_ADVISOR_COUNCIL_RESISTED     | Ti buntovnici i budale odbijaju našu presudu! Pokažimo im našu izreku: snažni uzimaju, slabi daju! 

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Vaša dragocena blaga su sada zauvek izgubljena...#Stravične flote poglavarskih ratnika koje su udarale poput fantomskih munja su nekada zastrašivale čitave civilizacije da se ne usude da putuju van doma. Na vašem vrhuncu, uzeli ste bogatsva čitavih civilizacija i dodali ih u gomile koje su sadržavale relikvije iz stotine svetova. Ali izgleda da su vaši ljudi kroz ludost, aroganciju, pohlepu ili kombinaciju svega toga konačno našli neprijatelje koji su se pokazali da nisu mačji kašalj. A kada su ovi neprijatelji krenuli u ofanzivu, bili ste nemoćni da sprečite sudbinu koja vas je sada zadesila.#Puke glasine o nadolazećoj floti Mršana je nekada tresla strahom čitave zvezdane sisteme. Sada su vaši ljudi izbrisani iz ove galaksije, a ostale su samo priče o duhovima za plašenje male dece. A vaša dragocena blaga, uzeta iz toliko svetova, ukradena su i smeštena u bogate domove i muzeje: sada postoje kao relikvije daleke prošlosti, baš kao i vaši ljudi...
GAME_OVER_MILITARY_WIN2           | Blaga ove galaksije vam stoje na raspolaganju!#Ove noći cela površina vašeg matičnog sveta tutnja slavljem vrhunske pobede vašeg naroda. Jer ova noć je prva u novom dobu, gde Mršanski poglavari sami dominiraju galaksijom. Ono što je nekad počelo kao jednostavni napadi za plen i reputaciju, na kraju je postala kampanja ogromnih razmera koja je obuhvatila planete, zvezdane sisteme i na kraju celinu poznate galaksije. Uprkos malim šansama, svaka druga imperija je pala pred silinom vaše žestine i moći.#Sa slabijim rivalima koji su padali jedan po jedan pred vama, vaš narod nije video potrebu za saveznicima. Izbegavajući političke zavrzlame i groznu muku diplomacije, zauzeli ste i poslednje uporište koje je stajalo protiv vas, a plen hiljada svetova sada je vaš. A kada vam ova galaksija da sve što ima, teško onima koji prebivaju u zvezdama van nje. Oni će se tresti od straha pri vašem dolasku, a njihova blaga će takođe biti vaša...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Blaga ove galaksije pripadaju vama, i vašim saveznicima...#Vaši napadi su konačno doneli blistave, neizmerno vredne plodove. Od vašeg prvog ulaska u diplomatiju, postalo je očigledno da vaša ponosna kultura nikada neće moći mirno da koegzistira sa onima koji su imali čudesna blaga, a nisu imali dovoljno snage da ih sačuvaju. Znali ste da će ratovi biti neizbežni. Iznenađujuće je bilo da ste u dubinama svemira pronašli druge koji su imali ne samo snagu da odbrane svoj plen, već i pokazali interes da popune svoje kovčege.#Zajedno ste, sa vašim saveznicima, vodili ratove o kojima će se govoriti u legendama do kraja vremena. Delili ste podjednako muke osvajanja i sreću bogaćenja. Dok tela vaših slabih neprijatelja leže skrhana pored puta koji vas vodi u svetlu budućnost, sada je samo preostalo da podelite plen i uživate u uzbuđenjima pobede. Ali reč upozorenja, Zlatni Kane: bez obzira na to koliko su se vaši saveznici odlučno borili pored vas, oni čiji je pogled uperen ka zlatu se lako mogu okrenuti protiv svojih bivših prijatelja, kada im ponestane neprijatelja na kojima se mogu bogatiti...
GAME_OVER_COUNCIL_LOSS2           | Napadi i način vašeg života iznenadno su došli kraju...#Najveća pretnja kulturi vašeg naroda je konačno realizovana. Nakon nebrojenih godina istraživanja svemira i osvajanja zvezda, različite imperije koje žive u ovoj galaksiji su odlučili da prekinu sa zavadama i sjedine se u novi entitet koji nazivaju Nova Republika. I kako svaka nova era zaslužuje novog vođu, Galaktički Savet je izabrao jednog da ih vodi u ovo novo doba. Dovoljno je reći da vas nisu izabrali.#Iako ste dali sve od sebe u diplomatiji, skladni suživot nikada nije bio adut vašeg naroda. Nepoverenje koje je proizašlo iz vaših stalnih napada i starih rana koje ste naneli drugima prouzrokovalo je da vaš diplomatski položaj u Savetu postane nepovratno ocrnjen. Uz osigurano jedinstvo galaksije koje je sada nezaobilazno, vaši napadi za blago i slavu sada su trajno završeni. Vaš narod se mora prilagoditi ovom novom dobu, ili umreti pokušavajući to učiniti...
GAME_OVER_REBELLION_LOSS2         | Vaša dragocena blaga su sada zauvek izgubljena...#Dani kad je vaš naroda pljačkao ovu galaksiju i ubirao čudnovata blaga su došli kraju. Formiranjem Nove Republike i ujedinjenjem galaksije pod zastavom [leader_raceSke] rase, znali ste da će sveti obredi kulture vašeg naroda biti osuđeni na propast ako se ne pobunite protiv dolaska ovog novog izgubljenog doba. Ali, bilo zbog slepe poslušnosti prema svom novom gospodaru ili zbog straha od vašeg naroda i reputacije koju su stekli širom galaksije, sami ste se borili protiv ove pobune.#Vaši rivali su znali da ne mogu sami da se bore protiv vojske Mršana i da pobede i mesto toga su udružili svoje resurse i flote dok su stajali rame uz rame protiv vaše pobune. Iako su se vaši ljudi borili sa legendarnom upornošću koja je pobuđivala strah širom galaksije, ni oni ni vi niste mogli da se nadate da ćete nadmašiti udružene snage Nove Republike. Sada se vaša pobuna žalosno završava, a pobednicima ostaje samo da preuzmu vaša blaga za sebe...
GAME_OVER_REBELLION_WIN2          | Blaga ove galaksije vam stoje na raspolaganju!#Napokon je došlo je vreme poglavara. Od samog početka vašeg dolaska u neistraženu galaksiju, susretali ste se sa svemirskim civilizacijama koje su svoje tražile da ispune svoje ciljeve među morem zvezda. Ipak, uprkos njihovoj naprednoj kulturi i tehnološkim inovacijama, svi su sada pali pred vašom nenadmašnom žestinom. U početku ste bili zadovoljni da pustite ove civilizacije da nastave svojim putem, dajući vašem narodu beskrajne izvore za osvajanje raznih blaga koja oduzimaju dah. Ali kada su odlučili da osnuju novi savez u nesumnjivom pokušaju da spreče vaš narod da nastavi svoj način života, vi ste dali jedini odgovarajući odgovor svakome ko bi se usudio da vam se suprotstavi.#Svojom lukavošću, veštinom i upornošću na bojnom polju protiv flota suparničkih imperija, vaša pobuna protiv novog galaktičkog poretka završila je potpunom i kompletnom pobedom. Blaga hiljada svetova stoje pred vama nebranjena, jer oni koji su ih čuvali su uklonjeni vašim vlastitim rukama. Uzmi ih, Zlatni Kane! Dodajte ih u svoju riznicu i pripremite svoje ljude za blaga koja leže u drugim galaksijama...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Blaga ove galaksije pripadaju vama, i vašim saveznicima...#Bila je laka odluka podići zastavu i pobuniti se protiv Nove Republike. Znali ste da je galaksija snishodljivo gledala na vaše ljude i njihov način života. Dok su se širile priče čitavom galaksijom o vašoj borilačkoj moći i vašim zastrašujućim prepadima na suparničke imperije, znali ste da će vam ujedinjeni galaktički poredak predstavljati nepremostivu pretnju kada se formira. Kao pravi vođa iz legendi vašeg drevnog naroda, delovali ste brže nego što su drugi mogli da predvide i udarili ste protiv ovog poretka u otvorenom ratu. A kad ste to učinili, sprečili ste svoje neprijatelje da nađu uporište koje bi im trebalo da nadvladaju flote poglavara.#Na vaše veliko zadovoljstvo našli ste druge nezadovoljne oblikovanjem budućnosti, i u zamenu za mali deo plena, stvorili ste novi savez koji vam je pomogao da utvrdite dominaciju nad bedno nepripremljenim snagama koje su se okupile protiv vas. Vaši suparnici su potpuno izbrisani, a saveznici koje ste stvorili neće imati šanse protiv vaše moći ako ikada prestanu biti korisni za vas. Sada je ostalo samo da uzmete ono za šta ste se toliko borili...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Vaš plen će u ovom novom dobu biti na sigurnom...#Nikoga nije iznenadilo što Galaktički Savet nije uspeo da uvidi vašu eminenciju i što je odbio da vam dodeli vođstvo Nove Republike. Vaši napadi na druge imperije su vaš narod učinili nepopularnim i malo je onih koji su spremni da se osvrnu na vaše kulturne norme da bi razumeli vaš narod na smislenom nivou. Bilo da je u pitanju bila naivnost ili osećaj iskrenosti koji su pridobili toliko drugih rasa, uspeli ste da pronađete zajednički jezik sa [leader_raceSkom] rasom, a znajući da bi to bio najbolji potez za vaš narod, pomogli ste da budu izabrani za vođu naredne ere.#U znak zahvalnosti uspeli ste da obezbedite sigurnost svog plena bez potrebe da plaćate reparacije onima od kojih ste ih uzeli zahvaljujući velikodušnosti vaših [leader_raceSkih] saveznika. Posredujući ovaj mir, nevoljno ste se složili da okončate svoje napade i sada morate naći nove načine da ispunite želje svojih ljudi. Ali ovo je sigurno bolje od budućnosti sigurnog uništenja sa kojim biste se suočili da ste se odlučili na pobunu protiv svog saveznika...
GAME_OVER_COUNCIL_WIN2            | Ova galaksija i njena blaga pripadaju vama i samo vama!#Napokon je došao najveći dan u istoriji vašeg naroda: Zlatni Kan je postao Gospodar Nove Republike. Od samog početka, vaši ljudi su sebi stvorili zastrašujuću reputaciju nasilnih napadača. Iako su u prošlosti mnogi protestovali protiv vas, svi su glasovi utihnuli kada je Galaktički savet prepoznao vašu nepremostivu snagu. Sigurno se neke od imperija koje su vam pomogle u izboru nadaju da će postati iskreni prijatelji vašeg naroda, ali znate da je većina onih koji su vas ovde postavili to učinili iz straha da ne izazovu vaš bes. A ne biste želeli da to bude drugačije!#Od ovog dana pa nadalje, sve imperije u Novoj republici će vam plaćati danak. A za zločin pokušaja da vam se suprotstave u Galaktičkom Savetu, imperije koje su glasale protiv vašeg krunisanja će zauvek biti podvrgnute napadima vašeg naroda, i nikada više neće imati moć koja bi im bila potrebna da se dignu protiv vas. Galaksija pripada Mršanima i ostaće vam podređena do samog kraja vremena. Pozdravite novo doba i pozdravite Zlatnog Kana!
GAME_OVER_COUNCIL_MILITARY_WIN2   | Blaga ove galaksije pripadaju vama, i vašim saveznicima...#Sada vaša veličanstvena vladavina može započeti. Legendarno junaštvo vašeg naroda na bojnom polju i priče o strašnim prepadima koje ste izvršili doveli su do toga da ste postali Gospodar Nove Republike. Ali iako su se mnogi plašili da ne razbude vaš gnev i podvrgnuli vašim željama, ipak je bilo onih previše glupih da shvate vašu pravu moć. Željni da preuzmu vlasništvo nad svojim blagom i da ga dodaju svojim rastućem mnoštvu, vaš narod je krenuo da sruši pobunu i preuzme svoje nagrade, ovog puta uz podršku celokupne ujedinjene vojske Nove Republike kojom vi sada vladate.#Pobuna je bila gotova pre nego što je i započela, a vojske uzurpatora poražene su uz minimalan napor. Sa njihovim prikupljenim blagom, Mršani preturaju po plenu, izbacujući smeće koje će se dati kao nagrada manjim imperijama koje vam služe. Budući da pobunjenici služe kao primer onoga što se dešava kada ste nezadovoljni, malo je razloga da verujete da će se bilo koji rival ikada više istupiti iz redova. Usmerite sada svoju pažnju na druge galaksije, jer je u njima plen koji bespomoćno čeka na lov i još svetlucavije blago koje ćete dodati vašoj kolekciji...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Vaša dragocena blaga su sada zauvek izgubljena...#Iako ste u početku uspeli da upotrebite strah da srušite neslaganje svojih rivala i postanete Gospodar Nove Republike, bilo je dovoljno hrabrih da vam se suprotstave i budućnosti koju ste zamislili. Vaš narod je bio ponosan i snažan, okićen plenom bezbrojnih prepada i željan da stekne još blaga iz još jednog osvajanja. Ali oni nisu videli, ili nisu mogli da vide opasnost koju je pobuna predstavljala i nepokolebljivu hrabrost koju su pobunjenici pokazali koja se pokazala kao uzrok vašeg kraja.#Iako ste imali superiorne brojeve flota zbog onih koje ste potčinili, niste uspeli da sprečite da ustanak destabilizuje republiku i zbaci vas sa trona. Prvo su pali vaši potčinjeni, a ubrzo i vaši ljudi. Izgleda da se na kraju galaksija sama opredelila za budućnost koju ste planirali. Na kraju krajeva, šta je volja jednog naroda, ma koliko jak bio, protiv nesalomive ruke sudbine...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | nezasitna pohlepa Mršana proždire
GAME_OVER_REBELLION_LOSS3         | požuda za blagom Mršana
