// race-specific variables (must start with _)
_empire                    | Силикоид Империум, Игноид Империум, Седимоид Империум, Гранитоид Империум, Магмоид Империум
MAIN_ADVISOR_SHIP_WEAPON   | Божи-император! Вашите учени представят последния си напредък в оръжейните технологии! Веднага ще екипираме флотите си с тези оръжия, щом дадете командата си!
MAIN_ADVISOR_COUNCIL       | Скоро предстои среща на лордове, известна като Галактическия съвет! Древният ни враг трябва да бъде един от онези, които се събират там! Трябва да ги разкрием, за да може нашият благороден кръстоносен поход наистина да започне!
MAIN_ADVISOR_REBELLION     | Могъщи императоре! Случва се немислимото. Нашите хора, без съмнение заразени от нашия гнусен Древен враг, се бунтуват срещу вас на %1. Трябва незабавно да сложим край на тази корупция!
MAIN_ADVISOR_RESIST_COUNCIL   | Наглостта на тези идиоти! Боже-император, флотите ни са готови! Водете ни до победата в тази съдбовна битка!
MAIN_ADVISOR_COUNCIL_RESISTED | Естествено, че наследниците на враговете ни, не приемат доминацията на [my_race]! Хората ни са развълнувани, най-сетне пророчеството ще се сбъдне !

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Кръстоносният ви поход приключва с мрачен край.#Всеки свят в дългогодишния силикоиден империй е бил завладян или унищожен от странници и извънземни същества. Вие бяхте Кристалният Император, който обеща да поведе Вашите хора към изпълнението на най-древното и свещено пророчество: да се освободи галактиката веднъж завинаги от нечистата Бруд от Куралон. Вместо това ги доведохте само до гибел и докато слънцето изгрява над последната колония на силикоидите, величината на вашия провал скоро ще бъде усетена от империите, които остават в тази галактика.#Империумът е унищожен, завинаги, и когато хората ви изчезнат, несъмнено е отредено на потомството на Куралон да управлява тази галактика, отсега до края на времето...
GAME_OVER_MILITARY_WIN2           | Кръстоносният ви похед постигна пълна победа!#Неспособни да потвърдите самоличността на най-древния си враг, вие избрахте единствената налична опция: избийте всички, които обитават тази галактика без милост. Никоя раса не успя да докаже, че превъзхожда вашата неумолима ярост и вашата страшна сила. Всеки от тях е паднал на свой ред и техните светове вече са изчистени от всяко възможно влияние на мръсотията на Кваралон. И за да гарантира, че те остават чисти, Империумът ще вкара всяка планета в кошарата, ще ги насели и ще ги пази до края на времето.#Вашата империя сега несъмнено ще издържи до самия край на съществуването и никоя никога няма да се издигне отново ви се противопоставя, защото наистина никой не остава да го направи! Да живее Кристалният император! Да живее Империумът!
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Кръстоносният ви поход най-после достигна победата.#Не успяхте да установите истинската самоличност на Децата на Куралон, но някои от тези, които обитават галактиката, успяха да докажат, че е малко вероятно да се появи на най-мразения ви враг. Тези, които не биха могли да го направят, са срещнали крайната си съдба в ръцете на вашите несломими легиони. Сега оставаш само ти и онези, които са се показали лоялни и чисти от сърце, а галактиката е твоя, за да направиш това, което решиш.#Уви, трябва ли да грешиш за самоличността на тези, на които си позволил да останат живи , някой ден вашият кръстоносен поход ще трябва да се възобнови отново...
GAME_OVER_COUNCIL_LOSS2           | Кръстоносният ви поход приключва с мрачен край.#По време на пътуването си през галактиката сте водили войни, завладявали сте светове и сключвали съюзи с множество извънземни цивилизации. И все пак въпреки всичките си усилия вие се оказахте в състояние нито да убедите империите, които затрупват космоса в заплахата, която им създава пилото на Куралон, нито да разполагате с достатъчно мощна военна сила, която да ги принуди да се съобразят с целта на кръстоносния поход. Сега те избраха мизерната раса%6, да ги поведе в бъдещето.#Въпреки че се надяват бъдещето да бъде проспериращо и спокойно, само вие знаете истината за това, което очаква всички, които не биха били насочени към вашата кауза. Може би в бъдеще друг Кристален император ще успее там, където сте се провалили, и един ден огньовете на вашата свещена война може да горят още веднъж...
GAME_OVER_REBELLION_LOSS2         | Кръстоносният ви поход приключва с мрачен край.#С формирането на нова република под галактическия съвет, водена от нечестивата раса%6, единственият възможен избор за вас беше злощастен бунт с надеждата да гарантира, че вашата праведна война може да продължи. Въпреки че надеждата никога не беше в изобилие по избрания от вас курс, все пак я имаше и ако решенията ви бяха избрани по-разумно, може би дори бихте успели да се изкъпете в светлината на победата.#Но за вас не остана нито светлина, и нито Империумът и като%8 галактиката, вашите последни мисли са за Куралон и неговите деца, неуспеха ви да ги намерите и унищожите и бруталната съдба, която сега очаква тази галактика с вашите хора, които вече не са там, за да я защитават...
GAME_OVER_REBELLION_WIN2          | Кръстоносният ви похед постигна пълна победа!#Слабите империи на галактиката направиха най-глупавия избор. Когато се обединиха под знамето на мизерната раса%6 и се отклониха от изискванията на вашия кръстоносен поход, те избраха да запечатат своята съдба, както и тази на останалата част от галактиката. Но ти, Кристалният император, знаеше, че това не може да бъде, и с умението само на най-легендарните герои ти доведе хората си до победа в невъзможна война срещу цялата галактика!#Ако само глупаците се бяха вслушали в предупрежденията ти, може би биха доживели, за да видят грешката на своите пътища. Но сега най-накрая галактиката може да издържи единствения истински мир, който някога е могла да познае. Здравей на победата, Кристален Император! Приветствайте силата на силикоидния империй!
GAME_OVER_REBEL_ALLIANCE_WIN2     | Кръстоносният ви поход най-после достигна победата.#Когато последният от враговете ви падне пред вас, вие усещате тръпката от напредъка, постигнат от вашия кръстоносен поход от началото му. Беше грешка за жалките раси, които обитават тази галактика, да изберат расата%6, да ги отдалечат от зова на кръстоносния поход. Като се обърнаха от вашата мъдрост, те се противопоставиха и на вас, и на пророчеството на Хрислон: за акт, който не можеше да бъде толериран и за който, без съмнение, щяха да съжаляват. Сега можете да се насладите на новооткрития мир, даден на галактиката с заплахата от Куралон, елиминирана веднъж завинаги...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Кръстоносният ви поход приключи.#Силикоидният Империум е направил много в своите търсения в цялата галактика. Под ваше ръководство вашите хора са се сблъсквали с множество извънземни цивилизации. Много от тези раси са се доказали като врагове и потенциални носители на гнусната кръв на Куралон. И все пак неочаквано някои са се доказали като приятели на вашата древна империя. Сега, в навечерието на създаването на Новата република, вие гласувахте за%7, което им позволи да управляват нова ера на мир в галактиката.#Докато се подготвяте да отстъпите бъдещето на%8, вие се надявате само, че тяхната сила и мъдрост ще бъдат достатъчни, за да защитят галактиката от най-голямото зло на древното ви пророчество. Защото, ако сте избрали погрешно, мирът, обещан от създаването на този съюз, ще се окаже кратък...
GAME_OVER_COUNCIL_WIN2            | Кръстоносният ви поход най-после достигна победата.#Някога Кристалният император на силикоидния империй, сега вие стоите като Господар на Новата република, образувана от различните империи на Галактическия съвет. Нито една раса не се е осмелила да възрази срещу тази определена съдба, несъмнено осъзнавайки, че енергията им е по-добре изразходвана в помощ на вашата кауза. Защото враговете на Империума вече са враговете на галактиката и това може да заклина само гибелта за Децата на Куралон.#Ако ги намерите да се крият в галактиката, всяка раса ще се обедини под знамето ви и ще ги изреже напълно. Ако ги намерите скрити сред расите на съвета, горко от тези, които се осмеляват да се крият от вас толкова дълго...
GAME_OVER_COUNCIL_MILITARY_WIN2   | Кръстоносният ви поход най-после достигна победата.#След възкачването ви на трона на съвета и избраното от вас правителство на Новата република започна, беше поставена сцена за нова глава в кръстоносния поход, за да се очисти мръсотията от пилото на Куралон от галактиката. Бунтът срещу вас е бил замислен и обречен да се провали от самото начало, а животът, загубен при неговото прекратяване, не е пропилян: за доказване на способностите си като командир сте се укрепили като владетел не просто, за да бъдете уважавани, но и също се страхуват от вас.#Цялата армия на Новата република застава зад знамето ви и е готова да направи каквото и да е необходимо за кръстоносния поход. Древният ви враг няма къде да се скрие и ако подобните на Куралон са сред тези, които сега управлявате, цялата мощ на галактиката ще бъде изправена срещу тях в бързи ответни мерки. Трябва само да откриете къде се крие врагът ви, за да започне Финалната война и да доведе галактиката към мир завинаги...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Кръстоносният ви поход приключва с мрачен край.#Стояхте като господар на новата република, готов да поведе легиони в битка срещу врага на пророчеството. Въпреки това бунтът, който се надигна срещу вас, беше неочакван и, за съжаление, твърде много, за да можете да се справите с него. Дали поради малодушието на вашите молители или военните грешки, които сте допуснали като командир, силикоидният империум вече го няма, а по-малките раси заразяват вашите светове.#С падането на Империума и смъртта на краткотрайната Нова република, сега няма никой, който ще може да намери хайвера на Куаралон, камо ли да ги победи и да донесе мир в галактиката. Може би, ако беше по-склонен да командваш армиите си, пророчеството щеше да се изпълни и да се избегне бедствие. Сега с вашето поражение, това пророчество стои заровено в пясъците на времето, никога повече да не бъде изпълнено или дори познато...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | непреклонният фанатизъм на силикоидите
GAME_OVER_REBELLION_LOSS3         | фанатичната правност на силикоидите поглъща
