// race-specific variables (must start with _)
_empire                           | Дарлоки, Сарлоки, Шпилоки, Сенколоки, Назлоки
MAIN_ADVISOR_REBELLION            | Хората на %1 са си загубили разума ?! Те забравят, че само заедно можем да надделеем в тази вселена! Трябва незабавно да направим пример за този бунт!
MAIN_ADVISOR_RESIST_COUNCIL       | Нашите шансове за успех тук са малки. Борбата срещу Галактическия съвет и неговите съюзници не е проблем.
MAIN_ADVISOR_COUNCIL_RESISTED     | Прекалено дълго работихме да огънем тези глупаци според нашата воля! Бунт срещу нашето ръководство не може да се толерира! Унищожете ги наведнъж!

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Краят на вашето търсене, краят на вашите хора ...#Немислима трагедия сполетя империята ви. Веднъж раса, отчаяно желаеща да разкрие тайните на събитието, което хвърли вашите предшественици от тяхната умираща вселена в това извънземно измерение, вашата цивилизация лежи в пълна разруха в краката на жители, далеч по-мощни, отколкото бихте могли да си представите. Ако те са познавали тежкото ви положение, може би щяха да са по-милостиви, може би дори са ви оказали помощ или поне да са по-толерантни към средствата, които сте използвали за постигане на целите си. Вместо това вие постигнахте само преждевременната смърт на вашия вид, докато другите сили продължават своя поход към онова, което им предстои..#Уви, че дарлоците трябва да посрещнат тази гибел! Ако бяхте изиграли ръката си по различен начин, вашите хора може да са все още живи и дори да са намерили ключа, който да ви позволи да въведете останалата част от расата си в този нов свят. Може би обаче картите ви не биха могли да бъдат изиграни по-добре: може би съдбата просто е решила да ви раздаде най-злощастната ръка...
GAME_OVER_MILITARY_WIN2           | Първата фаза приключи, истинският тест едва сега започва...#Тази галактика е ваша! Точно както вашите хора доминираха във вселената, от която произлизат, така и вие сте смазали немощната опозиция в тази галактика и твърдите, че всичко, което тя съдържа, е ваше. Тактиките, които сте използвали, се оказаха прекалено силни, за да могат враговете ви да преодолеят, а шпионажа и тайните, които сте използвали, за да придобиете техните тайни, се оказа още по-силен. Сега, когато последните крепости на враговете ти падат под твоята мощ, ти гледаш над звездите, които осеяват това, което ще се превърне в постоянен дом на Дарлокс.#Но работата ти още не е завършена. Научихте как да живеете в това извънземно измерение и направихте цяла галактика безопасна за вашите хора да обитават и просперират. Тайните на междуизмерния разрив, който изобщо е довел расата ви тук, тепърва трябва да бъдат разкрити и всеки ден, който минава тук, означава, че вашата родна вселена се приближава до неизбежния си крах. И ако някоя от империите, които сте унищожили, вече е имала тайната, вашето военно завоевание все още може да се окаже вашето унищожаване...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Първата фаза приключи, истинският тест едва сега започва...#Сега е часът на първата ви истинска победа! Когато хората ви бяха хвърлени в това измерение, те го намериха за плашещо, чуждо и опасно. Но вместо да се придържат и да изкарват прехраната си, доколкото са могли, те смело продължиха напред, обещавайки да овладеят тайните на тази галактика. По пътя бяха създадени врагове и приятели и беше поставена сцена за най-голямото предизвикателство, което хората ви някога биха могли да узнаят.#Заедно със своите съюзници успяхте да победите онези, които биха се противопоставили на вашите цели, и да ги разбиете с вашите флоти както вълните се разчупват на брега. Сега оставате само вие и вашите близки приятели, вие с радост ще помогнете на съюзниците си в техните проблеми, както те ще ви помогнаха с вашите. И след като вашите хора безопасно пресекат измеренията и истинската им империя се възроди, само онези, които са се доказали верни на вашата кауза, могат да живеят във вселена, която несъмнено ще бъде превърната във ваша...
GAME_OVER_COUNCIL_LOSS2           | Вашите схеми се провалиха, търсенето ви бе застрашено...#Плановете ви бяха изложени на галактиката и макар че никой не може да се надява да съвпадне с уменията ви в хитрост, очите на вашите съперници се оказаха твърде бдителни, за да можете да ги заобиколите дори вие. С измислянето на новата република и бъдещето на галактиката, която ще бъде определена, гласовете на онези от съвета, са доказали, че не са приели вашите добре заложени планове. Бъдещето принадлежи на расата %6 race!#Опитът за придобиване на способността да се управлява курса на галактиката беше амбициозна стратегия. Ако вашите дипломатически машинации бяха по-добри, много е възможно цялата воля на галактиката да е била насочена към обслужването на вашето търсене. Сега ще трябва да се покорите на волята на расата %6, но всеки изминал ден приближава тези, заседнали в рушащата се вселена, от която идвате, един ден по-близо до съдба, по-страшна, отколкото смеете да си представитe...
GAME_OVER_REBELLION_LOSS2         | Краят на вашето търсене, краят на вашите хора...#Съдбата никога не е облагодетелствала хората ви от пристигането ви в тази неприветлива обстановка. Не ви облагодетелства, когато бяхте хвърлени в измерение, при което никоя от технологиите ви не функционираше правилно. Не ви облагодетелства, когато местните жители на тази галактика гласуваха против вас да ръководите Новата република. И сега, в самия край, не ви облагодетелства, когато нанасяте удари срещу съперниците си, за да осигурите не просто лидерството на галактиката, но и самото ви оцеляване.#Вашите хора бяха упорити, силни и решителни, но най-добрите усилия и желанието да победят по какъвто и да е начин просто не бяха достатъчни, за да им осигурят победа срещу непреодолимата мощ на армиите на Новата република. Вашата храброст беше достойна за спомен: това никой не можеше да оспори. Но тъй като последната от вашите армии и вашите светове падат на враговете ви, вашата империя лежи бита, разбита и скоро ще бъде забравена...
GAME_OVER_REBELLION_WIN2          | Първата фаза приключи, истинският тест едва сега започва...#Сега най-накрая тези низши глупаци виждат вашата сила и ще се отприщят! Напразно враговете ви се опитваха да ви възпрепятстват. От заплахи до шпионаж до открита враждебност, желанието им да ви попречат да постигнете целта си беше най-явна, когато гласуваха против вас да ръководите Новата република, въпреки че вие ​​сте единственият, който го заслужава. С малко избор и отсъствие на тежка съвест, вие отприщихте срещу тях същата страшна ярост, която доведе вашите хора до пълно господство във Вселената, откъдето дойдохте.#Сега тази галактика е ваша и макар че времето е малко, преди родният ви свят да рухне а онези, които са останали, преживяват съдба, по-лоша от смъртта, поне сега в това измерение не са останали хора, които да ви се противопоставят.!
GAME_OVER_REBEL_ALLIANCE_WIN2     | Първата фаза приключи, истинският тест едва сега започва...#Още в самото начало знаехте, че обитателите на тази галактика никога не биха се доверили доброволно да ръководите единен съюз на космически империи. Нечестни и недоверчиви, родните империи, обитаващи този кораб, бяха направили всичко възможно, за да провалят вашите планове, и с радост гласуваха срещу вас, когато започна образуването на Новата република. Но вие сте мъдър и хитър, и виждайки техните машинации толкова лесно, колкото човек чете думи на страница, вие насочихте дипломатическите си усилия само към онези, които са най-достойни да застанат до вас. И когато дойде времето, когато враговете ви помислиха, че са ви хванали в капан, те се озоваха в капан, който отдавна е изплетен.#Сега вие и вашите съюзници стоите победоносно в пепелта на онези, които смеят да се смятат за ваши по-добри. Съдбата на галактиката е във вашите ръце, тъй като вие сте свободни да намерите начин да прекарате заседналите си роднини през бариерите на измеренията и в нова вселена, узряла за превземането. И ако тези, които сте избрали за другари, ви пречат на вашите цели, вие ще се справите с тях толкова решително, колкото сте се справили с всички останали...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Първата фаза приключи, истинският тест едва сега започва...#Отдавна малка група от вашите хора бяха изхвърлени от своята умираща вселена и вкарани в тази нова и извънземна обстановка. Когато започнахте да търсите начин да привлечете тези, които бяха блокирани, да се присъединят към вас в тази нова и стабилна галактика, вашите срещи с тези, които вече живееха сред тези звезди, ви научиха бързо, че няма да можете да намерите отговорите, които търсите, докато продължават дребни и продължителни войни. Вместо това се опитахте да манипулирате хода на историята, докато сте забулени в сянка, и сега най-накрая тези планове се осъществиха.#Расата%7 пое владеенето на Новата република и те се оказаха податливи и възприемчиви към вашите дизайни и вашия съвет. Като доверени лица и съветници, вашите хора са в уникална позиция да управляват силата на самата галактика под ръководството на вашия съюзник. Прекалено сте далеч от пряката власт, за да почувствате реакцията, ако нещата се провалят. Ако успеете, укрепването на редиците ви с пристигането на отдавна изгубените ви роднини ще бъде повече от достатъчно, за да започнете нова епоха и да наклоните везните предимно във ваша полза...
GAME_OVER_COUNCIL_WIN2            | Първата фаза приключи, истинският тест едва сега започва...#Съвета изригва с аплодисменти, когато започнете да управлявате като господар на новата република. Вие смирено приемате тежестта на управлението, която ви е предоставена от империите, съставляващи Галактическия съвет, знаейки, че този край е резултат от дългогодишен план. Малко след като хората ви пристигнаха в това измерение и научиха за неговите тайни, вие знаехте, че само за вас ще бъде невъзможно да намерите начин, който да позволи на заклещените ви братя и сестри да извървят пътуването до този кораб, преди тяхната вселена да рухне изцяло. Сега, след години на години на дипломация, шпионаж и политически манипулации, вече не е нужно.#Сега, тази галактика е ваша, за да оформяте и извайвате и управлявате курса, който ви се струва най-добрият. Скоро ще насочите технологията, силата и иновациите на своите съюзници към това да ви помогнат да отворите портал към дома си и да изградите отново своята цивилизация тук с колкото се може повече от вашите хора. И ако някой се осмели да опита и да спре ти, сега имаш армиите на Новата република, за да смажеш несъгласието веднъж завинаги...
GAME_OVER_COUNCIL_MILITARY_WIN2   | Първата фаза приключи, истинският тест едва сега започва...#Сега вашето управление на тази галактика е оправдано с думи и дела. След безброй години манипулиране на вашите междузвездни съперници, за да ви помогнат да постигнете целите си, вашите планове най-накрая се осъществиха, когато спечелихте титлата „Господар на новата република“. И когато гласовете на вашите дисиденти се вдигнаха срещу вас, вие вече бяхте пуснали планове за движение, които ви позволиха да потушите бунта решително. Те се бориха, ти спечели и сега цялата галактика е твоя, за да правиш каквото си искаш.#С твоите врагове, смлени на прах и разпръснати върху слънчевите ветрове, насочваш вниманието си към истинската си цел: да намериш начин да доведеш разпръснати хора през измерената пропаст в тази нова и стабилна вселена, където вашата империя може да се прероди. Никой не би посмял да се изкаже срещу теб сега, не и след като видя какво се е случило с онези глупаци, които го направиха ...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Краят на вашето търсене, краят на вашите хора...#Най-тъжната съдба, която бихте могли да постигнете за своите хора, е превърната в реалност. Вашата несравнима способност за измама и манипулация е била осуетена от непълноценни видове, които не са могли да се надяват да разберат великата работа, която се опитвате да свършите. Въпреки че успяхте в монументалната задача да станете избран владетел на галактиката, като същевременно запазихте тайната, която покриваше целите ви, не успяхте да потушите бунта, който скоро се надигна.#Сега е твърде късно за вас, да насочвате бъдещето на галактиката по пътя, който сметнете за подходящ. Бунтът остави Новата република като руини, които победителите могат да грабят и надграждат. И смъртта на Дарлок запечатва съдбата на онези, които остават в капан в обречена вселена, която нямат надежда да избягат. Вашият неуспех запечата съдбата на вашата империя в не една, а две вселени и като такава е по-монументална, отколкото някой от враговете ви може дори да разбере ...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | сенчестата хватка на Дарлоките се впримчва
GAME_OVER_REBELLION_LOSS3         | непознаваемите машинации на Дарлоците
