// race-specific variables (must start with _)
_empire                           | Човешки Триумвират, Теран Триумвират, Телан Триумвират, Приман Триумвират, Мидгардиан Триумвират
MAIN_ADVISOR_COUNCIL              | Триумвир! Среща на всички междузвездни империи ще се случи само след 5 години. Насочете нашите дипломати да подобрят начина, по който ни гледат, и ние ще използваме нашите предимства, за да насочим този Галактически съвет към нашите цели.
MAIN_ADVISOR_REBELLION            | Чувам съм съобщения, че на %1. Тече бунт. Бунт! От всички неща! Нека пратим войски на земята и да вземем тази колония под контрол.
MAIN_ADVISOR_RESIST_COUNCIL       | Изглежда, че това ще бъде последната ни война. Надявам се само, че уроците от миналото ще бъдат достатъчни, за да се подготвим за това което ни предстои...
MAIN_ADVISOR_COUNCIL_RESISTED     | Вижте онези глупави бунтовници! Демократично сме избрани да водим тази галактика напред и всичко, за което се сещат, е война ?! Тогава нека им дадем това, което те искат! 

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | И най-добрите ви планове завинаги се провалиха.#Твоята раса, беше преживяла всякакви трудности, както външни, така и вътрешни. Но тук, в дълбините на космоса, вашите хора намериха трудности, които не можеха да понесат. Дори когато стояхте обединени в лицето на този общ враг, силата и изобретателността на човечеството се оказаха недостатъчни, империята която се гордееше със способността да поддържа силни дипломатически връзки, падна от онези, срещу които не можеше да използва дипломация.#Няма да има повече мечти от хората на Земята, няма повече писания, няма изкуство и няма песни. Обнадеждаващият глас на човечеството, който някога се пееше в космоса, сега вече го няма, заменен е за мълчание, което ще продължи до вечността...
GAME_OVER_MILITARY_WIN2           | Великите ви планове, най-накрая успяха.#Радвай се, Триумвир! Най-после дългите години на подготовка и внимателно организиране на вашите дела завършиха с пълна победа. Само един майсторски дипломат можеше да поддържа приятелски връзки с толкова много империи, докато избиваше враговете един по един, и само блестящ тактик можеше да води силите си към успех срещу такива плашещи и мощни врагове. Без съмнение онези, които сте успели да убедите да останат ваши съюзници проклинаха крайното ви предателство с последния си дъх. Сега те са не повече от мастило на страниците на историята и дори тогава само ако решите да им позволите да бъдат такива.#Скоро ще има празник в Триумвирата, какъвто човечеството никога не е виждало досега. Тъй като когато хората за първи път погледнаха звездите, те се чудеха дали не са сами в галактиката. Сега, хилядолетия по-късно, този горещ въпрос получи своя окончателен отговор. 
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Великите ви планове, най-накрая успяха.#Само глупак би си помислил, че могат да доведат империя до истински постоянен мир, без да създават приятелства по пътя. Вие несъмнено сте доказали, че не сте глупак, за разлика от враговете, които са се опитали да ви изгонят от галактиката. Във вашето време на нужда не вашата сила, нито вашата хитрост, а здрави връзки на приятелство се оказаха вашето спасение. Сега призраците на вашите врагове знаят само мизерно поражение, докато вие и вашите съюзници сте свободни да се наслаждавате на плодовете на просперитета заедно завинаги.#Тази битка, тази победа и този мир ще бъдат ценни уроци за потомците на участващите. Те ще научат как съюзите са по-мощни дори от най-ужасяващото оръжие и че стабилната психика винаги ще надделее дори срещу най-ужасяващите свирепости. Отпуснете се и се насладете на вашия просперитет, Триумвир, и знайте, че вашите хора ще правят същото завинаги...
GAME_OVER_COUNCIL_LOSS2           | И най-добрите ви планове завинаги се провалиха.#Това трябваше да бъде вашият най- добър момент: решителна дипломатическа победа, която осигурява вашето място над всички други империи в галактиката. Вместо това надеждите ви бяха разбити в последния час от крадеца на трона на Новата република, чиито дипломати се оказаха дори по-убедителни и харизматични от вашите. Няма съмнение, че цялата работа, която сте положили за създаване на съюзи, скоро ще се обърне срещу вас, тъй като новият владетел на галактиката систематично убеждава другите, че само те са единственият истински съюзник и че вашите думи са само измамна отрова, предназначена да даде контрол над бъдещето на вас и вашите хора.#Вашите дипломатически цели сега ще се изместят от напредването на вашите идеали към оцеляването на вашата раса. Една грешна стъпка може да потопи хората ви в последната им война. Наблюдавайте хоризонта, Триумвир: дори и най-малките и слаби врагове могат да станат началото на края...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Великите ви планове осигуриха оцеляването на човечеството.#Въпреки че други обстоятелства може да са ви позволили да поемете ръководството на Новата република вместо вашия съюзник, никой не може да отрече, че вашите превъзходни политически маневри са ви поставили в позиция за избор. Поради неразрушимия ви съюз с расата% 6, можете да бъдете сигурни, че никой няма да посмее да заплаши Триумвирата, когато това рискува гнева на цялата галактика. Виждали сте% 8 и знаете неговата сила и като най-главният доверен човек на Господаря на Новата република ще се уверите, че желанията на вашите хора са изпълнени, независимо от цената.#В крайна сметка оцеляването е самата крайна победа и това е малко съмнение, че вашите хора ще оцелеят в това неизвестно бъдеще. И кой знае, Триумвират: може би да имаш ухото на новия господар на галактиката ще се окаже също толкова плодотворно, колкото и да си господар...
GAME_OVER_REBELLION_LOSS2         | И най-добрите ви планове завинаги се провалиха.#Независимо дали е сила или недостатък, човечеството винаги е имало присъща потребност да се бунтува срещу потисниците и тази нужда се оказва крайната му унищожение. Може би беше неизбежно, когато човешките представители не успяха да осигурят лидерството на Новата република за Триумвирата. Може би беше сигурно, че расата% 6, чиято философия е напълно несъвместима с визията за бъдещето, която човечеството е пожелало, ще се окаже враг, твърде мощен, за да издържи дори трайният дух на човечеството. Има много "какво ако?", но сега няма отговор, освен тишината, която остава.#Като% 8 галактиката, последните защитници на Триумвирата падат и империята се руши на прах. Последният проблясък на надежда за вашите хора е, че те водят борба, достойна за спомен: тъй като със сигурност те знаят, докато умират, че да станат призраци на историята е най-доброто, на което могат да се надяват...
GAME_OVER_REBELLION_WIN2          | Великите ви планове, най-накрая успяха.#Тези, които са ви смятали за кротък лидер, способен само на посреднически сделки, са доживели ден, за който със сигурност ще съжаляват. Въпреки че дори вие признавате, че дипломатическите преговори биха били предпочитаният път към мира, вие знаете, че галактиката не може да се надява да постигне възможно най-доброто си бъдеще, ако човечеството не поеме юздите, за да я води там. Тези, които са гласували против вашето законно възнесение, могат да вземат пепелта от своята Нова република със себе си в гробовете си: човечеството няма да бъде отказано на полагащото му се място сред звездите!#Вашите смели и дръзки действия доведоха не само до изкореняването на всяка друга империя която нарече дома си галактиката, но накара останалите двама Триумвири да ви отстъпят силата си в страх от това, на което сте способни. Заемете мястото си на трона сега като Император %2 и отидете смело в бъдещето, което само вие можете да осъзнаете!
GAME_OVER_REBEL_ALLIANCE_WIN2     | Великите ви планове, най-накрая успяха.#"Не може да има мир, докато волята на човечеството е игнорирана." Това казахте на бившия Галактически съвет, когато ви предаде, и това повторихте на хората и съюзниците си, когато последната битка завърши с победа. Години след години деликатно политическо жонглиране и облагане с дипломатически преговори бяха осуетени в последния час, но в крайна сметка те не бяха напразни. Сега сте готови да заемете трона и знаете, че онези, които са достатъчно смели, за да се присъединят към вас във вашия бунт, няма да имат причина да се противопоставят на вашето възнесение.#За вас беше добре да намерите родство сред някои от извънземните, обитавали чужди звезди, тъй като те допринесоха за постигането на целите ви за унищожаване на фалшивата република, която се изгради преди вас. С радост ще се уверите, че те вземат равно участие в изграждането на това ново бъдеще и ще извлекат своя равен дял от наградите. Защото Нова Република вече няма, Триумвир: сега започва Великата Република! Насладете се на предизвикателствата и наградите му: без съмнение сте ги спечелили. 
GAME_OVER_COUNCIL_WIN2            | Великите ви планове, най-накрая успяха.#След безброй години всичките парчета от пъзела са на мястото си, докато вашите схеми достигат до целта си. Необходими са дипломатически умения, за да се организира подобно единство между толкова различни и разграничени цивилизации. И все пак, през всички неуспехи и преоценки на вашите стратегии, вие седите сега начело на Новата република, без нито един неприятел сред вас. Без признаци на бунт на хоризонта, бъдещето на тази галактика е ваше, което бъдеще ще трябва да оформите. Трябва само да насочите поддръжниците си към техните задачи и те със сигурност ще видят това изпълнено.#Ще влезете в историята не само като първия лидер на Новата република, но и като легендарния дипломат, чиято харизма и умения създават толкова силни съюзи, че дори враждата между враговете не може да ги сломи. Те ще ви изучават в републиканските академии за поколения напред и всички ще завиждат на времето, в което живеете, като пожелаят те да имат само една възможност да ви срещнат и да видят лично лицето зад легендата ...
GAME_OVER_COUNCIL_MILITARY_WIN2   | Великите ви планове, най-накрая успяха.#Новата република е твоя, Триумвир! Вашите политически машинации ви направиха господар на бъдещето на тази галактика, почитан от всички като хитър дипломат и справедлив владетел. Хората бяха ужасени от бунта, който се надигна в отговор на вашето поемане на трона, но останалата част от галактиката стояха обединени зад вас, гордо провъзгласявайки се, че са готови да умрат за вашата визия за бъдещето. И въпреки че много от най-смелите са положили живота си, новата република, а не бунтът, са постигнали тотална победа. Въпреки че остава много работа, никой не може да се съмнява, че вашата глава в историята ще бъде сред най-важните, които някога са били или ще бъдат. Гордейте се с постигнатото и се радвайте, че можете да вдъхнете такава отдаденост от толкова много различни цивилизации с различни философии. Почивай, докато можеш, Триумвир, поредния нов тест на твоите дипломатически умения със сигурност е точно зад ъгъла...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | И най-добрите ви планове завинаги се провалиха.#От всички гафове, които направихте като господар на новата република, е трудно да се каже дали най-големият е надценяване на съюзниците си или подценяване на враговете си. Съществуването на бунта не беше изненадващо: даденост е, че винаги ще има онези, които яростно се противопоставят на промяната, независимо под каква форма тя ще бъде. Скоростта и хитростта, с които те завладяха силите на Новата република, беше това, което наистина ви изненада. Превъзхождан, вие не успяхте да направите нещо повече от това да очаквате неизбежен край.#Въстанието е победоносно и Триумвиратът и неговите съюзници ще умрат заедно със самата Нова република. Сега плячката от войната принадлежи на бунтовниците и именно те ще решат посоката, към която ще се движи галактиката от този ден напред. Ако изобщо ще ви запомнят, това ще бъде само вашето безславно поражение. Ако беше по-подходящ за война, може би тази галактика можеше да познава мира и да бъде пощадена от тази най-неблагоприятна война ...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | майсторската дипломация на хората
GAME_OVER_REBELLION_LOSS3         | подлата интрига на хората 
