// Total # categories. MUST BE FIRST

// please note that techs with a lvl=0 are default technologies that cannot be seen by 
// the player and MUST not be removed since they are assumed to always be present. 
// They should always be free=1. 

// All techs with free=1 are given to players at startup

// COMPUTER TECHS
cat:   0
// tech: lvl, TechType,     seq#,  free?, Image, Sound
tech:  5, EcoRestoration,        1, 0, TECH_ECO_RESTORATION_3,
tech:  6, ControlEnvironment,    2, 0, TECH_CONTROL_TUNDRA,
tech:  8, ImprovedTerraforming,  1, 0, TECH_IMPR_TERRAFORM_20,
tech:  9, ControlEnvironment,    3, 0, TECH_CONTROL_DEAD,
tech: 10, BiologicalWeapon,      0, 0, TECH_DEATH_SPORES,
tech: 12, ControlEnvironment,    4, 0, TECH_CONTROL_INFERNO,
tech: 13, EcoRestoration,        2, 0, TECH_ECO_RESTORATION_5,
tech: 14, ImprovedTerraforming,  2, 0, TECH_IMPR_TERRAFORM_30,
tech: 15, ControlEnvironment,    5, 0, TECH_CONTROL_TOXIC,
tech: 16, SoilEnrichment,        0, 0, TECH_SOIL_ENRICHMENT,
tech: 17, BiologicalAntidote,    0, 0, TECH_BIOTOXIN_ANTIDOTE,
tech: 18, ControlEnvironment,    6, 0, TECH_CONTROL_IRRADIATED,
tech: 20, ImprovedTerraforming,  3, 0, TECH_IMPR_TERRAFORM_40,
tech: 21, Cloning,               0, 0, TECH_CLONING,
tech: 22, AtmosphereEnrichment,  0, 0, TECH_ATMO_TERRAFORM,
tech: 24, EcoRestoration,        3, 0, TECH_ECO_RESTORATION_10,
tech: 26, ImprovedTerraforming,  4, 0, TECH_IMPR_TERRAFORM_50,
tech: 27, BiologicalWeapon,      1, 0, TECH_DOOM_VIRUS,
tech: 30, SoilEnrichment,        1, 0, TECH_ADV_SOIL_ENRICHMENT,
tech: 32, ImprovedTerraforming,  5, 0, TECH_IMPR_TERRAFORM_60,
tech: 34, EcoRestoration,        4, 0, TECH_ECO_RESTORATION_20,
tech: 36, BiologicalAntidote,    1, 0, TECH_UNIVERSAL_ANTIDOTE,
tech: 38, ImprovedTerraforming,  6, 0, TECH_IMPR_TERRAFORM_80,
tech: 40, BiologicalWeapon,      2, 0, TECH_BIO_TERMINATOR,
tech: 42, Cloning,               1, 0, TECH_ADV_CLONING,
tech: 44, ImprovedTerraforming,  7, 0, TECH_IMPR_TERRAFORM_100,
tech: 50, ImprovedTerraforming,  8, 0, TECH_IMPR_TERRAFORM_120,
tech: 55, FuturePlanetology,     0, 0, TECH_FUTURE_PLANETOLOGY_01,
tech: 60, FuturePlanetology,     1, 0, TECH_FUTURE_PLANETOLOGY_02,
tech: 65, FuturePlanetology,     2, 0, TECH_FUTURE_PLANETOLOGY_03,
tech: 70, FuturePlanetology,     3, 0, TECH_FUTURE_PLANETOLOGY_04,
tech: 75, FuturePlanetology,     4, 0, TECH_FUTURE_PLANETOLOGY_05,
tech: 80, FuturePlanetology,     5, 0, TECH_FUTURE_PLANETOLOGY_06,
tech: 85, FuturePlanetology,     6, 0, TECH_FUTURE_PLANETOLOGY_07,
tech: 90, FuturePlanetology,     7, 0, TECH_FUTURE_PLANETOLOGY_08,
tech: 95, FuturePlanetology,     8, 0, TECH_FUTURE_PLANETOLOGY_09,
tech:100, FuturePlanetology,     9, 0, TECH_FUTURE_PLANETOLOGY_10,

//PROPULSION TECHS
cat:  4
tech:  1, EngineWarp,            0, 1, ,
tech:  1, FuelRange,             0, 1, ,
tech:  3, FuelRange,             1, 0, TECH_FUEL_HYDROGEN,
tech:  5, FuelRange,             2, 0, TECH_FUEL_DEUTERIUM,
tech:  6, EngineWarp,            1, 0, TECH_WARP_NUCLEAR,
tech:  9, FuelRange,             3, 0, TECH_FUEL_IRRIDIUM,
tech: 10, ShipInertial,          0, 0, TECH_INERTIAL_STABILIZER,
tech: 12, EngineWarp,            2, 0, TECH_WARP_SUBLIGHT,
tech: 14, FuelRange,             4, 0, TECH_FUEL_DOTOMITE,
tech: 16, EnergyPulsar,          0, 0, TECH_ENERGY_PULSAR,
tech: 18, EngineWarp,            3, 0, TECH_WARP_FUSION,
tech: 19, FuelRange,             5, 0, TECH_FUEL_URIDIUM,
tech: 20, ShipNullifier,         1, 0, TECH_WARP_DISSIPATOR,
tech: 23, FuelRange,             6, 0, TECH_FUEL_REAJAX,
tech: 24, EngineWarp,            4, 0, TECH_WARP_IMPULSE,
tech: 27, Stargate,              0, 0, TECH_STARGATES,
tech: 29, FuelRange,             7, 0, TECH_FUEL_TRILITHIUM,
tech: 30, EngineWarp,            5, 0, TECH_WARP_ION,
tech: 34, BeamFocus,             0, 0, TECH_HIGH_ENERGY_FOCUS,
tech: 36, EngineWarp,            6, 0, TECH_WARP_ANTIMATTER,
tech: 38, Teleporter,            0, 0, TECH_SUBSPACE_TELEPORTER,
tech: 40, EnergyPulsar,          1, 0, TECH_IONIC_PULSAR,
tech: 41, FuelRange,             8, 0, TECH_FUEL_THORIUM,
tech: 42, EngineWarp,            7, 0, TECH_WARP_INTERPHASED,
tech: 43, SubspaceInterdictor,   0, 0, TECH_SUBSPACE_INTERDICTOR,
tech: 45, CombatTransporter,     0, 0, TECH_COMBAT_TRANSPORTERS,
tech: 46, ShipInertial,          1, 0, TECH_INERTIAL_NULLIFIER,
tech: 48, EngineWarp,            8, 0, TECH_WARP_HYPER,
tech: 50, Displacement,          0, 0, TECH_DISPLACEMENT_DEVICE,
tech: 55, FuturePropulsion,      0, 0, TECH_FUTURE_PROPULSION_01,
tech: 60, FuturePropulsion,      1, 0, TECH_FUTURE_PROPULSION_02,
tech: 65, FuturePropulsion,      2, 0, TECH_FUTURE_PROPULSION_03,
tech: 70, FuturePropulsion,      3, 0, TECH_FUTURE_PROPULSION_04,
tech: 75, FuturePropulsion,      4, 0, TECH_FUTURE_PROPULSION_05,
tech: 80, FuturePropulsion,      5, 0, TECH_FUTURE_PROPULSION_06,
tech: 85, FuturePropulsion,      6, 0, TECH_FUTURE_PROPULSION_07,
tech: 90, FuturePropulsion,      7, 0, TECH_FUTURE_PROPULSION_08,
tech: 95, FuturePropulsion,      8, 0, TECH_FUTURE_PROPULSION_09,
tech:100, FuturePropulsion,      9, 0, TECH_FUTURE_PROPULSION_10,

//WEAPON TECHS
cat:  5
tech:  0, HandWeapon,            0, 1, ,                             BaseWeapon
tech:  1, BombWeapon,            0, 1, ,
tech:  1, MissileWeapon,         0, 1, ,
tech:  1, ShipWeapon,            0, 1, ,
tech:  2, HandWeapon,            1, 0, TECH_HAND_LASER,              HandLaser
tech:  4, MissileWeapon,         1, 0, TECH_HYPER-V_ROCKET,
tech:  5, ShipWeapon,            1, 0, TECH_GATLING_LASER,
tech:  6, MissileShield,         0, 0, TECH_MISSILE_SHIELD_01,
tech:  7, ShipWeapon,            2, 0, TECH_NEUTRON_PELLET_GUN,
tech:  8, MissileWeapon,         2, 0, TECH_HYPER-X_ROCKET,
tech:  9, BombWeapon,            1, 0, TECH_FUSION_BOMB,
tech: 10, ShipWeapon,            3, 0, TECH_ION_CANNON,
tech: 11, MissileWeapon,         3, 0, TECH_SCATTER_PACK_V_MISSILE,
tech: 12, HandWeapon,            2, 0, TECH_ION_RIFLE,               IonRifle
tech: 13, ShipWeapon,            4, 0, TECH_MASS_DRIVER,
tech: 14, MissileWeapon,         4, 0, TECH_MERCULITE_MISSILE,
tech: 15, ShipWeapon,            5, 0, TECH_NEUTRON_BLASTER,
tech: 16, BombWeapon,            2, 0, TECH_ANTIMATTER_BOMB,
tech: 17, ShipWeapon,            6, 0, TECH_GRAVITON_BEAM,
tech: 18, MissileWeapon,         5, 0, TECH_STINGER_MISSILE,
tech: 19, ShipWeapon,            7, 0, TECH_HARD_BEAM,
tech: 20, ShipWeapon,            8, 0, TECH_FUSION_BEAM,
tech: 21, StreamProjector,       0, 0, TECH_ION_STREAM_PROJECTOR,
tech: 22, BombWeapon,            3, 0, TECH_OMEGA-V_BOMB,
tech: 23, TorpedoWeapon,         0, 0, TECH_ANTIMATTER_TORPEDO,
tech: 24, HandWeapon,            3, 0, TECH_FUSION_RIFLE,           FusionRifle
tech: 25, ShipWeapon,            9, 0, TECH_MEGABOLT_CANNON,
tech: 26, ShipWeapon,           10, 0, TECH_PULSE_PHASOR,
tech: 27, MissileWeapon,         6, 0, TECH_SCATTER_PACK_VII_MISSILE,
tech: 28, ShipWeapon,           11, 0, TECH_AUTO_BLASTER,
tech: 29, MissileWeapon,         7, 0, TECH_PULSON_MISSILE,
tech: 30, ShipWeapon,           12, 0, TECH_TACHYON_BEAM,
tech: 31, HandWeapon,            4, 0, TECH_HAND_PHASOR,            HandPhasor
tech: 32, ShipWeapon,           13, 0, TECH_GAUSS_AUTOCANNON,
tech: 33, ShipWeapon,           14, 0, TECH_PARTICLE_BEAM,
tech: 34, MissileWeapon,         8, 0, TECH_HERCULAR_MISSILE,
tech: 35, ShipWeapon,           15, 0, TECH_PLASMA_CANNON,
tech: 36, ShipWeapon,           16, 0, TECH_DEATH_RAY,
tech: 37, ShipWeapon,           17, 0, TECH_DISRUPTOR,
tech: 38, ShipWeapon,           18, 0, TECH_PULSE_PHASOR,
tech: 39, BombWeapon,            4, 0, TECH_NEUTRONIUM_BOMB,
tech: 40, TorpedoWeapon,         1, 0, TECH_HELLFIRE_TORPEDO,
tech: 41, MissileWeapon,         9, 0, TECH_ZEON_MISSILE,
tech: 42, HandWeapon,            5, 0, TECH_PLASMA_RIFLE,          PlasmaRifle
tech: 43, TorpedoWeapon,         2, 0, TECH_PROTON_TORPEDO,
tech: 44, MissileWeapon,        10, 0, TECH_SCATTER_PACK_X_MISSILE,
tech: 45, ShipWeapon,           19, 0, TECH_TRI-FOCUS_PLASMA_CANNON,
tech: 46, ShipWeapon,           20, 0, TECH_STELLAR_CONVERTOR,
tech: 47, StreamProjector,       1, 0, TECH_NEUTRON_STREAM_PROJECTOR,
tech: 48, ShipWeapon,           21, 0, TECH_MAULER_DEVICE,
tech: 50, TorpedoWeapon,         3, 0, TECH_PLASMA_TORPEDO,
tech: 55, FutureWeapon,          0, 0, TECH_FUTURE_WEAPON_01,
tech: 60, FutureWeapon,          1, 0, TECH_FUTURE_WEAPON_02,
tech: 65, FutureWeapon,          2, 0, TECH_FUTURE_WEAPON_03,
tech: 70, FutureWeapon,          3, 0, TECH_FUTURE_WEAPON_04,
tech: 75, FutureWeapon,          4, 0, TECH_FUTURE_WEAPON_05,
tech: 80, FutureWeapon,          5, 0, TECH_FUTURE_WEAPON_06,
tech: 85, FutureWeapon,          6, 0, TECH_FUTURE_WEAPON_07,
tech: 90, FutureWeapon,          7, 0, TECH_FUTURE_WEAPON_08,
tech: 95, FutureWeapon,          8, 0, TECH_FUTURE_WEAPON_09,
tech:100, FutureWeapon,          9, 0, TECH_FUTURE_WEAPON_10,
