// race-specific variables (must start with _)
_empire                    | Imperiul Silicoid, Imperiul Igneoid, Imperiul Sedimoid, Imperiul Granitoid, Imperiul Magmoid
GAME_OVER_MILITARY_LOSS2          | Cruciada ta sfântă a ajuns la un sfârșit trist. #Fiecare lume din longevul Imperiu Silicoid a fost cucerită, sau mai rău, de creaturi ciudate și extraterestre. Tu ai fost Împăratul Cristalin care a promis că își va conduce poporul la împlinirea celei mai străvechi și sacre profeții a lor: să scape odată pentru totdeauna galaxia de nenorocitul Quaralon și de progeniturile lui nefaste. În schimb, i-ai condus doar la ruină și, pe măsură ce soarele răsare peste ultima colonie de Silicoizi care încă rezista împotriva forțelor extraterestre, amploarea eșecului tău va fi simțită în curând de imperiile care rămân în această galaxie. #Imperiul a fost distrus pentru totdeauna și, cu oamenii tăi eliminați, este fără îndoială că Quaralon și progeniturile lui nefaste vor stăpânii necontestați întreaga galaxia, până la sfârșitul timpului...
GAME_OVER_MILITARY_WIN2           | Sfânta ta cruciadă s-a încheiat în final cu succes. Nereușind să confirmi identitatea celui mai antic inamic al poporului tău, ai ales singura opțiune disponibilă rămasă: eliminarea tuturor locuitorilor galaxiei fără milă. Nicio specie nu a fost capabilă să se dovedească superioară zelului tău nestăpânit și puterii tale necruțătoare. Fiecare a căzut pe rând, iar lumile lor au fost acum curățate de orice influență posibilă a mizeriei lui Quaralon. Și pentru a se asigura că rămân curate, Imperiul tău va cucerii fiecare planetă și le va păzii până la sfârșitul timpurilor. #Imperiul tău va rezista acum, fără îndoială, până la sfârșitul existenței și nimeni nu va mai putea să i se opună vreodată! Trăiască Împăratul Cristalin! Trăiască Imperiul!
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Sfânta ta cruciadă s-a încheiat în final cu succes. #În timp ce nu ai reușit să stabilești adevărata identitate a Progeniturilor lui Quaralon, unii dintre cei care locuiesc în galaxie s-au dovedit puțin probabili să fie urmașii celui mai urat inamic al tău. Cei care nu au putut face acest lucru și-au întâlnit soarta finală în mâinile legiunilor tale fără de sfârșit. Acum, tot cei ce rămân în galaxie sunt cei care s-au arătat a fi loiali și puri în inimile lor, iar galaxia este acum a voastră să o controlați cum doriți. #Dar... dacă te înșeli cu privire la identitatea celor cărora le-ai permis să rămână în viață, cruciada ta ar putea avea nevoie într-o zi să reînceapă din nou...
GAME_OVER_COUNCIL_LOSS2           | Cruciada ta sfântă a ajuns la un sfârșit trist. #De-a lungul călătoriei tale prin galaxie, ai luptat războaie, ai cucerit lumi și ai făcut alianțe cu numeroase civilizații extraterestre. Cu toate acestea, în ciuda eforturilor tale, nu ai fost în final capabil nici să convingi imperiile care umplu cosmosul de amenințarea reprezentată de Progeniturile lui Quaralon și nici să obții o forță militară suficient de puternică încât să le forțeze să respecte sfânta ta cruciadă. Acum au ales mizerabila specie %6 pentru a le conduce în viitor. #Deși acestea speră că viitorul va fi prosper și pașnic, doar tu știi adevărul a ceea ce îi așteaptă pe toți cei care nu vor fi influențați de cauza ta. Poate că, în viitor, un alt Împărat Cristalin va reuși acolo unde tu ai eșuat și într-o zi focurile războiului tău sfânt ar putea arde încă o dată...
GAME_OVER_REBELLION_LOSS2         | Cruciada ta sfântă a ajuns la un sfârșit trist. #Odată cu formarea unei noi Republici sub Consiliul Galactic condus de către malefica specie %6 , singura alegere posibilă pentru tine a fost o rebeliune nefericită în speranța că războiul tău drept ar putea continua. Deși speranța nu a fost niciodată în abundență pe calea pe care ai ales-o, ea a fost totuși acolo și dacă deciziile tale ar fi fost alese cu mai multă înțelepciune, poate că ai fi reușit chiar să te scalzi în lumina victoriei. #Dar nu mai este nicio lumină pentru tine sau pentru Imperiu tău și așa cum %8 galaxia, gândurile tale finale se concentrează pe Quaralon și pe progeniturile lui, pe eșecul tău de a-i găsi și distruge și pe soarta brutală care așteaptă acum această galaxie, lipsită acum de orice apărare fără poporul tău...
GAME_OVER_REBELLION_WIN2          | Cruciada ta sfântă s-a încheiat cu o victorie supremă! #Imperiile patetice ale galaxiei au făcut cea mai prostească alegere. Unindu-se sup steagul mizerabilei specii %6 și întorcând spatele sfintei tale cruciade, acestea și-au pecetluit atât soarta lor cât și a întregii galaxii. Dar tu, Împăratul Cristalin, știai că acest lucru nu poate fi permis și, cu priceperea doar a celor mai legendari eroi, ți-ai condus poporul la victorie într-un război imposibil împotriva întregii galaxii! #Dacă proștii ar fi ascultat avertismentele tale, poate că ar fi trăit să vadă greșeala căilor lor. Dar acum, în sfârșit, galaxia poate îndura singura pace adevărată pe care ar putea să o cunoască vreodată. Bucură-te de victorie, Împărat Cristalin! Trăiască puternicul Imperiu Silicoid!
GAME_OVER_REBEL_ALLIANCE_WIN2     | Sfânta ta cruciadă s-a încheiat în final cu succes. #Pe măsură ce ultimul dintre inamicii tăi cade în fața ta, simți fiorul progresului făcut de cruciada ta de la începutul ei. A fost o eroare a speciilor patetice care locuiesc în această galaxie să aleagă specia %6 pentru a le îndepărta de chemarea cruciadei. Întorcându-se de la înțelepciunea ta, ei te-au sfidat atât pe tine, cât și pe profeția lui Chryslon: un act care nu putea fi tolerat și pe care, fără îndoială, ar fi ajuns să-l regrete dacă ar fi trăit suficient de mult pentru a face acest lucru. #Numai cei suficient de înțelepți să ia în considerare avertismentele tale, și să te ajute în război, se vor putea bucura acum de pacea oferită de tine galaxiei, cu amenințarea lui Quaralon eliminată odată pentru totdeauna. Desigur, dacă ei înșiși se dovedesc a fi progeniturile lui Quaralon deghizați...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Cruciada ta a ajuns la un sfârșit neașteptat. #Imperiul Silicoid a făcut multe în căutarea sa în întreaga galaxie. Sub conducerea ta, oamenii tăi au întâlnit numeroase civilizații extraterestre. Multe dintre aceste rase s-au dovedit a fi dușmani și potențiali purtători ai sângelui ticălosului Quaralon. Totuși, în mod neașteptat, unii s-au dovedit prieteni ai străvechiului tău imperiu. Acum, în ajunul creării Noii Republici, ați votat pentru %7, permițându-le să aducă o nouă eră pașnică în galaxie. #În timp ce vă pregătiți să cedați viitorul %8, speri doar că puterea și înțelepciunea lor vor fi suficiente pentru a proteja galaxia de cel mai mare rău al profeției tale străvechi. Căci dacă ai ales greșit, pacea promisă prin formarea acestei alianțe se va dovedi într-adevăr de scurtă durată...
GAME_OVER_COUNCIL_WIN2            | Sfânta ta cruciadă s-a încheiat în final cu succes. #Odinioară Împăratul Cristalin al Imperiului Silicoid, acum ești Maestru al Noii Republici formată din diferitele imperii ale Consiliului Galactic. Nicio rasă nu a îndrăznit să ridice o obiecție la această soartă predestinată, realizând fără îndoială că energiile lor sunt mai bine cheltuite pentru a vă ajuta cauza. Dușmanii Imperiului sunt acum inamicii galaxiei, iar asta nu poate decât să însemne o condamnare la moarte a Progeniturilor lui Quaralon. #Dacă le găsești în galaxie, fiecare rasă se va uni sub steagul tău și le va elimina complet. Dacă le găsești ascunși printre rasele consiliului, vai de cei care au îndrăznit să se ascundă de tine atât de mult...
GAME_OVER_COUNCIL_MILITARY_WIN2   | Sfânta ta cruciadă s-a încheiat în final cu succes. #După ascensiunea ta pe tronul consiliului și a începerii conducerii tale, scena a fost pregătită pentru un nou capitol în cruciada pentru a curăța mizeriei Progeniturilor lui Quaralon din galaxie. Rebeliunea împotriva ta a fost prost concepută și condamnată să eșueze de la început, iar viețile pierdute în înăbușirea ei nu au fost irosite: demonstrându-ți capacitățile de comandant, ți-ai consolidat poziția de conducător care nu trebuie doar respectat, ci și temut. #Întreaga armată a Noii Republici stă în spatele steagul tău și este gata să facă orice este nevoie pentru încheierea cruciadei. Vechiul tău dușman nu va avea unde să se ascundă și, dacă progeniturile lui Quaralon ar fi printre cei pe care îi conduci acum, întreaga putere a galaxiei va fi adusă împotriva lor. Trebuie doar să afli unde se ascunde inamicul tău pentru a începe Războiul Final și a stabilii pacea în galaxie pentru totdeauna...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Cruciada ta sfântă a ajuns la un sfârșit trist. #Ai fost Stăpânul Noii Republici, gata să conduci legiuni în luptă împotriva inamicului din profeție. Cu toate acestea, rebeliunea care s-a ridicat împotriva ta a fost neașteptată și, din păcate, mult prea mult pentru a putea face față. Fie din cauza lașității supușilor tăi, fie din cauza greșelilor militare pe care le-ai făcut în calitate de comandant, Imperiul Silicoid nu mai există, iar specii inferioare îți infestează acum lumile. #Odată cu căderea Imperiului și moartea Noii Republici, nimeni nu va putea să găsească progeniturile lui Quaralon, darămite să-i învingă și să aducă pacea în galaxie. Poate că dacă ți-ai fi comandat armatele mai bine, profeția s-ar fi împlinit și dezastrul ar fi putut fi evitat. Acum, odată cu înfrângerea ta, acea profeție stă îngropată în nisipurile timpului, pentru a nu fi îndeplinită vreodată, sau chiar cunoscută, din nou...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | fanatismul neînduplecat al Silicoizilor
GAME_OVER_REBELLION_LOSS3         | zelul fanatic al Silicoizilor înghite
