// race-specific variables (must start with _)
_empire                           | Conclava Sakkrană, Conclava Reptarană, Conclava Saurană, Conclava Raptorană, Conclava Tyrannană
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Salvarea tuturor lumilor va fi în curând posibilă... #Deși nu este finalul pe care ai sperat cel mai mult să îl obții, nu poți să nu zâmbești în timp ce te bucuri de victoria bine câștigată. Știai că vor exista alte rase în această galaxie care pur și simplu își vor vedea planetele ca resurse de exploatat, ignorând înțelepciunea filozofiei tale. Oamenii tăi au fost pregătiți să lupte pentru a apăra sfințenia fiecărei planete, oricât de mică ar fi. Acum, dușmanii tăi s-au transformat în praf și știi că echilibrele delicate ale fiecărui sistem ecologic nu vor fi niciodată supuse capriciilor celor care le-ar face rău. #Te-ai bucurat să găsești aliați care ți-au ascultat mesajul și care au fost dispuși să-și trateze lumile cu un nou respect, pe măsură ce au învățat din ceea ce ai avut de predat. Spre marea ta surprindere, aceștia au și ridicat armele împreună cu tine, apărându-și fără îndoială propriile interese, dar ajutându-te și pe tine să le aperi pe ale tale. Acum poți lucra la vindecarea daunelor cauzate de numeroase și ireverente războaie. În timp, poți doar spera că vei putea să-ți convingi prietenii să facă acest lucru și pe lumile lor...
GAME_OVER_COUNCIL_LOSS2           | Soarta tuturor lumilor este pecetluită... #Mașinațiunile imperiilor tale rivale s-au dovedit a fi distrugerea ta. Pe măsură ce ai călătorit prin galaxie, perfecționând pe rând ecosistemele fiecărei planete, era inevitabil să găsești lumi revendicate de alții, care ar rămâne dincolo de influența ta. Prin diplomație și manevre politice, cu siguranță ai fi reușit să câștigi capacitatea de a salva aceste medii planetare, chiar dacă ar fi rămas sub strânsoarea puterilor extraterestre. Sau cel puțin așa ai crezut. #Acum, Consiliul Galactic s-a desființat și s-a reformat ca Noua Republică sub conducerea %7. Eșecul tău de a convinge celelalte imperii să vadă înțelepciunea în căile tale te va costa fără îndoială atât pe tine, cât și pe lumile pe care încercai să le salvezi cu disperare. Nu poți decât să speri că noua conducere va fi milostivă cu poporul tău. Nu doar de dragul lor, ci și de dragul fiecărei planete din galaxie...
GAME_OVER_REBELLION_LOSS2         | Soarta tuturor lumilor este pecetluită... #Tenacitatea și idealismul tău te-au condus în acest scop. Dușmanii tăi ți-au zdrobit armatele și au făcut lumii tale lucruri de neconceput până acum. Odată, te-ai gândit că, jucând jocurile lor politice, vei putea să le influențezi gândirea pentru a fi mai în concordanță cu filosofia ta. Dar când maleficul %6 a preluat controlul asupra Noii Republici, ai realizat că negocierea pașnică va deveni imposibilă. Dintotdeauna campioni ai echilibrului ecologic, oamenii tăi au jurat că vor ridica armele pentru a preveni maltratarea planetelor din galaxie și au fost pregătiți să moară în acest sens. #Și au murit: lumile voastre au fost cucerite și lucrările voastre mărețe asupra fiecăreia dintre ele reduse la cenușă. Oamenii tăi au fost forțați să se retragă pentru a organiza ultima lor rezistență în fortăreața lor finală și acolo au murit în apărarea idealurilor tale. Ca cei mai înfocați credincioși în echilibrul ecologic, dispariția voastră se va dovedi nu doar a fi o pierdere grea pentru poporul tău, ci și pentru întreaga galaxie...
GAME_OVER_REBELLION_WIN2          | Salvarea tuturor lumilor este în final posibilă! #Aceasta este ora Conclavei Sakkrană! Ai depășit fiecare obstacol cu care te-ai confruntat în construirea imperiului tău interstelar, fără să uiți niciodată că prima ta datorie a fost să protejezi splendoarea naturală a lumilor pe care le pretindeai ca fiind ale tale. Oricui îndrăznea să se opună ție li s-a arătat rapid greșeala alegeri lor, iar când specia %6 a primit conducerea Noii Republici, ai decis să arăți întregii galaxii cât de greșită a fost alegerea sa în cel mai direct mod posibil. #Acum nu există dușmani care să se opună voinței tale și nici proști în viață care sunt capabili să dăuneze planetelor pe care le protejezi. Oamenii tăi au acum timp pentru a găsi soluții la puzzle-urile ecologice pe care le va prezenta fiecare lume. Și când toată galaxie va primi o armonie naturală perfectă sub mâna ta călăuzitoare, vei fi gata să iei și lumile altor galaxii sub protecția ta. Trăiască Conclava Sakkrană!
GAME_OVER_REBEL_ALLIANCE_WIN2     | Salvarea tuturor lumilor va fi în curând posibilă... #A spune că această secvență de evenimente este o surpriză este o subestimare grosolană. La început, soluțiile mai pașnice la disputele dintre imperii păreau a fi cea mai bună cale de acțiune pentru a preveni deteriorarea inutilă a planetelor minunate care populează galaxia. Totuși, nu a existat nicio cale de urmat înafară de război, când Consiliul Galactic a ales pe altcineva pentru a conduce Noua Republică. Ai ridicat steagul rebeliunii împotriva întregului sistem și zarul a fost aruncat în lupta pentru soarta galaxiei. #În mod neașteptat, ai găsit pe alții dispuși să se alăture cauzei tale și să elibereze galaxia de ceea ce ar fi cu siguranță o opresiune ignobilă. Cei care au luptat de partea ta s-au dovedit a fi la fel de tenace ca și oamenii tăi și împreună ați eliminat ordinea falsă și ați instalat un nou sistem pentru galaxie în care bunăstarea tuturor planetelor va fi cea mai mare preocupare. Și dacă aliații tăi decid să abandoneze această direcție în viitor, deții cunoștințele despre cum să le contracarezi tacticile și strategiile în mod eficient. Este într-adevăr o certitudine fericită să știi că fiecare planetă își va atinge potențialul sub conducerea ta, indiferent de cost...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Salvarea tuturor lumilor va fi în curând posibilă... #Cu adevărat, acesta a fost cel mai bun rezultat la care ai fi putut spera, date fiind circumstanțele. De la primele tale întâlniri cu celelalte imperii, ai știut că diversele lor neajunsuri îi vor împiedica să vadă vreodată adevărul în filosofia ta. În schimb, ai decis să construiești poduri între oamenii tăi și specia %6 și să-i propulsezi într-o poziție care ar fi avantajoasă pentru proiectele tale. Acum, aceștia stau pe tronul Noii Republici și, ca cei mai apropiați confidenți ai lor, Sakkrani sunt gata să culeagă recompensele ascensiunii lor. #Vei continua să influențezi aliații tăi %6 pentru a asigura sfințenia fiecărei lumi din Republică. Dacă un imperiu mai încăpăţânat încearcă să îţi împiedice voinţa, ai toată încrederea că vei putea să le faci faţă. Aceasta este puterea legăturii tale cu specia %6 și așa te vei asigura că planetele rămân în siguranță de acum și pentru totdeauna...
GAME_OVER_COUNCIL_WIN2            | Salvarea tuturor lumilor este în final posibilă! #Ai obținut victoria pe care oamenii tăi și-au dorit-o de când au călătorit pentru prima dată în cosmos. Descoperirea lumilor ciudate ce dețineau ecologii minunate s-a dovedit a fi o provocare plină de satisfacții pentru oamenii tăi, care și-au pus imediat mințile la muncă pentru a o rezolva. Navigarea relațiilor diplomatice s-a dovedit totuși a fi o sarcină mult mai delicată pentru tine. Dar, în cele din urmă, te afli pe cea mai înaltă poziție de autoritate: tu ești acum unicul Stăpân al Noii Republici. #Folosind poziția ta, te vei asigura că fiecare planetă din galaxie este tratată cu respect și cu grijă. În cazul în care orice imperiu din republică ar fi împotriva acestui dicton de fier, în urmărirea propriilor lor obiective jalnice, acum ai la dispoziție o armată galactică pentru ai descuraja să facă o greșeală atât de mare. Și când aceste lumi au fost perfecționate, te confrunți cu un viitor în care vei explora alte galaxii și vei aduce îndrumarea ta binecuvântată pe lumile care se află în interiorul lor. Zâmbește acum, Mare Magistru, căci munca ta abia a început...
GAME_OVER_COUNCIL_MILITARY_WIN2   | Salvarea tuturor lumilor este în final posibilă! #Deși nu fără eșecuri, voința ta rămâne acum necontestată în modul în care va modela galaxia. Nu a un lucru mic pentru tine să devii Stăpânul Noii Republici, dar ai fost capabil să te adaptezi imperiilor rivale și mașinațiunilor lor subtile. Când unii membri ai republicii au decis să organizeze o rebeliune pentru a-și menține libertatea de a-și distruge lumile, a durat puțin timp să ajungi la concluzia că trebuie exterminați. #Acum, rebelii au fost doborâți și transformați într-un exemplu pentru cei care ar încerca să-și pună dorințele personale înaintea bunăstării planetelor lor. Rebelii au fost capabili să se facă utili într-un mod pe care nu l-ai prevăzut: cu restul galaxiei unite împotriva unui dușman comun, aceasta este acum mai maleabilă în fața voința tale, în timp ce se bucură de gloria unei victorii comune. Acesta este momentul să mergi mai departe cu planurile tale și indiferent dacă cei supuși ție sunt sau nu capabili să înțeleagă de ce, știi în inima ta că galaxia însăși îți va mulțumi...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Soarta tuturor lumilor este pecetluită... #Dezastrul a lovit Noua Republică chiar înainte de a se realiza pe deplin. Pe măsură ce înțelepciunea și compasiunea ta pentru mediile tuturor lumilor s-au răspândit în imperiile intergalactice, era de la sine înțeles că vei fi cel chemat să conduci galaxia odată ce aceasta va fi unificată sub un singur steag. Dar la scurt timp după urcarea pe acest nou tron ​​al galaxiei, o rebeliune a început să formeze și a fost în cele din urmă realizată. Pe măsură ce liniile au fost trasate în nisip, tu și cei pe care i-ai condus ați crezut că numărul și puterea ta superioară vor duce la o victorie ușoară. Această atitudine, se pare, s-a dovedi în cele din urmă a fi distrugerea ta. #Cei care s-au răzvrătit împotriva ta au avut încredere în abilitățile lor, iar această încredere a dus la prăbușirea imperiului tău. Acum întreaga Nouă Republică s-a spart, fiecare dintre flotele ei distrusă și fiecare dintre lumi cucerită de cei care au căutat puterea, indiferent de costul. Rebelii vor conduce acum galaxia în orice viitor se ce potrivește cu propriile lor planuri și, pe măsură ce viața începe să îți părăsească corpul, speri doar că vor arăta planetelor pe care le cuceresc mila pe care au refuzat să ți-o ofere în cele din urmă ție...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | motivația neclintită a Sakkranilor 
GAME_OVER_REBELLION_LOSS3         | devotamentul ecologic al Sakkranilor
