// race-specific variables (must start with _)
_empire                           | Imperiul Bulrathi, Imperiul Bearathi, Imperiul Ursinathi, Imperiul Pawrathi, Imperiul Grizzlathi
GAME_OVER_COUNCIL_LOSS2           | Furia imperiului tău este intimidată. #Nimeni nu ar putea descrie eforturile tale ca fiind ceva mai puțin decât vitejie. Împotriva unor șanse copleșitoare, oamenii tăi și-au făcut o viață în adâncurile cosmosului, câștigând lumi pentru imperiu în întreaga galaxie. Din păcate, ferocitatea ta nu a putut birui inovațiile tehnologice superioare și manevrele politice ale speciilor extraterestre pe care le-ai întâlnit în spațiu. Văzând că nu ai la dispoziție nicio cale care să-ți permită victoria asupra Consiliului Galactic, ai luat singura opțiune pe care ai avut-o: supunerea în fața liderului Noii Republici pentru a preveni un război care cu siguranță va semna pieirea întregului tău imperiu. #Deși spiritul tău războinic a primit o lovitură zdrobitoare, știi că decizia ta este cea potrivită. Cel puțin, în cele din urmă, ai asigurat supraviețuirea oamenilor tăi pe măsură ce galaxia se mută în viitor. Alternativa la decizia ta a fost pur și simplu prea groaznică pentru a fi imaginată...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Furia imperiului tău este intimidată. #S-au întâmplat multe de când ți-ai condus oamenii de pe lumea lor natală în speranța de a-i ajuta să-și găsească locul în galaxie. Victoriile tale au câștigat multe pentru poporul tău și multe teritorii au fost adăugate imperiului pentru a asigura Bulrathinilor un viitor strălucit. Din păcate, premiul suprem de a conduce Noua Republică era prea departe de tine. Poate că ferocitatea ta pe câmpul de luptă a inspirat prea multă frică pentru a-ți permite să obții cea mai căutată victorie. #Dar totul nu este pierdut: un aliat de încredere s-a poziționat să conducă consiliul în locul tău, reușind să convingă celelalte imperii că viziunea lor pentru viitor este cea corectă. În timp ce oamenii tăi tânjesc să te vadă ca conducătorul acestui nou viitor, știi că ți-ai ales bine aliații: împreună cu %8, vei asigura poporului tău un loc în viitorul acestei galaxii, indiferent de ce va aduce viitorul...
GAME_OVER_REBELLION_LOSS2         | Furia imperiului tău a fost înăbușită. #Războaiele acestei galaxii au ajuns în final la sfârșit. Oamenii tăi au luptat din greu, cu o furie nemaivăzută printre celelalte imperii, dar în cele din urmă victoriile lor s-ar putea să fi fost distrugerea ta. Ferocitatea cu care a luptat poporul tău a acționat ca o unealtă împotriva ta, iar unui inamic i-a fost dată conducerea Noii Republici, deoarece acesta i-a convins pe membrii consiliului că ești pur și simplu prea sălbatic pentru a fi de încredere. Cum %8 galaxia, nu puteai decât să întârzii inevitabilul. #Imperiul Bulrathi a căzut în fața dușmanilor săi în cele din urmă. Pe măsură ce teritoriul tău este împărțit între învingători, iar relicvele și orașele tale sunt zdrobite pentru a fi împrăștiate în vânturile istoriei, legendele poporului tău și ultima lor rezistență curajoasă este puțin probabil să inspire frică descendenților celor care vor moșteni această galaxie. La urma urmei, învingătorii sunt cei care aleg ce povești va spune istoria...
GAME_OVER_REBELLION_WIN2          | Furia imperiului tău domnește necontestată! #În sfârșit, ai ajuns acum în locul în care știai că te va conduce destinul: anihilarea totală a oricărei alte rase din galaxie! Furia ta de neegalat s-a dovedit copleșitoare pentru inamicii tăi, care în lașitatea lor au căutat o alianță împotriva ta. În speranța că puterea lor combinată va fi suficientă pentru a te distruge, ei s-au grăbit ca niște paraziți peste stele în încercarea de a îți transforma lumile în cenușă. Au fost proști să aibă astfel de credințe, iar oamenii tăi le-au arătat cât de zadarnice s-au dovedit a fi ambițiile lor. #Iată, Mare Ierarh, o galaxie pe care o poți lua. În orice moment dorești, vei adăuga lumi în imperiul tău: doar poporul tău singur va recolta bogățiile nenumăratelor planete din această galaxie. Și când veți lua tot ce vă poate oferi această galaxie, va veni timpul să vă direcționați puterea către alte galaxii...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Acum nu mai rămâne nimeni care ar îndrăzni să-ți provoace furia. #Soarele răsare pe ceea ce a fost cândva Noua Republică, cu tine luând locul pe care ar fi trebuit să-l ocupi de la bun început. Era evident cum vor acționa foștii tăi dușmani odată uniți, pentru că frica lor de tine a fost atât de mare încât i-a unificat în paranoia puterii tale. Rebeliunea ta a fost justă, deoarece o specie de războinici atât de puternici nu poate să se zbată și să cerșească mila precum niște slăbănogi. Chiar ai și avertizat că numai pieirea ar fi fost destinul tuturor celor care ți s-ar fi opus, oricât de numeroși ar fi. De te-ar fi auzit proștii! #Totuși, nu ești nemilos. Cei suficient de înțelepți pentru a se alia cu tine se vor bucura de roadele unui viitor generos, iar curajul și înțelepciunea lor vor fi onorate în noul tău imperiu. Ei sunt mărturia vie a milei tale și niciodată nu vor mai avea vreun dușman de care să se teamă. Asta, desigur, atâta timp cât își păstrează loialitatea față de imperiul Bulrathi...
GAME_OVER_COUNCIL_WIN2            | Furia imperiului tău domnește necontestată! #Această galaxie și locuitorii ei sunt la mila ta. De la începutul campaniei tale interstelare, ai întâlnit mulți dușmani și puțini prieteni. Deși luptele tale au fost grele, gloria victoriei a aparținut Bulrathinilor, când cei prea proști pentru a vedea eroarea căilor lor au fost făcuți să se confrunte cu dispariția. Cei rămași au văzut nu numai o putere de care ar trebui să se teamă, ci și un intelect care solicită respectul, iar în ultima ședință a Consiliului Galactic, ai fost ales să conduci ceea ce va fi cunoscută sub numele de Noua Republică într-un viitor strălucitor. #Timpul de a-ți testa puterea a ajuns la sfârșit: timpul de a-ți testa înțelepciunea începe acum. Ce rezervă viitorul republicii conduse de regele filosof al Imperiului Bulrathi este necunoscut. Dar un lucru este cert: acum nu mai rămâne nimeni care s-ar opune deciziilor tale, căci forța ta nestăpânită oferă toate asigurările necesare pentru a potoli orice îndoială și teamă de la noii tăi supuși. Trăiască Noua Republică și trăiască Marele Ierarh al Imperiului Bulrathi!
GAME_OVER_COUNCIL_MILITARY_WIN2   | Acum nu mai rămâne nimeni care ar îndrăzni să-ți provoace furia. #O nouă eră a păcii trebuia să înceapă atunci când ai urcat pe tronul Noii Republici. În timp ce multe imperii au fost bucuroase să urmărească un lider puternic care să-i îndrume în viitor, câțiva s-au considerat mai înțelepți și mai puternici decât conducătorul galaxiei ales în mod corespunzător. Primul tău test ca Stăpân al Noii Republici a venit în curând, iar acțiunile tale rapide și decisive nu numai că au înăbușit rebeliunea, dar ți-au și cimentat poziția de lider într-o singură lovitură. #Dușmanii tăi sunt dușmanii galaxiei și acum zac distruși și învinși în fața puterii combinate a imperiului tău și a flotelor civilizațiilor care te servesc. Ei vor servi drept avertisment pentru cei care amenință republica în viitor: Atenție, cei care ar aduce război, pentru că această galaxie este condusă de cel mai puternic rege cunoscut vreodată. Fie ca domnia ta să fie una lungă, Mare Ierarh, și viitorul tău câștigat cu greu să fie mai luminos decât și-ar putea imagina poporul tău!
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Furia imperiului tău a fost înăbușită. #Vai căci aceste zile rele sunt ale tale. După secole de cucerire și explorare, ți-ai îndeplinit dorința de a fi pregătit să conduci galaxia sub o domnie înțeleaptă și puternică. Rebeliunea care a luat naștere pentru a se opune domniei tale părea a fi mică și sortită eșecului în fața alianței tale unite de imperii puternice. Dar rebelii posedau o viclenie la care nu te așteptai și au folosit-o pentru a contracara priceperea ta fizică uluitoare la fiecare pas. Aliații tăi inepți s-au dovedit inutili în formularea unei apărări și, înainte ca aceasta să înceapă cu adevărat, visul Noii Republici era la fel de mort ca și civilizațiile din care era odată alcătuită. #Dacă lucrurile ar fi fost altfel, această galaxie și toți cei care au locuit în ea ar fi avansat împreună către o eră nouă mai strălucitoare, departe de lupte și război. Acum viitorul stă în mâinile rebelilor perfizi și lacomi, care au făcut orice să te vadă detronat. Totuși, ei sunt cei care vor pierde în cele din urmă, pentru că fără înțelepciunea ta pentru a-i ghida, nebunia lor îi va conduce cu siguranță la cel mai groaznic final imaginabil...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | furia de neegalat a Bulrathinilor
GAME_OVER_REBELLION_LOSS3         | furia nestăpânită a Bulrathinilor domină
